"S1794-31082016000100001-col","","Nieto Rojas, Jorge Hernando","Revista Criminalidad; 58(1); 7-8","Revista Criminalidad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082016000100001&lang=pt" 
"S1018-130X2016000200006-per","Histoplasmosis diseminada con síndrome hemofagocítico asociado con infección por HTLV-1: Reporte de caso","Ventosilla, Ronald, del Carpio, Daniel","Revista Medica Herediana; 27(2); 100-105","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200006&lang=pt" 
"S1018-130X2016000200001-per","Transmisión de infecciones nosocomiales por el personal de salud","Llanos-Cuentas, Alejandro","Revista Medica Herediana; 27(2); 73-74","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200001&lang=pt" 
"S1018-130X2016000200003-per","Contaminación con bacterias patógenas de estetoscopios del personal médico en un hospital de nivel III en Lima, Perú","Oliva-Menacho, José Enrique, García-Hjarles, Marco Antonio, Oliva-Candela, José Arturo, De la Cruz-Roca, Hugo Saturnino","Revista Medica Herediana; 27(2); 83-88","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200003&lang=pt" 
"S1018-130X2016000200007-per","Supradesnivel del segmento ST en derivación aVR en el síndrome coronario agudo con elevación persistente del segmento ST: Revisión de la literatura a propósito de un caso","Medina Palomino, Félix, Barreto Guevara, Alejandra, Rosales Rojas, Ángel, Rojas Lavado, Gino, Román Carpio, Ricardo","Revista Medica Herediana; 27(2); 106-110","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200007&lang=pt" 
"S0066-782X2016003100001-scl","II Diretrizes Brasileiras de Fibrilação Atrial","Magalhães, LP, Figueiredo, MJO, Cintra, FD, Saad, EB, Kuniyoshi, RR, Teixeira, RA, Lorga Filho, AM, D&#039;Avila, A, de Paola, AAV, Kalil, CA, Moreira, DAR, Sobral Filho, DC, Sternick, EB, Darrieux, FCC, Fenelon, G, Lima, GG, Atié, J, Mateos, JCP, Moreira, JM, Vasconcelos, JTM, Zimerman, LI, Silva, LRL, Silva, MA, Scanavacca, MI, Souza, OF","Arquivos Brasileiros de Cardiologia; 106(4); 1-22","Arquivos Brasileiros de Cardiologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016003100001&lang=pt" 
"S0186-72102016000100207-mex","Población commuter de la frontera norte: el caso de Mexicali-Calexico y Tijuana-San Diego","Vega Briones, Germán","Estudios demográficos y urbanos; 31(1); 207-238","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100207&lang=pt" 
"S0186-72102016000100087-mex","Participación social en la gestión ambiental: estudio de caso en una unidad de conservación urbana en el municipio de São Paulo, Brasil","Cerati, Tania Maria, Souza, Aline Queiroz de, Salazar J., Graciela","Estudios demográficos y urbanos; 31(1); 87-113","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100087&lang=pt" 
"S0186-72102016000100239-mex","Lezama, José Luis (2014), Política energética y sustentabilidad. La estrategia mexicana de ahorro y eficiencia de energía eléctrica en los hogares y la experiencia internacional","Guzmán, Mauricio","Estudios demográficos y urbanos; 31(1); 239-245","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100239&lang=pt" 
"S0186-72102016000100009-mex","Localización industrial y concentración geográfica en México","Sobrino, Jaime","Estudios demográficos y urbanos; 31(1); 9-56","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100009&lang=pt" 
"S0186-72102016000100115-mex","Emisiones de CO2 en hogares urbanos. El caso del Distrito Federal","Cruz Islas, Ignacio César","Estudios demográficos y urbanos; 31(1); 115-142","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100115&lang=pt" 
"S2341-45452016000200008-prt","Olmesartan-Induced Sprue Like Enteropathy","Carneiro, Liliana, Moreira, Albina, Pereira, Adelina, Andrade, Carina, Soares, José, Silva, Artur","GE-Portuguese Journal of Gastroenterology; 23(2); 101-105","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200008&lang=pt" 
"S2341-45452016000200011-prt","Extensive Esophageal Ulceration in a Renal Transplant Patient","Silva, Marco, Silva, Roberto, Macedo, Guilherme","GE-Portuguese Journal of Gastroenterology; 23(2); 116-118","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200011&lang=pt" 
"S2341-45452016000200001-prt","To Stent or Not to Stent in Colorectal Cancer: That is Still the Question in Gastroenterology!","Pires, Sara, Pimentel-Nunes, Pedro","GE-Portuguese Journal of Gastroenterology; 23(2); 59-60","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200001&lang=pt" 
"S2341-45452016000200004-prt","Reevaluation of Self-Expanding Metal Stents as a Bridge to Surgery for Acute Left-Sided Malignant Colonic Obstruction: Six Years Experience","Ribeiro, Iolanda, Pinho, Rolando, Leite, Mariana, Proença, Luísa, Silva, Joana, Ponte, Ana, Rodrigues, Jaime, Maciel-Barbosa, Jorge, Carvalho, João","GE-Portuguese Journal of Gastroenterology; 23(2); 76-83","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200004&lang=pt" 
"S2341-45452016000200005-prt","The Role of Emergency Endoscopy in Small Bowel Bleeding: A","Pérez-Cuadrado-Robles, Enrique, Pérez-Cuadrado-Martínez, Enrique","GE-Portuguese Journal of Gastroenterology; 23(2); 84-90","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200005&lang=pt" 
"S2341-45452016000200002-prt","Sprue-Like Enteropathy Associated With Olmesartan: A New Kid on the Enteropathy Block","Hujoel, Isabel A., Rubio-Tapia, Alberto","GE-Portuguese Journal of Gastroenterology; 23(2); 61-65","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200002&lang=pt" 
"S2341-45452016000200009-prt","Refractory Celiac Disease Type II: A Case Report that Demonstrates the Diagnostic and Therapeutic Challenges","Fernandes, Alexandra, Ferreira, Ana Margarida, Ferreira, Rosa, Mendes, Sofia, Agostinho, Cláudia, Almeida, Nuno, Figueiredo, Pedro, Ferreira, Manuela, Amaro, Pedro, Castro, Lígia Prado e, Sofia, Carlos","GE-Portuguese Journal of Gastroenterology; 23(2); 106-112","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200009&lang=pt" 
"S2341-45452016000200010-prt","Intraluminal Duodenal (“Windsock”) Diverticulum: A Rare Cause of Gastrointestinal Bleeding","Eusébio, Marta, Ramos, André, Guerreiro, Horácio","GE-Portuguese Journal of Gastroenterology; 23(2); 116-118","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200010&lang=pt" 
"S2341-45452016000200003-prt","Acute Treatment of Malignant Colorectal Occlusion: Real Life Practice","Fernandes, Dália, Domingues, Sara, Gonçalves, Bruno Moreira, Bastos, Pedro, Ferreira, Aníbal, Rodrigues, António, Gonçalves, Raquel, Lopes, Luís, Rolanda, Carla","GE-Portuguese Journal of Gastroenterology; 23(2); 66-75","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200003&lang=pt" 
"S2341-45452016000200012-prt","Successful Endoscopic Removal of a Kerh-Tube Placed in an Iatrogenic Esophageal Perforation: Push to Pull","Coelho, Rosa, Sarmento, Alexandre, Macedo, Guilherme","GE-Portuguese Journal of Gastroenterology; 23(2); 119-121","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200012&lang=pt" 
"S2341-45452016000200006-prt","Olmesartan-Induced Enteropathy: An Unusual Cause of Villous Atrophy","Eusébio, Marta, Caldeira, Paulo, Antunes, Artur Gião, Ramos, André, Velasco, Francisco, Cadillá, Jesús, Guerreiro, Horácio","GE-Portuguese Journal of Gastroenterology; 23(2); 91-95","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200006&lang=pt" 
"S2341-45452016000200007-prt","Enteropathy Associated with Olmesartan","Silva, Bruno Moreira da, Neves, Sofia Jardim, Martínez, Arantza Germade, Geneux, Karina de Jesús, García, Jesús Lomas, Antolín, Sergio Maestro, Millán, Antonio Pérez","GE-Portuguese Journal of Gastroenterology; 23(2); 96-100","GE-Portuguese Journal of Gastroenterology","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452016000200007&lang=pt" 
"S0186-72102016000100143-mex","Remesas internacionales sur-sur y norte-sur en Paraguay: patrones sociodemográficos, destino de los fondos y medios de circulación","Gómez, Pablo Sebastián","Estudios demográficos y urbanos; 31(1); 143-175","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100143&lang=pt" 
"S0186-72102016000100057-mex","Convergencia urbana: ¿oportunidad para la colaboración transfronteriza en Matamoros y Brownsville (México-Estados Unidos)?","Oliveras González, Xavier","Estudios demográficos y urbanos; 31(1); 57-85","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100057&lang=pt" 
"S0186-72102016000100177-mex","Mortalidad de niños y sífilis congénita en la Ciudad de México en 1915","Márquez Morfín, Lourdes, Sosa Márquez, María Viridiana","Estudios demográficos y urbanos; 31(1); 177-206","Estudios demográficos y urbanos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-72102016000100177&lang=pt" 
"S1409-47032016000100334-cri","Escritura en niños con dificultades en lectura: ¿habilidades asociadas o disociadas?","Cartagena Vélez, Paula Gisela, Muñetón Ayala, Mercedes Amparo","Actualidades Investigativas en Educación; 16(1); 334-356","Actualidades Investigativas en Educación","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-47032016000100334&lang=pt" 
"S1409-47032016000100432-cri","Relaciones entre rito y creación. Un análisis desde la antropología pedagógica","Otálora Cotrino, Leonardo","Actualidades Investigativas en Educación; 16(1); 432-460","Actualidades Investigativas en Educación","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-47032016000100432&lang=pt" 
"S1409-47032016000100484-cri","Siete tesis en el horizonte. Nuevos mitos y viejas utopías para la enseñanza","Yedaide, María Marta, Porta, Luis","Actualidades Investigativas en Educación; 16(1); 484-501","Actualidades Investigativas en Educación","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-47032016000100484&lang=pt" 
"S1137-66272016000100022-esp","Declaración de los posibles conflictos de interés de las revistas biomédicas españolas: un largo camino por recorrer","Martín-Sánchez, F.J., González del Castillo, J.","Anales del Sistema Sanitario de Navarra; 39(1); 165-166","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100022&lang=pt" 
"S1137-66272016000100024-esp","Intervalos de confianza en el estudio de la fiabilidad: un análisis necesario","Domínguez-Lara, S. A.","Anales del Sistema Sanitario de Navarra; 39(1); 169-170","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100024&lang=pt" 
"S1137-66272016000100021-esp","Replica a los autores de la carta: influencia de los tiempos de respuesta prehospitalarios en la supervivencia de los pacientes politraumatizados en Navarra","Ali Ali, B., Belzunegui Otano, T.","Anales del Sistema Sanitario de Navarra; 39(1); 161-163","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100021&lang=pt" 
"S1137-66272016000100015-esp","¿Cómo perciben los pacientes de las consultas de Atención Primaria la información para implicarse en su autocuidado?","Navarro, I.M., Guilabert, M., Carrillo, I., Nebot, C., Mira, J.J.","Anales del Sistema Sanitario de Navarra; 39(1); 133-138","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100015&lang=pt" 
"S1137-66272016000100011-esp","Efecto del ajuste del tratamiento al alta en los resultados a 30 días en los pacientes con diabetes mellitus atendidos por hipoglucemia en un servicio de urgencias hospitalario","Cuervo Pinto, R., Rodríguez Adrada, E., Domínguez Bernal, C., Chaparro Pardo, D., Martín-Sánchez, F.J., González del Castillo, J.","Anales del Sistema Sanitario de Navarra; 39(1); 99-104","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100011&lang=pt" 
"S1137-66272016000100014-esp","Calidad de vida relacionada con la salud en pacientes con enfermedad inflamatoria intestinal","López Cortés, R., Marín Fernández, B., Hueso Montoro, C., Escalada Hernández, P., Sanz Aznarez, A.C., Rodríguez Gutiérrez, C.","Anales del Sistema Sanitario de Navarra; 39(1); 123-131","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100014&lang=pt" 
"S1137-66272016000100001-esp","Biomarcadores y práctica clínica","Torres Courchoud, I., Pérez Calvo, J.I.","Anales del Sistema Sanitario de Navarra; 39(1); 5-8","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100001&lang=pt" 
"S1137-66272016000100018-esp","Pancreatitis autoinmune: a propósito de un caso","Valdivielso Cortázar, E., Prieto Martínez, C., Fernández-Urién, I., Vila Costas, J.J., Jiménez Pérez, F.J., Guerra Lacunza, A.","Anales del Sistema Sanitario de Navarra; 39(1); 149-152","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100018&lang=pt" 
"S1137-66272016000100003-esp","Adaptación y validación española del Perception of Restraint Use Questionnaire (PRUQ) sobre el uso de restricciones físicas en personas mayores","Fariña-López, E., Estévez-Guerra, G.J., Núñez González, E., Calvo Francés, F., Penelo, E.","Anales del Sistema Sanitario de Navarra; 39(1); 13-22","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100003&lang=pt" 
"S1137-66272016000100006-esp","Factores asociados a la demora prehospitalaria en hombres y mujeres con síndrome coronario agudo","Daponte-Codina, A., Bolívar-Muñoz, J., Sánchez-Cantalejo, E., Mateo-Rodríguez, I., Babio, G., Romo-Avilés, N., Rosell-Ortiz, F.","Anales del Sistema Sanitario de Navarra; 39(1); 47-58","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100006&lang=pt" 
"S1137-66272016000100005-esp","Características y cambios epidemiológicos de los pacientes con infección del tracto urinario en los servicios de urgencias hospitalarios","Gálvez San Román, J.L., Jiménez Hidalgo, C., Portillo Cano, M.M., García Sánchez, M.O., Navarro Bustos, C., Julián-Jimenez, A., Martínez Ortiz de Zarate, M., González del Castillo, J.","Anales del Sistema Sanitario de Navarra; 39(1); 35-46","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100005&lang=pt" 
"S1137-66272016000100012-esp","Moduladores de la ingesta y el gasto calórico en un grupo de pacientes pre-transplante hepático","Santos, E., Rodríguez, A., Prieto, C., Gil, M.J., Frühbeck, G, Quiroga, J., Herrero, J.I., Salvador, J.","Anales del Sistema Sanitario de Navarra; 39(1); 105-114","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100012&lang=pt" 
"S1137-66272016000100008-esp","Parálisis de cuerda vocal unilateral: estudio de la calidad vocal después del tratamiento logopédico","Busto Crespo, O., Uzcanga Lacabe, M., Abad Marco, A., Berasategui, I., García, L., Aguilera Albesa, S., Fernández González, S.","Anales del Sistema Sanitario de Navarra; 39(1); 69-75","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100008&lang=pt" 
"S1137-66272016000100004-esp","Las variaciones en colesterol-HDL tras bypass gástrico proximal son independientes de la evolución ponderal","Laguna, S., Andrada, P., Silva, C., Rotellar, F., Valenti, V., Gil, M.J., Gomez-Ambrosi, J., Frühbeck, G., Salvador, J.","Anales del Sistema Sanitario de Navarra; 39(1); 23-33","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100004&lang=pt" 
"S1137-66272016000100007-esp","Desigualdades en mortalidad prematura según indicadores de bienestar material en Navarra: estudio poblacional de seguimiento 2001-2008","Miqueleiz, E., Lostao, L., Reques, L., Giráldez-García, C., Regidor, E.","Anales del Sistema Sanitario de Navarra; 39(1); 59-68","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100007&lang=pt" 
"S1137-66272016000100010-esp","Intervencionismo coronario percutáneo en Navarra: resultados de un centro de bajo volumen intervencionista","Artaiz, M., Salterain, N., Fernández Montero, A., Hernández-Hernández, A., Canepa Leite, J.P., Calabuig Nogués, J.","Anales del Sistema Sanitario de Navarra; 39(1); 87-97","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100010&lang=pt" 
"S1137-66272016000100009-esp","Valoración de la repercusión del dolor sobre la productividad laboral: validación del cuestionario WPAI:Pain","Varela, N., Guillén-Grima, F., Pérez-Cajaraville, J.J., Pérez-Hernández, C., Monedero, P.","Anales del Sistema Sanitario de Navarra; 39(1); 77-85","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100009&lang=pt" 
"S1137-66272016000100020-esp","Influencia de los tiempos de respuesta prehospitalarios en la supervivencia de los pacientes politraumatizados en Navarra","Luque Gutiérrez, M., López Rebollo, E.","Anales del Sistema Sanitario de Navarra; 39(1); 159-160","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100020&lang=pt" 
"S1137-66272016000100002-esp","Tiempo de demora prehospitalaria: la cara oculta de la isquemia coronaria","Artaiz, M., Landecho, M.F.","Anales del Sistema Sanitario de Navarra; 39(1); 9-11","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100002&lang=pt" 
"S1137-66272016000100016-esp","Diarrea crónica por Salmonella typhimurium en paciente inmunocompentente","Mellado-Ferreiro, M., Jarne-Betrán, V., Arteaga-Mazuelas, M., Abínzano-Guillén, M.L.","Anales del Sistema Sanitario de Navarra; 39(1); 139-141","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100016&lang=pt" 
"S1137-66272016000100019-esp","Missed Chopart dislocation: the importance of being aware of midtarsal injuries","Sancho González, I., Menéndez García, M.","Anales del Sistema Sanitario de Navarra; 39(1); 153-158","Anales del Sistema Sanitario de Navarra","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100019&lang=pt" 
"S1137-66272016000100023-esp","Replica a los autores de la carta: declaración de los posibles conflictos de interés de las revistas biomédicas españolas: un largo camino por recorrer","Roig, F., Borrego, Á.","Anales del Sistema Sanitario de Navarra; 39(1); 167-167","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100023&lang=pt" 
"S1137-66272016000100017-esp","Hepatitis tóxica colestástica por clopidogrel en un paciente pluripatológico","Etxeberria-Lekuona, D., Méndez-López, I., Mercado, M. R., Oteiza, J., Arteaga, M., Jarne, V.","Anales del Sistema Sanitario de Navarra; 39(1); 143-148","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000100017&lang=pt" 
"S1413-85572016000100109-scl","A Interface entre Saúde e Educação: percepções de educadores sobre educação inclusiva","Silva, Carla Cilene Baptista da, Molero, Elaine Soares da Silva, Roman, Marcelo Domingues","Psicologia Escolar e Educacional; 20(1); 109-115","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100109&lang=pt" 
"S1413-85572016000100011-scl","O analfabeto político","Silva, Silvia Maria Cintra da","Psicologia Escolar e Educacional; 20(1); 11-11","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100011&lang=pt" 
"S1413-85572016000100169-scl","Psicologia, políticas educacionais e escolarização","Ribeiro, Maria Julia Lemes","Psicologia Escolar e Educacional; 20(1); 169-170","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100169&lang=pt" 
"S1413-85572016000100175-scl","Inclusão no ensino superior: uma proposta de ação em Psicologia Escolar","Lima, Aline, Marques, Adriana Pereira dos Santos, Lima, Angélica Hosana dos Santos, Lobato, Gabriela Cunha","Psicologia Escolar e Educacional; 20(1); 175-177","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100175&lang=pt" 
"S1413-85572016000100089-scl","Entrevista com tarefa na identificação de processos na aprendizagem autorregulada","Silva, Janete, Simão, Ana Margarida Veiga","Psicologia Escolar e Educacional; 20(1); 89-100","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100089&lang=pt" 
"S1413-85572016000100101-scl","Psicologia no Ensino Médio e Psicologia Escolar: história, diferenças e perspectivas","Machado, Lucas Antunes","Psicologia Escolar e Educacional; 20(1); 101-108","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100101&lang=pt" 
"S0718-19572016000100004-chl","Biota del intermareal rocoso expuesto de la Isla Grande de Chiloé, Archipiélago de Chiloé, Chile: Patrones de diversidad e implicancias ecológicas y biogeográficas","Velásquez, Carlos, Jaramillo, Eduardo, Camus, Patricio A, Manzano, Mario, Sánchez, Roland","Revista de biología marina y oceanografía; 51(1); 33-50","Revista de biología marina y oceanografía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100004&lang=pt" 
