"S0104-12902010000300012-scl","A visita domiciliária na Estratégia de Saúde da Família: conhecendo as percepções das famílias","Cruz, Mariene Mirian, Bourget, Monique Marie Marthe","Saúde e Sociedade; 19(3); 605-613","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300012&lang=pt" 
"S0104-07072010000300020-scl","Uma prática pedagógica através das racionalidades socioambientais: um ensaio teórico da formação do enfermeiro","Sena, Janaina, Cezar-Vaz, Marta Regina, Bonow, Clarice Alves, Figueiredo, Paula Pereira de, Costa, Valdecir Zavarese da","Texto &amp; Contexto - Enfermagem; 19(3); 570-577","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300020&lang=pt" 
"S0074-02762010000600018-scl","Differential tissue tropism of Trypanosoma cruzi strains: an in vitro study","Andrade, Luciana O, Galvão, Lúcia MC, Meirelles, Maria de Nazareth SL, Chiari, Egler, Pena, Sergio DJ, Macedo, Andrea M","Memórias do Instituto Oswaldo Cruz; 105(6); 834-837","Memórias do Instituto Oswaldo Cruz","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762010000600018&lang=pt" 
"S0080-62342010000300034-scl","A vigilância na Atenção Básica à Saúde: perspectivas para o alcance da Vigilância à Saúde","Faria, Liliam Saldanha, Bertolozzi, Maria Rita","Revista da Escola de Enfermagem da USP; 44(3); 789-795","Revista da Escola de Enfermagem da USP","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342010000300034&lang=pt" 
"S0080-62342010000300030-scl","Convivendo com a diferença: o impacto da sorodiscordância na vida afetivo-sexual de portadores do HIV/AIDS","Reis, Renata Karina, Gir, Elucir","Revista da Escola de Enfermagem da USP; 44(3); 759-765","Revista da Escola de Enfermagem da USP","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342010000300030&lang=pt" 
"S0210-48062010000800010-esp","Edad del donante y su influencia en la supervivencia del injerto","Barba Abad, J., Tolosa Eizaguirre, E., Rincón Mayans, A., Rosell Costa, D., Robles García, J.E., Zudaire Bergera, J., Berián Polo, J.M., Pascual Piedrola, I.","Actas Urológicas Españolas; 34(8); 719-725","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800010&lang=pt" 
"S1415-43662010000900005-scl","Qualidade da água em uma microbacia hidrográfica do Rio Piracicaba, SP","Lucas, Ariovaldo A. T., Folegatti, Marcos V., Duarte, Sérgio N.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(9); 937-943","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000900005&lang=pt" 
"S1415-43662010000900015-scl","Conformidade dos comandos de operação de tratores agrícolas nacionais com a norma NBR ISO 4253","Rozin, Dinorvan, Schlosser, José F., Werner, Valmir, Perin, Gismael F., Santos, Paula M. dos","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(9); 1014-1019","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000900015&lang=pt" 
"S0210-48062010000800003-esp","Valores de referencia del antígeno prostático específico (PSA) en 63.926 trabajadores sin síntomas prostáticos que participaron en el cribado de cáncer de próstata desarrollado por la Sociedad de Prevención de Ibermutuamur durante el año 2006","Gelpi-Méndez, J.A., Gómez-Fernández, E., Martín-Barallat, J., Cortés-Arcas, M.V., Monsonis-Artero, J.V., Calvo-Mora, A.","Actas Urológicas Españolas; 34(8); 669-676","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800003&lang=pt" 
"S0210-48062010000800018-esp","Persistencia de pliegues mucosos ureterales-válvulas ureterales no obstructivas- en un niño de 11 años de edad","López Aramburu, Miguel Ángel, Peña Pérez, Pablo, Rosa Arias, José","Actas Urológicas Españolas; 34(8); 741-741","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800018&lang=pt" 
"S0210-48062010000800023-esp","Huevo duro: tumor de testículo quemándose","Castro-Iglesias, Ángel Maximino, Pazos-Riveiro, Antonio, Selas-Perez, Antonio","Actas Urológicas Españolas; 34(8); 743-743","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800023&lang=pt" 
"S0210-48062010000800005-esp","Cuestionario Español de Calidad de Vida en Pacientes con Cáncer de Próstata como medida de la calidad de vida de los pacientes con cáncer de próstata en España: aplicación a la actividad diaria","Gómez-Veiga, F., Cozar, J.M., Günthner, S., Puyol-Pallas, M., Silmi-Moyano, A., Rebollo, F.J.","Actas Urológicas Españolas; 34(8); 686-693","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800005&lang=pt" 
"S0210-48062010000800020-esp","Hematocele","Rincón Mayans, Aníbal, Zudaire Diaz-Tejeiro, Beatriz, Romero Vargas, Luis, Barba Abad, Javier, Tolosa Eizaguirre, Egoitz","Actas Urológicas Españolas; 34(8); 742-742","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800020&lang=pt" 
"S0210-48062010000800019-esp","Infarto renal derecho y trombosis venosa secundaria a sepsis por orquiepididimitis en paciente con síndrome de Down","Blanco-González, Álvaro, Álvarez-Vázquez, Ana, Mesa-Álvarez, Alicia, Calvo-Blanco, Juan","Actas Urológicas Españolas; 34(8); 741-741","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800019&lang=pt" 
"S0210-48062010000800022-esp","Recidiva de carcinoma de células con trombo en cava a nivel de incisión","Barba Abad, Javier, Tolosa Eizaguirre, Egoitz, Rincón Mayans, Anibal, Romero Vargas, Luís, Vivas Pérez, Isabel, Berián Polo, José María","Actas Urológicas Españolas; 34(8); 743-743","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800022&lang=pt" 
"S0301-50922010000300001-mex","Efecto de la condición corporal y la época del año sobre el ciclo estral, estro, desarrollo folicular y tasa ovulatoria en ovejas Pelibuey mantenidas en condiciones de trópico","Isla Herrera, Guillermo de la, Aké López, Jesús Ricardo, Ayala Burgos, Armín, González-Bulnes, Antonio","Veterinaria México; 41(3); 167-175","Veterinaria México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-50922010000300001&lang=pt" 
"S0301-50922010000300003-mex","Efecto de la adición de tres pigmentos carotenoides comerciales (astaxantina, cantaxantina y β-caroteno) en la dieta sobre la coloración de la concha o nácar de juveniles de abulón rojo Haliotis rufescens","Canales-Gómez, Eréndira, Correa, Gabriel, Viana, María Teresa","Veterinaria México; 41(3); 191-200","Veterinaria México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-50922010000300003&lang=pt" 
"S0301-50922010000300002-mex","Composición corporal de corderos Pelibuey en función de la concentración energética de la dieta y del peso al sacrificio","Partida de la Peña, José Armando, Martínez Rojas, Leonel","Veterinaria México; 41(3); 177-190","Veterinaria México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-50922010000300002&lang=pt" 
"S0301-50922010000300005-mex","Características morfométricas de los órganos genitales de conejas Nueva Zelanda con distintos pesos corporales en el periodo de transición peripuberal","Aragón Hernández, Jesús, Suárez Sánchez, Juan, Pérez-Martínez, Mario","Veterinaria México; 41(3); 211-218","Veterinaria México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-50922010000300005&lang=pt" 
"S0301-50922010000300004-mex","Oedogonium capillare (Linnaeus) (Kuetzing, 1845) como estrategia para purificar alimento vivo Tubifex tubifex (Müller, 1974) para peces","Negrete Redondo, Pilar, Romero Jarero, Jorge, Cruz García, Sandra, Guzmán López, Enrique","Veterinaria México; 41(3); 201-210","Veterinaria México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-50922010000300004&lang=pt" 
"S0301-50922010000300006-mex","Eficacia clínica del florfenicol oftálmico vs florfenicol parenteral en el tratamiento de queratoconjuntivitis infecciosa bovina","Zamora Quesada, Miguel Ángel, Aguilar A., Jeny, Sumano López, Héctor","Veterinaria México; 41(3); 219-225","Veterinaria México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-50922010000300006&lang=pt" 
"S1405-77432010000300003-mex","Estimación numérica del hidrograma de salida de una presa debido a su ruptura","Fuentes-Mariles, O. A., Arganis-Juárez, M. L., De Luna-Cruz, F., Franco, V.","Ingeniería, investigación y tecnología; 11(3); 267-276","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300003&lang=pt" 
"S1405-77432010000300004-mex","Matrix Formulation of Foundations for Vibrating Machinery in Frequency Domain","Carbajal-Romero, M.F., Rodríguez-Castellanos, A., Rodríguez-Sánchez, J.E., Flores-Méndez, E.","Ingeniería, investigación y tecnología; 11(3); 277-287","Ingeniería, investigación y tecnología","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300004&lang=pt" 
"S1405-77432010000300005-mex","Modelo para el ajuste de pronósticos agregados utilizando lógica difusa","Escobar-Gómez, E. N., Díaz-Núñez, J. J., Taracena-Sanz, L. F.","Ingeniería, investigación y tecnología; 11(3); 289-302","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300005&lang=pt" 
"S1405-77432010000300006-mex","Rectificador activo con funciones ampliadas: una alternativa para la compensación de sags de voltaje y mejorar la calidad de la red eléctrica","Núñez-Gutiérrez, C.A., Lira- Pérez, J., Pazos-Flores, F., Echavarría-Solís, R.","Ingeniería, investigación y tecnología; 11(3); 303-313","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300006&lang=pt" 
"S1405-77432010000300007-mex","Electrical Parameters Extraction of CMOS Floating-Gate Inverters","Molinar-Solís, J.E., Ponce-Ponce, V.H., García-Lozano, R.Z., Díaz-Sánchez, A., Rocha-Pérez, J.M.","Ingeniería, investigación y tecnología; 11(3); 315-323","Ingeniería, investigación y tecnología","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300007&lang=pt" 
"S1405-77432010000300008-mex","Hydrogen Sorption Properties of the Intermetallic Mg2Ni Obtained by Using a Simoloyer Ball Milling","Martínez-Franco, E., Klassen, T., Jaramillo-Vigueras, D., Bormann, R.","Ingeniería, investigación y tecnología; 11(3); 325-332","Ingeniería, investigación y tecnología","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300008&lang=pt" 
"S1405-77432010000300009-mex","Emisiones de compuestos orgánicos volátiles durante arranques en frío de automóviles ligeros","Mendoza-Domínguez, A., León-Romero, M.A., Caballero-Mata, P.","Ingeniería, investigación y tecnología; 11(3); 333-347","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000300009&lang=pt" 
"S0080-62342010000300041-scl","Homofobia en estudiantes de enfermería","Campo-Arias, Adalberto, Herazo, Edwin, Cogollo, Zuleima","Revista da Escola de Enfermagem da USP; 44(3); 839-843","Revista da Escola de Enfermagem da USP","Inglês, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342010000300041&lang=pt" 
"S0104-12902010000300019-scl","A influência da estruturação da mensagem em comportamentos relacionados à saúde: um teste experimental","Mayer, Verônica Feder, Avila, Marcos Gonçalves","Saúde e Sociedade; 19(3); 685-697","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300019&lang=pt" 
"S0104-12902010000300009-scl","(Des)construção do modelo assistencial em saúde mental na composição das práticas e dos serviços","Quinderé, Paulo Henrique Dias, Jorge, Maria Salete Bessa","Saúde e Sociedade; 19(3); 569-583","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300009&lang=pt" 
"S0210-48062010000800009-esp","Enucleación prostática con láser de holmio: Experiencia del Hospital Germans Trias i Pujol","Buisan, O., Boix, R., Areal, J., Ruiz, J.M., Ibarz, L., Bayona, S., Saladié, J.M.","Actas Urológicas Españolas; 34(8); 713-718","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800009&lang=pt" 
"S0210-48062010000800008-esp","Impacto en la administración de un donante de óxido nítrico en gel en el flujo sanguíneo clitoridiano, medido por eco-Doppler","Souto, S., Palma, P., Riccetto, C., Seabra, A.B., Oliveira, M., Palma, T., Capmartin, R.","Actas Urológicas Españolas; 34(8); 708-712","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000800008&lang=pt" 
"S1678-31662010000300003-scl","O método da astronomia segundo Kepler","Tossato, Claudemir Roque, Mariconda, Pablo Rubén","Scientiae Studia; 8(3); 339-366","Scientiae Studia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-31662010000300003&lang=pt" 
"S1678-31662010000300006-scl","Demonstração do movimento da luz no ensaio de óptica de Descartes","Ramos, José Portugal dos Santos","Scientiae Studia; 8(3); 421-450","Scientiae Studia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-31662010000300006&lang=pt" 
"S1678-31662010000300007-scl","A dióptrica: discursos I, II, III, IV e VIII","Descartes, René","Scientiae Studia; 8(3); 451-486","Scientiae Studia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-31662010000300007&lang=pt" 
"S1028-47962010000300008-cub","Bioética en experimentación animal para validar usos de plantas medicinales en el Laboratorio Central de Farmacología","Victoria Amador, María del Carmen, Morón Rodríguez, Francisco J.","Revista Cubana de Plantas Medicinales; 15(3); 157-168","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300008&lang=pt" 
"S1028-47962010000300009-cub","Valoración de la evidencia científica para recomendar Annona muricata L. (guanábana) como tratamiento o prevención del cáncer","Morón Rodríguez, Francisco J., Morón Pinedo, Déborah, Nodarse Rodríguez, Mario","Revista Cubana de Plantas Medicinales; 15(3); 169-181","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300009&lang=pt" 
"S1028-47962010000300001-cub","Efecto sedante del triterpeno cicloartanol obtenido de las hojas de Pedilanthus tithymaloides (L.) Poit.","Cabrera Suárez, Hiran, Núñez Figueredo, Yanier","Revista Cubana de Plantas Medicinales; 15(3); 96-104","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300001&lang=pt" 
"S1028-47962010000300002-cub","Cardiac cellular actions of quebrachidine, an indole alkaloid isolated from Rauwolfia viridis Roem et Schult.","Álvarez, Julio L., Vassort, Guy","Revista Cubana de Plantas Medicinales; 15(3); 105-118","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300002&lang=pt" 
"S1028-47962010000300003-cub","","Rodrigues Frias, Danila Fernanda, Kozusny-Andreani, Dora Inês","Revista Cubana de Plantas Medicinales; 15(3); 119-125","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300003&lang=pt" 
"S1028-47962010000300004-cub","Evaluación fotohemolítica in vitro de Cissus sicyoides L. y Achyranthes aspera L.","González Madariaga, Yisel, Boffill Cárdenas, María de los A., Bermúdez Toledo, Deodelsys, Castillo Alfonso, Orestes, Martínez Montalbán, Celia M., Martínez Bernal, Yusnel","Revista Cubana de Plantas Medicinales; 15(3); 126-132","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300004&lang=pt" 
"S1028-47962010000300005-cub","Composición química volátil del aceite esencial de Croton malambo H. Karst. colombiano y determinación de su actividad antioxidante","Jaramillo C, Beatriz E., Duarte, Edisson, Muñoz, Karen, Stashenko, Elena","Revista Cubana de Plantas Medicinales; 15(3); 133-142","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300005&lang=pt" 
"S1028-47962010000300006-cub","Toxicidad a dosis repetidas de Azadirachta indica A. Juss. (árbol del Nim)","Berenguer Rivas, Clara Azalea, Alfonso Castillo, Alfredo, Fong Lores, Onel, Domínguez Odio, Aníbal, Betancourt Hernandez, Juan E., Laramendi Griñan, Dani, Salas Martínez, Hilario, Puentes Zapata, Edgar, Wawoe Díaz, Nioslaymy","Revista Cubana de Plantas Medicinales; 15(3); 143-151","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300006&lang=pt" 
