"S1413-70542008000100015-scl","Produção da tangerineira &#039;ponkan&#039; após poda de recuperação","Mendonça, Vander, Ramos, José Darlan, Araújo Neto, Sebastião Elviro de, Rufini, José Carlos Moraes","Ciência e Agrotecnologia; 32(1); 103-109","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100015&lang=pt" 
"S1413-70542008000100037-scl","Níveis de proteína bruta e de energia metabolizável para frangas de postura semipesadas de 1 a 18 semanas de idade","Lima Neto, Raul da Cunha, Costa, Fernando Guilherme Perazzo, Silva, José Humberto Vilar da, Barros, Leilane Rocha, Oliveira, Cleber Franklin Silva de, Costa, Janaíne Sena da","Ciência e Agrotecnologia; 32(1); 258-266","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100037&lang=pt" 
"S1413-70542008000100039-scl","Temperatura superficial e índice de tolerância ao calor de caprinos de diferentes grupos raciais no semi-árido nordestino","Souza, Bonifácio Benicio de, Souza, Expedito Danusio de, Cezar, Marcílio Fontes, Souza, Wandrick Haus de, Santos, José Romulo Soares dos, Benicio, Talícia Maria Alves","Ciência e Agrotecnologia; 32(1); 275-280","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100039&lang=pt" 
"S1413-70542008000100041-scl","Viabilidade econômica da adoção e implantação da rastreabilidade em sistemas de produção de bovinos no Estado de Minas Gerais","Lopes, Marcos Aurélio, Santos, Glauber dos, Amado, Guilherme Beil","Ciência e Agrotecnologia; 32(1); 288-294","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100041&lang=pt" 
"S1413-70542008000100043-scl","Comparação entre doces produzidos a partir de frutos de diferentes espécies e cultivares de marmeleiro (Cydonia oblonga Miller e Chaenomeles sinensis Koehne)","Alvarenga, Ângelo Albérico, Abrahão, Enilson, Pio, Rafael, Assis, Francinely Aparecida, Oliveira, Nilton Caetano de","Ciência e Agrotecnologia; 32(1); 302-307","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100043&lang=pt" 
"S0037-86822008000100009-scl","Comparação entre a epidemiologia do acidente e a clínica do envenenamento por serpentes do gênero Bothrops, em adultos idosos e não idosos","Ribeiro, Lindioneza Adriano, Gadia, Rodolfo, Jorge, Miguel Tanús","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 46-49","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100009&lang=pt" 
"S0037-86822008000100016-scl","Sobre uma pintura inseticida para o controle de Triatoma infestans, na Bolívia","Dias, João Carlos Pinto, Jemmio, A.","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 79-81","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100016&lang=pt" 
"S0037-86822008000100014-scl","Seqüência de transmissões não habituais da infecção chagásica em uma mesma família: transfusional para a mãe e congênita para o filho, de cepa de Trypanosoma cruzi resistente ao tratamento","Fragata Filho, Abilio Augusto, Correia, Edileide de Barros, Borges Filho, Renato, Vasconcelos, Marcos de Oliveira, Janczuk, Daniel, Martins, Cícero Soares de Souza","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 73-75","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100014&lang=pt" 
"S0037-86822008000100015-scl","Técnicas histopatológicas no diagnóstico de criptococose por Cryptococcus deficiente de cápsula: relato de caso","Gazzoni, Alexandra Flávia, Pegas, Karla Lais, Severo, Luiz Carlos","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 76-78","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100015&lang=pt" 
"S0037-86822008000100017-scl","Distribuição espacial dos casos novos de tuberculose em Vitória, Estado do Espírito Santo, no período entre 2000 e 2005","Vieira, Rafael da Cruz Araújo, Prado, Thiago Nascimento do, Siqueira, Maria Guimarães, Dietze, Reynaldo, Maciel, Ethel Leonor Noia","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 82-86","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100017&lang=pt" 
"S0037-86822008000100019-scl","Recurrent respiratory papillomatosis with pulmonary involvement","Ikawa, Marcos Hiroyuki, Meirelles, Gustavo Souza Portes","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 89-90","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100019&lang=pt" 
"S0037-86822008000100018-scl","Mucocutaneous leishmaniasis treated with liposomal amphotericin B","Lambertucci, José Roberto, Silva, Luciana Cristina dos Santos","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 87-88","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100018&lang=pt" 
"S1413-70542008000100006-scl","Constatação de Xylella fastidiosa em pecíolos e hipocotilos de cafeeiro com sintomas de mancha manteigosa","Lins, Severina Rodrigues de Oliveira, Abreu, Mário Sobral de, Alves, Eduardo, Barbosa, Juliana Franco, Souza, Ricardo Magela de","Ciência e Agrotecnologia; 32(1); 42-47","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100006&lang=pt" 
"S1413-70542008000100009-scl","Efeito de nutrientes combinados com indutores de resistência na proteção contra a vassoura-de-bruxa no cacaueiro","Silva, Iris Lettiere do Socorro Santos da, Resende, Mário Lúcio Vilela de, Ribeiro Júnior, Pedro Martins, Costa, João de Cássia do Bomfim, Camilo, Fabrício Rabelo, Baptista, Juliana C., Salgado, Sônia Maria de Lima","Ciência e Agrotecnologia; 32(1); 61-67","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100009&lang=pt" 
"S1413-70542008000100012-scl","Estímulo do comportamento fotoautotrófico durante o enraizamento in vitro de Annona glabra L., I. desenvolvimento do sistema radicular e da parte aérea","Santana, José Raniere Ferreira de, Paiva, Renato, Pereira, Flávia Dionísio, Oliveira, Lenaldo Moniz de","Ciência e Agrotecnologia; 32(1); 80-86","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100012&lang=pt" 
"S1413-70542008000100014-scl","Métodos de estimação do coeficiente de endogamia em uma população diplóide com alelos múltiplos","Muniz, Joel Augusto, Camargo, Mariele Santana, Ferreira, Daniel Furtado, Veiga, Ruben Delly","Ciência e Agrotecnologia; 32(1); 93-102","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100014&lang=pt" 
"S1413-70542008000100019-scl","Proteção de cachos de bananeira com sacos de polietileno nas condições edafoclimáticas do estado do Amazonas","Moreira, Adônis","Ciência e Agrotecnologia; 32(1); 129-136","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100019&lang=pt" 
"S1413-70542008000100020-scl","Qualidade de melão rendilhado (Cucumis melo L.) em função do sistema de cultivo","Vargas, Pablo Forlan, Castoldi, Renata, Charlo, Hamilton César de Oliveira, Braz, Leila Trevizan","Ciência e Agrotecnologia; 32(1); 137-142","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100020&lang=pt" 
"S1413-70542008000100022-scl","Rizobactérias no controle da mancha angular do algodoeiro","Ishida, Alessandra Keiko Nakasone, Souza, Ricardo Magela de, Resende, Mário Lúcio Vilela de, Zacaroni, Ana Beatriz, Vilas Bôas, Carla Heloísa, Souza, Jorge Teodoro de","Ciência e Agrotecnologia; 32(1); 149-156","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100022&lang=pt" 
"S1413-70542008000100024-scl","Teores de fibra e rendimento de grãos em populações de feijão","Londero, Patrícia Medianeira Grigoletto, Ribeiro, Nerinéia Dalfollo, Cargnelutti Filho, Alberto","Ciência e Agrotecnologia; 32(1); 167-173","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100024&lang=pt" 
"S1413-70542008000100029-scl","Efeito de diferentes sanificantes sobre a qualidade de morango cv. Oso Grande","Reis, Kelen Cristina dos, Siqueira, Heloisa Helena de, Alves, Alessandra de Paiva, Silva, José Daniel, Lima, Luiz Carlos de Oliveira","Ciência e Agrotecnologia; 32(1); 196-202","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100029&lang=pt" 
"S1413-70542008000100031-scl","Qualidade da carne de marreco pequim branco (Anas Platyrhynchos platyrhynchos L. 1758) comparado a frango de corte","Faria, Peter Bitencourt, Vicente Neto, João, Bressan, Maria Cristina, Mesquita, Fabrício Rivelli, Tavares, Sandra Aparecida, Gama, Luis Telo da","Ciência e Agrotecnologia; 32(1); 213-218","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100031&lang=pt" 
"S1413-70542008000100033-scl","Propriedades físicas do feijão durante a secagem: determinação e modelagem","Resende, Osvaldo, Corrêa, Paulo César, Goneli, André Luís Duarte, Ribeiro, Deise Menezes","Ciência e Agrotecnologia; 32(1); 225-230","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100033&lang=pt" 
"S1806-37132008000200002-scl","Alterações histopatológicas pulmonares em pacientes com insuficiência respiratória aguda: um estudo em autopsias","Soeiro, Alexandre de Matos, Parra, Edwin Roger, Canzian, Mauro, Farhat, Cecília, Capelozzi, Vera Luiza","Jornal Brasileiro de Pneumologia; 34(2); 67-73","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000200002&lang=pt" 
"S1806-37132008000200004-scl","Prevalência de hipertensão pulmonar avaliada por ecocardiografia Doppler em uma população de pacientes adolescentes e adultos com fibrose cística","Rovedder, Paula Maria Eidt, Ziegler, Bruna, Pinotti, Antônio Fernando Furlan, Menna Barreto, Sérgio Saldanha, Dalcin, Paulo de Tarso Roth","Jornal Brasileiro de Pneumologia; 34(2); 83-90","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000200004&lang=pt" 
"S1806-37132008000200005-scl","O tabagismo em um município de pequeno porte: um estudo etnográfico como base para geração de um programa de saúde pública","Falcão, Thales Jenner de Oliveira, Costa, Iris do Céu Clara","Jornal Brasileiro de Pneumologia; 34(2); 91-97","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000200005&lang=pt" 
"S1806-37132008000200006-scl","Uveíte por tuberculose em um centro de referência no Sudeste do Brasil","Campos, Wesley Ribeiro, Henriques, Juliana Fulgêncio, Kritski, Afrânio Lineu, Curi, André, Pimentel, Rosita Tomishi, Spindola de Miranda, Silvana","Jornal Brasileiro de Pneumologia; 34(2); 98-102","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000200006&lang=pt" 
"S1806-37132008000200008-scl","Fibrose cística no adulto: aspectos diagnósticos e terapêuticos","Dalcin, Paulo de Tarso Roth, Abreu e Silva, Fernando Antônio de","Jornal Brasileiro de Pneumologia; 34(2); 107-117","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000200008&lang=pt" 
"S1806-37132008000200003-scl","Aspiração de corpo estranho em crianças: aspectos clínicos, radiológicos e tratamento broncoscópico","Fraga, Andrea de Melo Alexandre, Reis, Marcelo Conrado dos, Zambon, Mariana Porto, Toro, Ivan Contrera, Ribeiro, José Dirceu, Baracat, Emilio Carlos Elias","Jornal Brasileiro de Pneumologia; 34(2); 74-82","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000200003&lang=pt" 
"S0004-27302008000100002-scl","Cem anos de imigração japonesa no Brasil: lições sociometabólicas","Geloneze, Bruno, Yamanaka, Ademar","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 3-5","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100002&lang=pt" 
"S0004-27302008000100001-scl","Submissão on-line ABE&amp;M: uma esperada conquista","Kimura, Edna T.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 1-2","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100001&lang=pt" 
"S0004-27302008000100003-scl","Hiperatividade simpática na obesidade","Carvalheira, José Barreto Campello","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 6-7","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100003&lang=pt" 
"S0004-27302008000100022-scl","Devemos mudar os valores de referência para TSH normal?","Ward, Laura Sterian","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 141-142","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100022&lang=pt" 
"S0004-27302008000100008-scl","Efeito da indução de obesidade neuroendócrina sobre a hemodinâmica sistêmica e a função ventricular esquerda de ratos normotensos","Voltera, Alina F., Cesaretti, Mário L. R., Ginoza, Milton, Kohlmann Jr., Osvaldo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 47-54","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100008&lang=pt" 
"S0004-27302008000100007-scl","Distúrbios no perfil lipídico são altamente prevalentes em população nipo-brasileira","Siqueira, Antonela F. A., Harima, Helena A., Osiro, Katsumi, Hirai, Amélia T., Gimeno, Suely G. A., Ferreira, Sandra R. G.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 40-46","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100007&lang=pt" 
"S0004-27302008000100021-scl","Octreotide-LAR-associated erythema multiforme in an acromegalic subject: case report","Cavalin, Leda R., Oliveira, Maria L. de, Diehl, Leandro A.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 138-140","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100021&lang=pt" 
"S0004-27302008000100020-scl","Diabetes insípido em paciente com esclerose múltipla","Weiler, Fernanda G., Blumberg, Kátia, Liboni, Claudia S., Roque, Eduardo A. C., Góis, Aécio F. T. de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 134-137","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100020&lang=pt" 
"S0004-27302008000100009-scl","Avaliação do metabolismo da glicose em pacientes acromegálicos antes e após tratamento com octreotide LAR","Correa, Lívia L., Taboada, Giselle F., Van Haute, Flávia R., Casini, Alessandra F., Balarini, Giovanna A., Vieira Neto, Leonardo, Machado, Evelyn de O., Fontes, Rosita, Andrade, Cláudia C. de, Schrank, Yolanda, Gadelha, Mônica R.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 55-64","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100009&lang=pt" 
"S0004-27302008000100017-scl","Metformina e AMPK: um antigo fármaco e uma nova enzima no contexto da síndrome metabólica","Santomauro Jún, Augusto Cézar, Ugolini, Michelle Remião, Santomauro, Ana Teresa, Souto, Ricardo Peres do","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 120-125","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100017&lang=pt" 
"S0004-27302008000100012-scl","Sobrepeso na adolescência de filhos de mães que tiveram distúrbios glicêmicos na gestação","Buzinaro, Elizabeth Fernandes, Berchieri, Carolina Bragiola, Haddad, Adriana Lúcia Mendes, Padovani, Carlos Roberto, Pimenta, Walkyria de Paula","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 85-92","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100012&lang=pt" 
"S0004-27302008000100019-scl","Neurofibroma de tireóide em uma paciente com neurofibromatose tipo 1","Severo, Mateus Dornelles, Rosa, Verônica Denardin da, De Carli, Diego Michelon, Beck, Maristela de Oliveira, Danbermam, Melissa Falster","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 131-133","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100019&lang=pt" 
"S0004-27302008000100015-scl","Triiodothyronine (T3) does not induce Rankl expression in rat Ros 17/2.8 cells","Saraiva, Patrícia P., Teixeira, Silvania S., Nogueira, Célia Regina, Padovani, Carlos Roberto","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 109-113","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100015&lang=pt" 
"S0004-27302008000100014-scl","Estudo comparativo do uso de prednisolona versus acetato de hidrocortisona no tratamento da hiperplasia adrenal congênita por deficiência da 21-hidroxilase forma clássica","Leite, Flavia M., Longui, Carlos A., Kochi, Cristiane, Faria, Claudia, Borghi, Mauro, Calliari, Luis Eduardo P., Monte, Osmar","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 101-108","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100014&lang=pt" 
"S0004-27302008000100016-scl","Contribuição da tomografia computadorizada em pacientes com metástases pulmonares de carcinoma diferenciado de tireóide não-aparentes na radiografia e tratados com radioiodo","Rosário, Pedro W. S., Tavares, Wilson C., Barroso, Álvaro L., Rezende, Leonardo L., Padrão, Eduardo L., Purisch, Saulo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 114-119","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100016&lang=pt" 
"S0037-86822008000100001-scl","Identification and differentiation of Candida species from pediatric patients by random amplified polymorphic DNA","Rocha, Bruno Aragão, Del Negro, Gilda Maria Barbaro, Yamamoto, Lidia, Souza, Mariana Vitule Brito de, Precioso, Alexander Roberto, Okay, Thelma Suely","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 1-5","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100001&lang=pt" 
"S0037-86822008000100002-scl","Serum levels of interleukin-6, tumor necrosis factor-alpha and interferon-gama in infants with and without dengue","Restrepo, Berta Nelly, Isaza, Diana María, Salazar, Clara Lina, Ramírez, Ruth, Ospina, Marta, Alvarez, Luis Gonzalo","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 6-10","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100002&lang=pt" 
"S0037-86822008000100003-scl","High frequency of resistance to the drugs isoniazid and rifampicin among tuberculosis cases in the city of Cabo de Santo Agostinho, an urban area in Northeastern Brazil","Baliza, Marcilio, Bach, Artur Henrique, Queiroz, Gabriel Lobo de, Melo, Inês Cardoso, Carneiro, Maria Madileuza, Albuquerque, Maria de Fátima Pessoa Militão de, Suffys, Philip, Rodrigues, Laura, Ximenes, Ricardo, Lucena-Silva, Norma","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 11-16","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100003&lang=pt" 
"S0037-86822008000100004-scl","Pesquisa de infecção natural de flebotomíneos por Leishmania, no Estado do Paraná","Neitzke, Herintha Coeto, Scodro, Regiane Bertin de Lima, Castro, Kárin Rosi Reinhold de, Sversutti, Alessandra de Cássia Dias, Silveira, Thaís Gomes Verzignassi, Teodoro, Ueslei","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 17-22","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100004&lang=pt" 
"S0037-86822008000100005-scl","Candidemia em um hospital terciário brasileiro: incidência, freqüência das diferentes espécies, fatores de risco e suscetibilidade aos antifúngicos","França, João Cesar Beenke, Ribeiro, Clea Elisa Lopes, Queiroz-Telles, Flávio de","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 23-28","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100005&lang=pt" 
"S0037-86822008000100006-scl","Aspectos da realidade social de crianças e adolescentes atendidos em serviço de referência para filariose bancroftiana, Recife, estado de Pernambuco","Mattos, Denise, Mota, Solange, Dreyer, Gerusa","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 29-35","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100006&lang=pt" 
"S0037-86822008000100010-scl","Comparative study of survivor and nonsurvivor sepsis patients in a university hospital","Oliveira, Aline Pâmela Vieira de, Barata, Cristina Hueb, Murta, Eddie Fernando Candido, Tavares-Murta, Beatriz Martins","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 50-54","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100010&lang=pt" 
"S0037-86822008000100011-scl","Análise espacial e determinação de áreas para o controle da malária no Estado de Rondônia","Rodrigues, Aline de Freitas, Escobar, Ana Lúcia, Souza-Santos, Reinaldo","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 55-64","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100011&lang=pt" 
