"S1516-73132016000401097-scl","Aprendizagem do professor: uma leitura possível","Boas, Jamille Vilas, Barbosa, Jonei Cerqueira","Ciência &amp; Educação (Bauru); 22(4); 1097-1107","Ciência &amp; Educação (Bauru)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000401097&lang=pt" 
"S1413-78522016000600327-scl","THE CORRECT IMPLANT CHOICE FOR TRANSTROCHANTERIC FRACTURE IN BRAZIL","Torquato, Diogo Fernandes, Bordini, André Figueiredo, Ferreira, Gustavo, Takata, Edmilson Takehiro, Trigueiro, Gustavo, Basile, Ricardo","Acta Ortopédica Brasileira; 24(6); 327-329","Acta Ortopédica Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600327&lang=pt" 
"S0101-32892016000400392-scl","Atribuição dada pelo levantador em sua organização ofensiva ao papel do treinador: da base ao alto nível do voleibol","Matias, Cristino Julio Alves da Silva, Greco, Pablo Juan","Revista Brasileira de Ciências do Esporte; 38(4); 392-399","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400392&lang=pt" 
"S1413-78522016000600330-scl","TEMPOROMANDIBULAR DYSFUNCTION, STRESS AND COMMON MENTAL DISORDER IN UNIVERSITY STUDENTS","Augusto, Viviane Gontijo, Perina, Keity Cristina Bueno, Penha, Daniel Silva Gontijo, Santos, Daiane Carolina Alves dos, Oliveira, Valéria Aparecida Souza","Acta Ortopédica Brasileira; 24(6); 330-333","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600330&lang=pt" 
"S0004-282X2016001201031-scl","Neuromodulation in refractory epilepsy: Brazilian specialists consensus","Terra, Vera Cristina, D’Andrea-Meira, Isabella, Amorim, Ricardo, Arruda, Francisco, Oliveira, Andrea Julião de, Paola, Luciano De, Henriques-Souza, Adélia Maria de Miranda","Arquivos de Neuro-Psiquiatria; 74(12); 1031-1034","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001201031&lang=pt" 
"S0004-282X2016001200953-scl","Neurological outcomes after hematopoietic stem cell transplantation for cerebral X-linked adrenoleukodystrophy, late onset metachromatic leukodystrophy and Hurler syndrome","Saute, Jonas Alex Morales, Souza, Carolina Fischinger Moura de, Poswar, Fabiano de Oliveira, Donis, Karina Carvalho, Campos, Lillian Gonçalves, Deyl, Adriana Vanessa Santini, Burin, Maira Graeff, Vargas, Carmen Regla, Matte, Ursula da Silveira, Giugliani, Roberto, Saraiva-Pereira, Maria Luiza, Vedolin, Leonardo Modesti, Gregianin, Lauro José, Jardim, Laura Bannach","Arquivos de Neuro-Psiquiatria; 74(12); 953-966","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200953&lang=pt" 
"S0004-282X2016001200986-scl","Simple prediction model for unfavorable outcome in ischemic stroke after intravenous thrombolytic therapy","Amitrano, Daniel, Silva, Ivan Rocha Ferreira da, Liberato, Bernardo B., Batistella, Valéria, Oliveira, Janaina, Nascimento, Osvaldo J. M.","Arquivos de Neuro-Psiquiatria; 74(12); 986-989","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200986&lang=pt" 
"S0103-05822016000400447-scl","Care needs of children with disabilities - Use of the Pediatric Evaluation of Disability Inventory","Teles, Fernanda Moreira, Resegue, Rosa, Puccini, Rosana Fiorini","Revista Paulista de Pediatria; 34(4); 447-453","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400447&lang=pt" 
"S0103-05822016000400418-scl","Impact of the pneumococcal 10-valent vaccine on reducing hospitalization for community-acquired pneumonia in children","Silva, Sandra Rodrigues da, Mello, Luane Marques de, Silva, Anderson Soares da, Nunes, Altacílio Aparecido","Revista Paulista de Pediatria; 34(4); 418-424","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400418&lang=pt" 
"S0103-05822016000400460-scl","Analysis of factors associated with excess weight in school children","Pinto, Renata Paulino, Nunes, Altacílio Aparecido, Mello, Luane Marques de","Revista Paulista de Pediatria; 34(4); 460-468","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400460&lang=pt" 
"S2236-46332016000300052-scl","The Global Career of Indian Opium and Local Destinies","Farooqui, Amar","Almanack; (14); 52-73","Almanack","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-46332016000300052&lang=pt" 
"S0101-32892016000400407-scl","Artes marciais mistas: luta por afirmação e mercado da luta","Millen Neto, Alvaro Rego, Garcia, Roberto Alves, Votre, Sebastião Josué","Revista Brasileira de Ciências do Esporte; 38(4); 407-413","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400407&lang=pt" 
"S1413-82712016000300487-scl","Adaptação do Questionário dos Fundamentos Morais para o Português","Silvino, Alexandre Magno Dias, Pilati, Ronaldo, Keller, Victor Nahuel, Silva, Elena Pinheiro, Freitas, Aline Fernandes de Paula, Silva, Juliana Nunes, Lima, Maíra Fernandes","Psico-USF; 21(3); 487-495","Psico-USF","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300487&lang=pt" 
"S0103-05822016000400518-scl","Bilateral spontaneous chylothorax after severe vomiting in children","Rodrigues, Antonio Lucas Lima, Romaneli, Mariana Tresoldi das Neves, Ramos, Celso Dario, Fraga, Andrea de Melo Alexandre, Pereira, Ricardo Mendes, Appenzeller, Simone, Marini, Roberto, Tresoldi, Antonia Teresinha","Revista Paulista de Pediatria; 34(4); 518-521","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400518&lang=pt" 
"S0101-32892016000400342-scl","Déficits no equilíbrio muscular em jovens atletas de ginástica feminina","Benck, Bruna Travassos, David, Ana Cristina de, Carmo, Jake Carvalho do","Revista Brasileira de Ciências do Esporte; 38(4); 342-348","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400342&lang=pt" 
"S1413-82712016000300513-scl","Team Performance: Evidence for Validity of a Measure","Puente-Palacios, Katia, Martins, Maria do Carmo Fernandes, Palumbo, Salvatore","Psico-USF; 21(3); 513-525","Psico-USF","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300513&lang=pt" 
"S0103-05822016000400425-scl","Pediatrician&#039;s knowledge on the approach of functional constipation","Vieira, Mario C., Negrelle, Isadora Carolina Krueger, Webber, Karla Ulaf, Gosdal, Marjorie, Truppel, Sabine Krüger, Kusma, Solena Ziemer","Revista Paulista de Pediatria; 34(4); 425-431","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400425&lang=pt" 
"S1413-78522016000600322-scl","BRAZILIAN ORTHOPEDISTS&#039; OPINIONS AND PERCEPTIONS ON FEMOROACETABULAR IMPINGEMENT","Ejnisman, Leandro, Khan, Moin, Ayeni, Olufemi Rolland, Bhandari, Mohit, Miyahara, Helder de Souza, Vicente, Jose Ricardo Negreiros","Acta Ortopédica Brasileira; 24(6); 322-326","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600322&lang=pt" 
"S0101-32892016000400414-scl","Os discursos de corpo bem dito, mal dito e não dito: uma análise a partir de filmes","Gomes, Isabelle Sena, Caminha, Iraquitan de Oliveira","Revista Brasileira de Ciências do Esporte; 38(4); 414-421","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400414&lang=pt" 
"S0004-282X2016001200967-scl","Caregivers’ resilience is independent from the clinical symptoms of dementia","Dias, Rachel, Simões-Neto, José Pedro, Santos, Raquel Luiza, Sousa, Maria Fernanda Barroso de, Baptista, Maria Alice Tourinho, Lacerda, Isabel Barbeito, Kimura, Nathalia Ramos Santos, Dourado, Marcia Cristina Nascimento","Arquivos de Neuro-Psiquiatria; 74(12); 967-973","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200967&lang=pt" 
"S0101-32892016000400334-scl","Variáveis psicofisiológicas durante exercício físico frente a diferentes condutas de alimentação e hidratação","Faria, Valéria Cristina de, Lima, Luciana Moreira, Pereira, Juscélia Cristina, Marins, João Carlos Bouzas","Revista Brasileira de Ciências do Esporte; 38(4); 334-341","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400334&lang=pt" 
"S0004-282X2016001200951-scl","Attention deficit-hyperactivity disorder in patients in rehabilitation of drug addiction","Guerreiro, Marilisa M.","Arquivos de Neuro-Psiquiatria; 74(12); 951-952","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200951&lang=pt" 
"S0103-05822016000400454-scl","Maternal breastfeeding, early introduction of non-breast milk, and excess weight in preschoolers","Nascimento, Viviane Gabriela, da Silva, Janaína Paula Costa, Ferreira, Patrícia Calesco, Bertoli, Ciro João, Leone, Claudio","Revista Paulista de Pediatria; 34(4); 454-459","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400454&lang=pt" 
"S1413-82712016000300583-scl","Stressors and Perceived Social Support in Women/Mothers with Depression","Silva, Ana Paula Casagrande, Pizeta, Fernanda Aguiar, Loureiro, Sonia Regina","Psico-USF; 21(3); 583-594","Psico-USF","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300583&lang=pt" 
"S0004-282X2016001201008-scl","Refractory epilepsy in children with brain tumors. The urgency of neurosurgery","Bernardino, Marília Rosa Abtibol, Funayama, Carolina, Hamad, Ana Paula Andrade, Machado, Hélio, Sakamoto, Américo, Thome, Ursula, Terra, Vera Cristina, Santos, Antonio Carlos dos","Arquivos de Neuro-Psiquiatria; 74(12); 1008-1013","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001201008&lang=pt" 
"S0004-282X2016001201035-scl","Charcot, Mitchell and Lees: neurology free thinkers and their experiences of psychoactive drugs","Teive, Hélio A. G., Germiniani, Francisco M.B., Kowacs, Pedro A., Munhoz, Renato P.","Arquivos de Neuro-Psiquiatria; 74(12); 1035-1038","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001201035&lang=pt" 
"S1413-82712016000300651-scl","Wishes and Gratitude of Students from Private and Public Schools","Merçon-Vargas, Elisa A., Pieta, Maria Adélia M., Freitas, Lia Beatriz de Lucca, Tudge, Jonathan R. H.","Psico-USF; 21(3); 651-662","Psico-USF","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300651&lang=pt" 
"S0103-05822016000400469-scl","Association between cardiorespiratory fitness and body fat in girls","Minatto, Giseli, Sousa, Thiago Ferreira de, Carvalho, Wellington Roberto Gomes de, Ribeiro, Roberto Régis, Santos, Keila Donassolo, Petroski, Edio Luiz","Revista Paulista de Pediatria; 34(4); 469-475","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400469&lang=pt" 
"S0004-282X2016001201014-scl","Factor structure and psychometric properties of the Dispositional Resilience Scale among Brazilian adult patients","Solano, João Paulo Consentino, Bracher, Eduardo Sawaya Botelho, Faisal-Cury, Alexandre, Ashmawi, Hazem Adel, Carmona, Maria José Carvalho, Lotufo Neto, Francisco, Vieira, Joaquim Edson","Arquivos de Neuro-Psiquiatria; 74(12); 1014-1020","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001201014&lang=pt" 
"S0101-32892016000400328-scl","Efeito de exercícios físicos e de lazer sobre os níveis de cortisol plasmático em pacientes com Aids","Pupulin, Aurea Regina Telles, Herold, Patricia, Monteiro, Mariana Augusto, Romancini, Jayder Lucas Hotts, Pimentel, Giuliano Gomes de Assis","Revista Brasileira de Ciências do Esporte; 38(4); 328-333","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400328&lang=pt" 
"S0004-282X2016001200982-scl","Patients with multiple sclerosis present low levels of empathy","Almeida, Marcos Barbosa de, Going, Luana Carramilo, Fragoso, Yara Dadalti","Arquivos de Neuro-Psiquiatria; 74(12); 982-985","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200982&lang=pt" 
"S0103-05822016000400397-scl","Relation between safe use of medicines and Clinical Pharmacy Services at Pediatric Intensive Care Units","Okumura, Lucas Miyake, da Silva, Daniella Matsubara, Comarella, Larissa","Revista Paulista de Pediatria; 34(4); 397-402","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400397&lang=pt" 
"S0103-05822016000400439-scl","Impact of extrinsic factors on fine motor performance of children attending day care","Corsi, Carolina, Santos, Mariana Martins dos, de Andrade Perez Marques, Luísa, Rocha, Nelci Adriana Cicuto Ferreira","Revista Paulista de Pediatria; 34(4); 439-446","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400439&lang=pt" 
"S0103-05822016000400395-scl","In time: Eosinophilic esophagitis: when to suspect it and how to diagnose it in children and adolescents","Chehade, Mirna","Revista Paulista de Pediatria; 34(4); 395-396","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400395&lang=pt" 
"S0103-05822016000400412-scl","Use of honey associated with Ananas comosus (Bromelin) in the treatment of acute irritative cough","Peixoto, Décio Medeiros, Rizzo, José Angelo, Schor, Deborah, Silva, Almerinda Rêgo, Oliveira, Dinaldo Cavalcanti de, Solé, Dirceu, Sarinho, Emanuel","Revista Paulista de Pediatria; 34(4); 412-417","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400412&lang=pt" 
"S0101-32892016000400358-scl","O status da partida e a amplitude de circulação da bola da seleção espanhola de futebol na Copa do Mundo Fifa® 2010","Santos, Rodrigo, Moraes, Emerson, Teoldo, Israel","Revista Brasileira de Ciências do Esporte; 38(4); 358-362","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400358&lang=pt" 
"S2236-46332016000300118-scl","Global History and Latin American History: A Comment","Paz, Gustavo L.","Almanack; (14); 118-124","Almanack","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-46332016000300118&lang=pt" 
"S0103-05822016000400495-scl","Diagnosis of infant synostotic and nonsynostotic cranial deformities: a review for pediatricians","Ghizoni, Enrico, Denadai, Rafael, Raposo-Amaral, Cesar Augusto, Joaquim, Andrei Fernandes, Tedeschi, Helder, Raposo-Amaral, Cassio Eduardo","Revista Paulista de Pediatria; 34(4); 495-502","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400495&lang=pt" 
"S0103-05822016000400489-scl","Factors associated with caries: a survey of students from southern Brazil","Borges, Tássia Silvana, Schwanke, Natalí Lippert, Reuter, Cézane Priscila, Neto, Léo Kraether, Burgos, Miria Suzana","Revista Paulista de Pediatria; 34(4); 489-494","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400489&lang=pt" 
"S1413-82712016000300609-scl","Significados Construídos acerca das Instituições Socioeducativas: Entre o Imaginado e o Vivido","Padovani, Andréa Sandoval, Ristum, Marilena","Psico-USF; 21(3); 609-622","Psico-USF","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300609&lang=pt" 
"S0101-32892016000400370-scl","Efeito da idade relativa nas categorias do futebol brasileiro: critérios de seleção ou uma tendência populacional?","Rabelo, Felipe Nunes, Pasquarelli, Bruno Natale, Matzenbacher, Fernando, Campos, Fábio Angioluci Diniz, Osiecki, Raul, Dourado, Antônio Carlos, Stanganelli, Luiz Cláudio Reeberg","Revista Brasileira de Ciências do Esporte; 38(4); 370-375","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400370&lang=pt" 
"S0101-32892016000400400-scl","Jornada escolar versus tempo de treinamento: a profissionalização no futebol e a formação na escola básica","Melo, Leonardo Bernardes Silva de, Rocha, Hugo Paula Almeida da, Silva, André Luiz da Costa e, Soares, Antonio Jorge Gonçalves","Revista Brasileira de Ciências do Esporte; 38(4); 400-406","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400400&lang=pt" 
"S1413-78522016000600296-scl","RESPIRATORY MUSCLE STRENGTH IN IDIOPATHIC SCOLIOSIS AFTER TRAINING PROGRAM","Alves, Vera Lúcia dos Santos, Avanzi, Osmar","Acta Ortopédica Brasileira; 24(6); 296-299","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600296&lang=pt" 
"S0101-32892016000400376-scl","A percepção de professores polivalentes regentes do ensino fundamental sobre a educação física","Sousa, Cleyton Batista de, Moura, Diego Luz, Antunes, Marcelo Moreira","Revista Brasileira de Ciências do Esporte; 38(4); 376-383","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400376&lang=pt" 
"S1413-82712016000300527-scl","Atitudes e Representações em Saúde Mental: Um Estudo com Universitários","Sousa, Patrícia Fonseca de, Maciel, Silvana Carneiro, Medeiros, Katruccy Tenório, Vieira, Giselli Lucy Souza","Psico-USF; 21(3); 527-538","Psico-USF","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300527&lang=pt" 
"S1413-82712016000300551-scl","Memória de Reconhecimento: Modelos de Processamento Simples versus Duplo","Jaeger, Antônio","Psico-USF; 21(3); 551-560","Psico-USF","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300551&lang=pt" 
"S0101-32892016000400321-scl","Associação entre aptidão cardiorrespiratória percebida e função do assoalho pélvico em mulheres","Sacomori, Cinara, Porto, Isabela dos Passos, Cardoso, Fernando Luiz, Sperandio, Fabiana Flores","Revista Brasileira de Ciências do Esporte; 38(4); 321-327","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400321&lang=pt" 
"S0103-05822016000400484-scl","Phase angle and World Health Organization criteria for the assessment of nutritional status in children with osteogenesis imperfecta","Pileggi, Vicky Nogueira, Scalize, Antonio Rodolpho Hakime, Camelo Junior, José Simon","Revista Paulista de Pediatria; 34(4); 484-488","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400484&lang=pt" 
"S0004-282X2016001201039-scl","Guillain-Barré syndrome and dengue fever: report on ten new cases in Brazil","Fragoso, Yara Dadalti, Gomes, Sidney, Brooks, Joseph Bruno Bidin, Matta, Andre Palma da Cunha, Ruocco, Heloisa Helena, Tauil, Carlos Bernardo, Sousa, Nise Alessandra de Carvalho, Spessotto, Caroline Vieira, Grippe, Talyta","Arquivos de Neuro-Psiquiatria; 74(12); 1039-1040","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001201039&lang=pt" 
"S1413-82712016000300539-scl","Adaptation and Validation of Sport-Confidence Measure to Gymnasts and Football Players","Frischknecht, Gabriela, Pesca, Andréa Duarte, Cruz, Roberto Moraes","Psico-USF; 21(3); 539-549","Psico-USF","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300539&lang=pt" 
"S0004-282X2016001200990-scl","Prevalence of chronic pain in a metropolitan area of a developing country: a population-based study","Leão Ferreira, Karine A. S., Bastos, Telma Regina P. D., Andrade, Daniel Ciampi de, Silva, Aline Medeiros, Appolinario, José Carlos, Teixeira, Manoel Jacobsen, Latorre, Maria do Rosário Dias de Oliveira","Arquivos de Neuro-Psiquiatria; 74(12); 990-998","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200990&lang=pt" 
"S0004-282X2016001201003-scl","Attention deficit hyperactivity disorder and drug addiction rehabilitation patients","Camargo, Carlos Henrique Ferreira, Dornelles, Tarcísio Fanha, Barszcz, Karin, Martins, Eduardo Antunes","Arquivos de Neuro-Psiquiatria; 74(12); 1003-1007","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001201003&lang=pt" 
"S0101-32892016000400315-scl","Preferência lateral percebida e diagnosticada em adolescentes","Oliveira, Tatiane Flavia de, Baravieira, Evandro, Porto, Alessandra Beggiato, Okazaki, Victor Hugo Alves","Revista Brasileira de Ciências do Esporte; 38(4); 315-320","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400315&lang=pt" 
"S0103-05822016000400476-scl","Behavior change stages related to physical activity in adolescents from Santa Catarina: prevalence and associated factors","Silva, Jaqueline Aragoni da, Silva, Kelly Samara da, Lopes, Adair da Silva, Nahas, Markus Vinícius","Revista Paulista de Pediatria; 34(4); 476-483","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400476&lang=pt" 
"S0004-282X2016001200949-scl","Neurological outcome in patients with inborn errors of metabolism submitted to hematopoietic stem cell transplantation. What should we expect?","Lange, Marcos C.","Arquivos de Neuro-Psiquiatria; 74(12); 949-950","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200949&lang=pt" 
"S1413-78522016000600318-scl","ISCHIOFEMORAL IMPINGEMENT: ASSESSMENT OF MRI FINDINGS AND THEIR RELIABILITY","Akça, Ahmet, Şafak, Kadihan Yalçın, İliş, Ebru Dülger, Taşdemir, Zeki, Baysal, Tamer","Acta Ortopédica Brasileira; 24(6); 318-321","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600318&lang=pt" 
"S1413-82712016000300497-scl","Análise da Estrutura Interna do Psicodiagnóstico Miocinético - PMK","Silva, Eni Ribeiro da, Rueda, Fabián J. M.","Psico-USF; 21(3); 497-512","Psico-USF","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300497&lang=pt" 
"S0101-32892016000400349-scl","Impacto de diferentes estratégias de ensino no desenvolvimento do conhecimento declarativo de iniciantes na ginástica artística","Aleixo, Ivana Montandon Soares, Mesquita, Isabel","Revista Brasileira de Ciências do Esporte; 38(4); 349-357","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400349&lang=pt" 
"S0103-05822016000400432-scl","Effect of interaction with clowns on vital signs and non-verbal communication of hospitalized children","Alcântara, Pauline Lima, Wogel, Ariane Zonho, Rossi, Maria Isabela Lobo, Neves, Isabela Rodrigues, Sabates, Ana Llonch, Puggina, Ana Cláudia","Revista Paulista de Pediatria; 34(4); 432-438","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400432&lang=pt" 
"S0004-282X2016001200974-scl","The correlation between EDSS and cognitive impairment in MS patients. Assessment of a Brazilian population using a BICAMS version","Caneda, Marco A. G. de, Vecino, Maria Cecília A. de","Arquivos de Neuro-Psiquiatria; 74(12); 974-981","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200974&lang=pt" 
"S1413-78522016000600291-scl","ANALYSIS OF RISK FACTORS FOR SUCCESS OF LUMBAR SPINAL STENOSIS SURGERY","Brêtas, Caroline Oliveira, Valentim, Larissa Furbino de Pinho, Elias, Nelson, Cardoso, Igor Machado, Almeida, Joelmar César de, Jacob Júnior, Charbel","Acta Ortopédica Brasileira; 24(6); 291-295","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600291&lang=pt" 
"S1413-82712016000300623-scl","Conflitos Familiares e Práticas Educativas Parentais como Preditores de Dependência de Internet","Terres-Trindade, Michele, Mosmann, Clarisse Pereira","Psico-USF; 21(3); 623-633","Psico-USF","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300623&lang=pt" 
"S0034-75902016000600641-scl","DOES THE INSTITUTIONAL ENVIRONMENT AFFECT CSR DISCLOSURE? THE ROLE OF GOVERNANCE","RODRÍGUEZ, MARÍA DEL MAR MIRAS, PÉREZ, BERNABÉ ESCOBAR","Revista de Administração de Empresas; 56(6); 641-654","Revista de Administração de Empresas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902016000600641&lang=pt" 
"S1413-86702016000600610-scl","Aptamers as a promising approach for the control of parasitic diseases","Ospina-Villa, Juan David, Zamorano-Carrillo, Absalom, Castañón-Sánchez, Carlos A., Ramírez-Moreno, Esther, Marchat, Laurence A.","Brazilian Journal of Infectious Diseases; 20(6); 610-618","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000600610&lang=pt" 
"S0103-18132016000300541-scl","O ENSINO DE LÍNGUA INGLESA E A IDENTIDADE DE CLASSE SOCIAL: ALGUNS APONTAMENTOS","Santos, Gabriel Nascimento dos, Mastrella-de-Andrade, Mariana Rosa","Trabalhos em Linguística Aplicada; 55(3); 541-563","Trabalhos em Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132016000300541&lang=pt" 
"S0034-75902016000600600-scl","FRANCHISOR-FRANCHISEE RELATIONSHIP QUALITY: TIME OF RELATIONSHIP AND PERFORMANCE","VAROTTO, LUÍS FERNANDO, PARENTE, JURACY GOMES","Revista de Administração de Empresas; 56(6); 600-610","Revista de Administração de Empresas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902016000600600&lang=pt" 
"S0103-18132016000300565-scl","CONCEITOS DE IDENTIDADE SURDA NO DISCURSO MIDIÁTICO SOBRE A INCLUSÃO EDUCATIVA NA ALEMANHA","Zambrano, Romana Castro, Pedrosa, Cleide Emília Faye","Trabalhos em Linguística Aplicada; 55(3); 565-590","Trabalhos em Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132016000300565&lang=pt" 
