"S1728-59172008000100012-per","Breves notas sobre el Dr. Hugo Lumbreras Cruz (1924 - 1985)","Guerra Allison, Humberto","Acta Médica Peruana; 25(1); 52-55","Acta Médica Peruana","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172008000100012&lang=pt" 
"S1645-00862008000100014-prt","Qualidade de vida e ajustamento psicossocial da mulher com cancro da mama: do diagnóstico à sobrevivência","Moreira, Helena, Silva, Sónia, Canavarro, Cristina","Psicologia, Saúde &amp; Doenças; 9(1); 165-184","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100014&lang=pt" 
"S1645-00862008000100006-prt","Promoção de qualidade de vida em crianças e adolescentes","Gaspar, T., Ribeiro, J.L.Pais, Matos, M.G., Leal, I.","Psicologia, Saúde &amp; Doenças; 9(1); 55-71","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100006&lang=pt" 
"S0001-63652008000400019-ven","Tumor central de células gigantes: Reporte de un caso y revisión de la literatura","Esgaib Kayatt, Fernando, Garcia Júnior, Idelmo Rangel, Lima Kayatt, Daniel, Bogarin Ocampos, Victor Andrés, Kayatt Lacoski, Marcelo","Acta Odontológica Venezolana; 46(4); 506-508","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400019&lang=pt" 
"S0001-63652008000400018-ven","Pernos intrarradiculares de fibra de vidrio: Caso clínico","da Cunha Uchôa, Roseanne, Hipólito Paredes, Áurea, Oertly Cahú, Daniela, Brito Pereira de Melo, Ângelo, Montenegro, Robinsom   Viégas, Pedrosa, Ricardo, Braz, Rodivan","Acta Odontológica Venezolana; 46(4); 501-505","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400018&lang=pt" 
"S0001-63652008000400015-ven","Sedación analgesia con dexmedetomidina comparada con propofol en Procedimientos de cirugía bucal","Salazar Merchán, Alejandro","Acta Odontológica Venezolana; 46(4); 487-494","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400015&lang=pt" 
"S0001-63652008000400014-ven","Perfil epidemiológico de personas VIH/SIDA asistidas odontológicamente en el centro de atención a personas con enfermedades infectocontagiosas. (Capei/UCV) facultad de odontología. Universidad central de Venezuela","Tovar, V, Guerra, ME, Araujo, A","Acta Odontológica Venezolana; 46(4); 481-486","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400014&lang=pt" 
"S0001-63652008000400017-ven","Pénfigo vulgar importancia para el odontólogo en el diagnóstico","Simonato, Luciana Estevam, Prado Ribeiro, Ana Carolina, dos Santos Silva, Alan Roger, Pires Soubhia, Ana Maria, Issamu Miyahara, Glauco","Acta Odontológica Venezolana; 46(4); 498-500","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400017&lang=pt" 
"S0001-63652008000400016-ven","Manejo quirurgico de granuloma piogénico atípico: Presentación de caso","Cedeño, J.A, García, R, Cutanda, M. M, Gomez, J. A","Acta Odontológica Venezolana; 46(4); 495-497","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400016&lang=pt" 
"S0001-63652008000400011-ven","Influencia del envejecimiento artificial acelerado sobre la resistencia a compresión de resinas compuestas","Nicoluzzi, Alexandro, Ribeiro Moysés, Marcos, Candido dos Reis, Andréa, Rabelo Ribeiro, José Carlos, Candido Dias, Sérgio","Acta Odontológica Venezolana; 46(4); 465-468","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400011&lang=pt" 
"S0001-63652008000400010-ven","Influencia de la técnica de preparación de cavidades sobre la microfiltración marginal","Loiola Cordeiro, Rita de Cássia, Baffi Diniz, Michele, de Almeida Rodrigues, Jonas, Orbegoso Flores, Victor","Acta Odontológica Venezolana; 46(4); 460-464","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400010&lang=pt" 
"S0001-63652008000400013-ven","Patología ultraestructural del infiltrado inflamatorio en la displasia Epitelial y carcinoma espinocelular bucal","Cedeño B, Floribel, Finol, Héctor J","Acta Odontológica Venezolana; 46(4); 478-480","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400013&lang=pt" 
"S0001-63652008000400012-ven","La hipermedia y la enseñanza-aprendizaje de la odontología: Proyecto factible empleando el software recompx®(i)","Orellana, Noe Gregorio, Morales, Oscar Alberto, García, Carmelo, Ramírez, Robert, Setién-Duin, Víctor","Acta Odontológica Venezolana; 46(4); 469-477","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400012&lang=pt" 
"S0001-63652008000400008-ven","Evaluación del tratamiento personal recibido por pacientes sordos en Consultorio odontológico","Saliba Garbin, Cléa Adas, Ísper Garbin, Artênio José, Sumida, Doris Hissako, Leal do Prado, Rosana, Cunha do Amaral Gonzaga, Letícia","Acta Odontológica Venezolana; 46(4); 446-450","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400008&lang=pt" 
"S0001-63652008000400009-ven","Farmacoterapia de raloxifeno y de risedronato en el proceso de reparación ósea en ratones machos con osteopenia","Alves, Levy Anderson César, Vilela de Sousa, Aretha Graziela, Fernandes da Rocha, Rosilene, Leonelli de Moraes, Mari Eli, Abrantes Pinheiro Carvalho, Valéria","Acta Odontológica Venezolana; 46(4); 451-459","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400009&lang=pt" 
"S0001-63652008000400006-ven","La prótesis parcial removible en la práctica odontológica de caracas, Venezuela en el periodo febrero - marzo de 2006","Sánchez Y, Andrés Eloy, Vieira N, Jorge","Acta Odontológica Venezolana; 46(4); 437-439","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400006&lang=pt" 
"S0001-63652008000400007-ven","Evaluación de la respuesta de inmunoglobulina a secretora anti-helicobacter pylori en saliva de pacientes con gastritis crónica","López, T, M, Perrone, Correnti, M, Ortiz, D, Cavazza, ME, Avila, M","Acta Odontológica Venezolana; 46(4); 440-445","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400007&lang=pt" 
"S0001-63652008000400004-ven","Efecto sobre el tejido óseo de la aplicación subcutánea de una nueva formulación en base a Alendronato: Efecto sobre tejido oseo del Alendronato","Aramburú, Guillermo J, Aguzzi, Alejandra C, Ricco, Verónica E, Hubert, Sergio A, Aguilar, Javier, Konigheim, Brenda, Virga, Carolina M","Acta Odontológica Venezolana; 46(4); 429-433","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400004&lang=pt" 
"S0001-63652008000400005-ven","Efecto de la vitamina E en el proceso de hemostasia de individuos sanos","Villarroel Dorrego, Mariana, Barreto, A, Bertolo, A, Labernia, M, Mujica, R, Peñaloza, C, Pilloud, A, Sorrondo, M","Acta Odontológica Venezolana; 46(4); 434-436","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400005&lang=pt" 
"S0001-63652008000400002-ven","Analisis comparativo entre los experimentos mecanicos de cizallamiento y microcizallamiento","Viégas Montenegro, Robinsom, da Cunha Uchôa, Roseanne, Lira Montenegro, Sheila Cristhinne, Lira, Arine, Japiassú, Marcus, Fonseca da Silveira, Márcia, Brito Pereira de Melo, Ângelo","Acta Odontológica Venezolana; 46(4); 416-422","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400002&lang=pt" 
"S0001-63652008000400003-ven","Comparación in vitro de la capacidad de penetración de un sellador convencional de fosas y fisuras con un sellador a base de ionómero de vidrio","Simancas Pereira, Yanet, Camejo Aguilar, Defrén, Rosales Leal, Juan, Vallejo Bolaños, Encarnación","Acta Odontológica Venezolana; 46(4); 423-428","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400003&lang=pt" 
"S0001-63652008000400001-ven","El olor de la tempestad","Quirós A, Oscar","Acta Odontológica Venezolana; 46(4); 414-414","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400001&lang=pt" 
"S0001-63652008000400020-ven","Algunas consideraciones sobre caries dental, fluoruros, su metabolismo y mecanismos de acción","Rojas-Sánchez, Fátima","Acta Odontológica Venezolana; 46(4); 509-516","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400020&lang=pt" 
"S0001-63652008000400021-ven","Alteraciones posturales y su repercusión en el sistema estomatognático","Garcia de Paula e Silva, Francisco Wanderley, Mussolino de Queiroz, Alexandra, Díaz-Serrano, Kranya Victoria","Acta Odontológica Venezolana; 46(4); 517-522","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400021&lang=pt" 
"S0001-63652008000400022-ven","Exposición al óxido de etileno del personal auxiliar en odontología","León Martínez, Nancy, Arteaga Colmenares, Ana","Acta Odontológica Venezolana; 46(4); 523-530","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400022&lang=pt" 
"S0001-63652008000400023-ven","Factores inmunológicos y microbiológicos asociados con la etiología de la estomatitis aftosa recurrente","Correnti, M, Gutierrez, R, Perrone, M","Acta Odontológica Venezolana; 46(4); 531-538","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400023&lang=pt" 
"S0001-63652008000400024-ven","&quot;Influencia de las caracteristicas estructurales de los implantes en el proceso de oseointegracion&quot; revision de la literatura","Lamberti Vázquez, Alberto José","Acta Odontológica Venezolana; 46(4); 539-542","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400024&lang=pt" 
"S0001-63652008000400025-ven","Lesiones traumáticas: Conducta odontológica","Salinas M, Yuni J, Millán I, Ronald E, León M, Juan C","Acta Odontológica Venezolana; 46(4); 543-546","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400025&lang=pt" 
"S0001-63652008000400026-ven","Microfiltración coronaria en dientes tratados endodóncicamente (revisión de la literatura)","Camejo Suárez, María Valentina","Acta Odontológica Venezolana; 46(4); 547-553","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400026&lang=pt" 
"S0001-63652008000400027-ven","Regeneración osea guiada (GBR). Revisión de la literatura","Dinatale, E, Guercio, E","Acta Odontológica Venezolana; 46(4); 554-561","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400027&lang=pt" 
"S0001-63652008000400028-ven","Relación cresta osea alveolar - restauración: Un factor clave para la correcta estética del tratamiento rehabilitador","Fernández, Héctor, Sánchez, Andrea, Pérez, Maria, Dávila, Lorena, Premoli, Gloria","Acta Odontológica Venezolana; 46(4); 562-566","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400028&lang=pt" 
"S0001-63652008000400029-ven","Tratamiento restaurador atraumático como una herramienta de la odontología simplificada. Revisión bibliográfica","Bello, Sorely C, Fernández, Luzcabel","Acta Odontológica Venezolana; 46(4); 567-572","Acta Odontológica Venezolana","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652008000400029&lang=pt" 
"S0036-36342008001000007-mex","Lecciones aprendidas en la provisión de medicamentos para la atención primaria de la salud","Tobar, Federico","Salud Pública de México; 50(); S463-S469","Salud Pública de México","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342008001000007&lang=pt" 
"S0036-36342008000700012-mex","Las comunidades seguras: una sinopsis","Fandiño-Losada, Andrés, Bangdiwala, Shrikant I, Gutiérrez, María Isabel, Svanström, Leif","Salud Pública de México; 50(); s78-s85","Salud Pública de México","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342008000700012&lang=pt" 
