"S0103-90162000000400020-scl","Isolamento e caracterização de bactérias degradadoras do herbicida diuron","Roque, Milton Ricardo de Abreu, Melo, Itamar Soares de","Scientia Agricola; 57(4); 723-728","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400020&lang=pt" 
"S0103-90162000000400014-scl","Modelagem matemática como metodologia de análise do crescimento e arquitetura de sistemas radiculares","Teruel, Dioger Alexandre, Dourado-Neto, Durval, Hopmans, Jan W., Reichardt, Klaus","Scientia Agricola; 57(4); 683-691","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400014&lang=pt" 
"S0103-90162000000400022-scl","Desenvolvimento de mudas de citros cultivadas em vaso em resposta à adubação NPK","Bernardi, Alberto Carlos de Campos, Carmello, Quirino Augusto de Camargo, Carvalho, Sérgio Alves de","Scientia Agricola; 57(4); 733-738","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400022&lang=pt" 
"S0103-90162000000400026-scl","Macronutrientes em mudas de citros cultivadas em vasos em resposta à adubação NPK","Bernardi, Alberto Carlos de Campos, Carmello, Quirino Augusto de Camargo, Carvalho, Sérgio Alves de","Scientia Agricola; 57(4); 761-767","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400026&lang=pt" 
"S0103-90162000000400027-scl","Metais pesados em plantas de milho cultivadas em Latossolos repetidamente tratados com biossólido","Anjos, Ana Rosa Martins dos, Mattiazzo, Maria Emilia","Scientia Agricola; 57(4); 769-776","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400027&lang=pt" 
"S0103-90162000000400034-scl","Software para dimensionamento de irrigação por sulcos","Botrel, Tarlei Arriel, Marques, Patricia Angélica Alves","Scientia Agricola; 57(4); 803-811","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400034&lang=pt" 
"S0103-90162000000400015-scl","Qualidade de bulbos de cebola em consequência de tratamentos pré-colheita","Ferreira, Marcos David, Minami, Keigo","Scientia Agricola; 57(4); 693-701","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400015&lang=pt" 
"S0103-90162000000400019-scl","Genótipos de milho com alta capacidade para embriogênese somática e regeneração de plantas obtidos a partir de calos","Santos-Serejo, Janay Almeida dos, Aguiar-Perecin, Margarida L. R. de","Scientia Agricola; 57(4); 717-722","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400019&lang=pt" 
"S0103-90162000000400025-scl","Interação solo-planta avaliada por modelagem estatística de espaço de estados","Timm, Luis Carlos, Fante Jr., Lorival, Barbosa, Emanuel Pimentel, Reichardt, Klaus, Bacchi, Osny Oliveira Santos","Scientia Agricola; 57(4); 751-760","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400025&lang=pt" 
"S0103-90162000000400023-scl","Escória de siderurgia e calcário na correção da acidez do solo cultivado com cana-de-açúcar em vaso","Prado, Renato de Mello, Fernandes, Francisco Maximino","Scientia Agricola; 57(4); 739-744","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400023&lang=pt" 
"S0103-90162000000400004-scl","Conservação do leite de castanha-do-pará","Cardarelli, Haíssa Roberta, Oliveira, Antonio Joaquim de","Scientia Agricola; 57(4); 617-622","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400004&lang=pt" 
"S0103-90162000000400013-scl","Energy potential of sugar cane biomass in Brazil","Rípoli, Tomaz Caetano Cannavam, Molina Jr., Walter Francisco, Rípoli, Marco Lorenzzo Cunali","Scientia Agricola; 57(4); 677-681","Scientia Agricola","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400013&lang=pt" 
"S0103-90162000000400035-scl","Tricomas foliares em tomateiro com teores contrastantes do aleloquímico 2-tridecanona","Aragão, Carlos Alberto, Dantas, Bárbara França, Benites, Flávio Rodrigo Gandolfi","Scientia Agricola; 57(4); 813-816","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400035&lang=pt" 
"S0103-90162000000400012-scl","Absorção de água e potencial fisiológico em sementes de soja de diferentes tamanhos","Beckert, Osmar Paulo, Miguel, Marcelo Hissnauer, Marcos Filho, Júlio","Scientia Agricola; 57(4); 671-675","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400012&lang=pt" 
"S0034-98872000001200001-chl","Resultados de la colecistectomía a 10 años plazo","Csendes J, Attila, Csendes G, Paula, Rojas C, Jorge, Sánchez R, Marcos","Revista médica de Chile; 128(12); 1309-1312","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200001&lang=pt" 
"S0034-98872000001200002-chl","Uso precoz de la eritropoyetina en la prevención de la anemia del prematuro","Salvadó G, Antonio, Ramolfo B, Pamela, Escobar M, Marisol, Núñez C, Alejandra, Aguayo T, Inés, Standen H, Jane, Sánchez G, Lina, Cabello M, Angela","Revista médica de Chile; 128(12); 1313-1317","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200002&lang=pt" 
"S0034-98872000001200003-chl","Actividad comparativa in vitro de moxifloxacina y otros antimicrobianos frente a patógenos respiratorios","Prado J, Valeria, Giangrieco O, Marcela, Durán T, Claudia, Ojeda S, Alicia, Flaskamp von F, Renate","Revista médica de Chile; 128(12); 1319-1326","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200003&lang=pt" 
"S0034-98872000001200004-chl","Factores de riesgo tromboembólico en el flutter auricular.: Estudio con ecocardiografía transesofágica","Thumala J, Alfredo, Parra R, Claudio, Maragaño L, Patricio, Puelma P, Alvaro, Florenzano U, Fernando","Revista médica de Chile; 128(12); 1327-1334","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200004&lang=pt" 
"S0034-98872000001200005-chl","Prevalencia de Escherichia coli enterohemorrágico en una zona ganadera de Argentina: Caracterización genotípica de las cepas de origen animal","Notario P, Rodolfo, Fain B, Juan Carlos, Prado J, Valeria, Ríos V, Maritza, Borda O, Noemi, Gambandé G, Telma","Revista médica de Chile; 128(12); 1335-1341","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200005&lang=pt" 
"S0034-98872000001200006-chl","Necrolisis epidérmica tóxica. Terapia en UCI con inmunoglobulinas intravenosas en un caso","Andresen H, Max, Boghero, Yerko, Molgó, Montserrat, Dougnac L, Alberto, Díaz, Orlando","Revista médica de Chile; 128(12); 1343-1348","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200006&lang=pt" 
"S0034-98872000001200007-chl","Ulceras gástricas sangrantes y hepatitis aguda: dos reacciones adversas simultáneas por nimesulida, en un caso","Tejos C, Sergio, Torrejón S, Nancy, Reyes B, Humberto, Meneses C, Manuel","Revista médica de Chile; 128(12); 1349-1353","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200007&lang=pt" 
"S0034-98872000001200008-chl","Obesidad y ácidos grasos en la etiología de la resistencia insulínica","Galgani F, José, Díaz B, Erik","Revista médica de Chile; 128(12); 1354-1360","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200008&lang=pt" 
"S0034-98872000001200009-chl","Células natural killer y el sistema inmune innato en la patología infecciosa","Sepúlveda C, Cecilia, Puente P, Javier","Revista médica de Chile; 128(12); 1361-1370","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200009&lang=pt" 
"S0034-98872000001200010-chl","Es hora de pensar en los derechos de los pacientes: Una introducción","Goic G, Alejandro","Revista médica de Chile; 128(12); 1371-1373","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200010&lang=pt" 
"S0034-98872000001200011-chl","Los derechos humanos y su vinculación con los derechos de los pacientes","Trejo M, Carlos","Revista médica de Chile; 128(12); 1374-1379","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200011&lang=pt" 
"S0034-98872000001200012-chl","De los derechos del paciente","Vacarezza Y, Ricardo","Revista médica de Chile; 128(12); 1380-1384","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200012&lang=pt" 
"S0034-98872000001200013-chl","El derecho a una atenccición médica de buena calidad","Rosselot J, Eduardo","Revista médica de Chile; 128(12); 1385-1388","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200013&lang=pt" 
"S0034-98872000001200014-chl","La investigación en salud en Chile","Stockins F, Benjamín","Revista médica de Chile; 128(12); 1389-1395","Revista médica de Chile","Espanhol","2000","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872000001200014&lang=pt" 
"S0102-09352000000600002-scl","Estudo da transmissão horizontal de Mycobacterium avium-intracellulare em suínos","Silva, V.S., Mores, N., Dutra, V.D., Ferreira Neto, J.S., Saad, M.H.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 562-566","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600002&lang=pt" 
"S0102-09352000000600003-scl","Inflamação pseudotumoral do baço em cão. Relato de caso","Nascimento, E.F., Sant’Ana, F.J.F., Malm, C., Gheller, V.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 567-570","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600003&lang=pt" 
"S0102-09352000000600006-scl","Apoptose na modulação da resposta inflamatória aos ovos do Schistosoma mansoni","Tristão, A.R., Melo, A.L., Vasconcelos, A.C., Grossi, F.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 586-591","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600006&lang=pt" 
"S0102-09352000000600008-scl","Leiomiossarcoma pulmonar e renal em cão: relato de caso","Serakides, R., Sant’Ana, F.J.F., Carneiro, R.A., Lavalle, G.E.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 599-603","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600008&lang=pt" 
"S0102-09352000000600010-scl","Eletrocardiografia computadorizada em cães","Wolf, R., Camacho, A.A., Souza, R.C.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 610-615","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600010&lang=pt" 
"S0102-09352000000600011-scl","Hidroxiapatita sintética como substituto ósseo em defeito experimental provocado no terço proximal da tíbia em cão: aspectos à microscopia eletrônica de transmissão","Borges, A.P.B., Rezende, C.M.F., Ribeiro, M.F.B., Melo, E.G., Nóbrega Neto, P.I.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 616-620","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600011&lang=pt" 
"S0102-09352000000600015-scl","Parâmetros genéticos e nível de endogamia em bovinos da raça Santa Gertrudis no Brasil","Ribeiro, P.M.T., Ferraz, J.B.S., Eler, J.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 641-646","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600015&lang=pt" 
"S0102-09352000000600018-scl","HPLC identification of isoniazid residues in bovine milk","Leite, R.M.H., Leite, R.C., Lima, J.A., Fóscolo, C.B., Mota, P.M.P.C., Lobato, F.C.F., Lage, A.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 662-668","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600018&lang=pt" 
"S0102-09352000000600001-scl","Caracterização eletroforética e análise de subgrupo de rotavírus em rebanhos bovinos leiteiros do Estado de São Paulo","Buzinaro, M.G., Munford, V., Brito, V.M.E.D., Rácz, M.L., Jerez, J.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 555-561","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600001&lang=pt" 
"S0102-09352000000600004-scl","Hipogonadismo e função tireoidiana em ratas hipertireóideas e eutireóideas","Serakides, R., Nunes, V.A., Nascimento, E.F., Ribeiro, A.F.C., Zibaoui, H.M., Silva, C.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 571-578","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600004&lang=pt" 
"S0102-09352000000600005-scl","Relação tireóide-gônadas e níveis plasmáticos de fósforo, cálcio e fosfatase alcalina em ratas","Serakides, R., Nunes, V.A., Nascimento, E.F., Silva, C.M., Ribeiro, A.F.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(6); 579-585","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000600005&lang=pt" 
"S1517-74912000000400010-scl","Kaposi’s sarcoma in Brazilian AIDS patients: a study of 144 cases","BIRMAN, Esther G., SILVEIRA, Fernando R. X., GODOY, Luzia F., COSTA, Catalina R.","Pesquisa Odontológica Brasileira; 14(4); 362-366","Pesquisa Odontológica Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400010&lang=pt" 
"S1517-74912000000400013-scl","Estudo comparativo dos métodos de estimativa da idade óssea de Greulich &amp; Pyle e Tanner &amp; Whitehouse","HAITER NETO, Francisco, ALMEIDA, Solange Maria de, LEITE, Christiana Cordeiro","Pesquisa Odontológica Brasileira; 14(4); 378-384","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400013&lang=pt" 
"S1517-74912000000400015-scl","Estudo químico, macroscópico e da resistência à flexão de placas e parafusos de titânio usados na fixação interna rígida","TRIVELLATO, Alexandre Elias, MAZZONETTO, Renato, PASSERI, Luis Augusto, CONSANI, Simonides","Pesquisa Odontológica Brasileira; 14(4); 392-398","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400015&lang=pt" 
"S1517-74912000000400017-scl","Influência da dieta líquida ácida no desenvolvimento de erosão dental","SOBRAL, Maria Angela Pita, LUZ, Maria Aparecida Alves de Cerqueira, GAMA-TEIXEIRA, Adriana, GARONE NETTO, Narciso","Pesquisa Odontológica Brasileira; 14(4); 406-410","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400017&lang=pt" 
"S1517-74912000000400002-scl","Aderência de Actinobacillus actinomycetemcomitans às células epiteliais bucais: estabilidade e aspectos ultra-estruturais","GASPARETTO, André, ARANA-CHAVEZ, Victor Elias, AVILA-CAMPOS, Mario Julio","Pesquisa Odontológica Brasileira; 14(4); 311-318","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400002&lang=pt" 
"S1517-74912000000400003-scl","Detecção de anticorpo anticoração em camundongos Balb/c imunizados com Streptococcus mutans","LEÃO, Mariella Vieira Pereira, BRANDÃO, Adriana Aigotti Haberbeck, MORAES, Elisabete, SHIMIZU, Mário Tsunezi, UNTERKIRCHER, Carmelinda Schimidt","Pesquisa Odontológica Brasileira; 14(4); 319-326","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400003&lang=pt" 
"S1517-74912000000400004-scl","Análise quantitativa dos tecidos gengivais de ratos tratados com fenitoína e ciclosporina","SPOLIDORIO, Luís Carlos, GONZAGA, Heron Fernando de Souza, SPOLIDORIO, Denise M. P.","Pesquisa Odontológica Brasileira; 14(4); 327-333","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400004&lang=pt" 
"S1517-74912000000400007-scl","Restaurações com amálgama: análise rugosimétrica utilizando-se cinco tipos de ligas e quatro técnicas de polimento","CENTOLA, André Luiz Baracchini, NASCIMENTO, Telma Nunes do, TURBINO, Miriam Lacalle, GIRALDI, Karin Cristina F. M.","Pesquisa Odontológica Brasileira; 14(4); 345-350","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400007&lang=pt" 
"S1517-74912000000400008-scl","Rugosidade e pigmentação superficial de materiais ionoméricos","SAITO, Solange Katia, LOVADINO, José Roberto, KROLL, Lúcio Benedicto","Pesquisa Odontológica Brasileira; 14(4); 351-356","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400008&lang=pt" 
"S1517-74912000000400009-scl","Leucoplasias bucais: relação clínico-histopatológica","RODRIGUES, Tânia Lemos Coelho, COSTA, Lino João da, SAMPAIO, Maria Carmeli Correia, RODRIGUES, Fabiano Gonzaga, COSTA, Antônio de Lisboa Lopes","Pesquisa Odontológica Brasileira; 14(4); 357-361","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400009&lang=pt" 
"S1517-74912000000400011-scl","Ruídos articulares e sinais de disfunção temporomandibular: um estudo comparativo por meio de palpação manual e vibratografia computadorizada da ATM","CONTI, Paulo César Rodrigues, MIRANDA, João Evandro da Silva, ORNELAS, Flávia","Pesquisa Odontológica Brasileira; 14(4); 367-371","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400011&lang=pt" 
"S1517-74912000000400012-scl","Avaliação in vitro do aparelho DIAGNOdent para diagnóstico oclusal","PARDI, Vanessa, MIALHE, Fábio Luiz, PEREIRA, Antonio Carlos, MENEGHIM, Marcelo de Castro","Pesquisa Odontológica Brasileira; 14(4); 372-377","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400012&lang=pt" 
"S1517-74912000000400014-scl","Efeito de baixas doses de radiação X em feridas suturadas e não suturadas - estudo experimental em ratos","BÓSCOLO, Frab Norberto, ALMEIDA, Solange Maria de, VIZIOLI, Mário Roberto, LOURENÇO, Roberto Martins, MONTEIRO, Solange Aparecida Caldeira","Pesquisa Odontológica Brasileira; 14(4); 386-391","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400014&lang=pt" 
"S1517-74912000000400016-scl","Comparação entre filmes radiográficos e o sistema digital Digora, no diagnóstico de lesões de cárie dentinária em superfície proximal de molares decíduos","TOVO, Maximiano Ferreira, VONO, Bernardo Gonzalez, TAVANO, Orivaldo","Pesquisa Odontológica Brasileira; 14(4); 399-405","Pesquisa Odontológica Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-74912000000400016&lang=pt" 
"S0037-86822000000600017-scl","Fundamentos para o conhecimento científico (área da saúde)","Silva-Vergara, Mario León","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 617-617","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600017&lang=pt" 
"S0037-86822000000600001-scl","Fatores de crescimento presentes no miocárdio de pacientes com cardiopatia chagásica crônica","Reis, Marcia Martins, Higuchi, Maria de Lourdes, Aiello, Vera Demarchi, Benvenuti, Luiz Alberto","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 509-518","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600001&lang=pt" 
"S0037-86822000000600016-scl","Avaliação da atividade antiparasitária do alopurinol, referente ao Trypanosoma cruzi, em sistema experimental que utiliza triatomíneos infectados","Carignani, Fábio Luís, Braz, Lúcia Maria Almeida, Amato Neto, Vicente, Souza, Eliana Rodrigues de","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 613-615","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600016&lang=pt" 
"S0037-86822000000600015-scl","Abscesso cerebral por Nocardia sp em paciente imunossuprimido","Barata, Cristina Hueb, Oliveira, Darci Alvarenga Gomes, Colombo, Arnaldo Lopes, Pereira, Carlos Alberto Pires","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 609-612","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600015&lang=pt" 
"S0037-86822000000600004-scl","Avaliação comparativa da eficácia e toxicidade do antimoniato de N-metil-glucamina e do Estibogluconato de Sódio BP88® no tratamento da leishmaniose cutânea localizada","Deps, Patrícia D., Viana, Maria Carmen, Falqueto, Aloísio, Dietze, Reynaldo","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 535-543","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600004&lang=pt" 
"S0037-86822000000600013-scl","Hepatite Delta no Estado de Mato Grosso: apresentação de cinco casos","Ribeiro, Luciano Corrêa, Souto, Francisco José Dutra","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 599-602","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600013&lang=pt" 
"S0037-86822000000600011-scl","Seguimiento serológico de infección por Trypanosoma cruzi en individuos estudiados de 50 municipios del Estado de Jalisco, México de 1987 a 1994","Trujillo Contreras, Francisco, Villanueva Yerenas, Maria de los Angeles, Soto Gutiérrez, Margarita, Raygoza Anaya, Miguel, Jiménez Corder, Alberto","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 591-596","Revista da Sociedade Brasileira de Medicina Tropical","Espanhol","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600011&lang=pt" 
