"S0100-72032011001100001-scl","A mulher e o uso de álcool","Mendes, Maria Célia, Cunha, José Renato Ferreira da, Nogueira, Antônio Alberto","Revista Brasileira de Ginecologia e Obstetrícia; 33(11); 323-327","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011001100001&lang=pt" 
"S0120-53072011000300018-col","Desafios nas entrevistas de uma investigação qualitativa: Relato de experiência","Griebeler Oliveira, Stefanie, Quintana, Alberto Manuel, Denardin Budó, Maria de Lourdes, Fonseca Lüdtke, Manoela, Argemi Cassel, Paula, Pötter Garcia, Raquel","Investigación y Educación en Enfermería; 29(3); 485-491","Investigación y Educación en Enfermería","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300018&lang=pt" 
"S0120-53072011000300017-col","Aportes académicos de un estudio exploratorio. La experiencia del trabajo de campo","Ocampo Rivera, Diana Carolina, Alcaraz López, Gloria Margarita","Investigación y Educación en Enfermería; 29(3); 477-484","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300017&lang=pt" 
"S0120-53072011000300016-col","Estilos de vida de pacientes hipertensos atendidos com la Estrategia de Salud de la Familia","Araujo Paz, Elisabete Pimenta, do Nascimento Souza, Maria Helena, Mendonça Guimarães, Raphael, Fragoso Pavani, Gabriella, dos Santos Correa, Heloisa Ferreira, Moreira de Carvalho, Priscila, Magalhães Rodrigues, Ravenna","Investigación y Educación en Enfermería; 29(3); 467-476","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300016&lang=pt" 
"S0120-53072011000300015-col","Risco de queda da cama. O desafio da enfermagem para a segurança do paciente","Cristina Inoue, Kelly, Misue Matsuda, Laura, de Melo, Willian Augusto, Yassuko Murassaki, Ana Claudia, Yukie Hayakawa, Liliana","Investigación y Educación en Enfermería; 29(3); 459-466","Investigación y Educación en Enfermería","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300015&lang=pt" 
"S0120-53072011000300014-col","Fatores de risco para morte fetal no município de Pato Branco (Brasil)","de Lima Trindade, Letícia, Coelho Amestoy, Simone, Picolo, Diogo, Falchetti, Giancarlo, Marten Milbrath, Viviane","Investigación y Educación en Enfermería; 29(3); 451-458","Investigación y Educación en Enfermería","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300014&lang=pt" 
"S1414-40772011000300001-scl","Editorial","Dias Sobrinho, José","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 16(3); 493-498","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772011000300001&lang=pt" 
"S1414-40772011000300002-scl","Interdisciplinaridade no ensino superior: análise da percepção de professores de controladoria em cursos de ciências contábeis na cidade de São Paulo","Peleias, Ivam Ricardo, Mendonça, Janete de Fátima, Slomski, Vilma Geni, Fazenda, Ivani Catarina Arantes","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 16(3); 499-532","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772011000300002&lang=pt" 
"S0034-98872011001100001-chl","Mortalidad por infarto del miocardio en Chile: Trombolíticos o angioplastía","Florenzano U, Fernando","Revista médica de Chile; 139(11); 1393-1395","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100001&lang=pt" 
"S0034-98872011001100002-chl","Terapia de reperfusión en infarto agudo al miocardio: Comparación entre trombolisis endovenosa y angioplastía coronaria","Ugalde, Héctor, Ugalde, Diego, Muñoz, Macarena","Revista médica de Chile; 139(11); 1396-1402","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100002&lang=pt" 
"S0034-98872011001100003-chl","Metodología de adaptación de una guía clínica para el manejo de pacientes adultos con neumonía adquirida en la comunidad en una red de salud privada","Pantoja C, Tomás, Ferdinand O, Constanza, Saldías P, Fernando, Rojas O, Luis, Balcells M, María Elvira, Castro L, Ricardo, Poblete U, Rodrigo","Revista médica de Chile; 139(11); 1403-1413","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100003&lang=pt" 
"S0034-98872011001100004-chl","Efecto del bypass gástrico a largo plazo (7 a 10 años) en pacientes con obesidad severa y mórbida sobre el peso corporal, diabetes, dislipidemia y desarrollo de anemia","Csendes J, Attila, Papapietro V, Karin, Burgos L, Ana María, Lanzarini S, Enrique, Canobra L, Moira","Revista médica de Chile; 139(11); 1414-1420","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100004&lang=pt" 
"S0034-98872011001100005-chl","Enfermedad inflamatoria intestinal y embarazo: experiencia de 16 años","Vergara A, María Teresa, Rey G, Paula","Revista médica de Chile; 139(11); 1421-1427","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100005&lang=pt" 
"S0034-98872011001100006-chl","Estructura factorial y confiabilidad de la escala de aprendizaje autodirigido de Fisher, King &amp; Tague en alumnos de medicina chilenos","Fasce H, Eduardo, Pérez V, Cristhian, Ortiz M, Liliana, Parra P, Paula, Matus B, Olga","Revista médica de Chile; 139(11); 1428-1434","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100006&lang=pt" 
"S0034-98872011001100007-chl","Insulinemia e índice HOMA en niños y adolescentes chilenos","Barja, Salesa, Arnaiz, Pilar, Domínguez, Angélica, Villarroel, Luis, Cassis, Berta, Castillo, Oscar, Salomó, Gianina, Farías, Marcelo, Goycoolea, Manuela, Quiroga, Teresa, Mardones, Francisco","Revista médica de Chile; 139(11); 1435-1443","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100007&lang=pt" 
"S0034-98872011001100008-chl","Utilidad de la medición de fructosamina como indicador de control en pacientes con diabetes gestacional y pregestacional","Delgado M, Raúl, Novik A, Victoria, Cardemil M, Felipe, Santander A, Diego","Revista médica de Chile; 139(11); 1444-1450","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100008&lang=pt" 
"S0034-98872011001100009-chl","Tratamiento del cáncer de próstata con radioterapia por modulación de intensidad, primera experiencia en Chile","Besa DC, Pelayo, Rosso A, Roberto, Bustos C, Marisa, Borghero, Yerko, Trucco B, Cristian, Mac-Namara H, Macarena","Revista médica de Chile; 139(11); 1451-1457","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100009&lang=pt" 
"S0034-98872011001100010-chl","Errores de medicación en pacientes críticos adultos de un hospital universitario: Estudio prospectivo y aleatorio","Salazar L, Nicole, Jirón A, Marcela, Escobar O, Leslie, Tobar, Eduardo, Romero, Carlos","Revista médica de Chile; 139(11); 1458-1464","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100010&lang=pt" 
"S0034-98872011001100011-chl","El GES promueve la equidad en el tratamiento del gran quemado de la tercera edad","Albornoz G, Claudia R, Villegas C, Jorge, Bravo Y, Iside, Peña M, Verónica","Revista médica de Chile; 139(11); 1465-1470","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100011&lang=pt" 
"S0034-98872011001100012-chl","Amiloidosis extrema asociada a mieloma múltiple e insuficiencia renal terminal: Caso clínico","Peña O, Camila, Intriago B, Marvila, Gray H, Ana María, Cabrera C, María Elena","Revista médica de Chile; 139(11); 1471-1474","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100012&lang=pt" 
"S0034-98872011001100013-chl","Paragangliomas múltiples asociados a mutación del gen SDHB: Caso clínico","Díaz, René E, Utreras, Carlos, Ascuí, Rodrigo, Hidalgo, Fernando, Véliz, Jesús, Wohllk, Nelson","Revista médica de Chile; 139(11); 1475-1480","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100013&lang=pt" 
"S0034-98872011001100014-chl","Late diagnosis of nodular melanoma of the foot in a 74-year-old Brazilian man","Santos, Vitorino M, Leal, Cristina T, Vasconcellos, Martha J. M","Revista médica de Chile; 139(11); 1481-1483","Revista médica de Chile","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100014&lang=pt" 
"S0034-98872011001100015-chl","Successful rituximab therapy in refractory autoimmune hepatitis and Evans syndrome","Carey, Elizabeth J, Somaratne, Krishni, Rakela, Jorge","Revista médica de Chile; 139(11); 1484-1487","Revista médica de Chile","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100015&lang=pt" 
"S0034-98872011001100016-chl","Actualización en estenorraquis lumbar: diagnóstico, tratamiento y controversias","Molina, Marcelo, Wagner, Pablo, Campos, Mauricio","Revista médica de Chile; 139(11); 1488-1495","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100016&lang=pt" 
"S0034-98872011001100017-chl","Detección de especies de Salmonella y Mycobacterium en gaviotas dominicanas (Larus dominicanus) y gaviotas de Franklin (Leucophaeus pipixcan) en la ciudad de Talcahuano, Chile","López-Martín, Juana, Junod, Tania, Riquelme, Fredy, Contreras, Cecilia, González-Acuña, Daniel","Revista médica de Chile; 139(11); 1496-1502","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100017&lang=pt" 
"S0034-98872011001100018-chl","La licencia médica. Varias dimensiones en un mismo documento: Una propuesta para un mejor uso","Besio, Mauricio","Revista médica de Chile; 139(11); 1503-1507","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100018&lang=pt" 
"S0034-98872011001100019-chl","Impacto de un programa de formación en docencia en una escuela de medicina","Triviño, Ximena, Sirhan, Marisol, Moore, Philippa, Montero, Luz","Revista médica de Chile; 139(11); 1508-1515","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100019&lang=pt" 
"S0034-98872011001100020-chl","Evaluación de Programas de Formación de Postgrado en Chile","Valdivieso D, Vicente","Revista médica de Chile; 139(11); 1516-1516","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100020&lang=pt" 
"S0034-98872011001100021-chl","Potenciación de efectos extrapiramidales del antipsicótico Aripiprazole al asociarlo con antidepresivos inhibidores selectivos de la recaptación de serotonina","Miranda C, Marcelo, Retamal C, Pedro","Revista médica de Chile; 139(11); 1517-1518","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100021&lang=pt" 
"S0034-98872011001100022-chl","Profesor Luis Vargas Fernández (1912 - 2011)","Rodríguez Portales, José A","Revista médica de Chile; 139(11); 1519-1521","Revista médica de Chile","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872011001100022&lang=pt" 
"S0120-53072011000300012-col","Surgical site infection incidence after a clean-contaminated surgery in Yasuj Shahid Beheshti hospital, Iran","Nobandegani Zinat, Mohebbi, Doulatabad Shahla, Najafi, Masoumeh, Rambod, Ardeshir, Afraseyabi","Investigación y Educación en Enfermería; 29(3); 435-441","Investigación y Educación en Enfermería","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300012&lang=pt" 
"S0120-53072011000300011-col","Burnout syndrome in professors from an academic unit of a Colombian university","Rojas Botero, Maylen Liseth, Grisales Romero, Hugo","Investigación y Educación en Enfermería; 29(3); 427-434","Investigación y Educación en Enfermería","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300011&lang=pt" 
"S0365-66912011001100003-esp","Características y resultados del tratamiento del estrabismo sensorial horizontal","Merino, P., Mateos, C., Gómez De Liaño, P., Franco, G., Nieva, I., Barreto, A.","Archivos de la Sociedad Española de Oftalmología; 86(11); 358-362","Archivos de la Sociedad Española de Oftalmología","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912011001100003&lang=pt" 
"S0101-33002011000300001-scl","&quot;Judicialização da política&quot;: déficits explicativos e bloqueios normativistas","Nobre, Marcos, Rodriguez, José Rodrigo","Novos Estudos - CEBRAP; (91); 05-20","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300001&lang=pt" 
"S0101-33002011000300005-scl","O pensamento na arte contemporânea","Rajchman, John","Novos Estudos - CEBRAP; (91); 97-106","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300005&lang=pt" 
"S0101-33002011000300010-scl","História, sentido e totalidade","Florentino, Manolo","Novos Estudos - CEBRAP; (91); 195-198","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300010&lang=pt" 
"S0101-33002011000300008-scl","A lógica particular e concreta das palavras","Arrigucci Jr., Davi","Novos Estudos - CEBRAP; (91); 141-153","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300008&lang=pt" 
"S1413-81232011001200002-spa","Estratégia saúde da família e análise da realidade social: subsídios para políticas de promoção da saúde e educação permanente","Tesser, Charles Dalcanale, Garcia, Adir Valdemar, Vendruscolo, Carine, Argenta, Cleonete Elena","Ciência &amp; Saúde Coletiva; 16(11); 4295-4306","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001200002&lang=pt" 
"S1413-81232011001200028-spa","Manganese and Parkinson&#039;s disease: a critical review and new findings","Guilarte, Tomás R","Ciência &amp; Saúde Coletiva; 16(11); 4519-4566","Ciência &amp; Saúde Coletiva","Inglês","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001200028&lang=pt" 
"S1413-81232011001200003-scl","Debatedores","Silva, Raimunda Magalhães da, Landim, Fátima Luna Pinheiro, Sousa, Maria Fátima de","Ciência &amp; Saúde Coletiva; 16(11); 4307-4314","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001200003&lang=pt" 
"S1413-81232011001200028-scl","Manganese and Parkinson&#039;s disease: a critical review and new findings","Guilarte, Tomás R","Ciência &amp; Saúde Coletiva; 16(11); 4519-4566","Ciência &amp; Saúde Coletiva","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001200028&lang=pt" 
"S1413-81232011001200003-spa","Debatedores","Silva, Raimunda Magalhães da, Landim, Fátima Luna Pinheiro, Sousa, Maria Fátima de","Ciência &amp; Saúde Coletiva; 16(11); 4307-4314","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001200003&lang=pt" 
"S1413-81232011001200002-scl","Estratégia saúde da família e análise da realidade social: subsídios para políticas de promoção da saúde e educação permanente","Tesser, Charles Dalcanale, Garcia, Adir Valdemar, Vendruscolo, Carine, Argenta, Cleonete Elena","Ciência &amp; Saúde Coletiva; 16(11); 4295-4306","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001200002&lang=pt" 
"S0071-17132011000200001-chl","La acentuación en el español como segunda lengua en Nueva York","Barros Grela, Eduardo","Estudios filológicos; (48); 7-22","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200001&lang=pt" 
"S0071-17132011000200002-chl","Identidades en la poesía canónica de Gabriela Mistral","Carrasco M, Iván","Estudios filológicos; (48); 23-32","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200002&lang=pt" 
"S0071-17132011000200003-chl","Los sonidos fricativos sordos y sus implicaciones forenses","Cicres, Jordi","Estudios filológicos; (48); 33-48","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200003&lang=pt" 
"S0071-17132011000200004-chl","La ironía en el caso de las &quot;hamburguesas gigantes&quot;, España, 2006","Díaz Rojo, José Antonio","Estudios filológicos; (48); 49-60","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200004&lang=pt" 
"S0071-17132011000200005-chl","La falsa erudición en la Ilustración española y novohispana: Lizardi","Insúa, Mariela","Estudios filológicos; (48); 61-79","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200005&lang=pt" 
"S0071-17132011000200006-chl","Antropofagia sígnica en el discurso poético de David Añiñir","Maldonado Rivera, Claudio","Estudios filológicos; (48); 81-91","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200006&lang=pt" 
"S0071-17132011000200007-chl","Razón de amor como una broma secreta","Salas Díaz, Daniel","Estudios filológicos; (48); 93-102","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200007&lang=pt" 
"S0256-95742011001100001-sza","The illusive promise of circumcision to prevent female-to-male HIV infection: not the way to go for South Africa","Ncayiyana, Daniel J","SAMJ: South African Medical Journal; 101(11); 775-777","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100001&lang=pt" 
"S0256-95742011001100002-sza","Inefficiency quantified by how many say &#039;they&#039; instead of &#039;us&#039;","van Niekerk, J P de V","SAMJ: South African Medical Journal; 101(11); 778-779","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100002&lang=pt" 
"S0256-95742011001100003-sza","Burnout of junior doctors and skills retention","Stodel, Mark","SAMJ: South African Medical Journal; 101(11); 780-780","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100003&lang=pt" 
"S0256-95742011001100004-sza","Akhenaten&#039;s mystery remains","Eshraghian, Ahad","SAMJ: South African Medical Journal; 101(11); 780-780","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100004&lang=pt" 
"S0256-95742011001100005-sza","Death with integrity","Larsen, Jonathan Victor","SAMJ: South African Medical Journal; 101(11); 780-783","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100005&lang=pt" 
"S0256-95742011001100006-sza","Focus on the &#039;how&#039; and start piloting NHI now - former UK health chief","Bateman, Chris","SAMJ: South African Medical Journal; 101(11); 784-786","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100006&lang=pt" 
"S0256-95742011001100007-sza","Vital foreign-qualified doctors face xenophobia","Bateman, Chris","SAMJ: South African Medical Journal; 101(11); 788-792","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100007&lang=pt" 
