"S0103-90162008000400006-scl","Temperature and modified atmosphere affect the quality of okra","Finger, Fernando Luiz, Della-Justina, Maria Edith, Casali, Vicente Wagner Dias, Puiatti, Mário","Scientia Agricola; 65(4); 360-364","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400006&lang=pt" 
"S0004-282X2008000500045-scl","Diagnóstico de neuroinfecção: com abordagem dos exames do líquido cefalorraquidiano e neuroimagem","Livramento, José Antonio","Arquivos de Neuro-Psiquiatria; 66(3b); 781-781","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500045&lang=pt" 
"S0004-282X2008000500044-scl","","Livramento, José Antonio","Arquivos de Neuro-Psiquiatria; 66(3b); 780-780","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500044&lang=pt" 
"S0004-282X2008000500043-scl","Eletrocefalografia: fundamentos","Garzon, Eliana","Arquivos de Neuro-Psiquiatria; 66(3b); 780-780","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500043&lang=pt" 
"S0004-282X2008000500042-scl","Neurociência da mente e do comportamento","Siqueira-Batista, Rodrigo, Antonio, Vanderson Esperidião","Arquivos de Neuro-Psiquiatria; 66(3b); 779-779","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500042&lang=pt" 
"S0004-282X2008000500041-scl","","Chapman, H., Nonato, Elza A.","Arquivos de Neuro-Psiquiatria; 66(3b); 779-779","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500041&lang=pt" 
"S0004-282X2008000500040-scl","","Chapman, H., Soares, Marta Alves Reis","Arquivos de Neuro-Psiquiatria; 66(3b); 778-778","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500040&lang=pt" 
"S0004-282X2008000500039-scl","Leitura e interpretação do EEG: clínicos, pediatras e médicos de família","Mielli, Sylvia Regina","Arquivos de Neuro-Psiquiatria; 66(3b); 778-778","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500039&lang=pt" 
"S0004-282X2008000500002-scl","Quetiapine for the prevention of migraine refractory to the combination of atenolol + nortriptyline + flunarizine: an open pilot study","Krymchantowski, Abouch V, Jevoux, Carla","Arquivos de Neuro-Psiquiatria; 66(3b); 615-618","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500002&lang=pt" 
"S0004-282X2008000500003-scl","Effect of cortisol levels on working memory performance in elderly subjects with Alzheimer&#039;s disease","Souza-Talarico, Juliana Nery de, Caramelli, Paulo, Nitrini, Ricardo, Chaves, Eliane Corrêa","Arquivos de Neuro-Psiquiatria; 66(3b); 619-624","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500003&lang=pt" 
"S0004-282X2008000500004-scl","Disclosure of the diagnosis of Alzheimer&#039;s disease: caregivers&#039; opinions in a Brazilian sample","Shimizu, Marta Maria, Raicher, I., Takahashi, Daniel Yasumasa, Caramelli, Paulo, Nitrini, Ricardo","Arquivos de Neuro-Psiquiatria; 66(3b); 625-630","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500004&lang=pt" 
"S0004-282X2008000500005-scl","Characteristics of patients assisted at an ambulatory of dementia from a university hospital","Tascone, Lyssandra dos Santos, Marques, Rita de Cássia G., Pereira, Elaine Cristina, Bottino, Cássio M.C.","Arquivos de Neuro-Psiquiatria; 66(3b); 631-635","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500005&lang=pt" 
"S0004-282X2008000500006-scl","Low frequency (0.5Hz) rTMS over the right (non-dominant) motor cortex does not affect ipsilateral hand performance in healthy humans","Weiler, Fernanda, Brandão, Pedro, Barros-Filho, Jairo de, Uribe, Carlos Enrique, Pessoa, Valdir Filgueiras, Brasil-Neto, Joaquim Pereira","Arquivos de Neuro-Psiquiatria; 66(3b); 636-640","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500006&lang=pt" 
"S0004-282X2008000500007-scl","Babies with brain damage who can not swallow: surgical management","Silva, Sidney V. da, Schmidt, Augusto F.S., Mezzacappa, Maria A., Marba, Sérgio T., Bustorff-Silva, Joaquim M., Sbragia, Lourenço","Arquivos de Neuro-Psiquiatria; 66(3b); 641-645","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500007&lang=pt" 
"S0004-282X2008000500008-scl","Control of psychomotor agitation and aggressive behavior in patients with autistic disorder: a retrospective chart review","Novaes, Camila Marinho, Pondé, Milena Pereira, Freire, Antonio Carlos Cruz","Arquivos de Neuro-Psiquiatria; 66(3b); 646-651","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500008&lang=pt" 
"S0004-282X2008000500009-scl","Quality of life of children with cerebral palsy treated with botulinum toxin: are well-being measures appropriate?","Assis, Taísa R. Simões de, Forlin, Edilson, Bruck, Isac","Arquivos de Neuro-Psiquiatria; 66(3b); 652-658","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500009&lang=pt" 
"S0004-282X2008000500010-scl","Persistent developmental stuttering as a cortical-subcortical dysfunction: evidence from muscle activation","Andrade, Claudia Regina Furquim de, Sassi, Fernanda Chiarion, Juste, Fabiola, Mendonça, Lucia Iracema Zanotto de","Arquivos de Neuro-Psiquiatria; 66(3b); 659-664","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500010&lang=pt" 
"S0004-282X2008000500011-scl","Pediatric multiple sclerosis: analysis of clinical and epidemiological aspects according to National MS Society Consensus 2007","Ferreira, Maria Lúcia Brito, Machado, Maria Íris Morais, Dantas, Maria José Guedes, Moreira, Álvaro José Porto, Souza, Adélia Maria de Miranda Henriques","Arquivos de Neuro-Psiquiatria; 66(3b); 665-670","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500011&lang=pt" 
"S0004-282X2008000500012-scl","Multiple sclerosis outcome and morbi-mortality of a Brazilian cohort patients","Alves-Leon, Soniza Vieira, Malfetano, Fabíola Rachid, Pimentel, Maria Lucia Veluttini, Estrada, Claudio Luiz Duque, Pereira, Valéria Coelho Santa Rita, Liem, Assuncíon Martinez, Novis, Sérgio Augusto Pereira","Arquivos de Neuro-Psiquiatria; 66(3b); 671-677","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500012&lang=pt" 
"S0004-282X2008000500013-scl","Immune system markers of neuroinflammation in patients with clinical diagnose of neuromyelitis optica","Alves-Leon, Soniza Vieira, Pimentel, Maria Lucia Vellutini, Sant&#039;Anna, Gabrielle, Malfetano, Fabíola Rachid, Estrada, Cláudio Duque, Quirico- Santos, Thereza","Arquivos de Neuro-Psiquiatria; 66(3b); 678-684","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500013&lang=pt" 
"S0004-282X2008000500014-scl","Neurological complications of hematopoietic stem cell transplantation (HSCT): a retrospective study in a HSCT center in Brazil","Teive, Hélio A.G., Funke, Vaneuza, Bitencourt, Marco A., Oliveira, Michel Michels de, Bonfim, Carmen, Zanis-Neto, José, Medeiros, Carlos R. de, Zétola, Viviane F., Werneck, Lineu César, Pasquini, Ricardo","Arquivos de Neuro-Psiquiatria; 66(3b); 685-690","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500014&lang=pt" 
"S0004-282X2008000500018-scl","Multiple intracranial meningiomas: diagnosis, biological behavior and treatment","Lynch, José Carlos, Ferreira, Leandro Alcy Sales, Welling, Leonardo, Schulz, Renata Cardoso","Arquivos de Neuro-Psiquiatria; 66(3b); 702-707","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500018&lang=pt" 
"S0004-282X2008000500022-scl","Quantification of cerebrospinal fluid ferritin as a biomarker for CNS malignant infiltration","Almeida, Sérgio Monteiro de, Cunha, Dione Sosnitzki da, Yamada, Edna, Doi, Elvira Missako, Ono, Margaret","Arquivos de Neuro-Psiquiatria; 66(3b); 720-724","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500022&lang=pt" 
"S0004-282X2008000500023-scl","Biochemical evaluation of focal non-reperfusion cerebral ischemia by middle cerebral artery occlusion in rats","Colli, Benedicto Oscar, Tirapelli, Daniela Pretti da Cunha, Carlotti Jr, Carlos Gilberto, Lopes, Luiza da Silva, Tirapelli, Luis Fernando","Arquivos de Neuro-Psiquiatria; 66(3b); 725-730","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500023&lang=pt" 
"S0031-10492008002600001-scl","Revision of the genus Physoclypeus Hendel, 1907 (Diptera, Lauxaniidae), with description of seven new species","Mello, Ramon Luciano, Silva, Vera Cristina","Papéis Avulsos de Zoologia (São Paulo); 48(26); 289-315","Papéis Avulsos de Zoologia (São Paulo)","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0031-10492008002600001&lang=pt" 
"S0103-64402008000300002-scl","Comparative analysis of the mast cell density in normal oral mucosa, actinic cheilitis and lip squamous cell carcinoma","Gomes, Ana Paula Neutzling, Johann, Julia Elis, Lovato, Gabriela Gularte, Ferreira, Aline Marques","Brazilian Dental Journal; 19(3); 186-189","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300002&lang=pt" 
"S0103-64402008000300005-scl","Influence of storage period and effect of different brands of acrylic resin on the dimensional accuracy of the maxillary denture base","Miéssi, Ana Carolina, Goiato, Marcelo Coelho, Santos, Daniela Micheline dos, Dekon, Stefan Fiúza de Carvalho, Okida, Ricardo Coelho","Brazilian Dental Journal; 19(3); 204-208","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300005&lang=pt" 
"S0103-64402008000300007-scl","Urinary fluoride excretion in children exposed to fluoride toothpaste and to different water fluoride levels in a tropical area of Brazil","Forte, Franklin Delano Soares, Moimaz, Suzely Adas Saliba, Sampaio, Fábio Correia","Brazilian Dental Journal; 19(3); 214-218","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300007&lang=pt" 
"S0103-64402008000300008-scl","Influence of water storage time on the bond strength of etch-and-rinse and self-etching adhesive systems","Dantas, Darlene Cristina Ramos Eloy, Ribeiro, Ana Isabella Arruda Meira, Lima, Lúcia Helena Marques de Almeida, Lima, Marcelino Guedes de, Guênes, Gymenna Maria Tenório, Braz, Ana Karla Souza, Braz, Rodivan","Brazilian Dental Journal; 19(3); 219-223","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300008&lang=pt" 
"S0103-64402008000300009-scl","Effect of calcium hydroxide intracanal dressing on the bond strength of a resin-based endodontic sealer","Barbizam, João Vicente Baroni, Trope, Martin, Teixeira, Érica C.N., Tanomaru-Filho, Mário, Teixeira, Fabrício B.","Brazilian Dental Journal; 19(3); 224-227","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300009&lang=pt" 
"S0103-64402008000300010-scl","Cytotoxicity evaluation of four endodontic sealers","Silva, Paulo Tadeu da, Pappen, Fernanda Geraldes, Souza, Erick Miranda, Dias, João Eduardo, Bonetti Filho, Idomeo, Carlos, Iracilda Zepponi, Leonardo, Renato Toledo","Brazilian Dental Journal; 19(3); 228-231","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300010&lang=pt" 
"S0103-64402008000300014-scl","Academic trajectories of dental researchers receiving CNPq&#039;s productivity grants","Scarpelli, Ana Carolina, Sardenberg, Fernanda, Goursand, Daniela, Paiva, Saul Martins, Pordeus, Isabela Almeida","Brazilian Dental Journal; 19(3); 252-256","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300014&lang=pt" 
"S0103-64402008000300015-scl","T-Bar clasp-retained removable partial denture as an alternative to implant-based prosthetic treatment","Bezzon, Osvaldo Luiz, Gonçalves, Mariane, Pagnano, Valéria Oliveira","Brazilian Dental Journal; 19(3); 257-262","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300015&lang=pt" 
"S0103-64402008000300006-scl","Retention force of T-bar clasps for titanium and cobalt-chromium removable partial dentures","Rodrigues, Renata Cristina Silveira, Macedo, Ana Paula, Torres, Érica Miranda de, Mattos, Maria da Glória Chiarello de, Ribeiro, Ricardo Faria","Brazilian Dental Journal; 19(3); 209-213","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300006&lang=pt" 
"S0103-64402008000300004-scl","UV-Vis spectrophotometric analysis and light irradiance through hot-pressed and hot-pressed-veneered glass ceramics","Dias, Myrna Carvalho, Piva, Evandro, Moraes, Rafael Ratto de, Ambrosano, Gláucia Maria Bovi, Sinhoreti, Mário Alexandre Coelho, Correr-Sobrinho, Lourenço","Brazilian Dental Journal; 19(3); 197-203","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300004&lang=pt" 
"S0103-64402008000300011-scl","Bacterial leakage in root canals filled with calcium hydroxide paste associated with different vehicles","Murad, Cristiana, Fariniuk, Luiz Fernando, Fidel, Sandra, Fidel, Rivail Antonio Sergio, Sassone, Luciana Moura","Brazilian Dental Journal; 19(3); 232-237","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300011&lang=pt" 
"S0103-64402008000300001-scl","Role of apoptosis in erosive and reticular oral lichen planus exhibiting variable epithelial thickness","Brant, Juliana M. Caldeira, Vasconcelos, Anilton C., Rodrigues, Luciana V.","Brazilian Dental Journal; 19(3); 179-185","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300001&lang=pt" 
"S0103-21002008000300009-scl","Feeding newborns after hospital discharge from a Baby-Friendly Health Care Institution","Vivancos, Raquel Bosquim Zavanella, Leite, Adriana Moraes, Furtado, Maria Cândida de Carvalho, Góes, Fernanda dos Santos Nogueira de, Haas, Vanderlei José, Scochi, Carmen Gracinda Silvan","Acta Paulista de Enfermagem; 21(3); 439-443","Acta Paulista de Enfermagem","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002008000300009&lang=pt" 
"S0103-21002008000300022-scl","The experience of undergoing a Teaching Internship applying active methodologies","Wall, Marilene Loewen, Prado, Marta Lenise do, Carraro, Telma Elisa","Acta Paulista de Enfermagem; 21(3); 515-519","Acta Paulista de Enfermagem","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002008000300022&lang=pt" 
"S0103-21002008000300006-scl","The meaning given by the healthcare professional to labor and humanizing delivery","Mabuchi, Alessandra dos Santos, Fustinoni, Suzete Maria","Acta Paulista de Enfermagem; 21(3); 420-426","Acta Paulista de Enfermagem","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002008000300006&lang=pt" 
"S0103-64402008000300003-scl","Effects of nystatin, fluconazole and propolis on poly(methyl methacrylate) resin surface","Silva, Wander José da, Rached, Rodrigo Nunes, Rosalen, Pedro Luis, Del Bel Cury, Altair Antoninha","Brazilian Dental Journal; 19(3); 190-196","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300003&lang=pt" 
"S0103-64402008000300012-scl","Histopathological evaluation of different methods of experimental induction of periapical periodontitis","Tanomaru, Juliane Maria Guerreiro, Leonardo, Mario Roberto, Silva, Léa Assed Bezerra, Poliseli-Neto, Ângelo, Tanomaru-Filho, Mário","Brazilian Dental Journal; 19(3); 238-244","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300012&lang=pt" 
"S0103-64402008000300013-scl","Influence of cervical preflaring on determinationof apical file size in mandibular molars: SEM analysis","Schmitz, Marcia da Silva, Santos, Roberto, Capelli, Alexandre, Jacobovitz, Marcos, Spanó, Júlio César Emboava, Pécora, Jesus Djalma","Brazilian Dental Journal; 19(3); 245-251","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000300013&lang=pt" 
"S0717-73482008000300001-chl","I. Introducción","MAQUILÓN O, CÉSAR","Revista chilena de enfermedades respiratorias; 24(3); 175-178","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300001&lang=pt" 
"S0717-73482008000300002-chl","II. Efectos Fisiológicos de la Ventilación no Invasiva","DÍAZ P, ORLANDO","Revista chilena de enfermedades respiratorias; 24(3); 177-184","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300002&lang=pt" 
"S0717-73482008000300003-chl","III. Ventilación no invasiva en pacientes con enfermedades pulmonares obstructivas","ARANCIBIA H, FRANCISCO, UGARTE U, SEBASTIÁN, SALDÍAS P, FERNANDO","Revista chilena de enfermedades respiratorias; 24(3); 185-191","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300003&lang=pt" 
"S0717-73482008000300004-chl","IV. Ventilación no invasiva en pacientes con enfermedades neuromusculares","MAQUILÓN O, CÉSAR, CASTILLO, SERGIO, MONTIEL, GUILLERMO, FERRERO R, GERARDO N, TOLEDO, ADA, SIROTI, CATALINA","Revista chilena de enfermedades respiratorias; 24(3); 192-198","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300004&lang=pt" 
"S0717-73482008000300005-chl","V. Ventilación no invasiva en infecciones respiratorias del adulto","RUIZ C, MAURICIO, SALDÍAS P, FERNANDO","Revista chilena de enfermedades respiratorias; 24(3); 199-205","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300005&lang=pt" 
"S0717-73482008000300006-chl","VI. Ventilación no invasiva en pacientes con edema pulmonar agudo cardiogénico","ALLER R, FELIPE, DÍAZ P, ORLANDO","Revista chilena de enfermedades respiratorias; 24(3); 207-214","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300006&lang=pt" 
"S0717-73482008000300007-chl","VII. Ventilación no invasiva en pacientes con daño pulmonar agudo","SOTO F, RODRIGO, MAQUILÓN O, CÉSAR, SALDÍAS P, FERNANDO","Revista chilena de enfermedades respiratorias; 24(3); 215-218","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300007&lang=pt" 
"S0717-73482008000300008-chl","VIII. Ventilación no invasiva en la desvinculación de la ventilación mecánica","SALDÍAS R, FERNANDO, ARANCIBIA H, FRANCISCO","Revista chilena de enfermedades respiratorias; 24(3); 219-224","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300008&lang=pt" 
"S0717-73482008000300009-chl","IX. Ventilación no invasiva en el paciente con enfermedad pulmonar obstructiva crónica avanzada estable","INZUNZA P, CARLOS, DÍAZ P, ORLANDO","Revista chilena de enfermedades respiratorias; 24(3); 225-232","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300009&lang=pt" 
"S0717-73482008000300010-chl","X. Complicaciones y estándares de cuidado de la ventilación no invasiva","JALILIE E, ALFREDO, MAQUILÓN O, CÉSAR, TOMICIC F, VINKO, LIRA M, PAOLA","Revista chilena de enfermedades respiratorias; 24(3); 233-236","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300010&lang=pt" 
"S0717-73482008000300011-chl","XI. Costo efectividad de la ventilación no invasiva","FLORENZANO V, MATÍAS, GIL D, RODRIGO, ARELLANO S, DANIEL","Revista chilena de enfermedades respiratorias; 24(3); 237-239","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300011&lang=pt" 
