"S1516-84842016000200158-scl","Involvement of cranial nerves in a patient with secondary central nervous system lymphoma","Azevedo, Roberta Dantas, Reis, Fabiano, Delamain, Marcia Torresan, Souza, Cármino Antônio de","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 158-160","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200158&lang=pt" 
"S1806-37132016000300215-scl","Anatomic pulmonary resection by video-assisted thoracoscopy: the Brazilian experience (VATS Brazil study)","Terra, Ricardo Mingarini, Kazantzis, Thamara, Pinto-Filho, Darcy Ribeiro, Camargo, Spencer Marcantonio, Martins-Neto, Francisco, Guimarães, Anderson Nassar, Araújo, Carlos Alberto, Losso, Luis Carlos, Ghefter, Mario Claudio, Lima, Nuno Ferreira de, Gomes-Neto, Antero, Brito-Filho, Flávio, Haddad, Rui, Saueressig, Maurício Guidi, Lima, Alexandre Marcelo Rodrigues, Siqueira, Rafael Pontes de, Pinho, Astunaldo Júnior de Macedo e, Vannucci, Fernando","Jornal Brasileiro de Pneumologia; 42(3); 215-221","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300215&lang=pt" 
"S1516-84842016000200099-scl","Allogeneic hematopoietic stem cell transplantation in patients with advanced indolent lymphoproliferative disorders","Fonseca-Hial, Ana Marcela Rojas, Parisio, Katya, Oliveira, Jose Salvador Rodrigues","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 99-105","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200099&lang=pt" 
"S1806-37132016000300196-scl","Viability of gait speed test in hospitalized elderly patients","Martinez, Bruno Prata, Batista, Anne Karine Menezes Santos, Ramos, Isis Resende, Dantas, Júlio Cesar, Gomes, Isabela Barboza, Forgiarini Júnior, Luiz Alberto, Camelier, Fernanda Rosa Warken, Camelier, Aquiles Assunção","Jornal Brasileiro de Pneumologia; 42(3); 196-202","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300196&lang=pt" 
"S1516-84842016000200113-scl","Validation of interphase fluorescence in situ hybridization (iFISH) for multiple myeloma using CD138 positive cells","Kishimoto, Renata Kiyomi, Freitas, Sarah Lee Vaughan Vulcani de, Ratis, Cristina Alonso, Borri, Daniela, Sitnik, Roberta, Velloso, Elvira Deolinda Rodrigues Pereira","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 113-120","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200113&lang=pt" 
"S1516-84842016000200121-scl","Mature B cell neoplasms: retrospective analysis of 93 cases diagnosed between 2011 and 2014 in a University Hospital in southern Brazil","Cardoso, Chandra Chiappin, Moraes, Ana Carolina Rabello de, Moral, Joanita Angela Gonzaga Del, Santos-Silva, Maria Claudia","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 121-127","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200121&lang=pt" 
"S1516-84842016000200106-scl","Oral health-related quality of life of children and teens with sickle cell disease","Fernandes, Maria Luiza da Matta Felisberto, Kawachi, Ichiro, Fernandes, Alexandre Moreira, Corrêa-Faria, Patrícia, Paiva, Saul Martins, Pordeus, Isabela Almeida","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 106-112","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200106&lang=pt" 
"S1806-37132016000300191-scl","Bronchoscopic diagnostic procedures and microbiological examinations in proving endobronchial tuberculosis","Şimşek, Abdullah, Yapıcı, İlhami, Babalık, Mesiha, Şimşek, Zekiye, Kolsuz, Mustafa","Jornal Brasileiro de Pneumologia; 42(3); 191-195","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300191&lang=pt" 
"S1806-37132016000300164-scl","Multiple calcified nodules","Marchiori, Edson, Zanetti, Gláucia, Hochhegger, Bruno","Jornal Brasileiro de Pneumologia; 42(3); 164-164","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300164&lang=pt" 
"S1806-37132016000300165-scl","Choosing wisely between randomized controlled trials and observational designs in studies about interventions","Ferreira, Juliana Carvalho, Patino, Cecilia Maria","Jornal Brasileiro de Pneumologia; 42(3); 165-165","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300165&lang=pt" 
"S1516-84842016000200095-scl","Comment on: &quot;Validation of interphase fluorescence in situ hybridization (iFISH) of CD138 positive cells in multiple myeloma&quot;","Renault, Ilana Zalcberg","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 95-96","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200095&lang=pt" 
"S1516-84842016000200163-scl","Immune thrombocytopenia associated with pleural and pericardial tuberculosis: case report","Madaleno, João, Fernandes, António, Cochicho, Joana, Silva, Nuno, Carvalho, Armando","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 163-165","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200163&lang=pt" 
"S1806-37132016000300163-scl","Corticosteroids for the prevention of ventilator-induced lung injury?","Holanda, Marcelo Alcantara","Jornal Brasileiro de Pneumologia; 42(3); 163-163","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300163&lang=pt" 
"S1516-84842016000200172-scl","Trends in mortality due to myeloid leukemia in regions of Brazil and the country as a whole between 1980 and 2012","Guimarães, Raphael Mendonça, Chaiblich, Juliana Valentim, Valente, Bárbara Campos Silva","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 172-174","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200172&lang=pt" 
"S1516-84842016000200175-scl","Development of a questionnaire to assess knowledge regarding blood donation in a Brazilian population","Zucoloto, Miriane Lucindo, Martinez, Edson Zangiacomi","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 175-177","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200175&lang=pt" 
"S1806-37132016000300235-scl","Inhalation therapy in mechanical ventilation","Rocha, Ângelo Roncalli Miranda, Costa, Caio Henrique Veloso da","Jornal Brasileiro de Pneumologia; 42(3); 235-236","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300235&lang=pt" 
"S1806-37132016000300227-scl","Implications of a tracheal bronchus in a patient with thymoma","Gorospe, Luis, Valdebenito-Montecino, Ana Paz, Ovejero-Díaz, Ana Patricia","Jornal Brasileiro de Pneumologia; 42(3); 227-227","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300227&lang=pt" 
"S1806-37132016000300232-scl","Reversed halo sign in invasive fungal infections","Marchiori, Edson, Hochhegger, Bruno, Zanetti, Gláucia","Jornal Brasileiro de Pneumologia; 42(3); 232-232","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300232&lang=pt" 
"S1516-84842016000200147-scl","Guidelines on neonatal screening and painful vaso-occlusive crisis in sickle cell disease: Associação Brasileira de Hematologia, Hemoterapia e Terapia Celular: Project guidelines: Associação Médica Brasileira - 2016","Braga, Josefina Aparecida Pellegrini, Veríssimo, Mônica Pinheiro de Almeida, Saad, Sara Teresinha Olalla, Cançado, Rodolfo Delfini, Loggetto, Sandra Regina","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 147-157","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200147&lang=pt" 
"S0718-40262016000300011-chl","Segunda apendicectomía por duplicación apendicular","Grez, Manuel, Tepper, Patricio, Lahsen, Juan Pablo","Revista chilena de cirugía; 68(3); 254-257","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300011&lang=pt" 
"S0718-40262016000300004-chl","Técnica con indocianina verde (ICG) como predictor de la falla de sutura: inicio de la experiencia en nuestro medio","Guarneri, Carolina, Vanerio, Patricio, Lyford-Pike, Patrick","Revista chilena de cirugía; 68(3); 214-218","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300004&lang=pt" 
"S0718-40262016000300002-chl","Vólvulo gástrico por hernia diafragmática crónica","Moreno-Egea, Alfredo, Morales-Cuenca, German","Revista chilena de cirugía; 68(3); 205-207","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300002&lang=pt" 
"S0718-40262016000300007-chl","Rectosigmoidectomía perineal para el tratamiento del prolapso rectal completo","Barrera, Alejandro, Pradenas, Sebastián, Bannura, Guillermo, Illanes, Felipe, Gallardo, Cristian, Rinaldi, Baldo, Madariaga, Andrea, Espinoza, Constanza","Revista chilena de cirugía; 68(3); 233-236","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300007&lang=pt" 
"S0718-40262016000300009-chl","Manejo de heridas complejas con sustitutos dérmicos","Urbina, Gloria, Rider, Juan","Revista chilena de cirugía; 68(3); 245-249","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300009&lang=pt" 
"S0718-40262016000300010-chl","Aneurisma gigante de arteria iliaca interna roto","Doiz-Artázcoz, Esther, Martín-Cañuelo, Jorge, Rodríguez-Piñero, Manuel, García-Turrillo, Emilio, González-Calbo, Angel","Revista chilena de cirugía; 68(3); 250-253","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300010&lang=pt" 
"S0718-40262016000300003-chl","Estrategias de reanimación facial: Resultados preliminares de un estudio de cohorte","Benítez, Susana, Danilla E, Stefan, Cuevas, Pedro, Sepúlveda, Sergio, Andrades, Patricio, Erazo, Cristián","Revista chilena de cirugía; 68(3); 208-213","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300003&lang=pt" 
"S0718-40262016000300014-chl","Gangrena de Fournier: revisión de factores determinantes de mortalidad","Camargo, Lisseth, García-Perdomo, Herney Andrés","Revista chilena de cirugía; 68(3); 273-277","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300014&lang=pt" 
"S0001-37652016000300001-scl","Scientists and journalists, Glyptodontidae, and new dating of archaeological material from northeastern Brazil","KELLNER, ALEXANDER W.A.","Anais da Academia Brasileira de Ciências; 88(2); 1-3","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300001&lang=pt" 
"S1518-70122016000200234-scl","Desempenho regional do IDH e do PIB per capita dos municípios de Mato Grosso do Sul, Brasil, entre 2000 e 2010","Constantino, Michel, Pegorare, Alexander Bruno, Costa, Reginaldo Brito da","Interações (Campo Grande); 17(2); 234-246","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200234&lang=pt" 
"S1518-70122016000200210-scl","Proposta de Zoneamento Ambiental para a bacia transfronteiriça do rio Apa","Barbosa, Edwaldo Henrique Bazana, Sakamoto, Arnaldo Yoso, Bacani, Vitor Matheus","Interações (Campo Grande); 17(2); 210-222","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200210&lang=pt" 
"S1518-70122016000200247-scl","Agrobiodiversidade e a etnobotânica na comunidade São Benedito, Poconé, Mato Grosso, Brasil","Duarte, Gisele Soares Dias, Pasa, Maria Corette","Interações (Campo Grande); 17(2); 247-256","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200247&lang=pt" 
"S2175-78602016000200001-scl","Editorial sobre os estudos de Ecologia Funcional da Polinização","Rech, André Rodrigo","Rodriguésia; 67(2); -","Rodriguésia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200001&lang=pt" 
"S1518-70122016000200173-scl","Cooperativismo no MST: o caso da COPRAN","Marconi, Ivan César, Santos, Luis Miguel Luzio dos","Interações (Campo Grande); 17(2); 173-183","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200173&lang=pt" 
"S1518-70122016000200267-scl","Competitividade e mudança institucional na cadeia produtiva de plantas medicinais no Brasil","Rodrigues, Waldecy","Interações (Campo Grande); 17(2); 267-277","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200267&lang=pt" 
"S1518-70122016000200184-scl","Metas de produção em cooperativas de recicláveis: tensões entre ambiente cooperativo e atuação competitiva","Fernandes, José Ronaldo S., Pires, André","Interações (Campo Grande); 17(2); 184-192","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200184&lang=pt" 
"S1518-70122016000200327-scl","Mensurando a sustentabilidade ambiental: uma proposta de índice para o Mato Grosso do Sul","Pereira, Marlos da Silva, Sauer, Leandro, Fagundes, Mayra Batista Bitencourt","Interações (Campo Grande); 17(2); 327-338","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200327&lang=pt" 
"S1678-77572016000300264-scl","Speech perception and quality of life of open-fit hearing aid users","GARCIA, Tatiana Manfrini, JACOB, Regina Tangerino de Souza, MONDELLI, Maria Fernanda Capoani Garcia","Journal of Applied Oral Science; 24(3); 264-270","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300264&lang=pt" 
"S1518-70122016000200317-scl","A &quot;Saga do Cavalo Pantaneiro&quot; e a pecuária na região de Corumbá, MS, como tema da Escola de Samba Mocidade Independente de Nova Corumbá","Nachif, Denise Abrão, Alves, Gilberto Luiz","Interações (Campo Grande); 17(2); 317-326","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200317&lang=pt" 
"S0001-37652016000300983-scl","Bovine meat and bone meal is an economically viable alternative in quail feeding in the initial phase","Pizzolante, Carla C., Kakimoto, Sérgio K., Moraes, José E., Saccomani, Ana Paula O., Soares, Daniela F., Paschoalin, Gustavo C., Budiño, Fábio E.L.","Anais da Academia Brasileira de Ciências; 88(2); 983-988","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300983&lang=pt" 
"S0001-37652016000301113-scl","Trade-off between reservoir yield and evaporation losses as a function of lake morphology in semi-arid Brazil","Campos, José N.B., Lima Neto, Iran E., Studart, Ticiana M.C., Nascimento, Luiz S.V.","Anais da Academia Brasileira de Ciências; 88(2); 1113-1125","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301113&lang=pt" 
"S1134-80462016000300005-esp","Efecto del plasma rico en plaquetas y/o factores de crecimiento sobre la regeneración y el dolor crónico asociado a discopatía intervertebral: revisión sistemática","Llano Conrado, H., Hernández Santos, J.R., Tenopala Villegas, S., Canseco Aguilar, C.P., Torres Huerta, J.C.","Revista de la Sociedad Española del Dolor; 23(3); 145-153","Revista de la Sociedad Española del Dolor","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462016000300005&lang=pt" 
"S0718-40262016000300005-chl","Reconstrucción de la pared abdominal mediante la técnica de separación de componentes","Troncoso, Antonio, Pereira, Nicolás, Molina, Francisco, Castillo, Paulo, Fuentes, Patricio, Feres, Marcelo, Lazo, Ángel","Revista chilena de cirugía; 68(3); 219-226","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300005&lang=pt" 
"S0718-40262016000300008-chl","Exenteración pélvica total por cáncer primario del recto: resultados inmediatos y alejados","Bannura, Guillermo, Barrera, Alejandro, Melo, Carlos, Illanes, Felipe, Gallardo, Cristián","Revista chilena de cirugía; 68(3); 237-244","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300008&lang=pt" 
"S0718-40262016000300013-chl","Pilares del ahorro transfusional","Elgueta, Francisca, Reyes, Fernando","Revista chilena de cirugía; 68(3); 265-272","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300013&lang=pt" 
"S0718-40262016000300006-chl","Tratamiento médico o quirúrgico de la obstrucción intestinal alta","Csendes J, Attila, Pereira, Paulo, Zamorano D, Marcelo, Arratia, I, Gonzalez, J, Carriel, F","Revista chilena de cirugía; 68(3); 227-232","Revista chilena de cirugía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262016000300006&lang=pt" 
"S1518-70122016000200257-scl","Gênero e educação em contextos indígenas na Amazônia: as relações que constituem a produção identitária das mulheres professoras Arara-Karo do Estado de Rondônia","Alves, Maria Isabel Alonso, Medeiros, Heitor Queiroz de","Interações (Campo Grande); 17(2); 257-266","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200257&lang=pt" 
"S0001-37652016000300999-scl","In vitro antifungal activity of four chemotypes of Lippia alba (Verbenaceae) essential oils against Alternaria solani (Pleosporeaceae) isolates","TOMAZONI, ELISA Z., PANSERA, MÁRCIA R., PAULETTI, GABRIEL F., MOURA, SIDNEI, RIBEIRO, RUTE T.S., SCHWAMBACH, JOSÉLI","Anais da Academia Brasileira de Ciências; 88(2); 999-1010","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300999&lang=pt" 
"S0001-37652016000300951-scl","Antioxidant activity of oils extracted from orange (Citrus sinensis) seeds","Jorge, Neuza, Silva, Ana Carolina da, Aranha, Caroline P.M.","Anais da Academia Brasileira de Ciências; 88(2); 951-958","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300951&lang=pt" 
"S0001-37652016000301089-scl","Active inductor based fully integrated CMOS transmit/ receive switch for 2.4 GHz RF transceiver","Bhuiyan, Mohammad A.S., Zijie, Yeoh, Yu, Jae S., Reaz, Mamun B.I., Kamal, Noorfazila, Chang, Tae G.","Anais da Academia Brasileira de Ciências; 88(2); 1089-1098","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301089&lang=pt" 
"S0001-37652016000300911-scl","Intestinal and liver morphometry of the Yellow Tail Tetra (Astyanax altiparanae) fed with oregano oil","FERREIRA, POLLYANNA M.F., CALDAS, DÉBORA W., SALARO, ANA LÚCIA, SARTORI, SIRLENE S.R., OLIVEIRA, JERUSA M., CARDOSO, ALEX J.S., ZUANON, JENER A.S.","Anais da Academia Brasileira de Ciências; 88(2); 911-922","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300911&lang=pt" 
"S0001-37652016000301035-scl","Assessment and kinetics of soil phosphatase in Brazilian Savanna systems","FERREIRA, ADÃO S., ESPÍNDOLA, SUÉLLEN P., CAMPOS, MARIA RITA C.","Anais da Academia Brasileira de Ciências; 88(2); 1035-1044","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301035&lang=pt" 
"S0001-37652016000301151-scl","Determinism, chaos, self-organization and entropy","PONTES, JOSÉ","Anais da Academia Brasileira de Ciências; 88(2); 1151-1164","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301151&lang=pt" 
"S0001-37652016000301099-scl","Interconnection between microstructure and microhardness of directionally solidified binary Al-6wt.%Cu and multicomponent Al-6wt.%Cu-8wt.%Si alloys","VASCONCELOS, ANGELA J., KIKUCHI, RAFAEL H., BARROS, ANDRÉ S., COSTA, THIAGO A., DIAS, MARCELINO, MOREIRA, ANTONIO L., SILVA, ADRINA P., ROCHA, OTÁVIO L.","Anais da Academia Brasileira de Ciências; 88(2); 1099-1111","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301099&lang=pt" 
