"S0103-05822009000100005-scl","Soropositividade para doença celíaca em crianças e adolescentes com baixa estatura","Gueiros, Ana Carla L. N., Silva, Giselia Alves P.","Revista Paulista de Pediatria; 27(1); 28-32","Revista Paulista de Pediatria","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100005&lang=pt" 
"S1516-35982009000300016-scl","Níveis de lisina digestível para frangos de corte machos no período de 37 a 49 dias de idade","Trindade Neto, Messias Alves da, Takeara, Paula, Toledo, Ana Louise de, Kobashigawa, Estela, Albuquerque, Ricardo de, Araújo, Lúcio Francelino","Revista Brasileira de Zootecnia; 38(3); 508-514","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300016&lang=pt" 
"S1516-35982009000300017-scl","Características da carcaça de novilhos não-castrados ou castrados terminados em confinamento e abatidos aos 16 ou 26 meses de idade","Kuss, Fernando, López, Jorge, Barcellos, Júlio Otávio Jardim, Restle, João, Moletta, José Luiz, Perotto, Daniel","Revista Brasileira de Zootecnia; 38(3); 515-522","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300017&lang=pt" 
"S1516-35982009000300021-scl","Chemical composition and fat profile of meat from crossbred goats reared under feedlot systems","Madruga, Marta Suely, Medeiros, Ertha Janine Lacerda de, Sousa, Wandrick Hauss de, Cunha, Maria das Graças Gomes, Pereira Filho, José Morais, Queiroga, Rita de Cássia Ramos do Egypto","Revista Brasileira de Zootecnia; 38(3); 547-552","Revista Brasileira de Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300021&lang=pt" 
"S1516-35982009000300022-scl","Fontes de lipídeos na dieta de búfalas lactantes: consumo, digestibilidade e N-uréico plasmático","Oliveira, Ronaldo Lopes, Bagaldo, Adriana Regina, Ladeira, Márcio Machado, Barbosa, Marco Aurélio Alves de Freitas, Oliveira, Renata Lopes de, Jaeger, Soraya Maria Palma Luz","Revista Brasileira de Zootecnia; 38(3); 553-559","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300022&lang=pt" 
"S1516-35982009000300025-scl","Características da pastagem de azevém e produtividade de cordeiros em pastejo","Ribeiro, Ticiany Maria Dias, Monteiro, Alda Lúcia Gomes, Poli, César Henrique Espírito Candal, Moraes, Aníbal de, Silva, Ana Luisa Palhano, Barros, Carina Simionato de","Revista Brasileira de Zootecnia; 38(3); 580-587","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300025&lang=pt" 
"S1516-35982009000300013-scl","Effect of vitamin K on bone integrity and eggshell quality of white hen at the final phase of the laying cycle","Fernandes, Jovanir Inês Müller, Murakami, Alice Eiko, Scapinello, Claudio, Moreira, Ivan, Varela, Elkin Varela","Revista Brasileira de Zootecnia; 38(3); 488-492","Revista Brasileira de Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300013&lang=pt" 
"S0004-282X2009000100031-scl","Chronic dizziness presenting in a patient with panic disorder: response to imipramine","Mezzasalma, Marco Andre, Mathias, Kátia de Vasconcellos, Nascimento, Isabella, Valença, Alexandre M., Nardi, Antonio E.","Arquivos de Neuro-Psiquiatria; 67(1); 121-122","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100031&lang=pt" 
"S0004-282X2009000100030-scl","Occipital condyle fracture in a patient with head trauma","Paiva, Wellingson Silva, Rusafa-Neto, Eloy, Amorim, Robson Luis Oliveira, Figueiredo, Eberval Gadelha, Andrade, Almir Ferreira de, Teixeira, Manoel Jacobsen","Arquivos de Neuro-Psiquiatria; 67(1); 119-120","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100030&lang=pt" 
"S0004-282X2009000100029-scl","Giant cervico-thoracic extradural arachnoid cyst","Joaquim, Andrei Fernandes, Silva, Elton Gomes da, Santos, Marcos Juliano dos, Honorato, Donizeti César","Arquivos de Neuro-Psiquiatria; 67(1); 117-118","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100029&lang=pt" 
"S0004-282X2009000100027-scl","A distal AICA aneurysm","Figueiredo, Eberval Gadelha, Paiva, Wellingson Silva, Teixeira, Manoel Jacobsen","Arquivos de Neuro-Psiquiatria; 67(1); 112-114","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100027&lang=pt" 
"S0004-282X2009000100002-scl","Neuroimaging in Parkinsonism: a study with magnetic resonance and spectroscopy as tools in the differential diagnosis","Vasconcellos, Luiz Felipe Rocha, Novis, Sergio A. Pereira, Moreira, Denise Madeira, Rosso, Ana Lucia Z., Leite, Ana Claudia C.B.","Arquivos de Neuro-Psiquiatria; 67(1); 1-6","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100002&lang=pt" 
"S0004-282X2009000100012-scl","Musical identity of patients with multiple sclerosis","Moreira, Shirlene Vianna, França, Cecília Cavalieri, Moreira, Marcos Aurélio, Lana-Peixoto, Marco Aurélio","Arquivos de Neuro-Psiquiatria; 67(1); 46-49","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100012&lang=pt" 
"S0004-282X2009000100005-scl","Evolution of non-treated restless legs syndrome","Rodrigues, Raimundo Nonato Delgado, Rodrigues, Aída Alexandra Alvim de Abreu e Silva, Faber, Jorge, Corso, Jeana T., Peixoto, Thaisa F.","Arquivos de Neuro-Psiquiatria; 67(1); 16-20","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100005&lang=pt" 
"S0004-282X2009000100004-scl","Executive functioning in patients with blepharospasm in comparison with patients with hemifacial spasm","Dias, Fernando Machado Vilhena, Doyle, Flávia C.P., Kummer, Arthur, Cardoso, Francisco, Caramelli, Paulo, Teixeira, Antônio Lúcio","Arquivos de Neuro-Psiquiatria; 67(1); 12-15","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100004&lang=pt" 
"S0004-282X2009000100007-scl","Sleep patterns and symptoms of anxiety and depression in patients with chronic pain","Castro, Martha M.C., Daltro, Carla","Arquivos de Neuro-Psiquiatria; 67(1); 25-28","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100007&lang=pt" 
"S0004-282X2009000100010-scl","Characterization of headaches in the premenstrual tension syndrome","Fragoso, Yara Dadalti, Guidoni, Andrea Cristina Rodrigues, Castro, Luciana Brites Ribeiro de","Arquivos de Neuro-Psiquiatria; 67(1); 40-42","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100010&lang=pt" 
"S0004-282X2009000100015-scl","Phonarticulatory diadochokinesis in young and elderly individuals","Padovani, Marina, Gielow, Ingrid, Behlau, Mara","Arquivos de Neuro-Psiquiatria; 67(1); 58-61","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100015&lang=pt" 
"S0004-282X2009000100025-scl","Hypoglossal nerve palsy as the sole manifestation of spontaneous internal carotid artery dissection","Marin, Luis Fabiano, Bichuetti, Denis Bernardi, Felício, André Carvalho, Santos, William Adolfo Celso dos, Oliveira, Fabricio Ferreira de, Morita, Márcia Elisabete, Avelar, Wagner Mauad, Braga-Neto, Pedro, Lima, Elaine Cristina dos Santos, Martins, Ricardo Jahn","Arquivos de Neuro-Psiquiatria; 67(1); 107-108","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100025&lang=pt" 
"S0004-282X2009000100023-scl","Mitochondrial alterations in dynamin 2-related centronuclear myopathy","Zanoteli, Edmar, Vergani, Naja, Campos, Yvan, Vainzof, Mariz, Oliveira, Acary S.B., d&#039;Azzo, Alessandra","Arquivos de Neuro-Psiquiatria; 67(1); 102-104","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100023&lang=pt" 
"S0004-282X2009000100021-scl","The microsurgical anatomy of the gyrus rectus area and its neurosurgical implications","Ramos, Alejandro, Chaddad-Neto, Feres, Joaquim, Andrei Fernandes, Campos-Filho, José Maria, Mattos, João Paulo, Ribas, Guilherme Carvalhal, Oliveira, Evandro de","Arquivos de Neuro-Psiquiatria; 67(1); 90-95","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100021&lang=pt" 
"S0004-282X2009000100024-scl","Late-onset hexosaminidase A deficiency mimicking primary lateral sclerosis","Godeiro-Junior, Clecio, Felicio, Andre C., Benites, Vinicius, Chieia, Marco Antonio, Oliveira, Acary S.B.","Arquivos de Neuro-Psiquiatria; 67(1); 105-106","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100024&lang=pt" 
"S0004-282X2009000100026-scl","Parinaud&#039;s syndrome secondary to thromboembolism from myocardial infarction associated with myelofibrosis","Rosa, Paulo Roberto A., Mendonça, Karla B., Maduro, Luiz M.F., Lemos, Armando Jorge Monnerat de, Barros, Monica Cordeiro de, Couto, Gustavo Ventura, Santos, Paulo Cesar de Souza, Deslandes, Alexandre de Oliveira, Cruz, Alexandre Araujo","Arquivos de Neuro-Psiquiatria; 67(1); 109-111","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100026&lang=pt" 
"S0004-282X2009000100028-scl","Widening of intervertebral foramen by tortuous vertebral artery","Ono, Sergio Eiji, Kawasaki, Christiane Sayuri, Coelho, Luiz Otávio de Mattos, Lucaski, Fabiano Ferrari, Carvalho Neto, Arnolfo de","Arquivos de Neuro-Psiquiatria; 67(1); 115-116","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100028&lang=pt" 
"S0004-282X2009000100032-scl","Phobic postural vertigo: a cognitive-behavior approach","Sardinha, Aline, de-Melo-Neto, Valfrido L., Falcone, Eliane M.O., Nardi, Antonio E.","Arquivos de Neuro-Psiquiatria; 67(1); 123-124","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100032&lang=pt" 
"S0004-282X2009000100033-scl","Multiple midline intracranial germinoma managed by neuroendoscopy","Silva, Joacil Carlos da, Lima, Frederico de Melo Tavares de, Faquini, Igor Vilela, Costa, Leonardo Ferraz, Valença, Marcelo Moraes, Mello, Roberto José Vieira de","Arquivos de Neuro-Psiquiatria; 67(1); 125-126","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100033&lang=pt" 
"S0004-282X2009000100037-scl","Could sudden cardiac death in epilepsy be related to the occurrence of thalamic dysfunction or anatomic change?","Scorza, Fulvio A., Calderazzo, Lineu, Albuquerque, Marly de, Arida, Ricardo M., Almeida, Antonio-Carlos G. de, Cavalheiro, Esper A.","Arquivos de Neuro-Psiquiatria; 67(1); 139-143","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100037&lang=pt" 
"S0004-282X2009000100017-scl","Carpal tunnel syndrome: long-term nerve conduction studies in 261 hands","Hardoim, Dante Guilherme Velasco, Oliveira, Guilherme Bueno de, Kouyoumdjian, João Aris","Arquivos de Neuro-Psiquiatria; 67(1); 69-73","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100017&lang=pt" 
"S0004-282X2009000100011-scl","Post-traumatic headache","Martins, Hugo André de Lima, Ribas, Valdenilson Ribeiro, Martins, Bianca Bastos Mazullo, Ribas, Renata de Melo Guerra, Valença, Marcelo Moraes","Arquivos de Neuro-Psiquiatria; 67(1); 43-45","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100011&lang=pt" 
"S0104-59702009000100016-scl","Na rua o povo dá voz à república","Borges, Vera Lúcia Bogéa","História, Ciências, Saúde-Manguinhos; 16(1); 263-267","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100016&lang=pt" 
"S0104-59702009000100013-scl","Quadrinhos para a cidadania","Caruso, Francisco, Silveira, Cristina","História, Ciências, Saúde-Manguinhos; 16(1); 217-236","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100013&lang=pt" 
"S0104-59702009000100017-scl","De uma torneira a uma história e uma sociologia da cidade","Freire, Jussara","História, Ciências, Saúde-Manguinhos; 16(1); 269-275","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100017&lang=pt" 
"S1516-44462009000100020-scl","Comments on &quot;sleep terror disorder: a case report&quot;","Borgio, João Guilherme Fiorani, Pradella-Hallinan, Márcia","Revista Brasileira de Psiquiatria; 31(1); 79-80","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100020&lang=pt" 
"S1516-44462009000100013-scl","Review of the efficacy of placebo in comparative clinical trials between typical and atypical antipsychotics","Oliveira, Irismar Reis de, Nunes, Paulo Menezes, Coutinho, Domingos Macedo, Sena, Eduardo Pondé de","Revista Brasileira de Psiquiatria; 31(1); 52-56","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100013&lang=pt" 
"S1516-44462009000100011-scl","Prevalence of HIV, syphilis, hepatitis B and C among adults with mental illness: a multicenter study in Brazil","Guimarães, Mark Drew Crosland, Campos, Lorenza Nogueira, Melo, Ana Paula Souto, Carmo, Ricardo Andrade, Machado, Carla Jorge, Acurcio, Francisco de Assis","Revista Brasileira de Psiquiatria; 31(1); 43-47","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100011&lang=pt" 
"S1516-44462009000100005-scl","Impact of the psychosocial aspects of work on the quality of life of teachers","Fernandes, Marcos Henrique, Rocha, Vera Maria da","Revista Brasileira de Psiquiatria; 31(1); 15-20","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100005&lang=pt" 
"S1516-44462009000100019-scl","Internet addiction: a case report","Stravogiannis, Andréas, Abreu, Cristiano Nabuco de","Revista Brasileira de Psiquiatria; 31(1); 78-79","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100019&lang=pt" 
"S1516-44462009000100002-scl","A missão da RBP na educação médica continuada","Lafer, Beny, Diniz, Juliana Belo, Polanczyk, Guilherme V., Fontenelle, Leonardo F., Tavares, Hermano, Fleck, Marcelo Pio de Almeida, Bressan, Rodrigo Affonseca","Revista Brasileira de Psiquiatria; 31(1); 2-3","Revista Brasileira de Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100002&lang=pt" 
"S1516-44462009000100003-scl","Neuropsychological assessment of impulsive behavior in abstinent alcohol-dependent subjects","Salgado, João Vinicius, Malloy-Diniz, Leandro Fernandes, Campos, Valdir Ribeiro, Abrantes, Suzana Silva Costa, Fuentes, Daniel, Bechara, Antoine, Correa, Humberto","Revista Brasileira de Psiquiatria; 31(1); 4-9","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100003&lang=pt" 
"S1516-44462009000100004-scl","Prevalence of the HLA-DQB1*0602 allele in narcolepsy and idiopathic hypersomnia patients seen at a sleep disorders outpatient unit in São Paulo","Coelho, Fernando Morgadinho Santos, Pradella-Hallinan, Márcia, Predazzoli Neto, Mario, Bittencourt, Lia Rita Azeredo, Tufik, Sérgio","Revista Brasileira de Psiquiatria; 31(1); 10-14","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100004&lang=pt" 
"S1516-44462009000100008-scl","Instrument to screen cases of pervasive developmental disorder: a preliminary indication of validity","Sato, Fábio Pinato, Paula, Cristiane Silvestre, Lowenthal, Rosane, Nakano, Eduardo Yoshio, Brunoni, Décio, Schwartzman, José Salomão, Mercadante, Marcos Tomanik","Revista Brasileira de Psiquiatria; 31(1); 30-33","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100008&lang=pt" 
"S1516-44462009000100018-scl","Cognitive restructuring for compulsive buying","Filomensky, Tatiana Zambrano, Tavares, Hermano","Revista Brasileira de Psiquiatria; 31(1); 77-78","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100018&lang=pt" 
"S1516-44462009000100009-scl","Feasibility and reliability of the elderly version of the Camberwell Assessment of Needs (CANE): results from the São Paulo Ageing &amp; Health Study","Sousa, Renata Mello de Magalhães, Scazufca, Márcia, Menezes, Paulo Rossi, Crepaldi, André Luiz, Prince, Martin James","Revista Brasileira de Psiquiatria; 31(1); 34-38","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100009&lang=pt" 
"S1516-44462009000100010-scl","Depression in Parkinson&#039;s disease: clinical-epidemiological correlates and comparison with a controlled group of non-parkinsonian geriatric patients","Veiga, Beatriz Azevedo dos Anjos Godke, Borges, Vanderci, Silva, Sonia Maria César de Azevedo, Goulart, Fabrício de Oliveira, Cendoroglo, Maysa Seabra, Ferraz, Henrique Ballalai","Revista Brasileira de Psiquiatria; 31(1); 39-42","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100010&lang=pt" 
"S1516-44462009000100012-scl","Serum levels of brain-derived neurotrophic factor in acute and posttraumatic stress disorder: a case report study","Hauck, Simone, Gomes, Fabiano, Silveira Júnior, Érico de Moura, Almeida, Ellen, Possa, Marianne, Ceitlin, Lúcia Helena Freitas","Revista Brasileira de Psiquiatria; 31(1); 48-51","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100012&lang=pt" 
