"S0034-89101986000300009-spa","Identificação de Aedes (Stegomyia) Albopictus (Skuse) no Brasil","Forattini, Oswaldo Paulo","Revista de Saúde Pública; 20(3); 244-245","Revista de Saúde Pública","Inglês, Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300009&lang=pt" 
"S0034-89101986000300007-spa","Uma abordagem ao estudo de epidemias de moléstias contagiosas: modelo conceitual baseado nas escalas espaciais e funcionais da propagação epidêmica","Takiguti, Clovis K., Sakuma, Mary E., Curti, Suely P., Pacheco, Genival R.","Revista de Saúde Pública; 20(3); 235-241","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300007&lang=pt" 
"S0034-89101986000300006-spa","Moluscos aquáticos do Estado de Rondônia (Brasil), com especial referência ao gênero Biomphalaria Preston, 1910 (Pulmonata, Planorbidae)","Coimbra Júnior, Carlos E.A., Santos, Ricardo Ventura","Revista de Saúde Pública; 20(3); 227-234","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300006&lang=pt" 
"S0034-89101986000300005-spa","Risco de morrer no primeiro ano de vida entre favelados e não favelados no município de Porto Alegre, RS (Brasil), em 1980","Fischmann, Airton, Guimarães, José Joaquim de Lima","Revista de Saúde Pública; 20(3); 219-226","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300005&lang=pt" 
"S0034-89101986000300004-spa","Investigação epidemiológica de um surto de gastroenterite","Baldissera, Romeo Luiz, Meneghel, Stela Nazareth","Revista de Saúde Pública; 20(3); 212-218","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300004&lang=pt" 
"S0034-89101986000300003-spa","Níveis de anticorpos para arbovírus em indivíduos da região de Ribeirão Preto, SP (Brasil)","Figueiredo, Luiz Tadeu Moraes, Rosa, Amélia P.A. Travassos da, Fiorillo, Adhemar Mário","Revista de Saúde Pública; 20(3); 204-211","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300003&lang=pt" 
"S0034-89101986000300001-spa","Vector competence experiments with Rocio virus and three mosquito species from the epidemic zone in Brazil","Mitchell, Carl J., Forattini, Oswaldo Paulo, Miller, Barry R.","Revista de Saúde Pública; 20(3); 171-177","Revista de Saúde Pública","Inglês","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300001&lang=pt" 
"S0034-89101986000300002-scl","Observações sobre atividade de mosquitos Culicidae em matas primitivas da planície e perfis epidemiológicos de vários ambientes no Vale do Ribeira, São Paulo, Brasil","Forattini, Oswaldo Paulo, Gomes, Almério de Castro, Natal, Délsio, Santos, Jair Lício Ferreira","Revista de Saúde Pública; 20(3); 178-203","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300002&lang=pt" 
"S0034-89101986000300006-scl","Moluscos aquáticos do Estado de Rondônia (Brasil), com especial referência ao gênero Biomphalaria Preston, 1910 (Pulmonata, Planorbidae)","Coimbra Júnior, Carlos E.A., Santos, Ricardo Ventura","Revista de Saúde Pública; 20(3); 227-234","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300006&lang=pt" 
"S0034-89101986000300007-scl","Uma abordagem ao estudo de epidemias de moléstias contagiosas: modelo conceitual baseado nas escalas espaciais e funcionais da propagação epidêmica","Takiguti, Clovis K., Sakuma, Mary E., Curti, Suely P., Pacheco, Genival R.","Revista de Saúde Pública; 20(3); 235-241","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300007&lang=pt" 
"S0034-89101986000300001-scl","Vector competence experiments with Rocio virus and three mosquito species from the epidemic zone in Brazil","Mitchell, Carl J., Forattini, Oswaldo Paulo, Miller, Barry R.","Revista de Saúde Pública; 20(3); 171-177","Revista de Saúde Pública","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300001&lang=pt" 
"S0034-89101986000300002-spa","Observações sobre atividade de mosquitos Culicidae em matas primitivas da planície e perfis epidemiológicos de vários ambientes no Vale do Ribeira, São Paulo, Brasil","Forattini, Oswaldo Paulo, Gomes, Almério de Castro, Natal, Délsio, Santos, Jair Lício Ferreira","Revista de Saúde Pública; 20(3); 178-203","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300002&lang=pt" 
"S0370-41061986000200007-chl","Cámara Aérea para Medicamentos Presurizados","Aranda P, Carlos, Power G, Alan, Merello M, Ana Maria, Parra V, Alejandro","Revista chilena de pediatría; 57(2); 152-156","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200007&lang=pt" 
"S0370-41061986000200001-chl","Evaluación Farmacocinética en dos Formas Orales de Dosaje de Cloramfenicol en Niños con Fiebres Tíficas","Bravo R, Maria E, Horwitz C, Isidoro, Sánchez V, Angélica, Arancibia O, Aquiles","Revista chilena de pediatría; 57(2); 121-125","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200001&lang=pt" 
"S0370-41061986000200002-chl","Tres Años de Vigilancia de la Sensibilidad in Vitro de Hemophilus influenzae Causantes de Infecciones Pediatritas","Reyes M, Lucia, Prado J, Valeria","Revista chilena de pediatría; 57(2); 126-133","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200002&lang=pt" 
"S0370-41061986000200003-chl","Cateterismo Umbilical Arterial: Seis Años de Experiencia","Tapia L, José L, Ventura-Junca T, Patricio, González L, Herman, Winter G, Augusto, Juez G, Gabriel","Revista chilena de pediatría; 57(2); 133-137","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200003&lang=pt" 
"S0370-41061986000200004-chl","Utilidad de la Anamnesis en la Detección de Trastornos de la Coagulación","Hubner G, Maria Eugenia, Bravo L, Mireya, Morales G, Maria, Vera O, Monica, Rojas A, Irene","Revista chilena de pediatría; 57(2); 138-140","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200004&lang=pt" 
"S0370-41061986000200005-chl","Diálisis Peritoneal Intermitente en Pediatría","Saieh A, Carlos, Baeza R, Jose, Cordero T, Jaime, Rodriguez S, Eugenic, Puga C, Federico, Vaiela G, Mario, Hernandez F, Carmen, Gonzalez M, Janet","Revista chilena de pediatría; 57(2); 141-145","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200005&lang=pt" 
"S0370-41061986000200006-chl","Microesferocitosis Familiar Estudio en 10 Familias","Becker C, Ana, Delucchi B, M. Angela, Hodali H, Yamil, Taboada L, Hernan, Valiente Z, Nereyda","Revista chilena de pediatría; 57(2); 146-151","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200006&lang=pt" 
"S0370-41061986000200008-chl","Comparación de Tres Formulas Dietéticas en Lactantes con Diarrea Aguda","Ibáñez T, Sylvia, Puentes R, Rubén, Winter E, Augusto, Guajardo S, Juan, Jeraldo, Aurora, Jimenez A, Ana","Revista chilena de pediatría; 57(2); 158-163","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200008&lang=pt" 
"S0370-41061986000200009-chl","Trisomia 22","Raimann B, Erna, Alliende R, Angelica, Carvajal D, Virginia, Belmar S, Angélica, Urzua C, Edgar, Lacassie S, Yves","Revista chilena de pediatría; 57(2); 164-170","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200009&lang=pt" 
"S0370-41061986000200010-chl","Gigantismo Cerebral","Hidalgo F, Ramon, Villarroel C, Milena","Revista chilena de pediatría; 57(2); 171-174","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200010&lang=pt" 
"S0370-41061986000200011-chl","Trombosis Venosa Profunda en el Síndrome Nefrótico","Delucci B, Angela, Solar G, Eric, Lagomarsino F, Edda, Taboada L, Hernán, Arce V, J. Domingo","Revista chilena de pediatría; 57(2); 178-179","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200011&lang=pt" 
"S0370-41061986000200012-chl","Síndrome de Klippel Fell","Blanco R, Maria Antonieta, Schnitzler F, Sylvia","Revista chilena de pediatría; 57(2); 179-182","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200012&lang=pt" 
"S0370-41061986000200013-chl","Glomerulonefritis Membranoproliferativa (GNMP). Correlaciones Clínico - Patológicas y Terapéuticas","Urízar E, Rodrigo, Cerda, Jorge","Revista chilena de pediatría; 57(2); 201-213","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000200013&lang=pt" 
"S0036-46651986000200012-scl","","","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 141-142","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200012&lang=pt" 
"S0036-46651986000200005-scl","Estudo comparativo entre o método convencional e o método da peroxidase anti-peroxidase na pesquisa do parasitismo tissular na cardiopatia chagásica crônica","Barbosa, A. J. A., Gobbi, H., Lino, B. T., Lages-Silva, E., Ramirez, L. E., Teixeira, V. P. A., Almeida, H. O.","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 91-96","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200005&lang=pt" 
"S0036-46651986000200002-scl","Avaliação de populações de planorbídeos, em habitats naturais, pelo método de perfuração da concha","Coelho, Paulo Marcos Zectt, Gerken, Silvia Elizabeth, Freitas, José Rabelo de","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 74-79","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200002&lang=pt" 
"S0036-46651986000200003-scl","Antigen characterization of vector-borne and cultured metacyclic trypomastigotes of Trypanosoma cruzi","Yoshida, N., Teixeira, M. M. G., Sbravate, C. A.","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 80-86","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200003&lang=pt" 
"S0036-46651986000200004-scl","Immunopathologic studies in myocardial biopsies of patients with Chagas&#039; disease and idiopathic cardiomyopathy","Higuchi, Maria de Lourdes, Lopes, Edgard Augusto, Saldanha, Luis Balthazar, Barretto, Antonio Carlos Pereira, Stolf, Noedir A. G., Bellotti, Giovanni, Pileggi, Fulvio","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 87-90","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200004&lang=pt" 
"S0036-46651986000200006-scl","Strongyloses ratti and S. stercoralis: effects of cambendazole, thiabendazole and mebendazole in vitro","Grove, David I., Northern, Carolyn","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 97-103","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200006&lang=pt" 
"S0036-46651986000200007-scl","Tratamiento com levamisol de la infeccion por Mansonella ozzardi","Restrepo, Marcos, Ochoa, Nubla","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 104-110","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200007&lang=pt" 
"S0036-46651986000200008-scl","Immunoserology of malaria","Franco, Eduardo L. F.","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 111-125","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200008&lang=pt" 
"S0036-46651986000200009-scl","Lagochilascaris minor Leiper, 1909, (Nematoda-Ascaridae) de origem humana","Costa, Hélio Martins de Araújo, Silva, Amália Verônica Mendes da, Costa, Petrônio Rabelo, Assis, Sandra Breder","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 126-130","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200009&lang=pt" 
"S0036-46651986000200010-scl","Acute myocardial infarction in chronic Chagas&#039; cardiomyopathy: report of two cases with no obstructive coronary artery lesions","Lage, Silvia G., Mansur, Antonio P., Ramires, José A. F., Luz, Protásio da, Bellotti, Giovanni, Pileggi, Fúlvio","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 131-137","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200010&lang=pt" 
"S0036-46651986000200011-scl","Acute diarrhoea associated with Cryptosporidium sp in Belém, Brazil (preliminary report)","Loureiro, Edvaldo Carlos Brito, Linhares, Alexandre da Costa, Mata, Leonardo","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 138-140","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200011&lang=pt" 
"S0036-46651986000200001-scl","Atividade dissacaridásica intestinal da esquistossomose mansônica: estudo evolutivo em camundongos com diferentes cargas de infestação","Sadek, M. G. A., Borges, D. R., Miszputen, S. J.","Revista do Instituto de Medicina Tropical de São Paulo; 28(2); 67-73","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000200001&lang=pt" 
"S0034-89101986000200009-scl","","","Revista de Saúde Pública; 20(2); -","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200009&lang=pt" 
"S0034-89101986000200003-scl","Comportamento de formas sangüícolas do Trypanosoma cruzi obtidas de camundongos utilizados como filtros biológicos, em cultura e em triatomíneo","Ribeiro, Rosa Domingues, Belda Neto, Francisco Miguel, Prado Junior, José Clóvis do, Albuquerque, Sérgio de","Revista de Saúde Pública; 20(2); 129-132","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200003&lang=pt" 
"S0034-89101986000200002-scl","Avaliação do programa de alimentação do trabalhador, no Estado de Pernambuco, Brasil","Moura, Josenilda Barreto de","Revista de Saúde Pública; 20(2); 115-128","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200002&lang=pt" 
"S0034-89101986000200008-scl","II Encontro de Editores de Revistas Científicas","","Revista de Saúde Pública; 20(2); 168-169","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200008&lang=pt" 
"S0034-89101986000200007-scl","","","Revista de Saúde Pública; 20(2); 165-167","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200007&lang=pt" 
"S0034-89101986000200001-scl","Avaliação das condições de saúde no Rio Grande do Sul","Danilevicz, Nelson, Meneghel, Stela Nazareth","Revista de Saúde Pública; 20(2); 107-114","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200001&lang=pt" 
"S0034-89101986000200007-spa","","","Revista de Saúde Pública; 20(2); 165-167","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200007&lang=pt" 
"S0034-89101986000200003-spa","Comportamento de formas sangüícolas do Trypanosoma cruzi obtidas de camundongos utilizados como filtros biológicos, em cultura e em triatomíneo","Ribeiro, Rosa Domingues, Belda Neto, Francisco Miguel, Prado Junior, José Clóvis do, Albuquerque, Sérgio de","Revista de Saúde Pública; 20(2); 129-132","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200003&lang=pt" 
"S0034-89101986000200009-spa","","","Revista de Saúde Pública; 20(2); -","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200009&lang=pt" 
"S0034-89101986000200008-spa","II Encontro de Editores de Revistas Científicas","","Revista de Saúde Pública; 20(2); 168-169","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200008&lang=pt" 
"S0034-89101986000200005-spa","Contribuições da antropologia à medicina: uma revisão de estudos no Brasil","Queiroz, Marcos de Souza, Canesqui, Ana Maria","Revista de Saúde Pública; 20(2); 141-151","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200005&lang=pt" 
"S0034-89101986000200004-spa","Estudo comparativo do comportamento da infecção de camundongos, através da inoculação subcutânea e intraperitoneal, utilizando-se duas cepas do Trypanosona cruzi","Pinto, Fernando Henriques, Ribeiro, Rosa Domingues, Belda Neto, Francisco Miguel, Prado Júnior, José Clóvis do","Revista de Saúde Pública; 20(2); 133-140","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200004&lang=pt" 
"S0034-89101986000200002-spa","Avaliação do programa de alimentação do trabalhador, no Estado de Pernambuco, Brasil","Moura, Josenilda Barreto de","Revista de Saúde Pública; 20(2); 115-128","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200002&lang=pt" 
"S0034-89101986000200001-spa","Avaliação das condições de saúde no Rio Grande do Sul","Danilevicz, Nelson, Meneghel, Stela Nazareth","Revista de Saúde Pública; 20(2); 107-114","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200001&lang=pt" 
"S0034-89101986000200004-scl","Estudo comparativo do comportamento da infecção de camundongos, através da inoculação subcutânea e intraperitoneal, utilizando-se duas cepas do Trypanosona cruzi","Pinto, Fernando Henriques, Ribeiro, Rosa Domingues, Belda Neto, Francisco Miguel, Prado Júnior, José Clóvis do","Revista de Saúde Pública; 20(2); 133-140","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200004&lang=pt" 
"S0034-89101986000200005-scl","Contribuições da antropologia à medicina: uma revisão de estudos no Brasil","Queiroz, Marcos de Souza, Canesqui, Ana Maria","Revista de Saúde Pública; 20(2); 141-151","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200005&lang=pt" 
"S0034-89101986000200006-scl","Antropologia da medicina: uma revisão teórica","Queiroz, Marcos de Souza, Canesqui, Ana Maria","Revista de Saúde Pública; 20(2); 152-164","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000200006&lang=pt" 
"S0034-89101986000200006-spa","Antropologia da medicina: uma revisão teórica","Queiroz, Marcos de Souza, Canesqui, Ana Maria","Revista de Saúde Pública; 20(2); 152-164","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000200006&lang=pt" 
"S0074-02761986000100001-scl","Behavior of triatomines (Hemiptera: Reduviidae) vectors of Chagas&#039; disease: I. Courtship and copulation of Panstrongylus megistus (Burm-1835) in the laboratory","Lima, Marli Maria, Jurberg, Pedro, Almeida, Josimar Ribeiro de","Memórias do Instituto Oswaldo Cruz; 81(1); 1-5","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100001&lang=pt" 
"S0074-02761986000100002-scl","Resistência antimicrobiana de Salmonella agona oriundas de várias regiões do Brasil","Solari, Claude André, Reis, Eliane Moura Falaviana dos, Dias, José Cavalcante de Albuquerque Ribeiro, Hofer, Ernesto","Memórias do Instituto Oswaldo Cruz; 81(1); 7-14","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100002&lang=pt" 
"S0074-02761986000100003-scl","Alguns aspectos da ecologia dos mosquitos (Diptera: Culicidae) de uma área de planície (granjas Calábria) em Jacarepaguá, Rio de Janeiro: IV. Preferências alimentares quanto ao hospedeiro e freqüência domiciliar","Lourenço-de-Oliveira, Ricardo, Heyden, Rosemarie","Memórias do Instituto Oswaldo Cruz; 81(1); 15-27","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100003&lang=pt" 
"S0074-02761986000100004-scl","Chronic murine myocarditis due to Trypanosoma cruzi: an ultrastructural study and immunochemical characterization of cardiac interstitial matrix","Andrade, Sonia G., Grimaud, Jean Alexis","Memórias do Instituto Oswaldo Cruz; 81(1); 29-41","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100004&lang=pt" 
"S0074-02761986000100005-scl","Interleukin- 2 production during murine infection by Leishmania mexicana amazonensis","Barral-Netto, Manoel, Roters, Silene B., Barral, Aldina","Memórias do Instituto Oswaldo Cruz; 81(1); 43-47","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100005&lang=pt" 
"S0074-02761986000100006-scl","CL 64, 855, a potent do anti-Trypanosoma cruzi drug, is also mutagenic in the salmonella/microsome assay","Ferreira, R. C. C., Ferreira, L. C. S.","Memórias do Instituto Oswaldo Cruz; 81(1); 49-52","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100006&lang=pt" 
"S0074-02761986000100007-scl","Morbidade da esquistossomose no Brasil: IV. Evolução em pacientes tratados e seus controles","Santos, Mozart Lima dos, Coura, José Rodrigues","Memórias do Instituto Oswaldo Cruz; 81(1); 53-60","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100007&lang=pt" 
"S0074-02761986000100009-scl","Saccocoelioides godoyi n.sp. (Haploporidae) and other trematodes parasites of fishes from the Guaiba estuary, RS, Brazil","Kohn, Anna, Fróes, Oscar Miranda","Memórias do Instituto Oswaldo Cruz; 81(1); 62-72","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100009&lang=pt" 
"S0074-02761986000100010-scl","Micetomas actinomicóticos no Rio Grande do Sul: relato de quatro casos","Londero, Alberto T., Ramos, Cecy D., Matte, Shirley W.","Memórias do Instituto Oswaldo Cruz; 81(1); 73-77","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100010&lang=pt" 
