"S0004-282X1967000400010-scl","Errata","","Arquivos de Neuro-Psiquiatria; 25(4); -","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000400010&lang=pt" 
"S0034-89101967000200003-scl","Surto de toxoplasmose em um seminário de Bragança Paulista (Estado de São Paulo): aspectos clínicos, sorológicos e epidemiológicos","Magaldi, Cecília, Elkis, Henrique, Pattoli, Dino, Queiróz, José Cavalcante de, Coscina, Antonio Lauro, Ferreira, José Maria","Revista de Saúde Pública; 1(2); 141-171","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200003&lang=pt" 
"S0034-89101967000200005-scl","O problema dos dados de estatística vital, sobretudo os dos óbitos e nascimentos vivos, no município de São Paulo: sugestões para a sua solução","Barbosa, Victório","Revista de Saúde Pública; 1(2); 177-187","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200005&lang=pt" 
"S0034-89101967000200002-spa","A dinâmica de populações microbiológicas na estabilização aeróbia de resíduos orgânicos de fecularias de mandioca","Branco, Samuel Murgel","Revista de Saúde Pública; 1(2); 126-140","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200002&lang=pt" 
"S0034-89101967000200003-spa","Surto de toxoplasmose em um seminário de Bragança Paulista (Estado de São Paulo): aspectos clínicos, sorológicos e epidemiológicos","Magaldi, Cecília, Elkis, Henrique, Pattoli, Dino, Queiróz, José Cavalcante de, Coscina, Antonio Lauro, Ferreira, José Maria","Revista de Saúde Pública; 1(2); 141-171","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200003&lang=pt" 
"S0034-89101967000200007-scl","Medicina privada e saúde pública estariam convergindo? I. O problema e argumentos que justificariam o preparo do estudante de medicina em medicina comunitária","Piovesan, Armando","Revista de Saúde Pública; 1(2); 193-200","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200007&lang=pt" 
"S0034-89101967000200007-spa","Medicina privada e saúde pública estariam convergindo? I. O problema e argumentos que justificariam o preparo do estudante de medicina em medicina comunitária","Piovesan, Armando","Revista de Saúde Pública; 1(2); 193-200","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200007&lang=pt" 
"S0034-89101967000200009-scl","Prova de hemaglutinação passiva para a evidenciação da toxina do C. diphtherias na lesão diftérica","Christovão, Dacio de Almeida, Cotillo Z., Luís G., Candeias, José Alberto Neves","Revista de Saúde Pública; 1(2); 210-216","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200009&lang=pt" 
"S0034-89101967000200008-scl","Algumas considerações sôbre o problema da rubéola no município de São Paulo","Cotillo Z., Luís G., Santos, José Antonio Alves dos","Revista de Saúde Pública; 1(2); 201-209","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200008&lang=pt" 
"S0034-89101967000200006-scl","Tentativas de inhibicion de la sintesis de enterotoxina estafilocóccica por penicilina y estreptomicina","Cotillo Z., Luís G.","Revista de Saúde Pública; 1(2); 188-192","Revista de Saúde Pública","Espanhol","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200006&lang=pt" 
"S0034-89101967000200001-scl","Aspectos sócio-culturais da epilepsia à luz da psicodinâmica: apresentação de uma entrevista com paciente epiléptica","Savastano, Helena","Revista de Saúde Pública; 1(2); 119-125","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200001&lang=pt" 
"S0034-89101967000200004-scl","Saúde pública e o problema de classificação social","Witt, Aracy","Revista de Saúde Pública; 1(2); 172-176","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200004&lang=pt" 
"S0034-89101967000200010-scl","","","Revista de Saúde Pública; 1(2); 217-220","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200010&lang=pt" 
"S0034-89101967000200010-spa","","","Revista de Saúde Pública; 1(2); 217-220","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200010&lang=pt" 
"S0034-89101967000200008-spa","Algumas considerações sôbre o problema da rubéola no município de São Paulo","Cotillo Z., Luís G., Santos, José Antonio Alves dos","Revista de Saúde Pública; 1(2); 201-209","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200008&lang=pt" 
"S0034-89101967000200006-spa","Tentativas de inhibicion de la sintesis de enterotoxina estafilocóccica por penicilina y estreptomicina","Cotillo Z., Luís G.","Revista de Saúde Pública; 1(2); 188-192","Revista de Saúde Pública","Espanhol","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200006&lang=pt" 
"S0034-89101967000200004-spa","Saúde pública e o problema de classificação social","Witt, Aracy","Revista de Saúde Pública; 1(2); 172-176","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200004&lang=pt" 
"S0034-89101967000200001-spa","Aspectos sócio-culturais da epilepsia à luz da psicodinâmica: apresentação de uma entrevista com paciente epiléptica","Savastano, Helena","Revista de Saúde Pública; 1(2); 119-125","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200001&lang=pt" 
"S0034-89101967000200005-spa","O problema dos dados de estatística vital, sobretudo os dos óbitos e nascimentos vivos, no município de São Paulo: sugestões para a sua solução","Barbosa, Victório","Revista de Saúde Pública; 1(2); 177-187","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200005&lang=pt" 
"S0034-89101967000200009-spa","Prova de hemaglutinação passiva para a evidenciação da toxina do C. diphtherias na lesão diftérica","Christovão, Dacio de Almeida, Cotillo Z., Luís G., Candeias, José Alberto Neves","Revista de Saúde Pública; 1(2); 210-216","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000200009&lang=pt" 
"S0037-86821967000500001-scl","Comentários sôbre o comportamento da reação de Sabin-Feldman em relação ao diagnóstico e controle de cura da toxoplasmose","Amato Neto, Vicente","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); 231-242","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500001&lang=pt" 
"S0037-86821967000500002-scl","A new and practical viscerotome","Silva, J. Rodrigues da, Rubens, Júlio, Costa, A. R. Sampaio","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); 243-252","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500002&lang=pt" 
"S0037-86821967000500004-scl","Inquérito hematológico em 100 crianças da Fundação Romão de Mattos Duarte, Estado da Guananabara","Naveira, J. Bacchi, Camillo-Coura, Léa, Motta, J. B. Basílio da, Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); 261-272","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500004&lang=pt" 
"S0037-86821967000500005-scl","A propósito de um caso de psitacose observado no Estado do Rio de Janeiro. Revisão sumária sôbre o assunto","Tavares, Walter, Pereira, Nelson Gonçalves, Coura, Rodrigues","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); 273-279","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500005&lang=pt" 
"S0037-86821967000500006-scl","Tratamento da ascaridíase humana com os sais de tetramisole","Camillo-Coura, Léa, Soli, Adelma S. V., Carvalho, Heleno Tinoco de, Brasil, Hugo Americano do","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); 280-291","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500006&lang=pt" 
"S0037-86821967000500007-scl","Necrológio - Germano Sinval de Faria","Ferreira, Manoel José","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); XI-XII","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500007&lang=pt" 
"S0037-86821967000500003-scl","Esquistossomose experimental em Cebus apella. I. Determinação da transaminase glutâmico pirúvica e glutâmico oxalacética no sôro sanguíneo","Ferreira, Luiz Fernando, Coura, J. Rodrigues, Gama, Maurício Pinho, Tosta, Carlos Eduardo","Revista da Sociedade Brasileira de Medicina Tropical; 1(5); 253-260","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000500003&lang=pt" 
"S0004-282X1967000300001-scl","Aspectos neurológicos da moléstia de chagas","Köberle, Fritz","Arquivos de Neuro-Psiquiatria; 25(3); 159-174","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300001&lang=pt" 
"S0004-282X1967000300002-scl","Aspectos neurológicos da doença de chagas: sistema nervoso central","Forjaz, Sylvio de Vergueiro","Arquivos de Neuro-Psiquiatria; 25(3); 175-190","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300002&lang=pt" 
"S0004-282X1967000300004-scl","Alterações quantitativas das células de purkinje na moléstia de chagas experimental no camundongo","Jardim, Edymar","Arquivos de Neuro-Psiquiatria; 25(3); 199-208","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300004&lang=pt" 
"S0004-282X1967000300005-scl","Aspectos histoquímicos do plexo mientérico na doença de chagas experimental","Sena, Plínio Garcez de, Teles Filho, Moysés","Arquivos de Neuro-Psiquiatria; 25(3); 209-213","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300005&lang=pt" 
"S0004-282X1967000300006-scl","Sudorese em pacientes com moléstia de chagas crônica","Jardim, Edymar","Arquivos de Neuro-Psiquiatria; 25(3); 214-220","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300006&lang=pt" 
"S0004-282X1967000300008-scl","Ultrassom focalizado: nova arma terapêutica na cirurgia estereotáxica","Marino Jr., Raul","Arquivos de Neuro-Psiquiatria; 25(3); 227-234","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300008&lang=pt" 
"S0004-282X1967000300003-scl","Alterações cerebelares em pacientes com cardiopatia crônica chagásica","Alencar, Alexandre","Arquivos de Neuro-Psiquiatria; 25(3); 191-198","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300003&lang=pt" 
"S0004-282X1967000300007-scl","A metisergide no tratamento da epilepsia temporal","Armbrust-Figueiredo, Jorge","Arquivos de Neuro-Psiquiatria; 25(3); 221-226","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000300007&lang=pt" 
"S0034-75901967000300008-scl","Sociologia política","","Revista de Administração de Empresas; 7(24); 187-194","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300008&lang=pt" 
"S0034-75901967000300009-scl","Recrutamento de pessoal","Bertero, Carlos Osmar","Revista de Administração de Empresas; 7(24); 195-197","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300009&lang=pt" 
"S0034-75901967000300007-scl","A reforma administrativa do governo federal e suas implicações","","Revista de Administração de Empresas; 7(24); 10-13","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300007&lang=pt" 
"S0034-75901967000300005-scl","A técnica analítica de grupo aplicada à pesquisa da motivação","Caracushansky, Michel","Revista de Administração de Empresas; 7(24); 135-147","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300005&lang=pt" 
"S0034-75901967000300003-scl","Algumas observações sobre a margem de contribuição","Dias, Ivan Pinto","Revista de Administração de Empresas; 7(24); 79-101","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300003&lang=pt" 
"S0034-75901967000300001-scl","A teoria econômica e os países subdesenvolvidos","Pereira, Luiz Carlos Bresser","Revista de Administração de Empresas; 7(24); 15-40","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300001&lang=pt" 
"S0034-75901967000300002-scl","Aspectos do conflito industrial no Brasil","Loureiro, José Eduardo","Revista de Administração de Empresas; 7(24); 41-77","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300002&lang=pt" 
"S0034-75901967000300004-scl","A técnica de fixação de objetivos para gerentes","Lodi, João Bosco","Revista de Administração de Empresas; 7(24); 103-133","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300004&lang=pt" 
"S0034-75901967000300006-scl","Os efeitos econômicos da propaganda","Borden, Neil H.","Revista de Administração de Empresas; 7(24); 149-185","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000300006&lang=pt" 
"S0037-86821967000400005-scl","Reservatórios vertebrados extra humanos nas regiões tropicais","Silva, J. Rodrigues da, Pereira, Nelson Gonçalves","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 197-205","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400005&lang=pt" 
"S0037-86821967000400001-scl","Clínica de Doenças Tropicais e Infecciosas: especialidade médica ou conceituação universitária?","Amato Neto, Vicente","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 165-166","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400001&lang=pt" 
"S0037-86821967000400002-scl","Estudos sôbre reservatórios e vetores silvestres do Trypanosoma cruzi. XXII. Modificações dos focos naturais da tripanossomose americana e suas conseqüências","Barreto, Mauro Pereira","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 167-174","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400002&lang=pt" 
"S0037-86821967000400003-scl","Esplenoportografia em pacientes com hepatoesplenomegalia acompanhada de infecção malárica","Coutinho, Sérgio Gomes, Lopes, Paulo Francisco Almeida, Argento, Carlos Alberto, Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 175-186","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400003&lang=pt" 
"S0037-86821967000400006-scl","Ensaios terapêuticos no tracoma visando a campanha de tratamento em massa","Arruda, Adolfo Pereira, Neves Netto, Raymundo N. A., Silva, José Rodrigues da, Ferreira, Ivo","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 207-218","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400006&lang=pt" 
"S0037-86821967000400007-scl","Ensaio laboratorial e clínico com Hycanthone, nôvo agente esquistossomicida","Katz, Naftale, Pellegrino, J.","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 219-230","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400007&lang=pt" 
"S0037-86821967000400004-scl","Estado atual da esquistossomose mansônica em Goiás","Barbosa, William, Azevedo, Clodoveu D. de, Souza, Afonso Honorato da Silva e, Cunha, Antonio","Revista da Sociedade Brasileira de Medicina Tropical; 1(4); 187-196","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000400004&lang=pt" 
"S0004-282X1967000200003-scl","Riso na epilepsia","Jardim, Edymar, Armbrust-Figueiredo, Jorge","Arquivos de Neuro-Psiquiatria; 25(2); 106-111","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200003&lang=pt" 
"S0004-282X1967000200001-scl","Diagnóstico diferencial das distrofias musculares com referência especial às alterações enzimáticas","Heick, H., Laudahn, G.","Arquivos de Neuro-Psiquiatria; 25(2); 71-86","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200001&lang=pt" 
"S0004-282X1967000200007-scl","Meningioma em placa atingindo toda a convexidade cerebral","Almeida, M. de, Salum, Jamil, Mantovani, Cleusa M., Marcondes, Marcelo","Arquivos de Neuro-Psiquiatria; 25(2); 138-141","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200007&lang=pt" 
"S0004-282X1967000200004-scl","Alterações funcionais da junção neuromuscular provocadas em ratos pela administração diária e prolongada de um agente curarizante","Zanini, Antonio Carlos","Arquivos de Neuro-Psiquiatria; 25(2); 112-123","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200004&lang=pt" 
"S0004-282X1967000200005-scl","Ensaio clínico com novo psicotrópico (P-4657B) em pacientes hospitalizados","Signorini, Jamil, Vieira, Nelson Cortez, Marques-Assis, Luís, Martins, Clovis","Arquivos de Neuro-Psiquiatria; 25(2); 124-129","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200005&lang=pt" 
"S0004-282X1967000200006-scl","Sobressalto patológico: aspectos clínicos e eletrencefalográficos","Kliemann, Frederico Dahne, Ferreira, Nelson Pires","Arquivos de Neuro-Psiquiatria; 25(2); 130-137","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200006&lang=pt" 
"S0004-282X1967000200002-scl","Espasmos em flexão: estudo clínico e eletrencefalográfico de pacientes tratados com Ro 4-5360","Lison, P., Mega, Décio","Arquivos de Neuro-Psiquiatria; 25(2); 87-105","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200002&lang=pt" 
"S0004-282X1967000200008-scl","Análises de livros","","Arquivos de Neuro-Psiquiatria; 25(2); 142-151","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000200008&lang=pt" 
"S0034-75901967000200010-scl","Subdesenvolvimento e estagnação na América Latina","Bertero, Carlos Osmar","Revista de Administração de Empresas; 7(23); 204-210","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200010&lang=pt" 
"S0034-75901967000200009-scl","","Sampaio, Flávio P.","Revista de Administração de Empresas; 7(23); 199-203","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200009&lang=pt" 
"S0034-75901967000200008-scl","A face desconhecida dos institutos de seleção (&quot;agência de emprego&quot;)","","Revista de Administração de Empresas; 7(23); 13-22","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200008&lang=pt" 
"S0034-75901967000200007-scl","Observações sobre o problema do planejamento","","Revista de Administração de Empresas; 7(23); 08-11","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200007&lang=pt" 
"S0034-75901967000200005-scl","A Escolha das estruturas de organização","Goldkorn, Henrique","Revista de Administração de Empresas; 7(23); 137-160","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200005&lang=pt" 
"S0034-75901967000200002-scl","Auditoria em marketing","Lima Filho, Alberto de Oliveira","Revista de Administração de Empresas; 7(23); 49-71","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200002&lang=pt" 
"S0034-75901967000200001-scl","Teorias de desenvolvimento economico: problemas metodologicos","Pastore, José","Revista de Administração de Empresas; 7(23); 25-48","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200001&lang=pt" 
"S0034-75901967000200003-scl","Método abreviado das observações instantâneas","","Revista de Administração de Empresas; 7(23); 73-109","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200003&lang=pt" 
"S0034-75901967000200004-scl","A utilização de índices de tendência na administração financeira","Dias, Ivan Pinto","Revista de Administração de Empresas; 7(23); 111-135","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200004&lang=pt" 
"S0034-75901967000200006-scl","A emprêsa familiar","Donnelley, Robert G.","Revista de Administração de Empresas; 7(23); 161-198","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000200006&lang=pt" 
"S0037-86821967000300005-scl","Experiências terapêuticas com a alfa-6-deoxi-5-oxitetraciclina (doxiclina): um nôvo antibiótico de largo espectro","Coura, J. Rodrigues, Camillo-Coura, Léa, Lourenço, Nelson Jerônimo, Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); 137-146","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300005&lang=pt" 
"S0037-86821967000300007-scl","Observações sôbre a terapêutica da ascaridiose com o hidroclorato e com o ciclamato de 2,3,5,6  Tetrahidro - 6 fenil - imidazo (2,1-b) tiazol","Argento, Carlos Alberto, Gomes, Jussuy Laranjeira, Tomassini, Hugo, Pereira Junior, Deomar Bittencourt","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); 159-163","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300007&lang=pt" 
