"S1517-97022006000200012-scl","As figuras de ligação nos relatos de formação: ligações formadoras, deformadoras e transformadoras","Josso, Marie Christine","Educação e Pesquisa; 32(2); 373-383","Educação e Pesquisa","Francês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200012&lang=pt" 
"S0042-96862006000800021-spa","Creating windows of opportunity for policy change: incorporating evidence into decentralized planning in Kenya","Ashford, Lori S, Smith, Rhonda R, De Souza, Roger-Mark, Fikree, Fariyal F, Yinger, Nancy V","Bulletin of the World Health Organization; 84(8); 669-672","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800021&lang=pt" 
"S0042-96862006000800020-spa","From research evidence to policy: mental health care in Viet Nam","Harpham, T, Tuan, T","Bulletin of the World Health Organization; 84(8); 664-668","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800020&lang=pt" 
"S0042-96862006000800018-spa","Leading a change process to improve health service delivery","Bahamon, Claire, Dwyer, Joseph, Buxbaum, Ann","Bulletin of the World Health Organization; 84(8); 658-661","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800018&lang=pt" 
"S0042-96862006000800019-spa","Round table discussion","","Bulletin of the World Health Organization; 84(8); 662-663","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800019&lang=pt" 
"S0042-96862006000800026-spa","Corrigendum","","Bulletin of the World Health Organization; 84(8); 683-683","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800026&lang=pt" 
"S0042-96862006000800022-spa","Integration of mass drug administration programmes in Nigeria: the challenge of schistosomiasis","Richards Jr, Frank O, Eigege, Abel, Miri, Emmanuel S, Jinadu, MY, Hopkins, Donald R","Bulletin of the World Health Organization; 84(8); 673-676","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800022&lang=pt" 
"S0042-96862006000800002-spa","Knowledge translation: linking the past to the future","Nuyens, Yvo, Lansang, Mary Ann D","Bulletin of the World Health Organization; 84(8); 590-590","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800002&lang=pt" 
"S0042-96862006000800001-spa","In this month&#039;s Bulletin","","Bulletin of the World Health Organization; 84(8); 589-589","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800001&lang=pt" 
"S0042-96862006000800003-spa","Integrating social entrepreneurs into the &quot;health for all&quot; formula","Drayton, William, Brown, Charlie, Hillhouse, Karin","Bulletin of the World Health Organization; 84(8); 591-591","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800003&lang=pt" 
"S0042-96862006000800005-spa","Applying best practices to make programmes work","","Bulletin of the World Health Organization; 84(8); 594-594","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800005&lang=pt" 
"S0042-96862006000800006-spa","Global Polio Eradication Initiative","","Bulletin of the World Health Organization; 84(8); 595-595","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800006&lang=pt" 
"S0042-96862006000800007-spa","WHO&#039;s strategy on Integrated Management of Childhood Illness","","Bulletin of the World Health Organization; 84(8); 595-596","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800007&lang=pt" 
"S0042-96862006000800008-spa","Recent news from WHO","","Bulletin of the World Health Organization; 84(8); 596-596","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800008&lang=pt" 
"S0042-96862006000800015-spa","Knowledge mapping as a technique to support knowledge translation","Ebener, S, Khan, A, Shademani, R, Compernolle, L, Beltran, M, Lansang, MA, Lippman, M","Bulletin of the World Health Organization; 84(8); 636-642","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800015&lang=pt" 
"S0042-96862006000800016-spa","Systematic reviews and knowledge translation","Tugwell, Peter, Robinson, Vivian, Grimshaw, Jeremy, Santesso, Nancy","Bulletin of the World Health Organization; 84(8); 643-651","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800016&lang=pt" 
"S1678-77572006000400010-scl","Mouth floor enlargements related to the sublingual glands in edentulous or partially edentulous patients: a microscopic study","Iwaki Filho, Liogi, Damante, José Humberto, Consolaro, Alberto, Bonachela, Wellington Cardoso, Damante, Carla Andreotti","Journal of Applied Oral Science; 14(4); 264-269","Journal of Applied Oral Science","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572006000400010&lang=pt" 
"S0254-07702006000200010-ven","Kinetics of ion-exchange in raw and commercial pasteurized milk","Martínez, Karina, Alaña, Jorge, Ferrer, José, Faría, José, Ramones, Eduardo, García, Cézar","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 182-193","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200010&lang=pt" 
"S0254-07702006000200002-ven","Behavior of metals (Pb, Zn, Fe, Al AND Ni) during coal mine drainages treatment in constructed wetlands","Marín, Julio César, López, Adriana, Behling, Elisabeth, Colina, Gilberto, Fernández, Nola","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 100-110","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200002&lang=pt" 
"S0254-07702006000200003-ven","Stabilization of a brushed DC motor with the port controlled Hamiltonian approach","Morillo Piña, Atilio, Ríos, E. Miguel, Acosta, Vivian","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 111-118","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200003&lang=pt" 
"S0254-07702006000200001-ven","The effect of strain hardening on the behavior of the AISI 304 stainless steels alloys under dry friction","Reinoza, Rigoberto, Guillén, Alexo","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 93-99","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200001&lang=pt" 
"S0254-07702006000200006-ven","Formulation of asphalt emulsions with lignin derivatives and its behavior with mixtures of stony materials","Pierini, Claudia, Bracho, Carlos, Gonzáles, Gioconda","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 134-143","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200006&lang=pt" 
"S0254-07702006000200007-ven","Regression models for the prediction of high impact polystyrene properties using operational variables","Soto, Diana, Alaña, Jorge, Oliva, Haydee","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 144-158","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200007&lang=pt" 
"S0254-07702006000200004-ven","Concentration of K, Na, Ca, Mg, Fe, proteins and fatty in the lined catfish Pseudoplatystoma fasciatum of the middle Orinoco in Venezuela","González, A, Márquez, A, Senior, W, Martínez, G","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 119-126","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200004&lang=pt" 
"S0254-07702006000200005-ven","The effect of the choice of turbulence model on the simulation of fluid flow on a centrifugal separator","Colman, Alejandro, Rincón, José, Araujo, Carlos, Materano, Gilberto, Reyes, Miguel","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 127-133","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200005&lang=pt" 
"S0254-07702006000200008-ven","Vulnerability to the Contamination of underground waters in the Coquivacoa Parish of the Maracaibo Municipality-Zulia State","Márquez, Wilmer, Fernández, Nola, Cerón, Williams","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 159-168","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200008&lang=pt" 
"S0254-07702006000200009-ven","Thermal comfort in naturally ventilated buildings of Maracaibo, Venezuela","Bravo Morales, Gaudy Claret, González Cruz, Eduardo Manuel","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(2); 169-181","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000200009&lang=pt" 
"S0716-09172006000200001-chl","STRONG TOPOLOGIES FOR MULTIPLIER CONVERGENT SERIES","SWARTZ, CHARLES","Proyecciones (Antofagasta); 25(2); 111-120","Proyecciones (Antofagasta)","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200001&lang=pt" 
"S0716-09172006000200002-chl","UN ETUDE CLASSIQUE DES DUPLICATIONS D’UN GROUPE CYCLIQUE","RIDER-MOYANO, ALFONSO, RUBIO-RUIZ, RAFAEL","Proyecciones (Antofagasta); 25(2); 121-150","Proyecciones (Antofagasta)","Francês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200002&lang=pt" 
"S0716-09172006000200003-chl","DIFFEOLOGICAL SPACES","LAUBINGER, MARTIN","Proyecciones (Antofagasta); 25(2); 151-178","Proyecciones (Antofagasta)","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200003&lang=pt" 
"S0716-09172006000200004-chl","ON SYMMETRIES OF PQ-HYPERELLIPTIC RIEMANN SURFACES","TYSZKOWSKA, EWA","Proyecciones (Antofagasta); 25(2); 179-189","Proyecciones (Antofagasta)","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200004&lang=pt" 
"S0716-09172006000200005-chl","GENERALIZED CONNECTIVITY","YUE, YUELI, FANG, JINMING","Proyecciones (Antofagasta); 25(2); 191-203","Proyecciones (Antofagasta)","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200005&lang=pt" 
"S0716-09172006000200006-chl","ON OUTGOING SOLUTIONS FOR A SYSTEM OF TIME-HARMONIC ELASTIC WAVE IN THE EXTERIOR OF A STAR-SHAPED DOMAIN","CORTÉS, LUIS, FERNÁNDEZ, CLAUDIO, PERLA, GUSTAVO","Proyecciones (Antofagasta); 25(2); 205-229","Proyecciones (Antofagasta)","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200006&lang=pt" 
"S0716-09172006000200007-chl","","","Proyecciones (Antofagasta); 25(2); 231-232","Proyecciones (Antofagasta)","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172006000200007&lang=pt" 
"S0042-96862006000800023-spa","Development knowledge and experience: from Bangladesh to Afghanistan and beyond","Chowdhury, A Mushtaque R, Aminul Alam, M, Ahmed, Jalaluddin","Bulletin of the World Health Organization; 84(8); 677-681","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800023&lang=pt" 
"S0042-96862006000800010-spa","Bridging the gap between knowledge and action for health: case studies","Thamlikitkul, Visanu","Bulletin of the World Health Organization; 84(8); 603-607","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800010&lang=pt" 
"S0042-96862006000800025-spa","Strategies to address alcohol problems","Obot, Isidore","Bulletin of the World Health Organization; 84(8); 684-684","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800025&lang=pt" 
"S0042-96862006000800024-spa","BRAC: learning to reach health for all","Rohde, Jon E","Bulletin of the World Health Organization; 84(8); 682-683","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800024&lang=pt" 
"S1807-59322006000400011-scl","Arterial reconstructions associated with the resection of malignant tumors","Nishinari, Kenji, Wolosker, Nelson, Yazbek, Guilherme, Zerati, Antônio Eduardo, Nishimoto, Inês Nobuko, Puech-Leão, Pedro","Clinics; 61(4); 339-344","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000400011&lang=pt" 
"S1807-59322006000400012-scl","Volume management in critically ill patients: new insights","Lopes, Marcel Rezende, Auler Jr, José Otávio Costa, Michard, Frédéric","Clinics; 61(4); 345-350","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000400012&lang=pt" 
"S1807-59322006000400004-scl","Alteration of the load-response mechanism of the knee joint during hemiparetic gait following stroke analyzed by 3-dimensional kinematic","Lucareli, Paulo Roberto Garcia, Greve, Julia Maria D&#039;Andrea","Clinics; 61(4); 295-300","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000400004&lang=pt" 
"S0103-50532006000400003-scl","Manufacturing of miniature fluidic modules for lab-on-a-chip using UA photoresin from flexographic platemaking process","Fernandes, Julio Cesar B., Ferreira, Luiz Otávio S.","Journal of the Brazilian Chemical Society; 17(4); 643-647","Journal of the Brazilian Chemical Society","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532006000400003&lang=pt" 
"S0103-50532006000400001-scl","Editorial","Andrade, Jailson B. de, Pinto, Angelo C.","Journal of the Brazilian Chemical Society; 17(4); -","Journal of the Brazilian Chemical Society","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532006000400001&lang=pt" 
"S1415-54192006000400005-scl","Estudo comparativo do perfil facial de indivíduos Padrões I, II e III portadores de selamento labial passivo","Reis, Sílvia Augusta Braga, Abrão, Jorge, Capelozza Filho, Leopoldino, Claro, Cristiane Aparecida de Assis","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 36-45","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400005&lang=pt" 
"S1415-54192006000400009-scl","Estudo comparativo in vitro da resistência ao cisalhamento da colagem e do índice de remanescente adesivo entre os compósitos Concise e Fill Magic","Pithon, Matheus Melo, Santos, Rogério Lacerda dos, Oliveira, Márlio Vinícius de, Ruellas, Antônio Carlos de Oliveira","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 76-80","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400009&lang=pt" 
"S1415-54192006000400012-scl","Avaliação da alteração do plano oclusal em cirurgias ortognáticas combinadas com utilização de fixação interna rígida em pacientes com padrão facial de Classe II","Pizzol, Karina Eiras Dela Coleta, Barbeiro, Roberto Henrique, Coleta, Roberto Dela, Marcantonio, Élcio","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 104-117","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400012&lang=pt" 
"S1415-54192006000400013-scl","Estudo comparativo das dimensões transversais dos arcos dentários entre jovens com oclusão normal e má oclusão de Classe II, 1ª divisão","Roberto, Rejman, Martins, Décio Rodrigues, Scavone Jr, Helio, Cotrim-Ferreira, Flávio Augusto, Vellini-Ferreira, Flávio","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 118-125","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400013&lang=pt" 
"S1415-54192006000400010-scl","Estudo comparativo entre as diferentes cores de ligaduras elásticas","Martins, Mariana Martins e, Mendes, Álvaro de Moraes, Almeida, Marco Antônio de Oliveira, Goldner, Maria Teresa de Andrade, Ramos, Viviane Ferreira, Guimarães, Sarita de Sá","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 81-90","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400010&lang=pt" 
"S1415-54192006000400004-scl","Análise fotogramétrica e subjetiva do perfil facial de indivíduos com oclusão normal","Trevisan, Fábio, Gil, Cássia Teresinha Lopes Alcântara","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 24-35","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400004&lang=pt" 
"S1415-54192006000400006-scl","Análise da deflexão, do comprimento anterior e posterior da base do crânio, em indivíduos dolicofaciais, com má oclusão de Classe III esquelética","Gonçalves, Fernando Antonio, Tavares, Stênyo Wanderley, Pereira Neto, João Sarmento, Nouer, Darcy Flávio, Magnani, Maria Beatriz Borges de Araújo, Romano, Fábio Lourenço","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 46-52","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400006&lang=pt" 
"S1415-54192006000400008-scl","O posicionamento vertical dos acessórios na montagem do aparelho ortodôntico fixo","Vianna, Valéria Fernandes, Mucha, José Nelson","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 66-75","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400008&lang=pt" 
"S1415-54192006000400011-scl","Avaliação da inclinação dentoalveolar e dimensões do arco superior em mordidas cruzadas posteriores tratadas com aparelho expansor removível e fixo","Santos-Pinto, Ary dos, Rossi, Talita Cristina, Gandini Jr., Luiz Gonzaga, Barreto, Gustavo Mattos","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 91-103","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400011&lang=pt" 
"S1415-54192006000400014-scl","Ancoragem esquelética em Ortodontia com miniimplantes","Araújo, Telma Martins de, Nascimento, Mauro Henrique Andrade, Bezerra, Fábio, Sobral, Márcio Costa","Revista Dental Press de Ortodontia e Ortopedia Facial; 11(4); 126-156","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192006000400014&lang=pt" 
"S0717-75182006000200001-chl","BREVE HISTORIA DE LA RELACIÓN ENTRE EL COLESTEROL Y LAS ENFERMEDADES CARDIOVASCULARES","Valenzuela B, Alfonso, Morgado T, Nora","Revista chilena de nutrición; 33(2); 130-134","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200001&lang=pt" 
"S0717-75182006000200002-chl","GLUCOGENOSIS TIPO I Y III","Cornejo E, Verónica, Raimann B, Erna","Revista chilena de nutrición; 33(2); 135-141","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200002&lang=pt" 
"S0717-75182006000200003-chl","BIODISPONIBILIDAD DE HIERRO EN HUMANOS","Gaitán C, Diego, Olivares G, Manuel, Arredondo O, Miguel, Pizarro A, F","Revista chilena de nutrición; 33(2); 142-148","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200003&lang=pt" 
"S0717-75182006000200004-chl","RECEPTORES NUCLEARES Y REGULACIÓN DE LA EXPRESIÓN GÉNICA POR ÁCIDOS GRASOS POLIINSATURADOS: ALGO MÁS QUE PRODUCCIÓN DE ENERGÍA Y ESENCIALIDAD","Sanhueza C, Julio, Valenzuela B, Alfonso","Revista chilena de nutrición; 33(2); 150-161","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200004&lang=pt" 
"S0717-75182006000200005-chl","DETECCIÓN DE SÍNTOMAS DEPRESIVOS EN PACIENTES CON SOBREPESO Y OBESIDAD","Tapia S, Alexis, Masson S, Lilia","Revista chilena de nutrición; 33(2); 162-169","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200005&lang=pt" 
"S0717-75182006000200006-chl","ACTITUDES Y PRÁCTICAS SOBRE ALIMENTACIÓN Y ACTIVIDAD FÍSICA EN NIÑOS OBESOS Y SUS MADRES EN SANTIAGO, CHILE","Olivares C, Sonia, Bustos Z, Nelly, Moreno H, Ximena, Lera M, Lydia, Cortez F, Silvana","Revista chilena de nutrición; 33(2); 170-179","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200006&lang=pt" 
"S0717-75182006000200007-chl","CARACTERÍSTICAS DE NEONATOS MACROSÓMICOS Y DE SUS MADRES, DEL HOSPITAL HERMINDA MARTIN DE CHILLÁN","Mella V, Ivón, Salvo A, Lorena, González S, María Angélica","Revista chilena de nutrición; 33(2); 180-186","Revista chilena de nutrición","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000200007&lang=pt" 
