"S0041-47512012000200012-sza","Musiekentrepreneurskap: &#039;n Onmisbare element van die tersiêre musiekkurrikulum","van Zuilenburg, Paul Loeb","Tydskrif vir Geesteswetenskappe; 52(2); 322-336","Tydskrif vir Geesteswetenskappe","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512012000200012&lang=pt" 
"S0211-57352012000200009-esp","Impacto de la &quot;Ley de promoción de la autonomía personal y atención a las personas en situación de dependencia&quot; en las personas con trastorno mental grave","Sobrino Calzado, Teodosia, Rodríguez Pulido, Francisco, Vallespi Cantabrana, Ana M, López Álvarez, Marcelino, López Gómez, Desiderio, Rodríguez González, Abelardo, San Pío Tendero, María Jesús, Simón Expósito, Miguel, Uriarte Uriarte, José J, Villegas Miranda, Francisco, Ferrera Rodríguez, Beatriz, Ruiz Periago, Bartolomé, Balanza Martínez, Pilar, Blas Vicente, Esther, Bravo Ortiz, Mari Fe, Martínez Jambrina, Juan José, Pastor Martínez, Ananías, Pérez Pérez, Fermín","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 329-348","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200009&lang=pt" 
"S0211-57352012000200008-esp","A propósito de un caso de psicosis temprana: un nuevo paradigma en salud mental","Sánchez-Araña Moreno, Tomás, de la Higuera Romero, Jesús, Sanz Cortés, Sebastián, Pérez Pérez, Fermín","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 323-326","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200008&lang=pt" 
"S0211-57352012000200010-esp","La formación de especialistas de Psiquiatría en Europa: A propósito de auditoría docente realizada por la Unión Europea de médicos especialistas en la unidad docente multiprofesional del Hospital Universitario Príncipe de Asturias","Goretti Morón Nozaleda, María, Álvarez Fernández, Sonia, Freund, Namdev, Martín Ballesteros, Eloy, Fernández Liria, Alberto","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 349-362","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200010&lang=pt" 
"S0211-57352012000200004-esp","Estudio de seguimiento a cinco años de la psicosis aguda: evolución diagnóstica y adaptación psicosocial","Pedros Roselló, A, Tenías Burillo, J. Mª","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 261-270","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200004&lang=pt" 
"S0211-57352012000200006-esp","En qué cambian los pacientes drogodependientes a los seis meses de tratamiento en la comunidad terapéutica","Pérez del Río, Fernando","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 287-303","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200006&lang=pt" 
"S0211-57352012000200013-esp","Reflexiones nerviosas: Fútbol","Medrano, Juan","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 374-386","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200013&lang=pt" 
"S0211-57352012000200015-esp","Libros y documentos en la red","","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 399-412","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200015&lang=pt" 
"S1726-46342012000200012-per","Riesgos psicosociales en el trabajo y salud ocupacional","Gil-Monte, Pedro R","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 237-241","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200012&lang=pt" 
"S0211-57352012000200016-esp","Promoviendo la psicoterapia como prestación real en la cartera de servicios comunes del Sistema Nacional de Salud (SNS) y los derechos de atención de usuarios con trastornos mentales y sus familiares/cuidadores","Olabarría González, Begoña, Sánchez Monge, José Mª","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 419-428","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200016&lang=pt" 
"S1726-46342012000200007-per","Automedicación en gestantes que acuden al instituto nacional materno perinatal, Perú 2011","Miní, Elsy, Varas, Rocio, Vicuña, Yuliana, Lévano, María, Rojas, Luis, Medina, Julio, Butron, Joece, Aranda, Renzo, Gutierrez, Ericson L","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 212-217","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200007&lang=pt" 
"S1726-46342012000200016-per","Tuberculosis y salud pública: ¿derechos individuales o derechos colectivos?","Llanos-Zavalaga, Luis F, Velásquez-Hurtado, José E, García, Patricia J, Gottuzzo, Eduardo","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 259-264","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200016&lang=pt" 
"S1726-46342012000200014-per","Blastomicosis oral, papilomatosis laríngea y tuberculosis esofágica","Montoya, Manuel, Chumbiraico, Robert, Ricalde, Melvin, Cazorla, Ernesto, Hernández-Córdova, Gustavo","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 250-254","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200014&lang=pt" 
"S1726-46342012000200015-per","Aspergilosis pulmonar secundaria a neutropenia inducida por metimazol: reporte de un caso","Pinto, Miguel E, Banda, Claudia, Seas, Carlos","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 255-258","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200015&lang=pt" 
"S1726-46342012000200017-per","Vacunas y autoinmunidad: una rara asociación bajo debate","Batista-Duharte, Alexander","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 265-271","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200017&lang=pt" 
"S1726-46342012000200010-per","Una década de altas médicas no efectivizadas en un hospital de Lima, Perú","García, Félix, Cieza, Javier, Flores, Jorge, Huapaya, Julio, Obregón, Ana","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 228-231","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200010&lang=pt" 
"S1726-46342012000200011-per","Tuberculosis como enfermedad ocupacional","Mendoza-Ticona, Alberto","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 232-236","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200011&lang=pt" 
"S1726-46342012000200013-per","Impacto de la altura en el embarazo y en el producto de la gestación","Gonzales, Gustavo F","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 242-249","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200013&lang=pt" 
"S1726-46342012000200018-per","Acciones de prevención y control de la legionelosis: un reto para la salud pública española","Gea-Izquierdo, Enrique, Mezones-Holguín, Edward, Haro-García, Luis","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 272-276","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200018&lang=pt" 
"S1726-46342012000200019-per","Retos de la salud ocupacional y de la protección ambiental a inicios del siglo XXI en el Perú","Ospina, Estela, Bautista, Ronald, Vigil, Liliana, Diaz, Juan","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 277-279","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200019&lang=pt" 
"S1726-46342012000200002-per","Tuberculosis en personal y estudiantes de salud: un tema pendiente para los servicios de salud y la universidad","Cabezas, César","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 179-180","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200002&lang=pt" 
"S1726-46342012000200001-per","Salud Ocupacional: Historia Y Retos Del Futuro","Gastañaga, María del Carmen","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 177-178","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200001&lang=pt" 
"S1726-46342012000200006-per","Frecuencia y susceptibilidad antibiótica del staphylococcus aureus proveniente de hisopados asales en una población urbano marginal de Lima, Perú","Carmona, Edgar, Sandoval, Seyzo, García, Coralith","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 206-211","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200006&lang=pt" 
"S1726-46342012000200005-per","Variaciones en las actividades enzimáticas del veneno de la serpiente bothrops atrox &quot;jergón&quot;, de tres zonas geográficas del Perú","Ortiz, César, Lazo, Fanny, Bellido, Candy, Gonzales, Edgar, Yarlequé, Armando","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 198-205","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200005&lang=pt" 
"S1726-46342012000200004-per","Valoración de la aptitud física en niños y adolescentes: construcción de cartas percentílicas para la región central del Perú","Bustamante, Alcibíades, Beunen, Gastón, Maia, José","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 188-197","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200004&lang=pt" 
"S1726-46342012000200021-per","Historia del instituto nacional de salud ocupacional del Perú","Cossio-Brazzan, Juan M","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 285-286","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200021&lang=pt" 
"S1726-46342012000200009-per","Detección de tuberculosis en el servicio de emergencia: utilidad de la segunda baciloscopía realizada el mismo día","Tello, Gina, Ugarte, Martha, Agapito, Juan, Soto, Alonso","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 223-227","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200009&lang=pt" 
"S1726-46342012000200008-per","Conocimientos de los alumnos de últimos años de medicina y residentes sobre indicadores de riesgo epidemiológico utilizados en ensayos clínicos","Zea-Vera, Alonso, Liendo-Caro, Carola, Luna-Carrillo, Lucía, Prevost-Ruiz, Yolanda, Castañeda-Guarderas, Ana, Málaga, Germán","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 218-222","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200008&lang=pt" 
"S1726-46342012000200003-per","Alteraciones hematológicas en trabajadores expuestos ocupacionalmente a mezcla de benceno- tolueno-xileno (btx) en una fábrica de pinturas","Haro-García, Luis, Vélez-Zamora, Nadia, Aguilar-Madrid, Guadalupe, Guerrero-Rivera, Susana, Sánchez-Escalante, Vanessa, R. Muñoz, Sergio, Mezones-Holguín, Edward, Juárez-Pérez, Cuauhtémoc","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 181-187","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200003&lang=pt" 
"S0211-57352012000200011-esp","La loca del barrio","Losch Blank, Maia","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 365-366","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200011&lang=pt" 
"S0121-54692012000100009-col","Visibilización de la Producción Académico-investigativa en Psicología y &quot;Glocalización&quot; de las Capacidades Productivas de la Psicología en Colombia","CALDERÓN-PRADA, SERGIO, CUARTAS-ARIAS, JORGE MAURICIO","Revista Colombiana de Psicología; 21(1); 125-149","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100009&lang=pt" 
"S0121-54692012000100008-col","La Merecida Visibilidad de las Revistas Latinoamericanas de Psicología","CARDOSO SAMPAIO, MARIA IMACULADA, ZOQUI PAULOVIC SABADINI, APARECIDA ANGÉLICA","Revista Colombiana de Psicología; 21(1); 111-123","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100008&lang=pt" 
"S0121-54692012000100003-col","La Revisión por Pares y la Selección de Artículos para Publicación","MARTÍNEZ, GLADYS S","Revista Colombiana de Psicología; 21(1); 27-35","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100003&lang=pt" 
"S0121-54692012000100002-col","Writing and Publishing as Conversation","LEINHARDT, GAEA","Revista Colombiana de Psicología; 21(1); 15-25","Revista Colombiana de Psicología","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100002&lang=pt" 
"S0121-54692012000100001-col","Revistas de Psicología en América Latina: Dificultades y Oportunidades","GUTIÉRREZ, GERMÁN","Revista Colombiana de Psicología; 21(1); 7-12","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100001&lang=pt" 
"S0121-54692012000100007-col","Entre Internacionalización y Consolidación de Comunidades Académicas Locales. Sobre la Revista Latinoamericana de Psicología: Considerations regarding the Revista Latinoamericana de Psicología","GÓMEZ MORALES, YURI JACK, JARABA-BARRIOS, BRUNO, GUERRERO-CASTRO, JAVIER, LÓPEZ-LÓPEZ, WILSON","Revista Colombiana de Psicología; 21(1); 97-110","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100007&lang=pt" 
"S0121-54692012000100006-col","Claves de la Publicación Psicológica en Colombia: Ritmo, Grupos y Modalidades de Producción en la Práctica Investigativa","PUCHE-NAVARRO, REBECA, OSSA, JULIO CÉSAR","Revista Colombiana de Psicología; 21(1); 79-95","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100006&lang=pt" 
"S0121-54692012000100005-col","Qualidade de Conteúdo, o Grande Desafio para os Editores Científicos","TRZESNIAK, PIOTR, PLATA-CAVIEDES, TATIANA, CÓRDOBA-SALGADO, OSCAR ALEJANDRO","Revista Colombiana de Psicología; 21(1); 57-78","Revista Colombiana de Psicología","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100005&lang=pt" 
"S0121-54692012000100004-col","Dictámenes en Revistas Científicas: lo que Necesitan los Editores y Autores, lo que Hacen los Evaluadores","PLATA-CAVIEDES, TATIANA, CÓRDOBA-SALGADO, OSCAR ALEJANDRO, TRZESNIAK, PIOTR","Revista Colombiana de Psicología; 21(1); 37-55","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100004&lang=pt" 
"S0304-28472012000100025-col","Efecto del Contenido de Humedad sobre Algunas Propiedades Mecánicas de la Semilla de Vitabosa (Mucuna deeringiana)","Rojas Barahona, Ángel Francisco, Aristizábal Torres, Iván Darío","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6553-6566","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100025&lang=pt" 
"S0304-28472012000100024-col","Efecto de la Inclusión de un Extracto de Cereza (Prunus avium L.) sobre el Estado de Oxidación y las Características Fisicoquímicas y Sensoriales de Salchichas Tipo Frankfurt","Isaza Maya, Yeni Lorena, Restrepo Molina, Diego Alonso, López Vargas, Jairo Humberto","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6541-6552","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100024&lang=pt" 
"S0304-28472012000100023-col","Selección de un Estabilizante y Comportamiento durante Almacenamiento en Refrigeración de un Complemento Nutricional Líquido","Vanegas Pérez, Luz Stella, Restrepo Molina, Diego Alonso, López Vargas, Jairo Humberto","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6531-6540","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100023&lang=pt" 
"S0304-28472012000100022-col","Secagem do Polissacarídeo l-Carragena Usando um Leito de Jorro Fluidizado Bidimensional","Ciro Velásquez, Héctor José, Menegalli, Florencia Cecilia, Lopes Da Cunha, Rosiane","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6519-6529","Revista Facultad Nacional de Agronomía, Medellín","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100022&lang=pt" 
"S0304-28472012000100021-col","Deshidratación Osmótica de Láminas de Mango cv. Tommy Atkins Aplicando Metodología de Superficies de Respuesta","Zapata Montoya, José Edgar, Montoya Rodas, Alejandro","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6507-6518","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100021&lang=pt" 
"S0304-28472012000100020-col","Empleo de un Recubrimiento Formulado con Propóleos para el Manejo Poscosecha de Frutos de Papaya (Carica papaya L. cv. Hawaiana)","Barrera Bello, Elizabeth, Gil Loaiza, Marcela, García Pajón, Carlos Mario, Durango Restrepo, Diego Luis, Gil González, Jesús Humberto","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6497-6506","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100020&lang=pt" 
"S0120-02832012000100001-col","CARACTERIZACIÓN PETROGRÁFICA, GEOQUÍMICA Y EDAD DE LA SIENITA NEFELÍNICA DE SAN JOSÉ DEL GUAVIARE","Arango Mejía, María Isabel, Zapata García, Gilberto, Martens, Uwe","Boletin de Geología; 34(1); 15-26","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100001&lang=pt" 
