"S0104-12902011000400007-scl","Formação dos profissionais de saúde para o SUS: significado e cuidado","Batista, Karina Barros Calife, Gonçalves, Otília Simões Janeiro","Saúde e Sociedade; 20(4); 884-899","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400007&lang=pt" 
"S1413-81232011001300013-scl","Saúde mental na atenção primária à saúde: estudo avaliativo em uma grande cidade brasileira","Campos, Rosana Onocko, Gama, Carlos Alberto, Ferrer, Ana Luiza, Santos, Deivisson Vianna Dantas dos, Stefanello, Sabrina, Trapé, Tiago Lavras, Porto, Karime","Ciência &amp; Saúde Coletiva; 16(12); 4643-4652","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300013&lang=pt" 
"S1413-81232011001300015-scl","Reflexões sobre políticas de drogas no Brasil","Andrade, Tarcísio Matos de","Ciência &amp; Saúde Coletiva; 16(12); 4665-4674","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300015&lang=pt" 
"S1413-81232011001300016-scl","O papel da psiquiatria na reforma psiquiátrica","Serpa Junior, Octavio Domont de","Ciência &amp; Saúde Coletiva; 16(12); 4675-4684","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300016&lang=pt" 
"S1413-81232011001300017-scl","O trabalho em serviços de saúde mental no contexto da reforma psiquiátrica: um desafio técnico, político e ético","Sampaio, José Jackson Coelho, Guimarães, José Maria Ximenes, Carneiro, Cleide, Garcia Filho, Carlos","Ciência &amp; Saúde Coletiva; 16(12); 4685-4694","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300017&lang=pt" 
"S1413-81232011001300010-scl","Panorama internacional de la reforma psiquiátrica","Desviat, Manuel","Ciência &amp; Saúde Coletiva; 16(12); 4615-4622","Ciência &amp; Saúde Coletiva","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300010&lang=pt" 
"S1413-81232011001300021-scl","Saúde pública, redução de danos e a prevenção das infecções de transmissão sexual e sanguínea: revisão dos principais conceitos e sua implementação no Brasil","Elias, Lucília de Almeida, Bastos, Francisco Inacio","Ciência &amp; Saúde Coletiva; 16(12); 4721-4730","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300021&lang=pt" 
"S1413-81232011001300022-scl","Do the health benefits of cycling outweigh the risks?","Hartog, Jeroen Johan de, Boogaard, Hanna, Nijland, Hans, Hoek, Gerard","Ciência &amp; Saúde Coletiva; 16(12); 4731-4744","Ciência &amp; Saúde Coletiva","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300022&lang=pt" 
"S1413-81232011001300025-scl","A complexidade da obesidade e o processo de viver após a cirurgia bariátrica: uma questão de saúde coletiva","Marcelino, Liete Francisco, Patrício, Zuleica Maria","Ciência &amp; Saúde Coletiva; 16(12); 4767-4776","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300025&lang=pt" 
"S1413-81232011001300027-scl","Reprocessamento de produtos médicos: da política regulatória à prática operacional","Costa, Eliana Auxiliadora Magalhães, Costa, Ediná Alves","Ciência &amp; Saúde Coletiva; 16(12); 4787-4794","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300027&lang=pt" 
"S1413-81232011001300029-scl","O apoio institucional como método de análise-intervenção no âmbito das políticas públicas de saúde: a experiência em um hospital geral","Barros, Maria Elizabeth Barros de, Guedes, Carla Ribeiro, Roza, Monica Maria Raphael","Ciência &amp; Saúde Coletiva; 16(12); 4803-4814","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300029&lang=pt" 
"S1413-81232011001300030-scl","Aplicabilidad del análisis por causa múltiple de muerte para el cáncer cervicouterino: la experiencia en México","Bustamante-Montes, Lilia Patricia, Alvarez-Solorza, Isabel, Valencia, Ángel Domínguez, Hernández-Valero, María A., Tlachino, Gloria Toxqui, Huidobro, Lino González","Ciência &amp; Saúde Coletiva; 16(12); 4815-4822","Ciência &amp; Saúde Coletiva","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300030&lang=pt" 
"S1413-81232011001300031-scl","Aceitabilidade de doadores de sangue no hemocentro público do Recife, Brasil","Araújo, Fábia Michelle Rodrigues de, Feliciano, Katia Virginia de Oliveira, Mendes, Marina Ferreira de Medeiros","Ciência &amp; Saúde Coletiva; 16(12); 4823-4832","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300031&lang=pt" 
"S1413-81232011001300034-scl","Avaliação da assistência pré-natal na perspectiva de puérperas e profissionais de saúde","Líbera, Beatriz Della, Saunders, Cláudia, Santos, Marta Maria Antonieta de Souza, Rimes, Karina Abibi, Brito, Fernanda Ribeiro dos Santos de Sá, Baião, Mirian Ribeiro","Ciência &amp; Saúde Coletiva; 16(12); 4855-4864","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300034&lang=pt" 
"S1413-81232011001300035-scl","A invisibilidade da sorodiscordância na atenção às pessoas com HIV/AIDS","Silva, Angela Machado da, Camargo Junior, Kenneth Rochel de","Ciência &amp; Saúde Coletiva; 16(12); 4865-4874","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300035&lang=pt" 
"S1413-81232011001300036-scl","Perfil epidemiológico do atendimento antirrábico humano em Porto Alegre, RS, Brasil","Veloso, Rejane Dias, Aerts, Denise Rangel Ganzo de Castro, Fetzer, Liane Oliveira, Anjos, Celso Bittencourt dos, Sangiovanni, José Carlos","Ciência &amp; Saúde Coletiva; 16(12); 4875-4884","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300036&lang=pt" 
"S0104-12902011000400003-scl","Atenção primária no sistema de saúde: debates paulistas numa perspectiva histórica","Mota, André, Schraiber, Lilia Blima","Saúde e Sociedade; 20(4); 837-852","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400003&lang=pt" 
"S0104-12902011000400004-scl","Um olhar histórico sobre a questão regional e os serviços básicos de saúde no Estado de São Paulo","Mello, Guilherme Arantes, Ibañez, Nelson, Viana, Ana Luiza d&#039;Ávila","Saúde e Sociedade; 20(4); 853-866","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400004&lang=pt" 
"S0104-12902011000400008-scl","Perfil dos trabalhadores da atenção básica em saúde no município de São Paulo: região norte e central da cidade","Marsiglia, Regina Maria Giffoni","Saúde e Sociedade; 20(4); 900-911","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400008&lang=pt" 
"S0104-12902011000400009-scl","Perfil de indicadores da atenção primária à saúde no estado de São Paulo: retrospectiva de 10 anos","Sala, Arnaldo, Mendes, José Dínio Vaz","Saúde e Sociedade; 20(4); 912-926","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400009&lang=pt" 
"S0104-12902011000400010-scl","Avaliação da atenção básica em saúde: uma nova proposta","Tanaka, Oswaldo Yoshimi","Saúde e Sociedade; 20(4); 927-934","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400010&lang=pt" 
"S0104-12902011000400011-scl","QualiAB: desenvolvimento e validação de uma metodologia de avaliação de serviços de atenção básica","Castanheira, Elen Rose Lodeiro, Nemes, Maria Ines Battistella, Almeida, Margareth Aparecida Santini de, Puttini, Rodolfo Franco, Soares, Ivete Dalben, Patrício, Karina Pavão, Nasser, Mariana Arantes, Machado, Dinair Ferreira, Caldas Junior, Antonio Luís, Vasconcelos, Roseli d&#039;Avilla, Pissato, Stella Brasil, Carrapato, Josiane Fernandes Lozigia, Bizelli, Sabrina Sinabucro Kanesiro","Saúde e Sociedade; 20(4); 935-947","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400011&lang=pt" 
"S0104-12902011000400012-scl","Integralidade e Atenção Primária à Saúde: avaliação na perspectiva dos usuários de unidades de saúde do município de São Paulo","Sala, Arnaldo, Luppi, Carla Gianna, Simões, Oziris, Marsiglia, Regina Giffoni","Saúde e Sociedade; 20(4); 948-960","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400012&lang=pt" 
"S0104-12902011000400013-scl","Apoio Matricial e Atenção Primária em Saúde","Cunha, Gustavo Tenório, Campos, Gastão Wagner de Sousa","Saúde e Sociedade; 20(4); 961-970","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400013&lang=pt" 
"S0104-12902011000400014-scl","Relação entre Público e Privado na Atenção Primária à Saúde: considerações preliminares","Carneiro Junior, Nivaldo, Nascimento, Vânia Barbosa do, Costa, Ieda Maria Cabral","Saúde e Sociedade; 20(4); 971-979","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400014&lang=pt" 
"S0104-12902011000400015-scl","Cooperação e apoio técnico entre estado e municípios: a experiência do programa articuladores da atenção básica em São Paulo","Andrade, Marta Campagnoni, Castanheira, Elen Rose Lodeiro","Saúde e Sociedade; 20(4); 980-990","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400015&lang=pt" 
"S0104-12902011000400016-scl","Estratégia de Saúde da Família em Florianópolis: integração, coordenação e posição na rede assistencial","Sisson, Maristela Chitto, Andrade, Selma Regina de, Giovanella, Lígia, Almeida, Patty Fidelis de, Fausto, Márcia Cristina Rodrigues, Souza, Cleusa Rosalia Pacheco de","Saúde e Sociedade; 20(4); 991-1004","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400016&lang=pt" 
"S0104-12902011000400019-scl","Saúde bucal em Diadema: da odontologia escolar à estratégia saúde da família","Cunha, Bernadete Aparecida Tavares, Marques, Regina Auxiliadora de Amorim, Castro, Claudio Gastão Junqueira de, Narvai, Paulo Capel","Saúde e Sociedade; 20(4); 1033-1045","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400019&lang=pt" 
"S1413-81232011001300020-scl","Instrumentos para avaliação do tabagismo: uma revisão sistemática","Santos, Juliana Dias Pereira dos, Silveira, Daniel Vitório, Oliveira, Daniele Falci de, Caiaffa, Waleska Teixeira","Ciência &amp; Saúde Coletiva; 16(12); 4707-4720","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300020&lang=pt" 
"S1413-81232011001300014-scl","Saúde mental e os planos de saúde no Brasil","Silva, Paulo Fagundes da, Costa, Nilson do Rosário","Ciência &amp; Saúde Coletiva; 16(12); 4653-4664","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300014&lang=pt" 
"S0104-12902011000400018-scl","Educação no trabalho na atenção primária à saúde: interfaces entre a educação permanente em saúde e o agir comunicativo","Silva, Jaqueline Alcântara Marcelino da, Peduzzi, Marina","Saúde e Sociedade; 20(4); 1018-1032","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400018&lang=pt" 
"S0104-12902011000400017-scl","Contribuições do Movimento Construcionista Social para o Trabalho com Famílias na Estratégia Saúde da Família","Guanaes, Carla, Mattos, Augustus Tadeu Relo de","Saúde e Sociedade; 20(4); 1005-1017","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400017&lang=pt" 
"S0034-75902011000600011-scl","Análise crítica do discurso","","Revista de Administração de Empresas; 51(6); 613-613","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600011&lang=pt" 
"S0034-75902011000600010-scl","Pós-colonialismo","","Revista de Administração de Empresas; 51(6); 612-612","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600010&lang=pt" 
"S0034-75902011000600001-scl","Editorial","Diniz, Eduardo","Revista de Administração de Empresas; 51(6); 517-517","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600001&lang=pt" 
"S0034-75902011000600004-scl","Percepção sobre atributos de sustentabilidade em um varejo supermercadista","Cunha, Christiano França da, Spers, Eduardo Eugênio, Zylbersztajn, Decio","Revista de Administração de Empresas; 51(6); 542-552","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600004&lang=pt" 
"S0034-75902011000600008-scl","O estrangeiro e o novo grupo","Freitas, Maria Ester de, Dantas, Marcelo","Revista de Administração de Empresas; 51(6); 601-608","Revista de Administração de Empresas","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600008&lang=pt" 
"S0034-75902011000600009-scl","Gestão e patologia contemporânea","Manzini-Covre, Maria Lourdes","Revista de Administração de Empresas; 51(6); 610-611","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600009&lang=pt" 
"S0034-75902011000600002-scl","A pesquisa na área do varejo: reflexões e provocações","Brito, Eliane Pereira Zamith, Vieira, Valter Afonso, Espartel, Lélis Balestrin","Revista de Administração de Empresas; 51(6); 522-527","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600002&lang=pt" 
"S0034-75902011000600003-scl","O aroma ambiental e sua relação com as avaliações e intenções do consumidor no varejo","Costa, André Luiz Carvalho Nunes da, Farias, Salomão Alencar de","Revista de Administração de Empresas; 51(6); 528-541","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600003&lang=pt" 
"S0034-75902011000600005-scl","Avaliação de justiça e intenção de turnover em equipes de vendas: teste de um modelo teórico","Lopes, Evandro Luiz, Moretti, Sérgio Luiz do Amaral, Alejandro, Thomas Brashear","Revista de Administração de Empresas; 51(6); 553-567","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600005&lang=pt" 
"S0034-75902011000600006-scl","Inovatividade, envolvimento, atitude e experiência na adoção da compra on-line","Caro, Abrão, Mazzon, José Afonso, Caemmerer, Barbara, Wessling, Matthias","Revista de Administração de Empresas; 51(6); 568-584","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600006&lang=pt" 
"S0034-75902011000600007-scl","Conveniência de serviços: apropriação e adaptação de uma escala de medida","Añaña, Edar da Silva, Silva, Renata Gonçalves Santos, Nique, Walter Meucci","Revista de Administração de Empresas; 51(6); 585-600","Revista de Administração de Empresas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902011000600007&lang=pt" 
"S0864-03002011000400001-cub","Evaluación nutricional de niños de 6 a 11 años de Ciudad de La Habana","Fariñas Rodríguez, Lucía, Vázquez Sánchez, Vanessa, Martínez Fuentes, Antonio, Fuentes Smith, Lisset Evelyn, Toledo Borrero, Emilia, Martiato Hendrich, Maite","Revista Cubana de Investigaciones Biomédicas; 30(4); 439-449","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400001&lang=pt" 
"S0864-03002011000400002-cub","Evaluación hemodinámica de la circulación extracorpórea en normotermia e hipotermia en cirugía cardiovascular pediátrica","Marcano Sanz, Luis, Naranjo Ugalde, Alfredo, Serrano Ricardo, Giselle, Romero Suárez, Antolín","Revista Cubana de Investigaciones Biomédicas; 30(4); 450-456","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400002&lang=pt" 
"S0864-03002011000400003-cub","Algunos factores neonatales relacionados con la depresión al nacer. Hospital Ginecoobstétrico de Guanabacoa, 2009","Montero Vizcaíno, Yuleimis, Alonso Uría, Rosa María, Vizcaíno Alonso, María del Carmen","Revista Cubana de Investigaciones Biomédicas; 30(4); 457-463","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400003&lang=pt" 
"S0864-03002011000400004-cub","Prevalencia del síndrome metabólico en pacientes dislipidémicos con antecedentes de revascularización miocárdica","Cabalé Vilariño, María Beatriz, Sánchez Serrano, Daniel, Gutiérrez Carbonell, Elain, Flores Sánchez, Amaury","Revista Cubana de Investigaciones Biomédicas; 30(4); 464-470","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400004&lang=pt" 
"S0864-03002011000400005-cub","Depresión neonatal en el neonato a término relacionada con factores maternos. Hospital Ginecoobstétrico de Guanabacoa, 2009","Montero Vizcaíno, Yuleimis, Balleste López, Irka, Vizcaíno Alonso, Maria del Carmen, Izquierdo Santa Cruz, Mileydys","Revista Cubana de Investigaciones Biomédicas; 30(4); 471-477","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400005&lang=pt" 
"S0864-03002011000400006-cub","Caracterización del glaucoma crónico simple en un área de salud del Municipio Especial Isla de la Juventud","Carnero Álvarez, Yorian Esteban, Triana Casado, Idalia, Carballo Wong, Ceilan, Medina Perdomo, Juan Carlos","Revista Cubana de Investigaciones Biomédicas; 30(4); 478-486","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400006&lang=pt" 
"S0864-03002011000400007-cub","Nuevos modelos conceptual y matemático para el contorno de la onda de volumen de pulso arterial","Pascau Simón, Alexander, Fernández-Britto Rodríguez, José E, Allen, John","Revista Cubana de Investigaciones Biomédicas; 30(4); 487-500","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400007&lang=pt" 
"S0864-03002011000400008-cub","Factores genéticos, inmunológicos y ambientales asociados a la autoinmunidad","Torres Odio, Sylvia, Martínez Córdova, Zuzet","Revista Cubana de Investigaciones Biomédicas; 30(4); 501-510","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400008&lang=pt" 
"S0864-03002011000400009-cub","Plantas y hongos comestibles en la modulación del sistema inmune","Llauradó Maury, Gabriel, Morris Quevedo, Humberto Joaquín, Albear, Jane Marcos, Castán Chibás, Leniher, Bermúdez Savón, Rosa Catalina","Revista Cubana de Investigaciones Biomédicas; 30(4); 511-527","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400009&lang=pt" 
"S0864-03002011000400010-cub","Aspectos bioéticos en los tratamientos con células madre","Cepero Noriega, Fara Luisa, Hernández Hernández, Bárbara Aymeé, Carrero Texidor, Yenisset","Revista Cubana de Investigaciones Biomédicas; 30(4); 528-536","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400010&lang=pt" 
"S0864-03002011000400011-cub","Complicaciones del cardioversor-desfibrilador automático implantable: Tormenta eléctrica arrítmica","Dorantes Sánchez, Margarita","Revista Cubana de Investigaciones Biomédicas; 30(4); 537-554","Revista Cubana de Investigaciones Biomédicas","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002011000400011&lang=pt" 
"S1413-81232011001300008-scl","O autor responde","","Ciência &amp; Saúde Coletiva; 16(12); 4600-4602","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300008&lang=pt" 
"S1413-81232011001300007-scl","É preciso repensar o horizonte da reforma psiquiátrica","Bezerra Júnior, Benilton","Ciência &amp; Saúde Coletiva; 16(12); 4598-4600","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300007&lang=pt" 
"S1413-81232011001300003-scl","Debatendo alguns desafios da Reforma Psiquiátrica brasileira","Lobosque, Ana Marta","Ciência &amp; Saúde Coletiva; 16(12); 4590-4592","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300003&lang=pt" 
"S1413-81232011001300001-scl","Atores, política pública e instituições da reforma psiquiátrica brasileira","Costa, Nilson do Rosário, Alves, Domingos Sávio Nascimento, Silva, Paulo Roberto Fagundes da, Saraceno, Benedetto","Ciência &amp; Saúde Coletiva; 16(12); 4576-4576","Ciência &amp; Saúde Coletiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300001&lang=pt" 
"S1413-81232011001300005-scl","Um balanço da reforma psiquiátrica brasileira","Mari, Jair de Jesus","Ciência &amp; Saúde Coletiva; 16(12); 4593-4596","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300005&lang=pt" 
"S1413-81232011001300004-scl","Extender la reforma por medio de nuevas acciones de salud mental","Levav, Itzhak","Ciência &amp; Saúde Coletiva; 16(12); 4592-4593","Ciência &amp; Saúde Coletiva","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300004&lang=pt" 
"S1413-81232011001300006-scl","A importância da formalização da política para a garantia do direito à saúde do doente mental","Dallari, Sueli Gandolfi","Ciência &amp; Saúde Coletiva; 16(12); 4596-4598","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300006&lang=pt" 
