"S1413-86702008000200002-scl","Congenital toxoplasmosis: public health policy concerns","Vanni, Tazio, Ribeiro, Rodrigo A., Varella, Ivana S., Polanczyk, Carisi A., Fonseca, Benedito A. L., Kuchenbecker, Ricardo","Brazilian Journal of Infectious Diseases; 12(2); 107-107","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000200002&lang=pt" 
"S0104-42302008000200003-scl","Intussuscepção intestinal no adulto, uma condição rara: Como diagnosticar e tratar?","Leme, Pedro Luiz Squilacci, Miranda, Daniel de, Carvalho, Darcy Lisbão Moreira de","Revista da Associação Médica Brasileira; 54(2); 97-97","Revista da Associação Médica Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000200003&lang=pt" 
"S1020-49892008000400001-spa","Cost-effectiveness analysis of routine rotavirus vaccination in Brazil","Soárez, Patrícia Coelho de, Valentim, Joice, Sartori, Ana Marli Christovam, Novaes, Hillegonda Maria Dutilh","Revista Panamericana de Salud Pública; 23(4); 221-230","Revista Panamericana de Salud Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000400001&lang=pt" 
"S1020-49892008000400012-spa","Entorno epidemiológico y respuesta a la epidemia del VIH en Bolivia","Protto, Juan Pablo, Schaaf, Diddie, Fidel Suárez, Marco, Darras, Christian","Revista Panamericana de Salud Pública; 23(4); 288-294","Revista Panamericana de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000400012&lang=pt" 
"S0004-27302008000300014-scl","Prevalência de doenças tireoidianas auto-imunes em pacientes com lúpus eritematoso sistêmico","Viggiano, Daniela P. P. Oliveira, Silva, Nilzio Antônio da, Montandon, Ana C. O. e Silva, Barbosa, Vitalina de Souza","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(3); 531-536","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000300014&lang=pt" 
"S1413-70542008000200028-scl","Avaliação técnica e econômica da produção de duas cultivares de alface tipo crespa em função de lâminas de irrigação","Vilas Boas, Renato Carvalho, Carvalho, Jacinto de Assunção, Gomes, Luiz Antônio Augusto, Sousa, Alexandre Marcio Gomes de, Rodrigues, Reginaldo Coelho, Souza, Kleber Junio de","Ciência e Agrotecnologia; 32(2); 525-531","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000200028&lang=pt" 
"S1519-566X2008000200004-scl","Behavioral and olfactory antennal responses of Solenopsis geminata (Fabricius) (Hymenoptera: Formicidae) workers to their dufour gland secretion","Brindis, Yolanda, Lachaud, Jean P., Gómez Y Gómez, Benigno, Rojas, Julio C., Malo, Edi A., Cruz-López, Leopoldo","Neotropical Entomology; 37(2); 131-136","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000200004&lang=pt" 
"S1519-566X2008000200013-scl","Uso de silício como indutor de resistência em batata a Myzus persicae (Sulzer) (Hemiptera: Aphididae)","Gomes, Flávia B., Moraes, Jair C., Santos, Custódio D. dos, Antunes, Cristiana S.","Neotropical Entomology; 37(2); 185-190","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000200013&lang=pt" 
"S0104-42302008000200025-scl","Management of advanced prostate cancer","Kaliks, Rafael A., Del Giglio, Auro","Revista da Associação Médica Brasileira; 54(2); 178-182","Revista da Associação Médica Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000200025&lang=pt" 
"S0104-42302008000200010-scl","Impacto da obesidade na capacidade funcional de mulheres","Orsi, Juliana Vianna de Andrade, Nahas, Fabio Xerfan, Gomes, Heitor Carvalho, Andrade, Carlos Henrique Vianna de, Veiga, Daniela Francescato, Novo, Neil Ferreira, Ferreira, Lydia Masako","Revista da Associação Médica Brasileira; 54(2); 106-109","Revista da Associação Médica Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000200010&lang=pt" 
"S1020-49892008000400007-spa","Homicídios, desenvolvimento socioeconômico e violência policial no Município de São Paulo, Brasil","Peres, Maria Fernanda Tourinho, Cardia, Nancy, Mesquita Neto, Paulo de, Santos, Patrícia Carla dos, Adorno, Sérgio","Revista Panamericana de Salud Pública; 23(4); 268-276","Revista Panamericana de Salud Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000400007&lang=pt" 
"S1020-49892008000400008-spa","Outbreak of rotavirus gastroenteritis with high mortality, Nicaragua, 2005","Amador, Juan José, Vicari, Andrea, Turcios-Ruiz, Reina M., Melendez D., Ana Christian, Malek, Mark, Michel, Fabiana, Aldighieri, Sylvain, Kerin, Tara, Bresee, Joseph S., Glass, Roger I., Andrus, Jon K.","Revista Panamericana de Salud Pública; 23(4); 277-284","Revista Panamericana de Salud Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000400008&lang=pt" 
"S0365-05962008000200009-scl","Vasculite cutânea crioglobulinêmica induzida por infecção crônica pelo vírus da hepatite C","Paixão, Maurício Pedreira, Miot, Hélio Amante","Anais Brasileiros de Dermatologia; 83(2); 151-155","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200009&lang=pt" 
"S0365-05962008000200001-scl","Desafios aos serviços credenciados de Dermatologia e as implicações na produção científica","Gontijo, Bernardo, Marques, Silvio Alencar, Vale, Everton Siviero do","Anais Brasileiros de Dermatologia; 83(2); 105-105","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200001&lang=pt" 
"S0365-05962008000200008-scl","Síndrome do gucagonoma em cão","Farias, Marconi Rodrigues de, Cavalcante, Carolina Zaghi, Werner, Juliana, Rocha, Noeme Souza, Sillas, Thiago","Anais Brasileiros de Dermatologia; 83(2); 146-150","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200008&lang=pt" 
"S0365-05962008000200007-scl","Colagenoma eruptivo em paciente HIV+","Coimbra, Daniel Dal&#039;Asta, Lustosa, Joana Cabral, Sarmento, Denise de Freitas, Lima, Ricardo Barbosa, Pessoa, Osvania M. N.","Anais Brasileiros de Dermatologia; 83(2); 141-145","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200007&lang=pt" 
"S0365-05962008000200006-scl","Relação entre de prurido e qualidade de vida de pacientes em hemodiálise","Welter, Elisângela de Quevedo, Bonfá, Rafael, Petry, Vanessa, Moreira, Luciana Lopes, Weber, Magda Blessmann","Anais Brasileiros de Dermatologia; 83(2); 137-140","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200006&lang=pt" 
"S0365-05962008000200005-scl","Influência do tempo e do meio de transporte no isolamento de fungos patogênicos de biópsias de pele","Taglialegna, Rafael, Lopes, Cilene Maria Pelúcio, Fiorini, João Evangelista, Maffei, Cláudia Maria Leite","Anais Brasileiros de Dermatologia; 83(2); 131-135","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200005&lang=pt" 
"S0365-05962008000200004-scl","Capilaroscopia periungueal e gravidade da esclerodermia sistêmica","Skare, Thelma L., Esmanhotto, Letícia, Casnoch, Claudine, Silva, Marilia Barreto","Anais Brasileiros de Dermatologia; 83(2); 125-129","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200004&lang=pt" 
"S0365-05962008000200014-scl","Dermatologia comparativa: fibroqueratoma digital adquirido","Cunha Filho, Roberto Rheingantz da","Anais Brasileiros de Dermatologia; 83(2); 173-174","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200014&lang=pt" 
"S0365-05962008000200013-scl","Caso para diagnóstico","Albuquerque, Vanessa Martins Ferreira de, Cardoso, Alberto Eduardo Cox, Melo, Maria José de Medeiros Barros, Souza, Paulo Fernando de","Anais Brasileiros de Dermatologia; 83(2); 170-172","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200013&lang=pt" 
"S0365-05962008000200011-scl","Dermatite artefacta simulando vasculite necrotizante","Araújo, Júnia Maria Fernandes, Oliveira, Ana Rosa Magaldi Ribeiro de, Carvalho, Maria Teresa Feital de, Gamonal, Shirley, Gamonal, Aloísio","Anais Brasileiros de Dermatologia; 83(2); 163-165","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200011&lang=pt" 
"S0365-05962008000200012-scl","Você conhece esta síndrome?","Café, Maria Ester Massara, Rodrigues, Rogério da Costa, Viggiano, Agnella Massara","Anais Brasileiros de Dermatologia; 83(2); 167-169","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200012&lang=pt" 
"S0365-05962008000200016-scl","Atividades de substâncias isoladas de liquens sobre formas promastigotas de Leishmania (L.) amazonensis e Leishmania (V.) brasiliensis","Urdaplleta, Ada Amélia Ayala","Anais Brasileiros de Dermatologia; 83(2); 177-179","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200016&lang=pt" 
"S0365-05962008000200015-scl","Correspondência","Velho, Paulo Eduardo Neves Ferreira","Anais Brasileiros de Dermatologia; 83(2); 175-175","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200015&lang=pt" 
"S0104-06182008000100004-scl","A dimensão institucional do processo de crescimento econômico: inovações e mudanças institucionais, rotinas e tecnologia social","Conceição, Octavio A. C.","Economia e Sociedade; 17(1); 85-105","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100004&lang=pt" 
"S1678-77572008000200002-scl","Development of Candida-associated denture stomatitis: new insights","Pereira-Cenci, Tatiana, Del Bel Cury, Altair Antoninha, Crielaard, Wim, Ten Cate, Jacob Martien","Journal of Applied Oral Science; 16(2); 86-94","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000200002&lang=pt" 
"S0365-05962008000200002-scl","Disidrose: aspectos clínicos, etiopatogênicos e terapêuticos","Minelli, Lorivaldo, Florião, Ryssia Alvarez, Sternick, Manoel, Gon, Airton dos Santos","Anais Brasileiros de Dermatologia; 83(2); 107-115","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200002&lang=pt" 
"S0365-05962008000200003-scl","Avaliação dos métodos diagnósticos para onicomicose","Zanardi, Daniela, Nunes, Daniel Holthausen, Pacheco, Alexsandra da Silva, Tubone, Mariana Quirino, Souza Filho, Jorge José de","Anais Brasileiros de Dermatologia; 83(2); 119-124","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200003&lang=pt" 
"S0365-05962008000200010-scl","Significado do epitope spreading na patogênese dos pênfigos vulgar e foliáceo","Aoki, Valéria, Lago, Fernanda, Yamazaki, Márcia Harumi, Santi, Cláudia Giuli, Maruta, Celina Wakisaka","Anais Brasileiros de Dermatologia; 83(2); 157-161","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000200010&lang=pt" 
"S0104-06182008000100001-scl","Os três estados da moeda: abordagem interdisciplinar do fato monetário","Théret, Bruno","Economia e Sociedade; 17(1); 1-28","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100001&lang=pt" 
"S0104-06182008000100005-scl","Comércio exterior inter e intra-industrial: Brasil 2003-2005","Baltar, Carolina Troncoso","Economia e Sociedade; 17(1); 107-134","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100005&lang=pt" 
"S0104-06182008000100006-scl","A posição de J. S. Mill em relação ao Estado: os casos das sociedades &#039;civilizadas&#039; e das sociedades &#039;atrasadas&#039;","Mattos, Laura Valladão de","Economia e Sociedade; 17(1); 135-155","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100006&lang=pt" 
"S0104-06182008000100007-scl","Cartel internacional do estanho: a importância da indústria brasileira na quebra do conluio","Cuter, Julio Cesar, Kon, Anita","Economia e Sociedade; 17(1); 157-171","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100007&lang=pt" 
"S0104-06182008000100003-scl","A ONU e o desenvolvimento econômico: uma interpretação das bases teóricas da atuação do PNUD","Machado, João Guilherme Rocha, Pamplona, João Batista","Economia e Sociedade; 17(1); 53-84","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100003&lang=pt" 
"S0104-06182008000100002-scl","Moeda endógena e progresso tecnológico induzido num modelo macrodinâmico pós-keynesiano","Carvalho, Luciano Dias, Oreiro, José Luís","Economia e Sociedade; 17(1); 29-51","Economia e Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182008000100002&lang=pt" 
"S0004-27492008000200002-scl","Freeze-drying as an alternative method of human sclera preservation","Frota, Ana Carolina de Arantes, Lima Filho, Acácio Alves de Souza, Dias, Ana Beatriz Toledo, Lourenço, Andréia Cristina dos Santos, Antecka, Emilia, Burnier Jr., Miguel N.","Arquivos Brasileiros de Oftalmologia; 71(2); 137-141","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200002&lang=pt" 
"S0004-27492008000200005-scl","O uso de implantes de compósito bioativo de biocerâmica em matriz polimérica na reconstrução do complexo zigomático orbitário: novas perspectivas em biomateriais","Turrer, Clarissa Leite, Figueiredo, Ana Rosa Pimentel de, Oréfice, Rodrigo Lambert, Maciel, Pedro Ernani, Silveira, Maria Elizabeth Souza da, Gonçalves, Sabrina de Paula, Barbi, Juliana Senna Figueiredo","Arquivos Brasileiros de Oftalmologia; 71(2); 153-161","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200005&lang=pt" 
"S0004-27492008000200010-scl","Resultado funcional e índice macular em portadores de buraco macular submetidos à cirurgia com remoção da membrana limitante interna","Diniz, José Ricardo, Luz, Allan Cezar da, Carvalho, Kleper, Fontes, Vladimir, Arcoverde, Ana Lucia, Melo, Maria Cecília Santos Cavalcante","Arquivos Brasileiros de Oftalmologia; 71(2); 182-186","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200010&lang=pt" 
"S0004-27492008000200012-scl","Flora bacteriana conjuntival após uso tópico de ciprofloxacino e gatifloxacino em cirurgia de catarata","Arantes, Tiago Eugênio Faria e, Castro, Célia Maria Machado Barbosa de, Cavalcanti, Ronald Fonseca, Severo, Maiara Santos, Diniz, Maria de Fátima Alves, Urtiga, Ricardo Walber de Deus","Arquivos Brasileiros de Oftalmologia; 71(2); 191-196","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200012&lang=pt" 
"S0004-27492008000200014-scl","Não-adesão à terapêutica medicamentosa do glaucoma","Castro, Aldemar Nemesio Brandão Vilela de, Mesquita, Wander Araújo","Arquivos Brasileiros de Oftalmologia; 71(2); 207-214","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200014&lang=pt" 
"S0004-27492008000200015-scl","Auto-estima na forma inativa da oftalmopatia de Graves","Magalhães, Carlos Henrique de Toledo, Pereira, Max Domingues, Manso, Paulo Góis, Veiga, Daniela Francescato, Novo, Neil Ferreira, Ferreira, Lydia Masako","Arquivos Brasileiros de Oftalmologia; 71(2); 215-220","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200015&lang=pt" 
"S0004-27492008000200016-scl","Clinical evaluation of reprocessed blades in LASIK","Mallmann, Felipe, Murata, Celina, Yamazaki, Ester Sakae, Campos, Mauro","Arquivos Brasileiros de Oftalmologia; 71(2); 221-227","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200016&lang=pt" 
"S0004-27492008000200017-scl","Reprodutibilidade na classificação do teste de cristalização do filme lacrimal em pacientes com síndrome de Sjögren","Felberg, Sergio, Cordeiro, Hamilcar, Sato, Elcio Hideo, Martini Filho, Dino, NIshiwaki-Dantas, Maria Cristina, Endo, Roberto Mitiaki, Dantas, Paulo Elias Correa","Arquivos Brasileiros de Oftalmologia; 71(2); 228-233","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200017&lang=pt" 
"S0004-27492008000200021-scl","Prevalence of visual impairment, blindness, ocular disorders and cataract surgery outcomes in low-income elderly from a metropolitan region of São Paulo - Brazil","Araújo Filho, Arnaud, Salomão, Solange Rios, Berezovsky, Adriana, Cinoto, Rafael Werneck, Morales, Paulo Henrique Ávila, Santos, Francisco Roberto Gonçalves, Belfort Jr., Rubens","Arquivos Brasileiros de Oftalmologia; 71(2); 246-253","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200021&lang=pt" 
"S0004-27492008000200027-scl","Incisões relaxantes limbares ou incisões no meridiano mais curvo associadas a facoemulsificação com implante de lente intra-ocular multifocal: relato de três casos","Hida, Wilson Takashi, Motta, Antonio Francisco Pimenta, Inomata, Daniela Lumi, Jales, Martha de Queiroz Monteiro, Facio Júnior, Antonio Carlos, José Júnior, Newton Kara, Nakano, Celso Takashi","Arquivos Brasileiros de Oftalmologia; 71(2); 273-277","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200027&lang=pt" 
"S0004-27492008000200032-scl","Imunogenética das uveítes","Cordeiro, Cynthia Azeredo, Moreira, Paula Rocha, Dutra, Walderez Ornelas, Campos, Wesley Ribeiro, Teixeira, Antônio Lúcio, Oréfice, Fernando","Arquivos Brasileiros de Oftalmologia; 71(2); 295-299","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200032&lang=pt" 
"S0104-11692008000200003-scl","Movement undertaken by newly graduated nurses towards the strengthening of their professional autonomy and towards patient autonomy","Berti, Heloisa Wey, Braga, Eliana Mara, Godoy, Ilda de, Spiri, Wilza Carla, Bocchi, Silvia Cristina Mangini","Revista Latino-Americana de Enfermagem; 16(2); 184-191","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200003&lang=pt" 
"S0104-11692008000200004-scl","Nurses&#039; training in prehospital care","Gentil, Rosana Chami, Ramos, Laís Helena, Whitaker, Iveth Yamaguchi","Revista Latino-Americana de Enfermagem; 16(2); 192-197","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200004&lang=pt" 
"S0104-11692008000200005-scl","Depression among nursing students associated to their self-esteem, health perception and interest in mental health","Furegato, Antonia Regina Ferreira, Santos, Jair Licio Ferreira, Silva, Edilaine Cristina da","Revista Latino-Americana de Enfermagem; 16(2); 198-204","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200005&lang=pt" 
"S0104-11692008000200007-scl","Spirituality in self-care for intensive care nursing professionals","Dezorzi, Luciana Winterkorn, Crossetti, Maria da Graça Oliveira","Revista Latino-Americana de Enfermagem; 16(2); 212-217","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200007&lang=pt" 
"S0104-11692008000200008-scl","Predictors of nursing workload in elderly patients admitted to intensive care units","Sousa, Cleber Ricardo de, Gonçalves, Leilane Andrade, Toffoleto, Maria Cecília, Leão, Karine, Padilha, Kátia Grillo","Revista Latino-Americana de Enfermagem; 16(2); 218-223","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200008&lang=pt" 
"S0104-11692008000200009-scl","Cultural adaptation and validation of the &quot;Diabetes Quality of Life for Youths&quot; measure of Ingersoll and Marrero into Brazilian culture","Novato, Tatiana de Sá, Grossi, Sonia Aurora Alves, Kimura, Miako","Revista Latino-Americana de Enfermagem; 16(2); 224-230","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200009&lang=pt" 
"S0104-11692008000200010-scl","Knowledge of diabetic patients about their disease before and after implementing a diabetes education program","Otero, Liudmila Miyar, Zanetti, Maria Lúcia, Ogrizio, Michelle Daguano","Revista Latino-Americana de Enfermagem; 16(2); 231-237","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200010&lang=pt" 
"S0104-11692008000200011-scl","Risk factors in patients with type 2 diabetes mellitus","Carolino, Idalina Diair Regla, Molena-Fernandes, Carlos Alexandre, Tasca, Raquel Soares, Marcon, Sonia Silva, Cuman, Roberto Kenji Nakamura","Revista Latino-Americana de Enfermagem; 16(2); 238-244","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200011&lang=pt" 
