"S0365-66912005000800001-esp","Terapia antiangiogénica","Arias-Barquet, L","Archivos de la Sociedad Española de Oftalmología; 80(8); 435-436","Archivos de la Sociedad Española de Oftalmología","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912005000800001&lang=pt" 
"S0101-81082005000200008-scl","O papel dos glicocorticóides na expressão dos sintomas de humor: uma revisão","Alheira, Flávio Valdozende, Brasil, Marco Antônio Alves","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 177-186","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200008&lang=pt" 
"S0101-81082005000200012-scl","&quot;Espíritos infernais&quot; e &quot;astutos encantamentos&quot; em psicoterapia de orientação psicanalítica: a interpretação transferencial","Schimitt, Regina Lopes","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 211-216","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200012&lang=pt" 
"S0101-81082005000200010-scl","Evidências atuais do impacto terapêutico dos inibidores da acetilcolinesterase no transtorno cognitivo leve e na demência vascular","Gomes, Alexandre de Mattos, Koszuoski, Ricardo","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 197-205","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200010&lang=pt" 
"S0101-81082005000200003-scl","Promovendo resiliência em vítimas de trauma psicológico","Peres, Julio F. P., Mercante, Juliane P. P., Nasello, Antonia G.","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 131-138","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200003&lang=pt" 
"S0212-16112005000600005-esp","¿Son las herramientas recomendadas por la ASPEN y la ESPEN equiparables en la valoración del estado nutricional?","Valero, M.ª A., Díez, L., El Kadaoui, N., Jiménez, A. E., Rodríguez, H., León, M.","Nutrición Hospitalaria; 20(4); 259-267","Nutrición Hospitalaria","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112005000600005&lang=pt" 
"S0212-16112005000600009-esp","Óxidos de colesterol en langostinos frescos y congelados, crudos y a la plancha","Echarte, M., Conchillo, A., Ansorena, D., Astiasarán, I.","Nutrición Hospitalaria; 20(4); 293-296","Nutrición Hospitalaria","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112005000600009&lang=pt" 
"S0212-16112005000600008-esp","Estudio del estado nutricional en la población anciana hospitalizada","Gómez Ramos, M.ª J., González Valverde, F. M., Sánchez Álvarez, C.","Nutrición Hospitalaria; 20(4); 286-292","Nutrición Hospitalaria","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112005000600008&lang=pt" 
"S0212-16112005000600006-esp","Estudio multicéntrico de incidencia de las complicaciones de la nutrición parenteral total en el paciente grave: Estudio ICOMEP 1ª parte","Bonet, A., Grau, T.","Nutrición Hospitalaria; 20(4); 268-277","Nutrición Hospitalaria","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112005000600006&lang=pt" 
"S0212-16112005000600002-esp","La nutrición parenteral domiciliaria: un interrogante en pediatría","Gómez Álvarez, M.ª E., Alaguero Calero, M., Durán Román, C., Olabarri Blanco, A., García Riaño, L., Solís Sánchez, G., Bousoño García, C.","Nutrición Hospitalaria; 20(4); 242-248","Nutrición Hospitalaria","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112005000600002&lang=pt" 
"S0212-16112005000600001-esp","Colorectal cancer: lifestyle and dietary factors","Corrêa Lima, M. P., Gomes-da-Silva, M. H. G.","Nutrición Hospitalaria; 20(4); 235-241","Nutrición Hospitalaria","Inglês","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112005000600001&lang=pt" 
"S0365-66912005000800011-esp","Mucocele orbitario primario: proptosis y atrofia óptica","Rodríguez-Marco, NA, Domínguez-Polo, AM, Cristóbal-Bescós, JA, Ispa-Callén, MC, Castillo-Laguarta, J","Archivos de la Sociedad Española de Oftalmología; 80(8); 479-482","Archivos de la Sociedad Española de Oftalmología","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912005000800011&lang=pt" 
"S1315-62682005000200001-ven","Presentación","Berti Nessi, María de los Angeles","Frónesis; 12(2); 8-8","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200001&lang=pt" 
"S1315-62682005000200002-ven","Determinantes Estructurales de la sobreexplotación del trabajo femenino en Venezuela &lt;A NAME=&quot;_VPID_2&quot;&gt;&lt;/A&gt;","Barrios Graziani, Leticia","Frónesis; 12(2); 9-24","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200002&lang=pt" 
"S1315-62682005000200003-ven","Las implicaciones morales de la neuroeconomía","Monasterio, Aníbal","Frónesis; 12(2); 25-36","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200003&lang=pt" 
"S1315-62682005000200004-ven","Cumbre mundial sobre la sociedad de la información: Desafíos","Rodríguez, Gladys Stella","Frónesis; 12(2); 37-61","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200004&lang=pt" 
"S1315-62682005000200005-ven","Arbitraje comercial: Nuevo paradigma para la administración de justicia","Navarro, Marielis Caridad","Frónesis; 12(2); 62-86","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200005&lang=pt" 
"S1315-62682005000200006-ven","Políticas laborales en España para los inmigrantes latinoamericanos&lt;A NAME=&quot;_VPID_14&quot;&gt;&lt;/A&gt;","Romero, Francisco Sacristán","Frónesis; 12(2); 87-106","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200006&lang=pt" 
"S1315-62682005000200007-ven","El desarrollo de la Investigación Científica en el ámbito de lo jurídico","García Leal, Laura","Frónesis; 12(2); 109-114","Frónesis","Espanhol","2005","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682005000200007&lang=pt" 
"S0103-65132005000200002-scl","Alocação de pedidos em aglomerados industriais calçadistas: modelos e estudo de caso","Souza, Gustavo Beltran de, Fernandes, Flávio César Faria","Production; 15(2); 142-157","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200002&lang=pt" 
"S0103-65132005000200003-scl","Internacionalização comercial e produtiva na indústria de cosméticos: desafios competitivos para empresas brasileiras","Garcia, Renato","Production; 15(2); 158-171","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200003&lang=pt" 
"S0103-65132005000200004-scl","Organização do trabalho, subjetividade e confiabilidade na atividade de mergulho profundo","Figueiredo, Marcelo Gonçalves, Athayde, Milton Raimundo Cidreira de","Production; 15(2); 172-183","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200004&lang=pt" 
"S0103-65132005000200005-scl","Do OPT à Teoria das Restrições: avanços e mitos","Souza, Fernando Bernardi de","Production; 15(2); 184-197","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200005&lang=pt" 
"S0103-65132005000200006-scl","Correlação entre gestão da tecnologia e gestão ambiental nas empresas","Silva, José Carlos Teixeira da, Silva, Marcos Schaaf Teixeira, Manfrinato, Jair Wagner de Souza","Production; 15(2); 198-220","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200006&lang=pt" 
"S0103-65132005000200007-scl","Alocação de modelos de produtos a equipes de trabalhadores baseada em modelos de curvas de aprendizagem","Anzanello, Michel José, Fogliatto, Flávio Sanson","Production; 15(2); 221-234","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200007&lang=pt" 
"S0103-65132005000200008-scl","Otimização do fluxo de materiais através da manufatura celular","Conceição, Samuel Vieira","Production; 15(2); 235-250","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200008&lang=pt" 
"S0103-65132005000200009-scl","Comparando os métodos paramétrico e não-paramétrico na determinação do valor crítico do teste estatístico de médias proposto por Hayter e Tsui","Mingoti, Sueli Aparecida, Glória, Fernando Augusto Alves","Production; 15(2); 251-262","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200009&lang=pt" 
"S0103-65132005000200010-scl","Trabalhadores da saúde sob risco: o uso de pulverizadores no controle de vetores","Vilela, Rodolfo Andrade de Gouveia, Malagoli, Maria Elizabeth, Morrone, Luiz C.","Production; 15(2); 263-272","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200010&lang=pt" 
"S0103-65132005000200012-scl","Análise do alinhamento da estratégia de produção com a estratégia competitiva na indústria moveleira","Silva, Eliciane Maria da, Santos, Fernando César Almada","Production; 15(2); 286-299","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200012&lang=pt" 
"S0034-75152005000200002-cub","Validación de los métodos analíticos para el control de la calidad y estudio de estabilidad del salbutamol 0,5 % en solución nebulizadora","Garcia Peña, Caridad Margarita, Fernández Mena, Dianelys, Nuñez de la Fuente, Leopoldo, Gómez Carril, Martha, Martinez Espinosa, Vivian","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200002&lang=pt" 
"S0034-75152005000200003-cub","Validación de los métodos analíticos para el control de la calidad y el estudio de estabilidad del colirio de idoxiuridina 0,1 %","García Peña, Caridad Margarita, Martínez Espinosa, Vivian","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200003&lang=pt" 
"S0034-75152005000200009-cub","Costo-efectividad de intervenciones alimentario-nutrimentales vs. tratamiento farmacológico en pacientes colorrectales: II parte","León Rodríguez, Rafael, Santana Porbén, Sergio, Collazo Herrera, Manuel, Barreto Penié, Jesús","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200009&lang=pt" 
"S0034-75152005000200001-cub","Desarrollo tecnológico de sulfato de cinc 5 mg/mL infusión intravenosa","Gato del Monte, Armando, González Villazón, Ania, Pardo Ruiz, Zenia","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200001&lang=pt" 
"S0034-75152005000200004-cub","Establecimiento de un material de referencia de trabajo para interleucina-2 recombinante","Vega, Maribel, Gorrín, Kelly, García, Gerardo, Gerónimo, Haydeé, Moya, Galina, Quintana, Marisel, Castiñeira, Mirta","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200004&lang=pt" 
"S0034-75152005000200005-cub","Establecimiento de un material de referencia para interferón gamma humano recombinante","Vega, Maribel, Valderrama, Susset, Moya, Galina, Ferrero, Joel, Castiñeira, Mirta, Quintana, Marisel","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200005&lang=pt" 
"S0034-75152005000200006-cub","Experiencia con las reacciones adversas asociadas con el interferón alfa 2b recombinante en hematología","Brito Pascual, Idalmis, Betancourt Rodríguez, Blas Yamir, Valenzuela Silva, Carmen, López Saura, Pedro","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200006&lang=pt" 
"S0034-75152005000200007-cub","Causas de la no-trombólisis en el infarto agudo del miocardio y beneficios de su uso","Leyva de la Torre, Christian, Rego Hernández, José de Jesús","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200007&lang=pt" 
"S0034-75152005000200008-cub","Análisis de las dosificaciones en los esquemas de citostáticos en el cáncer de mama","Ramos Fernández, Maritza, Arbesú Michelena, Ma. Antonieta, Sedeño Argilagos, Caridad, Fernández Monaga, Sol A","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200008&lang=pt" 
"S0034-75152005000200010-cub","Parámetros quimicofísicos de la carboximetilquitosana","Pérez Ramos, Patricia, Fernández Monaganas, Sol A, Bilbao Revoredo, Ofelia, Fajardo Ledea, Déborah, Mateo López, Lilliana","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200010&lang=pt" 
"S0034-75152005000200011-cub","Errores en la medicación: función del farmacéutico","Torres Domínguez, Amarilys","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200011&lang=pt" 
"S0034-75152005000200012-cub","Estructura y actividad de los antifúngicos","Gregorí Valdés, Bárbara Susana","Revista Cubana de Farmacia; 39(2); 1-1","Revista Cubana de Farmacia","Espanhol","2005","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152005000200012&lang=pt" 
"S0103-65132005000200001-scl","Editorial","Carvalho, Marly Monteiro de","Production; 15(2); -","Production","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132005000200001&lang=pt" 
"S1413-73722005000200018-scl","Análise da produção científica sobre criatividade em programas brasileiros de pós-graduação em psicologia (1994 - 2001)","Zanella, Andréa Vieira, Titon, Andréia Piana","Psicologia em Estudo; 10(2); 305-316","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200018&lang=pt" 
"S1413-73722005000200001-scl","Os dez anos de Psicologia em Estudo","Boarini, Maria Lucia","Psicologia em Estudo; 10(2); 163-164","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200001&lang=pt" 
"S1413-73722005000200003-scl","A criança abrigada: considerações acerca do sentido da filiação","Parreira, Stella Maris de Castro Pipinis, Justo, José Sterza","Psicologia em Estudo; 10(2); 175-180","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200003&lang=pt" 
"S1413-73722005000200022-scl","Errata","","Psicologia em Estudo; 10(2); -","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200022&lang=pt" 
"S1413-73722005000200016-scl","O mal, sentido e dito","Delouya, Daniel","Psicologia em Estudo; 10(2); 289-293","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200016&lang=pt" 
"S1413-73722005000200015-scl","Luto e identificação: a propósito de a casa de boneca, de Henrik Ibsen","Hage, Anne","Psicologia em Estudo; 10(2); 283-287","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200015&lang=pt" 
"S1413-73722005000200021-scl","Psicología social: perspectivas psicológicas y sociológicas","Aquino, Cássio Adriano Braz de","Psicologia em Estudo; 10(2); 327-329","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200021&lang=pt" 
"S1413-73722005000200020-scl","Aids e casamento: o risco nos laços da conjugalidade","Oltramari, Leandro Castro","Psicologia em Estudo; 10(2); 325-326","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200020&lang=pt" 
"S1413-73722005000200002-scl","É fácil tirar a criança da rua, o difícil é tirar a rua da criança","Santana, Juliana Prates, Doninelli, Thaís Mesquita, Frosi, Raquel Valente, Koller, Sílvia Helena","Psicologia em Estudo; 10(2); 165-174","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200002&lang=pt" 
"S1413-73722005000200004-scl","Depressão na infância: um estudo exploratório","Calderaro, Rosana Simão dos Santos, Carvalho, Cristina Vilela de","Psicologia em Estudo; 10(2); 181-189","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200004&lang=pt" 
"S1413-73722005000200005-scl","Maturidade emocional e avaliação comportamental de crianças filhas de alcoolistas","Souza, Joseane de, Jeronymo, Daniela V. Zanoti, Carvalho, Ana Maria Pimenta","Psicologia em Estudo; 10(2); 191-199","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200005&lang=pt" 
"S1413-73722005000200007-scl","Risco, proteção e resiliência no desenvolvimento da criança e do adolescente","Sapienza, Graziela, Pedromônico, Márcia Regina Marcondes","Psicologia em Estudo; 10(2); 209-216","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200007&lang=pt" 
"S1413-73722005000200008-scl","Brincar e educação: concepções e possibilidades","Carvalho, Alysson Massote, Alves, Maria Michelle Fernandes, Gomes, Priscila de Lara Domingues","Psicologia em Estudo; 10(2); 217-226","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200008&lang=pt" 
"S1413-73722005000200009-scl","Educação inclusiva: concepções de professores e diretores","Sant&#039;Ana, Izabella Mendes","Psicologia em Estudo; 10(2); 227-234","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200009&lang=pt" 
"S1413-73722005000200010-scl","Indicadores de desenvolvimento na fase pré-escolar de crianças nascidas pré-termo","Martins, Iralúcia Maria Bertini, Linhares, Maria Beatriz Martins, Martinez, Francisco Eulógio","Psicologia em Estudo; 10(2); 235-243","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200010&lang=pt" 
"S1413-73722005000200011-scl","Mães avaliam comportamentos socialmente &quot;desejados&quot; e &quot;indesejados&quot; de pré-escolares","Bolsoni-Silva, Alessandra Turini, Marturano, Edna Maria, Manfrinato, Jair Wagner de Souza","Psicologia em Estudo; 10(2); 245-252","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200011&lang=pt" 
"S1413-73722005000200012-scl","Atitudes com relação à educação a distância em uma universidade","Steil, Andrea Valéria, Pillon, Ana Elisa, Kern, Vinícius Medina","Psicologia em Estudo; 10(2); 253-262","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200012&lang=pt" 
"S1413-73722005000200013-scl","Democracia e violência policial: o caso da policia militar","Guimarães, Juliany Gonçalves, Torres, Ana Raquel Rosas, Faria, Margareth R. G. V. de","Psicologia em Estudo; 10(2); 263-271","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200013&lang=pt" 
"S1413-73722005000200014-scl","Marginalidade ou cidadania? a rede discursiva que configura o trabalho dos redutores de danos","Nardi, Henrique Caetano, Rigoni, Rafaela de Quadros","Psicologia em Estudo; 10(2); 273-282","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200014&lang=pt" 
"S1413-73722005000200017-scl","O conceito de coletivo como superação da dicotomia indivíduo-sociedade","Escóssia, Liliana da, Kastrup, Virgínia","Psicologia em Estudo; 10(2); 295-304","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200017&lang=pt" 
"S1413-73722005000200019-scl","Reflexões sobre concepções de família e empresas familiares","Machado, Hilka Vier","Psicologia em Estudo; 10(2); 317-323","Psicologia em Estudo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722005000200019&lang=pt" 
"S0101-73302005000200001-scl","","","Educação &amp; Sociedade; 26(91); 343-347","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200001&lang=pt" 
"S0101-73302005000200005-scl","Transformação dos modos de socialização das crianças: uma abordagem sociológica","Mollo-Bouvier, Suzanne","Educação &amp; Sociedade; 26(91); 391-403","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200005&lang=pt" 
"S0101-73302005000200002-scl","Apresentação","Delgado, Ana Cristina Coll, Müller, Fernanda","Educação &amp; Sociedade; 26(91); 351-360","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200002&lang=pt" 
"S0101-73302005000200004-scl","Criança, infância(s), crianças: que objetivo dar a uma ciência social da infância?","Javeau, Claude","Educação &amp; Sociedade; 26(91); 379-403","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200004&lang=pt" 
"S0101-73302005000200017-scl","Sobre tempos e espaços da escola: do princípio do conhecimento ao princípio da socialidade","Miranda, Marília Gouvea de","Educação &amp; Sociedade; 26(91); 639-651","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200017&lang=pt" 
"S0101-73302005000200020-scl","Pais na creche: a arte do diálogo entre educadores e família","Carvalho, Ana Maria Orlandina Tancredi","Educação &amp; Sociedade; 26(91); 689-693","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200020&lang=pt" 
"S0101-73302005000200019-scl","&quot;A gente gosta é de brincar com os outros meninos!&quot; Relações sociais entre crianças num Jardim de Infância","Prado, Patrícia Dias","Educação &amp; Sociedade; 26(91); 683-688","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200019&lang=pt" 
"S0100-41582005000400002-scl","Herança da resistência à mancha-bacteriana em tomateiro","Lobo, Valácia L. da S., Giordano, Leonardo de B., Lopes, Carlos A.","Fitopatologia Brasileira; 30(4); 343-349","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400002&lang=pt" 
"S0100-41582005000400016-scl","Heliconia psittacorum: hospedeira de Mycosphaerella fijiensis, agente causal da sigatoka-negra da bananeira","Gasparotto, Luadir, Pereira, J. Clério R., Urben, Arailde F., Hanada, Rogério E., Pereira, Mirza C. N.","Fitopatologia Brasileira; 30(4); 423-425","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400016&lang=pt" 
