"S0103-17592012000600006-scl","Modelo de transformador com tap variável adequado para estudos de estabilidade de tensão","Ferreira, Carlos Aparecido, Prada, Ricardo","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(6); 726-736","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000600006&lang=pt" 
"S1851-82652012000400007-arg","La lucha contra la poliomielitis: una alianza médico-social, Buenos Aires, 1943","Testa, Daniela Edelvis","Salud colectiva; 8(3); 299-314","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400007&lang=pt" 
"S1851-82652012000400001-arg","Historicidad del concepto &quot;salud del trabajador&quot; en el ámbito de la salud colectiva: el caso de Brasil","Minayo Gómez, Carlos","Salud colectiva; 8(3); 221-227","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400001&lang=pt" 
"S0004-282X2012001200015-scl","Reversible parkinsonism associated with neurocysticercosis","Lima, Plínio M. G. de, Munhoz, Renato P., Teive, Hélio A. G.","Arquivos de Neuro-Psiquiatria; 70(12); 965-966","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200015&lang=pt" 
"S0004-282X2012001200001-scl","The mystery of intracranial aneurysm formation","Oliveira-Filho, Jamary","Arquivos de Neuro-Psiquiatria; 70(12); 911-912","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200001&lang=pt" 
"S0004-282X2012001200011-scl","Fifty years of the Brazilian Academy of Neurology","Gomes, Marleide da Mota, Cavalcanti, José Luiz de Sá","Arquivos de Neuro-Psiquiatria; 70(12); 956-959","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200011&lang=pt" 
"S0004-282X2012001200007-scl","What is the essential neurological examination?","Lima, Marco A., Maranhão-Filho, Péricles","Arquivos de Neuro-Psiquiatria; 70(12); 939-941","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200007&lang=pt" 
"S0004-282X2012001200013-scl","Recurrent post-ictal hyperthermia","Rocha, Sofia, Sousa, Filipa, Pinho, João, Maré, Ricardo, Machado, Álvaro","Arquivos de Neuro-Psiquiatria; 70(12); 961-962","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200013&lang=pt" 
"S0004-282X2012001200008-scl","Vestibulo-ocular reflex and the head impulse test","Maranhão, Eliana T., Maranhão-Filho, Péricles","Arquivos de Neuro-Psiquiatria; 70(12); 942-944","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200008&lang=pt" 
"S0004-282X2012001200009-scl","Surgical and postmortem pathology studies: contribution for the investigation of temporal lobe epilepsy","Caboclo, Luís Otávio Sales Ferreira, Neves, Rafael Scarpa, Jardim, Anaclara Prada, Hamad, Ana Paula Andrade, Centeno, Ricardo Silva, Lancellotti, Carmen Lucia Penteado, Scorza, Carla Alessandra, Cavalheiro, Esper Abrão, Yacubian, Elza Márcia Targas, Sakamoto, Américo Ceiki","Arquivos de Neuro-Psiquiatria; 70(12); 945-952","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200009&lang=pt" 
"S0004-282X2012001200010-scl","Epileptologists probe vagus nerve stimulation in children with refractory epilepsy: a promise against sudden unexpected death in epilepsy","Terra, Vera C., Nisyiama, Meire A., Abrão, João, Sakamoto, Américo C., Machado, Helio R., Arida, Ricardo M., Cavalheiro, Esper A., Scorza, Fulvio Alexandre","Arquivos de Neuro-Psiquiatria; 70(12); 953-955","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200010&lang=pt" 
"S0004-282X2012001200012-scl","Delirium, psychosis, and visual hallucinations induced by pregabalin","Pedroso, José Luiz, Nakama, Gilberto Yoshinobu, Carneiro Filho, Mario, Barsottini, Orlando G.","Arquivos de Neuro-Psiquiatria; 70(12); 960-961","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200012&lang=pt" 
"S0004-282X2012001200016-scl","Superior cerebellar hyperintense sign on FLAIR-weighted magnetic resonance imaging in paraneoplastic cerebellar degeneration","Aragão, Marcelo de Melo, Pedroso, José Luiz, Albuquerque, Marcus Vinicius Cristino, Dutra, Livia Almeida, Barsottini, Orlando Graziani Povoas","Arquivos de Neuro-Psiquiatria; 70(12); 967-967","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200016&lang=pt" 
"S0004-282X2012001200017-scl","Quantitative electroencephalography power and coherence measurements in the diagnosis of mild and moderate Alzheimer&#039;s disease","Fonseca, Lineu Corrêa, Tedrus, Gloria Maria Almeida Souza, Prandi, Larissa Rodrigues, Andrade, Ana Carolina Amaral de","Arquivos de Neuro-Psiquiatria; 70(12); 968-968","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200017&lang=pt" 
"S0104-66322012000400004-scl","Experimental study of micro-particle fouling under forced convective heat transfer","Peyghambarzadeh, S. M., Vatani, A., Jamialahmadi, M.","Brazilian Journal of Chemical Engineering; 29(4); 713-724","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400004&lang=pt" 
"S0104-66322012000400006-scl","Drying kinetics, structural characteristics and vitamin C retention of dedo-de-moça pepper (Capsicum baccatum) during convective and freeze drying","Veras, A. O. M., Béttega, R., Freire, F. B., Barrozo, M. A. S., Freire, J. T.","Brazilian Journal of Chemical Engineering; 29(4); 741-750","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400006&lang=pt" 
"S0104-66322012000400011-scl","Synthesis of 15N-enriched urea (CO(15NH2)2) from 15NH3, CO, and S in a discontinuous process","Sant Ana Filho, C. R., Rossete, A. L. R. M., Tavares, C. R. O., Prestes, C. V., Bendassolli, J. A.","Brazilian Journal of Chemical Engineering; 29(4); 795-806","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400011&lang=pt" 
"S0104-77602012000400001-scl","Controle de plantas daninhas e seletividade do flumioxazin para eucalipto","Tiburcio, Rafael Augusto Soares, Ferreira, Francisco Affonso, Ferreira, Lino Roberto, Machado, Miler Soares, Machado, Aroldo Ferreira Lopes","CERNE; 18(4); 523-531","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400001&lang=pt" 
"S0104-77602012000400004-scl","Study of survival time in pulp export","Coelho Junior, Luiz Moreira, Rezende, José Luiz Pereira de, Vivanco, Mario Javier Ferrua, Oliveira, Antônio Donizette de, Borges, Luís Antônio Coimbra","CERNE; 18(4); 547-555","CERNE","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400004&lang=pt" 
"S0104-77602012000400007-scl","Qualidade da madeira serrada de Pinus elliottii Engelm. procedente de florestas resinadas","Cademartori, Pedro Henrique Gonzalez de, Gatto, Darci Alberto, Stangerlin, Diego Martins, Schneid, Eduardo, Hamm, Leandro Gonçalves","CERNE; 18(4); 577-583","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400007&lang=pt" 
"S0104-77602012000400019-scl","Simulação do impacto das atividades florestais na fragilidade potencial em plantios de Pinus","Stolle, Lorena, Lingnau, Christel, Arce, Julio Eduardo, Bognola, Itamar Antonio","CERNE; 18(4); 683-693","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400019&lang=pt" 
"S0074-02762012000800016-scl","Brazilian hepatitis B vaccine: a six-year follow-up in adolescents","Alexandre, Kamilla Vêncio Frauzino, Martins, Regina Maria Bringel, Souza, Márcia Maria de, Rodrigues, Isolina Maria Xavier, Teles, Sheila Araujo","Memórias do Instituto Oswaldo Cruz; 107(8); 1060-1063","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800016&lang=pt" 
"S0074-02762012000800001-scl","Stool sample storage conditions for the preservation of Giardia intestinalis DNA","Kuk, Salih, Yazar, Suleyman, Cetinkaya, Ulfet","Memórias do Instituto Oswaldo Cruz; 107(8); 965-968","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800001&lang=pt" 
"S0074-02762012000800003-scl","In vitro antimicrobial assessment of Cuban propolis extracts","Monzote, Lianet, Cuesta-Rubio, Osmany, Campo Fernandez, Mercedes, Márquez Hernandez, Ingrid, Fraga, Jorge, Pérez, Kleich, Kerstens, Monique, Maes, Louis, Cos, Paul","Memórias do Instituto Oswaldo Cruz; 107(8); 978-984","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800003&lang=pt" 
"S0074-02762012000800022-scl","Vector biology prospects in dengue research","Lambrechts, Louis, Failloux, Anna-Bella","Memórias do Instituto Oswaldo Cruz; 107(8); 1080-1082","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800022&lang=pt" 
"S0074-02762012000800007-scl","Lutzomyia diamantinensis sp. nov., a new phlebotomine species (Diptera: Psychodidae) from a quartzite cave in Diamantina, state of Minas Gerais, Brazil","Barata, Ricardo Andrade, Serra e Meira, Paula Cavalcante Lamy, Carvalho, Gustavo Mayr de Lima","Memórias do Instituto Oswaldo Cruz; 107(8); 1006-1010","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800007&lang=pt" 
"S0074-02762012000800006-scl","Superoxide dismutases and glutaredoxins have a distinct role in the response of Candida albicans to oxidative stress generated by the chemical compounds menadione and diamide","Chaves, Guilherme Maranhão, Silva, Walicyranison Plinio da","Memórias do Instituto Oswaldo Cruz; 107(8); 998-1005","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800006&lang=pt" 
"S0074-02762012000800013-scl","Susceptibility and resistance to deltamethrin of wild and domestic populations of Triatoma infestans (Reduviidae: Triatominae) in Bolivia: new discoveries","Depickère, Stéphanie, Buitrago, Rosio, Siñani, Edda, Baune, Marianne, Monje, Marcelo, Lopez, Ronald, Waleckx, Etienne, Chavez, Tamara, Brenière, Simone Frédérique","Memórias do Instituto Oswaldo Cruz; 107(8); 1042-1047","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800013&lang=pt" 
"S0074-02762012000800020-scl","Serological detection of West Nile virus in horses and chicken from Pantanal, Brazil","Melandri, Vanessa, Guimarães, Anthony Érico, Komar, Nicholas, Nogueira, Maurício L, Mondini, Adriano, Fernandez-Sesma, Ana, Alencar, Jeronimo, Bosch, Irene","Memórias do Instituto Oswaldo Cruz; 107(8); 1073-1075","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800020&lang=pt" 
"S0074-02762012000800019-scl","Identification of SL addition trans-splicing acceptor sites in the internal transcribed spacer I region of pre-rRNA in Leishmania (Leishmania) amazonensis","Mayer, Mario Gustavo, Floeter-Winter, Lucile Maria","Memórias do Instituto Oswaldo Cruz; 107(8); 1070-1072","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800019&lang=pt" 
"S0074-02762012000800018-scl","Elimination of Rhodnius prolixus in El Salvador, Central America","Cedillos, Rafael Antonio, Romero, José Eduardo, Sasagawa, Emi","Memórias do Instituto Oswaldo Cruz; 107(8); 1068-1069","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800018&lang=pt" 
"S0074-02762012000800021-scl","The overexpression of the trypanosomatid-exclusive TcRBP19 RNA-binding protein affects cellular infection by Trypanosoma cruzi","Pérez-Díaz, Leticia, Correa, Alejandro, Moretão, Mariana P, Goldenberg, Samuel, Dallagiovanna, Bruno, Garat, Beatriz","Memórias do Instituto Oswaldo Cruz; 107(8); 1076-1079","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800021&lang=pt" 
"S1519-38292012000400001-scl","O escopo da Revista Brasileira de Saúde Materno Infantil e o Qualis CAPES","Cabral Filho, José Eulálio","Revista Brasileira de Saúde Materno Infantil; 12(4); 355-356","Revista Brasileira de Saúde Materno Infantil","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400001&lang=pt" 
"S1516-80342012000400029-scl","Desempenho ortográfico de escolares do ensino fundamental: elaboração e aplicação de um instrumento de intervenção","Sampaio, Maria Nobre","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 509-509","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400029&lang=pt" 
"S1516-80342012000400028-scl","Perfil de escolares do 3º ao 5º ano do ensino fundamental I em compreensão de leitura: elaboração de um instrumento avaliativo","Cunha, Vera Lúcia Orlandi","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 508-508","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400028&lang=pt" 
"S1516-80342012000400026-scl","Análise do ruído de impacto na audição de integrantes do batalhão de operações especiais da polícia militar do Paraná: uma proposta de prevenção","Heupa, Adriana Betes","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 506-506","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400026&lang=pt" 
"S1516-80342012000400025-scl","Resolução temporal em perdas auditivas neurossensoriais e lesões cerebrais","Gallo, Júlia","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 505-505","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400025&lang=pt" 
"S1516-80342012000400002-scl","Editorial","Almeida, Kátia de, Schochat, Eliane","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); vii-viii","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400002&lang=pt" 
"S1516-80342012000400027-scl","YouTube e surdez: análise de discursos de surdos no ambiente virtual","Festa, Priscila Soares Vidal","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 507-507","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400027&lang=pt" 
"S1516-80342012000400001-scl","Editorial","Fernandes, Fernanda Dreux M.","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); v-vi","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400001&lang=pt" 
"S1516-80342012000400024-scl","Early identification of language delay by direct language assessment or parent report?","Molini-Avejonas, Daniela Regina","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 504-504","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400024&lang=pt" 
"S1516-80342012000400023-scl","Resolution of vocal fold polyps with conservative treatment","Madazio, Glaucya, Moreti, Felipe","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 502-503","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400023&lang=pt" 
"S0034-76122012000600001-scl","Estratégias acadêmicas, interdisciplinaridade e os requisitos organizacionais da produção do conhecimento","Vasconcelos, Flávio Carvalho de","Revista de Administração Pública; 46(6); 1429-1435","Revista de Administração Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122012000600001&lang=pt" 
"S0034-76122012000600006-scl","Programa Pró-Equidade de Gênero: uma discussão sobre relações entre homens e mulheres na Caixa Econômica Federal","Pinto, Elisabeth Lisbôa, Midlej, Suylan","Revista de Administração Pública; 46(6); 1529-1550","Revista de Administração Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122012000600006&lang=pt" 
"S0034-76122012000600010-scl","Bens públicos e recursos de acesso comum: instituições que influenciam sua conservação nos bairros Cota do Parque Estadual da Serra do Mar de São Paulo","Sabbagh, Roberta Buendia","Revista de Administração Pública; 46(6); 1625-1647","Revista de Administração Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122012000600010&lang=pt" 
"S0104-77602012000400005-scl","Caracterização das madeiras denominadas de pau-de-escora comercializadas na cidade de Manaus, Amazonas","Castro, Jonnys Paz, Mady, Francisco Tarcísio Moraes, Higuchi, Niro, Vasconcellos, Francisco José de, Freitas, Jorge Alves de, Silva, Blenda Naara Santos da","CERNE; 18(4); 557-563","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400005&lang=pt" 
"S0104-77602012000400015-scl","Estimativa da deterioração da madeira de assoalho de prédio histórico por meio de ondas ultrassônicas","Gatto, Darci Alberto, Goncalves, Margarete Regina Freitas, Mattos, Bruno Dufau, Calegari, Leandro, Stangerlin, Diego Martins","CERNE; 18(4); 651-656","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400015&lang=pt" 
"S1851-37352012000200001-arg","Desarrollismo, Alianza para el Progreso y Revolución Cubana: Frondizi, Kennedy y el Che en Punta del Este (1961-1962)","Morgenfeld, Leandro","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200001&lang=pt" 
"S1851-37352012000200002-arg","Illia y Santo Domingo: de las columnas de Primera Plana al golpe de Estado","Míguez, María Cecilia","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200002&lang=pt" 
"S1851-37352012000200003-arg","Notas sobre el endeudamiento externo en Argentina y Brasil: neoliberalismo y crisis","Lazzari, Ricardo, Rapoport, Mario","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200003&lang=pt" 
"S1851-37352012000200004-arg","Del blindaje a la intransigencia: Comportamiento del FMI durante la crisis económica argentina (2000-2001)","Nemiña, Pablo","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200004&lang=pt" 
"S1851-37352012000200005-arg","Discurso de Charles De Gaulle en la Conferencia de Prensa en el Palacio del Eliseo: 4 de febrero de 1965, sobre la reforma del Sistema Monetario Internacional","de Gaulle, Charles","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200005&lang=pt" 
"S1851-37352012000200006-arg","La Avellaneda de Barceló en la década infame: 1932-1943","Rapoport, Mario","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200006&lang=pt" 
"S1851-37352012000200007-arg","De Smith a Keynes: Siete lecciones de historia del pensamiento económico. Un análisis de los textos originales","Brenta, Noemí","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200007&lang=pt" 
"S1851-37352012000200008-arg","Sionismo y fascismo: El sionismo en la época de los dictadores","Falco, Alejandro","Ciclos en la historia, la economía y la sociedad; 20(40); -","Ciclos en la historia, la economía y la sociedad","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37352012000200008&lang=pt" 
"S1851-82652012000400004-arg","Descentralización y equidad: el gasto público en salud en los municipios de la provincia de Buenos Aires","Lago, Fernando Pablo, Moscoso, Nebel Silvana, Elorza, María Eugenia, Ripari, Nadia Vanina","Salud colectiva; 8(3); 263-274","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400004&lang=pt" 
