"S0103-84782007000300018-scl","Toxidez pelos ácidos propiônico e butírico em plântulas de arroz","Schmidt, Fabiana, Bortolon, Leandro, Souza, Rogério Oliveira de","Ciência Rural; 37(3); 720-726","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300018&lang=pt" 
"S0103-84782007000300047-scl","Indução de embriogênese somática em diferentes explantes de aveia (Avena sativa L.)","Bispo, Noryam Bevian, Grando, Magali Ferrari, Augustin, Lizete, Suzin, Marilei","Ciência Rural; 37(3); 890-893","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300047&lang=pt" 
"S0103-84782007000300046-scl","Enraizamento de estacas de Pau-Brasil (Caesalpinia echinata Lam.) tratadas com ácido indol butírico e ácido naftaleno acético","Endres, Laurício, Marroquim, Paula Maria Guimarães, Santos, Claudiana Moura dos, Souza, Neirevane Nunes Ferreira de","Ciência Rural; 37(3); 886-889","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300046&lang=pt" 
"S0103-84782007000300045-scl","Aspectos de biologia floral de cajueiros anão precoce e comum","Sousa, Larissa Barbosa de, Feitoza, Lidiane de Lima, Gomes, Regina Lucia Ferreira, Lopes, Ângela Celis de Almeida, Soares, Edson Basílio, Silva, Eduardo Magno Pereira da","Ciência Rural; 37(3); 882-885","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300045&lang=pt" 
"S0103-84782007000300044-scl","Superfícies protetoras na diminuição de danos mecânicos em tomate de mesa","Magalhães, Ana Maria de, Ferreira, Marcos David, Braunbeck, Oscar Antonio, Estevom, Marcos Vênicius Ramos","Ciência Rural; 37(3); 878-881","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300044&lang=pt" 
"S0103-84782007000300043-scl","First record of Tyrophagus putrescentiae (Schrank) (Acari: Acaridae) in soybean plants under no tillage in Minas Gerais, Brazil","Oliveira, Charles Martins de, Návia, Denise, Frizzas, Marina Regina","Ciência Rural; 37(3); 876-877","Ciência Rural","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300043&lang=pt" 
"S0103-84782007000300048-scl","Alphitobius diaperinus spp como veiculador de Clostridium perfringens em granjas avícolas do interior paulista - Brasil","Vittori, Juliano, Schocken-Iturrino, Rubén Pablo, Trovó, Kátia Prochnon, Ribeiro, César Augusto Martins, Barbosa, Gislaine Gomes, Souza, Luciano Melo de, Pigatto, Caroline Peters","Ciência Rural; 37(3); 894-896","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300048&lang=pt" 
"S0103-84782007000300002-scl","Dinâmica populacional do ácaro-do-bronzeado na cultura da erva-mate em Chapecó, Santa Catarina","Vieira Neto, João, Dal&#039;Col Lúcio, Alessandro, Storck, Lindolfo, Chiaradia, Luis Antônio, Lopes, Sidinei José","Ciência Rural; 37(3); 612-617","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300002&lang=pt" 
"S0103-84782007000300006-scl","A resposta do milho irrigado ao espaçamento entrelinhas depende do híbrido e da densidade de plantas","Strieder, Mércio Luiz, Silva, Paulo Regis Ferreira da, Argenta, Gilber, Rambo, Lisandro, Sangoi, Luis, Silva, Adriano Alves da, Endrigo, Paulo César","Ciência Rural; 37(3); 634-642","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300006&lang=pt" 
"S0103-84782007000300014-scl","Roça-de-toco: uso de recursos florestais e dinâmica da paisagem rural no litoral de Santa Catarina","Siminski, Alexandre, Fantini, Alfredo Celso","Ciência Rural; 37(3); 690-696","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300014&lang=pt" 
"S0103-84782007000300016-scl","Perdas de nitrogênio por volatilização de amônia com aplicação de uréia em solo de várzea com diferentes níveis de umidade","Duarte, Francisco Mendoza, Pocojeski, Elisandra, Silva, Leandro Souza da, Graupe, Fabio Adriano, Britzke, Darines","Ciência Rural; 37(3); 705-711","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300016&lang=pt" 
"S0103-84782007000300017-scl","Deposição do enxofre atmosférico no solo pelas precipitações pluviais e respostas de culturas à adubação sulfatada em sistema plantio direto","Osório Filho, Benjamin Dias, Rheinheimer, Danilo dos Santos, Silva, Leandro Souza da, Kaminski, João, Dias, Graziele Feltrin","Ciência Rural; 37(3); 712-719","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300017&lang=pt" 
"S0103-84782007000300020-scl","Quantificação de subpopulações linfocitárias no sangue do cordão umbilical de eqüinos","Godoy, Roberta Ferro de, Santana, Áureo Evangelista, Palma, Patrícia Bonini, Rossetto, Fabiana, Oliveira, José Victor de","Ciência Rural; 37(3); 734-739","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300020&lang=pt" 
"S0103-84782007000300024-scl","Hemogasometria em eqüinos com compactação experimental do cólon maior tratados com sene, fluidoterapia enteral e parenteral","Ribeiro Filho, José Dantas, Abreu, José Mário Girão, Alves, Geraldo Eleno Silveira, Dantas, Waleska de Melo Ferreira","Ciência Rural; 37(3); 755-761","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300024&lang=pt" 
"S0103-84782007000300025-scl","Nefrostomia percutânea ecoguiada em cães","Santarosa, Ingrith Aparecida Mazuhy, Godoy, Carmen Lice Buchmann de, Pippi, Ney Luis, Antunes, Paulo Sérgio Pase, Rappeti, Josaine Cristina da Silva, Krolikowski, Giovani, Novosad, Deisi, Gheller, Vanessa Sarturi","Ciência Rural; 37(3); 762-768","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300025&lang=pt" 
"S0103-84782007000300026-scl","Técnica de interligação extracapsular fêmoro-fabelo-tibial na ruptura do ligamento cruzado cranial em cães: achados clínicos e radiográficos","Baraúna Júnior, Durval, Roehsig, Cláudio, Rocha, Leandro Branco, Chioratto, Ricardo, Tudury, Eduardo Alberto","Ciência Rural; 37(3); 769-776","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300026&lang=pt" 
"S0103-84782007000300027-scl","O centro instantâneo de movimento e vetor velocidade em joelhos submetidos a incisuroplastia troclear e estabilização articular após transecção do ligamento cruzado cranial em cães","Selmi, André Luis, Padilha Filho, João Guilherme, Lins, Bruno Testoni, Mendes, Guilherme Maia, Eimantas, Gisleine Cristina","Ciência Rural; 37(3); 777-783","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300027&lang=pt" 
"S0103-84782007000300030-scl","Diagnóstico sorológico de erliquiose canina com antígeno brasileiro de Ehrlichia canis","Aguiar, Daniel Moura, Saito, Taís Berelli, Hagiwara, Mitika Kuribayashi, Machado, Rosângela Zacarias, Labruna, Marcelo Bahia","Ciência Rural; 37(3); 796-802","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300030&lang=pt" 
"S0103-84782007000300032-scl","Efeito da inclusão da covariância genética aditiva direta-materna no modelo de análise sobre a magnitude das estimativas de parâmetros e valores genéticos preditos para ganho de peso na raça Brangus","Guterres, Luiz Felipe Waihrich, Rorato, Paulo Roberto Nogara, Boligon, Arione Augusti, Weber, Tomás, Kippert, Carlos Junior, Lopes, Jader Silva, Souza, Paulo Rodrigo Santos de","Ciência Rural; 37(3); 809-814","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300032&lang=pt" 
"S0103-84782007000300035-scl","Farinha de vísceras de aves na alimentação de alevinos de piavuçu (Leporinus macrocephalus)","Signor, Arcangelo Augusto, Boscolo, Wilson Rogério, Feiden, Aldi, Reidel, Adilson, Signor, Altevir, Grosso, Ivan Romaldo","Ciência Rural; 37(3); 828-834","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300035&lang=pt" 
"S0103-84782007000300036-scl","Comparação entre os métodos químico, in situ e in vitro para estimativa do valor nutritivo de silagens de milho","Senger, Clóvis Clenio Diesel, Mühlbach, Paulo Roberto Frenzel, Sanchez, Luis Maria Bonnecarrère, Kozloski, Gilberto Vilmar, Kist, Gerusa Pauli, Lima, Lisiane Dorneles de, Netto, Diego Perez","Ciência Rural; 37(3); 835-840","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300036&lang=pt" 
"S0103-84782007000300037-scl","Produção e qualidade de pastagens de Coastcross-1 e milheto utilizadas com vacas leiteiras","Scaravelli, Luciene Fernanda Barros, Pereira, Lilian Elgalise Techio, Olivo, Clair Jorge, Agnolin, Carlos Alberto","Ciência Rural; 37(3); 841-846","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300037&lang=pt" 
"S0103-84782007000300038-scl","Características da fermentação da silagem obtida em diferentes tipos de silos sob efeito do tamanho de partícula e da altura de colheita das plantas de milho","Neumann, Mikael, Mühlbach, Paulo Roberto Frenzel, Nörnberg, José Laerte, Ost, Paulo Roberto, Restle, João, Sandini, Itacir Elói, Romano, Marco Auréilo","Ciência Rural; 37(3); 847-854","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300038&lang=pt" 
"S0103-84782007000300039-scl","Dinâmica vegetacional em pastagem natural submetida a diferentes sistemas de manejo","Brum, Marcos da Silva, Quadros, Fernando Luiz Ferreira de, Martins, Jorge Dubal, Bandinelli, Duilio Guerra, Rossi, Guilherme Ebling, Daniel, Everton, Maixner, Adriano Rudi, Silva, Alexandre Coradini Fontoura da, Trevisan, Naíme de Barcellos, Aurélio, Niumar Dutra","Ciência Rural; 37(3); 855-861","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300039&lang=pt" 
"S0103-84782007000300040-scl","Qualidade bacteriológica de queijos artesanais comercializados em estradas do litoral norte do Rio Grande do Sul, Brasil","Zaffari, Cristina Bergman, Mello, Jozi Fagundes, Costa, Marisa da","Ciência Rural; 37(3); 862-867","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300040&lang=pt" 
"S0103-84782007000300054-scl","Uso do estimulante de colônia de granulócitos nas neutropenias em cães e gatos","Lucidi, Cynthia de Assumpção, Takahira, Regina Kiomi","Ciência Rural; 37(3); 915-920","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300054&lang=pt" 
"S0103-84782007000300023-scl","Ensaio clínico da griseofulvina e da terbinafina na terapia das dermatofitoses em cães e gatos","Balda, Ana Claudia, Otsuka, Mary, Larsson, Carlos Eduardo","Ciência Rural; 37(3); 750-754","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300023&lang=pt" 
"S0103-84782007000300003-scl","Tabela de vida de fertilidade de cinco linhagens de Trichogramma pretiosum Riley (Hym.: Trichogrammatidae) criadas em ovos de Tuta absoluta (Merick) (Lep.: Gelechiidae), sob temperaturas constantes e alternadas","Pratissoli, Dirceu, Polanczyk, Ricardo Antonio, Andrade, Gilberto Santos, Holtz, Anderson Mathias, Silva, Alexandre Faria da, Pastori, Patrik Luiz","Ciência Rural; 37(3); 618-622","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300003&lang=pt" 
"S0103-84782007000300008-scl","Produtividade de grãos e componentes do rendimento da aveia preta (Avena strigosa Schreb.) afetados pela densidade e velocidade de semeadura","Debiasi, Henrique, Martins, Jorge Dubal, Missio, Evandro Luiz","Ciência Rural; 37(3); 649-655","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300008&lang=pt" 
"S0103-84782007000300001-scl","Controle genético da resistência à mancha-de-Phaeosphaeria em milho","Lopes, Maria Teresa Gomes, Lopes, Ricardo, Brunelli, Kátia Regiane, Silva, Herberte Pereira da, Matiello, Rodrigo Rodrigues, Camargo, Luis Eduardo Aranha","Ciência Rural; 37(3); 605-611","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300001&lang=pt" 
"S0103-84782007000300022-scl","Perfil eletroforético das proteínas séricas de frangos de corte alimentados com dietas contendo aflatoxinas e/ou argila clinoptilolita natural","Maciel, Roberto Marinho, Lopes, Sonia Terezinha dos Anjos, Santurio, Janio Moraes, Rosa, Alexandre Pires, Duarte, Marta Maria Medeiros Frescura, Martins, Danieli Brolo, Emanuelli, Mauren Picada","Ciência Rural; 37(3); 744-749","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300022&lang=pt" 
"S0103-84782007000300013-scl","Crescimento, duração do ciclo e produção de inflorescências de crisântemo multiflora sob diferentes números de despontes e tamanhos de vasos","Brum, Betânia, Santos, Valdecir José dos, Rodrigues, Marcelo Antonio, Bellé, Rogério Antônio, Lopes, Sidinei José","Ciência Rural; 37(3); 682-689","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300013&lang=pt" 
"S0103-84782007000300041-scl","Características e potencial tecnológico da carne da capivara","Pinto, Marcos Franke, Ponsano, Elisa Helena Giglio, Almeida, Ana Paula da Silva, Heinemann, Riana Jordão Barrozo, Souza, Wilson Machado de","Ciência Rural; 37(3); 868-873","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300041&lang=pt" 
"S0103-84782007000300029-scl","Resposta imune-humoral e celular em bovinos da raça Nelore imunizados com extrato de larvas (L2 e L3) de Dermatobia hominis (Linnaeus Jr., 1781)","Fernandes, Nelson Luis Mello, Socol, Vanete Thomaz, Pinto, Simone Benghi, Minozzo, João Carlos, Oliveira, Carlos Antonio Lopes de","Ciência Rural; 37(3); 789-795","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300029&lang=pt" 
"S0103-84782007000300015-scl","Relações entre variáveis nas análises de sementes de espécies florestais nativas do Rio Grande do Sul","Dal&#039;Col Lúcio, Alessandro, Fortes, Fabiano de Oliveira, Lorentz, Leandro Homrich, Lopes, Sidinei José, Storck, Lindolfo","Ciência Rural; 37(3); 697-704","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300015&lang=pt" 
"S0103-84782007000300031-scl","Atividade antimicrobiana dos óleos essenciais de orégano, tomilho e canela frente a sorovares de Salmonella enterica de origem avícola","Santurio, Janio Morais, Santurio, Deise Flores, Pozzatti, Patrícia, Moraes, Cristiane, Franchin, Paulo Rogério, Alves, Sydney Hartz","Ciência Rural; 37(3); 803-808","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300031&lang=pt" 
"S0103-84782007000300012-scl","Armazenamento de pêssegos cv. &quot;Granada&quot; em atmosfera controlada, visando ao transporte a longas distâncias","Brackmann, Auri, Bordignon, Bruno Cesar Silva, Giehl, Ricardo Fabiano Hettwer, Sestari, Ivan, Eisermann, Ana Cristina","Ciência Rural; 37(3); 676-681","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300012&lang=pt" 
"S1413-81232007000300007-spa","Informação, saúde, transdisciplinaridade e a construção de uma epistemologia social","Marteleto, Regina Maria","Ciência &amp; Saúde Coletiva; 12(3); 576-579","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300007&lang=pt" 
"S1413-81232007000300006-spa","Caleidoscópio info-interdisciplinar: discurso no entremeio","Orrico, Evelyn Goyannes Dill","Ciência &amp; Saúde Coletiva; 12(3); 573-576","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300006&lang=pt" 
"S1413-81232007000300005-spa","Efeito torre de babel: entre o núcleo e o campo de conhecimentos e de gestão das práticas: entre a identidade cristalizada e a mega-fusão pós-moderna","Campos, Gastão Wagner de Sousa","Ciência &amp; Saúde Coletiva; 12(3); 570-572","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300005&lang=pt" 
"S1413-81232007000300004-spa","Caleidoscópio sanitário","Carvalheiro, José da Rocha","Ciência &amp; Saúde Coletiva; 12(3); 568-570","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300004&lang=pt" 
"S1413-81232007000300003-spa","Informação e política de saúde","Paim, Jairnilson Silva","Ciência &amp; Saúde Coletiva; 12(3); 566-567","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300003&lang=pt" 
"S1413-81232007000300001-spa","Informação e informática em saúde: necessidade de rupturas criativas?","Moraes, Ilara Hämmerli Sozzi de, Vasconcellos, Miguel Murat","Ciência &amp; Saúde Coletiva; 12(3); 550-550","Ciência &amp; Saúde Coletiva","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300001&lang=pt" 
"S1413-81232007000300031-spa","Políticas de memória e informação: reflexos na organização do conhecimento","Vasconcellos, Miguel Murat","Ciência &amp; Saúde Coletiva; 12(3); 811-812","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300031&lang=pt" 
"S1413-81232007000300030-spa","Análise de correspondência como estratégia para descrição do perfil da mulher vítima do parceiro atendida em serviço especializado","Mota, Jurema Corrêa da, Vasconcelos, Ana Gloria Godoi, Assis, Simone Gonçalvez de","Ciência &amp; Saúde Coletiva; 12(3); 799-809","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300030&lang=pt" 
"S1413-81232007000300029-spa","A Grounded Theory como abordagem metodológica para pesquisas qualitativas em odontologia","Nico, Lucélia Silva, Bocchi, Silvia Cristina Mangini, Ruiz, Tânia, Moreira, Rafael da Silveira","Ciência &amp; Saúde Coletiva; 12(3); 789-797","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300029&lang=pt" 
"S1413-81232007000300025-spa","Avaliação das condições de habitação e saneamento: a importância da visita domiciliar no contexto do Programa de Saúde da Família","Azeredo, Catarina Machado, Cotta, Rosângela Minardi Mitre, Schott, Márcia, Maia, Társis de Matos, Marques, Emanuele Souza","Ciência &amp; Saúde Coletiva; 12(3); 743-753","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300025&lang=pt" 
"S1413-81232007000300023-spa","Heterocontrole da fluoretação da água de abastecimento público de Lages, Santa Catarina, Brasil","Toassi, Ramona Fernanda Ceriotti, Kuhnen, Mirian, Cislaghi, Gisela Ana, Bernardo, Jocelito Rosa","Ciência &amp; Saúde Coletiva; 12(3); 727-732","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300023&lang=pt" 
"S1413-81232007000300021-spa","A utilização de informantes-chave da comunidade na identificação de pessoas portadoras de alterações cinético-funcionais da cidade de Caxias do Sul, RS","Renosto, Alexandra, Trindade, Jorge Luiz de Andrade","Ciência &amp; Saúde Coletiva; 12(3); 709-716","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300021&lang=pt" 
"S1413-81232007000300018-spa","A importância estratégica da informação em saúde para o exercício do controle social","Silva, Alessandra Ximenes da, Cruz, Eliane Aparecida, Melo, Verbena","Ciência &amp; Saúde Coletiva; 12(3); 683-688","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300018&lang=pt" 
"S1413-81232007000300017-spa","A divisão social da cidade e a promoção da saúde: a importância de novas informações e níveis de decupagem","Najar, Alberto Lopes, Peres, Fabio de Faria","Ciência &amp; Saúde Coletiva; 12(3); 675-682","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300017&lang=pt" 
"S1413-81232007000300016-spa","Monitoramento das desigualdades sociais em saúde: significados e potencialidades das fontes de informação","Magalhães, Rosana","Ciência &amp; Saúde Coletiva; 12(3); 667-673","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300016&lang=pt" 
"S1413-81232007000300013-spa","A justiça, o direito e os bancos de dados epidemiológicos","Dallari, Sueli Gandolfi","Ciência &amp; Saúde Coletiva; 12(3); 633-641","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300013&lang=pt" 
"S1413-81232007000300008-spa","As autoras respondem","","Ciência &amp; Saúde Coletiva; 12(3); 579-585","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300008&lang=pt" 
"S1413-81232007000300026-spa","Os problemas éticos no atendimento a pacientes na clínica odontológica de ensino","Gonçalves, Evelise Ribeiro, Verdi, Marta Inez Machado","Ciência &amp; Saúde Coletiva; 12(3); 755-764","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300026&lang=pt" 
"S1413-81232007000300002-spa","Informação e informática em saúde: caleidoscópio contemporâneo da saúde","Moraes, Ilara Hämmerli Sozzi de, Gómez, Maria Nélida González de","Ciência &amp; Saúde Coletiva; 12(3); 553-565","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300002&lang=pt" 
"S1413-81232007000300009-spa","A distribuição do conhecimento científico público em informação, comunicação e informática em saúde indexado nas bases de dados MEDLINE e LILACS","Packer, Abel Laerte, Tardelli, Adalberto Otranto, Castro, Regina Célia Figueiredo","Ciência &amp; Saúde Coletiva; 12(3); 587-599","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300009&lang=pt" 
"S1413-81232007000300010-spa","Formação em política pública de saúde e domínio da informação para o desenvolvimento profissional","Mendonça, Maria Helena Magalhães de, Giovanella, Ligia","Ciência &amp; Saúde Coletiva; 12(3); 601-610","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300010&lang=pt" 
