"S0213-91112015000400001-esp","¿Es posible una atención primaria &quot;amigable para las/los jóvenes&quot; en España?","Goicolea, Isabel, Aguiló, Elena, Madrid, Juan","Gaceta Sanitaria; 29(4); 241-243","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400001&lang=pt" 
"S1815-58982015000200010-cub","El desarrollo de la independencia cognoscitiva en la formación de estudiantes de arquitectura","Cruz Baranda, Silvia Sofía","Arquitectura y Urbanismo; 36(2); 140-145","Arquitectura y Urbanismo","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-58982015000200010&lang=pt" 
"S1726-67182015000200010-cub","Apendicitis aguda durante la cesárea","García Chacón, Adisleydis, Costa León, Elvis, Rodríguez Hurtado, Romy, Chambi Gutìerrez, Freddy Alber","Revista Cubana de Anestesiología y Reanimación; 14(2); -","Revista Cubana de Anestesiología y Reanimación","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1726-67182015000200010&lang=pt" 
"S1815-58982015000200009-cub","Tendencias actuales de la Arquitectura y el Urbanismo en América Latina. 1990-2014","González Couret, Dania","Arquitectura y Urbanismo; 36(2); 128-138","Arquitectura y Urbanismo","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-58982015000200009&lang=pt" 
"S1726-67182015000200001-cub","La extubación, un momento crucial","","Revista Cubana de Anestesiología y Reanimación; 14(2); 78-80","Revista Cubana de Anestesiología y Reanimación","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1726-67182015000200001&lang=pt" 
"S0123-417X2015000200009-col","Revisión de las características psicométricas de la escala Barratt de impulsividad (BIS) a través de su historia: desde sus orígenes hasta la actualidad","Chahín-Pinzón, Nicolás","Psicología desde el Caribe; 32(2); 315-326","Psicología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2015000200009&lang=pt" 
"S0120-41572015000500019-col","Estudios ecológicos en salud ambiental: más allá de la epidemiología","Blanco-Becerra, Luis C., Pinzón-Flórez, Carlos E., Idrovo, Álvaro J.","Biomédica; 35(spe); 191-206","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000500019&lang=pt" 
"S0718-19572015000300010-chl","Supervivencia de poslarvas de Litopenaeus vannamei sometidas a la prueba de estrés osmótico y su relación con el estado de muda","Burbano-Gallardo, Elizabeth, Imués-Figueroa, Marco Antonio, Gonzalez-Legarda, Edgar Andrés, Brito, Luis Otavio, Olivera Galvez, Alfredo, Vinatea Arana, Luis Alejandro","Revista de biología marina y oceanografía; 50(2); 323-329","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300010&lang=pt" 
"S0718-19572015000300011-chl","Patrones históricos y escenarios térmicos futuros en mares mexicanos","Saldívar-Lucio, Romeo, Salvadeo, Christian, Del Monte-Luna, Pablo, Arreguín-Sánchez, Francisco, Villalobos, Héctor, Lluch-Belda, Daniel, Ponce-Díaz, Germán, Castro-Ortiz, José Luis, Zepeda-Domínguez, José Alberto, Aranceta-Garza, Fernando, Almendarez-Hernández, Luis César","Revista de biología marina y oceanografía; 50(2); 331-345","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300011&lang=pt" 
"S0718-19572015000300012-chl","Removal of the toxic dinoflagellate Alexandrium tamarense (Dinophyta, Gonyaulacales) by Mnemiopsis leidyi (Ctenophora, Lobata) in controlled experimental conditions","Bolasina, Sergio, Benavides, Hugo, Montoya, Nora, Carreto, José, Acha, Marcelo, Mianzan, Hermes","Revista de biología marina y oceanografía; 50(2); 347-352","Revista de biología marina y oceanografía","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300012&lang=pt" 
"S0718-19572015000300013-chl","Cormorán imperial, Phalacrocorax atriceps (Aves, Phalacrocoracidae): Nuevo hospedero para un parásito respiratorio, Cyathostoma (Cyathostoma) phenisci (Nematoda, Syngamidae)","Oyarzún-Ruiz, Pablo, Muñoz-Alvarado, Pamela","Revista de biología marina y oceanografía; 50(2); 353-358","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300013&lang=pt" 
"S0718-19572015000300014-chl","Macroalgas en arrecifes rocosos de Bahía Fildes y Collins, Isla Rey Jorge, Antártica","Palacios, Mauricio, Cárdenas, César A, Newcombe, Emma M","Revista de biología marina y oceanografía; 50(2); 359-366","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300014&lang=pt" 
"S0718-19572015000300015-chl","Variación temporal de las variables físico-químicas y biomasa fitoplanctónica en aguas superficiales de la zona costera de Chacopata, NE Venezuela (Mar Caribe)","Lara-Rodríguez, Ruth, Velásquez-Arenas, Roger, Troccoli-Ghinaglia, Luís, Hernandez, Deudedid, Lemus, Mairin","Revista de biología marina y oceanografía; 50(2); 367-373","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300015&lang=pt" 
"S0718-19572015000300016-chl","Actividad inhibitoria del sobrenadante de la bacteria Antártica Pseudomonas sp. M19B en la formación de biopelículas de Flavobacterium psychrophilum 19749","Leyton, Arely, Urrutia, Homero, Vidal, José Miguel, de la Fuente, Mery, Alarcón, Manuel, Aroca, Germán, González-Rocha, Gerardo, Sossa, Katherine","Revista de biología marina y oceanografía; 50(2); 375-381","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300016&lang=pt" 
"S0718-19572015000300009-chl","Consumo de oxígeno en Perumytilus purpuratus según el parasitismo por Digenea, y efectos de la temperatura y del ciclo de emersión-inmersión sobre la liberación de cercarias","Castro-Rojas, Mauricio, Cid-Moya, Katherine, George-Nascimento, Mario","Revista de biología marina y oceanografía; 50(2); 315-321","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300009&lang=pt" 
"S0718-19572015000300008-chl","Macroinfauna en playas arenosas de la costa del Norte Grande de Chile sometidas a diferentes presiones antrópicas","Acuña, Emilio O, Jaramillo, Eduardo","Revista de biología marina y oceanografía; 50(2); 299-313","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300008&lang=pt" 
"S0718-19572015000300007-chl","Crecimiento, madurez y mortalidad del pez gallo, Callorhinchus callorynchus, en el Golfo San Matías, Patagonia norte, Argentina","Bernasconi, Juan, Cubillos, Luis, Acuña, Enzo, Perier, Raquel, Di Giácomo, Edgardo","Revista de biología marina y oceanografía; 50(2); 283-298","Revista de biología marina y oceanografía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300007&lang=pt" 
"S0718-19572015000300006-chl","Diatom species diversity in the diet of healthy and sick specimens of adult Haliotis fulgens and Haliotis corrugata","Siqueiros-Beltrones, David, Argumedo-Hernández, Uri, Vélez-Arellano, Nurenskaya, García-Domínguez, Federico Andrés","Revista de biología marina y oceanografía; 50(2); 271-281","Revista de biología marina y oceanografía","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300006&lang=pt" 
"S0718-19572015000300004-chl","Bycatch of the squat lobster Munida gregaria in bottom trawl fisheries in San Jorge Gulf, Argentina","Varisco, Martin, Vinuesa, Julio H, Góngora, María E","Revista de biología marina y oceanografía; 50(2); 249-259","Revista de biología marina y oceanografía","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300004&lang=pt" 
"S1516-31802015000400371-scl","Nimesulide-induced fatal acute liver failure in an elderly woman with metastatic biliary adenocarcinoma. A case report","Bernardes, Sara Santos, Souza-Nogueira, André, Moreira, Estefânia Gastaldello, Kishima, Marina Okuyama, Guembarovski, Alda Fiorina Maria Losi, Turini, Tercilio Luiz, Turini, Conceição Aparecida","Sao Paulo Medical Journal; 133(4); 371-376","Sao Paulo Medical Journal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802015000400371&lang=pt" 
"S0718-19572015000300001-chl","Annual, seasonal and daily variation in the abundance of the South American sea lion Otaria flavescens in two breeding colonies in northern Chile","Sepúlveda, Maritza, Santos, Macarena, Veas, Rodrigo, Muñoz, Lily, Olea, Danai, Moraga, Rodrigo, Sielfeld, Walter","Revista de biología marina y oceanografía; 50(2); 205-220","Revista de biología marina y oceanografía","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572015000300001&lang=pt" 
"S0100-67622015000400691-scl","INTENSIDADE DE QUEIMA DE DIFERENTES RETARDANTES DE FOGO","Fiedler, Nilton Cesar, Canzian, Weslen Pintor, Mafia, Reginaldo Gonçalves, Ribeiro, Guido Assunção, Krause Junior, Jair","Revista Árvore; 39(4); 691-696","Revista Árvore","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622015000400691&lang=pt" 
"S2014-98322015000500001-esp","Bienvenida a la reedición de Educación Médica","Gual, Arcadi, Nolla-Domenjó, Maria, Palés-Argullós, Jordi","FEM: Revista de la Fundación Educación Médica; 18(4); 225-227","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000500001&lang=pt" 
"S0100-67622015000400611-scl","CONJUGAÇÃO DOS MÉTODOS DA MATRIZ DE INTERAÇÃO E DO CHECK-LIST NA AVALIAÇÃO QUALI-QUANTITATIVA DE IMPACTOS AMBIENTAIS DE UM PROGRAMA DE FOMENTO FLORESTAL","Valdetaro, Erlon Barbosa, Silva, Elias, Silva, José de Castro, Jacovine, Laércio Antônio Gonçalves","Revista Árvore; 39(4); 611-622","Revista Árvore","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622015000400611&lang=pt" 
"S0100-67622015000400707-scl","MODELAGEM DA DISTRIBUIÇÃO DIAMÉTRICA DE POVOAMENTOS EQUIÂNEOS DE EUCALIPTO UTILIZANDO A FUNÇÃO LOGÍSTICA GENERALIZADA","Binoti, Daniel Henrique Breda, Binoti, Mayra Luiza Marques da Silva, Leite, Helio Garcia","Revista Árvore; 39(4); 707-711","Revista Árvore","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622015000400707&lang=pt" 
"S2236-34592015000200167-scl","O trato da gymnastica nas revistas médicas do Rio de Janeiro da primeira metade do século 19","Peres, Fabio de Faria, Melo, Victor Andrade de","História da Educação; 19(46); 167-185","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200167&lang=pt" 
"S2236-34592015000200243-scl","A Sciencia do Bom Homem Ricardo: um texto de leitura escolar no Brasil Imperial","Arriada, Eduardo, Tambara, Antonio Callegaro, Duarte, Sheila","História da Educação; 19(46); 243-259","História da Educação","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200243&lang=pt" 
"S2236-34592015000200145-scl","Felismina e libertina vão à escola: notas sobre a escolarização nas freguesias de Santa Rita e Santana (Rio de Janeiro, 1888-1906)","Schueler, Alessandra Frota Martinez de, Rizzini, Irma, Marques, Jucinato de Sequeira","História da Educação; 19(46); 145-165","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200145&lang=pt" 
"S2236-34592015000200223-scl","Escola politécnica de São Paulo: produção da memória e da identidade social dos engenheiros paulistas","Jr, Bruno Bontempi","História da Educação; 19(46); 223-242","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200223&lang=pt" 
"S2236-34592015000200041-scl","Meritocracia e os usos da repetência na escola primária pública francesa de 1850 ao início do século 20","Krop, Jérôme","História da Educação; 19(46); 41-52","História da Educação","Francês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200041&lang=pt" 
"S2236-34592015000200093-scl","Conhecimentos especializados sobre os problemas de rendimento escolar: um estudo de manuais de psicologia e da Revista de Educação","Lima, Ana Laura Godinho, Viviani, Luciana Maria","História da Educação; 19(46); 93-112","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200093&lang=pt" 
"S2236-34592015000200187-scl","Josep Goday e o mobiliário escolar espanhol na primeira metade do século 20","Sá, Jauri dos Santos","História da Educação; 19(46); 187-199","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200187&lang=pt" 
"S2236-34592015000200019-scl","O tempo, a idade e a permanência na escola: um estudo a partir dos livros de matrícula (Rio Grande do Sul, 1895-1919)","Gil, Natália de Lacerda, Hawat, Joseane El","História da Educação; 19(46); 19-40","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200019&lang=pt" 
"S2236-34592015000200053-scl","A invisibilidade dos problemas de percurso dos alunos: dos registros escolares à fabricação das estatísticas educacionais oficiais (Minas Gerais, 1907-1917)","Caldeira-Machado, Sandra Maria, Rocha, Fernanda Cristina Campos da","História da Educação; 19(46); 53-73","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200053&lang=pt" 
"S0185-33252015000400307-mex","Noticias e información","","Salud mental; 38(4); 307-307","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400307&lang=pt" 
"S2236-34592015000200201-scl","Escrevendo por sobre a terra: as fazendas-modelo em Minas Gerais (1906-1915)","Gonçalves, Irlen Antônio, Versieux, Daniela Pereira","História da Educação; 19(46); 201-222","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200201&lang=pt" 
"S2236-34592015000200015-scl","Um olhar histórico sobre o rendimento escolar, o percurso dos alunos e a repetência","Gil, Natália de Lacerda","História da Educação; 19(46); 15-17","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200015&lang=pt" 
"S2236-34592015000200113-scl","Un modelo educativo Sui G éneris: las escuelas de formación pre-militar y militar en España (1912-1936). Estudio particular de lo acontecido en las Islas Canarias","Ferraz-Lorenzo, Manuel, Alonso-Delgado, Víctor","História da Educação; 19(46); 113-130","História da Educação","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200113&lang=pt" 
"S2236-34592015000200007-scl","Apresentação","","História da Educação; 19(46); 7-14","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200007&lang=pt" 
"S2236-34592015000200261-scl","O mural do tempo: manuais escolares em Portugal","Costa, Rafaela Paiva","História da Educação; 19(46); 261-266","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200261&lang=pt" 
"S2236-34592015000200075-scl","A repetência e os serviços escolares da capital federal nos anos 1930","Paulilo, André Luiz","História da Educação; 19(46); 75-91","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200075&lang=pt" 
"S2236-34592015000200131-scl","Pela organização da escola e do ensino:o self-government de António Sérgio","Carvalho, Maria João de, Brás, José Viegas, Gonçalves, Maria Neves","História da Educação; 19(46); 131-144","História da Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592015000200131&lang=pt" 
"S0185-33252015000400287-mex","Validación al español del Self-Harm Questionnaire para detección de autolesionismo en adolescentes","García-Mijares, José Fernando, Alejo-Galarza, Gabriel de Jesús, Mayorga-Colunga, Samuel Rodolfo, Guerrero-Herrera, Luis Fernando, Ramírez-GarcíaLuna, José Luis","Salud mental; 38(4); 287-292","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400287&lang=pt" 
"S0185-33252015000400235-mex","La validación de instrumentos psicométricos: un asunto capital en la salud mental","Roncero, Carlos","Salud mental; 38(4); 235-236","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400235&lang=pt" 
"S0185-33252015000400281-mex","Three versions of the Short Alcohol Dependence Data Questionnaire (SADD) in Mexican population: a comparative analysis of psychometric properties and diagnostic accuracy","Pérez-López, Alejandro, Villalobos-Gallegos, Luis, Viveros Rodríguez, María del Carmen, Graue-Moreno, Javier, Marín-Navarrete, Rodrigo","Salud mental; 38(4); 281-286","Salud mental","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400281&lang=pt" 
"S0185-33252015000400293-mex","Estructura factorial del Cuestionario de Ansiedad Estado-Rasgo (STAI) para pacientes diagnosticados con depresión","Guillén-Riquelme, Alejandro, Buela-Casal, Gualberto","Salud mental; 38(4); 293-298","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400293&lang=pt" 
"S0185-33252015000400253-mex","Propiedades psicométricas de la Escala Hospitalaria de Ansiedad y Depresión (HADS) en una población de pacientes oncológicos mexicanos","Galindo Vázquez, Oscar, Benjet, Corina, Juárez García, Francisco, Rojas Castillo, Edith, Riveros Rosas, Angélica, Aguilar Ponce, José Luis, Álvarez Avitia, Miguel Ángel, Alvarado Aguilar, Salvador","Salud mental; 38(4); 253-258","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400253&lang=pt" 
"S0185-33252015000400259-mex","Desarrollo y validación de un instrumento para la evaluación de los subsistemas familiares de pacientes pediátricos hospitalizados por enfermedad crónica (eSisFam)","Rojas-Carrasco, Karmina Elena, Benjet, Corina, Robles García, Rebeca, Reidl Martínez, Lucy","Salud mental; 38(4); 259-271","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400259&lang=pt" 
"S0185-33252015000400245-mex","Confiabilidad y validez de la Escala de Déficit Atencional (EDAH) adaptada en estudiantes chilenos","Belmar Mellado, Marta, Holgado Tello, Francisco Pablo, Navas Martínez, Leandro, Vicente Parada, Benjamín","Salud mental; 38(4); 245-252","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400245&lang=pt" 
"S0185-33252015000400273-mex","Evaluación de la percepción de pacientes sobre el comportamiento de comunicación del personal de enfermería: diseño y validación en población mexicana","Müggenburg, Cristina, Robles, Rebeca, Valencia, Alejandra, Hernández Guillén, María del Carmen, Olvera, Sandra, Riveros Rosas, Angélica","Salud mental; 38(4); 273-280","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400273&lang=pt" 
"S0185-33252015000400237-mex","Adaptation of the BDI-II in Mexico","González, David Andrés, Reséndiz Rodríguez, Areli, Reyes-Lagunes, Isabel","Salud mental; 38(4); 237-244","Salud mental","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400237&lang=pt" 
"S0185-33252015000400299-mex","Reward and aversion systems of the brain as a functional unit. Basic mechanisms and functions","Michel-Chávez, Anaclara, Estañol-Vidal, Bruno, Sentíes-Madrid, Horacio, Chiquete, Erwin, Delgado, Guillermo R., Castillo-Maya, Guillermina","Salud mental; 38(4); 299-305","Salud mental","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000400299&lang=pt" 
"S0034-72802015000400201-scl","Triancinolona no tratamento da retinopatia diabética","Maia Júnior, Otacílio de Oliveira","Revista Brasileira de Oftalmologia; 74(4); 201-202","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400201&lang=pt" 
"S0034-72802015000400254-scl","Perda visual irreversível após uso de paclitaxel","Amigo, Maria Helena Lopes, Falabella, Paulo, Bettarello, Ângela, Ghirelli, Wagner","Revista Brasileira de Oftalmologia; 74(4); 254-256","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400254&lang=pt" 
"S0034-72802015000400241-scl","Retinosquise juvenil ligada ao X","Silveira, Cesar Gomes da, Soares, Gabriela Hertz, Provenzano, Jacqueline","Revista Brasileira de Oftalmologia; 74(4); 241-243","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400241&lang=pt" 
"S0034-72802015000400248-scl","Tumoração retro-orbitária sugestiva de meningocele da bainha do nervo óptico","Chaves, Michelle Rodrigues Gonçalves Dias, Queiroga, Isabella Bezerra Wanderley de, Chaves, Mario Augusto Pereira Dias, Gadelha, Fernando Melo, Vieira, Debora Apolônio","Revista Brasileira de Oftalmologia; 74(4); 248-250","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400248&lang=pt" 
"S0034-72802015000400251-scl","Granuloma macular por tuberculose sem manifestação pulmonar","Rebello, Albert Costa, Sousa, João Helio Leonardo de, Sá, José Gilberto de, Rebello, Karime Kalif de Sousa","Revista Brasileira de Oftalmologia; 74(4); 251-253","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400251&lang=pt" 
