"S0042-96862008000800030-spa","Integrating cervical cancer prevention in HIV/AIDS treatment and care programmes","Mwanahamuntu, Mulindi H, Sahasrabuddhe, Vikrant V, Stringer, Jeffrey SA, Parham, Groesbeck P","Bulletin of the World Health Organization; 86(8); D-E","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800030&lang=pt" 
"S0042-96862008000800004-spa","Drug donations: what lies beneath","Pinheiro, Cristina P","Bulletin of the World Health Organization; 86(8); 580A-580A","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800004&lang=pt" 
"S0042-96862008000800002-spa","The contribution of ethics to public health","Coleman, Carl H, Bouësseau, Marie-Charlotte, Reis, Andreas","Bulletin of the World Health Organization; 86(8); 578A-578A","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800002&lang=pt" 
"S0042-96862008000800014-spa","Demographic and health surveillance: longitudinal ethical considerations","Carrel, Margaret, Rennie, Stuart","Bulletin of the World Health Organization; 86(8); 612-616","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800014&lang=pt" 
"S0042-96862008000800027-spa","Estimation of global visual impairment due to uncorrected refractive error","Dandona, Lalit, Dandona, Rakhi","Bulletin of the World Health Organization; 86(8); B-C","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800027&lang=pt" 
"S0042-96862008000800032-spa","Corrigendum","","Bulletin of the World Health Organization; 86(8); 656-656","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800032&lang=pt" 
"S0042-96862008000800017-spa","National bioethical legislation and guidelines for biomedical research in the Islamic Republic of Iran","Zahedi, Farzaneh, Larijani, Bagher","Bulletin of the World Health Organization; 86(8); 630-634","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800017&lang=pt" 
"S0021-75572008000400011-scl","Comparação entre distribuições de referência para a classificação do estado nutricional de crianças e adolescentes com síndrome de Down","Lopes, Taís de S., Ferreira, Daniele M., Pereira, Rosangela A., Veiga, Gloria V. da, Marins, Vania M. R. de","Jornal de Pediatria; 84(4); 350-356","Jornal de Pediatria","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572008000400011&lang=pt" 
"S0074-02762008000500003-scl","Urban transmission of Chagas disease in Cochabamba, Bolivia","Medrano-Mercado, N, Ugarte-Fernandez, R, Butrón, V, Uber-Busek, S, Guerra, HL, Araújo-Jorge, Tania C de, Correa-Oliveira, R","Memórias do Instituto Oswaldo Cruz; 103(5); 423-430","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500003&lang=pt" 
"S0074-02762008000500004-scl","Trypanocidal constituents in plants: 7. Mammea-type coumarins","Reyes-Chilpa, Ricardo, Estrada-Muñiz, Elizabeth, Vega-Avila, Elisa, Abe, Fumiko, Kinjo, Junei, Hernández-Ortega, Simón","Memórias do Instituto Oswaldo Cruz; 103(5); 431-436","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500004&lang=pt" 
"S0074-02762008000500005-scl","Anti-HSV-1 and anti-HIV-1 activity of gallic acid and pentyl gallate","Kratz, Jadel Müller, Andrighetti-Fröhner, Carla Regina, Kolling, Deise Juliana, Leal, Paulo César, Cirne-Santos, Cláudio César, Yunes, Rosendo Augusto, Nunes, Ricardo José, Trybala, Edward, Bergström, Tomas, Frugulhetti, Izabel CPP, Barardi, Célia Regina Monte, Simões, Cláudia Maria Oliveira","Memórias do Instituto Oswaldo Cruz; 103(5); 437-442","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500005&lang=pt" 
"S0074-02762008000500008-scl","Regional pattern of the molecular types of Cryptococcus neoformans and Cryptococcus gattii in Brazil","Trilles, Luciana, Lazéra, Márcia dos Santos, Wanke, Bodo, Oliveira, Raquel Vasconcelos, Barbosa, Gláucia Gonçalves, Nishikawa, Marília Martins, Morales, Bernardina Penarrieta, Meyer, Wieland","Memórias do Instituto Oswaldo Cruz; 103(5); 455-462","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500008&lang=pt" 
"S0074-02762008000500009-scl","Performance of indirect immunofluorescence assay, immunochromatography assay and reverse transcription-polymerase chain reaction for detecting human respiratory syncytial virus in nasopharyngeal aspirate samples","Vaz-de-Lima, LRA, Souza, MCO, Matsumoto, TK, Hong, MA, Salgado, MM, Barbosa, ML, Sato, NS, Requejo, HI, Oliveira, CAF, Pecchini, R, Berezin, E, Passos, SD, Schvartsman, C, Pasmanick, A, Durigon, EL, Ueda, M","Memórias do Instituto Oswaldo Cruz; 103(5); 463-467","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500009&lang=pt" 
"S0074-02762008000500010-scl","Leptoconops nosopheris sp. n. (Diptera: Ceratopogonidae) and Paleotrypanosoma burmanicus gen. n., sp. n. (Kinetoplastida: Trypanosomatidae), a biting midge - trypanosome vector association from the Early Cretaceous","Poinar Jr., George","Memórias do Instituto Oswaldo Cruz; 103(5); 468-471","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500010&lang=pt" 
"S0074-02762008000500011-scl","Epidemiological aspects of hepatitis C virus infection among renal transplant recipients in Central Brazil","Botelho, Sílvia M, Ferreira, Renata C, Reis, Nádia RS, Kozlowski, Aline G, Carneiro, Megmar AS, Teles, Sheila A, Yoshida, Clara FT, Martins, Regina MB","Memórias do Instituto Oswaldo Cruz; 103(5); 472-476","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500011&lang=pt" 
"S0074-02762008000500013-scl","Evidence for the co-circulation of dengue virus type 3 genotypes III and V in the Northern region of Brazil during the 2002-2004 epidemics","Nogueira, Meri Bordignon, Stella, Vanessa, Bordignon, Juliano, Batista, Weber Cheli, Borba, Luana de, Silva, Luis Hildebrando Pereira da, Hoffmann, Federico Guillermo, Probst, Christian Macagnan, Santos, Claudia Nunes Duarte dos","Memórias do Instituto Oswaldo Cruz; 103(5); 483-488","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500013&lang=pt" 
"S0074-02762008000500006-scl","Brazilian flora extracts as source of novel antileishmanial and antifungal compounds","Tempone, André Gustavo, Sartorelli, Patrícia, Teixeira, Denise, Prado, Frederico O, Calixto, Ivete ARL, Lorenzi, Harri, Melhem, Márcia SC","Memórias do Instituto Oswaldo Cruz; 103(5); 443-449","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500006&lang=pt" 
"S0074-02762008000500012-scl","Seasonality of Lutzomyia fairtigi (Diptera: Psychodidae: Phlebotominae), a species endemic to Eastern Colombia","Molina, Jorge Alberto, Ortiz, Mario Iván, Guhl, Felipe","Memórias do Instituto Oswaldo Cruz; 103(5); 477-482","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500012&lang=pt" 
"S0074-02762008000500014-scl","Mycobacterium tuberculosis strains of the Beijing genotype are rarely observed in tuberculosis patients in South America","Ritacco, Viviana, López, Beatriz, Cafrune, Patricia I, Ferrazoli, Lucilaine, Suffys, Philip N, Candia, Norma, Vásquez, Lucy, Realpe, Teresa, Fernández, Jorge, Lima, Karla V, Zurita, Jeannete, Robledo, Jaime, Rossetti, Maria L, Kritski, Afranio L, Telles, Maria A, Palomino, Juan C, Heersma, Herre, van Soolingen, Dick, Kremer, Kristin, Barrera, Lucía","Memórias do Instituto Oswaldo Cruz; 103(5); 489-492","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000500014&lang=pt" 
"S0100-39842008000400003-scl","Avaliação pós-operatória do tratamento endovascular de aneurismas da aorta abdominal por angiotomografia com multidetectores","Thomaz, Fabiana Barroso, Lopez, Gaudencio Espinosa, Marchiori, Edson, Magalhães, Fabio Vargas, Magalhães, Isabela Ferreira de, Kuroki, Iugiro Roberto, Caramalho, Mônica Ferreira, Domingues, Romeu Côrtes","Radiologia Brasileira; 41(4); 213-217","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400003&lang=pt" 
"S0100-39842008000400004-scl","Quantificação do fluxo portal em indivíduos sadios: comparação entre ressonância magnética e ultra-som Doppler","Costa, Juliana Dantas da, Leão, Alberto Ribeiro de Souza, Santos, José Eduardo Mourão, Moulin, Danilo Sales, Sebastianes, Patrícia Moreno, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 41(4); 219-224","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400004&lang=pt" 
"S0100-39842008000400005-scl","Achados da tomografia computadorizada em metástases pancreáticas do carcinoma de células renais","Prando, Adilson","Radiologia Brasileira; 41(4); 225-228","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400005&lang=pt" 
"S0100-39842008000400006-scl","Determinação radiológica do índice e do tamanho craniano por mensuração dos diâmetros cranianos em uma população infantil brasileira","Pereira, Inês Minniti Rodrigues, Barros Filho, Antônio de Azevedo, Alvares, Beatriz Regina, Palomari, Evanisi Teresa, Nanni, Lívio","Radiologia Brasileira; 41(4); 229-234","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400006&lang=pt" 
"S0100-39842008000400007-scl","Avaliação biométrica do colo uterino durante a gestação por meio da ultra-sonografia transvaginal e ressonância magnética","Brandão, Rosieny Souza, Pires, Claudio Rodrigues, Souza, Eduardo de, Maciel Junior, Francisco da Silva, Moron, Antonio Fernandes, Mattar, Rosiane","Radiologia Brasileira; 41(4); 235-239","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400007&lang=pt" 
"S0100-39842008000400008-scl","Biomecânica ultra-sonográfica da deglutição: estudo preliminar","Lynch, Cinthya da Silva, Chammas, Maria Cristina, Mansur, Letícia Lessa, Cerri, Giovanni Guido","Radiologia Brasileira; 41(4); 241-244","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400008&lang=pt" 
"S0100-39842008000400009-scl","Análise radiográfica da coluna cervical em indivíduos assintomáticos submetidos a tração manual","Souza, Roger Burgo de, Lavado, Edson Lopes, Medola, Fausto Orsi, Blanco, Dirceu Henrique, Blanco, João Henrique","Radiologia Brasileira; 41(4); 245-249","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400009&lang=pt" 
"S0100-39842008000400012-scl","Estudo da densidade mineral óssea em pacientes com lúpus eritematoso sistêmico antes e após uso de glicocorticóides","Amarante, Fernanda do, Souza, Simara Santos de, Borges, Volnei, Feldman, Carlos Jader","Radiologia Brasileira; 41(4); 259-262","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400012&lang=pt" 
"S0100-39842008000400013-scl","Complicações do uso intravenoso de agentes de contraste à base de gadolínio para ressonância magnética","Elias Junior, Jorge, Santos, Antonio Carlos dos, Koenigkam-Santos, Marcel, Nogueira-Barbosa, Marcello Henrique, Muglia, Valdair Francisco","Radiologia Brasileira; 41(4); 263-267","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400013&lang=pt" 
"S0100-39842008000400014-scl","Mediastinite aguda: aspectos de imagem pós-cirurgias cardíacas na tomografia computadorizada de multidetectores","Macedo, Clarissa Aguiar de, Baena, Marcos Eduardo da Silva, Uezumi, Kiyomi Kato, Castro, Cláudio Campi de, Lucarelli, Cláudio Luiz, Cerri, Giovanni Guido","Radiologia Brasileira; 41(4); 269-273","Radiologia Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842008000400014&lang=pt" 
"S0034-71672008000400002-scl","Os direitos dos usuários da saúde em casos de infecção hospitalar","Sousa, Cristina Maria Miranda de, Alves, Maria do Socorro da Costa Feitosa, Moura, Maria Eliete Batista, Silva, Antonia Oliveira","Revista Brasileira de Enfermagem; 61(4); 411-417","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400002&lang=pt" 
"S0034-71672008000400005-scl","Representações sociais sobre o cuidar do doente mental no domicílio","Silva, Marcela Bruno de Carvalho, Sadigursky, Dora","Revista Brasileira de Enfermagem; 61(4); 428-434","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400005&lang=pt" 
"S0034-71672008000400007-scl","As representações sociais da infecção hospitalar elaboradas por profissionais de enfermagem","Santos, Ana Maria Ribeiro dos, Cabral, Luciane dos Anjos Formiga, Brito, David Soares, Madeira, Maria Zélia de Araújo, Silva, Maria Enoia Dantas da Costa e, Martins, Maria do Carmo de Carvalho e","Revista Brasileira de Enfermagem; 61(4); 441-446","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400007&lang=pt" 
"S0034-71672008000400008-scl","A prática de ensinar: dialogando com as professoras de enfermagem","Madeira, Maria Zélia de Araújo, Lima, Maria da Glória Soares Barbosa","Revista Brasileira de Enfermagem; 61(4); 447-453","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400008&lang=pt" 
"S0034-71672008000400011-scl","Diagnósticos de enfermagem do idoso acamado no domicílio","Figueiredo, Maria do Livramento Fortes, Luz, Maria Helena Barros Araújo, Brito, Cleidiane Maria Sales de, Sousa, Suéli Nolêto Silva, Silva, Dâmaris Rebeca Soares da","Revista Brasileira de Enfermagem; 61(4); 464-469","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400011&lang=pt" 
"S0034-71672008000400013-scl","Prática profissional e metodologia assistencial dos enfermeiros em hospital filantrópico","Moura, Ana Carolina Floriano, Rabêlo, Cristiane Borges de Moura, Sampaio, Maria do Rozário de Fátima Borges","Revista Brasileira de Enfermagem; 61(4); 476-481","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400013&lang=pt" 
"S0034-71672008000400014-scl","Radioterapia: percepção de mulheres com câncer cérvico-uterino","Almeida, Lúcia Helena Rios Barbosa de, Pereira, Yarla Brena Araújo de Sousa, Oliveira, Thais Alexandre de","Revista Brasileira de Enfermagem; 61(4); 482-487","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400014&lang=pt" 
"S0034-71672008000400016-scl","Atendimentos de emergência por violência em serviços públicos de Teresina, PI","Mascarenhas, Márcio Dênis Medeiros, Pedrosa, Ana Amélia Galas","Revista Brasileira de Enfermagem; 61(4); 493-499","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400016&lang=pt" 
"S0034-71672008000400018-scl","Convivendo com o portador de Alzheimer: perspectivas do familiar cuidador","Freitas, Iara Cristina Carvalho, Paula, Kelvia Coelho Campos de, Soares, Juliana Lima, Parente, Adriana da Cunha Menezes","Revista Brasileira de Enfermagem; 61(4); 508-513","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400018&lang=pt" 
"S1519-70772008000200003-scl","Custeio-alvo em serviços hospitalares um estudo sob o enfoque da gestão estratégica de custos","Camacho, Reinaldo Rodrigues, Rocha, Welington","Revista Contabilidade &amp; Finanças; 19(47); 19-30","Revista Contabilidade &amp; Finanças","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200003&lang=pt" 
"S1519-70772008000200004-scl","Análise empírica de modelos de valuation no ambiente brasileiro: fluxo de caixa descontado versus modelo de Ohlson (RIV)","Galdi, Fernando Caio, Teixeira, Aridelmo José Campanharo, Lopes, Alexsandro Broedel","Revista Contabilidade &amp; Finanças; 19(47); 31-43","Revista Contabilidade &amp; Finanças","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200004&lang=pt" 
"S1519-70772008000200005-scl","Os impactos da resolução n. 2.682 e dos programas de reestruturação do Sistema Financeiro Nacional no nível de provisionamento da carteira de crédito do setor bancário","Fernandes, Dimas Tadeu Madeira, Ponte, Vera Maria Rodrigues, Moura, Heber José de, Luca, Márcia Martins Mendes de, Oliveira, Marcelle Colares","Revista Contabilidade &amp; Finanças; 19(47); 44-55","Revista Contabilidade &amp; Finanças","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200005&lang=pt" 
"S1519-70772008000200007-scl","Heurística para a composição de referencial teórico","Aquino, André Carlos Busanelli de, Pagliarussi, Marcelo Sanches, Bitti, Eugênio José Silva","Revista Contabilidade &amp; Finanças; 19(47); 73-88","Revista Contabilidade &amp; Finanças","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200007&lang=pt" 
"S1519-70772008000200008-scl","Responsabilidade social e investimento social privado: entre o discurso e a evidenciação","Milani Filho, Marco Antonio Figueiredo","Revista Contabilidade &amp; Finanças; 19(47); 89-101","Revista Contabilidade &amp; Finanças","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200008&lang=pt" 
"S1519-70772008000200009-scl","Evidencia de las diferencias de expectativas en auditoria en mercados bursátiles de reducida dimensión: el caso Portugués","Almeida, Bruno José Machado de, Colomina, Clara Isabel Muñoz","Revista Contabilidade &amp; Finanças; 19(47); 102-111","Revista Contabilidade &amp; Finanças","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200009&lang=pt" 
"S1519-70772008000200010-scl","Contabilização de títulos e valores mobiliários: uma comparação entre as normas brasileiras, do FASB e do IASB","Fuji, Alceu Haruo","Revista Contabilidade &amp; Finanças; 19(47); 112-123","Revista Contabilidade &amp; Finanças","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772008000200010&lang=pt" 
"S0034-71672008000400003-scl","Representações sociais das infecções hospitalares elaboradas pelos profissionais de saúde","Moura, Maria Eliete Batista, Tapety, Fabrício Ibiapina, Carvalho, Carmen Milena Rodrigues S., Oliveira, José Nazareno Pierce de, Matos, Francisca Tereza Coelho, Moura, Luana Kelle Batista","Revista Brasileira de Enfermagem; 61(4); 418-422","Revista Brasileira de Enfermagem","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672008000400003&lang=pt" 
