"S0100-40422003000500014-scl","Híbridos inorgânico-orgânicos derivados da reação de filossicatos com organossilanos","Fonseca, Maria Gardênnia da, Airoldi, Claudio","Química Nova; 26(5); 699-707","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500014&lang=pt" 
"S0100-69912003000500014-scl","Cisto de duplicação gástrica com parênquima pancreático ectópico em adulto assintomático","Sena, Kanthya Arreguy de, Rabelo, Guilherme Durães, Albuquerque, Walton","Revista do Colégio Brasileiro de Cirurgiões; 30(5); 402-404","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000500014&lang=pt" 
"S0100-69912003000500001-scl","Pós-graduação em cirurgia: onde chegamos e para onde caminhados","Refinetti, Ricardo Antonio","Revista do Colégio Brasileiro de Cirurgiões; 30(5); 328-329","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000500001&lang=pt" 
"S0100-69912003000500013-scl","Neurofibrossarcoma retroperitoneal primário","Oliveira, Michelle Lucinda Gonçalves de, Lopes Filho, Gaspar de Jesus","Revista do Colégio Brasileiro de Cirurgiões; 30(5); 399-401","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000500013&lang=pt" 
"S0100-69912003000500012-scl","Doença de castleman simulando neoplasia pancreática","Albuquerque, Antonio Cavalcanti de, Silva Junior, Orlando Enedino da, Ferraz, Álvaro Antônio Bandeira","Revista do Colégio Brasileiro de Cirurgiões; 30(5); 396-398","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000500012&lang=pt" 
"S0100-69912003000500008-scl","Ferimentos cervicais: análise retrospectiva de 191 casos","Bahten, Luiz Carlos Von, Duda, João Ricardo, Zanatta, Patrícia Danielle Schultz, Morais, Andrei Leite de, Silveira, Fábio, Olandoski, Márcia","Revista do Colégio Brasileiro de Cirurgiões; 30(5); 374-381","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000500008&lang=pt" 
"S0100-69912003000500009-scl","Esplenectomia laparoscópica nas doenças hematológicas","Melo-Filho, Antônio Aldo, Miranda, Márcio Lopes, Oliveira-Filho, Antônio Gonçalves de, Pinheiro, Vitória Régia, Brandalise, Nelson Ari, Bustorff-Silva, Joaquim Murray","Revista do Colégio Brasileiro de Cirurgiões; 30(5); 382-387","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000500009&lang=pt" 
"S0870-82312003000400008-prt","Género e antecipação de comportamento político: um estudo em contexto organizacional","Rodrigues, Fátima","Análise Psicológica; 21(4); 499-518","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400008&lang=pt" 
"S0870-82312003000400001-prt","Qualidade da vinculação e desenvolvimento sócio-cognitivo","Veríssimo, Manuela, Monteiro, Lígia, Vaughn, Brian E., Santos, António J.","Análise Psicológica; 21(4); 419-430","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400001&lang=pt" 
"S0870-82312003000400002-prt","Estudo de validação de uma escala de auto-conceito físico para homens jovens adultos","Pais-Ribeiro, José L., Ribeiro, Luísa","Análise Psicológica; 21(4); 431-439","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400002&lang=pt" 
"S0870-82312003000400003-prt","Estudo de uma escala de crenças e de estratégias de coping através do lazer","Santos, Luísa R., Ribeiro, J. Pais, Guimarães, Laura","Análise Psicológica; 21(4); 441-451","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400003&lang=pt" 
"S0870-82312003000400004-prt","De Dido a Dédalo: reflexões sobre o Mito do Suicídio Romântico na Adolescência","Frazão, Pedro","Análise Psicológica; 21(4); 453-464","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400004&lang=pt" 
"S0870-82312003000400005-prt","Risco de suicídio em condutores adolescentes","Mendes, Ricardo, Vieira, Manuela, Horta, Mário, Oliveira, Rui Aragão","Análise Psicológica; 21(4); 465-474","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400005&lang=pt" 
"S0870-82312003000400006-prt","Atitudes e estratégias de aprendizagem em estudantes do Ensino Superior: estudo na Universidade dos Açores","Tavares, José, Bessa, José, S. Almeida, Leandro, Medeiros, Maria Teresa, Peixoto, Ermelindo, Ferreira, Joaquim Armando","Análise Psicológica; 21(4); 475-484","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400006&lang=pt" 
"S0870-82312003000400007-prt","A ética do cuidado na intervenção comunitária e social: os pressupostos filosóficos","Perdigão, Antónia Cristina","Análise Psicológica; 21(4); 485-497","Análise Psicológica","Português","2003","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312003000400007&lang=pt" 
"S0021-75572003000500001-scl","Os usos inadequados e os efeitos adversos de medicamentos na prática clínica","Wong, Anthony","Jornal de Pediatria; 79(5); 379-380","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500001&lang=pt" 
"S0021-75572003000500015-scl","Tabaquismo durante la adolescencia temprana: estudio en escolares argentinos","Bolzán, Andrés, Peleteiro, Rafael","Jornal de Pediatria; 79(5); 461-466","Jornal de Pediatria","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500015&lang=pt" 
"S0104-66322003000400001-scl","Preface","Loureiro, Luiz Valcov, Nascimento, Claudio Augusto Oller do, Nóbrega, Ronaldo","Brazilian Journal of Chemical Engineering; 20(4); III-V","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400001&lang=pt" 
"S0104-66322003000400003-scl","Performance of a pulsed-cap microcolumn for protein extraction","Rabelo, A.P.B., Tambourgi, E.B.","Brazilian Journal of Chemical Engineering; 20(4); 357-362","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400003&lang=pt" 
"S0104-66322003000400004-scl","The effects of geometry and operational conditions on gas holdup, liquid circulation and mass transfer in an airlift reactor","Gouveia, E.R., Hokka, C.O., Badino-Jr, A.C.","Brazilian Journal of Chemical Engineering; 20(4); 363-374","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400004&lang=pt" 
"S0104-66322003000400010-scl","Analysis of the efficiency of a cloth cyclone: the effect of the permeability of the filtering medium","Rodrigues, M.V., Arouca, F.O., Barrozo, M.A.S., Damasceno, J.J.R.","Brazilian Journal of Chemical Engineering; 20(4); 435-443","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400010&lang=pt" 
"S0104-66322003000400009-scl","Development of a vibrofluidized bed and fluid-dynamic study with dry and wet adipic acid","Silva-Moris, V.A., Rocha, S.C.S.","Brazilian Journal of Chemical Engineering; 20(4); 423-434","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400009&lang=pt" 
"S0104-66322003000400002-scl","Immobilization and catalytic properties of lipase on chitosan for hydrolysis and esterification reactions","Pereira, E.B., Zanin, G.M., Castro, H.F.","Brazilian Journal of Chemical Engineering; 20(4); 343-355","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400002&lang=pt" 
"S0104-66322003000400005-scl","Experimental analysis and evaluation of the mass transfer process in a trickle-bed reactor","Silva, J.D., Lima, F.R.A., Abreu, C.A.M., Knoechelmann, A.","Brazilian Journal of Chemical Engineering; 20(4); 375-390","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400005&lang=pt" 
"S0104-66322003000400006-scl","The three-dimensional numerical aerodynamics of a movable block burner","Fudihara, T.J., Goldstein Jr., L., Mori, M.","Brazilian Journal of Chemical Engineering; 20(4); 391-401","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400006&lang=pt" 
"S0104-66322003000400007-scl","Photocatalytic inactivation of Clostridium perfringens and coliphages in water","Guimarães, J.R., Barretto, A.S.","Brazilian Journal of Chemical Engineering; 20(4); 403-411","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400007&lang=pt" 
"S0104-66322003000400008-scl","Binary ion exchange of metal ions in Y and X zeolites","Barros, M.A.S.D., Zola, A.S., Arroyo, P.A., Sousa-Aguiar, E.F., Tavares, C.R.G.","Brazilian Journal of Chemical Engineering; 20(4); 413-421","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400008&lang=pt" 
"S0104-66322003000400011-scl","The modelling of a textile dyeing process utilizing the method of volume averaging","Souza, A.A.Ulson de, Whitaker, S.","Brazilian Journal of Chemical Engineering; 20(4); 445-453","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400011&lang=pt" 
"S0104-66322003000400012-scl","Friction losses in valves and fittings for power-law fluids","Polizelli, M.A., Menegalli, F.C., Telis, V.R.N., Telis-Romero, J.","Brazilian Journal of Chemical Engineering; 20(4); 455-463","Brazilian Journal of Chemical Engineering","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322003000400012&lang=pt" 
"S0021-75572003000500006-scl","Identificação de medicamentos &quot;não apropriados para crianças&quot; em prescrições de unidade de tratamento intensivo pediátrica","Carvalho, Paulo R.A., Carvalho, Clarissa G., Alievi, Patrícia T., Martinbiancho, Jaqueline, Trotta, Eliana A.","Jornal de Pediatria; 79(5); 397-402","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500006&lang=pt" 
"S1020-49892003000900008-spa","Encuesta sobre el ejercicio en niños residentes de Estados Unidos","","Revista Panamericana de Salud Pública; 14(4); 273-273","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900008&lang=pt" 
"S1020-49892003000900001-spa","Cambios acelerados del estilo de vida obligan a fomentar la actividad física como prioridad en la Región de las Américas","Jacoby, Enrique, Bull, Fiona, Neiman, Andrea","Revista Panamericana de Salud Pública; 14(4); 223-225","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900001&lang=pt" 
"S1020-49892003000900002-spa","Rapid changes in lifestyle make increased physical activity a priority for the Americas","Jacoby, Enrique, Bull, Fiona, Neiman, Andrea","Revista Panamericana de Salud Pública; 14(4); 226-228","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900002&lang=pt" 
"S1020-49892003000900016-spa","Informe sobre la actividad física en horas libres y en horas de trabajo en la población estadounidense","","Revista Panamericana de Salud Pública; 14(4); 289-292","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900016&lang=pt" 
"S1020-49892003000900014-spa","The first &quot;Award to Active Cities Contest&quot; for the Region of the Americas","Neiman, Andrea B., Jacoby, Enrique R.","Revista Panamericana de Salud Pública; 14(4); 277-280","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900014&lang=pt" 
"S1020-49892003000900017-spa","Employers in the United States promote healthy lifestyles in order to reduce health care expenditures","","Revista Panamericana de Salud Pública; 14(4); 293-295","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900017&lang=pt" 
"S1020-49892003000900013-spa","¿Puede la actividad física reducir el riesgo de accidentes cerebrovasculares?","","Revista Panamericana de Salud Pública; 14(4); 276-276","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900013&lang=pt" 
"S1020-49892003000900009-spa","Conexión entre la obesidad crónica en niños y la conducta rebelde","","Revista Panamericana de Salud Pública; 14(4); 273-274","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900009&lang=pt" 
"S1020-49892003000900012-spa","La actividad física y su efecto exclusivo sobre el riesgo de obesidad y diabetes","","Revista Panamericana de Salud Pública; 14(4); 275-276","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900012&lang=pt" 
"S1020-49892003000900010-spa","Caminar mejora la tolerancia a la glucosa en mujeres con sobrepeso","","Revista Panamericana de Salud Pública; 14(4); 274-275","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900010&lang=pt" 
"S1020-49892003000900003-spa","Efecto de la actividad física controlada sobre la composición corporal de mujeres sedentarias posmenopáusicas","Calle, María Teresa Restrepo, Peña, Alcira Monroy de, Giraldo, Jaime Pérez, Echeverri, María Cristina Velásquez","Revista Panamericana de Salud Pública; 14(4); 229-234","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900003&lang=pt" 
"S1020-49892003000900004-spa","Factores asociados con la actividad física en mujeres mexicanas en edad reproductiva","Hernández, Bernardo, Haene, Jessica de, Barquera, Simón, Monterrubio, Eric, Rivera, Juan, Shamah, Teresa, Sepúlveda, Jaime, Haas, Jere, Campirano, Fabricio","Revista Panamericana de Salud Pública; 14(4); 235-245","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900004&lang=pt" 
"S1020-49892003000900005-spa","A descriptive epidemiology of leisure-time physical activity in Brazil, 1996-1997","Monteiro, Carlos A., Conde, Wolney L., Matsudo, Sandra M., Matsudo, Victor R., Bonseñor, Isabela M., Lotufo, Paulo A.","Revista Panamericana de Salud Pública; 14(4); 246-254","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900005&lang=pt" 
"S1020-49892003000900006-spa","Factores sociodemográficos y ambientales asociados con la actividad física deportiva en la población urbana del Perú","Seclén-Palacín, Juan A., Jacoby, Enrique R.","Revista Panamericana de Salud Pública; 14(4); 255-264","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900006&lang=pt" 
"S1020-49892003000900007-spa","The Agita São Paulo Program as a model for using physical activity to promote health","Matsudo, Sandra Mahecha, Matsudo, Victor Rodrigues, Araujo, Timoteo Leandro, Andrade, Douglas Roque, Andrade, Erinaldo Luiz, Oliveira, Luis Carlos de, Braggion, Glaucia Figueiredo","Revista Panamericana de Salud Pública; 14(4); 265-272","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900007&lang=pt" 
"S1020-49892003000900015-spa","Promoción de salud y actividad física en Chile: política prioritaria","Salinas, Judith, Vio, Fernando","Revista Panamericana de Salud Pública; 14(4); 281-288","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900015&lang=pt" 
"S1020-49892003000900011-spa","¿Puede el ejercicio en la edad madura prevenir o reducir la discapacidad?","","Revista Panamericana de Salud Pública; 14(4); 275-275","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000900011&lang=pt" 
"S0104-93132003000200013-scl","","Souza, Marcela Coelho de","Mana; 9(2); 217-222","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200013&lang=pt" 
"S0104-93132003000200011-scl","O uso ritual da ayahuasca","Tromboni, Marco","Mana; 9(2); 211-215","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200011&lang=pt" 
"S0104-93132003000200010-scl","Cerâmica arqueológica da Amazônia: vasilhas da Coleção Tapajônica MAE-USP","Noelli, Francisco Silva","Mana; 9(2); 209-211","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200010&lang=pt" 
"S0104-93132003000200012-scl","Qual prevenção? Aids, sexualidade e gênero em uma favela carioca","Rodrigues, José Carlos","Mana; 9(2); 215-217","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200012&lang=pt" 
"S0104-93132003000200009-scl","Fixar o movimento: representações da música rap em Portugal","Llera Blanes, Ruy","Mana; 9(2); 206-209","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200009&lang=pt" 
"S0104-93132003000200008-scl","","Villar, Diego","Mana; 9(2); 204-206","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200008&lang=pt" 
"S0104-93132003000200006-scl","Poder e resistência: um ensaio sobre a dimensão conceitual do &quot;Império&quot;","Goldman, Marcio","Mana; 9(2); 183-200","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200006&lang=pt" 
"S0104-93132003000200007-scl","","Lagrou, Els","Mana; 9(2); 201-203","Mana","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132003000200007&lang=pt" 
"S0021-75572003000500004-scl","Alegações maternas para o desmame: estudo qualitativo","Ramos, Carmen V., Almeida, João A.G.","Jornal de Pediatria; 79(5); 385-390","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500004&lang=pt" 
"S0021-75572003000500005-scl","Impacto das otites médias na aquisição da linguagem em crianças","Balbani, Aracy P.S., Montovani, Jair C.","Jornal de Pediatria; 79(5); 391-396","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500005&lang=pt" 
"S0021-75572003000500007-scl","Inalador dosimetrado com espaçador artesanal versus nebulizador no tratamento da crise de sibilância na criança","Vilarinho, Liana Consuelo Santana, Mendes, Carlos Maurício Cardeal, Souza, Leda Solano de Freitas","Jornal de Pediatria; 79(5); 403-412","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500007&lang=pt" 
"S0021-75572003000500008-scl","Análise clínica e epidemiológica do transplante de medula óssea em um serviço de oncologia pediátrica","Castro Jr., Cláudio Galvão de, Gregianin, Lauro José, Brunetto, Algemir Lunardi","Jornal de Pediatria; 79(5); 413-422","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500008&lang=pt" 
"S0021-75572003000500011-scl","Características clínicas e da saturação transcutânea de oxigênio em lactentes hospitalizados com bronquiolite viral aguda","Rubin, Fernanda M., Fischer, Gilberto B.","Jornal de Pediatria; 79(5); 435-442","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500011&lang=pt" 
"S0021-75572003000500012-scl","Padrão de celularidade nas vias aéreas superiores de lactentes com bronquiolite aguda: neutrófilos ou eosinófilos?","Pitrez, Paulo M.C., Pinto, Leonardo A., Machado, Denise C., Tsukazan, Maria T., Jones, Marcus H., Stein, Renato T.","Jornal de Pediatria; 79(5); 443-448","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500012&lang=pt" 
"S0021-75572003000500013-scl","Alimentação infantil e morbidade por diarréia","Vieira, Graciete O., Silva, Luciana R., Vieira, Tatiana de O.","Jornal de Pediatria; 79(5); 449-454","Jornal de Pediatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572003000500013&lang=pt" 
"S0100-39842003000500001-scl","TC e RM cardíaca: uma revolução não-invasiva em radiologia cardiovascular","Loureiro, Ricardo, Souza Jr., Arthur Soares","Radiologia Brasileira; 36(5); iii-iv","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500001&lang=pt" 
"S0100-39842003000500005-scl","Criptococose pulmonar: aspectos na tomografia computadorizada","Silva, Ana Carina Gamboa da, Marchiori, Edson, Souza Jr., Arthur Soares, Irion, Klaus L.","Radiologia Brasileira; 36(5); 277-282","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500005&lang=pt" 
"S0100-39842003000500013-scl","Veia cava superior esquerda anômala com ausência de veia cava superior direita: achados de imagem","Araújo Júnior, Cyrillo Rodrigues de, Carvalho, Tarcísio Nunes, Fraguas Filho, Sérgio Roberto, Costa, Marlos Augusto Bitencourt, Jacob, Beatriz Mahmud, Machado, Márcio Martins, Teixeira, Kim-Ir-Sen Santos, Ximenes, Carlos Alberto","Radiologia Brasileira; 36(5); 323-326","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500013&lang=pt" 
"S0100-39842003000500016-scl","A aparência da imagem na ressonância magnética por difusão é um fator preditivo independente da gravidade do acidente vascular encefálico?","Máximo, Carlos Henrique Malheiro","Radiologia Brasileira; 36(5); 304-304","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500016&lang=pt" 
"S0100-39842003000500015-scl","Achados de imagem no cérebro de pacientes pediátricos com anemia falciforme","Oliveira, Régis Teixeira Ribeiro de","Radiologia Brasileira; 36(5); 298-298","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500015&lang=pt" 
"S0100-39842003000500006-scl","Lesões traumáticas do mediastino: aspectos na tomografia computadorizada","Melo, Alessandro Severo Alves de, Moreira, Luiza Beatriz Melo, Marchiori, Edson","Radiologia Brasileira; 36(5); 283-286","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500006&lang=pt" 
"S0100-39842003000500011-scl","Disgenesia do corpo caloso e más-formações associadas: achados de tomografia computadorizada e ressonância magnética","Montandon, Cristiano, Ribeiro, Flávia Aparecida de Sousa, Lobo, Leonardo Valadares Barbosa, Montandon Júnior, Marcelo Eustáquio, Teixeira, Kim-Ir-Sen Santos","Radiologia Brasileira; 36(5); 311-316","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500011&lang=pt" 
"S0100-39842003000500009-scl","Correlação da área do cordão umbilical com parâmetros antropométricos em gestações normais","Vasques, Flávio Augusto Prado, Moron, Antonio Fernandes, Murta, Carlos Geraldo Viana, Gonçalves, Telma Regina, Carvalho, Francisco Herlânio da Costa","Radiologia Brasileira; 36(5); 299-303","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500009&lang=pt" 
