"S0717-93082013000300006-chl","Malformación cavernomatosa: Revisión de una patología clásica","Aliaga Q, Adolfo, Palavecino B, Támara, Espinoza A, Rodrigo, Dellien Z, Holvis","Revista chilena de radiología; 19(3); 117-124","Revista chilena de radiología","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082013000300006&lang=pt" 
"S0102-71822013000300006-scl","Trabalho docente e produção de conhecimento","Mancebo, Deise","Psicologia &amp; Sociedade; 25(3); 519-526","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300006&lang=pt" 
"S0102-71822013000300003-scl","Psicologia das massas: contexto e desafios brasileiros","Jesus, Jaqueline Gomes de","Psicologia &amp; Sociedade; 25(3); 493-503","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300003&lang=pt" 
"S0102-71822013000300019-scl","Como negociar a responsabilização em conversas sobre viver com diabetes","Carrijo, Rafael Santos, Rasera, Emerson Fernando","Psicologia &amp; Sociedade; 25(3); 653-663","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300019&lang=pt" 
"S0102-71822013000300012-scl","Preocupação com a honra no Nordeste brasileiro: correlatos demográficos","Gouveia, Valdiney V., Guerra, Valeschka M., Araújo, Rafaella de Carvalho Rodrigues, Galvão, Lilian Kelly Sousa, Silva, Sandra Souza da","Psicologia &amp; Sociedade; 25(3); 581-591","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300012&lang=pt" 
"S0102-71822013000300010-scl","Reflexões e narrativas (auto)biográficas sobre as relações intergeracionais: resultados de uma intervenção socioeducativa com mulheres idosas","Silva, Henrique Salmazo da, Junqueira, Patrícia Grandino","Psicologia &amp; Sociedade; 25(3); 559-570","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300010&lang=pt" 
"S0102-71822013000300011-scl","Desafios metodológicos ao estudo de comunidades ribeirinhas amazônicas","Calegare, Marcelo Gustavo Aguilar, Higuchi, Maria Inês Gasparetto, Forsberg, Sylvia Souza","Psicologia &amp; Sociedade; 25(3); 571-580","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300011&lang=pt" 
"S0102-71822013000300016-scl","A infância como acontecimento singular na complexidade dialética da história","Pretto, Zuleica","Psicologia &amp; Sociedade; 25(3); 623-630","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300016&lang=pt" 
"S0102-71822013000300017-scl","A adoção de crianças por gays","Amazonas, Maria Cristina Lopes de Almeida, Veríssimo, Hugo Vasconcelos, Lourenço, Gilclécia Oliveira","Psicologia &amp; Sociedade; 25(3); 631-641","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300017&lang=pt" 
"S0102-71822013000300014-scl","Vitimação múltipla feminina ao longo da vida: uma revisão sistemática da literatura","Matos, Marlene, Conde, Rita, Peixoto, Judite","Psicologia &amp; Sociedade; 25(3); 602-611","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300014&lang=pt" 
"S0102-71822013000300015-scl","Representações sociais de família por crianças na cidade de Recife","Ribeiro, Fernanda Siqueira, Cruz, Fatima Maria Leite","Psicologia &amp; Sociedade; 25(3); 612-622","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300015&lang=pt" 
"S0102-71822013000300008-scl","Organização da escolaridade em ciclos: representações sociais de professores","Naiff, Luciene Alves Miguez, Naiff, Denis Giovani Monteiro","Psicologia &amp; Sociedade; 25(3); 538-548","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300008&lang=pt" 
"S0102-67202013000600011-scl","Obesos diabéticos tipo 2 submetidos à derivação gástrica em Y-de-Roux: análise de resultados e influência nas complicações","Zeve, Jorge Luiz de Mattos, Tomaz, Carlos Alberto Bezerra, Nassif, Paulo Afonso Nunes, Lima, João Henrique, Sansana, Luciana Regina Zeve, Zeve, Christiana Haddad","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(); 47-52","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000600011&lang=pt" 
"S0102-67202013000600007-scl","Fatores determinantes do reganho ponderal no pós-operatório de cirurgia bariátrica","Bastos, Emanuelle Cristina Lins, Barbosa, Emília Maria Wanderley Gusmão, Soriano, Graziele Moreira Silva, Santos, Ewerton Amorim dos, Vasconcelos, Sandra Mary Lima","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(); 26-32","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000600007&lang=pt" 
"S2254-28842013000500043-esp","Los efectos de una intervención educativa sobre la ingesta de sal para disminuir la sobrehidratación y la hipertensión arterial en pacientes con hemodiálisis","Arribas Cobo, Patricia, Fernández Fuentes, Anunciación, García Estévez, Sonia, Guimerá Ferré-Samá, Mª Ángeles, Herrera Martín, Elena, Martínez Aranda, Mª Amor","Enfermería Nefrológica; 16(); 87-88","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500043&lang=pt" 
"S2254-28842013000500092-esp","Estudio comparativo entre diferentes tipos de sellado de catéter venoso central en una unidad de hemodiálisis","Barriga Rabanal, Sonia, Fernández Rojo, Mª de los Ángeles","Enfermería Nefrológica; 16(); 182-183","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500092&lang=pt" 
"S2254-28842013000500083-esp","Análisis predictivo del número de hemodiálisis en pacientes crónicos del departamento de Denia","Arroyo Vicente, José Luis, Terrero Romero, Tamara, Larumbe Rodríguez, Ainhoa, Valdivia Pérez, Antonio, Espín Abellán, Catalina, Ramos Torre, Fernando","Enfermería Nefrológica; 16(); 164-165","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500083&lang=pt" 
"S2254-28842013000500082-esp","Análisis de las recomendaciones sobre el tipo de apósito y la frecuencia de las curas del catéter permanente tunelizado para hemodiálisis según guías de práctica clínica","Chiara Caro, Ana, López Sánchez, Trinidad, Pérez Doctor, Marta","Enfermería Nefrológica; 16(); 162-163","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500082&lang=pt" 
"S2254-28842013000500062-esp","¿Son útiles las nuevas tecnologías 2.0 como herramienta docente e informativa de la enfermedad renal?","Franch Ciuraneta, Neus, Sáez González, Vanesa, Ruiz Gallardo, Jerónimo, Bauça Capella, Mª Antonia, Guenoun Sanz, María","Enfermería Nefrológica; 16(); 123-124","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500062&lang=pt" 
"S2254-28842013000500042-esp","Las necesidades del enfermo en hemodiálisis en la actualidad","Callizo Pequerul, Cristina, Durán Andía, María, Callizo Pequerul, Laura, Pérez Ferrer, Mª Carmen","Enfermería Nefrológica; 16(); 85-86","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500042&lang=pt" 
"S2254-28842013000500048-esp","Programa de hemodiálisis diaria domiciliaria: una alternativa con futuro","Fernández Prado, Encarnación","Enfermería Nefrológica; 16(); 97-98","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500048&lang=pt" 
"S2254-28842013000500097-esp","Fístula arteriovenosa espontánea: ¿realidad o ficción?","Aznar Barbero, Sonia, Bel Cegarra, Ramón, Badallo Mira, María Magdalena, Pagán Escribano, David, Bartolomé García Nicolás, Asensio","Enfermería Nefrológica; 16(); 189-190","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500097&lang=pt" 
"S2254-28842013000500075-esp","Administración de hierro intravenoso en la consulta de nefrología","Moraza Echevarria, Mª Ángeles, Estrada Acevedo, Beatriz, Madinabeitia Merino, Rosa","Enfermería Nefrológica; 16(); 148-149","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500075&lang=pt" 
"S2254-28842013000500054-esp","Tolerancia y calidad de vida en pacientes dializados con biosensores de relleno capilar","Paramio Valtierra, Miguel, Gómez Pascual, Carmen, Martínez Bustamente, María, García González, Concepción","Enfermería Nefrológica; 16(); 108-109","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500054&lang=pt" 
"S2254-28842013000500094-esp","Experiencia de una unidad de diálisis con el método de punción &quot;en ojal&quot; o &quot;buttonhole&quot;","Valverde Martínez, Francisco Jesús, Sáiz García, Sandra, Escamilla Cabrera, Beatriz, Monzón Vázquez, Tania","Enfermería Nefrológica; 16(); 185-186","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500094&lang=pt" 
"S2254-28842013000500115-esp","Incorporación de reuniones Briefing como herramienta de mejora de la comunicación interprofesional en la unidad de trasplante renal","López Sánchez, Trinidad, Pérez Doctor, Marta, Zambrana Hervás, Jesús, Amoedo Cabrera, Mª Luz, Chozas López, Mª Carmen","Enfermería Nefrológica; 16(); 219-220","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500115&lang=pt" 
"S2254-28842013000500080-esp","&quot;Evaluación de la ansiedad y depresión en los pacientes con insuficiencia renal cronica en hemodiálisis durante un año&quot;","Giera Vives, Laura, Rico González, Ana","Enfermería Nefrológica; 16(); 158-159","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500080&lang=pt" 
"S2254-28842013000500069-esp","Análisis metodológico del estrés en la transición del adolescente/familia a la unidad de adultos para mejorar la adaptación psicosocial","López Sánchez, Trinidad, Bernal Herrera, Pedro, Pérez Doctor, Marta, López González, Flora","Enfermería Nefrológica; 16(); 137-138","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500069&lang=pt" 
"S2254-28842013000500087-esp","Cansancio del rol de cuidador principal del paciente en hemodiálisis","Gil Barrera, Inmaculada, Pilares Puertas, Juan Antonio, Romero López, Rubén, Santos Seco, Modesta","Enfermería Nefrológica; 16(); 172-173","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500087&lang=pt" 
"S2254-28842013000500037-esp","Historia clínica informatizada: herramienta para la atención integral al paciente con enfermedad renal crónica","Sánchez Torres, Judith","Enfermería Nefrológica; 16(); 77-77","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500037&lang=pt" 
"S2254-28842013000500076-esp","El papel de enfermería en la consulta de enfermedad renal crónica avanzada","Moraza Echevarria, Mª Ángeles, Estrada Acevedo, Beatriz, Madinabeitina Merino, Rosa","Enfermería Nefrológica; 16(); 150-151","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500076&lang=pt" 
"S2254-28842013000500044-esp","Medición del dolor en las punciones tras la aplicación de un método anestésico","Andrés Vázquez, Mª del Mar, Castellanos Carrón, Thais, Gruss Vergara, Enrique, Gálvez Serrano, Mª Carmen, Guerrero Carrillo, José, González Horna, Alicia","Enfermería Nefrológica; 16(); 89-90","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500044&lang=pt" 
"S2254-28842013000500106-esp","Nuestra historia en accesos vasculares","Royo Ruiz, Rosa Mª, Alonso Barahona, Sonia, Lerín Urmeneta, Ana Isabel, Gil Rodríguez, Laura, Cobos Rincón, Ana, Sainz García, Luis Manuel","Enfermería Nefrológica; 16(); 206-207","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500106&lang=pt" 
"S2254-28842013000500110-esp","Qué percepción tienen los pacientes en hemodiálisis del Hospital Universitario Virgen de las Nieves de Granada de la asistencia sanitaria recibida","Palomares Rodríguez, Belén, Reina Prego, Rocío, Ramírez Imedio, Luciana, Sánchez Galiana, Francisca, Prego Martínez, Agustina, Aglio Ramírez, Belén","Enfermería Nefrológica; 16(); 213-213","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500110&lang=pt" 
"S2254-28842013000500105-esp","Las terapias complementarias en una unidad de hemodiálisis","Pérez Lapuente, Mª Luisa, Polo Muñoz, Rocío, Maya Sánchez, Baldomero de, Gómez Sánchez, Mª Paz, Meseguer Hernández, Silvia, Melero Rubio, Esperanza","Enfermería Nefrológica; 16(); 204-205","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500105&lang=pt" 
"S2254-28842013000500067-esp","Terapia de presión negativa para cura de escara abdominal en paciente diagnosticada de calcifilaxis","Fernández González, Carmen, García Alonso, Beatriz, García Fernández, María Belén, Granda Fernández, Lidia Elena, López Álvarez, Carolina, Castañón Plasín, Rocío","Enfermería Nefrológica; 16(); 133-134","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500067&lang=pt" 
"S2254-28842013000500023-esp","Buttonhole como técnica de elección para evitar la pérdida del acceso vascular complejo","Grau Pueyo, Carmen, Vinuesa García-Ciaño, Xavi, Moya Mejía, Carmen, García Moreno, Raquel, Viudes Flores, Elena, Ibeas López, José Antonio","Enfermería Nefrológica; 16(); 47-49","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500023&lang=pt" 
"S2254-28842013000500049-esp","Propuesta de documento de voluntades anticipadas específico para pacientes con insuficiencia renal crónica","Capillas Echevarría, Begoña, Itxaso Gil García, Zuriñe, Berasategui Burguera, Magdalena, Martínez Martínez, Yolanda, Saralegi Reta, Iñaki, Arrausi Larrea, Arantza","Enfermería Nefrológica; 16(); 99-100","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500049&lang=pt" 
"S2254-28842013000500041-esp","La enfermería pieza clave en el tratamiento del déficit de vitamina D","Sánchez Ospina, Didier, Pereira García, Mónica, González Parra, Emilio, Pérez Gómez, María Vanessa","Enfermería Nefrológica; 16(); 83-84","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500041&lang=pt" 
"S2254-28842013000500091-esp","Empleo de la vena femoral para la canalización de un catéter venoso central permanente tunelizado para hemodiálisis","Pelayo Alonso, Raquel, Cobo Sánchez, José Luis, Sánchez Cano, Soraya, Rojo Tordable, Marina, Tovar Rincón, Alicia, Gándara Revuelta, Magdalena","Enfermería Nefrológica; 16(); 180-181","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500091&lang=pt" 
"S2254-28842013000500033-esp","Evaluación del dolor en la punción de una fístula arteriovenosa para hemodiálisis usando pomada anestésica vs hielo","Ahis Tomás, Patricia, Peris Ambou, Inma, Pérez Baylach, Carmen Mª, Castelló Benavent, Joaquín","Enfermería Nefrológica; 16(); 69-70","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500033&lang=pt" 
"S2254-28842013000500081-esp","Aconsejando &amp; educando","Lechuga Domínguez, María Jesús, Rodríguez García, Ana, Vázquez Caridad, Eva María","Enfermería Nefrológica; 16(); 160-161","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500081&lang=pt" 
"S2254-28842013000500050-esp","Resultados de un programa de ejercicio físico combinado con electroestimulación neuromuscular en pacientes en hemodiálisis","Iza Pinedo, Gorka, Junque Jiménez, Anna, Tomás Bernabeú, Esther, Luceño Soler, Inés, Paz López, Óscar, Lavado Sempere, Marisa","Enfermería Nefrológica; 16(); 101-102","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500050&lang=pt" 
"S2254-28842013000500095-esp","Factores estresantes en los pacientes durante las sesiones de hemodiálisis","Moreno Rodríguez, Andrés, Benitez Ruiz, Lourdes, Sanz García, Rosa","Enfermería Nefrológica; 16(); 187-187","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500095&lang=pt" 
"S2254-28842013000500047-esp","Primeras experiencias enfermeras en pacientes con mieloma múltiple mediante filtros de alto poro","Cantín Lahoz, Víctor, Marcén Letosa, Mercedes, Rojo Zulaica, Elisa, Aznar Buil, Blanca, Vecino Soler, Ana","Enfermería Nefrológica; 16(); 95-96","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500047&lang=pt" 
"S2254-28842013000500100-esp","Importancia de los cuidados de la FAVI para la prolongación de su vida útil","Echeguren Aiz, Miguel, Bengoa Urreta, Itxaso, Calvo Marín, Rosario, Nogales Rodríguez, Mª Angeles, Fuentes Medina, Mª José, Garay Pérez, Ascensión","Enfermería Nefrológica; 16(); 195-195","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500100&lang=pt" 
"S2254-28842013000500065-esp","Nombramiento de un representante vital: actitud del paciente y del personal de enfermería","Pujolar Fulquet, Núria, Castillo Rosa, Rosario, Noguera Llauradó, Alicia, Cabrera de las Heras, Laia, Soler Romeo, Mª José","Enfermería Nefrológica; 16(); 129-130","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500065&lang=pt" 
"S2254-28842013000500025-esp","Caso de parada cardiorrespiratoria intrahemodiálisis en un centro periférico","Marqués Racionero, Mª José, Peña Ortega, Macarena, Marín Fábrega, Virginia A., Molina Conde, Mª Luisa","Enfermería Nefrológica; 16(); 52-53","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500025&lang=pt" 
"S2254-28842013000500096-esp","Factores que generan ansiedad a los pacientes en diálisis: influencia de la antigüedad del tratamiento","Moreno Rodríguez, Andrés, Sanz García, Rosa, Benítez Ruiz, Lourdes, Romero López, Rubén","Enfermería Nefrológica; 16(); 188-188","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500096&lang=pt" 
"S2254-28842013000500086-esp","Beneficios de un programa de entrenamiento físico en la sintomatología depresiva y calidad de vida en los pacientes en hemodiálisis","Tomás Bernabeu, Ester, Junqué Jiménez, Anna, Iza Pinedo, Gorka, Luceño Solé, Inés, Paz López, Oscar, Lavado Santpere, Marisa","Enfermería Nefrológica; 16(); 170-171","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500086&lang=pt" 
"S2254-28842013000500064-esp","Inmunoadsorción en la unidad de diálisis: ¿qué ha supuesto para enfermería?","Caamaño Lado, Carina, Sobrado Sobrado, Pilar, Barranco Sos, Azucena, Mayordomo Sanz, Ángeles, Montoya Echeverry, Alba Luz, Vives Bonjoch, Antonia","Enfermería Nefrológica; 16(); 127-128","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500064&lang=pt" 
"S2254-28842013000500039-esp","Incidencia de infecciones del orificio de salida del catéter de hemodiálisis: cura con ciprofloxacino vs clorhexidina","Cobo Sánchez, José Luis, Pelayo Alonso, Raquel, Merino González, Lucía, Vicente Jiménez, Mª Yolanda, Olalla Antolín, Violeta, Gándara Revuelta, Magdalena","Enfermería Nefrológica; 16(); 79-80","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500039&lang=pt" 
"S2254-28842013000500084-esp","Apoyo enfermero de una unidad de diálisis en el desarrollo de un programa de trasplante renal con órganos procedentes de donación tras asistolia controlada, tipo III de Maastricht","Medina Carrizo, Amparo, Dávila Madrigal, Fátima, Portolés Pérez, José María, Rubio Muñóz, Juan J.","Enfermería Nefrológica; 16(); 166-167","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500084&lang=pt" 
"S2254-28842013000500001-esp","","Gómez Gutiérrez, Ana Yolanda","Enfermería Nefrológica; 16(); 7-7","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500001&lang=pt" 
"S2254-28842013000500029-esp","Estudio comparativo de la administración de darbepoetina pre versus post-hemodiálisis","López Alonso, Mª Teresa, Martí Centelles, Herminia, Barranco Sos, Azucena, Ribas Cortada, Nuria, Lozano Molero, Valentín, Quintela Martínez, Marta","Enfermería Nefrológica; 16(); 60-61","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500029&lang=pt" 
"S2254-28842013000500020-esp","Análisis comparativo entre hemodiafiltración en línea frente a hemodiafiltración con reinfusión endógena: parámetros clínicotécnicos e inflamatorios","Ramírez Moreno, Carmen, Torollo Luna, Irene, López Zamorano, Mª Dolores, Guisado Segador, Concepción, Salas Cardador, Francisco, Alcántara Crespo, Mateo","Enfermería Nefrológica; 16(); 42-43","Enfermería Nefrológica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842013000500020&lang=pt" 
