"S1516-05722016000100168-scl","Técnicas de conservação pós-colheita para o manjericão","TEIXEIRA, D.A., GOMES, J.A.O., BONFIM, F.P.G., PARDO, P.I., MAYOBRE, M.T.","Revista Brasileira de Plantas Medicinais; 18(1); 168-171","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100168&lang=pt" 
"S0104-77602016000100035-scl","PRODUÇÃO E DISTRIBUIÇÃO DA BIOMASSA DE Jatropha curcas NO SEMIÁRIDO BRASILEIRO","Drumond, Marcos Antônio, Oliveira, Anderson Ramos de, Simões, Welson Lima, Junqueira, Nilton Tadeu Vilela, Anjos, José Barbosa dos, Laviola, Bruno Galveas","CERNE; 22(1); 35-42","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100035&lang=pt" 
"S0104-77602016000100019-scl","ARAUCARIA CLONAL FORESTRY: TYPES OF CUTTINGS AND MOTHER TREE SEX IN FIELD SURVIVAL AND GROWTH","Wendling, Ivar, Stuepp, Carlos André, Zuffellato-Ribas, Katia Christina","CERNE; 22(1); 19-26","CERNE","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100019&lang=pt" 
"S0104-92242016000100030-scl","Influência da Velocidade de Rotação do Rebite na Microestrutura e no Desempenho Mecânico de Juntas de Compósito Termofixo Rebitadas por Fricção","Borba, Natascha Zocoller, Blaga, Lucian, Santos, Jorge Fernandez dos, Canto, Leonardo Bresciani, Amancio-Filho, Sergio de Traglia","Soldagem &amp; Inspeção; 21(1); 30-43","Soldagem &amp; Inspeção","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242016000100030&lang=pt" 
"S0104-92242016000100092-scl","Efeitos da Energia de Soldagem e Consumível sobre a Resistência à Flexão Simples de Juntas Soldadas em Perfis Tubulares de Aço TMCP","Dalcin, Rafael Luciano, Machado, Ivan Guerra, Gonzalez, Arnaldo Ruben, Mazzaferro, José Antônio Esmerio","Soldagem &amp; Inspeção; 21(1); 92-102","Soldagem &amp; Inspeção","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242016000100092&lang=pt" 
"S0104-77602016000100129-scl","ESTRATÉGIAS FENOLÓGICAS REPRODUTIVAS DE Xylopia aromatica (LAM.) MART. (ANNONACEAE) EM ÁREA DE CERRADO","Silva, Patrícia Oliveira da","CERNE; 22(1); 129-136","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100129&lang=pt" 
"S0104-92242016000100002-scl","Influência da Espessura do Filme Polimérico Intermediário na Resistência Mecânica de Juntas Híbridas de Alumínio 2024-T3 e CF-PPS Produzidas por União Pontual por Fricção","André, Natália M., Goushegir, Seyed M., Santos, Jorge F. dos, Canto, Leonardo B., Amancio-Filho, Sergio T.","Soldagem &amp; Inspeção; 21(1); 2-15","Soldagem &amp; Inspeção","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242016000100002&lang=pt" 
"S0104-77602016000100077-scl","ESTUDO QUANTITATIVO DA VARIAÇÃO ESTRUTURAL MORFOLÓGICA NA MADEIRA DE  Calophyllum brasiliense","Barreiros, Ricardo Marques, Amaral, Simone Simões, Matos, Carlos Alberto Oliveira de, Costa, Alex Siqueira","CERNE; 22(1); 77-84","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100077&lang=pt" 
"S0104-92242016000100059-scl","Soldagem por Atrito com Pino Não Consumível de Aços Inoxidáveis Duplex","Santos, Tiago Felipe de Abreu, Torres, Edwar Andrés, Ramirez, Antonio Jose","Soldagem &amp; Inspeção; 21(1); 59-69","Soldagem &amp; Inspeção","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242016000100059&lang=pt" 
"S1516-05722016000100057-scl","Avaliação do conhecimento e percepção dos profissionais da estratégia de saúde da família sobre o uso de plantas medicinais e fitoterapia em Petrolina-PE, Brasil.","NASCIMENTO JÚNIOR, B.J., TÍNEL, L.O., SILVA, E.S., RODRIGUES, L.A., FREITAS, T.O.N., NUNES, X.P., AMORIM, E.L.C.","Revista Brasileira de Plantas Medicinais; 18(1); 57-66","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100057&lang=pt" 
"S1516-05722016000100157-scl","Compreendendo a relação entre saúde do ambiente e saúde humana em comunidades Quilombolas de Santa Catarina","ZANK, S., ÁVILA, J.V.C., HANAZAKI, N.","Revista Brasileira de Plantas Medicinais; 18(1); 157-167","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100157&lang=pt" 
"S1516-05722016000100027-scl","Influência da poluição aérea gerada pelo tráfego veicular na produção do óleo essencial e das atividades antifúngica e citotóxica in vitro de Cyrtocymura scorpioides (Lam.) H.Rob. (Asteraceae)","LEITE, P.O., SOARES, C.P., MORAIS, F.V., MENEGON, R.F., JOAQUIM, W.M.","Revista Brasileira de Plantas Medicinais; 18(1); 27-37","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100027&lang=pt" 
"S1516-05722016000100113-scl","Comparative study of the antihypertensive effects of hexane, chloroform and methanol fractions of essential oil of Alpinia zerumbet in rats Wistar","CUNHA, G.H., FECHINE, F.V., FROTA BEZERRA, F.A., MORAES, M.O., SILVEIRA, E.R., CANUTO, K.M., MORAES, M.E.A.","Revista Brasileira de Plantas Medicinais; 18(1); 113-124","Revista Brasileira de Plantas Medicinais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100113&lang=pt" 
"S1516-05722016000100001-scl","Utilização de planejamento fatorial para a determinação da capacidade antioxidante e doseamento de flavonoides totais em Verbena minutiflora Briq. ex Moldenke (gervai)","PELOI, K.E., BOVO, F., MESSIAS-REASON, I.J., PEREZ, E.","Revista Brasileira de Plantas Medicinais; 18(1); 1-8","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100001&lang=pt" 
"S1516-05722016000100142-scl","Induction and growth pattern of callus from Piper permucronatum leaves","SANTOS, M.R.A., GUIMARÃES, M.C.M., PAZ, E.S., MAGALHÃES, G.M.O., SOUZA, C.A., SMOZINSKI, C.V., NOGUEIRA, W.O.","Revista Brasileira de Plantas Medicinais; 18(1); 142-148","Revista Brasileira de Plantas Medicinais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100142&lang=pt" 
"S1516-05722016000100172-scl","Atividade biológica de Davilla kunthii A. St. –Hil. (Dilleniaceae)","NASCIMENTO, L.S.N., RABELO, S.A.C., SILVA, G.R., NASCIMENTO, F.C., SANTOS, R.C.","Revista Brasileira de Plantas Medicinais; 18(1); 172-179","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100172&lang=pt" 
"S1516-05722016000100149-scl","Atividade antagonista do óleo essencial de Lippia alba (Mill.) N. E. Brown (Verbenaceae) sobre Meloidogyne incognita (Kofoid &amp; White) Chitwood","GONÇALVES, F.J.T., BARBOSA, F.G., LIMA, J.S., COUTINHO, I.B.L., OLIVEIRA, F.C., ROCHA, R.R., ANDRADE NETO, M.","Revista Brasileira de Plantas Medicinais; 18(1); 149-156","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100149&lang=pt" 
"S1516-05722016000100067-scl","Efeito da adubação nitrogenada e da sazonalidade na produtividade de Ocimum basilicum L.","FERREIRA, S.D., BULEGON, L.G., YASSUE, R.M., ECHER, M.M.","Revista Brasileira de Plantas Medicinais; 18(1); 67-73","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100067&lang=pt" 
"S1516-05722016000100089-scl","Análise farmacobotânica de folha e caule de Tanacetum vulgare (L.)","GUERREIRO, K.K., BOBEK, V., SANTOS, V.L.P., FRANCO, C.R.C., PAULA, J.P., FARAGO, P.V., BUDEL, J.M.","Revista Brasileira de Plantas Medicinais; 18(1); 89-95","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100089&lang=pt" 
"S1516-05722016000100105-scl","Composição química e concentração mínima bactericida de dezesseis óleos essenciais sobre Escherichia coli enterotoxigênica","SOUZA, A.A., DIAS, N.A.A., PICCOLI, R.H., BERTOLUCCI, S.K.V.","Revista Brasileira de Plantas Medicinais; 18(1); 105-112","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100105&lang=pt" 
"S1516-05722016000100135-scl","Estimativa da viabilidade polínica de araçazeiro (Psidium cattleianum Sabine) através de distintos métodos de coloração","HISTER, C.A.L., TEDESCO, S.B.","Revista Brasileira de Plantas Medicinais; 18(1); 135-141","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100135&lang=pt" 
"S1516-05722016000100038-scl","The anti-inflammatory and antinociceptive effects of proteins extracted from Acacia farnesiana seeds","LEAL, L.S.S., SILVA, R.O., ARAUJO, T.S.L., SILVA, V.G., BARBOSA, A.L.R., MEDEIROS, J.V.R., OLIVEIRA, J.S., VENTURA, C.A.","Revista Brasileira de Plantas Medicinais; 18(1); 38-47","Revista Brasileira de Plantas Medicinais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100038&lang=pt" 
"S1517-70762016000100004-scl","Resposta à flexão e análise de tenacidade de argamassas reforçadas com fibra de Curauá","Pimentel, Maurílio Gomes, Borges, João Pedro das Chagas, Picanço, Marcelo de Souza, Ghavami, Khosrow","Matéria (Rio de Janeiro); 21(1); 18-26","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100004&lang=pt" 
"S1517-70762016000100020-scl","Produtos de hidratação em argamassas geopoliméricas à base de argila da Tunísia para reparação de estruturas de concreto","Tahri, Walid, Samet, Basma, Pacheco-Torgal, Fernando, Aguiar, José, Baklouti, Samir","Matéria (Rio de Janeiro); 21(1); 213-226","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100020&lang=pt" 
"S1517-70762016000100016-scl","Estudo experimental do uso de rebolos convencionais na usinagem do aço VP-50 utilizado na retificação cilíndrica, por meio de diferentes métodos de lubrirrefrigeração","Anjos, Marco Antonio dos, Bianchi, Eduardo Carlos, Mello, Hamilton José de, Aguiar, Paulo Roberto de, Estambasse, Eduardo Costa, Hildebrandt, Rodolfo Alexandre","Matéria (Rio de Janeiro); 21(1); 169-184","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100016&lang=pt" 
"S1517-70762016000100007-scl","Investigation of Adhesion and Tribological Behavior of Borided AISI 310 Stainless Steel","Gunes, Ibrahim, Yıldız, Ismail","Matéria (Rio de Janeiro); 21(1); 61-71","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100007&lang=pt" 
"S1517-70762016000100010-scl","Avaliação de pastas de cimento Portland contendo cinza pesada moída","Pilar, Ronaldo, Schankoski, Rudiele Aparecida, Moro, Agostinho João Dal, Repette, Wellington Longuini","Matéria (Rio de Janeiro); 21(1); 92-104","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100010&lang=pt" 
"S1517-70762016000100024-scl","Characterization of copper microelectrodes, following a homemade lithography, technique, and gold electroless deposition","Martinez, Marco Antonio Rodriguez, Felix, Lizbet Leon, Valladares, Luis de los Santos, Dominguez, Angel Bustamante, Coaquira, Jose Antonio Huamani, Alvarado, Jorge Rojas, Majima, Yutaka, Aguiar, Jose Albino, Barnes, Crispin","Matéria (Rio de Janeiro); 21(1); 252-259","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100024&lang=pt" 
"S1517-70762016000100006-scl","Estudio de la estructura y las propiedades mecánicas en un recubrimiento de circona estabilizada con 8% en mol de itria elaborado por proyección térmica por plasma a partir de suspensiones","Hurtado, Francy Milena, Hernández, Andrés González, Gómez, María Esperanza López, Ageorges, Hélène","Matéria (Rio de Janeiro); 21(1); 49-60","Matéria (Rio de Janeiro)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100006&lang=pt" 
"S1517-70762016000100023-scl","Tenacidad a la fractura de compuestos cermets 3Al2O3*2SiO2/Ag manufacturados por molienda de alta energía","Hernández, José G. Miranda, Bustamante, Miriam Vázquez, Hernández, Héctor Herrera, Morán, Carlos O. González, Rangel, Enrique Rocha, García, Elizabeth Refugio","Matéria (Rio de Janeiro); 21(1); 243-251","Matéria (Rio de Janeiro)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100023&lang=pt" 
"S1517-70762016000100014-scl","Efecto del almacenamiento sobre las propiedades físicas de las películas de quitosano con inclusión de aceites esenciales de tomillo y romero","Bohórquez, Nathalia Valderrama, Enciso, Néstor Ariel Algecira, Hernández, William Albaracín","Matéria (Rio de Janeiro); 21(1); 141-156","Matéria (Rio de Janeiro)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100014&lang=pt" 
"S1517-70762016000100025-scl","Influence of upward and horizontal growth direction on microstructure and microhardness of an unsteady-state directionally solidified Al-Cu-Si alloy","Araújo, Raimundo Lucivaldo Marães de, Kikuchi, Rafael Hideo Lopes, Barros, André Santos, Gomes, Laércio Gouvea, Moutinho, Daniel Joaquim da Conceição, Gonçalves, Fernando de Almeida, Moreira, Antonio Luciano Seabra, Rocha, Otávio Fernandes Lima da","Matéria (Rio de Janeiro); 21(1); 260-269","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100025&lang=pt" 
"S1517-70762016000100013-scl","Síntese e caracterização de arcabouços de quitosana com agente antineoplásicos","Cruz, Jackson Borba da, Catão, Carmem Dolores de Sá, Barbosa, Rossemberg Cardoso, Fook, Marcus Vinicius Lia","Matéria (Rio de Janeiro); 21(1); 129-140","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100013&lang=pt" 
"S1517-70762016000100015-scl","Investigating atmospheric corrosion behavior of carbon steel in coastal regions of Mauritius using Raman Spectroscopy","Surnam, B. Yashwansingh R., Chui, Cheng-Wei, Xiao, Huaping, Liang, Hong","Matéria (Rio de Janeiro); 21(1); 157-168","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100015&lang=pt" 
"S1517-70762016000100012-scl","Redes epóxi/amina alifáticas com perspectivas para aplicações cardiovasculares. Propriedades biológicas in vitro","Garcia, Filiberto González, Vicente, Thiago Amaro, Queiroz, Alvaro Antonio Alencar de, Higa, Olga Zazuco, Baratéla, Fernando José Costa","Matéria (Rio de Janeiro); 21(1); 115-128","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100012&lang=pt" 
"S1517-70762016000100022-scl","Cianoacrilato na colagem de Bráquetes ortodônticos em resina acrílica: há maior adesão?","Correia, Ayla Macyelle de Oliveira, Jóias, Renata Pilli, Rode, Sigmar de Mello, Repeke, Carlos Eduardo, Mendonça, Adriano Augusto de Melo, Paranhos, Luiz Renato","Matéria (Rio de Janeiro); 21(1); 235-242","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100022&lang=pt" 
"S1517-70762016000100003-scl","Effective low-energy mixing procedure to develop high-fluidity cementitious pastes","Ferdosian, Iman, Camões, Aires","Matéria (Rio de Janeiro); 21(1); 11-17","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100003&lang=pt" 
"S0716-09172016000100003-chl","Equi independent equitable dominating sets in graphs","Vaidya, S. K., Kothari, N J","Proyecciones (Antofagasta); 35(1); 33-44","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100003&lang=pt" 
"S0716-09172016000100001-chl","On the classification of hypersurfaces in Euclidean spaces satisfying LrHr+1 = AHr+1","Mohammadpouri, Akram, Pashaie, Firooz","Proyecciones (Antofagasta); 35(1); 1-10","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100001&lang=pt" 
"S0716-09172016000100008-chl","Sum divisor cordial graphs","Lourdusamy, A., Patrick, F.","Proyecciones (Antofagasta); 35(1); 119-136","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100008&lang=pt" 
"S0716-09172016000100005-chl","The forcing open monophonic number of a graph","Santhakumaran, A. P., Mahendran, M.","Proyecciones (Antofagasta); 35(1); 67-83","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100005&lang=pt" 
"S0716-09172016000100006-chl","Odd harmonious labeling of some cycle related graphs","Jeyanthi, P., Philo, S.","Proyecciones (Antofagasta); 35(1); 85-98","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100006&lang=pt" 
"S0716-09172016000100007-chl","Coupled lower and upper solution approach for the existence of Solutions of nonlinear coupled system with nonlinear coupled boundary conditions","Talib, Imran, Asif, Naseer Ahmad, Tunc, Cemil","Proyecciones (Antofagasta); 35(1); 99-117","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100007&lang=pt" 
"S0716-09172016000100004-chl","","Remili, Moussadek, Rahmane, Mebrouk","Proyecciones (Antofagasta); 35(1); 41-61","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100004&lang=pt" 
"S0716-09172016000100002-chl","Similarity Solution of Spherical Shock Waves -Effect of Viscosity","Narsimhulu, Dunna, Addepalli, Ramu, Dipak, Kumar Satpathi","Proyecciones (Antofagasta); 35(1); 11-31","Proyecciones (Antofagasta)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-09172016000100002&lang=pt" 
"S0101-73302016000100001-scl","PRIVATIZAÇÃO E MILITARIZAÇÃO: AMEAÇAS RENOVADAS À GESTÃO DEMOCRÁTICA DA ESCOLA PÚBLICA","","Educação &amp; Sociedade; 37(134); 1-7","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100001&lang=pt" 
"S0101-73302016000100266-scl","A ENTRONIZAÇÃO DO ENSINO RELIGIOSO NA BASE NACIONAL CURRICULAR COMUM","Cunha, Luiz Antônio","Educação &amp; Sociedade; 37(134); 266-284","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100266&lang=pt" 
"S0101-73302016000100327-scl","A QUESTÃO DO ENSINO SUPERIOR NOS ESTADOS UNIDOS","Valle, Maria Ribeiro do","Educação &amp; Sociedade; 37(134); 327-328","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100327&lang=pt" 
"S0101-73302016000100305-scl","FILOSOFIA E EDUCABILIDADE HUMANA: ENTREVISTA COM WOLFDIETRICH SCHMIED-KOWARZIK","Dalbosco, Claudio A.","Educação &amp; Sociedade; 37(134); 305-326","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100305&lang=pt" 
"S0101-73302016000100217-scl","PRÁTICAS ESCOLARES E DESEMPENHO DOS ALUNOS: USO DAS ABORDAGENS QUANTITATIVA E QUALITATIVA","Salgado Junior, Alexandre Pereira, Novi, Juliana Chiaretti, Ferreira, Jonas","Educação &amp; Sociedade; 37(134); 217-243","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100217&lang=pt" 
"S0066-782X2016000300265-scl","Neutrophil-to-Lymphocyte Ratio, Platelet-to-Lymphocyte Ratio and Heart Failure","Wiwanitkit, Viroj","Arquivos Brasileiros de Cardiologia; 106(3); 265-266","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300265&lang=pt" 
