"S0104-83332010000200003-scl","Jeitos de corpo: cor/raça, gênero, sexualidade e sociabilidade juvenil no centro de São Paulo","Simões, Júlio Assis, França, Isadora Lins, Macedo, Marcio","Cadernos Pagu; (35); 37-78","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200003&lang=pt" 
"S0102-311X2010001200020-scl","Lutzomyia longipalpis naturally infected by Leishmania (L.) chagasi in Várzea Grande, Mato Grosso State, Brazil, an area of intense transmission of visceral leishmaniasis","Missawa, Nanci A., Michalsky, Érika Monteiro, Fortes-Dias, Consuelo Latorre, Santos Dias, Edelberto","Cadernos de Saúde Pública; 26(12); 2414-2419","Cadernos de Saúde Pública","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2010001200020&lang=pt" 
"S0100-69162010000600020-scl","Tratamento das águas do processamento dos frutos do cafeeiro em filtro anaeróbio seguido por sistema alagado construído: II - remoção de nutrientes e compostos fenólicos","Fia, Ronaldo, Matos, Antonio T. de, Lambert, Túlio F., Fia, Fátima R. L., Matos, Mateus P. de","Engenharia Agrícola; 30(6); 1203-1213","Engenharia Agrícola","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162010000600020&lang=pt" 
"S0103-84782010001200024-scl","Atividade de plasmina e plasminogênio no leite longa vida com alta e baixa contagem de células somáticas durante o armazenamento","Corassin, Carlos Humberto, Rosim, Roice Eliana, Oliveira, Carlos Augusto Fernandes de","Ciência Rural; 40(12); 2588-2592","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200024&lang=pt" 
"S0103-84782010001200023-scl","Compostos funcionais presentes em bulbilhos de alhos armazenados sob refrigeração, provenientes de cultivos no Brasil e na China","Silva, Ester Yoshie Yosino da, Moretti, Celso Luiz, Mattos, Leonora Mansur","Ciência Rural; 40(12); 2580-2587","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200023&lang=pt" 
"S0103-84782010001200007-scl","Diversidade genética por marcadores moleculares em Fusarium oxysporum f. sp. cubense no Estado de Santa Catarina","Silva, Cristiane Maria da, Hinz, Robert Harri, Stadnik, Marciel João, Pereira, Adriana, Tcacenco, Fernando Adami","Ciência Rural; 40(12); 2480-2485","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200007&lang=pt" 
"S0103-84782010001200030-scl","Controle sobre GnRH durante o anestro pós-parto em bovinos","Oliveira, João Francisco Coelho de, Gonçalves, Paulo Bayard Dias, Ferreira, Rogério, Gasperin, Bernardo, Siqueira, Lucas Carvalho","Ciência Rural; 40(12); 2623-2631","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200030&lang=pt" 
"S0103-84782010001200005-scl","Caracterização molecular e variabilidade genética de acessos elite de mandioca para fins industriais","Vieira, Eduardo Alano, Fialho, Josefino de Freitas, Faleiro, Fábio Gelape, Bellon, Graciele, Fonseca, Kenia Gracielle da, Carvalho, Luiz Joaquim Castelo Branco, Silva, Marilia Santos","Ciência Rural; 40(12); 2467-2471","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200005&lang=pt" 
"S0103-84782010001200028-scl","Equilíbrio eletrolítico e ácido-base em bovinos","Freitas, Moisés Dias, Ferreira, Marina Guimarães, Ferreira, Paulo Marcos, Carvalho, Antônio Último, Lage, Andrey Pereira, Heinemann, Marcos Bryan, Facury Filho, Elias Jorge","Ciência Rural; 40(12); 2608-2615","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200028&lang=pt" 
"S0103-84782010001200006-scl","Sistemas de tutoramento e épocas de transplante de physalis","Lima, Cláudia Simone Madruga, Gonçalves, Michel Aldrighi, Tomaz, Zeni Fonseca Pinto, Rufato, Andrea De Rossi, Fachinello, José Carlos","Ciência Rural; 40(12); 2472-2479","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200006&lang=pt" 
"S0103-84782010001200001-scl","Propriedades enzimáticas da enzima ALS de Cyperus difformis e mecanismo de resistência da espécie ao herbicida pyrazosulfuron-ethyl","Dal Magro, Taísa, Rezende, Sebastião Tavares de, Agostinetto, Dirceu, Vargas, Leandro, Silva, Antônio Alberto da, Falkoski, Daniel Luciano","Ciência Rural; 40(12); 2439-2445","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200001&lang=pt" 
"S0103-84782010001200016-scl","Contribuição dos componentes e composição química de pastagens em sistemas forrageiros constituídos por diferentes leguminosas","Olivo, Clair Jorge, Steinwandter, Edilene, Agnolin, Carlos Alberto, Meinerz, Gilmar Roberto, Santos, Juliano Costa dos, Bem, Claudia Marques de, Aguirre, Priscila Flores, Machado, Paulo Roberto, Araújo, Tiago Luis da Ros de","Ciência Rural; 40(12); 2534-2540","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200016&lang=pt" 
"S0100-39842010000600005-scl","Avaliação do volume de fluxo portal em pacientes esquistossomóticos: estudo comparativo entre ressonância magnética e ultrassom Doppler","Leão, Alberto Ribeiro de Souza, Sales, Danilo Moulin, Santos, José Eduardo Mourão, Nakano, Edson, Shigueoka, David Carlos, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 43(6); 355-361","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600005&lang=pt" 
"S0100-39842010000600006-scl","Uso do tensor de difusão na avaliação dos padrões de acometimento da substância branca em pacientes com tumores cerebrais: é uma ferramenta útil para o diagnóstico diferencial?","Itagiba, Vanessa Granado Alves, Borges, Rafael, Cruz Jr, Luiz Celso Hygino da, Furtado, Andre Dietz, Domingues, Romeu Côrtes, Gasparetto, Emerson Leandro","Radiologia Brasileira; 43(6); 362-368","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600006&lang=pt" 
"S0100-39842010000600007-scl","Análise da reprodutibilidade do Doppler de amplitude tridimensional na avaliação da circulação do cérebro fetal","Moron, Antonio Fernandes, Milani, Hérbene José Figuinha, Barreto, Enoch Quinderé de Sá, Araujo Júnior, Edward, Haratz, Karina Krajden, Rolo, Liliam Cristine, Nardozza, Luciano Marcondes Machado","Radiologia Brasileira; 43(6); 369-374","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600007&lang=pt" 
"S0100-39842010000600008-scl","Confiabilidade da análise qualitativa da ressonância magnética do encéfalo em prematuros extremos","Furtado, Andre Dietz, Pinto, Marcus Vinicius Rocha, Rangel, Cláudio de Carvalho, Cruz Jr, Luiz Celso Hygino da, Lopes, José Maria A, Carvalho, Manoel de, Cabral, Jofre Antônio Oliveira, Domingues, Romeu Côrtes, Gasparetto, Emerson Leandro","Radiologia Brasileira; 43(6); 375-378","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600008&lang=pt" 
"S0100-39842010000600009-scl","Avaliação do comprimento do colo uterino em gestantes normais entre 20 e 34 semanas de gestação por meio da ultrassonografia endovaginal","Itaborahy, Rejane Martins Ribeiro, Carmo, Anselmo Verlangieri, Medeiros, Sebastião Freitas de, Yassin, Ali","Radiologia Brasileira; 43(6); 379-383","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600009&lang=pt" 
"S0100-39842010000600010-scl","Hemangioma hepático subcapsular com realce perilesional: achados de RM","Kim, Young Hoon, Shin, Sang Soo, Burke, Lauren M. B, Lee, Chang Hee, Ku, Young Mi, Vachiranubhap, Busakorn, Semelka, Richard C","Radiologia Brasileira; 43(6); 384-388","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600010&lang=pt" 
"S0100-39842010000600011-scl","Dilatação fluxo-mediada da artéria braquial e complexo médio-intimal das artérias carótida e braquial: avaliação de indivíduos com e sem fatores de risco para aterosclerose","Soares, Cristiane Martins, Koch, Hilton Augusto, Montenegro, Carlos Antônio Barbosa, Rezende Filho, Jorge Fonte de, Leite, Sandra Pereira, Braga Neto, Antônio Rodrigues, Novaes, Carlos Eduardo Ferreira","Radiologia Brasileira; 43(6); 389-393","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600011&lang=pt" 
"S0100-39842010000600012-scl","Estudo comparativo de dosimetria computacional entre modelos homogêneos e um modelo voxel em mamografia: uma discussão de aplicações em testes de constância e cálculo de dose glandular em pacientes","Cassola, Vagner Ferreira, Hoff, Gabriela","Radiologia Brasileira; 43(6); 395-400","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600012&lang=pt" 
"S0100-39842010000600013-scl","Valor da ultrassonografia em crianças com suspeita de febre hemorrágica do dengue: revisão da literatura","Oliveira, Ricardo Villar Barbosa de, Rios, Lívia Teresa Moreira, Branco, Maria dos Remédios Freitas Carvalho, Braga Júnior, Leônidas Lopes, Nascimento, Janílson Moucherek Soares, Silva, Gilnara Fontinelle, Bandeira, Kemuel Pinto","Radiologia Brasileira; 43(6); 401-407","Radiologia Brasileira","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842010000600013&lang=pt" 
"S0102-30982010000200002-scl","Urban hierarchy in the brazilian Amazon","Sathler, Douglas, Monte-Mór, Roberto L., Carvalho, José Alberto Magno de, Costa, Alfredo","Revista Brasileira de Estudos de População; 27(2); 251-268","Revista Brasileira de Estudos de População","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982010000200002&lang=pt" 
"S0102-30982010000200004-scl","Problemas no preenchimento da Declaração de Óbito: estudo exploratório","Mendonça, Fabrício Martins, Drumond, Eliane, Cardoso, Ana Maria Pereira","Revista Brasileira de Estudos de População; 27(2); 285-295","Revista Brasileira de Estudos de População","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982010000200004&lang=pt" 
"S0103-05822010000400003-scl","Infecção urinária em menores de 15 anos: etiologia e perfil de sensibilidade antimicrobiana em hospital geral de pediatria","Lo, Denise Swei, Ragazzi, Selma Lopes B., Gilio, Alfredo Elias, Martinez, Marina Baquerizo","Revista Paulista de Pediatria; 28(4); 299-303","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400003&lang=pt" 
"S0103-05822010000400002-scl","Equipe interdisciplinar reduz infecção sanguínea relacionada ao cateter venoso central em Unidade de Terapia Intensiva Pediátrica","Vilela, Ricardo, Dantas, Sônia Regina P. E., Trabasso, Plínio","Revista Paulista de Pediatria; 28(4); 292-298","Revista Paulista de Pediatria","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400002&lang=pt" 
"S0103-05822010000400004-scl","Variáveis infantis e maternas associadas à presença de sobrepeso em crianças de creches","Dallabona, Ayama, Cabral, Simone Chaves, Höfelman, Doroteia Aparecida","Revista Paulista de Pediatria; 28(4); 304-313","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400004&lang=pt" 
"S0103-05822010000400006-scl","Estudo comparativo de fatores de risco em crianças e adolescentes com diagnóstico antropométrico de sobrepeso ou obesidade","Ricco, Rafaela Cristina, Ricco, Rubens Garcia, Almeida, Carlos Alberto N. de, Ramos, Adriana Pelegrino P.","Revista Paulista de Pediatria; 28(4); 320-325","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400006&lang=pt" 
"S0103-05822010000400007-scl","Adolescentes modelos de passarela: como é o consumo alimentar deste grupo?","Rodrigues, Alexandra Magna, Cintra, Isa de Pádua, Santos, Luana Caroline dos, Martini, Ligia Araújo, Mello, Marco Túlio de, Fisberg, Mauro","Revista Paulista de Pediatria; 28(4); 326-332","Revista Paulista de Pediatria","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400007&lang=pt" 
"S0103-05822010000400011-scl","Treinamento muscular inspiratório em crianças com leucemia aguda: resultados preliminares","Macedo, Thalita Medeiros F. de, Oliveira, Kátia Myllene C., Melo, Janiara Borges da C., Medeiros, Mariana Germano de, Medeiros Filho, Wilson C. de, Ferreira, Gardênia Maria H., Borja, Raíssa de Oliveira, Campos, Tania Fernandes, Mendonça, Karla Morganna P. P. de","Revista Paulista de Pediatria; 28(4); 352-358","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400011&lang=pt" 
"S0103-05822010000400013-scl","Frequência à creche e estado nutricional de pré-escolares: uma revisão sistemática","Pereira, Alessandra da Silva, Lanzillotti, Haydée Serrão, Soares, Eliane de Abreu","Revista Paulista de Pediatria; 28(4); 366-372","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400013&lang=pt" 
"S0103-05822010000400015-scl","Micronutrientes com ação antioxidante em neonatos","Nogueira, Carla, Borges, Fernanda, Ramalho, Andréa","Revista Paulista de Pediatria; 28(4); 381-386","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400015&lang=pt" 
"S0103-05822010000400016-scl","Prevalência de doença hepática não-alcoólica em crianças e adolescentes obesos: uma revisão sistemática","Padilha, Patricia de Carvalho, Rocha, Hélio Fernandes da, Alves, Naylor, Peres, Wilza Arantes F.","Revista Paulista de Pediatria; 28(4); 387-393","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400016&lang=pt" 
"S0103-05822010000400018-scl","Doença celíaca associada à tireoidite de Hashimoto e síndrome de Noonan","Perez, Mariana Ortega, Ciambelli, Giuliano Serafino, Nigri, Alcinda Aranha, Vieira, Marta Wey, Costa, Clóvis Duarte","Revista Paulista de Pediatria; 28(4); 398-404","Revista Paulista de Pediatria","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822010000400018&lang=pt" 
"S0034-89102010000600009-scl","Instrumento para avaliação do nível de conhecimento da prescrição na atenção primária","Fröhlich, Samanta Etges, Dal Pizzol, Tatiane da Silva, Mengue, Sotero Serrate","Revista de Saúde Pública; 44(6); 1046-1054","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600009&lang=pt" 
"S0034-89102010000600017-scl","Mortalidade por doenças cardiorrespiratórias em idosos no estado de Mato Grosso, 1986 a 2006","Carmo, Cleber Nascimento do, Hacon, Sandra de Souza, Jacobson, Ludmilla da Silva Viana, Mourão, Dennys de Souza, Ignotti, Eliane","Revista de Saúde Pública; 44(6); 1112-1119","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600017&lang=pt" 
"S0034-89102010000600005-scl","Renda familiar, preço de alimentos e aquisição domiciliar de frutas e hortaliças no Brasil","Claro, Rafael Moreira, Monteiro, Carlos Augusto","Revista de Saúde Pública; 44(6); 1014-1020","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600005&lang=pt" 
"S0034-89102010000600014-scl","Perfil epidemiológico e genotípico da infecção pelo vírus da hepatite B no Norte de Portugal","Mota, Ana, Guedes, Fátima, Areias, Jorge, Pinho, Luciana, Cardoso, Margarida Fonseca","Revista de Saúde Pública; 44(6); 1087-1093","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600014&lang=pt" 
"S0034-89102010000600020-scl","Medidas prospectivas de sintomas depressivos entre idosos residentes na comunidade","Batistoni, Samila Sathler Tavares, Neri, Anita Liberalesso, Cupertino, Ana Paula Fabrino Bretas","Revista de Saúde Pública; 44(6); 1137-1143","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600020&lang=pt" 
"S0034-89102010000600008-scl","Automedicação em adultos de baixa renda no município de São Paulo","Schmid, Bianca, Bernal, Regina, Silva, Nilza Nunes","Revista de Saúde Pública; 44(6); 1039-1045","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600008&lang=pt" 
"S0034-89102010000600013-scl","Análisis político del Programa de Control del dengue en Morelos, México","González Fernández, Mariana I, Orozco Núñez, Emanuel, Cifuentes, Enrique","Revista de Saúde Pública; 44(6); 1079-1086","Revista de Saúde Pública","Inglês, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600013&lang=pt" 
"S0034-89102010000600003-scl","Atividade física e sedentarismo em escolares da rede pública e privada de ensino em São Luís","Oliveira, Thiara Castro de, Silva, Antônio Augusto Moura da, Santos, Cristiane de Jesus Nunes dos, Silva, Josenilde Sousa e, Conceição, Sueli Ismael Oliveira da","Revista de Saúde Pública; 44(6); 996-1004","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600003&lang=pt" 
"S0034-89102010000600019-scl","Distúrbios psíquicos menores e condições de trabalho em motoristas de caminhão","Ulhôa, Melissa Araújo, Marqueze, Elaine Cristina, Lemos, Lúcia Castro, Silva, Luna Gonçalves da, Silva, Amanda Aparecida, Nehme, Patrícia, Fischer, Frida Marina, Moreno, Claudia Roberta de Castro","Revista de Saúde Pública; 44(6); 1130-1136","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600019&lang=pt" 
"S0034-89102010000600004-scl","Política Nacional de Saúde Bucal: fatores associados à integralidade do cuidado","Chaves, Sônia Cristina Lima, Barros, Sandra Garrido de, Cruz, Denise Nogueira, Figueiredo, Andreia Cristina Leal, Moura, Bárbara Laisa Alves, Cangussu, Maria Cristina Teixeira","Revista de Saúde Pública; 44(6); 1005-1013","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600004&lang=pt" 
"S0034-89102010000600007-scl","Symphysis-fundal height curve in the diagnosis of fetal growth deviations","Freire, Djacyr Magna Cabral, Cecatti, Jose Guilherme, Paiva, Cláudio Sergio Medeiros","Revista de Saúde Pública; 44(6); 1031-1038","Revista de Saúde Pública","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600007&lang=pt" 
"S0034-89102010000600006-scl","Housing conditions as a social determinant of low birthweight and preterm low birthweight","Vettore, Mario Vianna, Gama, Silvana Granado Nogueira da, Lamarca, Gabriela de Almeida, Schilithz, Arthur Orlando Corrêa, Leal, Maria do Carmo","Revista de Saúde Pública; 44(6); 1021-1031","Revista de Saúde Pública","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600006&lang=pt" 
"S0034-89102010000600011-scl","Regulação médica em emergência pela plataforma web: um estudo piloto","Adolfi Júnior, Mário Sérgio, Pallini, Fábio Marcon, Pessotti, Hugo, Wolf, Cláudia Maria, Patelli, Hélio Tabajara, Capeli, Ronaldo Dias, Poli-Neto, Omero Benedicto, Neves, Fábio Fernandes, Scarpelini, Sandro, Marques, Paulo Mazzoncini de Azevedo, Pazin-Filho, Antonio","Revista de Saúde Pública; 44(6); 1063-1071","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600011&lang=pt" 
"S0034-89102010000600012-scl","Proposta de vigilância de óbitos por tuberculose em sistemas de informação","Selig, Lia, Kritski, Afranio Lineu, Cascão, Angela Maria, Braga, José Ueleres, Trajman, Anete, Carvalho, Regina Maria Guedes de","Revista de Saúde Pública; 44(6); 1072-1078","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600012&lang=pt" 
"S0034-89102010000600001-scl","Comportamentos violentos de adolescentes e coabitação parento-filial","Horta, Rogério Lessa, Horta, Bernardo Lessa, Pinheiro, Ricardo Tavares, Krindges, Manuela","Revista de Saúde Pública; 44(6); 979-985","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600001&lang=pt" 
"S0034-89102010000600015-scl","Prevalência de subtipos do HIV-1 em amostra de pacientes de um centro urbano no sul do Brasil","Simon, Daniel, Béria, Jorge Umberto, Tietzmann, Daniela Cardoso, Carli, Rafaela de, Stein, Airton Tetelbom, Lunge, Vagner Ricardo","Revista de Saúde Pública; 44(6); 1094-1101","Revista de Saúde Pública","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600015&lang=pt" 
