"S1516-44462013000100010-scl","The panic disorder respiratory ratio: a dimensional approach to the respiratory subtype","Freire, Rafael Christophe, Nascimento, Isabella, Valença, Alexandre Martins, Lopes, Fabiana Leão, Mezzasalma, Marco André, Melo Neto, Valfrido Leão de, Zin, Walter Araujo, Nardi, Antonio Egidio","Revista Brasileira de Psiquiatria; 35(1); 57-62","Revista Brasileira de Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462013000100010&lang=pt" 
"S0104-77602013000100013-scl","CCD CBERS and ASTER data in dasometric characterization of Pinus radiata D. Don (North-western Spain)","Sevillano-Marco, Eva, Fernández-Manso, Alfonso, Quintano, Carmen, Poulain, Marcela","CERNE; 19(1); 103-110","CERNE","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100013&lang=pt" 
"S0104-77602013000100012-scl","Techonolgy of Qualea grandiflora Mart. (Vochysiaceae) seeds","Dousseau, Sara, Alvarenga, Amauri Alves de, Arantes, Lúcio de Oliveira, Chaves, Izabel de Souza, Avelino, Eduardo Valente","CERNE; 19(1); 93-101","CERNE","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100012&lang=pt" 
"S0104-77602013000100018-scl","Simulação em uso dos pisos de madeira de Eucalyptus sp e Corymbia maculata","Martins, Marcelo, Silva, José Reinaldo Moreira da, Lima, José Tarcísio, Gonçalves, Marcos Tadeu Tiburcio, Filipe, Alexandre Petusk","CERNE; 19(1); 151-156","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100018&lang=pt" 
"S0104-77602013000100020-scl","Tratamentos biológico e químico em sementes de Cedrela fissilis para controle de Rhizoctonia sp.","Lazarotto, Marília, Muniz, Marlove Fátima Brião, Beltrame, Rafael, Santos, Álvaro Figueredo dos, Müller, Jucéli, Araújo, Maristela Machado","CERNE; 19(1); 169-175","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100020&lang=pt" 
"S0085-56262013000100007-scl","Description of the third larval instar and pupa of Geniates barbatus Kirby (Coleoptera, Scarabaeidae, Rutelinae)","Fuhrmann, Juares","Revista Brasileira de Entomologia; 57(1); 40-46","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100007&lang=pt" 
"S0085-56262013000100005-scl","Heterobathmia pseuderiocrania Kristensen &amp; Nielsen (Lepidoptera, Heterobathmiidae): identificación basada en DNA-barcoding y notas morfológicas e historia de vida de los estados inmaduros","Ramos, Rosa A., Parra, Luis E.","Revista Brasileira de Entomologia; 57(1); 24-30","Revista Brasileira de Entomologia","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100005&lang=pt" 
"S0085-56262013000100004-scl","El género Apiococcus Hempel (Hemiptera, Eriococcidae), con redescripción de dos especies","González, Patricia, Claps, Lucía E.","Revista Brasileira de Entomologia; 57(1); 19-23","Revista Brasileira de Entomologia","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100004&lang=pt" 
"S0085-56262013000100003-scl","Uma nova espécie de Orthoderella Giglio-Tos (Mantodea, Mantidae, Photinainae) do Brasil","Menezes, Eliomar da Cruz, Bravo, Freddy","Revista Brasileira de Entomologia; 57(1); 12-18","Revista Brasileira de Entomologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100003&lang=pt" 
"S0085-56262013000100002-scl","Alphus marinonii sp. nov., nova espécie para o Peru e Brasil (Coleoptera, Cerambycidae, Lamiinae)","Souza, Diego de Santana, Monné, Marcela Laura","Revista Brasileira de Entomologia; 57(1); 9-11","Revista Brasileira de Entomologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100002&lang=pt" 
"S0085-56262013000100009-scl","Interaction between Musca domestica L. and its predator Muscina stabulans (Fallén) (Diptera, Muscidae): effects of prey density and food source abundance","Duarte, Juliano Lessa Pinto, Krüger, Rodrigo Ferreira, Ribeiro, Paulo Bretanha","Revista Brasileira de Entomologia; 57(1); 55-58","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100009&lang=pt" 
"S0085-56262013000100010-scl","Orthoptera assemblages associated with macrophytes of floodplain lakes of the Paraná River","Capello, Soledad, Marchese, Mercedes, De Wysiecki, María L.","Revista Brasileira de Entomologia; 57(1); 59-66","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100010&lang=pt" 
"S0085-56262013000100014-scl","Fauna of Simuliidae (Diptera) from the state of Espírito Santo, Brazil: distribution, new records and list of species","Bertazo, Karina, Hamada, Neusa, Salles, Frederico Falcão","Revista Brasileira de Entomologia; 57(1); 91-99","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100014&lang=pt" 
"S0085-56262013000100012-scl","Developmental biology, polymorphism and ecological aspects of Stiretrus decemguttatus (Hemiptera, Pentatomidae), an important predator of cassidine beetles","Paleari, Lucia Maria","Revista Brasileira de Entomologia; 57(1); 75-83","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100012&lang=pt" 
"S0085-56262013000100016-scl","Fauna of phlebotomine sand flies (Diptera, Psychodidae) in areas with endemic American cutaneous leishmaniasis in the State of Mato Grosso do Sul, Brazil","Almeida, Paulo Silva de, Leite, Jhoy Alves, Araújo, Aldecir Dutra de, Batista, Paulo Mira, Touro, Rosineide Barbosa da Silva, Araújo, Vânia Santos, Souza, Edson José de, Rodrigues, João Batista, Oliveira, Gerson Antunes de, Santos, Jeovaldo Vieira dos, Faccenda, Odival, Andrade Filho, José Dilermando","Revista Brasileira de Entomologia; 57(1); 105-112","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100016&lang=pt" 
"S0104-77602013000100001-scl","Expansão da cultura do eucalipto nos municípios mineiros e gestão territorial","Rezende, João Batista, Pereira, José Roberto, Botelho, Douglas de Oliveira","CERNE; 19(1); 1-7","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100001&lang=pt" 
"S0104-77602013000100002-scl","Cost analysis and ecological benefits of environmental recovery methodologies in bauxite mining","Guimarães, João Carlos Costa, Barros, Dalmo Arantes de, Pereira, José Aldo Alves, Silva, Rossi Allan, Oliveira, Antonio Donizette de, Borges, Luís Antônio Coimbra","CERNE; 19(1); 9-17","CERNE","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100002&lang=pt" 
"S0104-77602013000100004-scl","Modeling of basic density of wood from Eucalyptus grandis and Eucalyptus urophylla using nondestructive methods","Couto, Allan Motta, Trugilho, Paulo Fernando, Neves, Thiago Andrade, Protásio, Thiago de Paula, Sá, Vânia Aparecida de","CERNE; 19(1); 27-34","CERNE","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100004&lang=pt" 
"S0104-77602013000100007-scl","Crescimento da acácia-negra em resposta a aplicação de nitrogênio, fósforo e potássio","Schumacher, Mauro Valdir, Viera, Márcio, Londero, Eduardo Kneipp, Calil, Francine Neves, Lopes, Vicente Guilherme, Witschoreck, Rudi","CERNE; 19(1); 51-58","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100007&lang=pt" 
"S0104-77602013000100011-scl","Levels of induced pressure and compaction as caused by forest harvesting operations","Martins, Paula Cristina Caruana, Dias Junior, Moacir de Souza, Carvalho, Josemar da Silva, Silva, Arystides Resende, Fonseca, Sebastião Machado","CERNE; 19(1); 83-91","CERNE","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100011&lang=pt" 
"S0104-77602013000100014-scl","O perfil dos desmatamentos em Mato Grosso, após implementação do licenciamento ambiental em propriedades rurais","Azevedo, Andréa Aguiar, Saito, Carlos Hiroo","CERNE; 19(1); 111-122","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100014&lang=pt" 
"S0104-77602013000100015-scl","Lodo de esgoto como substrato para produção de mudas de Tectona grandis L.","Gomes, Daniele Rodrigues, Caldeira, Marcos Vinicius Winckler, Delarmelina, William Macedo, Gonçalves, Elzimar de Oliveira, Trazzi, Paulo André","CERNE; 19(1); 123-131","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100015&lang=pt" 
"S0104-77602013000100016-scl","Monitoramento em área de catastrofe ambiental através de técnica de detecção de mudanças","Santos, Jorgeane Schaefer dos, Lingnau, Christel","CERNE; 19(1); 133-140","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100016&lang=pt" 
"S0104-77602013000100017-scl","Relações alométricas em árvores de Pterodon emarginatus vogel em um sistema silvipastoril","Daniel, Omar, Pezzoni, Thobias, Nogueira, Igor Murilo Bumbieris, Cremon, Thais, Vitorino, Antonio Carlos Tadeu","CERNE; 19(1); 141-149","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100017&lang=pt" 
"S0104-77602013000100019-scl","Análise fitossociológica da Floresta Nacional de Pacotuba, Cachoeiro de Itapemirim, ES - Brasil","Abreu, Karla Maria Pedra de, Silva, Gilson Fernandes da, Silva, Aderbal Gomes da","CERNE; 19(1); 157-168","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100019&lang=pt" 
"S0085-56262013000100006-scl","Novos gêneros, novas espécies e redescrição em Hemilophini (Coleoptera, Cerambycidae, Lamiinae) das Américas","Galileo, Maria Helena M., Martins, Ubirajara R.","Revista Brasileira de Entomologia; 57(1); 31-39","Revista Brasileira de Entomologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100006&lang=pt" 
"S0085-56262013000100008-scl","Dung beetle assemblages (Coleoptera, Scarabaeinae) in Atlantic forest fragments in southern Brazil","Campos, Renata C., Hernández, Malva I. Medina","Revista Brasileira de Entomologia; 57(1); 47-54","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100008&lang=pt" 
"S0085-56262013000100011-scl","Carabid beetle assemblages in three environments in the Araucaria humid forest of southern Brazil","Moraes, Rodrigo Milton, Mendonça Jr, Milton de Souza, Ott, Ricardo","Revista Brasileira de Entomologia; 57(1); 67-74","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100011&lang=pt" 
"S0085-56262013000100015-scl","Entomofauna associated to fruits and seeds of two species of Enterolobium Mart. (Leguminosae): harm or benefit?","Meiado, Marcos Vinicius, Simabukuro, Eliana Akie, Iannuzzi, Luciana","Revista Brasileira de Entomologia; 57(1); 100-104","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100015&lang=pt" 
"S0085-56262013000100017-scl","Dung beetles (Coleoptera, Scarabaeinae) attracted to sheep dung in exotic pastures","Correa, César Murilo de Albuquerque, Puker, Anderson, Korasaki, Vanesca, Oliveira, Naiara Gimenes de","Revista Brasileira de Entomologia; 57(1); 113-116","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100017&lang=pt" 
"S0104-77602013000100009-scl","Regeneração natural em áreas desmatadas e dominadas por Pteridium aquilinum (L.) Kuhn. na Serra da Mantiqueira","Ribeiro, Selma Cristina, Botelho, Soraya Alvarenga, Fontes, Marco Aurélio Leite, Garcia, Paulo Oswaldo, Almeida, Hisaías de Souza","CERNE; 19(1); 65-76","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100009&lang=pt" 
"S0085-56262013000100001-scl","Espécies de Gorybia Pascoe (Coleoptera, Cerambycidae, Piezocerini) ocorrentes na Bolívia","Galileo, Maria Helena M., Martins, Ubirajara R.","Revista Brasileira de Entomologia; 57(1); 1-8","Revista Brasileira de Entomologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100001&lang=pt" 
"S0085-56262013000100013-scl","Temporal variation in the composition of ant assemblages (Hymenoptera, Formicidae) on trees in the Pantanal floodplain, Mato Grosso do Sul, Brazil","Soares, Stela de Almeida, Suarez, Yzel Rondon, Fernandes, Wedson Desidério, Tenório, Patrícia Mara Soares, Delabie, Jacques Hubert Charles, Antonialli-Junior, William Fernando","Revista Brasileira de Entomologia; 57(1); 84-90","Revista Brasileira de Entomologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262013000100013&lang=pt" 
"S0101-28002013000100013-scl","Exercício aeróbio intradialítico: ênfase em estudos brasileiros","Bohm, Joseane, Thomé, Fernando Saldanha","Jornal Brasileiro de Nefrologia; 35(1); 75-76","Jornal Brasileiro de Nefrologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100013&lang=pt" 
"S0101-28002013000100012-scl","Atualização sobre os efeitos do exercício aeróbico durante a hemodiálise em pacientes com doença renal crônica","Reboredo, Maycon de Moura, Pinheiro, Bruno do Valle, Paula, Rogério Baumgratz de","Jornal Brasileiro de Nefrologia; 35(1); 73-74","Jornal Brasileiro de Nefrologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100012&lang=pt" 
"S0101-28002013000100003-scl","Efeito do exercício resistido intradialítico em pacientes renais crônicos em hemodiálise","Ribeiro, Ronaldo, Coutinho, Gustavo L., Iuras, Anderson, Barbosa, Ana Maria, Souza, José Adilson Camargo de, Diniz, Denise Pará, Schor, Nestor","Jornal Brasileiro de Nefrologia; 35(1); 13-19","Jornal Brasileiro de Nefrologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100003&lang=pt" 
"S0101-28002013000100001-scl","Injúria renal aguda: um alerta global","Li, Philip Kam Tao, Burdmann, Emmanuel A., Mehta, Ravindra L.","Jornal Brasileiro de Nefrologia; 35(1); 1-5","Jornal Brasileiro de Nefrologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100001&lang=pt" 
"S0101-28002013000100002-scl","The association of markers of oxidative-inflammatory status with malnutrition in hemodialysis patients with serum ferritin lower than 500 ng/mL","Almeida, Simone Gonçalves de, Veiga, Joel Paulo Russomano, Arruda, Sandra Fernandes, Neves, Cibele Ferreira, Siqueira, Egle Machado de Almeida","Jornal Brasileiro de Nefrologia; 35(1); 6-12","Jornal Brasileiro de Nefrologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100002&lang=pt" 
"S0101-28002013000100005-scl","Corticotherapy response in primary IgA nephropathy","Novaretti, Natália, Silva, Gyl Eanes Barros, Costa, Roberto Silva, Moysés Neto, Miguel, Vieira Neto, Osvaldo Merege, Romão, Elen Almeida, Coelho, Eduardo Barbosa, Dantas, Márcio","Jornal Brasileiro de Nefrologia; 35(1); 27-34","Jornal Brasileiro de Nefrologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100005&lang=pt" 
"S0101-28002013000100007-scl","Modulação autonômica cardíaca em indivíduos saudáveis com histórico familiar de doença renal crônica","Souza, Lívia Victorino de, Mira, Pedro Augusto de Carvalho, Freitas, Isabelle Magalhães Guedes, Pereira, Natália Portela, Lima, Jorge Roberto Perrout de, Bastos, Marcus Gomes, Laterza, Mateus Camaroti","Jornal Brasileiro de Nefrologia; 35(1); 42-47","Jornal Brasileiro de Nefrologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100007&lang=pt" 
"S0101-28002013000100009-scl","Disfunção do trato urinário inferior: um diagnóstico comum na prática pediátrica","Vasconcelos, Monica Maria de Almeida, Lima, Eleonora Moreira, Vaz, Giovana Branco, Silva, Thamara H. S.","Jornal Brasileiro de Nefrologia; 35(1); 57-64","Jornal Brasileiro de Nefrologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100009&lang=pt" 
"S0101-28002013000100010-scl","Peritonite esclerosante encapsulante pós-diálise peritoneal","Cestari, Alexandre Tagliari, Conti, Marina Lourenço de, Prats, João Antonio Gonçalves Garreta, Sato Junior, Henri, Abensur, Hugo","Jornal Brasileiro de Nefrologia; 35(1); 65-68","Jornal Brasileiro de Nefrologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100010&lang=pt" 
"S0101-28002013000100011-scl","Espironolactona reduz a pressão arterial e a albuminúria de hipertensos obesos com síndrome metabólica","Ezequiel, Danielle Guedes Andrade, Paula, Rogerio Baumgratz de, Lovisi, Júlio César Moraes, Bicalho, Thaís Chehuen, Souza Fillho, Sergio Franca de, Rezende, Sarah de Paula Iennaco de, Costa, Monica Barros","Jornal Brasileiro de Nefrologia; 35(1); 69-72","Jornal Brasileiro de Nefrologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100011&lang=pt" 
"S0124-00642013000200007-col","Cuantificación de hidrocarburos policíclicos aromáticos urinarios en policías de tránsito del área metropolitana de Bogotá","Díaz-Merchán, Cristian C., Urrego-Novoa, José R., Rojas, Néstor Y., Rodríguez-Pulido, Alba I., Prieto-Suarez, Edgar","Revista de Salud Pública; 15(2); 237-246","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200007&lang=pt" 
"S0124-00642013000200004-col","Validación para Colombia de la escala CRAFFT para tamización de consumo de sustancias psicoactivas en adolescentes","Cote-Menendez, Miguel, Uribe-Isaza, María M., Prieto-Suárez, Edgar","Revista de Salud Pública; 15(2); 203-215","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200004&lang=pt" 
"S0124-00642013000200005-col","Efecto del ejercicio prescrito no controlado sobre el perfil de condición física en brigadistas universitarios","León-Rodríguez, Julie C., Cañón-Betancourt, Lorena A.","Revista de Salud Pública; 15(2); 216-226","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200005&lang=pt" 
"S0124-00642013000200002-col","Costo de neumonía nosocomial no asociada a ventilación en el Hospital Universitario de Santander 2007-2009","Rodríguez-Burbano, Lady, De La Hoz, Fernando Pio, Leal-Castro, Aura L.","Revista de Salud Pública; 15(2); 180-191","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200002&lang=pt" 
"S0124-00642013000200003-col","Concordancia de dos pruebas serológicas para el diagnóstico de la enfermedad de Chagas","Farfán-García, Ana E., Castellanos-Domínguez, Yeny Z., Luna-Marín, Katherine P., Angulo-Silva, Víctor M.","Revista de Salud Pública; 15(2); 192-202","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200003&lang=pt" 
"S0124-00642013000200001-col","Evaluación del desempeño de servicios de Atención Primaria en Salud: experiencia en municipios rurales en Santander, Colombia","Rodríguez-Villamizar, Laura A., Acosta-Ramírez, Naydú, Ruiz-Rodríguez, Myriam","Revista de Salud Pública; 15(2); 167-179","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200001&lang=pt" 
"S0124-00642013000200012-col","Genotoxicidad sobre linfocitos humanos expuestos a PM10 de tres sitios del Valle de Aburrá (Antioquia)","Mendoza-Zapata, Lady C., Orozco-Jiménez, Luz Y., Zapata-Restrepo, Lina M., Palacio-Baena, Jaime A.","Revista de Salud Pública; 15(2); 294-306","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200012&lang=pt" 
"S0124-00642013000200013-col","La prevención del inicio del consumo de cigarrillo en escolares: una mirada crítica a los estudios basados en la escuela","Cogollo, Zuleima","Revista de Salud Pública; 15(2); 307-315","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200013&lang=pt" 
"S0124-00642013000200010-col","Infecciones respiratorias en niños migrantes indígenas de familias jornaleras mexicanas","Curiel-Reyes, Rafael, Bárcenas-López, Rosa M., Caballero-Hoyos, Ramiro, Villaseñor-Sierra, Alberto","Revista de Salud Pública; 15(2); 271-280","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200010&lang=pt" 
"S0124-00642013000200011-col","A menarca e seu impacto nas qualidades físicas de escolares","Fonseca Junior, Sidnei Jorge, Fernandes Filho, José","Revista de Salud Pública; 15(2); 281-293","Revista de Salud Pública","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200011&lang=pt" 
"S0124-00642013000200009-col","Análisis de la actualización del Plan Obligatorio de Salud del Sistema de Seguridad Social en Salud colombiano, 2009-2012","Cardona, Álvaro, Mejía, Luz M., Vargas, Gilma S., Álvarez, Edwin, Nieto, Emmanuel","Revista de Salud Pública; 15(2); 258-270","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200009&lang=pt" 
"S0124-00642013000200006-col","Control del vector del dengue utilizando fracciones etéreas de dos plantas (Asteraceae) como larvicidas","Álvarez-Londoño, Juan C., Duarte-Gandica, Irene, Aguirre-Obando, Oscar A., Jiménez-Montoya, Jorge A.","Revista de Salud Pública; 15(2); 227-236","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200006&lang=pt" 
"S0124-00642013000200008-col","Violencia de pareja en el Departamento del Quindío, Colombia","Zapata-Giraldo, Francisco F.","Revista de Salud Pública; 15(2); 247-257","Revista de Salud Pública","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642013000200008&lang=pt" 
"S1415-790X2013000100223-scl","Situação dos municípios do estado de São Paulo com relação à compra direta de produtos da agricultura familiar para o Programa Nacional de Alimentação Escolar (PNAE)","Villar, Betzabeth Slater, Schwartzman, Flavia, Januario, Bruna Lourenço, Ramos, Jamile Fernandes","Revista Brasileira de Epidemiologia; 16(1); 223-226","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100223&lang=pt" 
