"S1414-32832011000400014-spa","Formação do psicólogo para a saúde mental: a psicologia piauiense em análise","Macedo, João Paulo, Dimenstein, Magda","Interface - Comunicação, Saúde, Educação; 15(39); 1145-1158","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400014&lang=pt" 
"S0034-76122011000600009-scl","Dimensionamento de recursos humanos em serviços de alimentação e nutrição de hospitais públicos e privados","Santos, Rita de Cássia Lusia dos, Diez-Garcia, Rosa Wanda","Revista de Administração Pública; 45(6); 1805-1819","Revista de Administração Pública","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000600009&lang=pt" 
"S0034-76122011000600017-scl","Recuperação fragmentada e indústria da influência","Monteiro, Jorge Vianna","Revista de Administração Pública; 45(6); 1993-2004","Revista de Administração Pública","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000600017&lang=pt" 
"S0034-76122011000600016-scl","A produção científica em empresas familiares: um enfoque conceitual","Moraes Filho, Antonio Carlos Trindade de, Barone, Francisco Marcelo, Pinto, Marcos de Oliveira","Revista de Administração Pública; 45(6); 1971-1991","Revista de Administração Pública","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000600016&lang=pt" 
"S0034-76122011000600018-scl","Errata","","Revista de Administração Pública; 45(6); -","Revista de Administração Pública","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000600018&lang=pt" 
"S1517-97022011000400011-scl","Avaliação da educação superior no Brasil e a expansão da educação superior em enfermagem","Galleguillos, Tatiana Gabriela Brassea, Catani, Afrânio Mendes","Educação e Pesquisa; 37(4); 843-860","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400011&lang=pt" 
"S1517-97022011000400013-scl","As três idades das políticas de educação prioritária: uma convergência europeia?","Rochex, Jean-Yves","Educação e Pesquisa; 37(4); 871-881","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400013&lang=pt" 
"S0104-07072011000400004-scl","Modelo bioecológico de Urie Bronfenbrenner e inserção ecológica: uma metodologia para investigar famílias rurais","Zillmer, Juliana Graciela Vestena, Schwartz, Eda, Muniz, Rosani Manfrin, Meincke, Sonia Maria Könzgen","Texto &amp; Contexto - Enfermagem; 20(4); 669-674","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400004&lang=pt" 
"S0036-46652011000600009-scl","Analogies in medicine: intruder noodles","Andrade-Filho, José de Souza","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 345-345","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600009&lang=pt" 
"S0036-46652011000600013-scl","Entomologia médica e veterinária","Galati, Eunice A.B.","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 308-308","Revista do Instituto de Medicina Tropical de São Paulo","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600013&lang=pt" 
"S0036-46652011000600002-scl","Benign and malignant neoplasias in 261 necropsies for HIV-positive patients in the period of 1989 to 2008","Micheletti, Adilha Rua, Macedo, Ana Carolina Sandoval, Silva, Gisele Barbosa e, Silva, Ana Cristina Araújo Lemos da, Silva-Vergara, Mário Leon, Murta, Eddie Fernando Cândido, Adad, Sheila Jorge","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 309-314","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600002&lang=pt" 
"S0036-46652011000600001-scl","Prevalence of discordant immunologic and virologic responses in patients with AIDS under antiretroviral therapy in a specialized care center in Brazil","Casotti, Janaina Aparecida Schineider, Passos, Luciana Neves, Oliveira, Fabiano José Pereira de, Cerutti Jr, Crispim","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 301-307","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600001&lang=pt" 
"S0036-46652011000600004-scl","Co-infection of Dengue virus by serotypes 3 and 4 in patients from Amazonas, Brazil","Figueiredo, Regina M.P. de, Naveca, Felipe Gomes, Oliveira, Cintia Mara, Bastos, Michele de Souza, Mourão, Maria Paula Gomes, Viana, Suziane de S., Melo, Miriam do N., Itapirema, Evaulino F., Saatkamp, Cassiano J., Farias, Izeni P.","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 321-323","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600004&lang=pt" 
"S0036-46652011000600005-scl","Prevalence of pediculosis capitis in children from a rural school in Yucatan, Mexico","Manrique-Saide, Pablo, Pavía-Ruz, Norma, Rodríguez-Buenfil, Jorge C., Herrera Herrera, Roodeth, Gómez-Ruiz, Pilar, Pilger, Daniel","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 325-327","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600005&lang=pt" 
"S0036-46652011000600008-scl","Early diagnosis of relapse in borderline leprosy: two case reports","Brandão, Maria Luiza Figueiredo Braga, Lima, Cíntia Maria Oliveira, Piñeiro-Maceira, Juan, Miranda, Alice, Oliveira, M.Leide W. de","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 341-343","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600008&lang=pt" 
"S0036-46652011000600010-scl","Seroprevalence of hepatitis B and C infection markers among children and adolescents in the southern Brazilian region","Alavian, Seyed Moayed","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 347-347","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600010&lang=pt" 
"S0036-46652011000600011-scl","Guillain-Barré syndrome and dengue","Wiwanitkit, Viroj","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 349-349","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600011&lang=pt" 
"S0036-46652011000600012-scl","","","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 349-349","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600012&lang=pt" 
"S1984-64872011000400001-scl","Editorial","","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 4-6","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400001&lang=pt" 
"S1984-64872011000400009-scl","Demografía de lo otro: biografías sexuales y trayectorias de emparejamientos entre varones en la Ciudad de México","Lozano Verduzco, Ignacio","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 159-165","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400009&lang=pt" 
"S1984-64872011000400008-scl","","Heilborn, Maria Luiza","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 154-158","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400008&lang=pt" 
"S0104-07072011000400001-scl","Pesquisa qualitativa em saúde: desafios atuais e futuros","Mercado-Martinez, Francisco J.","Texto &amp; Contexto - Enfermagem; 20(4); 645-648","Texto &amp; Contexto - Enfermagem","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400001&lang=pt" 
"S0104-07072011000400022-scl","Educação em saúde e a atuação de enfermagem no contexto de unidades de internação hospitalar: o que tem sido ou há para ser dito?","Rigon, Angelita Gastaldo, Neves, Eliane Tastch","Texto &amp; Contexto - Enfermagem; 20(4); 812-817","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400022&lang=pt" 
"S0036-46652011000600003-scl","Evaluation of dengue NS1 antigen detection for diagnosis in public health laboratories, São Paulo State, 2009","Bisordi, Ivani, Rocco, Iray Maria, Suzuki, Akemi, Katz, Gizelda, Silveira, Vivian Regina, Maeda, Adriana Yurika, Souza, Renato Pereira de, Bassi, Margarida Georgina, Del Tedesco, Eloisa Fonseca, Freitas, Eithma, Bessa, Thirsa Álvares Franco","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 315-320","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600003&lang=pt" 
"S0036-46652011000600006-scl","Potential utility of hyperbaric oxygen therapy and propolis in enhancing the leishmanicidal activity of glucantime","Ayres, Diana Copi, Fedele, Thiago Antonio, Marcucci, Maria Cristina, Giorgio, Selma","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 329-334","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600006&lang=pt" 
"S0036-46652011000600007-scl","Municipalities of higher vulnerability to Sylvatic Yellow Fever occurrence in the São Paulo State, Brazil","Moreno, Eduardo Stramandinoli, Barata, Rita de Cássia Barradas","Revista do Instituto de Medicina Tropical de São Paulo; 53(6); 335-339","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652011000600007&lang=pt" 
"S1984-64872011000400003-scl","La &quot;charapa ardiente&quot; y la hipersexualización de las mujeres amazónicas en el Perú: perspectivas de mujeres locales","Motta, Angélica","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 29-60","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400003&lang=pt" 
"S1984-64872011000400004-scl","Cenas da circulação: fragmentos de uma etnografia sobre homossexualidade, gênero, cor e mestiçagem em uma favela do Rio de Janeiro","Aguião, Silvia","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 61-90","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400004&lang=pt" 
"S1984-64872011000400005-scl","Mídia e Sexualidade: a relação lésbica na revista TPM","Rodrigues, Bruna Mariano","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 91-108","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400005&lang=pt" 
"S1984-64872011000400006-scl","Configuración de la homosexualidad medicalizada en Chile","Rolando Cornejo, Juan","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 109-136","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400006&lang=pt" 
"S1984-64872011000400007-scl","Demanda por eutanásia e condição de pessoa: reflexões em torno do estatuto das lágrimas","Menezes, Rachel Aisengart","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 137-153","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400007&lang=pt" 
"S0104-07072011000400002-scl","Nursing students&#039; perceptions of their experiences with fathers during their family nursing clinical practicum","Montigny, Francine de, Devault, Annie, Este, David, Fleurant, Annie, Nascimento, Lucila Castanheira","Texto &amp; Contexto - Enfermagem; 20(4); 649-657","Texto &amp; Contexto - Enfermagem","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400002&lang=pt" 
"S0104-07072011000400003-scl","Filosofia assistencial de uma maternidade-escola: fatores associados à satisfação das mulheres usuárias","Brüggemann, Odaléa Maria, Monticelli, Marisa, Furtado, Camilla, Fernandes, Camila Mariano, Lemos, Fabiane Nunes, Gayeski, Michele Edianez","Texto &amp; Contexto - Enfermagem; 20(4); 658-668","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400003&lang=pt" 
"S0104-07072011000400005-scl","Biopolítica e doação de órgãos: estratégias e táticas da mídia no Brasil","Pruinelli, Lisiane, Kruse, Maria Henriqueta Luce","Texto &amp; Contexto - Enfermagem; 20(4); 675-681","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400005&lang=pt" 
"S0104-07072011000400020-scl","Influência do dimensionamento da equipe de enfermagem na qualidade do cuidado ao paciente crítico","Versa, Gelena Lucinéia Gomes da Silva, Inoue, Kelly Cristina, Nicola, Anair Lazzari, Matsuda, Laura Misue","Texto &amp; Contexto - Enfermagem; 20(4); 796-802","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400020&lang=pt" 
"S0104-07072011000400021-scl","Contribuições da literatura para a enfermagem de família no contexto rural","Fernandes, Gisele Cristina Manfrini, Boehs, Astrid Eggert","Texto &amp; Contexto - Enfermagem; 20(4); 803-811","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400021&lang=pt" 
"S0104-07072011000400023-scl","Construindo caminhos, relatando vivências: a trajetória do grupo de estudos e pesquisa em saúde","Krug, Suzane Beatriz Frantz, Assunção, Ari Nunes, Weigelt, Leni Dias, Sehnem, Luciele, Alves, Luciane Maria Schmidt, Faller, Lívia de Almeida","Texto &amp; Contexto - Enfermagem; 20(4); 818-824","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400023&lang=pt" 
"S0104-07072011000400024-scl","Uma experiência vivida por uma cuidadora, como paciente, utilizando a narrativa literária","Waldow, Vera Regina","Texto &amp; Contexto - Enfermagem; 20(4); 825-833","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400024&lang=pt" 
"S1984-64872011000400002-scl","Políticas de saúde para lésbicas, gays, bissexuais, travestis e transexuais no Brasil: em busca de universalidade, integralidade e equidade","Mello, Luiz, Perilo, Marcelo, Braz, Camilo Albuquerque de, Pedrosa, Cláudio","Sexualidad, Salud y Sociedad (Rio de Janeiro); (9); 7-28","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872011000400002&lang=pt" 
"S1851-300X2011000400001-arg","Revista Argentina de Dermatología: El primer año en la red","Achenbach, Ricardo E.","Revista argentina de dermatología; 92(4); 1-1","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400001&lang=pt" 
"S1851-300X2011000400002-arg","Lepra en la infancia: Desafío diagnóstico","Táquez, AE, Cerón, CA, Chaparro, MA, Sales, AM, Nery, JA, Miranda, A, Lupi, O","Revista argentina de dermatología; 92(4); 2-10","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400002&lang=pt" 
"S1851-300X2011000400003-arg","Placas máculonoduliformes hiperpigmentadas pruriginosas en niño de dos años de edad","Pérez-Elizondo, AD, López Valentín, E, Pineda-Pineda, JA","Revista argentina de dermatología; 92(4); 11-17","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400003&lang=pt" 
"S1851-300X2011000400004-arg","Enfermedad de Fabry: Comunicación de ocho casos","Palombo, M, Achenbach, RE","Revista argentina de dermatología; 92(4); 18-45","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400004&lang=pt" 
"S1851-300X2011000400005-arg","Sífilis secundaria de recidiva: A propósito de un caso","López, S, Delgado, ME, Gómez, B, Lorenz, AM","Revista argentina de dermatología; 92(4); 46-55","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400005&lang=pt" 
"S1851-300X2011000400006-arg","Haga su diagnóstico","Pérez-Elizondo, AD, del Pino-Rojas, GT, Bonifaz-Trujillo, Alexandro","Revista argentina de dermatología; 92(4); 56-59","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400006&lang=pt" 
"S1851-300X2011000400007-arg","Recuerdo póstumo del Profesor Dr. Pablo A. Viglioglia","Villanueva, Cristina","Revista argentina de dermatología; 92(4); 60-60","Revista argentina de dermatología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2011000400007&lang=pt" 
"S0102-09352011000600004-scl","Características zootécnicas de touros da raça Nelore submetidos a um programa de seleção para precocidade sexual","Lima, F.P.C., Bergmann, J.A.G., Xavier, P.R., Marques Jr, A.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1303-1308","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600004&lang=pt" 
"S0102-09352011000600007-scl","Chronic intestinal pseudo-obstruction in a dog: case report","Bicalho, A.L., Silva, A.P.C., Paixão, T.A., Cardoso Jr., R.B., Santos, R.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1323-1329","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600007&lang=pt" 
"S0102-09352011000600006-scl","Intracranial variables in propofol or sevoflurane-anesthestized dogs subjected to subarachnoid administration of iohexol","Nunes, N., Leite, A.V., Paula, D.P., Nishimori, C.T.D., Souza, A.P., Santos, P.S.P., Guerrero, P.N. Henao, Lopes, P.C.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1315-1322","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600006&lang=pt" 
"S0102-09352011000600011-scl","Fibrossarcoma uretral primário em cadela","Silva, M.M.V., Crivelenti, L.Z., Momo, C., Honsho, D.K.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1353-1358","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600011&lang=pt" 
