"S0188-49992016000100035-mex","Análisis costo-beneficio de la calefacción distrital en la zona central de Chile","Carrasco Vidal, Rudy, Jiménez del Río, Jorge, Mardones Poblete, Cristian","Revista internacional de contaminación ambiental; 32(1); 35-45","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100035&lang=pt" 
"S2071-29362016000100028-sza","A training intervention on child feeding among primary healthcare workers in Ibadan Municipality","Samuel, Folake O., Olaolorun, Funmilola M., Adeniyi, Joshua D.","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100028&lang=pt" 
"S2071-29362016000100019-sza","Family medicine in Denmark: Are there lessons for Botswana and Africa?","Setlhare, Vincent","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-5","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100019&lang=pt" 
"S2071-29362016000100022-sza","New family medicine residency training programme: Residents&#039; perspectives from the University of Botswana","Mbuka, Deogratias O., Tshitenge, Stephane, Setlhare, Vincent, Tsima, Billy, Adewale, Ganiyu, Parsons, Luise","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-8","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100022&lang=pt" 
"S2071-29362016000100029-sza","Factors affecting time of access of in-patient care at Webuye District hospital, Kenya","Lodenyo, Maxwell M., Otsyula, Barasa K., Downing, Raymond, Yakubu, Kenneth, Miima, Miriam, Ifeyinwa, Okoye","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-9","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100029&lang=pt" 
"S0188-49992016000100055-mex","Manantiales de la cuenca del río Duero Michoacán: operación, calidad y cantidad","Silva García, José Teodoro, Ochoa Estrada, Salvador, Cruz Cárdenas, Gustavo, Nava Velázquez, Jaime, Villalpando Barragán, Fabián","Revista internacional de contaminación ambiental; 32(1); 55-68","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100055&lang=pt" 
"S0188-49992016000100007-mex","Consumo de energía y emisiones de CO 2 del autotransporte en México y escenarios de mitigación","Solís Ávila, Juan Carlos, Sheinbaum Pardo, Claudia","Revista internacional de contaminación ambiental; 32(1); 7-23","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100007&lang=pt" 
"S0101-20612016005030102-scl","HS-SPME optimization and extraction of volatile compounds from soursop (Annona muricata L.) pulp with emphasis on their characteristic impact compounds","SANTANA, Karen Leticia de, GALVÃO, Mercia de Sousa, JESUS, Monica Silva de, NOGUEIRA, Juliete Pedreira, NARAIN, Narendra","Food Science and Technology (Campinas); (ahead); -","Food Science and Technology (Campinas)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612016005030102&lang=pt" 
"S1516-89132016000100704-scl","Highly Solvent Tolerance in Serratia marcescens IBBPo15","Stancu, Mihaela Marilena","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100704&lang=pt" 
"S1516-89132016000100347-scl","Diel Variations and Ecological Aspects in Fish Assemblages of a Sandy Beach in the Semi-Arid Region of Northeast Brazil.","Dantas, Natália Carla Fernandes Medeiros, Silva Júnior, Carlos Antônio Beserra, Lippi, Daniel Lino, Feitosa, Caroline Vieira","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100347&lang=pt" 
"S1517-70762016005000001-scl","Errata:Síntese e caracterização de arcabouços de quitosana com agente antineoplásicos","","Matéria (Rio de Janeiro); (ahead); -","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016005000001&lang=pt" 
"S1516-89132016000100429-scl","Applications of Plackett–Burman and Central Composite Design for the Optimization of Novel Brevundimonas diminuta KT277492 Chitinase Production, Investigation of its Antifungal Activity","Warda, E. Ashour, Abeer, A. Abd El Aty, Eman, R. Hamed, Mahmoud, A. Swelim, Ahmed, I. El-Diwany","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100429&lang=pt" 
"S1516-89132016000100348-scl","Genotoxicity Evaluation of Dipotassium -Trioxohydroxytetrafluorotriborate, K2(B3O3F4OH), in Human Lymphocyte Cultures and Mice Reticulocytes","Haveric, Sanin, Hadzic, Maida, Haveric, Anja, Mijanovic, Mirjana, Hadziselimovic, Rifat, Galic, Borivoj","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100348&lang=pt" 
"S1516-89132016000100345-scl","An Alternative Inactivant for Rift Valley Fever Virus using Cobra Venom-derived L-Amino Oxidase, which is Related to its Immune Potential","Al-Olayan, Ebtesam M, Mohamed, Aly F, El-Khadraqy, Manal F, Shebl, Rania I, Yehia, HanryM","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100345&lang=pt" 
"S1516-89132016000100346-scl","Biomarkers towards Ovarian Cancer Diagnostics: Present and Future Prospects","Rastogi, Meenal, Gupta, Sameer, Sachan, Manisha","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100346&lang=pt" 
"S1135-57272016000100102-spa","La Declaración GATHER para la presentación precisa y trasparente de los estudios sobre estimaciones de salud procedentes de múltiples fuentes de información y poblaciones","Catalá-López, Ferrán, Pérez Andrés, Cristina","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100102&lang=pt" 
"S0030-24652016000100027-sza","Cellular immune responses induced in vitro by Ehrlichia ruminantium secreted proteins and identification of vaccine candidate peptides","Thema, Nontobeko, Pretorius, Alri, Tshilwane, Selaelo I., Liebenberg, Junita, Steyn, Helena, van Kleef, Mirinda","Onderstepoort Journal of Veterinary Research; 83(1); 1-11","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100027&lang=pt" 
"S1135-57272016000100202-spa","La valoración de la actitud ante el riesgo en personas que demandan cuidados en salud: una aproximación mediante juegos de loterías utilizando  generalized estimating equations","Martín-Fernández, Jesús, Ariza-Cardiel, Gloria, Polentinos-Castro, Elena, Gil-Lacruz, Ana Isabel, Gómez-Gascón, Tomás, Domínguez-Bidagor, Julia, del-Cura-González, Isabel","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Inglês, Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100202&lang=pt" 
"S0030-24652016000100026-sza","Comparison of nucleotide sequences of recent and previous lineages of peste-des-petits-ruminants viruses of sheep and goats in Nigeria","Mantip, Samuel, Quan, Melvyn, Shamaki, David, van Vuuren, Moritz","Onderstepoort Journal of Veterinary Research; 83(1); 1-10","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100026&lang=pt" 
"S1135-57272016000100300-spa","Nuevo calendario de vacunación para España, 2016 (Parte 1)","Limia-Sánchez, Aurora, Andreu, María del Mar, de Viarce Torres de Mier, María, Navarro-Alonso, José Antonio","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100300&lang=pt" 
"S0030-24652016000100029-sza","Effect of the infection with the nematode Haemonchus contortus (Strongylida: Trichostrongylidae) on the haematological, biochemical, clinical and reproductive traits in rams","Rouatbi, Mariem, Gharbi, Mohamed, Rjeibi, Mohamed R., Salem, Imen Ben, Akkari, Hafidh, Lassoued, Narjess, Rekik, Mourad","Onderstepoort Journal of Veterinary Research; 83(1); 1-8","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100029&lang=pt" 
"S1135-57272016000100204-spa","Calidad de las guías de práctica clínica españolas sobre la enfermedad de Alzheimer y otras demencias","Parra-Anguita, Laura, Granero-Moya, Nani, Pancorbo-Hidalgo, Pedro L.","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100204&lang=pt" 
"S0030-24652016000100030-sza","Health evaluation of African penguins (Spheniscus demersus) in southern Africa","Parsons, Nola J., Gous, Tertius A., Schaefer, Adam M., Vanstreels, Ralph E.T.","Onderstepoort Journal of Veterinary Research; 83(1); 1-13","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100030&lang=pt" 
"S0030-24652016000100028-sza","A pathogen-specific approach towards udder health management in dairy herds: Using culture and somatic cell counts from routine herd investigations","Petzer, Inge-Marié, Karzis, Joanne, Donkin, Edward F., Webb, Edward C.","Onderstepoort Journal of Veterinary Research; 83(1); 1-12","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100028&lang=pt" 
"S1135-57272016000100201-spa","Influencia de las características urbanísticas ambientales en el nivel de actividad física de la población de 18 a 65 años del área metropolitana de Pamplona","Orzanco-Garralda, Mª Rosario, Guillén-Grima, Francisco, Sainz Suberviola, Lourdes, Redín Areta, Mª Dolores, de la Rosa Eduardo, Rosana, Aguinaga-Ontoso, Inés","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100201&lang=pt" 
"S1135-57272016000100100-spa","Mejorar la transparencia y la credibilidad de los análisis coste-efectividad de las intervenciones sanitarias","Catalá-López, Ferrán, Ridao, Manuel","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100100&lang=pt" 
"S0030-24652016000100024-sza","A retrospective study of the prevalence of bovine fasciolosis at major abattoirs in Botswana","Ernest Mochankana, M., Robertson, Ian D.","Onderstepoort Journal of Veterinary Research; 83(1); 1-5","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100024&lang=pt" 
"S0030-24652016000100025-sza","Enhanced expression of recombinant beta toxin of Clostridium perfringens type B using a commercially available Escherichia coli strain","Bakhshi, Fatemeh, Langroudi, Reza Pilehchian, Eimani, Bahram Golestani","Onderstepoort Journal of Veterinary Research; 83(1); 1-4","Onderstepoort Journal of Veterinary Research","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652016000100025&lang=pt" 
"S1135-57272016000100101-spa","Reflexiones en torno al marco epistemológico de la disforia de género","Fernández Rodríguez, María, Guerra Mora, Patricia, Martín Sánchez, Eloya","Revista Española de Salud Pública; 90(); -","Revista Española de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100101&lang=pt" 
"S0104-64972016000100215-scl","A new species of Achaeus Leach, 1817 (Decapoda: Brachyura: Majoidea: Inachidae) from Easter Island","Ng, Peter K.L., Boyko, Christopher B.","Nauplius; 24(); -","Nauplius","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972016000100215&lang=pt" 
"S1676-06032016000400503-scl","Density of ocelots in a semiarid environment in northeastern Brazil","Penido, Gabriel, Astete, Samuel, Furtado, Mariana Malzoni, Jácomo, Anah Tereza de Almeida, Sollmann, Rahel, Torres, Natalia, Silveira, Leandro, Marinho Filho, Jader","Biota Neotropica; 16(4); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000400503&lang=pt" 
"S0034-89102016000100236-scl","Accuracy of probabilistic and deterministic record linkage: the case of tuberculosis","Oliveira, Gisele Pinto de, Bierrenbach, Ana Luiza de Souza, Camargo Júnior, Kenneth Rochel de, Coeli, Cláudia Medina, Pinheiro, Rejane Sobrino","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100236&lang=pt" 
"S0034-89102016000100237-scl","Cross-cultural adaptation and validation of the teamwork climate scale","Silva, Mariana Charantola, Peduzzi, Marina, Sangaleti, Carine Teles, Silva, Dirceu da, Agreli, Heloise Fernandes, West, Michael A, Anderson, Neil R","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100237&lang=pt" 
"S0034-89102016000100233-scl","Late presentation to HIV/AIDS care in Brazil among men who self-identify as heterosexual","MacCarthy, Sarah, Brignol, Sandra, Reddy, Manasa, Nunn, Amy, Dourado, Inês","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100233&lang=pt" 
"S0034-89102016000100603-scl","Network as transconcept: elements for a conceptual demarcation in the field of public health","Amaral, Carlos Eduardo Menezes, Bosi, Maria Lúcia Magalhães","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100603&lang=pt" 
"S1516-44462016005014102-scl","Symptoms of anxiety and depression are related to cardiovascular responses to active, but not passive, coping tasks","Yuenyongchaiwat, Kornanong, Baker, Ian S., Sheffield, David","Revista Brasileira de Psiquiatria; (ahead); -","Revista Brasileira de Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462016005014102&lang=pt" 
"S1676-06032016000400502-scl","Galls of Cecidoses eremita Curtis and Eucecidoses minutanus Brèthes (Lepidoptera: Cecidosidae) in Magdalena, Buenos Aires Province: preliminary study and associated fauna","Loetti, Veronica, Valverde, Alejandra, Rubel, Diana Nora","Biota Neotropica; 16(4); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000400502&lang=pt" 
"S0034-89102016000100235-scl","Self-perception of oral health in older adults from an urban population in Lisbon, Portugal","Carvalho, Catarina, Manso, Ana Cristina, Escoval, Ana, Salvado, Francisco, Nunes, Carla","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100235&lang=pt" 
"S0100-879X2016001100706-scl","Selection of superior bifidobacteria in the presence of rotavirus","Alp Avci, G.","Brazilian Journal of Medical and Biological Research; 49(11); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001100706&lang=pt" 
"S1983-14472016000300419-scl","Percepção de profissionais de enfermagem acerca de segurança do paciente em unidades de terapia intensiva","Costa, Theo Duarte da, Salvador, Pétala Tuani Candido de Oliveira, Rodrigues, Cláudia Cristiane Filgueira Martins, Alves, Kisna Yasmin Andrade, Tourinho, Francis Solange Vieira, Santos, Viviane Euzébia Pereira","Revista Gaúcha de Enfermagem; 37(3); -","Revista Gaúcha de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300419&lang=pt" 
"S0103-49792016000600125-scl","O BANCO NACIONAL DE DESENVOLVIMENTO ECONÔMICO E SOCIAL (BNDES) E A EXPANSÃO DE EMPRESAS BRASILEIRAS DE CONSTRUÇÃO CIVIL PARA A AMÉRICA DO SUL","Kraychete, Elsa Sousa","Caderno CRH; 29(spe3); 125-134","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600125&lang=pt" 
"S0103-49792016000600077-scl","¿PUERTAS ABIERTAS? migrações regionais, direito e integração na Comunidade Andina de Nações e no Mercosul","Mendes, José Sacchetta Ramos","Caderno CRH; 29(spe3); 77-92","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600077&lang=pt" 
"S0103-49792016000600151-scl","LA RELACIÓN ENTRE TRATADOS DE INVERSIÓN Y CONVENIOS DE DOBLE TRIBUTACIÓN: el caso chileno","Lazo, Rodrigo Polanco, Villanueva, Felipe Yáñez","Caderno CRH; 29(spe3); 151-170","Caderno CRH","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600151&lang=pt" 
"S0103-49792016000600107-scl","ENERGÍA DE BAJA INTENSIDAD: gobiernos, mercados e instituciones en el regionalismo energético de América del Sur","Palestini, Stefano","Caderno CRH; 29(spe3); 107-123","Caderno CRH","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600107&lang=pt" 
"S0103-49792016000600013-scl","LA AMAZONÍA EN EL FUTURO DE LA AMÉRICA DEL SUR: identificación de los ejes estratégicos socioambientales para la cooperación Sur-Sur","Dall’Orso, Carlos Antonio Martin Soria","Caderno CRH; 29(spe3); 13-25","Caderno CRH","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600013&lang=pt" 
"S0103-49792016000600059-scl","UNASUL: a dimensão política do novo regionalismo sul-americano","Nery, Tiago","Caderno CRH; 29(spe3); 59-75","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600059&lang=pt" 
"S1981-67232016000100424-scl","Levels of essential and toxic metals in fenugreek seeds (Trigonella Foenum-Graecum L.) cultivated in different parts of Ethiopia","Hagos, Mebrahtu, Chandravanshi, Bhagwan Singh","Brazilian Journal of Food Technology; 19(); -","Brazilian Journal of Food Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232016000100424&lang=pt" 
"S1983-14472016000300416-scl","Foi/não foi tudo o que pensava: facilidades e dificuldades após o transplante renal","Santos, Bianca Pozza dos, Viegas, Aline da Costa, Feijó, Aline Machado, Lise, Fernanda, Schwartz, Eda","Revista Gaúcha de Enfermagem; 37(3); -","Revista Gaúcha de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300416&lang=pt" 
"S1983-14472016000300418-scl","Gênero, violência e viver na rua: vivências de mulheres que fazem uso problemático de drogas","Souza, Márcia Rebeca Rocha de, Oliveira, Jeane Freitas de, Chagas, Mariana Cavalcante Guedes, Carvalho, Evanilda Souza de Santana","Revista Gaúcha de Enfermagem; 37(3); -","Revista Gaúcha de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300418&lang=pt" 
