"S0100-204X2014000900665-scl","Biologia e tabela de vida de fertilidade do pulgão-preto em cultivares de videira","Baronio, Cléber Antonio, Andzeiewski, Simone, Cunha, Uemerson Silva da, Botton, Marcos","Pesquisa Agropecuária Brasileira; 49(9); 665-672","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900665&lang=pt" 
"S0100-204X2014000900673-scl","Carbon isotope fractionation for cotton genotype selection","Brito, Giovani Greigh de, Suassuna, Nelson Dias, Diola, Valdir, Sofiatti, Valdinei, Ducatti, Carlos, Silva, Evandro Tadeu da, Morello, Camilo de Lelis","Pesquisa Agropecuária Brasileira; 49(9); 673-682","Pesquisa Agropecuária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900673&lang=pt" 
"S0100-204X2014000900692-scl","Determinação do volume de madeira em povoamento de eucalipto por escâner a laser aerotransportado","Oliveira, Luciano Teixeira de, Ferreira, Maria Zélia, Carvalho, Luis Marcelo Tavares de, Ferraz Filho, Antônio Carlos, Oliveira, Thomaz Chaves de Andrade, Silveira, Eduarda Martiniano de Oliveira, Junior, Fausto Weimar Acerbi","Pesquisa Agropecuária Brasileira; 49(9); 692-700","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900692&lang=pt" 
"S0100-54052014000300015-scl","New host records for Sphenospora kevorkianii (Raveneliaceae)","Sousa, Eliana Maria Rocha, Nascimento, Jaqueline Maria Oliveira do, Anda-Rocabado, Juan Manuel, Souza, Jorge Teodoro de","Summa Phytopathologica; 40(3); 290-290","Summa Phytopathologica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300015&lang=pt" 
"S0100-54052014000300014-scl","Aplicações preventivas e erradicantes de fungicidas no controle da ferrugem asiática da soja","Augusti, Guilherme Rossato, Sari, Bruno Giacomini, Costa, Ivan Francisco Dressler da, Rodrigues, Joelton dos Santos, Guerra, Renato Carnellosso","Summa Phytopathologica; 40(3); 288-289","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300014&lang=pt" 
"S0100-54052014000300011-scl","Estudos dos constituintes químicos e atividade antibacteriana do óleo essencial de Lippia gracilis a Xanthomonas campestris pv. viticola &quot;in vitro&quot;","Santos, Morgana Mateus, Peixoto, Ana Rosa, Pessoa, Esmailly de Sousa, Nepa, Helena Brandão dos Santos, Paz, Cristiane Domingos da, Souza, Ana Valéria Vieira de","Summa Phytopathologica; 40(3); 277-280","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300011&lang=pt" 
"S0100-54052014000300013-scl","Infecção natural por Corynespora cassiicola em acessos de mamoeiro","Venturini, Marcela Tonini, Santos, Lucas Calazans, Santos, Tacila Ribeiro, Luz, Edna Dora Martins Newman","Summa Phytopathologica; 40(3); 284-287","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300013&lang=pt" 
"S0100-54052014000300012-scl","Sobrevivência e viabilidade de escleródios de Sclerotium rolfsii no solo","Marcuzzo, Leandro Luiz, Schuller, Aline","Summa Phytopathologica; 40(3); 281-283","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300012&lang=pt" 
"S1999-76712014000300001-sza","Discussion and debate","Wittenberg, DF","South African Journal of Child Health; 8(3); 84-85","South African Journal of Child Health","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1999-76712014000300001&lang=pt" 
"S0021-25712014000300003-spa","Technology-based assessment in patients with disorders of consciousness","Di Perri, Carol, Heine, Lizette, Amico, Enrico, Soddu, Andrea, Laureys, Steven, Demertzi, Athena","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 209-220","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300003&lang=pt" 
"S0021-25712014000300005-spa","Misdiagnosis as an ethical and scientific challenge","Farisco, Michele, Petrini, Carlo","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 229-233","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300005&lang=pt" 
"S0021-25712014000300006-spa","Advances in the neurorehabilitation of severe disorder of consciousness","Dolce, Giuliano, Lucca, Lucia Francesca, Riganello, Francesco, Arcuri, Francesco, Quintieri, Maria, Cortese, Maria Daniela, Pignolo, Loris","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 234-240","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300006&lang=pt" 
"S0021-25712014000300007-spa","Coma and vegetative states: state of the art and proposal of a novel approach combining existing coma scales","Bonsignore, Luca Tommaso, Macrì, Simone, Orsi, Paolo, Chiarotti, Flavia, Alleva, Enrico","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 241-248","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300007&lang=pt" 
"S0021-25712014000300008-spa","What death is. A literary approach between fears and hope","De Santo, Natale Gaspare","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 249-265","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300008&lang=pt" 
"S0021-25712014000300009-spa","New epistemological foundations for cultural psychology: from an atomistic to a self-organizing view of living systems","De Pascale, Adele","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 268-277","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300009&lang=pt" 
"S1808-18512014000300202-scl","Lumbar alterations in magnetic resonance: correlation between Modic and Pfirrmann classifications","Rodrigues, Luciano Miller Reis, Yoshino, Caio Vargas, Costa, Alexandre Barros","Coluna/Columna; 13(3); 202-205","Coluna/Columna","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512014000300202&lang=pt" 
"S1808-18512014000300206-scl","Expression of matrix metalloproteinases 2 and 9 and TGF-b in ligamentum flavum hypertrophy","Campos, Marcelo Ferraz de, Oliveira, Cintia Pereira de, Pinhal, Maria Aparecida da Silva, Rodrigues, Luciano Miller Reis","Coluna/Columna; 13(3); 206-209","Coluna/Columna","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512014000300206&lang=pt" 
"S0102-76382014000300355-scl","Evaluation of peripheral muscle strength of patients undergoing elective cardiac surgery: a longitudinal study","Santos, Kelli Maria Souza, Cerqueira Neto, Manoel Luiz de, Carvalho, Vitor Oliveira, Santana Filho, Valter Joviniano de, Silva Junior, Walderi Monteiro da, Araújo Filho, Amaro Afrânio, Cerqueira, Telma Cristina Fontes, Cacau, Lucas de Assis Pereira","Brazilian Journal of Cardiovascular Surgery; 29(3); 355-359","Brazilian Journal of Cardiovascular Surgery","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300355&lang=pt" 
"S0102-76382014000300437-scl","Direct intramyocardial transthoracic transplantation of bone marrow mononuclear cells for non-ischemic dilated cardiomyopathy: INTRACELL, a prospective randomized controlled trial","Sant&#039;Anna, Roberto T., Fracasso, James, Valle, Felipe H., Castro, Iran, Nardi, Nance B., Sant&#039;Anna, João Ricardo M., Nesralla, Ivo Abrahão, Kalil, Renato A. K.","Brazilian Journal of Cardiovascular Surgery; 29(3); 437-447","Brazilian Journal of Cardiovascular Surgery","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300437&lang=pt" 
"S0102-76382014000300432-scl","Modalidades de parada cardíaca induzida: hipercalemia e hipocalcemia - revisão de literatura","Oliveira, Marcos Aurélio Barboza de, Brandi, Antônio Carlos, Santos, Carlos Alberto dos, Botelho, Paulo Henrique Husseini, Cortez, José Luis Lasso, Braile, Domingo Marcolino","Brazilian Journal of Cardiovascular Surgery; 29(3); 432-436","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300432&lang=pt" 
"S0102-76382014000300414-scl","Postperfusion lung syndrome: physiopathology and therapeutic options","Yuan, Shi-Min","Brazilian Journal of Cardiovascular Surgery; 29(3); 414-425","Brazilian Journal of Cardiovascular Surgery","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300414&lang=pt" 
"S1808-18512014000300245-scl","In Memoriam","Durán, Jaime Enrique Segura","Coluna/Columna; 13(3); 245-246","Coluna/Columna","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512014000300245&lang=pt" 
"S0102-76382014000300455-scl","Avoiding pitfalls of intraoperative peripheral endovascular surgery with the aid of OsiriX: expanding the use of virtual fluoroscopy","Molinari, Giovani José Dal Poggetto, Dalbem, Andréia Marques de Oliveira, Guillaumon, Ana Terezinha","Brazilian Journal of Cardiovascular Surgery; 29(3); 455-458","Brazilian Journal of Cardiovascular Surgery","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300455&lang=pt" 
"S0102-76382014000300379-scl","Results of heart transplantation in the urgent recipient - who should be transplanted?","Prieto, David, Correia, Pedro, Antunes, Pedro, Batista, Manuel, Antunes, Manuel J.","Brazilian Journal of Cardiovascular Surgery; 29(3); 379-387","Brazilian Journal of Cardiovascular Surgery","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300379&lang=pt" 
"S0102-76382014000300459-scl","New technique &quot;Right Anterior Small Thoracotomy (RAST operation)&quot; for beating heart grafting of the right internal thoracic artery to the posterior descending artery to the posterior descending artery in a third redo CABG patient. A novel coronary technique","Guida, Maximo, Guida, Gustavo, Pecora, Giuseppina, Garate, Estefania De","Brazilian Journal of Cardiovascular Surgery; 29(3); 459-462","Brazilian Journal of Cardiovascular Surgery","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382014000300459&lang=pt" 
"S1808-18512014000300188-scl","Analysis of musculoskeletal changes in patients with postural roundback","Alves, Débora Pinheiro Lédio, Alves, Vera Lúcia dos Santos, Avanzi, Osmar","Coluna/Columna; 13(3); 188-192","Coluna/Columna","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512014000300188&lang=pt" 
"S1808-18512014000300180-scl","Transcorporeal cervical foraminotomy: description of technique and results","Meyer, Guilherme Pereira Corrêa, Choi, Gun, Bandharkar, Amit, Choi, Pil Sun, Lee, Sang Ho, Cristante, Alexandre Fogaça, Marcon, Raphael Martus, Iutaka, Alexandre Sadao, Barros, Tarcísio Eloy Pessoa de","Coluna/Columna; 13(3); 180-184","Coluna/Columna","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512014000300180&lang=pt" 
"S1808-16572014000300218-scl","Comparação de métodos para avaliação da atividade antimicrobiana e determinação da concentração inibitória mínima (cim) de extratos vegetais aquosos e etanólicos","Bona, Eliana Almeida Mira De, Pinto, Fabiana Gisele da Silva, Fruet, Thomas Kehrwald, Jorge, Tereza Cristina Marinho, Moura, Alexandre Carvalho de","Arquivos do Instituto Biológico; 81(3); 218-225","Arquivos do Instituto Biológico","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572014000300218&lang=pt" 
"S0042-96862014000900013-spa","Mobile clinics for antiretroviral therapy in rural Mozambique","Moon, Troy D, Jequicene, Tito, Blevins, Meridith, José, Eurico, Lankford, Julie R, Wester, C William, Fuchs, Martina C, Vermund, Sten H","Bulletin of the World Health Organization; 92(9); 680-684","Bulletin of the World Health Organization","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862014000900013&lang=pt" 
"S0042-96862014000900016-spa","The Global Vaccine Safety Initiative: enhancing vaccine pharmacovigilance capacity at country level","Maure, Christine G, Dodoo, Alexander N, Bonhoeffer, Jan, Zuber, Patrick LF","Bulletin of the World Health Organization; 92(9); 695-696","Bulletin of the World Health Organization","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862014000900016&lang=pt" 
"S0104-77602014000300004-scl","Propriedades anatômicas, químicas e de densidade da madeira de Coffea arabica L.","Pereira, Marisa Aparecida, Silva, Jose Reinaldo Moreira da, Rabelo, Giovanni Francisco, Andrade, Anna Carolina de Almeida","CERNE; 20(3); 363-367","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300004&lang=pt" 
"S0104-77602014000300002-scl","Stream flow regime of springs in the Mantiqueira Mountain Range region, Minas Gerais State","Oliveira, Alisson Souza de, Silva, Antônio Marciano da, Mello, Carlos Rogério de, Alves, Geovane Junqueira","CERNE; 20(3); 343-349","CERNE","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300002&lang=pt" 
"S0104-77602014000300001-scl","Caracterização colorimétrica das madeiras de três espécies florestais da amazônia","Barros, Sâmia Valéria dos Santos, Muniz, Graciela Inês Bolzon de, Matos, Jorge Luís Monteiro de","CERNE; 20(3); 337-342","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300001&lang=pt" 
"S1807-59322014000900621-scl","Indomethacin can downregulate the levels of inflammatory mediators in the hippocampus of rats submitted to pilocarpine-induced status epilepticus","Vieira, Michele Juliane, Perosa, Sandra Regina, Argaãaraz, Gustavo Adolfo, Silva Jr, José Antônio, Cavalheiro, Esper Abrão, da Graça Naffah-Mazzacoratti, Maria","Clinics; 69(9); 621-626","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900621&lang=pt" 
"S1807-59322014000900595-scl","A single bout of exercise with a flexible pole induces significant cardiac autonomic responses in healthy men","Ogata, Cristiane M., Navega, Marcelo T., Abreu, Luiz C., Ferreira, Celso, Cardoso, Marco A., Raimundo, Rodrigo D., Ribeiro, Vivian L., Valenti, Vitor E.","Clinics; 69(9); 595-600","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900595&lang=pt" 
"S0101-28002014000300401-scl","Five years results after intrafamilial kidney post-transplant in a case of familial hypomagnesemia due to a claudin-19 mutation","Almeida, Jorge Reis, Machado, Gabriel de Almeida, Santos, Márcia Maria Guimarães dos, Lopes, Patricia de Fátima, Matos, Jorge Paulo Strogoff de, Neves, Aderbal Cypriano, Lugon, Jocemir Ronaldo","Jornal Brasileiro de Nefrologia; 36(3); 401-405","Jornal Brasileiro de Nefrologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300401&lang=pt" 
"S0101-28002014000300406-scl","Cat Scratch Disease in kidney transplant receptors: is it a rare or underdiagnosed pathology?","Verçoza, Ana Maria Teixeira, de los Santos, Carlos Abaeté, Vargas, José Amadeu","Jornal Brasileiro de Nefrologia; 36(3); 406-409","Jornal Brasileiro de Nefrologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300406&lang=pt" 
"S1807-59322014000900579-scl","Comparative study of planned and unplanned excisions for the treatment of soft tissue sarcoma of the extremities","Hanasilo, Carlos E.H., Casadei, Marcelo S., Auletta, Leandro, Amstalden, Eliane M.I., Matte, Silvia R.F., Etchebehere, Mauricio","Clinics; 69(9); 579-584","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900579&lang=pt" 
"S1807-59322014000900653-scl","Ankle-brachial index in coronary artery disease","Balta, Sevket, Demirkol, Sait, Demir, Mustafa, Ozturk, Cengiz, Aparcı, Mustafa, Celik, Turgay","Clinics; 69(9); 653-653","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900653&lang=pt" 
"S0101-28002014000300375-scl","Comparison of baseline data between chronic kidney disease patients starting hemodialysis who live near and far from the dialysis center","Santos, Paulo Roberto, Arcanjo, Cecília Costa, Aragão, Sânkia Maria Lopes, Ponte Neto, Fernando Lopes, Ximenes, Antônio Robson Gomes, Tapeti, Janaína Teixeira Pereira Carneiro, Mendes, Hyngridd Soares, Vieira, Luise Vasconcelos, Prado, Rita de Cássia Parente, Lima, Marcela Lopes, Adeodato, Wirvig Dionnas Cassemiro, Menezes, Ivo Antônio Mendes de, Moreira, Mairla Maracaba, Oliveira, Estevam Nelson Moura de, Ehrich, Thais Costa","Jornal Brasileiro de Nefrologia; 36(3); 375-378","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300375&lang=pt" 
"S1807-59322014000900654-scl","Ankle brachial index in coronary artery disease - Author&#039;s reply","Papa, Eduardo","Clinics; 69(9); 654-654","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900654&lang=pt" 
"S0006-87052014000300006-scl","Seleção de famílias e progênies de irmãos completos de cana-de-açúcar para atributos tecnológicos e de produção pelo método de REML/BLUP","Xavier, Mauro Alexandre, Perecin, Dilermando, Alvim, Karen Rodrigues de Toledo, Landell, Marcos Guimarães de Andrade, Arantes, Flávio Cese","Bragantia; 73(3); 253-262","Bragantia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300006&lang=pt" 
"S0006-87052014000300007-scl","Grain yield and agronomic traits in soybean according to crop rotation systems","Santos, Henrique Pereira dos, Fontaneli, Renato Serena, Pires, João, Lampert, Evandro Ademir, Vargas, Ana Maria, Verdi, Amauri Colet","Bragantia; 73(3); 263-273","Bragantia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300007&lang=pt" 
"S0006-87052014000300008-scl","Rhizobacteria induces resistance against Fusarium wilt of tomato by increasing the activity of defense enzymes","Ferraz, Hélvio Gledson Maciel, Resende, Renata Sousa, Silveira, Patrícia Ricardino, Andrade, Camila Cristina Lage, Milagres, Elisângela Aparecida, Oliveira, José Rogério, Rodrigues, Fabrício de Ávila","Bragantia; 73(3); 274-283","Bragantia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300008&lang=pt" 
"S0006-87052014000300009-scl","Aspectos microscópicos da interação feijoeiro-Colletotrichum lindemuthianum mediados pelo silício","Cruz, Maria Fernanda Antunes, Araujo, Leonardo, Polanco, Leonora Rodriguez, Rodrigues, Fabrício de Ávila","Bragantia; 73(3); 284-291","Bragantia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300009&lang=pt" 
"S0080-21072014000300002-scl","Gestão de periódicos científicos: estudo de casos em revistas da área de Administração","Sandes-Guimarães, Luisa Veras de, Diniz, Eduardo H.","Revista de Administração (São Paulo); 49(3); 449-461","Revista de Administração (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300002&lang=pt" 
"S0101-28002014000300332-scl","Associação entre trabalho, renda e qualidade de vida de receptores de transplante renal no município de Teresina, PI, Brasil","Costa, Joelma Maria, Nogueira, Lidya Tolstenko","Jornal Brasileiro de Nefrologia; 36(3); 332-338","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300332&lang=pt" 
"S1807-59322014000900615-scl","Prevalence of oral anticoagulation in atrial fibrillation","Bartholomay, Eduardo, Polli, Ismael, Borges, Anibal Pires, Kalil, Carlos, Arroque, André, Kohler, Ilmar, Danzmann, Luiz Cláudio","Clinics; 69(9); 615-620","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900615&lang=pt" 
"S0104-77602014000300011-scl","Avaliação da carga de trabalho físico e biomecânica de trabalhadores na roçada manual e semimecanizada","Oliveira, Felipe Martins de, Lopes, Eduardo da Silva, Rodrigues, Carla Krulikowski","CERNE; 20(3); 419-425","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300011&lang=pt" 
"S0104-77602014000300015-scl","Modificação da cor original da madeira de Eucalyptus grandis através de tratamentos termorretificadores","Garcia, Rosilei Aparecida, Lopes, Juliana de Oliveira, Santos, Wanessa Aparecida","CERNE; 20(3); 449-457","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300015&lang=pt" 
