"S1020-49892013000800008-spa","Práticas familiares relacionadas à manutenção da amamentação: revisão da literatura e metassíntese","Sousa, Alder Mourão de, Fracolli, Lislaine Aparecida, Zoboli, Elma Lourdes Campos Pavone","Revista Panamericana de Salud Pública; 34(2); 127-134","Revista Panamericana de Salud Pública","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800008&lang=pt" 
"S0104-87752013000200010-scl","O sacerdócio goiano: celibato e historiografia","Silva, Maria da Conceição, Coelho, Wellington Moreira","Varia Historia; 29(50); 553-569","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200010&lang=pt" 
"S0104-87752013000200012-scl","Uma oficina de talha na Sé de Mariana: o fazer artístico e o contrato de trabalho","Pedrosa, Aziz José de Oliveira","Varia Historia; 29(50); 597-631","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200012&lang=pt" 
"S0104-87752013000200004-scl","O &quot;imperscrutável vínculo&quot;: corpo e alma na medicina lusitana setecentista","Edler, Flavio Coelho, Freitas, Ricardo Cabral de","Varia Historia; 29(50); 435-452","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200004&lang=pt" 
"S0104-87752013000200011-scl","O periodismo e a formação do campo jurídico em Minas Gerais","Pinto, Jefferson de Almeida","Varia Historia; 29(50); 571-593","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200011&lang=pt" 
"S0104-87752013000200007-scl","Doenças das crianças goianas no século XIX. Os registros de óbitos do Hospital de Caridade São Pedro de Alcântara","Magalhães, Sônia Maria de, Nazareno, Elias","Varia Historia; 29(50); 491-511","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200007&lang=pt" 
"S1135-57272013000400009-esp","Evaluación del proceso de un programa realizado a través de Internet y de la telefonía móvil para promover conductas saludables en estudiantes de educación secundaria de España y México","Lana Pérez, Alberto, García Fernández, María José, López González, María Luisa","Revista Española de Salud Pública; 87(4); 393-406","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400009&lang=pt" 
"S1020-49892013000800002-spa","A common error in the ecological regression of cancer incidence on the deprivation index","Renart, Gemma, Saez, Marc, Saurina, Carme, Marcos-Gragera, Rafael, Ocaña-Riola, Ricardo, Martos, Carmen, Barceló, Maria A., Arribas, Federico, Alcalá, Tomás","Revista Panamericana de Salud Pública; 34(2); 83-91","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800002&lang=pt" 
"S1020-49892013000800006-spa","Diabetes mortality in Panama and related biological and socioeconomic risk factors","Motta, Jorge A., Ortega-Paz, Luis G., Gordón, Carlos A., Gómez, Beatriz, Castillo, Eva, Herrera Ballesteros, Víctor, Pereira, Manuel","Revista Panamericana de Salud Pública; 34(2); 114-120","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800006&lang=pt" 
"S1020-49892013000800009-spa","Spatial epidemiology of bat-borne rabies in Colombia","Escobar, Luis E., Peterson, A. Townsend","Revista Panamericana de Salud Pública; 34(2); 135-136","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800009&lang=pt" 
"S1657-59972013000200008-col","¿Qué significa la esperanza en padres de hijos con cáncer?","Chinchilla-Salcedo, Tania Catalina","Aquichán; 13(2); 216-225","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200008&lang=pt" 
"S1657-59972013000200009-col","Consumo de bebidas alcoólicas entre estudantes de Enfermagem","Tavares-Jomar, Rafael, dos Santos-Silva, Enéas","Aquichán; 13(2); 226-233","Aquichán","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200009&lang=pt" 
"S1657-59972013000200001-col","Humanización del cuidado: una meta enraizada en la esencia de enfermería","Moreno-Fergusson, María Elisa","Aquichán; 13(2); 146-147","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200001&lang=pt" 
"S1657-59972013000200002-col","Validación del índice de satisfacción con la vida en la tercera edad","Kantún-Marín, María Amparo de Jesús, Moral de la Rubia, José, Gómez-Meza, Marco Vinicio, Salazar-González, Bertha Cecilia","Aquichán; 13(2); 148-158","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200002&lang=pt" 
"S1657-59972013000200003-col","Capacidad de afrontamiento y adaptación de los familiares del paciente adulto hospitalizado en una unidad de cuidado intensivo","Jiménez-Ocampo, Vivían Fernanda, Zapata-Gutiérrez, Lina Shirley, Díaz-Suárez, Leticia","Aquichán; 13(2); 159-172","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200003&lang=pt" 
"S1657-59972013000200004-col","Relación entre complicaciones clínicas y discapacidad en población colombiana con lesión medular: resultados desde el WHO-DAS II","Pérez-Parra, Julio Ernesto, Henao-Lema, Claudia Patricia","Aquichán; 13(2); 173-185","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200004&lang=pt" 
"S1657-59972013000200005-col","Conductas críticas para experimentar confianza en el liderazgo en enfermería en un hospital de alta complejidad","Yáñez-Gallardo, Rodrigo Javier, Valenzuela-Suazo, Sandra","Aquichán; 13(2); 186-196","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200005&lang=pt" 
"S1657-59972013000200006-col","Necessidades assistenciais de mulheres que denunciam na delegacia de polícia a vivência da violência","Becker-Vieira, Letícia, de Mello-Padoin, Stela Maris, de Oliveira-Souza, Ivis Emília, Cardoso de Paula, Cristiane, Gomes-Terra, Marlene","Aquichán; 13(2); 197-205","Aquichán","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200006&lang=pt" 
"S1657-59972013000200007-col","Apoyo social formal a un grupo de madres con hijos menores de un año","Berlanga-Fernández, Sofía, Pérez-Cañaveras, Rosa M., Vizcaya-Moreno, M. Flores, Tarrés-Cansado, Rosa","Aquichán; 13(2); 206-215","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200007&lang=pt" 
"S1657-59972013000200013-col","Papel de la abuela en la lactancia materna","Losa-Iglesias, Marta Elena, Rodríguez-Vázquez, Rocío, Bengoa-Vallejo, Ricardo Becerro de","Aquichán; 13(2); 270-279","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200013&lang=pt" 
"S1657-59972013000200012-col","Enfermagem no pré-natal de baixo risco na estratégia Saúde da Família","Soares de Lima, Suzinara","Aquichán; 13(2); 261-269","Aquichán","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200012&lang=pt" 
"S1657-59972013000200011-col","Carga del cuidado de la enfermedad crónica no transmisible","Sánchez-Herrera, Beatriz, Carrillo-González, Gloria Mabel, Barrera-Ortiz, Lucy, Chaparro-Díaz, Lorena","Aquichán; 13(2); 247-260","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200011&lang=pt" 
"S1657-59972013000200010-col","Consumo de alcohol y funciones ejecutivas en adolescentes: una revisión sistemática","Villegas-Pantoja, Miguel Ángel, Alonso-Castillo, María Magdalena, Benavides-Torres, Raquel A., Guzmán-Facundo, Francisco Rafael","Aquichán; 13(2); 234-246","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200010&lang=pt" 
"S1657-59972013000200015-col","La enfermería de la Orden de San Juan de Dios en el Chile colonial","Huaiquián-Silva, Julia Cristobalina, Siles-González, José, Velandia-Mora, Ana Luisa","Aquichán; 13(2); 290-300","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200015&lang=pt" 
"S1657-59972013000200014-col","Gerentes de escuelas de enfermería: una discusión sobre su adaptación al entorno social según la Teoría de Roy","Gómez-Torres, Danelia, Méndez-Salazar, Vianey, Velasco-Whetsell, Martha","Aquichán; 13(2); 280-289","Aquichán","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972013000200014&lang=pt" 
"S1135-57272013000400006-esp","Influencia de la doble carga de trabajo en el estado de salud percibida y utilización de servicios sanitarios de las poblaciones inmigrante y autóctona de la región de Murcia","Moreno López, Ana Belén, Ballesta Ruiz, Mónica, Salmerón Martínez, Diego, Navarro Sánchez, Carmen, Tormo Díaz, María José","Revista Española de Salud Pública; 87(4); 351-366","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400006&lang=pt" 
"S1135-57272013000400002-esp","La sostenibilidad del sistema sanitario desde una perspectiva de redes sociales: una propuesta para la promoción de hábitos saludables y apoyo social","Marqués Sánchez, Pilar, Fernández Peña, Rosario, Cabrera León, Andrés, Muñoz Doyague, María F., Llopis Cañameras, Jaime, Arias Ramos, Natalia","Revista Española de Salud Pública; 87(4); 307-315","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400002&lang=pt" 
"S1135-57272013000400001-esp","Innovando en la gestión del gasto farmacéutico: del pago por producto al pago por resultados en salud","Espín, Jaime","Revista Española de Salud Pública; 87(4); 303-306","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400001&lang=pt" 
"S1135-57272013000400005-esp","Evaluación económica de la monoterapia con tocilizumab frente a adalimumab en artritis reumatoide","Navarro Sarabia, Federico, Blanco, Francisco J., Álvaro Gracia, José Mª, García Meijide, Juan A., Poveda, José Luis, Rubio-Rodríguez, Darío, Rubio-Terrés, Carlos","Revista Española de Salud Pública; 87(4); 343-350","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400005&lang=pt" 
"S1135-57272013000400008-esp","Variables que condicionan la utilización de la consulta de enfermería en centros de salud de la Comunidad de Madrid","Martín-Fernández, Jesús, Rodríguez-Martínez, Gemma, Ariza-Cardiel, Gloria, Vergel Gutierrez, Mª Ángeles, Hidalgo Escudero, Ana Victoria, Conde-López, Juan Francisco","Revista Española de Salud Pública; 87(4); 383-392","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400008&lang=pt" 
"S1135-57272013000400011-esp","Impacto económico de la introducción de una técnica de detección precoz de Mycobacterium tuberculosis Complex en las muestras clínicas de un hospital español","Asencio Egea, María Ángeles, Vaquero, María Huertas, Carranza González, Rafael, Castellanos Monedero, Jesús, Franco Huerta, María, Bravo Nieto, José Manuel, Tenías Burillo, José María","Revista Española de Salud Pública; 87(4); 419-425","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400011&lang=pt" 
"S1135-57272013000400004-esp","Dabigatrón versus acenocumarol para la prevención del ictus en la fibrilación atrial: análisis de impacto presupuestario en un departamento sanitario","Bonet Pla, Álvaro, Gosalbes Sóler, Victoria, Ridao-López, Manuel, Navarro Pérez, Jorge, Navarro Cubells, Blanca, Peiró, Salvador","Revista Española de Salud Pública; 87(4); 331-342","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400004&lang=pt" 
"S1135-57272013000400010-esp","Evolución del consumo de tabaco en trabajadores de un hospital de Cataluña","Reyes Urueña, Juliana M., Burón Pust, Andrea, Sala Serra, María, Serra Pujadas, Consol, Diaconu, Aniela, Macià Guilà, Francesc","Revista Española de Salud Pública; 87(4); 407-417","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400010&lang=pt" 
"S1135-57272013000400007-esp","Discursos sobre la responsabilidad sexual en hombres VIH-positivos que tienen sexo con hombres","Fernández-Dávila, Percy, Morales Carmona, Adriana","Revista Española de Salud Pública; 87(4); 367-382","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400007&lang=pt" 
"S1135-57272013000400003-esp","Construcción de un índice de privación para los barrios de Madrid y Barcelona","Álvarez-del Arco, Débora, Vicente Sánchez, Marta, Alejos, Belén, Pascual, Cruz, Regidor, Enrique","Revista Española de Salud Pública; 87(4); 317-329","Revista Española de Salud Pública","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272013000400003&lang=pt" 
"S0104-93132013000200012-scl","ZELIZER, Viviana A. 2011. A negociação da intimidade","Fernandes, Camila","Mana; 19(2); 400-402","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200012&lang=pt" 
"S0104-93132013000200011-scl","TAUSSIG, Michael. 2012. Beauty and the beast","Rodrigues, Núbia Bento","Mana; 19(2); 397-399","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200011&lang=pt" 
"S0104-93132013000200010-scl","ROSE, Nikolas &amp; ABI-RACHED, Joelle. 2013. Neuro: the new brain sciences and the management of the mind","Giufrida, Guilherme","Mana; 19(2); 394-397","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200010&lang=pt" 
"S0104-93132013000200009-scl","MELLO, Marcelo Moura. 2012. Reminiscências dos Quilombos: território da memória em uma comunidade negra rural","Machado, Cauê Fraga","Mana; 19(2); 391-393","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200009&lang=pt" 
"S0104-93132013000200008-scl","LUGONES, Maria Gabriela. 2012. Obrando en autos, obrando en vidas: formas y fórmulas de protección judicial en los tribunales prevencionales de menores de Córdoba, Argentina, a comienzos del siglo XXI","Nadai, Larissa","Mana; 19(2); 388-391","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200008&lang=pt" 
"S0104-93132013000200007-scl","BENITES, Tonico. 2012. A escola na ótica dos Ava Kaiowá: impactos e interpretações indígenas","Caballero, Indira Viana","Mana; 19(2); 385-388","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200007&lang=pt" 
"S0104-93132013000200006-scl","Papo de aposentado","Velho, Otávio","Mana; 19(2); 371-384","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200006&lang=pt" 
"S0104-93132013000200001-scl","Medicamentos antidepressivos: inserção na prática biomédica (1941 a 2006) a partir da divulgação em um livro-texto de farmacologia","Bittencourt, Silvia Cardoso, Caponi, Sandra, Maluf, Sônia","Mana; 19(2); 219-247","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200001&lang=pt" 
"S0104-93132013000200002-scl","As formas elementares da liderança carismática: o verbo e a imagética na circulação do carisma pentecostal","Campos, Roberta Bivar Carneiro, Mauricio Junior, Cleonardo","Mana; 19(2); 249-276","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200002&lang=pt" 
"S0104-93132013000200003-scl","Violências privadas como se fossem direitos públicos: perspectivas antropológicas","Durão, Susana","Mana; 19(2); 277-302","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200003&lang=pt" 
"S0104-93132013000200004-scl","A vingança do baixo clero: o desafio ao &quot;PiG&quot; e o estado do conflito cultural no tratamento da crise financeira","Grün, Roberto","Mana; 19(2); 303-340","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200004&lang=pt" 
"S0104-93132013000200005-scl","Ser e não ser gente: dinâmicas da feitiçaria no alto Xingu","Vanzolini, Marina","Mana; 19(2); 341-370","Mana","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132013000200005&lang=pt" 
"S1851-82652013000200001-spa","La salud de los trabajadores: entre la ciencia y la ética","Rodríguez, Carlos Aníbal","Salud Colectiva; 9(2); 133-137","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200001&lang=pt" 
"S1851-82652013000200002-spa","Accidentes de trabajo fatales y violencia interpersonal en Brasil, 2000-2010","Santana, Vilma Sousa, Dias, Elizabeth Costa, Oliveira, Graziella Lage, Moura, Maria Cláudia Peres, Nobre, Leticia Coelho da Costa, Machado, Jorge Mesquita Huet","Salud Colectiva; 9(2); 139-149","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200002&lang=pt" 
"S1851-82652013000200009-spa","Riesgos del trabajo y salud: percepción de mujeres indígenas jornaleras en el noroeste de México","Camarena Ojinaga, Lourdes, von Glascoe, Christine, Martínez Valdés, Concepción, Arellano García, Evarista","Salud Colectiva; 9(2); 247-256","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200009&lang=pt" 
"S1851-82652013000200008-spa","Legislación, conocimientos y actitudes de profesionales médicos en relación al aborto en México","García-Núñez, Nubia Naneri, Atienzo, Erika Elizabeth, Dayananda, Ila, Walker, Dilys","Salud Colectiva; 9(2); 235-246","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200008&lang=pt" 
"S1851-82652013000200010-spa","Salud Colectiva: informe de gestión editorial 2011-2012","Martinovich, Viviana, Di Cecco, Vanessa","Salud Colectiva; 9(2); 257-264","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200010&lang=pt" 
"S1415-43662013000800001-scl","Tolerance of upland rice genotypes to water deficit","Guimarães, Cleber M., Stone, Luís F., Rangel, Paulo H. N., Silva, Ana C. de L.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 805-810","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800001&lang=pt" 
"S1415-43662013000800002-scl","Uso eficiente del agua para el cultivo de rosa cv. Freedom bajo invernadero","Arévalo-H, John J., Vélez, Javier E., Camacho-Tamayo, Jesús H.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 811-817","Revista Brasileira de Engenharia Agrícola e Ambiental","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800002&lang=pt" 
"S1415-43662013000800003-scl","Desempenho agronômico do feijoeiro com doses de nitrogênio em semeadura e cobertura","Moreira, Guilherme B. L., Pegoraro, Rodinei F., Vieira, Neiva M. B., Borges, Iran, Kondo, Marcos K.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 818-823","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800003&lang=pt" 
"S1415-43662013000800004-scl","Rendimento e qualidade de melancia cultivada sob proteção de agrotêxtil combinado com mulching plástico","Dantas, Mara S. M., Grangeiro, Leilson C., Medeiros, José F. de, Cruz, Claudia A., Cunha, Ana P. A. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 824-829","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800004&lang=pt" 
"S1415-43662013000800006-scl","Análise econômica e viabilidade energética da cultura do feijoeiro comum sob irrigação","Gomes, Eder P., Jordan, Rodrigo A., Motomiya, Anamari V. de A., Padua, Juliana B., Biscaro, Guilherme A., Geisenhoff, Luciano O.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 835-842","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800006&lang=pt" 
