"S0004-282X2015001100972-scl","Friedrich Nietzsche: the wandering and learned neuropath under Dionisius","Gomes, Marleide da Mota","Arquivos de Neuro-Psiquiatria; 73(11); 972-975","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100972&lang=pt" 
"S0100-879X2015001101032-scl","MFG-E8, a clearance glycoprotein of apoptotic cells, as a new marker of disease severity in chronic obstructive pulmonary disease","Zhang, S., Xie, J.G., Su, B.T., Li, J.L., Hu, N., Chen, J., Luo, G.W., Cui, T.P.","Brazilian Journal of Medical and Biological Research; 48(11); 1032-1038","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101032&lang=pt" 
"S0100-879X2015001101039-scl","Hyaluronidases and hyaluronan synthases expression is inversely correlated with malignancy in lung/bronchial pre-neoplastic and neoplastic lesions, affecting prognosis","Sá, V.K. de, Rocha, T.P., Moreira, AL., Soares, F.A., Takagaki, T., Carvalho, L., Nicholson, A.G., Capelozzi, V.L.","Brazilian Journal of Medical and Biological Research; 48(11); 1039-1047","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101039&lang=pt" 
"S0100-879X2015001100983-scl","Biological significance of miR-126 expression in atrial fibrillation and heart failure","Wei, X.J., Han, M., Yang, F.Y., Wei, G.C., Liang, Z.G., Yao, H., Ji, C.W., Xie, R.S., Gong, C.L., Tian, Y.","Brazilian Journal of Medical and Biological Research; 48(11); 983-989","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001100983&lang=pt" 
"S0100-879X2015001100953-scl","Cocos nucifera (L.) (Arecaceae): A phytochemical and pharmacological review","Lima, E.B.C., Sousa, C.N.S., Meneses, L.N., Ximenes, N.C., Santos Júnior, M.A., Vasconcelos, G.S., Lima, N.B.C., Patrocínio, M.C.A., Macedo, D., Vasconcelos, S.M.M.","Brazilian Journal of Medical and Biological Research; 48(11); 953-964","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001100953&lang=pt" 
"S0100-879X2015001100965-scl","Development and applications of the SWAN rating scale for assessment of attention deficit hyperactivity disorder: a literature review","Brites, C., Salgado-Azoni, C.A., Ferreira, T.L., Lima, R.F., Ciasca, S.M.","Brazilian Journal of Medical and Biological Research; 48(11); 965-972","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001100965&lang=pt" 
"S0100-879X2015001100990-scl","Overexpression of Salmonella enterica serovar Typhi recA gene confers fluoroquinolone resistance in Escherichia coli DH5α","Yassien, M.A.M., Elfaky, M.A.","Brazilian Journal of Medical and Biological Research; 48(11); 990-995","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001100990&lang=pt" 
"S0004-282X2015001100906-scl","The competition with a concurrent cognitive task affects posturographic measures in patients with Parkinson disease","Barbosa, Alessandra Ferreira, Souza, Carolina de Oliveira, Chen, Janini, Francato, Débora Valente, Caromano, Fátima Aparecida, Chien, Hsin Fen, Barbosa, Egberto Reis, Greve, Júlia Maria D&#039;Andrea, Voos, Mariana Callil","Arquivos de Neuro-Psiquiatria; 73(11); 906-912","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100906&lang=pt" 
"S0004-282X2015001100918-scl","Alpha power oscillation in the frontal cortex under Bromazepam and Modafinil effects","Aprigio, Danielle, Adolfo, Washington, Bittencourt, Juliana, Gongora, Mariana, Teixeira, Silmar, Basile, Luis Fernando, Budde, Henning, Cagy, Mauricio, Ribeiro, Pedro, Velasques, Bruna","Arquivos de Neuro-Psiquiatria; 73(11); 918-923","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100918&lang=pt" 
"S0004-282X2015001100913-scl","Temporomandibular disorder is more prevalent among patients with primary headaches in a tertiary outpatient clinic","Tomaz-Morais, James Felipe, Lucena, Luciana Barbosa de Sousa, Mota, Isabella Araújo, Pereira, Ana Karine Farias da Trindade Coelho, Lucena, Brunna Thaís Luckwu de, Castro, Ricardo Dias de, Alves, Giorvan Ânderson dos Santos","Arquivos de Neuro-Psiquiatria; 73(11); 913-917","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100913&lang=pt" 
"S0004-282X2015001100929-scl","Screening of cognitive impairment in patients with Parkinson&#039;s disease: diagnostic validity of the Brazilian versions of the Montreal Cognitive Assessment and the Addenbrooke&#039;s Cognitive Examination-Revised","Sobreira, Emmanuelle, Pena-Pereira, Márcio A., Eckeli, Alan L., Sobreira-Neto, Manoel A., Chagas, Marcos H. N., Foss, Maria P., Cholerton, Brenna, Zabetian, Cyrus P., Mata, Ignacio F., Tumas, Vitor","Arquivos de Neuro-Psiquiatria; 73(11); 929-933","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100929&lang=pt" 
"S0004-282X2015001100924-scl","Gross-total resection of temporal low grade gliomas is a critically important factor in achieving seizure-freedom","Meguins, Lucas Crociati, Adry, Rodrigo Antônio Rocha da Cruz, Silva Júnior, Sebastião Carlos da, Pereira, Carlos Umberto, Oliveira, Jean Gonçalves de, Morais, Dionei Freitas de, Araújo Filho, Gerardo Maria de, Marques, Lúcia Helena Neves","Arquivos de Neuro-Psiquiatria; 73(11); 924-928","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100924&lang=pt" 
"S0004-282X2015001100939-scl","Cross-cultural adaptation of the SCATBI instrument for cognitive-linguistic abilities after traumatic brain injury","Janzen, Ester Priscila, Walz, Roger, Lin, Katia","Arquivos de Neuro-Psiquiatria; 73(11); 939-945","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100939&lang=pt" 
"S0004-282X2015001100980-scl","Erratum","","Arquivos de Neuro-Psiquiatria; 73(11); I-I","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100980&lang=pt" 
"S0004-282X2015001100979-scl","Lean thinking to mind the gap in healthcare management","Li, Li Min, Johnson, Sharon","Arquivos de Neuro-Psiquiatria; 73(11); 979-979","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100979&lang=pt" 
"S0004-282X2015001100978-scl","Improvement initiative in stroke care","Spagnol, Gabriela Salim, Valler, Lenise, Avelar, Wagner Mauad","Arquivos de Neuro-Psiquiatria; 73(11); 978-978","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100978&lang=pt" 
"S0004-282X2015001100976-scl","MRI of trigeminal zoster","Kontzialis, Marinos, Zamora, Carlos A.","Arquivos de Neuro-Psiquiatria; 73(11); 976-976","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100976&lang=pt" 
"S0004-282X2015001100895-scl","Here comes the sun: the era of genetics","Kok, Fernando","Arquivos de Neuro-Psiquiatria; 73(11); 895-896","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100895&lang=pt" 
"S0004-282X2015001100977-scl","Acute post-infectious cerebellitis","Martins, William Alves, Cristovam, Rafael do Amaral, Palmini, André","Arquivos de Neuro-Psiquiatria; 73(11); 977-977","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100977&lang=pt" 
"S0004-282X2015001100946-scl","Recent developments in the genetics of childhood epileptic encephalopathies: impact in clinical practice","Gonsales, Marina C., Montenegro, Maria Augusta, Soler, Camila V., Coan, Ana Carolina, Guerreiro, Marilisa M., Lopes-Cendes, Iscia","Arquivos de Neuro-Psiquiatria; 73(11); 946-958","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100946&lang=pt" 
"S0004-282X2015001100959-scl","When should MELAS (Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, and Stroke-like episodes) be the diagnosis?","Lorenzoni, Paulo José, Werneck, Lineu Cesar, Kay, Cláudia Suemi Kamoi, Silvado, Carlos Eduardo Soares, Scola, Rosana Herminia","Arquivos de Neuro-Psiquiatria; 73(11); 959-967","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100959&lang=pt" 
"S1413-81232015001103477-spa","Prevalência de cefaleia em adolescentes e associação com uso de computador e jogos eletrônicos","Xavier, Michelle Katherine Andrade, Pitangui, Ana Carolina Rodarti, Silva, Georgia Rodrigues Reis, Oliveira, Valéria Mayaly Alves de, Beltrão, Natália Barros, Araújo, Rodrigo Cappato de","Ciência &amp; Saúde Coletiva; 20(11); 3477-3486","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103477&lang=pt" 
"S1413-81232015001103427-spa","Consumo de álcool em binge por adolescentes escolares de 12 anos de idade e sua associação com sexo, condição socioeconômica e consumo de álcool por melhores amigos e familiares","Paiva, Paula Cristina Pelli, Paiva, Haroldo Neves de, Lamounier, Joel Alves, Ferreira, Efigênia Ferreira e, César, Carlos Augusto Santos, Zarzar, Patrícia Maria","Ciência &amp; Saúde Coletiva; 20(11); 3427-3435","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103427&lang=pt" 
"S1413-81232015001103509-spa","Bullying na adolescência: visão panorâmica no Brasil","Pigozi, Pamela Lamarca, Machado, Ana Lúcia","Ciência &amp; Saúde Coletiva; 20(11); 3509-3522","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103509&lang=pt" 
"S1413-81232015001103561-spa","Caminhada e gastos com saúde em adultos usuários do sistema público de saúde brasileiro: estudo transversal retrospectivo","Turi, Bruna Camilo, Codogno, Jamile Sanches, Fernandes, Rômulo Araújo, Monteiro, Henrique Luiz","Ciência &amp; Saúde Coletiva; 20(11); 3561-3568","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103561&lang=pt" 
"S1413-81232015001103375-spa","Relação entre condição gengival e fatores sociodemográficos de adolescentes residentes em uma região brasileira","Fonseca, Emilio Prado, Ferreira, Efigênia Ferreira e, Abreu, Mauro Henrique Nogueira Guimarães, Palmier, Andréa Clemente, Vargas, Andréa Maria Duarte","Ciência &amp; Saúde Coletiva; 20(11); 3375-3384","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103375&lang=pt" 
"S1413-81232015001103569-spa","Entre evidências e negligências: cobertura e invisibilidade de temas de saúde na mídia impressa portuguesa","Cavaca, Aline Guio, Vasconcellos-Silva, Paulo Roberto, Ferreira, Patrícia, Nunes, João Arriscado","Ciência &amp; Saúde Coletiva; 20(11); 3569-3580","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103569&lang=pt" 
"S1413-81232015001103351-spa","Cárie dentária e fatores associados entre adolescentes no norte do estado de Minas Gerais, Brasil: uma análise hierarquizada","Silveira, Marise Fagundes, Freire, Rafael Silveira, Nepomuceno, Marcela Oliveira, Martins, Andréa Maria Eleutério de Barros Lima, Marcopito, Luiz Francisco","Ciência &amp; Saúde Coletiva; 20(11); 3351-3364","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103351&lang=pt" 
"S1413-81232015001103447-spa","O (não) lugar do homem jovem nas políticas de saúde sobre drogas no Brasil: aproximações genealógicas","Granja, Edna, Gomes, Romeu, Medrado, Benedito, Nogueira, Conceição","Ciência &amp; Saúde Coletiva; 20(11); 3447-3455","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103447&lang=pt" 
"S1413-81232015001103319-spa","Estado nutricional e distribuição de gordura corporal em crianças e adolescentes com Fibrose Cística","Chaves, Célia Regina Moutinho de Miranda, Cunha, Ana Lúcia Pereira da, Costa, Ana Carolina da, Costa, Roseli de Souza Santos da, Lacerda, Speranza Vieira","Ciência &amp; Saúde Coletiva; 20(11); 3319-3328","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103319&lang=pt" 
"S1413-81232015001103523-spa","Violência contra a mulher: revisão sistemática da produção científica nacional no período de 2009 a 2013","Silva, Lídia Ester Lopes da, Oliveira, Maria Liz Cunha de","Ciência &amp; Saúde Coletiva; 20(11); 3523-3532","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103523&lang=pt" 
"S1413-81232015001103365-spa","Oral health and quality of life: an epidemiological survey of adolescents from settlement in Pontal do Paranapanema/SP, Brazil","Leão, Milene Moreira, Garbin, Cléa Adas Saliba, Moimaz, Suzely Adas Saliba, Rovida, Tânia Adas Saliba","Ciência &amp; Saúde Coletiva; 20(11); 3365-3374","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103365&lang=pt" 
"S1413-81232015001103589-spa","A paternidade e a parentalidade como questões de saúde frente aos rearranjos de gênero","Ribeiro, Cláudia Regina, Gomes, Romeu, Moreira, Martha Cristina Nunes","Ciência &amp; Saúde Coletiva; 20(11); 3589-3598","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103589&lang=pt" 
"S1413-81232015001103309-spa","Qualidade da dieta de jovens aos 18 anos de idade, pertencentes à coorte de nascimentos de 1993 da cidade de Pelotas (RS), Brasil","Castilhos, Cristina Bossle de, Schneider, Bruna Celestino, Muniz, Ludmila Correa, Assunção, Maria Cecília Formoso","Ciência &amp; Saúde Coletiva; 20(11); 3309-3318","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103309&lang=pt" 
"S1413-81232015001103385-spa","Bruxismo e qualidade de vida em escolares de 11 a 14 anos","Carvalho, Arethuza de Melo Brito, Lima, Marina de Deus Moura de, Silva, José Mário Nunes da, Neta, Neusa Barros Dantas, Moura, Lúcia de Fátima Almeida de Deus","Ciência &amp; Saúde Coletiva; 20(11); 3385-3393","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103385&lang=pt" 
"S1413-81232015001103339-spa","Barreiras percebidas à prática de atividades físicas no lazer e fatores associados em adolescentes","Dias, Douglas Fernando, Loch, Mathias Roberto, Ronque, Enio Ricardo Vaz","Ciência &amp; Saúde Coletiva; 20(11); 3339-3350","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103339&lang=pt" 
"S1413-81232015001103299-spa","Percepção de adolescentes sobre a prática de alimentação saudável","Silva, Dayanne Caroline de Assis, Frazão, Iracema da Silva, Osório, Mônica Maria, Vasconcelos, Maria Gorete Lucena de","Ciência &amp; Saúde Coletiva; 20(11); 3299-3308","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103299&lang=pt" 
"S1413-81232015001103609-spa","Ferreira J, Fleischer S, organizadores. Etnografias em serviços de saúde. Rio de Janeiro: Garamond; 2014","Silva, Alan Camargo","Ciência &amp; Saúde Coletiva; 20(11); 3609-3610","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103609&lang=pt" 
"S1413-81232015001103296-spa","Adolescência e saúde coletiva: entre o risco e o protagonismo juvenil","Assis, Simone Gonçalves, Avanci, Joviana Quintas, Duarte, Cristiane S.","Ciência &amp; Saúde Coletiva; 20(11); 3296-3296","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001103296&lang=pt" 
"S1516-35982015001100405-scl","Characteristics of the wool produced by ewes raised for meat production","Ribeiro, Edson Luis de Azambuja, Pires, Cleber Cassol, Mizubuti, Ivone Yurika, Silva, Leandro das Dores Ferreira da, Castro, Filipe Alexandre Boscaro de, Koritiaki, Natália Albieri, Pereira, Elzânia Sales, Pinto, Andréa Pereira","Revista Brasileira de Zootecnia; 44(11); 405-411","Revista Brasileira de Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982015001100405&lang=pt" 
"S1516-35982015001100397-scl","Protein requirements for growth in male and female Saanen goats","Almeida, Amélia Katiane de, Resende, Kléber Tomás de, Silva, Simone Pedro da, Soares, Diogo da Costa, Fernandes, Márcia Helena Machado da Rocha, Teixeira, Izabelle Auxiliadora Molina de Almeida","Revista Brasileira de Zootecnia; 44(11); 397-404","Revista Brasileira de Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982015001100397&lang=pt" 
"S1516-35982015001100390-scl","Comparison of fattening performance, carcass characteristics, and egg quality characteristics of Japanese quails with different feather colors","Inci, Hakan, Sogut, Bunyamin, Sengul, Turgay, Sengul, Ahmet Yusuf, Taysi, Mehmet Resit","Revista Brasileira de Zootecnia; 44(11); 390-396","Revista Brasileira de Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982015001100390&lang=pt" 
"S1516-35982015001100384-scl","Production and chemical composition of three sugarcane cultivars grown under Af climate conditions","Miranda, Augusto Sousa, Domingues, Felipe Nogueira, Godoy, Bruno Spacek, Oaigen, Ricardo Pedroso, Rêgo, Aníbal Coutinho do, Faturi, Cristian, Corrêa, Renato Pinto, Silva, Flávio da","Revista Brasileira de Zootecnia; 44(11); 384-389","Revista Brasileira de Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982015001100384&lang=pt" 
"S1516-35982015001100377-scl","Genotypic stabilization of agronomic traits in Panicum maximum (Jacq.) hybrids","Braz, Thiago Gomes dos Santos, Fonseca, Dilermando Miranda da, Jank, Liana, Cruz, Cosme Damião, Martuscello, Janaina Azevedo","Revista Brasileira de Zootecnia; 44(11); 377-383","Revista Brasileira de Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982015001100377&lang=pt" 
"S1414-40772015000300769-scl","La formación educativa socio–jurídica para estudiantes universitarios","Cabrera, Xiomara Cabrera, Batista, Raquel Diéguez","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 769-777","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300769&lang=pt" 
"S1414-40772015000300717-scl","Inovação e avaliação na cultura do ensino superior brasileiro: formação geral interdisciplinar","Pereira, Elisabete M. A, Carneiro, Ana Maria, Gonçalves, Mirian Lúcia","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 717-739","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300717&lang=pt" 
"S1414-40772015000300581-scl","Universidade fraturada: reflexões sobre conhecimento e responsabilidade social","Dias Sobrinho, José","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 581-601","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300581&lang=pt" 
"S0103-50532015001102384-scl","Spectrophotometric Determination of Aluminium in Hemodialysis Water","Santos, Eder J., Fantin, Eduardo B., Paixão, Ronei E., Herrmann, Amanda B., Sturgeon, Ralph E.","Journal of the Brazilian Chemical Society; 26(11); 2384-2388","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102384&lang=pt" 
"S0103-50532015001102241-scl","Discrimination of Annona muricata and Rollinia mucosa Extracts by Using Multivariate Curve Resolution and Partial Least-Squares Regression of Liquid Chromatography-Diode Array Data","Afonso, Sabrina, Pisano, Pablo L., Silva, Fabiano B., Scaminio, Ieda S., Olivieri, Alejandro C.","Journal of the Brazilian Chemical Society; 26(11); 2241-2248","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102241&lang=pt" 
"S0103-50532015001102269-scl","Monitoring of Pesticide Residues in Surface and Subsurface Waters, Sediments, and Fish in Center-Pivot Irrigation Areas","Rocha, Aderbal A., Monteiro, Sérgio H., Andrade, Graziela C. R. M., Vilca, Franz Z., Tornisielo, Valdemar L.","Journal of the Brazilian Chemical Society; 26(11); 2269-2278","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102269&lang=pt" 
"S0103-50532015001102233-scl","Essential Oil from Flowers of Solanum stipulaceum: Composition, Effects of γ-Radiation, and Antileukemic Activity","Osorio, Aura M. B., Silva, Thiago M., Duarte, Lucienir P., Ferraz, Vany P., Pereira, Márcio T., Mercadante-Simões, Maria O., Evangelista, Fernanda C. G., Sabino, Adriano P., Alcântara, Antônio F. C.","Journal of the Brazilian Chemical Society; 26(11); 2233-2240","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102233&lang=pt" 
