"S1517-97022015000300743-scl","Aspectos da resistência na atividade docente","Vieira, Almir Martins, Mendonça Neto, Octavio Ribeiro de, Antunes, Maria Thereza Pompa","Educação e Pesquisa; 41(3); 743-756","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000300743&lang=pt" 
"S1980-65742015000300274-scl","The influence of the external ankle support on the dynamic balance in volleyball athletes","Lima, Manuela Azevedo Correia de, Barbosa, Germanna de Medeiros, Ribeiro, Joseanne Daniele Cezar, Ferreira, José Jamacy de Almeida, Andrade, Palloma Rodrigues de, Santos, Heleodório Honorato dos","Motriz: Revista de Educação Física; 21(3); 274-280","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300274&lang=pt" 
"S1980-65742015000300281-scl","The period of the day affects the twenty-four hour blood pressure response to an acute combined exercise session in Brazilian jiu jitsu athletes","Mazzoccante, Rafaello Pinheiro, Sousa, Ioranny Raquel Castro de, Moreira, Sérgio Rodrigues, Prestes, Jonato, Simões, Herbert Gustavo, Campbell, Carmen Sílvia Grubert","Motriz: Revista de Educação Física; 21(3); 281-289","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300281&lang=pt" 
"S1980-65742015000300290-scl","Blood lactate minimum of rats during swimming test using three incremental stages","Sena, Mariana de Souza, Vieira Junior, Roberto Carlos, Rubim, Cássio Charnoski, Lima, Thiago da Rosa, Trombeta, Joice Cristina dos Santos, Garcia, Alesandro, Prestes, Jonato, Tibana, Ramires Alsamir, Voltarelli, Fabrício Azevedo","Motriz: Revista de Educação Física; 21(3); 290-298","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300290&lang=pt" 
"S1980-65742015000300299-scl","Long distance run induced hydration and kidney function changes in marathoners","Gonçalves, Luiz Guilherme Cruz, Aquino, Rodrigo Leal de Queiroz Thomaz de, Puggina, Enrico Fuini","Motriz: Revista de Educação Física; 21(3); 299-304","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300299&lang=pt" 
"S1980-65742015000300321-scl","Examining the validity of the personal-social responsibility questionnaire among athletes","Martins, Paulo, Rosado, António, Ferreira, Vítor, Biscaia, Rui","Motriz: Revista de Educação Física; 21(3); 321-328","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300321&lang=pt" 
"S1679-45082015000300404-scl","Functional and biochemical characteristics of urinary bladder muscarinic receptors in long-term alloxan diabetic rats","Rocha, Jeová Nina","Einstein (São Paulo); 13(3); 404-409","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300404&lang=pt" 
"S2317-15372015000300185-scl","Seed germination of Brazilian Aldama species (Asteraceae)","Bombo, Aline Bertolosi, Oliveira, Tuane Santos de, Appezzato-da-Glória, Beatriz, Novembre, Ana Dionísia da Luz Coelho","Journal of Seed Science; 37(3); 185-191","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300185&lang=pt" 
"S1679-45082015000300454-scl","Acute management of unstable angina and non-ST segment elevation myocardial infarction","Silva, Fernando Morita Fernandes, Pesaro, Antonio Eduardo Pereira, Franken, Marcelo, Wajngarten, Mauricio","Einstein (São Paulo); 13(3); 454-461","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300454&lang=pt" 
"S1679-45082015000300395-scl","Long-lasting endothelium-dependent relaxation of isolated arteries caused by an extract from the bark of Combretum leprosum","Alves Filho, Francisco das Chagas, Cavalcanti, Paulo Marques da Silva, Passaglia, Rita de Cassia Aleixo Tostes, Ballejo, Gustavo","Einstein (São Paulo); 13(3); 395-403","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300395&lang=pt" 
"S1679-45082015000300347-scl","Higher overall survival in metastatic pancreatic cancer: the impact of where and how treatment is delivered","Usón Junior, Pedro Luiz Serrano, França, Monique Sedlmaier, Rodrigues, Heloisa Veasey, Macedo, Antônio Luiz de Vasconcellos, Goldenberg, Alberto, Smaletz, Oren, Armentano, Daniela Pezzutti Domingues, Simon, Sergio Daniel, Gansl, Rene Claudio","Einstein (São Paulo); 13(3); 347-351","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300347&lang=pt" 
"S2317-15372015000300218-scl","Moisture desorption isotherms of cucumber seeds: modeling and thermodynamic properties","Corrêa, Paulo Cesar, Reis, Maycon Fagundes Teixeira, Oliveira, Gabriel Henrique Horta de, Oliveira, Ana Paula Lelis Rodrigues de, Botelho, Fernando Mendes","Journal of Seed Science; 37(3); 218-225","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300218&lang=pt" 
"S2317-15372015000300211-scl","Methods for the assessment of isoenzymes activity in sunflower seeds","Faria, Gabrielle de, Guimarães, Renato Mendes, Carvalho, Everson Reis, Sousa, Diego Pereira de","Journal of Seed Science; 37(3); 211-217","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300211&lang=pt" 
"S2317-15372015000300234-scl","Accelerated aging test in niger seeds","Gordin, Carla Regina Baptista, Scalon, Silvana de Paula Quintão, Masetto, Tathiana Elisa","Journal of Seed Science; 37(3); 234-240","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300234&lang=pt" 
"S2317-15372015000300241-scl","Germination inhibits the growth of new roots and seedlings in Eugenia uniflora and Eugenia brasiliensis","Amador, Talita Silveira, Barbedo, Claudio José","Journal of Seed Science; 37(3); 241-247","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300241&lang=pt" 
"S1679-45082015000300448-scl","Strategies for appropriate antibiotic use in intensive care unit","Silva, Camila Delfino Ribeiro da, Silva Júnior, Moacyr","Einstein (São Paulo); 13(3); 448-453","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300448&lang=pt" 
"S1679-45082015000300441-scl","How to choose the therapeutic goals to improve tissue perfusion in septic shock","Assuncao, Murillo Santucci Cesar de, Corrêa, Thiago Domingos, Bravim, Bruno de Arruda, Silva, Eliézer","Einstein (São Paulo); 13(3); 441-447","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300441&lang=pt" 
"S1679-45082015000300364-scl","Body surface infrared thermometry in patients with central venous cateter-related infections","Silvah, José Henrique, Lima, Cristiane Maria Mártires de, Unamuno, Maria do Rosário Del Lama de, Schetino, Marco Antônio Alves, Schetino, Luana Pereira Leite, Fassini, Priscila Giácomo, Brandão, Camila Fernanda Costa e Cunha Moraes, Basile-Filho, Anibal, Cunha, Selma Freire Carvalho da, Marchini, Julio Sergio","Einstein (São Paulo); 13(3); 364-369","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300364&lang=pt" 
"S1679-45082015000300410-scl","Comparison of thromboprophylaxis patterns in arthroplasty in public and private hospitals","Cortada, Aline Pinheiro dos Santos, Silva, Telma Gomes da, Silva, André Campos da, Golmia, Ricardo Prado, Guerra, Renata Leborato, Takemoto, Maíra Libertad Soligo, Monteiro, Roberta Dyonisio Canaveira, Scheinberg, Morton Aaron","Einstein (São Paulo); 13(3); 410-416","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300410&lang=pt" 
"S2317-15372015000300226-scl","Physiological quality of soybean seeds produced in four edaphoclimatic regions of Santa Catarina","Frandoloso, Volmir, Meneghello, Géri Eduardo, André, Maria Ângela, Deuner, Cristiane, Menegaz, Winicius","Journal of Seed Science; 37(3); 226-233","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300226&lang=pt" 
"S1679-45082015000300357-scl","Comparative analysis of survival between elderly and non-elderly severe sepsis and septic shock resuscitated patients","Palomba, Henrique, Corrêa, Thiago Domingos, Silva, Eliézer, Pardini, Andreia, Assuncao, Murillo Santucci Cesar de","Einstein (São Paulo); 13(3); 357-363","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300357&lang=pt" 
"S1679-45082015000300352-scl","Chronic psychological stress and its impact on the development of aggressive breast cancer","Cormanique, Thayse Fachin, Almeida, Lirane Elize Defante Ferreto de, Rech, Cynthia Alba, Rech, Daniel, Herrera, Ana Cristina da Silva do Amaral, Panis, Carolina","Einstein (São Paulo); 13(3); 352-356","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300352&lang=pt" 
"S1015-51632015000300001-sza","Over diagnosing? Time for the &#039;exercise is medicine&#039; movement to react","Lambert, Mike","South African Journal of Sports Medicine; 27(3); 62-62","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300001&lang=pt" 
"S1015-51632015000300002-sza","Under-13 rugby: What are the issues? A panel discussion","Durandt, Justin, Hendricks, Sharief, Marshall, Mike, Roux, Andries, Hare, Eugene","South African Journal of Sports Medicine; 27(3); 63-66","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300002&lang=pt" 
"S1679-45082015000300469-scl","Chemokines and immunity","Palomino, Diana Carolina Torres, Marti, Luciana Cavalheiro","Einstein (São Paulo); 13(3); 469-473","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300469&lang=pt" 
"S1679-45082015000300381-scl","Previous blood pressure measurement and associated factors in student adolescents","Magalhães, Marina Gabriella Pereira de Andrada, Farah, Breno Quintella, Barros, Mauro Virgilio Gomes de, Ritti-Dias, Raphael Mendes","Einstein (São Paulo); 13(3); 381-387","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300381&lang=pt" 
"S1679-45082015000300388-scl","Multidisciplinary intervention in obese adolescents: predictors of dropout","Fidelix, Yara Lucy, Farias Júnior, José Cazuza de, Lofrano-Prado, Mara Cristina, Guerra, Ricardo Luís Fernandes, Cardel, Michelle, Prado, Wagner Luiz do","Einstein (São Paulo); 13(3); 388-394","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300388&lang=pt" 
"S1679-45082015000300430-scl","Outpatient treatment of sleep disorders in Alzheimer patients","Scoralick, Francisca Magalhães, Camargos, Einstein Francisco, Freitas, Marco Polo Dias, Nóbrega, Otávio Toledo","Einstein (São Paulo); 13(3); 430-434","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300430&lang=pt" 
"S1679-45082015000300435-scl","Breastfeeding and protection against diarrhea: an integrative review of literature","Santos, Floriacy Stabnow, Santos, Felipe César Stabnow, Santos, Leonardo Hunaldo dos, Leite, Adriana Moraes, Mello, Débora Falleiros de","Einstein (São Paulo); 13(3); 435-440","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300435&lang=pt" 
"S2317-15372015000300202-scl","Treating sunflower seeds subjected to ozonization","Rodrigues, Vitor Oliveira, Costa, Fabiano Ramos, Nery, Marcela Carlota, Cruz, Sara Michelly, Melo, Soryana Gonçalves Ferreira de, Carvalho, Maria Laene Moreira de","Journal of Seed Science; 37(3); 202-210","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300202&lang=pt" 
"S1679-45082015000300376-scl","Agreement in cardiovascular risk rating based on anthropometric parameters","Dantas, Endilly Maria da Silva, Pinto, Cristiane Jordânia, Freitas, Rodrigo Pegado de Abreu, Medeiros, Anna Cecília Queiroz de","Einstein (São Paulo); 13(3); 376-380","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300376&lang=pt" 
"S1679-45082015000300478-scl","Letter to the editor on: Perinatal ischemic stroke: a five-year retrospective study in a level-III maternity. einstein (São Paulo). 2015;13(1):65-71.","Macedo, Israel","Einstein (São Paulo); 13(3); 478-478","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300478&lang=pt" 
"S1679-45082015000300474-scl","Corneal complication caused by gonococcal conjunctivitis","Martins, Thiago Gonçalves dos Santos, Peng, Grace, Andrade e Nascimento, Roberta, Costa, Ana Luiza Fontes de Azevedo","Einstein (São Paulo); 13(3); 474-474","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300474&lang=pt" 
"S1679-45082015000300479-scl","Letter to the editor on: Oral care and nosocomial pneumonia: a systematic review. einstein (São Paulo). 2015;13(2):290-6.","Tovani-Palone, Marcos Roberto","Einstein (São Paulo); 13(3); 479-479","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300479&lang=pt" 
"S1679-45082015000300475-scl","Robot-assisted needle insertion for venous catheterization","Pasternak, Jacyr","Einstein (São Paulo); 13(3); 475-476","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300475&lang=pt" 
"S1679-45082015000300480-scl","Letter to the editor on: Oral care and nosocomial pneumonia: a systematic review. einstein (São Paulo). 2015;13(2):290-6.","Silva, Leopoldo Penteado Nucci da","Einstein (São Paulo); 13(3); 480-480","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300480&lang=pt" 
"S1679-45082015000300007-scl","Antibiotics for Gram-negative infections","Pasternak, Jacyr","Einstein (São Paulo); 13(3); 7-8","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300007&lang=pt" 
