"S1415-65552010000200001-scl","Editorial","Quintella, Rogério H.","Revista de Administração Contemporânea; 14(2); -","Revista de Administração Contemporânea","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552010000200001&lang=pt" 
"S0210-48062010000400014-esp","Carcinoma escamocelular condilomatoso asociado al virus del papiloma humano multimetastásico","Arrabal-Polo, M.A., Arias-Santiago, S., Jiménez-Pacheco, A., Zuluaga-Gómez, A.","Actas Urológicas Españolas; 34(4); 392-393","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400014&lang=pt" 
"S0210-48062010000400009-esp","&quot;Correlaciones urodinámicas del residuo posmiccional&quot;: Urodynamic&quot;","Méndez-Rubio, S., Chiarelli, L., Salinas-Casado, J., Cano, S., Virseda-Chamorro, M., Ramírez, J.C., Campanario, F., Silmi-Moyano, Á.","Actas Urológicas Españolas; 34(4); 365-371","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400009&lang=pt" 
"S0210-48062010000400001-esp","¿Cómo manejar al paciente renal en la pandemia de la gripe A (H1N1)?","Tarrass, F., Benjelloun, M., Benjelloun, O.","Actas Urológicas Españolas; 34(4); 307-308","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400001&lang=pt" 
"S0210-48062010000400010-esp","Nuestra experiencia con minicintas MiniArc® en la cirugía de la incontinencia urinaria de esfuerzo: Our experience","Jiménez Calvo, J., Hualde Alfaro, A., Cebrian Lostal, J.L., Álvarez Bandres, S., Jiménez Parra, J., Montesino Semper, M., Raigoso Ortega, O., Lozano Uruñuela, F., Pinos Paul, M., González de Garibay, A.S.","Actas Urológicas Españolas; 34(4); 372-377","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400010&lang=pt" 
"S0210-48062010000400007-esp","Evaluación del test PCA3 para el diagnóstico de cáncer de próstata: revisión sistemática y metanálisis","Ruiz-Aragón, J., Márquez-Peláez, S.","Actas Urológicas Españolas; 34(4); 346-355","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400007&lang=pt" 
"S0210-48062010000400017-esp","Rotura vesical por esquirla osea púbica","Martín Martín, S., Menéndez, S.A., Calvo González, R., Sanz Ruiz, A., Cortiñas González, J.R., Fernández del Busto, E.","Actas Urológicas Españolas; 34(4); 398-398","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400017&lang=pt" 
"S0210-48062010000400020-esp","Heridas por perdigones","Pérez Tomás, C., Pérez Tomás, C., Galán LLopis, J.A., Herrero Polo, E., Lobato Encinas, J.J.","Actas Urológicas Españolas; 34(4); 399-399","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400020&lang=pt" 
"S0210-48062010000400019-esp","Linfangioma quístico de origen adrenal","Navarro Gil, J., Subirá Ríos, J., García Magarino, J., García Calero, D., Sánchez Zalabardo, J.M., Valdivia Uría, J.G.","Actas Urológicas Españolas; 34(4); 399-399","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400019&lang=pt" 
"S0210-48062010000400016-esp","Leiomioma de uretra femenina, aportación de un caso clínico y revisión de la literatura","Gallego Vilar, D., Povo Martín, I. José, Miralles Aguado, J., Gimeno Argente, V., Bosquet Sanz, M., Gallego Gómez, J.","Actas Urológicas Españolas; 34(4); 396-397","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400016&lang=pt" 
"S0210-48062010000400006-esp","Evaluación de la expresión de la subunidad p22 phox de la NADPH oxidasa (NOX) en cáncer de próstata e hiperplasia prostática benigna: estudio comparativo","Floriano-Sánchez, E., Castro-Marín, M., Cárdenas-Rodríguez, N., Lara-Padilla, E.","Actas Urológicas Españolas; 34(4); 340-345","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400006&lang=pt" 
"S0210-48062010000400005-esp","Carcinoma pseudohiperplásico con cambios xantomatosos: una neoplasia que semeja hiperplasia glandular de la próstata","Arista-Nasr, J., Martínez-Benítez, B., Fernández-Amador, J.A., Bornstein-Quevedo, L., Albores-Saavedra, J.","Actas Urológicas Españolas; 34(4); 333-339","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400005&lang=pt" 
"S0210-48062010000400003-esp","Síndrome de dolor miofascial del suelo pélvico: una patología urológica muy frecuente","Itza, F., Zarza, D., Serra, L., Gómez-Sancha, F., Salinas, J., Allona-Almagro, A.","Actas Urológicas Españolas; 34(4); 318-326","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400003&lang=pt" 
"S0210-48062010000400002-esp","Crioterapia de tumores renales: estado actual y desarrollos contemporáneos","Rioja, J., Tzortzis, V., Mamoulakis, C., Laguna, M.P.","Actas Urológicas Españolas; 34(4); 309-317","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400002&lang=pt" 
"S1134-80462010000300003-esp","Estimulación eléctrica medular en pacientes con dolor crónico: evaluación de la discapacidad y la calidad de vida","Jiménez-Ramos, A., Hernández-Santos, J.R., Tenopala Villegas, S., Cardona Hurtado, G., Narváez Sarmiento, I.M., Olvera Sánchez, Y., Torres Huerta, J.C.","Revista de la Sociedad Española del Dolor; 17(3); 147-152","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300003&lang=pt" 
"S1134-80462010000300009-esp","Respuesta al comentario de Ángel Escudero a nuestro artículo &quot;Análisis de la no elección de la analgesia epidural durante el trabajo del parto en las mujeres andaluzas: la buena sufridora","Biedma Velázquez, L., García de Diego, J.M., Serrano del Rosal, R.","Revista de la Sociedad Española del Dolor; 17(3); 180-181","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300009&lang=pt" 
"S1134-80462010000300002-esp","Premedicación en anestesia pediátrica: citrato de fentanilo oral transmucoso frente a midazolam oral","Velázquez, I., Muñoz-Garrido, J.C.","Revista de la Sociedad Española del Dolor; 17(3); 139-146","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300002&lang=pt" 
"S1134-80462010000300006-esp","Opioides en el dolor raquídeo: Relación riesgo/beneficio y estrategia apropiada para su utilización","Caramés, M.A., Robaina, F.J., Clavo, B.","Revista de la Sociedad Española del Dolor; 17(3); 169-176","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300006&lang=pt" 
"S1134-80462010000300005-esp","Intrathecal therapy for cancer pain management","León-Casasola, O. de","Revista de la Sociedad Española del Dolor; 17(3); 162-168","Revista de la Sociedad Española del Dolor","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300005&lang=pt" 
"S0100-736X2010000400001-scl","Morfologia dos órgãos genitais masculinos do Jurará Kinosternon scorpioides (Chelonia: Kinosternidae)","Carvalho, Rafael Cardoso, Oliveira, Sâmia Clara Rodrigues de, Bombonato, Pedro Primo, Oliveira, Antonia Santos, Sousa, Alana Lislea de","Pesquisa Veterinária Brasileira; 30(4); 289-294","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400001&lang=pt" 
"S0100-736X2010000400002-scl","Estrutura e celularidade de meniscos frescos de coelhos (Oryctolagus cuniculus) preservados em glicerina","Vilela, Liana M., Del Carlo, Ricardo J., Silva, João Carlos P. da, Da Matta, Sérgio Luís P., Rodrigues, Mauricio Correia D., Monteiro, Betânia S., Martinez, Mastoby Miguel M., Reis, Amanda Maria S., Machado, Daniel P. Dias, Lopes, Liliane R.","Pesquisa Veterinária Brasileira; 30(4); 295-300","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400002&lang=pt" 
"S0100-736X2010000400003-scl","Valores de referência e influência da idade no eritrograma de bubalinos da raça Murrah","Gomes, Viviani, Moura, Jéssica A., Madureira, Karina M., Baptistella, Fernanda, Kitamura, Sandra S., Blagitz, Maiara G., Benesi, Fernando J.","Pesquisa Veterinária Brasileira; 30(4); 301-304","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400003&lang=pt" 
"S0100-736X2010000400006-scl","Distribution of collagen types I, III, and IV in gastric tissue of marmosets (Callithrix spp., Callitrichidae: Primates)","Mello, Marcela F.V. de, Pissinatti, Alcides, Ferreira, Ana M.R.","Pesquisa Veterinária Brasileira; 30(4); 317-320","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400006&lang=pt" 
"S0100-736X2010000400009-scl","Avaliação ultrassonográfica do meato acústico em cães","Schmidlin, Polyanne Cramer, Froes, Tilde Rodrigues, Garcia, Daniela Aparecida Ayres, Parchen, Helber, Montiani-Ferreira, Fabiano","Pesquisa Veterinária Brasileira; 30(4); 335-339","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400009&lang=pt" 
"S1808-86942010000200005-scl","Ameloblastomas sólidos: estudo retrospectivo clínico e histopatológico em 54 casos","Fulco, Giovana Medeiros, Nonaka, Cassiano Francisco Weege, Souza, Lélia Batista de, Miguel, Márcia Cristina da Costa, Pinto, Leão Pereira","Brazilian Journal of Otorhinolaryngology; 76(2); 172-177","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200005&lang=pt" 
"S1808-86942010000200003-scl","Principais queixas vocais de pacientes idosos pós-tratamento para hanseníase","Palheta Neto, Francisco Xavier, Silva Filho, Manoel da, Pantoja Junior, José Mariano Soriano, Teixeira, Larissa Lane Cardoso, Miranda, Rafaela Vale de, Palheta, Angélica Cristina Pezzin","Brazilian Journal of Otorhinolaryngology; 76(2); 156-163","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200003&lang=pt" 
"S1808-86942010000200010-scl","Potencial evocado auditivo tardio relacionado a eventos (P300) na síndrome de Down","César, Carla Patrícia Hernandez Alves Ribeiro, Caovilla, Heloisa Helena, Munhoz, Mário Sérgio Lei, Ganança, Maurício Malavasi","Brazilian Journal of Otorhinolaryngology; 76(2); 206-212","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200010&lang=pt" 
"S1808-86942010000200022-scl","Granuloma reparativo de células gigantes em mandíbula","Sass, Scheila Maria Gambeta, Pinto, Marlene Corrêa, Jebahi, Yasser, Bortolon, Lilian","Brazilian Journal of Otorhinolaryngology; 76(2); 273-273","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200022&lang=pt" 
"S1808-86942010000200021-scl","Adenose policística esclerosante de glândula salivar menor: relato de caso","Gurgel, Clarissa Araújo Silva, Freitas, Valéria Souza, Ramos, Eduardo Antônio Gonçalves, Santos, Jean Nunes dos","Brazilian Journal of Otorhinolaryngology; 76(2); 272-272","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200021&lang=pt" 
"S1808-86942010000200020-scl","Tumor miofibroblástico inflamatório: caso raro em laringe","Carlos, Flavio, Vida, Mirelle Limp Boa, Duarte, Bruno Bernardo, Sakae, Flavio Akira, Marone, Silvio Antonio Monteiro","Brazilian Journal of Otorhinolaryngology; 76(2); 271-271","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200020&lang=pt" 
"S1677-55382010000200008-scl","Transurethral resection of prostate: a comparison of standard monopolar versus bipolar saline resection","Singhania, Piyush, Nandini, Dave, Sarita, Fernandes, Hemant, Pathak, Hemalata, Iyer","International braz j urol; 36(2); 183-189","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200008&lang=pt" 
"S1677-55382010000200002-scl","Radical prostatectomy: evolution of surgical technique from the laparoscopic point of view","Cathelineau, Xavier, Sanchez-Salas, Rafael, Barret, Eric, Rozet, Francois, Galiano, Marc, Benoist, Nicolas, Stakhovsky, Oleksandr, Vallancien, Guy","International braz j urol; 36(2); 129-140","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200002&lang=pt" 
"S1677-55382010000200004-scl","Epidemiologic characteristics of renal cell carcinoma in Brazil","Nardi, Aguinaldo C., Zequi, Stenio de C., Clark, Otavio A. C., Almeida, Jose C., Glina, Sidney","International braz j urol; 36(2); 151-158","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200004&lang=pt" 
"S1677-55382010000200006-scl","Supracostal access: does it affect tubeless percutaneous nephrolithotomy efficacy and safety?","Jun-Ou, J., Lojanapiwat, Bannakij","International braz j urol; 36(2); 171-176","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200006&lang=pt" 
"S1677-55382010000200007-scl","Total prostatectomy within 6 weeks of a prostate biopsy: is it safe?","Adiyat, Kishore T., Murugesan, Manoharan, Katkoori, Devendar, Eldefrawy, Ahmed, Soloway, Mark S.","International braz j urol; 36(2); 177-182","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200007&lang=pt" 
"S1677-55382010000200010-scl","Parachute technique for partial penectomy","Korkes, Fernando, Neves-Neto, Oseas C., Wroclawski, Marcelo L., Tobias-Machado, Marcos, Pompeo, Antonio C. L., Wroclawski, Eric R.","International braz j urol; 36(2); 198-201","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200010&lang=pt" 
"S1677-55382010000200013-scl","Urodynamics in a community-dwelling population of females 80 years or older: which motive? Which diagnosis?","Valentini, Françoise A., Robain, Gilberte, Marti, Brigitte G., Nelson, Pierre P.","International braz j urol; 36(2); 218-224","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200013&lang=pt" 
"S1677-55382010000200020-scl","Should pathologists continue to use the current pT2 substaging system for reporting of radical prostatectomy specimens?","Billis, Athanase","International braz j urol; 36(2); 232-234","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200020&lang=pt" 
"S1677-55382010000200021-scl","Radical prostatectomy (RP) findings in cases with only intraductal carcinoma of the prostate (IDC-P) on needle biopsy","Billis, Athanase","International braz j urol; 36(2); 234-235","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200021&lang=pt" 
"S1677-55382010000200033-scl","Laparoscopic, ultrasound-guided microwave thermal ablation with direct, real-time temperature monitoring of a 3.4 cm renal tumor in an anti-coagulated patient","Correa, Jose Jaime","International braz j urol; 36(2); 249-250","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200033&lang=pt" 
"S1516-18462010000200002-scl","Fonoaudiologia, aprendizagem e educação","Zorzi, Jaime Luiz","Revista CEFAC; 12(2); 185-185","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200002&lang=pt" 
"S1516-18462010000200001-scl","Editorial I","Bianchini, Esther Mandelbaum Gonçalves","Revista CEFAC; 12(2); 183-183","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200001&lang=pt" 
"S1516-18462010000200010-scl","Perfil audiométrico de indivíduos expostos ao ruído atendidos no núcleo de saúde ocupacional de um hospital do município de Montes Claros, Minas Gerais","Leão, Rejane Noronha, Dias, Fernanda Abalen Martins","Revista CEFAC; 12(2); 242-249","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200010&lang=pt" 
"S1516-18462010000200006-scl","Estudo longitudinal da compreensão verbal de crianças usuárias de implante coclear","Queiroz, Carla Aparecida de Urzedo Fortunato, Bevilacqua, Maria Cecília, Costa, Maria da Piedade Resende da","Revista CEFAC; 12(2); 210-215","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200006&lang=pt" 
"S1516-18462010000200018-scl","Características morfofuncionais do trânsito orofaríngeo na bulimia: revisão de literatura","Santos, Catarina Matos Brito, Cansanção, Vanessa de Oliveira, Pernambuco, Leandro de Araújo, Silva, Hilton Justino da","Revista CEFAC; 12(2); 308-316","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200018&lang=pt" 
"S1516-18462010000200016-scl","Percepção da voz e saúde vocal em idosos coralistas","Penteado, Regina Zanella, Penteado, Letícia Aranha Pires Barbosa","Revista CEFAC; 12(2); 288-298","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200016&lang=pt" 
"S1516-18462010000200021-scl","Desvios fonológicos na educação infantil","Nunes, Djakelânia Alves, Payão, Luzia Miscow da Cruz, Costa, Ranilde Cristiane Cavalcante","Revista CEFAC; 12(2); 331-336","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200021&lang=pt" 
"S1677-55382010000200032-scl","Laparoscopic nephrectomy through a pfannenstiel incision","Spiess, Philippe E.","International braz j urol; 36(2); 247-248","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200032&lang=pt" 
"S1677-55382010000200031-scl","Incidence of new onset metabolic acidosis following enteroplasty for myelomeningocele","Wallis, M. Chad","International braz j urol; 36(2); 245-246","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200031&lang=pt" 
"S1677-55382010000200030-scl","Improvement in vesicoureteral reflux grade on serial imaging predicts resolution","Wallis, M. Chad","International braz j urol; 36(2); 244-245","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200030&lang=pt" 
"S1677-55382010000200029-scl","A multicenter, prospective, randomized clinical trial comparing tension-free vaginal tape surgery and no treatment for the management of stress urinary incontinence in elderly women","Petrou, Steven P.","International braz j urol; 36(2); 243-244","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200029&lang=pt" 
"S1677-55382010000200028-scl","Regular moderate intake of red wine is linked to a better women&#039;s sexual health","Petrou, Steven P.","International braz j urol; 36(2); 241-242","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200028&lang=pt" 
"S1677-55382010000200027-scl","Should all patients with non-muscle-invasive bladder cancer receive early intravesical chemotherapy after transurethral resection? The results of a prospective randomised multicentre study","Bohle, Andreas","International braz j urol; 36(2); 240-241","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200027&lang=pt" 
"S1677-55382010000200026-scl","Characteristics and outcomes of patients with clinical t1 grade 3 urothelial carcinoma treated with radical cystectomy: results from an international cohort","Bohle, Andreas","International braz j urol; 36(2); 239-240","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200026&lang=pt" 
"S1677-55382010000200025-scl","Incidence, clinical symptoms and management of rectourethral fistulas after radical prostatectomy","Elliott, Sean P.","International braz j urol; 36(2); 238-239","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200025&lang=pt" 
"S1677-55382010000200024-scl","Management of radiotherapy induced rectourethral fistula","Elliott, Sean P.","International braz j urol; 36(2); 237-239","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200024&lang=pt" 
"S1677-55382010000200023-scl","Atorvastatin protects renal function in the rat with acute unilateral ureteral obstruction","Sampaio, Francisco J. B.","International braz j urol; 36(2); 236-237","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200023&lang=pt" 
"S1677-55382010000200022-scl","Potential mechanism of action of human growth hormone on isolated human penile erectile tissue","Sampaio, Francisco J. B.","International braz j urol; 36(2); 235-236","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200022&lang=pt" 
