"S2007-11322010000100002-mex","La verdadera cosecha maderable en México","Caballero Deloya, Miguel","Revista mexicana de ciencias forestales; 1(1); 6-16","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100002&lang=pt" 
"S2007-11322010000100013-mex","Utilización de Taxodium mucronatum Ten para determinar la variación estacional de la precipitación en Guanajuato","Cortés Barrera, Eunice Nayeli, Villanueva Díaz, José, Estrada Ávalos, Juan, Pola, Cecilia Nieto de Pascual, Cruz, Vidal Guerra de la, Vázquez Cuecuecha, Oscar","Revista mexicana de ciencias forestales; 1(1); 113-121","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100013&lang=pt" 
"S2007-11322010000100012-mex","Estimación de la biomasa en un bosque bajo manejo de Pinus patula Schltdl. et Cham. en Zacualtipán, Hidalgo","Figueroa-Navarro, Consuelo Marisel, Ángeles-Pérez, Gregorio, Velázquez-Martínez, Alejandro, Santos-Posadas, Héctor Manuel de los","Revista mexicana de ciencias forestales; 1(1); 105-112","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100012&lang=pt" 
"S2007-11322010000100015-mex","Dr. Miguel Caballero Deloya","Martínez Velázquez, Alejandro","Revista mexicana de ciencias forestales; 1(1); 134-137","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100015&lang=pt" 
"S2007-11322010000100014-mex","Aptitud de áreas para plantaciones de eucalipto en Oaxaca y Veracruz: proceso de análisis jerarquizado vs. álgebra booleana","Delgado Caballero, Carina Edith, Valdez Lazalde, José René, Fierros González, Aurelio Manuel, Posadas, Héctor Manuel de los Santos, Gómez Guerrero, Armando","Revista mexicana de ciencias forestales; 1(1); 123-133","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100014&lang=pt" 
"S1984-92302010000200006-scl","Desafios e oportunidades das incubadoras de empresas para a incorporação de estratégias ambientais","Fonseca, Sergio Azevedo, Souza, Silvia Batista de, Jabbour, Charbel José Chiappeta","Organizações &amp; Sociedade; 17(53); 331-344","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200006&lang=pt" 
"S1984-92302010000200008-scl","Representações sociais do papel de gestores de organizações não-governamentais","Souza, Washington José de, Serafim, Lia Sales, Dias, Thiago Ferreira","Organizações &amp; Sociedade; 17(53); 363-378","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200008&lang=pt" 
"S1984-92302010000200003-scl","Investigando novas articulações e possibilidades no discurso empreendedor: contexto, sujeito e ação","Mello, Sérgio Carvalho Benício de, Cordeiro, Adriana Tenório","Organizações &amp; Sociedade; 17(53); 279-295","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200003&lang=pt" 
"S1984-92302010000200002-scl","O paradoxo de Mozart: carreiras nas indústrias criativas","Bendassolli, Pedro F., Wood Jr., Thomaz","Organizações &amp; Sociedade; 17(53); 259-277","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200002&lang=pt" 
"S1984-92302010000200001-scl","Poder e liderança de mulheres nas organizações de trabalho","Kanan, Lilia Aparecida","Organizações &amp; Sociedade; 17(53); 243-257","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200001&lang=pt" 
"S1984-92302010000200007-scl","Avaliação de desempenho de redes de pequenas empresas: contribuições da abordagem da produção de sentido","Wegner, Douglas, Misocsky, Maria Ceci","Organizações &amp; Sociedade; 17(53); 345-361","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200007&lang=pt" 
"S1984-92302010000200005-scl","Aprendizagem e inovação no contexto das redes de cooperação entre pequenas e médias empresas","Balestrin, Alsones, Verschoore, Jorge","Organizações &amp; Sociedade; 17(53); 311-330","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200005&lang=pt" 
"S1984-92302010000200004-scl","Responsabilidade social: a privatização do público","Xavier, Wescley, Maranhão, Carolina","Organizações &amp; Sociedade; 17(53); 297-309","Organizações &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302010000200004&lang=pt" 
"S1980-57642010000200131-scl","Parkinson&#039;s disease: Impact of clinical and cognitive aspects on quality of life","Tedrus, Glória Maria Almeida Souza, Fonseca, Lineu Correa, Kange, Patrícia Mencaroni","Dementia &amp; Neuropsychologia; 4(2); 131-137","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200131&lang=pt" 
"S1980-57642010000200109-scl","Correlation between hippocampal volumes and proton magnetic resonance spectroscopy of the posterior cingulate gyrus and hippocampi in Alzheimer&#039;s disease","Park, Eun Joo, Lyra, Katarina P., Lee, Hae Won, Caramelli, Paulo, Otaduy, Maria C. G., Leite, Claudia Costa","Dementia &amp; Neuropsychologia; 4(2); 109-113","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200109&lang=pt" 
"S1980-57642010000200098-scl","Analysis of error type and frequency in apraxia of speech among Portuguese speakers","Cera, Maysa Luchesi, Minett, Thaís Soares Cianciarullo, Ortiz, Karin Zazo","Dementia &amp; Neuropsychologia; 4(2); 98-103","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200098&lang=pt" 
"S1980-57642010000200120-scl","Mini- Mental State Examination among lower educationl levels and illiterates: transcultural evaluation","Brucki, Sonia Maria Dozzi, Nitrini, Ricardo","Dementia &amp; Neuropsychologia; 4(2); 120-125","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200120&lang=pt" 
"S1980-57642010000200126-scl","The influence of schooling on performance in the Mattis Dementia Rating Scale (DRS)","Porto, Cláudia Sellitto, Caramelli, Paulo, Nitrini, Ricardo","Dementia &amp; Neuropsychologia; 4(2); 126-130","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200126&lang=pt" 
"S1980-57642010000200114-scl","Effects of cognitive training based on metamemory and mental images","Lima-Silva, Thaís Bento, Ordonez, Tiago Nascimento, Santos, Glenda Dias dos, Fabrício, Aline Teixeira, Aramaki, Flávia Ogava, Almeida, Evany Bettine de, Vianna-Paulo, Débora Lee, Malagutti, Mayne Patrício, Valente-Oliveira, Ana Carolina, Iwasaki, Amanda, Souza, Gisele dos Santos, Yassuda, Mônica Sanches","Dementia &amp; Neuropsychologia; 4(2); 114-119","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200114&lang=pt" 
"S1980-57642010000200086-scl","Cognitive impairment in clinically isolated syndrome: a systematic review","Anhoque, Carolina Fiorin, Domingues, Simone Cristina Aires, Teixeira, Antônio Lúcio, Domingues, Renan Barros","Dementia &amp; Neuropsychologia; 4(2); 86-90","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200086&lang=pt" 
"S1980-57642010000200145-scl","Oral infections and orofacial pain in Alzheimer&#039;s disease: case report and review","Siqueira, Silvia Regina Dowgan T. de, Rolim, Thaís de Souza, Teixeira, Manoel Jacobsen, Nitrini, Ricardo, Anghinah, Renato, Siqueira, José Tadeu T. de","Dementia &amp; Neuropsychologia; 4(2); 145-150","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200145&lang=pt" 
"S1980-57642010000200085-scl","In the June 2010 issue","Nitrini, Ricardo","Dementia &amp; Neuropsychologia; 4(2); 85-85","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200085&lang=pt" 
"S1980-57642010000200104-scl","Distinct attitudes of professionals from different medical specialties toward autonomy and legal instruments in the assessment of patients with Alzheimer&#039;s disease","Pioltini, Ana Beatriz Maringolo, Mendes-Chiloff, Cristiane Lara, Schelp, Arthur Oscar, Marcolino, Everson da Silva","Dementia &amp; Neuropsychologia; 4(2); 104-108","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200104&lang=pt" 
"S1980-57642010000200138-scl","Post-Mortem diagnosis of dementia by informant interview","Ferretti, Renata Eloah de Lucena, Damin, Antonio Eduardo, Brucki, Sonia Maria Dozzi, Morillo, Lilian Schafirovits, Perroco, Tibor Rilho, Campora, Flávia, Moreira, Eliza Guccione, Balbino, Érika Silvério, Lima, Maria do Carmo de Ascenção, Battela, Camila, Ruiz, Lumena, Grinberg, Lea Tenenholz, Farfel, José Marcelo, Leite, Renata Elaine Paraiso, Suemoto, Claudia Kimie, Pasqualucci, Carlos Augusto, Rosemberg, Sérgio, Saldiva, Paulo Hilário Nascimento, Jacob-Filho, Wilson, Nitrini, Ricardo","Dementia &amp; Neuropsychologia; 4(2); 138-144","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200138&lang=pt" 
"S1980-57642010000200091-scl","Episodic memory, concentrated attention and processing speed in aging: A comparative study of Brazilian age groups","Fonseca, Rochele Paz, Zimmermann, Nicolle, Scherer, Lilian Cristine, Parente, Maria Alice de Mattos Pimenta, Ska, Bernadette","Dementia &amp; Neuropsychologia; 4(2); 91-97","Dementia &amp; Neuropsychologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642010000200091&lang=pt" 
"S1665-70632010000200001-mex","Memorias de la Escuela Nacional de Enfermería y Obstetricia ENEO-UNAM","Pérez Cabrera, Iñiga","Enfermería universitaria; 7(2); 4-8","Enfermería universitaria","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632010000200001&lang=pt" 
"S1665-70632010000200002-mex","Intervención educativa de enfermería para la rehabilitación de personas con una ostomia","Pat Castillo, Lucía, Espinosa Estevez, Juan Manuel, del Pilar Sánchez Bautista, María, Cruz Castañeda, Otilia, Cano Garduño, Marco Antonio, Rivas, Juan Gabriel, Hernández Corral, Sandra","Enfermería universitaria; 7(2); 9-14","Enfermería universitaria","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632010000200002&lang=pt" 
"S1665-70632010000200004-mex","Enfoque constructivista en el aprendizaje de la asignatura de metodología de la investigación en la ENEO","Salcedo-Álvarez, Rey Arturo, Alba-Leonel, Adela, Zarza-Arizmendi, María Dolores","Enfermería universitaria; 7(2); 21-31","Enfermería universitaria","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632010000200004&lang=pt" 
"S1665-70632010000200005-mex","Sobrepeso y obesidad infantil: Necesidad de intervención de Enfermería","Sotomayor Sánchez, Sandra M, Bernal Becerril, Martha Lilia, Salazar Gómez, Teresa, Ponce Gómez, Gandhy","Enfermería universitaria; 7(2); 32-37","Enfermería universitaria","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632010000200005&lang=pt" 
"S1665-70632010000200006-mex","Relación de los factores de riesgo y comorbilidad en el programa de prevención de caídas en usuarios hospitalizados en un hospital psiquiátrico del sector salud","Gallegos Sánchez, Susana, Aguilar Rodríguez, María Magdalena, Camarillo Ruíz, María Navora","Enfermería universitaria; 7(2); 38-44","Enfermería universitaria","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632010000200006&lang=pt" 
"S1665-70632010000200003-mex","Información sobre Planificación Familiar que recibieron las adolescentes después de un evento obstétrico","Reséndiz Flores, Catalina, Martha Reyes, María Cristina, Cuatmatzi Peña, María Teresa","Enfermería universitaria; 7(2); 15-20","Enfermería universitaria","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632010000200003&lang=pt" 
"S2007-40182010000100004-mex","Colofonia de pináceas cubanas para el control de enfermedades tropicales transmitidas por moluscos","Arteaga-Crespo, Y., Carballo-Abreu, L. R., Sotolongo-Sospedra, R., Hevia-Jiménez, Y., Tacoronte-Morales, J. E.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 31-36","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100004&lang=pt" 
"S2007-40182010000100006-mex","Monitoreo del comportamiento del fuego en una quema controlada en un rodal de pino-encino","Flores Garnica, J. G., Xelhuantzi Carmona, J., Chávez Durán, Á. A.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 49-59","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100006&lang=pt" 
"S2007-40182010000100003-mex","Abundancia poblacional de Chrysomphalus ficus Ashmead sobre la especie de orquídea cubana Encyclia brevifolia en función de la temperatura","González-Díaz, S., León-Sanchez, M. A., Góngora-Rojas, F.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 21-29","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100003&lang=pt" 
"S2007-40182010000100001-mex","Efecto de radiaciones gamma en Abies religiosa (Kunth) Schltd. et Cham.","Iglesias-Andreu, L. G., Sánchez-Velásquez, L. R., Tivo-Fernández, Y., Luna-Rodríguez, M., Flores-Estévez, N., Noa-Carrazana, J. C., Ruiz-Bello, C., Moreno-Martínez, J. L.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 5-12","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100001&lang=pt" 
"S0122-97612010000100003-col","EFECTO DE LA SEDIMENTACIÓN EN EL RECLUTAMIENTO DE LAS MACROALGAS DICTYOTA SPP. Y LOBOPHORA VARIEGATA: UN ESTUDIO EXPERIMENTAL EN EL PARQUE NACIONAL NATURAL TAYRONA, CARIBE COLOMBIANO","Flórez-Leiva, Lennin, Rangel-Campo, Alejandro, Díaz-Ruiz, Martha, Venera-Pontón, Dagoberto E., Díaz-Pulido, Guillermo","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 41-56","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100003&lang=pt" 
"S0122-97612010000100004-col","DISTRIBUCIÓN Y ABUNDANCIA DE LAS ASCIDIAS DE LOS FONDOS ROCOSOS DE LA BAHÍA DE CUAJINIQUIL, COSTA RICA","Nova-Bustos, Nidya, Hernández-Zanuy, Aida C., Viquez-Portuguez, Rigoberto","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 57-66","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100004&lang=pt" 
"S0122-97612010000100010-col","EFECTO DE LA DENSIDAD DE SIEMBRA SOBRE EL CRECIMIENTO Y SUPERVIVENCIA DE NODIPECTEN NODOSUS (BIVALVIA: PECTINIDAE) EN UN NUEVO ARTE DE CULTIVO","López-Navarro, Johann, Gómez-León, Javier, Castellanos Romero, Claudia, Acosta Ortiz, Ernesto","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 177-189","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100010&lang=pt" 
"S0122-97612010000100011-col","FAUNA NOCTURNA ASOCIADA A LOS MANGLARES Y OTROS HUMEDALES EN LA VÍA PARQUE ISLA DE SALAMANCA, DEPARTAMENTO DEL MAGDALENA, CARIBE COLOMBIANO","Balaguera-Reina, Sergio A., González-Maya, José F., Acero P., Arturo","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 191-199","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100011&lang=pt" 
"S0122-97612010000100002-col","DISTRIBUCIÓN Y ABUNDANCIA DE DIATOMEAS DEL GÉNERO PSEUDO-NITZSCHIA EN CONDICIÓN DE EL NIÑO 2007 SOBRE LA CUENCA PACÍFICA COLOMBIANA*","Galeano Chavarría, Ana María, Arteaga Sogamoso, Edgar","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 25-39","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100002&lang=pt" 
"S0122-97612010000100001-col","DESARROLLO DE UNA METODOLOGÍA SENCILLA PARA LA GEORREFERENCIACIÓN Y MEDICIÓN DE DISTANCIAS A PARTIR DE IMÁGENES DE SATÉLITE SISTEMÁTICAMENTE GEORREFERENCIADAS","Gónima, Leonardo, Ruiz, Libardo E., González, Marcos E.","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 7-23","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100001&lang=pt" 
"S0122-97612010000100006-col","LISTADO DE DIATOMEAS (BACILLARIOPHYTA) REGISTRADAS PARA EL MAR CARIBE COLOMBIANO","Lozano-Duque, Yesid, Vidal, Luis Alfonso, Navas S., Gabriel R.","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 83-116","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100006&lang=pt" 
"S0122-97612010000100005-col","HIDROZOOS DE LA FAMILIA AGLAOPHENIIDAE DE LA PLATAFORMA CONTINENTAL Y TALUD SUPERIOR DEL CARIBE COLOMBIANO","Posada P., Tibisay, Peña C., Alvaro L., Navas S., Gabriel R.","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 67-81","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100005&lang=pt" 
"S0122-97612010000100009-col","ESTADO DE LA POBLACIÓN Y VALORACIÓN DE ALGUNAS ESTRATEGIAS DE CONSERVACIÓN DEL RECURSO PIANGUA ANADARA TUBERCULOSA (SOWERBY) EN SECTORES DE BAZÁN Y NERETE, COSTA PACÍFICA NARIÑENSE DE COLOMBIA","Espinosa G., Silvana, Delgado Hernández, María Fernanda, Orobio Riofrío, Bernardo, Mejía-Ladino, Luz Marina, Gil-Agudelo, Diego L.","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 161-176","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100009&lang=pt" 
"S0122-97612010000100008-col","DISTRIBUCIÓN ESPACIAL, ABUNDANCIA Y RELACIÓN CON CARACTERÍSTICAS DEL HÁBITAT DEL CARACOL PALA EUSTROMBUS GIGAS (LINNAEUS) (MOLLUSCA: STROMBIDAE) EN EL ARCHIPIÉLAGO NUESTRA SEÑORA DEL ROSARIO, CARIBE COLOMBIANO","Gómez-Campo, Kelly, Rueda, Mario, García-Valencia, Carolina","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 137-159","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100008&lang=pt" 
"S0122-97612010000100007-col","COBERTURA DE LOS FONDOS Y PAISAJES BENTÓNICOS ASOCIADOS A FORMACIONES DIAPÍRICAS EN LOS BANCOS DE SALMEDINA, PLATAFORMA CONTINENTAL DEL CARIBE COLOMBIANO","Domínguez, Juan Gabriel, Gómez, Juan Carlos, Ricaurte, Constanza, Mayo, Gisela, Orejarena, Jaime, Díaz, Juan Manuel, Andrade, Carlos Alberto","Boletín de Investigaciones Marinas y Costeras - INVEMAR; 39(1); 117-135","Boletín de Investigaciones Marinas y Costeras - INVEMAR","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612010000100007&lang=pt" 
"S1688-04202010000100008-ury","Guías de acreditación en ecocardiografía del adulto y del laboratorio de ecocardiografía de la Asociación de Ecocardiografía de la Sociedad Interamericana de Cardiología","RESTREPO, GUSTAVO, LOWENSTEIN, JORGE, GUTIÉRREZ FAJARDO, PEDRO, PAZ ARDAYA, ADOLFO, VIEIRA, MARCELO L. C, SPINA, SALVADOR, CÓRDOVA ALVÉSTEGUI, SAMUEL, BELTRÁN, ÁLVARO, PIZZANO, NELSON, REVILLA ALCOCER, HÉCTOR","Revista Uruguaya de Cardiología; 25(1); 47-63","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100008&lang=pt" 
"S1688-04202010000100003-ury","Estrategia para el control de ritmo de la fibrilación auricular en el escenario prehospitalario","BAZZINO, OSCAR, MAÑANA, PABLO","Revista Uruguaya de Cardiología; 25(1); 11-16","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100003&lang=pt" 
"S1688-04202010000100004-ury","Pruebas de esfuerzo cardiopulmonar en la práctica clínica","ALLISON, THOMAS, BURDIAT, GERARD","Revista Uruguaya de Cardiología; 25(1); 17-27","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100004&lang=pt" 
"S1688-04202010000100006-ury","Implante de cardiodesfibrilador a través de vena cava superior izquierda persistente","VARELA, GONZALO, KEUSHKERIAN, JUAN, REYES CAORSI, WALTER, CALLERIZA, FERNANDO, DO MATO, TNC GRACIELA","Revista Uruguaya de Cardiología; 25(1); 33-36","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100006&lang=pt" 
"S1688-04202010000100001-ury","Registro uruguayo de miocardiopatia hipertrófica","Vidal, Inés","Revista Uruguaya de Cardiología; 25(1); 03-04","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100001&lang=pt" 
