"S0101-74382006000200005-scl","Um algoritmo evolutivo híbrido para a formação de células de manufatura em sistemas de produção","Trindade, Áthila Rocha, Ochi, Luiz Satoru","Pesquisa Operacional; 26(2); 255-294","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200005&lang=pt" 
"S1519-69842006000500002-scl","Species composition and structure of Thysanoptera communities in different microhabitats at the Parque Estadual de Itapuã, Viamão, RS","Pinent, S. M. J., Romanowski, H. P., Redaelli, L. R., Cavalleri, A.","Brazilian Journal of Biology; 66(3); 765-779","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500002&lang=pt" 
"S1519-69842006000500003-scl","Changes in biomass, chemical composition and nutritive value of Spartina alterniflora due to organic pollution in the Itanhaém River Basin (SP, Brazil)","Biudes, J. F. V., Camargo, A. F. M.","Brazilian Journal of Biology; 66(3); 781-789","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500003&lang=pt" 
"S1519-69842006000500004-scl","A medium-spatial scale distribution pattern of Pseudoscorpionida (Arachnida) in a gradient of topography (altitude and inclination), soil factors, and litter in a central Amazonia forest reserve, Brazil","Aguiar, N. O., Gualberto, T. L., Franklin, E.","Brazilian Journal of Biology; 66(3); 791-802","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500004&lang=pt" 
"S1519-69842006000500006-scl","Ecological-evolutionary relationships in Passiflora alata from Rio Grande do Sul, Brazil","Koehler-Santos, P., Lorenz-Lemke, A. P., Salzano, F. M., Freitas, L. B.","Brazilian Journal of Biology; 66(3); 809-816","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500006&lang=pt" 
"S1519-69842006000500009-scl","Sticholonche zanclea (Protozoa, Actinopoda) in fecal pellets of copepods and Euphausia sp. in Brazilian coastal waters","Eskinazi-Sant&#039;Anna, E. M.","Brazilian Journal of Biology; 66(3); 839-847","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500009&lang=pt" 
"S0100-15742006000200003-scl","Os cursos pré-vestibulares comunitários e seus condicionantes pedagógicos","Carvalho, José Carmelo Braz de","Cadernos de Pesquisa; 36(128); 299-326","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200003&lang=pt" 
"S0100-15742006000200004-scl","Por uma política da diferença","Macedo, Elizabeth","Cadernos de Pesquisa; 36(128); 327-356","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200004&lang=pt" 
"S0100-15742006000200005-scl","Cooperação entre professores: a formação inicial deve preceder as práticas?","Thurler, Monica Gather, Perrenoud, Philippe","Cadernos de Pesquisa; 36(128); 357-375","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200005&lang=pt" 
"S0100-15742006000200006-scl","O futuro das políticas de responsabilização educacional no Brasil","Brooke, Nigel","Cadernos de Pesquisa; 36(128); 377-401","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200006&lang=pt" 
"S0100-15742006000200008-scl","Educação e ideologia do talento no mundo da publicidade","Durand, José Carlos","Cadernos de Pesquisa; 36(128); 433-450","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200008&lang=pt" 
"S0100-15742006000200009-scl","Leitura de imagens, cultura visual e prática educativa","Sardelich, Maria Emilia","Cadernos de Pesquisa; 36(128); 451-472","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200009&lang=pt" 
"S0100-15742006000200010-scl","Como aumentar a proporção de estudantes negros na universidade?","Tragtenberg, Marcelo Henrique Romano, Bastos, João Luiz Dornelles, Nomura, Lincon Hideo, Peres, Marco Aurélio","Cadernos de Pesquisa; 36(128); 473-495","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200010&lang=pt" 
"S0100-15742006000200002-scl","Pré-vestibulares alternativos: da igualdade à eqüidade","Mitrulis, Eleny, Penin, Sônia Teresinha de Sousa","Cadernos de Pesquisa; 36(128); 269-298","Cadernos de Pesquisa","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200002&lang=pt" 
"S0100-15742006000200007-scl","Oralidade e escrita: uma revisão","Galvão, Ana Maria de Oliveira, Batista, Antônio Augusto Gomes","Cadernos de Pesquisa; 36(128); 403-432","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200007&lang=pt" 
"S1519-69842006000500007-scl","Income evaluation of small - scale fishers in two brazilian urban reservoirs: Represa Billings (SP) and Lago Paranoá (DF)","Petrere Jr., M., Walter, T., Minte-Vera, C. V.","Brazilian Journal of Biology; 66(3); 817-828","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500007&lang=pt" 
"S0066-782X2006001500002-scl","Peptídeos natriuréticos no prognóstico de insuficiência cardíaca congestiva","Isakson, Susan, Maisel, Alan","Arquivos Brasileiros de Cardiologia; 87(2); 73-74","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500002&lang=pt" 
"S0066-782X2006001500001-scl","Células da medula óssea e reparo cardíaco","Leri, Annarosa, Kajstura, Jan, Anversa, Piero","Arquivos Brasileiros de Cardiologia; 87(2); 71-72","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500001&lang=pt" 
"S0066-782X2006001500011-scl","Modelos para predição da carga máxima no teste clínico de esforço cardiopulmonar","Nogueira, Fernando dos Santos, Pompeu, Fernando Augusto Monteiro Sabóia","Arquivos Brasileiros de Cardiologia; 87(2); 137-145","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500011&lang=pt" 
"S0066-782X2006001500007-scl","Análise de registros eletrocardiográficos associados ao infarto agudo do miocárdio","Mansur, Paulo Henrique Garcia, Cury, Lacordaire Kemel Pimenta, Destro-Filho, João Batista, Resende, Elmiro Santos, Destro, José Paulo Breda, Oliveira, Luana Michelli de, Moraes, Diego Carvalho Gomes de, Freitas, Geraldo Rubens Ramos de, Rocha, Lucila Soares da Silva","Arquivos Brasileiros de Cardiologia; 87(2); 106-114","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500007&lang=pt" 
"S0066-782X2006001500006-scl","Preditores geométricos angiográficos de infarto do miocárdio não são associados com marcadores ultra-sonográficos de vulnerabilidade da placa","Takimura, Celso Kiyochi, Lemos, Pedro Alves, Perin, Marco Antonio, Silva, Expedito Eustáquio Ribeiro da, Ambrose, John, Ramires, José Antonio Franchini, Martinez Filho, Eulógio Emílio","Arquivos Brasileiros de Cardiologia; 87(2); 99-105","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500006&lang=pt" 
"S0066-782X2006001500005-scl","Análise da dispersão do intervalo QT em pacientes com infarto agudo do miocárdio: efeito da reperfusão coronariana","Lopes, Neuza Helena Moreira, Grupi, César, Dina, Cleberson H., Gois, Aécio F. T. de, Hajjar, Ludhmila A., Ayub, Beatriz, Rochitte, Carlos Eduardo, Ramires, José Antonio Franchini, Hueb, Whady A., Kalil, Roberto","Arquivos Brasileiros de Cardiologia; 87(2); 91-98","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500005&lang=pt" 
"S0066-782X2006001500004-scl","Espessamento médio-intimal da carótida e função endotelial na doença arterial coronariana","Chequer, Graziela, Nascimento, Bruno Ramos, Navarro, Túlio Pinho, Falqueto, Eduardo Belisário, Alencar, Maria Clara N., Miranda, Márcio Cristiano R. de, Mandil, Ari, Saad, Jamil Abdalla, Fonseca, Cirilo, Ribeiro, Antônio Luiz Pinho","Arquivos Brasileiros de Cardiologia; 87(2); 84-90","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500004&lang=pt" 
"S0066-782X2006001500003-scl","Versão em português, adaptação transcultural e validação de questionário para avaliação da qualidade de vida para pacientes portadores de marcapasso: AQUAREL","Oliveira, Bruna Guimarães, Melendez, Jorge Gustavo Velasquez, Ciconelli, Rozana Mesquita, Rincón, Leonor Garcia, Torres, Ana Amélia Soares, Sousa, Lidiane Aparecida Pereira de, Ribeiro, Antônio Luiz Pinho","Arquivos Brasileiros de Cardiologia; 87(2); 75-83","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500003&lang=pt" 
"S0066-782X2006001500009-scl","Análise da função diastólica do ventrículo esquerdo em hipertensos sob variação de condições hemodinâmicas provocadas: estudo comparativo entre o doppler transmitral e tissular","Danzmann, Luiz Cláudio, Freitas, Valéria Centeno de, Araújo, Luiz Felipe, Torres, Marco Antonio Rodrigues","Arquivos Brasileiros de Cardiologia; 87(2); 121-127","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500009&lang=pt" 
"S0066-782X2006001500019-scl","Fechamento percutâneo de comunicação interatrial por punção trans-hepática","Oliveira, Edmundo Clarindo, Pauperio, Helder Machado, Oliveira, Bráulio Muzzi Ribeiro, Silva, Rogério Augusto Pinto da, Alves, Fabrício Maia Torres, Adjuto, Gustavo Lobato","Arquivos Brasileiros de Cardiologia; 87(2); 193-196","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500019&lang=pt" 
"S0066-782X2006001500021-scl","Caso 4/2006 - mulher de 74 anos com cardiopatia restritiva que evoluiu para choque cardiogênico","Fonseca, George Paulo Cobe, Benvenuti, Luiz Alberto","Arquivos Brasileiros de Cardiologia; 87(2); 200-206","Arquivos Brasileiros de Cardiologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500021&lang=pt" 
"S0066-782X2006001500022-scl","Caso 2/2006 - criança de três anos com estenose subaórtica, estenose mitral por valva em pára-quedas, estenose supravalvar mitral, coartação da aorta (Síndrome de Shone) associada a comunicação interventricular e canal arterial","Atik, Edmar","Arquivos Brasileiros de Cardiologia; 87(2); 207-208","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500022&lang=pt" 
"S0066-782X2006001500020-scl","Ecocardiografia com contraste: tem futuro?","Cunha, Cláudio L. Pereira da","Arquivos Brasileiros de Cardiologia; 87(2); 197-199","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500020&lang=pt" 
"S0066-782X2006001500024-scl","II Diretriz brasileira de cardiopatia grave","Dutra, Oscar P.","Arquivos Brasileiros de Cardiologia; 87(2); 223-232","Arquivos Brasileiros de Cardiologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500024&lang=pt" 
"S0066-782X2006001500008-scl","Estenose aórtica e doença coronariana: análise dos fatores de risco","Rangel, Claudio Magalhães, Grinberg, Max, Maranhão, Raul Cavalcante, Ventura, Laura Inês","Arquivos Brasileiros de Cardiologia; 87(2); 115-120","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500008&lang=pt" 
"S0066-782X2006001500010-scl","Estudo da reatividade vascular induzida pelo estresse mental na gravidez de mulheres portadoras de estenose mitral","Avila, Walkiria Samuel, Calil, Osmar Araújo, Trombetta, Ivani C., Negrão, Carlos Eduardo, Grinberg, Max, Zugaib, Marcelo, Ramires, José Antonio Franchini","Arquivos Brasileiros de Cardiologia; 87(2); 128-136","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500010&lang=pt" 
"S0066-782X2006001500012-scl","Prognóstico do duke-escore versus cintilografia em pacientes com fatores de risco para doença arterial coronariana: seguimento de um ano","Gasperin, Carlos Alberto, Bueno, Caroline Pereira, Yamada, Airton Seiji, Rocha, Gilberto Alves da, Heinze, Regina Célia Portugal Freixo, Nunes, Débora Cristina Fontoura de Mello, Trevisan, Isabelle Vianna, Mostiack, Deisi Raquel, Xavie, Lânia Romanzin, Silva, Cláudia Maria Castelo Branco","Arquivos Brasileiros de Cardiologia; 87(2); 146-152","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500012&lang=pt" 
"S0066-782X2006001500013-scl","Relação da cintura abdominal com a condição nutricional, perfil lipídico e pressão arterial em pré-escolares de baixo estrato socioeconômico","Sarni, Roseli Saccardo, Souza, Fabíola Isabel Suano de, Schoeps, Denise de Oliveira, Catherino, Priscila, Oliveira, Maria Carolina Cozzi Pires de, Pessotti, Cristiane Félix Ximenes, Kochi, Cristiane, Colugnati, Fernando Antonio Basile","Arquivos Brasileiros de Cardiologia; 87(2); 153-158","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500013&lang=pt" 
"S0066-782X2006001500014-scl","Resultados iniciais do transplante de células de medula óssea para o miocárdio de pacientes com insuficiência cardíaca de etiologia chagásica","Vilas-Boas, Fábio, Feitos, Gilson S., Soares, Milena B.P., Mota, Augusto, Pinho-Filho, Joel Alves, Almeida, Augusto José Gonçalves, Andrade, Marcus Vinicius, Carvalho, Heitor G., Dourado-Oliveira, Adriano, Ribeiro-dos-Santos, Ricardo","Arquivos Brasileiros de Cardiologia; 87(2); 159-166","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500014&lang=pt" 
"S0066-782X2006001500015-scl","Percepções sobre diagnóstico e manuseio da insuficiência cardíaca: comparação entre cardiologistas clínicos e médicos de família","Tavares, Leandro Reis, Velarde, Luis Guilhermo Cocca, Miranda, Verônica Alcoforado de, Mesquita, Evandro Tinoco","Arquivos Brasileiros de Cardiologia; 87(2); 167-173","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500015&lang=pt" 
"S0066-782X2006001500016-scl","O nível sérico de NT-proBNP é um preditor prognóstico em pacientes com insuficiência cardíaca avançada","Pereira-Barretto, Antonio Carlos, Oliveira Junior, Mucio Tavares de, Strunz, Célia Cassaro, Del Carlo, Carlos Henrique, Scipioni, Airton Roberto, Ramires, José Antonio Franchini","Arquivos Brasileiros de Cardiologia; 87(2); 174-177","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500016&lang=pt" 
"S0066-782X2006001500017-scl","Escore para avaliação do estado nutricional: seu valor na estratificação prognóstica de portadores de cardiomiopatia dilatada e insuficiência cardíaca avançada","Veloso, Luiz Guilherme, Pereira-Barretto, Antonio Carlos, Oliveira Junior, Mucio Tavares de, Munhoz, Robson Tadeu, Morgado, Paulo César, Ramires, José Antonio Franchini","Arquivos Brasileiros de Cardiologia; 87(2); 178-184","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500017&lang=pt" 
"S0066-782X2006001500018-scl","Preditores de letalidade hospitalar em pacientes com insuficiência cardíaca avançada","Latado, Adriana Lopes, Passos, Luiz Carlos Santana, Braga, Julio C. V., Santos, Alessandra, Guedes, Rodrigo, Moura, Simone S., Almeida, Daniela","Arquivos Brasileiros de Cardiologia; 87(2); 185-192","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500018&lang=pt" 
