"S0188-25032015000300007-mex","La política en los bordes del liberalismo: Diferencia, populismo, revolución, emancipación","Cabrera A., Raúl E.","Revista mexicana de sociología; 77(3); 502-505","Revista mexicana de sociología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032015000300007&lang=pt" 
"S1980-993X2015000300646-scl","Morfopedologia aplicada à concepção de obras em microbacia do perímetro urbano de Várzea Grande-MT","Luz, Tamires Elenice da, Lima, Eliana Beatriz Nunes Rondon, Salomão, Fernando Ximenes de Tavares, Lima, Zoraidy Marques de","Revista Ambiente &amp; Água; 10(3); 646-659","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300646&lang=pt" 
"S1980-993X2015000300660-scl","Agregação do solo, carbono orgânico e emissão de CO2 em áreas sob diferentes usos no Cerrado, região do Triângulo Mineiro","Borges, Camila Silva, Ribeiro, Bruno Teixeira, Wendling, Beno, Cabral, Danilo Alves","Revista Ambiente &amp; Água; 10(3); 660-675","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300660&lang=pt" 
"S1980-993X2015000300685-scl","Índices para a gestão e planejamento de recursos hídricos na bacia do rio Paraopeba, Estado de Minas Gerais","da Silva, Bruno Marcel Barros, da Silva, Demetrius David, Moreira, Michel Castro","Revista Ambiente &amp; Água; 10(3); 685-697","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300685&lang=pt" 
"S1980-993X2015000300698-scl","Efeito da aplicação de diferentes lâminas de irrigação e doses de nitrogênio e potássio na produção do capim Tanzânia","de Oliveira, Ednaldo Miranda, Oliveira Filho, Jair da Costa, de Oliveira, Rubens Alves, de Oliveira, Reginaldo Miranda, Cecon, Paulo Roberto, Cóser, Antônio Carlos","Revista Ambiente &amp; Água; 10(3); 698-706","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300698&lang=pt" 
"S1678-86212015000300007-scl","Ligante geopolimérico produzido com cinza volante e hidróxido de sódio","Livi, Carolina Noda, Repette, Wellington Longuini","Ambiente Construído; 15(3); 7-18","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300007&lang=pt" 
"S1678-86212015000300019-scl","Pozolanas de elevada reatividade: uma avaliação crítica do ensaio de Índice de Atividade Pozolânica (IAP) com cal usando Difração de Raios X","Medeiros, Marcelo Henrique Farias de, Hoppe Filho, Juarez, Gobbi, Andressa, Pereira, Eduardo","Ambiente Construído; 15(3); 19-29","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300019&lang=pt" 
"S1678-86212015000300031-scl","Obtenção de concreto leve utilizando agregados reciclados","Gomes, Paulo César Correia, Alencar, Tatiana Frassy Falcão de, Silva, Natália Vieira da, Moraes, Karoline Alves de Melo, Angulo, Sérgio Cirelli","Ambiente Construído; 15(3); 31-46","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300031&lang=pt" 
"S1678-86212015000300057-scl","Influência do uso de aditivo retentor de água à base de éter de celulose nas propriedades das argamassas de assentamento em alvenaria estrutural de blocos de concreto","Oliveira, Alexandre Lima, Corrêa, Bruna Petter, Ribeiro, Igor Fernando Reitz, Souza, Rafael Andrade, Calçada, Luciana Maltes Lengler","Ambiente Construído; 15(3); 57-69","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300057&lang=pt" 
"S1678-86212015000300085-scl","Avaliação do desempenho estrutural de treliças Howe de Bambu Laminado Colado","Lima, Douglas Mateus de, Amorim, Mariana Mendes, Júnior, Humberto Correia Lima, Barbosa, Normando Perazzo, Wilrich, Fábio Luiz","Ambiente Construído; 15(3); 85-102","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300085&lang=pt" 
"S1678-86212015000300103-scl","Análisis y caracterización fotométrica de un espacio de transición iluminado con luz natural: sus implicancias en la visión funcional","Córica, Lorena, Lasagno, Cecilia, Colombo, Elisa, Pattini, Andrea","Ambiente Construído; 15(3); 103-115","Ambiente Construído","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300103&lang=pt" 
"S1678-86212015000300117-scl","Avaliação de sistemas de janela para suporte a decisões de projeto quanto ao equilíbrio de ganhos de luz e calor","Lima, Kamila Mendonça de, Caram, Rosana Maria","Ambiente Construído; 15(3); 117-133","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300117&lang=pt" 
"S1678-86212015000300145-scl","Estudo comparativo entre as práticas empresariais e a teoria de gerenciamento por Valor Agregado: o caso da construção civil","Netto, Joaquim Teixeira, Quelhas, Osvaldo Luiz Gonçalves, França, Sergio, Meirino, Marcelo Jasmim","Ambiente Construído; 15(3); 145-160","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300145&lang=pt" 
"S1678-86212015000300161-scl","Um estudo sobre as causas de atrasos de obras de empreendimentos imobiliários na região Metropolitana de São Paulo","Filippi, Giancarlo Azevedo De, Melhado, Sílvio Burrattino","Ambiente Construído; 15(3); 161-173","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300161&lang=pt" 
"S1678-86212015000300175-scl","Interfaces rodoviário-urbanas no processo de produção das cidades: estudo de caso do contorno rodoviário de João Pessoa, PB, Brasil","Castro, Alexandre Augusto Bezerra da Cunha, Melo, Ricardo Almeida de, Silveira, José Augusto Ribeiro da, Silva, Geovany Jessé Alexandre, Lapa, Tomás Albuquerque","Ambiente Construído; 15(3); 175-199","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300175&lang=pt" 
"S0104-40362015000300717-scl","Políticas públicas e o ensino profissional no Brasil","Oliveira, Adriana Rivoire Menelli de, Escott, Clarice Monteiro","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 717-738","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300717&lang=pt" 
"S0104-40362015000300663-scl","Práticas e comportamentos de liderança na gestão dos recursos humanos escolares","Costa, Andreia Rubina da Conceição, Bento, António V.","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 663-680","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300663&lang=pt" 
"S0104-40362015000300545-scl","Gestão dos sistemas municipais de educação: planejamento e equilíbrio federativo em questão","Ferreira, Eliza Bartolozzi","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 545-566","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300545&lang=pt" 
"S0104-40362015000300567-scl","Imagens representacionais das políticas públicas à educação e à saúde, no imaginário de um grupo de idosos da comunidade Quilombola−Kalunga, de Monte Alegre de Goiás","Takahashi, Fátima Gonçalves Messias, Alves, Vicente Paulo","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 567-591","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300567&lang=pt" 
"S0104-40362015000300593-scl","On the complementarity of classical test theory and item response models: item difficulty estimates and computerized adaptive testing","Costa, Patrícia, Ferrão, Maria Eugénia","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 593-610","Ensaio: Avaliação e Políticas Públicas em Educação","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300593&lang=pt" 
"S0104-40362015000300611-scl","Os docentes da Universidade Federal do Ceará e a utilização de alguns dos recursos do sistema integrado de gestão de atividades acadêmica (SIGAA)","Souza, Maria Naires Alves de, Monteiro, André Jalles","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 611-630","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300611&lang=pt" 
"S0104-40362015000300631-scl","Proposta de práticas administrativo-pedagógicas que possam contribuir para o desempenho dos alunos de escolas municipais do ensino fundamental na Prova Brasil","Salgado Junior, Alexandre Pereira, Novi, Juliana Chiaretti","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 631-662","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300631&lang=pt" 
"S0104-40362015000300681-scl","Análise de estudos e pesquisas sobre o sentido social do programa Universidade para Todos (PROUNI)","Casali, Alípio Márcio Dias, Mattos, Maria José Viana Marinho de","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 681-716","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300681&lang=pt" 
"S0104-40362015000300739-scl","Ensino fundamental no Brasil: previsões legais e ações governamentais para a ampliação do atendimento, da duração e do tempo escolar","Flach, Simone de Fátima","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 739-762","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300739&lang=pt" 
"S0104-40362015000300763-scl","Avaliação da aprendizagem de ética no Ensino Fundamental","Lins, Maria Judith Sucupira da Costa","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 763-790","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300763&lang=pt" 
"S1415-790X2015000300716-scl","Contribution of cohort studies in the analysis of oral health in children and adolescents in Sobral, Ceará","Noro, Luiz Roberto Augusto, Roncalli, Angelo Giuseppe, Teixeira, Ana Karine Macedo","Revista Brasileira de Epidemiologia; 18(3); 716-719","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300716&lang=pt" 
"S1415-790X2015000300720-scl","The use of the International Classification of Functioning, Disability and Health in health surveys: a reflexion on its limits and possibilities","Araujo, Eduardo Santana, Buchalla, Cassia Maria","Revista Brasileira de Epidemiologia; 18(3); 720-724","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300720&lang=pt" 
"S0104-40362015000300541-scl","Editorial","Gomes, Candido Alberto","Ensaio: Avaliação e Políticas Públicas em Educação; 23(88); 541-543","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362015000300541&lang=pt" 
"S0120-00622015000300003-col","Competencia, desconfianza y la pérdida del disfrute. Un detalle del Leviathan de Hobbes","BASAURE, MAURO","Ideas y Valores; 64(159); 47-62","Ideas y Valores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622015000300003&lang=pt" 
"S0100-55022015000300467-scl","(Des)encontro do médico com o paciente: o que pensam os médicos?","Cardoso, Gisela Cordeiro Pereira, Santos, Elizabeth Moreira dos","Revista Brasileira de Educação Médica; 39(3); 467-469","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300467&lang=pt" 
"S0100-55022015000300336-scl","Movimento “Carta Verde” como Transformador da Realidade da Formação em Saúde","Fernandes, Janainny Magalhães, Sanches, Vinicius Santos, Mendonça, Margarete Knoch, Santos, Mara Lisiane de Moraes dos, Batiston, Adriane Pires, Ferrari, Fernando Pierette","Revista Brasileira de Educação Médica; 39(3); 336-338","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300336&lang=pt" 
"S0100-55022015000300395-scl","Prevalência de Síndromes Funcionais em Estudantes e Residentes de Medicina","Pereira, Gisele Araújo, Capanema, Henrique Xavier de Miranda, Silva, Mariana Moura Quintão, Garcia, Iara Lemos, Petroianu, Andy","Revista Brasileira de Educação Médica; 39(3); 395-400","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300395&lang=pt" 
"S0100-55022015000300456-scl","O Core Curriculum da Unesco como Base para Formação em Bioética","Maluf, Fabiano, Garrafa, Volnei","Revista Brasileira de Educação Médica; 39(3); 456-462","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300456&lang=pt" 
"S0100-55022015000300433-scl","OSCE para Competências de Comunicação Clínica e Profissionalismo: Relato de Experiência e Meta-Avaliação","Franco, Camila Ament Giuliani dos Santos, Franco, Renato Soleiman, Santos, Viviane Marques dos, Uiema, Luciana Aparecida, Mendonça, Natalia bitant, Casanova, Aline Peduzzi, Severo, Milton, Ferreira, Maria Amélia Duarte","Revista Brasileira de Educação Médica; 39(3); 433-441","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300433&lang=pt" 
"S0100-55022015000300479-scl","A Bioética na Tomada de Decisão na Atenção Primária à Saúde","Ferreira, Debora Carvalho, Silva Junior, Aluisio Gomes da, Batista, Rodrigo Siqueira","Revista Brasileira de Educação Médica; 39(3); 479-485","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300479&lang=pt" 
"S0100-55022015000300352-scl","Ensino e Aprendizagem em Estágio Supervisionado: Estágio Integrado em Saúde","Pimentel, Emanuelle Cavalcante, Vasconcelos, Maria Viviane Lisboa de, Rodarte, Renato Santos, Pedrosa, Célia Maria Silva, Pimentel, Fernando Silvio Cavalcante","Revista Brasileira de Educação Médica; 39(3); 352-358","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300352&lang=pt" 
"S0100-55022015000300470-scl","Ambiente Virtual de Avaliação de Competências no Manejo do Diabetes Mellitus","Silva, Eldeci Cardoso da, Taleb, Chater, Costa, Nilce Maria da Silva Campos","Revista Brasileira de Educação Médica; 39(3); 470-478","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300470&lang=pt" 
"S0100-55022015000300442-scl","Aprendizagem Reflexiva: o Uso do Portfólio Coletivo","Cardoso, Danielly Santos dos Anjos, Oliveira, Janine Melo de, Costa, Laís de Miranda Crispim, Rozendo, Célia Alves","Revista Brasileira de Educação Médica; 39(3); 442-449","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300442&lang=pt" 
"S0100-55022015000300401-scl","A Humanização no Ensino de Graduação em Medicina: o Olhar dos Estudantes","Rios, Izabel Cristina, Sirino, Caroline Braga","Revista Brasileira de Educação Médica; 39(3); 401-409","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300401&lang=pt" 
"S0100-55022015000300426-scl","Saúde Bucal no Âmbito Escolar e Familiar: da Autonomia à Transformação Social","Souza, Larissa Moreira de, Macedo, Alynne, Gusmão, Roberta Cristina Medeiros Pimentel, Athayde, Ana Célia Rodrigues, Costa, Luciana Ellen Dantas, Queiroz, Faldryene Sousa, Nóbrega, Carolina Bezerra Cavalcanti","Revista Brasileira de Educação Médica; 39(3); 426-432","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300426&lang=pt" 
"S0100-55022015000300418-scl","A Pedagogia de Paulo Freire e o Processo Ensino-Aprendizagem na Educação Médica","Chiarella, Tatiana, Bivanco-Lima, Danielle, Moura, Juliana de Carvalho, Marques, Maria Cristina da Costa, Marsiglia, Regina Maria Giffoni","Revista Brasileira de Educação Médica; 39(3); 418-425","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300418&lang=pt" 
"S0100-55022015000300359-scl","Desafios Organizacionais para Fortalecimento da Atenção Primária à Saúde em Portugal","Santos, Adriano Maia dos, Giovanella, Ligia, Botelho, Henrique, Sousa, Jaime Correia de","Revista Brasileira de Educação Médica; 39(3); 359-369","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300359&lang=pt" 
"S0100-55022015000300410-scl","Ligas Acadêmicas no Processo de Formação dos Estudantes","Silva, Simone Alves da, Flores, Oviromar","Revista Brasileira de Educação Médica; 39(3); 410-417","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300410&lang=pt" 
"S0100-55022015000300001-scl","Rbem: consolidação de um campo acadêmico e científico","Koifman, Lilian","Revista Brasileira de Educação Médica; 39(3); 1-1","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300001&lang=pt" 
"S0100-55022015000300388-scl","Prevalence of Anxiety and Depression among Medical Students","Tabalipa, Fábio de Oliveira, Souza, Mariana Fuganti de, Pfützenreuter, Gláucia, Lima, Vinícius Carriero, Traebert, Eliane, Traebert, Jefferson","Revista Brasileira de Educação Médica; 39(3); 388-394","Revista Brasileira de Educação Médica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300388&lang=pt" 
"S0100-55022015000300378-scl","Integralidade e Interdisciplinaridade na Formação de Estudantes de Medicina","Santos, Renata Newman Leite Cardoso dos, Ribeiro, Kátia Suely Queiroz Silva, Anjos, Ulisses Umbelino dos, Farias, Danyelle Nóbrega de, Lucena, Eleazar Marinho de Freitas","Revista Brasileira de Educação Médica; 39(3); 378-387","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300378&lang=pt" 
"S0100-55022015000300344-scl","O Ensino de Geriatria e Gerontologia na Graduação Médica","Brasil, Vitor Jorge Woytuski, Batista, Nildo Alves","Revista Brasileira de Educação Médica; 39(3); 344-351","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300344&lang=pt" 
"S0100-55022015000300370-scl","Representação Social das Vivências de Estudantes no Curso de Medicina","Restom, Abrão Georges, Riechelmann, José Carlos, Machado, Valéria Menezes Peixeiro, Machado, José Lúcio Martins","Revista Brasileira de Educação Médica; 39(3); 370-377","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300370&lang=pt" 
"S0100-55022015000300463-scl","Bioética: Tornar Visíveis Poderes e Injustiças","Siqueira-Batista, Rodrigo, Gomes, Andréia Patrícia","Revista Brasileira de Educação Médica; 39(3); 463-466","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300463&lang=pt" 
