"S0102-86502015001100756-scl","Remifentanil protects uterus against ischemia-reperfusion injury in rats","Atalay, Yunus Oktay, Aktas, Serap, Sahin, Sadik, Kucukodaci, Zafer, Ozakpinar, Ozlem Bingol","Acta Cirurgica Brasileira; 30(11); 756-761","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100756&lang=pt" 
"S1516-14392015000700034-scl","Microstructure and Liquid Phase Separation of CuCr Alloys Treated by High Current Pulsed Electron Beam","Zhou, Zhiming, Zhou, Tao, Chai, Linjiang, Tu, Jian, Wang, Yaping, Huang, Weijiu, Xiao, Hongmei, Xiao, Zhipei","Materials Research; 18(); 34-39","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700034&lang=pt" 
"S1516-14392015000700055-scl","Melting Behaviour of Bi1-xSbx Free Standing Alloy Nanoparticles Synthesized via Solvothermal Route","Devi, Mayanglambam Manolata, Biswas, Krishanu","Materials Research; 18(); 55-60","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700055&lang=pt" 
"S1516-14392015000700127-scl","Syntheses and Fundamental Properties of Fe-rich Metastable Phase Alloys with Saturation Magnetization Exceeding 1.9 T","Han, Ye, Kong, Fanli, Chang, Chuntao, Zhu, Shengli, Ketov, Sergey, Louzguine, Dmitri, Inoue, Akinisa","Materials Research; 18(); 127-135","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700127&lang=pt" 
"S1516-14392015000700101-scl","Rapidly Quenched Ni45Fe5Mn40Sn10 Heusler Alloys","Mishra, Shashank Shekhar, Yadava, Thakur Prasad, Mukhopadhyay, Semanti, Yadav, Ram Manohar, Subrahmanyam, Vajapeyajula Srinivasa, Mukhopadhyay, Nilay Krishna, Srivastava, Onkar Nath","Materials Research; 18(); 101-105","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700101&lang=pt" 
"S1516-14392015000700120-scl","Phase Separation in Rapid Solidified Ag-rich Ag-Cu-Zr Alloys","Niyomsoan, Saisamorn, Gargarella, Piter, Chomsaeng, Natthaphol, Termsuksawad, Preecha, Kühn, Utha, Eckert, Jürgen","Materials Research; 18(); 120-126","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700120&lang=pt" 
"S1516-14392015000700072-scl","Domain Transformation and MI of Melt-extracted Co68.15Fe4.35Si12.25B13.25Nb1Cu1 Microwires by Cryogenic Joule Annealing","Xing, Dawei, Chen, Dongming, Liu, Jingshun, Zhang, Lunyong, Shen, Hongexian, Liu, Fang, Sun, Jianfei.","Materials Research; 18(); 72-77","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700072&lang=pt" 
"S1516-14392015000700115-scl","Effects of Bias Voltage on Fen Films Prepared by Magnetron Sputtering","Zeng, Yuqiao, Tan, Zheng, Zhou, Lichu, Jiang, Meiya, Qiu, Yuedong, Fang, Feng, Huang, Haibo, Zhang, Xuhai, Jiang, Jianqing","Materials Research; 18(); 115-119","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700115&lang=pt" 
"S1516-14392015000700158-scl","Microstructures and Tensile Mechanical Properties of Consolidated Copper","Liang, Cun, Ma, Mingxing, Zhang, Deliang","Materials Research; 18(); 158-163","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700158&lang=pt" 
"S1516-14392015000700020-scl","A Numerical Simulation of a Ni-based Bulk Metallic Glass During Compressive Deformation and Fracture","Weizhong, Liang, Zhiliang, Ning, Ailian, Liu, Yongliang, An","Materials Research; 18(); 20-23","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700020&lang=pt" 
"S1516-14392015000700029-scl","Comparative Study of Magnetic Properties and Microstructure for As-cast and Square-wave Pulse Current Joule Annealed Wires","Liu, Jingshun, Shen, Hongxian, Jia, Yandong, Chen, Dongming, Du, Zhaoxin, Han, Yongquan, Ma, Wen, Sun, Jianfei","Materials Research; 18(); 29-33","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700029&lang=pt" 
"S1516-14392015000700010-scl","Structure and Phase Transition of Fe-Mn Alloy Powders Prepared by Gas Atomization","Yang, Yang, Liu, Libing, Zhang, Yunhu, Song, Changjiang, Zhai, Qijie","Materials Research; 18(); 10-19","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700010&lang=pt" 
"S1516-14392015000700136-scl","Crystallization in Rapidly Quenched Fe-B-Si System with Additions of C and Cu","Janotová, Irena, Zigo, Juraj, Švec, Peter, Maťko, Igor, Janičkovič, Dušan, Švec Sr, Peter","Materials Research; 18(); 136-140","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700136&lang=pt" 
"S1516-14392015000700141-scl","Evolution of Complex Phases in Al-Fe-Si Systems","Zigo, Juraj, Svec, Peter, Janickovic, Dusan, Janotova, Irena, Matko, Igor, Mihalkovic, Marek, Svec Sr, Peter","Materials Research; 18(); 141-145","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700141&lang=pt" 
"S0102-311X2015001300195-scl","Leisure-time physical activity in the vicinity of Academias da Cidade Program in Belo Horizonte, Minas Gerais State, Brazil: the impact of a health promotion program on the community","Fernandes, Amanda Paula, Andrade, Amanda Cristina de Souza, Ramos, Cynthia Graciane Carvalho, Friche, Amélia Augusta de Lima, Dias, Maria Angélica de Salles, Xavier, César Coelho, Proietti, Fernando Augusto, Caiaffa, Waleska Teixeira","Cadernos de Saúde Pública; 31(); 195-207","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300195&lang=pt" 
"S0102-311X2015001300136-scl","Social context of neighborhood and socioeconomic status on leisure-time physical activity in a Brazilian urban center: The BH Health Study","Andrade, Amanda Cristina de Souza, Peixoto, Sérgio Viana, Friche, Amélia Augusta de Lima, Goston, Janaína Lavalli, César, Cibele Comini, Xavier, César Coelho, Proietti, Fernando Augusto, Roux, Ana V. Diez, Caiaffa, Waleska Teixeira","Cadernos de Saúde Pública; 31(); 136-147","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300136&lang=pt" 
"S0102-311X2015001300219-scl","The socio-spatial context as a risk factor for hospitalization due to mental illness in the metropolitan areas of Portugal","Loureiro, Adriana, Costa, Cláudia, Almendra, Ricardo, Freitas, Ângela, Santana, Paula","Cadernos de Saúde Pública; 31(); 219-231","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300219&lang=pt" 
"S0102-311X2015001300232-scl","Nutritional status of urban adolescents: individual, household and neighborhood factors based on data from The BH Health Study","Bispo, Stephanie, Correia, Maria Isabel Toulson Davisson, Proietti, Fernando Augusto, Xavier, César Coelho, Caiaffa, Waleska Teixeira","Cadernos de Saúde Pública; 31(); 232-245","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300232&lang=pt" 
"S0102-311X2015001300025-scl","Urban governance and the systems approaches to health-environment co-benefits in cities","Oliveira, Jose A. Puppim de, Doll, Christopher N. H., Siri, José, Dreyfus, Magali, Farzaneh, Hooman, Capon, Anthony","Cadernos de Saúde Pública; 31(); 25-38","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300025&lang=pt" 
"S0102-311X2015001300107-scl","Disaggregating health inequalities within Rio de Janeiro, Brazil, 2002-2010, by applying an urban health inequality index","Bortz, Martin, Kano, Megumi, Ramroth, Heribert, Barcellos, Christovam, Weaver, Scott R., Rothenberg, Richard, Magalhães, Monica","Cadernos de Saúde Pública; 31(); 107-119","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300107&lang=pt" 
"S0102-311X2015001300182-scl","Association of socioeconomic factors with body mass index, obesity, physical activity, and dietary factors in Belo Horizonte, Minas Gerais State, Brazil: The BH Health Study","Ward, Julia, Friche, Amélia Augusta de Lima, Caiaffa, Waleska Teixeira, Proietti, Fernando Augusto, Xavier, César Coelho, Roux, Ana V. Diez","Cadernos de Saúde Pública; 31(); 182-194","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300182&lang=pt" 
"S0102-311X2015001300148-scl","Overweight in men and women among urban area residents: individual factors and socioeconomic context","Andrade, Roseli Gomes de, Chaves, Otaviana Cardoso, Costa, Dário Alves da Silva, Andrade, Amanda Cristina de Souza, Bispo, Stephanie, Felicissimo, Monica Faria, Friche, Amélia Augusta de Lima, Proietti, Fernando Augusto, Xavier, César Coelho, Caiaffa, Waleska Teixeira","Cadernos de Saúde Pública; 31(); 148-158","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001300148&lang=pt" 
"S0102-311X2015001100025-spa","Urban governance and the systems approaches to health-environment co-benefits in cities","Oliveira, Jose A. Puppim de, Doll, Christopher N. H., Siri, José, Dreyfus, Magali, Farzaneh, Hooman, Capon, Anthony","Cadernos de Saúde Pública; 31(); 25-38","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001100025&lang=pt" 
"S2007-09342015000700013-mex","Tendencias y variabilidad de índices de cambio climático: enfoque agrícola en dos regiones de México","Velasco Hernández, María de los Ángeles, Morales Acoltzi, Tomás, Estrella Chulim, Néstor Gabriel, Díaz Ramos, Ramón, Juárez Sánchez, José Pedro, Hernández Vázquez, Maricela, Bernal Morales, Rogelio","Revista mexicana de ciencias agrícolas; 6(7); 1587-1599","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700013&lang=pt" 
"S2007-09342015000700015-mex","Modelo de transporte en México para la minimización de costos de distribución de tuna (Opuntia spp.) en fresco","Ayllon Benítez, Julio César, Omaña Silvestre, José Miguel, Sangerman-Jarquín, Dora Ma., Garza Bueno, Laura Elena, Quintero Ramírez, Juan Manuel, González Razo, Felipe de Jesús","Revista mexicana de ciencias agrícolas; 6(7); 1615-1628","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700015&lang=pt" 
"S2007-09342015000700006-mex","Producción de híbridos y variedades de maíz para grano en siembra a doble hilera","Zamudio-González, Benjamín, Espinosa-Calderón, Alejandro, Tadeo-Robledo, Margarita, Encastín-Dionicio, Juan José, Martínez Rodríguez, Juan Nelson, Félix-Reyes, Amelia, Cárdenas Marcelo, Alma Lili, Turrent Fernández, Antonio","Revista mexicana de ciencias agrícolas; 6(7); 1491-1505","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700006&lang=pt" 
"S2007-09342015000700021-mex","Precio de ganado en pie y precio de insumos en la producción de carne bovino","Martínez Damián, Miguel Ángel, Mora Flores, José Saturnino, Téllez Delgado, Ricardo","Revista mexicana de ciencias agrícolas; 6(7); 1689-1694","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700021&lang=pt" 
"S2007-09342015000700001-mex","Relaciones de precios de mercados terminales de frutas y hortalizas de México y EE.UU.","Acosta Martínez, Ana Isabel, Avendaño Ruiz, Belem Dolores, Astorga Ceja, Juana","Revista mexicana de ciencias agrícolas; 6(7); 1429-1442","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700001&lang=pt" 
"S2007-09342015000700007-mex","Identificación de fuentes de resistencia a pudriciones de la raíz en germoplasma de chile serrano (Capsicum annuum L.)","Méndez Aguilar, Reinaldo, Rodríguez Guerra, Raúl, Ramírez Meraz, Moisés, Álvarez Ojeda, María Genoveva, Vázquez García, Enrique, Arcos Cavazos, Gerardo, Tenorio Pérez, Valeriano, Hernández Delgado, Sanjuana, Mayek Pérez, Netzahualcóyotl","Revista mexicana de ciencias agrícolas; 6(7); 1507-1518","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700007&lang=pt" 
"S2007-09342015000700009-mex","Productividad del agua en el cultivo de triticale (X. Triticosecale Wittmack) en La Comarca Lagunera de Coahuila, México","Montemayor Trejo, José Alfredo, Segura Castruita, Miguel Ángel, Munguía López, Juan, Woo Reza, José Luis","Revista mexicana de ciencias agrícolas; 6(7); 1533-1541","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700009&lang=pt" 
"S2007-09342015000700020-mex","Evaluación morfológica, citológica y valor nutritivo de siete nuevos genotipos y un cultivar de pasto Cenchrus ciliaris L., tolerantes a frío","Garduño Velázquez, Santiago, Rodríguez Herrera, Raúl, Quero Carrillo, Adrián Raymundo, Enriquez Quiroz, Javier Francisco, Hernández Garay, Alfonso, Pérez Hernández, Alejandra","Revista mexicana de ciencias agrícolas; 6(7); 1679-1687","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700020&lang=pt" 
"S2007-09342015000700003-mex","Variedades mejoradas de maíz de secano derivadas de variedades nativas tolerantes a sequía","Luna Flores, Maximino, García Hernández, Serafín, Martínez Gómez, Javier, Luna Estrada, Maximino Gerardo, Lara Herrera, Alfredo, Villagrana Soto, Fidel, Cedeño Barceló, Félix del Jesús, Llamas Llamas, J. Jesús, Avelar Mejía, J. Jesús","Revista mexicana de ciencias agrícolas; 6(7); 1455-1466","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700003&lang=pt" 
"S2007-09342015000700017-mex","Uso de residuos lignocelulósicos para optimizar la producción de inóculo y la formación de carpóforos del hongo comestible Lentinula boryana","Gaitán-Hernández, Rigoberto, Salmones, Dulce","Revista mexicana de ciencias agrícolas; 6(7); 1639-1652","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700017&lang=pt" 
"S2007-09342015000700005-mex","Producción de plántulas de chile jalapeño fertilizadas con orina","Preciado-Rangel, Pablo, Fortis-Hernández, Manuel, García-Hernández, José Luis, Cruz-Lázaro, Efraín de la, Meza-Velázquez, Jorge Armando, Esparza-Rivera, Juan Ramón","Revista mexicana de ciencias agrícolas; 6(7); 1481-1489","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700005&lang=pt" 
"S2007-09342015000700004-mex","Patrón espacial del carbón de la espiga del maíz en diferentes localidades del Estado de México","Sánchez-Pale, Jesús Ricardo, Ramírez-Dávila, José Francisco, González-Huerta, Andrés, de León, Carlos","Revista mexicana de ciencias agrícolas; 6(7); 1467-1480","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700004&lang=pt" 
"S2007-09342015000700018-mex","Fitohormonas y bioestimulantes para la floración, producción y calidad de lima mexicana de invierno","Ariza Flores, Rafael, Barrios Ayala, Aristeo, Herrera García, Mariano, Barbosa Moreno, Finlandia, Michel Aceves, Alejandro, Otero Sánchez, Marco A., Alia Tejacal, Irán","Revista mexicana de ciencias agrícolas; 6(7); 1653-1666","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700018&lang=pt" 
"S2007-09342015000700002-mex","Análisis de la estructura vegetal de huertas frutícolas del sur de Yucatán, México","Padilla-Vega, José, Jiménez Osornio, Juan José, Estrada Medina, Héctor","Revista mexicana de ciencias agrícolas; 6(7); 1443-1454","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700002&lang=pt" 
"S2007-09342015000700016-mex","Aislamiento de actinomicetos asociados a rizosfera de árboles de manzano antagónicos a Fusarium equiseti","Pérez-Corral, Daniel Alonso, García-González, Nancy Yasmín, Gallegos-Morales, Gabriel, Ruiz-Cisneros, María Fernanda, Berlanga-Reyes, David I., Ríos-Velasco, Claudio","Revista mexicana de ciencias agrícolas; 6(7); 1629-1638","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700016&lang=pt" 
"S2007-09342015000700008-mex","Germinación y emergencia de propágulos de pasto en respuesta a pruebas de vigor","Hernández-Guzmán, Filogonio Jesús, Quero-Carrillo, Adrián Raymundo, Pérez-Rodríguez, Paulino, Velázquez-Martínez, Mauricio, García-de los Santos, Gabino","Revista mexicana de ciencias agrícolas; 6(7); 1519-1532","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700008&lang=pt" 
"S2007-09342015000700010-mex","Enmiendas de estiércol solarizado en la estabilidad de agregados de un Aridisol cultivado de México","Flores-Sánchez, Brenda, Segura-Castruita, Miguel Ángel, Fortis-Hernández, Manuel, Martínez-Corral, Luime, Aldaco-Nuncio, Rogelio Armando, Orozco-Vidal, Jorge Arnaldo","Revista mexicana de ciencias agrícolas; 6(7); 1543-1555","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700010&lang=pt" 
"S2007-09342015000700014-mex","Análisis de 35 cultivares de haba por su producción de vaina verde y otros componentes del rendimiento","Pérez López, Delfina de Jesús, González Huerta, Andrés, Rubí Arriaga, Martín, Franco Mora, Omar, Franco Martínez, José Ramón Pascual, Padilla Lara, Araceli","Revista mexicana de ciencias agrícolas; 6(7); 1601-1613","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700014&lang=pt" 
"S2007-09342015000700011-mex","Eficiencia agronómica de fertilización al suelo de macro nutrimentos en híbridos de maíz","Zamudio-González, Benjamín, Tadeo-Robledo, Margarita, Espinosa-Calderón, Alejandro, Martínez Rodríguez, Juan Nelson, Celis Euan, David Israel, Valdivia Bernal, Roberto, Zaragoza Esparza, Job","Revista mexicana de ciencias agrícolas; 6(7); 1557-1569","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700011&lang=pt" 
"S2007-09342015000700012-mex","Regeneración in vitro de híbridos de nochebuena vía organogénesis","Rangel-Estrada, Sandra Eloísa, Canul-Ku, Jaime, Osuna-Canizalez, Felipe de Jesús, García-Perez, Faustino, Rosario-Montes, Pilar del, Vences Hernández, Ángel Santiago Baltazar, Hernández-Meneses, Eleodoro","Revista mexicana de ciencias agrícolas; 6(7); 1571-1585","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700012&lang=pt" 
"S2007-09342015000700019-mex","Ácido benzoico: biosíntesis, modificación y función en plantas","Valdez Sepúlveda, Lidia, González-Morales, Susana, Benavides Mendoza, Adalberto","Revista mexicana de ciencias agrícolas; 6(7); 1667-1678","Revista mexicana de ciencias agrícolas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342015000700019&lang=pt" 
"S1405-31952015000700005-mex","Aislamiento, selección e identificación de levaduras Saccharomyces spp. nativas de viñedos en Querétaro, México","Miranda-Castilleja, Dalia E., Ortiz-Barrera, Eunice, Arvizu-Medrano, Sofía M., Ramiro-Pacheco, Juan, Aldrete-Tápia, Jesús A., Martínez-Peniche, Ramón Á.","Agrociencia; 49(7); 759-773","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700005&lang=pt" 
"S1405-31952015000700006-mex","Morfogénesis in vitro de peciolos de Jatropha curcas L.","Pequeño-Granado, Iván L., Ojeda-Zacarías, M. Carmen, Olivares-Sáenz, Emilio, Zavala-García, Francisco, Alvarado-Gomez, Omar G., Iracheta-Donjuan, Leobardo","Agrociencia; 49(7); 775-785","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700006&lang=pt" 
"S1405-31952015000700002-mex","Extending the integrated Richards Equation method to new boundary conditions: model description and validation","Yang, Dejun, Zhang, Tuqiao, Zhang, Kefeng, Lei, Shaogang","Agrociencia; 49(7); 723-737","Agrociencia","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700002&lang=pt" 
"S1405-31952015000700007-mex","Volumen total y ahusamiento para Pinus patula Schiede ex Schltdl. et Cham. en tres condiciones de bosque","Uranga-Valencia, Luisa P., De los Santos-Posadas, Héctor M., Valdez-Lazalde, José R., López-Upton, Javier, Navarro-Garza, Hermilio","Agrociencia; 49(7); 787-801","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700007&lang=pt" 
"S1405-31952015000700008-mex","Modelado espacial para peligro de incendios forestales con predicción diaria en la cuenca del río Balsas","Vilchis-Francés, Aleida Y., Díaz-Delgado, Carlos, Magaña-Lona, Dolores, Bâ, Khalidou M., Gómez-Albores, Miguel Á.","Agrociencia; 49(7); 803-820","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700008&lang=pt" 
"S1405-31952015000700001-mex","Modelo de asignación de agua considerando un caudal ambiental mínimo en la cuenca del río Metztitlán en Hidalgo, México","Ortiz-Gómez, Ruperto, González-Camacho, Juan M., Chávez-Morales, Jesús","Agrociencia; 49(7); 703-721","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700001&lang=pt" 
"S1405-31952015000700003-mex","Detección de la proteína CP4 EPSPS en plantas arvenses en cultivos de algodón (Gossypium hirsutum) transgénico en la Comarca Lagunera, México","Márquez-Hernández, Cándido, Puente-Valenzuela, C. Omar, Muro-Perez, Gisela, García-Hernández, J. Luis, Rueda-Puente, E. Omar, Moreno-Hernández, A. Noé","Agrociencia; 49(7); 739-747","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700003&lang=pt" 
