"S1519-69842014000200501-scl","Loss of desiccation tolerance in Copaifera langsdorffii Desf. seeds during germination","Pereira, WVS., Faria, JMR., Tonetti, OAO, Silva, EAA.","Brazilian Journal of Biology; 74(2); 501-508","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200501&lang=pt" 
"S0102-311X2014000501018-spa","Functional performance and social relations among the elderly in Greater Metropolitan Belo Horizonte, Minas Gerais State, Brazil: a population-based epidemiological study","Torres, Juliana Lustosa, Dias, Rosângela Corrêa, Ferreira, Fabiane Ribeiro, Macinko, James, Lima-Costa, Maria Fernanda","Cadernos de Saúde Pública; 30(5); 1018-1028","Cadernos de Saúde Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501018&lang=pt" 
"S0102-311X2014000501009-spa","Técnica de overbooking no atendimento público ambulatorial em uma unidade do Sistema Único de Saúde","Oleskovicz, Marcelo, Oliva, Fábio Lotti, Grisi, Celso Cláudio de Hildebrand e, Lima, Afonso Carneiro, Custódio, Isaías","Cadernos de Saúde Pública; 30(5); 1009-1017","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501009&lang=pt" 
"S0102-311X2014000501093-scl","Average years of life lost due to breast and cervical cancer and the association with the marginalization index in Mexico in 2000 and 2010","Cervantes, Claudio Alberto Dávila, Botero, Marcela Agudelo","Cadernos de Saúde Pública; 30(5); 1093-1102","Cadernos de Saúde Pública","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501093&lang=pt" 
"S0102-311X2014000500911-scl","El estado de las lesiones causadas por el tránsito en México: evidencias para fortalecer la estrategia mexicana de seguridad vial","Pérez-Núñez, Ricardo, Híjar, Martha, Celis, Alfredo, Hidalgo-Solórzano, Elisa","Cadernos de Saúde Pública; 30(5); 911-925","Cadernos de Saúde Pública","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000500911&lang=pt" 
"S0102-311X2014000501123-scl","Medicina financeira: a ética estilhaçada. Sobrinho Lv. Rio de Janeiro: Editora Garamond; 2013. 336 P.","Ramírez-Contreras, Maria Guadalupe","Cadernos de Saúde Pública; 30(5); 1123-1124","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501123&lang=pt" 
"S0102-311X2014000501124-scl","Improvising medicine: an african oncology ward in an emerging cancer epidemic. Livingston J. London: Duke University press; 2012. 248 p.","Castiel, Luis David","Cadernos de Saúde Pública; 30(5); 1124-1124","Cadernos de Saúde Pública","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501124&lang=pt" 
"S0102-311X2014000501111-spa","Adaptação transcultural do instrumento Appraisal of Guidelines for Research &amp; Evaluation II (AGREE II) para avaliação de diretrizes clínicas","Khan, Gleide Simas Custódio, Stein, Airton Tetelbom","Cadernos de Saúde Pública; 30(5); 1111-1114","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501111&lang=pt" 
"S0102-311X2014000500908-scl","Assuring access to quality antiretroviral medicines: the WHO Prequalification of Medicines Program and access to HIV treatment","Hoen, Ellen ‘t","Cadernos de Saúde Pública; 30(5); 908-909","Cadernos de Saúde Pública","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000500908&lang=pt" 
"S0102-311X2014000500905-scl","Contra a cultura do corta &amp; cola","Carvalho, Marilia Sá, Travassos, Claudia, Coeli, Cláudia Medina","Cadernos de Saúde Pública; 30(5); 905-905","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000500905&lang=pt" 
"S0102-311X2014000501057-spa","Tentativas e suicídios por intoxicação exógena no Rio de Janeiro, Brasil: análise das informações através do linkage probabilístico","Santos, Simone Agadir, Legay, Letícia Fortes, Aguiar, Fernanda Pinheiro, Lovisi, Giovanni Marcos, Abelha, Lucia, Oliveira, Sergio Pacheco de","Cadernos de Saúde Pública; 30(5); 1057-1066","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501057&lang=pt" 
"S0102-311X2014000501120-scl","Carta às Editoras referente ao editorial publicado no volume 30, número 1","Azevedo, Jorge de","Cadernos de Saúde Pública; 30(5); 1120-1120","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501120&lang=pt" 
"S0102-311X2014000501093-spa","Average years of life lost due to breast and cervical cancer and the association with the marginalization index in Mexico in 2000 and 2010","Cervantes, Claudio Alberto Dávila, Botero, Marcela Agudelo","Cadernos de Saúde Pública; 30(5); 1093-1102","Cadernos de Saúde Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501093&lang=pt" 
"S0102-311X2014000501103-spa","Tradução e adaptação transcultural do domínio Fadiga do Patient-Reported-Outcomes Measurement Information System (PROMIS) para a língua portuguesa","Alves, Flávio Sérgio Marques, Pinto, Rogério de Melo Costa, Mendonça, Tânia Maria Silva, Silva, Carlos Henrique Martins da","Cadernos de Saúde Pública; 30(5); 1103-1110","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501103&lang=pt" 
"S0102-311X2014000500952-spa","Proteção da saúde de trabalhadores rurais: a necessidade de padronização das metodologias de quantificação da exposição dérmica a agrotóxicos","Selmi, Giuliana da Fontoura Rodrigues, Trapé, Angelo Zanaga","Cadernos de Saúde Pública; 30(5); 952-960","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000500952&lang=pt" 
"S0102-311X2014000501103-scl","Tradução e adaptação transcultural do domínio Fadiga do Patient-Reported-Outcomes Measurement Information System (PROMIS) para a língua portuguesa","Alves, Flávio Sérgio Marques, Pinto, Rogério de Melo Costa, Mendonça, Tânia Maria Silva, Silva, Carlos Henrique Martins da","Cadernos de Saúde Pública; 30(5); 1103-1110","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501103&lang=pt" 
"S0102-311X2014000501115-spa","Prevalência do papilomavírus humano (HPV) em Belém, Pará, Brasil, na cavidade oral de indivíduos sem lesões clinicamente diagnosticáveis","Araújo, Marizeli Viana de Aragão, Pinheiro, Helder Henrique Costa, Pinheiro, João de Jesus Viana, Quaresma, Juarez Antônio Simões, Fuzii, Hellen Thais, Medeiros, Rita Catarina","Cadernos de Saúde Pública; 30(5); 1115-1119","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501115&lang=pt" 
"S0102-311X2014000500961-spa","Dietary patterns and hypertension: a population-based study with women from Southern Brazil","da Silva, Bianca Del Ponte, Neutzling, Marilda Borges, Camey, Suzi, Olinto, Maria Teresa Anselmo","Cadernos de Saúde Pública; 30(5); 961-971","Cadernos de Saúde Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000500961&lang=pt" 
"S0102-311X2014000500952-scl","Proteção da saúde de trabalhadores rurais: a necessidade de padronização das metodologias de quantificação da exposição dérmica a agrotóxicos","Selmi, Giuliana da Fontoura Rodrigues, Trapé, Angelo Zanaga","Cadernos de Saúde Pública; 30(5); 952-960","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000500952&lang=pt" 
"S0102-311X2014000501111-scl","Adaptação transcultural do instrumento Appraisal of Guidelines for Research &amp; Evaluation II (AGREE II) para avaliação de diretrizes clínicas","Khan, Gleide Simas Custódio, Stein, Airton Tetelbom","Cadernos de Saúde Pública; 30(5); 1111-1114","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501111&lang=pt" 
"S0102-311X2014000501115-scl","Prevalência do papilomavírus humano (HPV) em Belém, Pará, Brasil, na cavidade oral de indivíduos sem lesões clinicamente diagnosticáveis","Araújo, Marizeli Viana de Aragão, Pinheiro, Helder Henrique Costa, Pinheiro, João de Jesus Viana, Quaresma, Juarez Antônio Simões, Fuzii, Hellen Thais, Medeiros, Rita Catarina","Cadernos de Saúde Pública; 30(5); 1115-1119","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501115&lang=pt" 
"S0102-311X2014000500972-spa","Las denuncias de los afiliados de las empresas de medicina prepaga presentadas ante la Subsecretaría de Defensa del Consumidor en Argentina, 2000-2008","Luzuriaga, María José, Spinelli, Hugo","Cadernos de Saúde Pública; 30(5); 972-982","Cadernos de Saúde Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000500972&lang=pt" 
"S0102-311X2014000501018-scl","Functional performance and social relations among the elderly in Greater Metropolitan Belo Horizonte, Minas Gerais State, Brazil: a population-based epidemiological study","Torres, Juliana Lustosa, Dias, Rosângela Corrêa, Ferreira, Fabiane Ribeiro, Macinko, James, Lima-Costa, Maria Fernanda","Cadernos de Saúde Pública; 30(5); 1018-1028","Cadernos de Saúde Pública","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501018&lang=pt" 
"S0102-311X2014000501221-scl","A autora responde","Portela, Margareth Crisóstomo","Cadernos de Saúde Pública; 30(5); 1221-1222","Cadernos de Saúde Pública","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2014000501221&lang=pt" 
"S0185-39292014000200001-mex","Presentación","Gayol, Víctor","Relaciones (Zamora); 35(138); 05-08","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200001&lang=pt" 
"S0185-39292014000200002-mex","La política laboral argentina en la inmediata posguerra: una perspectiva internacional, 1907-1925","Caruso, Laura","Relaciones (Zamora); 35(138); 11-43","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200002&lang=pt" 
"S0185-39292014000200003-mex","El trabajo en el debate panamericano (1923-1936)","Yáñez Andrade, Juan Carlos","Relaciones (Zamora); 35(138); 45-72","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200003&lang=pt" 
"S0185-39292014000200004-mex","La Sociedad de Naciones y el tratamiento del sistema mui tsai","Rodríguez García, Magaly","Relaciones (Zamora); 35(138); 73-108","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200004&lang=pt" 
"S0185-39292014000200005-mex","Vicente Lombardo Toledano y el Congreso Obrero Latinoamericano (1935-1938)","Herrera González, Patricio","Relaciones (Zamora); 35(138); 109-150","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200005&lang=pt" 
"S0185-39292014000200006-mex","Misiva de Martín Lutero sobre el arte de traducir","Pérez Martínez, Herón","Relaciones (Zamora); 35(138); 153-178","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200006&lang=pt" 
"S0185-39292014000200007-mex","Almacenamiento centralizado y comercio multicéntrico en México-Tenochtitlan","Rovira Morgado, Rossend","Relaciones (Zamora); 35(138); 181-208","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200007&lang=pt" 
"S0185-39292014000200008-mex","La construcción de la tecnocracia en León y su proyecto inacabado de participación social","Téllez Valencia, Carlos","Relaciones (Zamora); 35(138); 209-243","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200008&lang=pt" 
"S0185-39292014000200009-mex","Dos siglos de calamidades públicas en Antequera: Crisis epidémicas y desastres naturales (1599-1804)","Esparza, Manuel","Relaciones (Zamora); 35(138); 247-252","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200009&lang=pt" 
"S1688-74682014000100008-ury","El sistema educativo de Don Bosco. Una pedagogía para el siglo XXI: del Instituto Superior Salesiano. Montevideo: Monocromo, 2013. 288 págs","Scuro, Jorge","Páginas de Educación; 7(1); 252-253","Páginas de Educación","Espanhol","2014","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682014000100008&lang=pt" 
"S1688-74682014000100007-ury","La cultura docente ante el desafío del actual contexto. Una mirada sobre la Educación Media en la perspectiva de una educación más inclusiva de la diversidad: de Ana María Lopater Blanco. Montevideo: Grupo Magro, 2014. 190 págs.","Aristimuño, Adriana","Páginas de Educación; 7(1); 250-251","Páginas de Educación","Espanhol","2014","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682014000100007&lang=pt" 
"S1688-74682014000100001-ury","Presentación","Llambí, Cecilia","Páginas de Educación; 7(1); 01-04","Páginas de Educación","Espanhol","2014","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682014000100001&lang=pt" 
"S1130-01082014000500017-esp","Intraductal papillary neoplasm of the bile duct","Caballero, Yurena, Larrea, Javier, Romero, Rocío, Cabrera, Mercedes, Plaza, Gabriel, Afonso, Juan Luis, Hernández, Juan Ramón","Revista Española de Enfermedades Digestivas; 106(5); 367-368","Revista Española de Enfermedades Digestivas","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082014000500017&lang=pt" 
"S0212-16112014000700007-esp","","","Nutrición Hospitalaria; 29(); 59-80","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700007&lang=pt" 
"S0212-16112014000700006-esp","","","Nutrición Hospitalaria; 29(); 55-59","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700006&lang=pt" 
"S0212-16112014000700008-esp","","","Nutrición Hospitalaria; 29(); 80-81","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700008&lang=pt" 
"S0212-16112014000700003-esp","","","Nutrición Hospitalaria; 29(); 33-45","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700003&lang=pt" 
"S0212-16112014000700005-esp","","","Nutrición Hospitalaria; 29(); 49-55","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700005&lang=pt" 
"S0212-16112014000700002-esp","","","Nutrición Hospitalaria; 29(); 21-33","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700002&lang=pt" 
"S0212-16112014000700001-esp","","","Nutrición Hospitalaria; 29(); 3-21","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000700001&lang=pt" 
