"S0120-24482011000100002-col","Aliviar siempre","Matijasevic, Eugenio","Acta Medica Colombiana; 36(1); 4-9","Acta Medica Colombiana","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24482011000100002&lang=pt" 
"S0871-018X2011000100015-prt","Seleção de genótipos de Brachiaria Ruziziensis quanto ao alumínio em solução nutritiva: II: Avaliação da tolerância ao alumínio","Miguel, Paulo Sérgio Balbino, Rocha, Wadson Sebastião Duarte da, Sobrinho, Fausto Souza, Martins, Carlos Eugênio, Gomes, Fernando Teixeira, Oliveira, André Vicente de, Carvalho, Caio Antunes de","Revista de Ciências Agrárias; 34(1); 163-172","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100015&lang=pt" 
"S0871-018X2011000100016-prt","Seleção preliminar de genótipos de pinheira em Bom Jesus-PI","Cavalcante, Ítalo Herbert Lucena, Moura, Márcio Cleto Soares de, Rocha, Leonardo Fonseca da, Silva Júnior, Gabriel Barbosa da, Martins, Linnajara de Vasconcelos, Silva, Raissa Rachel Salustriano da","Revista de Ciências Agrárias; 34(1); 173-181","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100016&lang=pt" 
"S0871-018X2011000100017-prt","Cadeia produtiva avícola de corte de Moçambique: caracterização e competitividade","Nicolau, Quintília da Conceição, Borges, Ana Claudia Giannini, Souza, José Gilberto de","Revista de Ciências Agrárias; 34(1); 182-198","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100017&lang=pt" 
"S0871-018X2011000100018-prt","Produtividade e viabilidade económica da cana-de-açúcar em diferentes sistemas de preparo do solo no centro-oeste do Brasil","Carvalho, Laércio Alves de, Silva Junior, Carlos Antonio da, Nunes, Walder Antonio Gomes de Albuquerque, Meurer, Ismael, Souza Júnior, Walter Seraphin de","Revista de Ciências Agrárias; 34(1); 199-211","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100018&lang=pt" 
"S0871-018X2011000100019-prt","Influência de formas de nitrogênio e do ph na correção da deficiência de ferro no girassol","Prado, Renato Mello, Vara, Esteban Alcántara","Revista de Ciências Agrárias; 34(1); 212-219","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100019&lang=pt" 
"S0871-018X2011000100020-prt","Influência da aplicação de Ciproconazol+Tiametoxam no crescimento de mudas de Coffea Canephora Pierre Ex A.Froehner","Martins, Lima Deleon, Tomaz, Marcelo Antonio, Souza, Antonio Fernando de, Jesus Junior, Waldir Cintra de, Rodrigues, Wagner Nunes","Revista de Ciências Agrárias; 34(1); 220-228","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100020&lang=pt" 
"S0871-018X2011000100021-prt","Porta-enxertos afetando o crescimento e a produção de plantas de Coffea Arabica L.","Tomaz, Marcelo Antonio, Sakiyama, Ney Sussumu, Martinez, Hermínia Emilia Prieto, Martins, Lima Deleon, Freitas, Rogério Soares de, Pereira, Antônio Alves","Revista de Ciências Agrárias; 34(1); 229-234","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100021&lang=pt" 
"S0871-018X2011000100022-prt","Conferência-debate realizada na Sociedade de Ciências Agrárias de Portugal no I semestre 2011","","Revista de Ciências Agrárias; 34(1); 237-240","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100022&lang=pt" 
"S0871-018X2011000100023-prt","In memoriam","","Revista de Ciências Agrárias; 34(1); 241-244","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100023&lang=pt" 
"S1692-25302011000100008-col","En busca de otro derecho penal","Vallejo Jiménez, Geovana Andrea","Revista Opinión Jurídica; 10(19); 141-154","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100008&lang=pt" 
"S1692-25302011000100009-col","El terrorismo como elemento generador de la mutación dela figura de la agresión. Efectos evolutivos o involutivos en el derecho internacional","Martínez-Vargas, Juan-Ramón, Mateus-Rugeles, Andrea","Revista Opinión Jurídica; 10(19); 155-170","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100009&lang=pt" 
"S1692-25302011000100002-col","Dos ejercicios de ponderación a propósito del matrimonio y la adopción en parejas del mismo sexo","Estrada Vélez, Sergio","Revista Opinión Jurídica; 10(19); 21-40","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100002&lang=pt" 
"S1692-25302011000100003-col","El retorno a la traducción o nuevamente sobre la historia del concepto de hermenéutica","González Agudelo, Elvia María","Revista Opinión Jurídica; 10(19); 41-60","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100003&lang=pt" 
"S1692-25302011000100001-col","Editorial","","Revista Opinión Jurídica; 10(19); 7-7","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100001&lang=pt" 
"S1692-25302011000100006-col","Fallas del mercado y capacidad de pago: una propuesta para los servicios de acueducto y alcantarillado","Amador Cabra, Luis Eduardo","Revista Opinión Jurídica; 10(19); 101-118","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100006&lang=pt" 
"S1692-25302011000100007-col","Espacio y territorio: disociaciones jurídicas como factor de ingobernabilidad desde los poderes públicos en Colombia","Vásquez Santamaría, Jorge Eduardo","Revista Opinión Jurídica; 10(19); 119-138","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100007&lang=pt" 
"S1692-25302011000100004-col","Prevención, atención y protección de las víctimas y posibles víctimas de la trata de personas por parte del municipio de Medellín","Bocanument-Arbeláez, Mauricio","Revista Opinión Jurídica; 10(19); 63-83","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100004&lang=pt" 
"S1692-25302011000100005-col","La publicidad sobre órganos y componentes humanos en Latinoamérica","García Arango, Gustavo Adolfo","Revista Opinión Jurídica; 10(19); 85-98","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100005&lang=pt" 
"S1692-25302011000100015-col","Modelo de lectura del constitucionalismo provincial hispanoamericano: origen del constitucionalismo antioqueño","Flórez López, Carlos Alirio","Revista Opinión Jurídica; 10(19); 213-213","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100015&lang=pt" 
"S1692-25302011000100014-col","Principio de oportunidad: Reflexiones jurídico políticas","Díaz Moncada, José de Jesús","Revista Opinión Jurídica; 10(19); 212-212","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100014&lang=pt" 
"S1692-25302011000100016-col","El derecho al aborto: segunda parte, la despenalización parcial","Bocanument Arbeláez, Mauricio","Revista Opinión Jurídica; 10(19); 214-214","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100016&lang=pt" 
"S1692-25302011000100011-col","De las garantías tradicionales a las garantías derivadas","Martínez-Cárdenas, Betty Mercedes, Ternera Barrios, Francisco","Revista Opinión Jurídica; 10(19); 181-193","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100011&lang=pt" 
"S1692-25302011000100010-col","Tratamiento penitenciario en la provincia de Buenos Aires: El desafío de ajustar la legislación a la práctica internacional","Quintero, Fabián A.","Revista Opinión Jurídica; 10(19); 171-178","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100010&lang=pt" 
"S1692-25302011000100013-col","Los principios jurídicos y el bloque de constitucionalidad","Restrepo Yepes, Olga Cecilia","Revista Opinión Jurídica; 10(19); 211-211","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100013&lang=pt" 
"S1692-25302011000100012-col","La interpretación del contrato de seguro y los dilemas de la hermenéutica contractual en Cuba","Vázquez Pérez, Arsul José","Revista Opinión Jurídica; 10(19); 195-209","Revista Opinión Jurídica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302011000100012&lang=pt" 
"S0120-81602011000100008-col","La formación del lenguaje jurídico-económico empresarial y de los negocios internacionales desde el common law","Gutiérrez Ossa, Jahir Alexander","Revista EAN; (70); 88-101","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100008&lang=pt" 
"S0120-81602011000100009-col","Alianzas estratégicas: instrumento de negociación y desarrollo sostenible mirado desde la perspectiva de la interculturalidad","Arbaiza Fermini, Lydia","Revista EAN; (70); 102-117","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100009&lang=pt" 
"S0120-81602011000100002-col","","","Revista EAN; (70); 12-19","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100002&lang=pt" 
"S0120-81602011000100003-col","Descripción y explicación del diseño de instrumentos que miden la competencia traductora y terminología en traductores profesionales","Umaña Corrales, Olga, Suárez de la Torre, Mercedes","Revista EAN; (70); 22-41","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100003&lang=pt" 
"S0120-81602011000100001-col","","Silva Duarte, Jorge Enrique","Revista EAN; (70); 5-6","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100001&lang=pt" 
"S0120-81602011000100006-col","Una propuesta que apunta a la integración de traducción y empresa","García Trujillo, Wilson Hernando","Revista EAN; (70); 68-77","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100006&lang=pt" 
"S0120-81602011000100007-col","Common difficulties observed in abstracts written in english by people having spanish as mother tongue: Dificultades usuales en resúmenes escritos en inglés por nativos de español","","Revista EAN; (70); 78-86","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100007&lang=pt" 
"S0120-81602011000100004-col","Hacia un perfil profesional del traductor en Colombia","Franco Uribe, Liliana Patricia, Quiroz Herrera, Gabriel","Revista EAN; (70); 42-57","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100004&lang=pt" 
"S0120-81602011000100005-col","Algunos apartes de la traducción jurídica y oficial en Colombia","Clavijo Olmos, Bibiana","Revista EAN; (70); 58-67","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100005&lang=pt" 
"S0120-81602011000100014-col","Los costos y procesos de producción, opción estratégica de productividad y competitividad en la industria de confecciones infantiles de Bucaramanga","Gómez Niño, Ofelia","Revista EAN; (70); 167-180","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100014&lang=pt" 
"S0120-81602011000100011-col","Traducción empresarial en el mundo globalizado de hoy","Franco Bello, Carlos","Revista EAN; (70); 132-146","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100011&lang=pt" 
"S0120-81602011000100010-col","La financiación de nuevas empresas en Colombia: una mirada desde la demanda","Matíz B, Francisco Javier, Fracica Naranjo, Germán","Revista EAN; (70); 118-130","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100010&lang=pt" 
"S0120-81602011000100013-col","Distribución física internacional (DFI). caso de aplicación a productos de panela pulverizada-biopanela","Guisao Giraldo, Erica Yaneth, Zuluaga Mazo, Abdul","Revista EAN; (70); 157-165","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100013&lang=pt" 
"S0120-81602011000100012-col","Un análisis de la dinámica productiva de la empresarialidad informal: el caso del sector textil en la Paz y el Alto, Bolivia en 2010","Parra Bernal, León Darío","Revista EAN; (70); 150-156","Revista EAN","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602011000100012&lang=pt" 
"S0041-90602011000100006-col","LA DECLARATORIA DE INVALIDEZ COMO REQUISITO DE ACCESO A LA PENSIÓN EN EL SISTEMA GENERAL DE PENSIONES","Castillo-Cadena, Fernando","Vniversitas; (122); 77-115","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100006&lang=pt" 
"S0041-90602011000100007-col","LA AUTONOMÍA LOCAL EN DIVERSOS SISTEMAS DE ORGANIZACIÓN, UN MARCO CONCEPTUAL PARA EL ANÁLISIS DEL CASO COLOMBIANO","Suelt-Cock, Vanessa, Ximena Osorio, Aura","Vniversitas; (122); 117-168","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100007&lang=pt" 
"S0041-90602011000100004-col","KELSEN Y PAŠUKANIS: LOS DIÁLOGOS DE LA TEORÍA LEGAL SOBRE LA CORTINA DE HIERRO","Buchely-Ibarra, Lina Fernanda","Vniversitas; (122); 23-39","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100004&lang=pt" 
"S0041-90602011000100005-col","LA MIGRACIÓN EN EL SISTEMA INTERAMERICANO DE DERECHOS HUMANOS","Torres-Marenco, Verónica","Vniversitas; (122); 41-76","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100005&lang=pt" 
"S0041-90602011000100002-col","SESENTA AÑOS DE LA REVISTA VNIVERSITAS: UN COMPROMISO ININTERRUMPIDO CON COLOMBIA Y LA CIENCIA","Jaramillo-Jaramillo, Carlos Ignacio","Vniversitas; (122); 15-17","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100002&lang=pt" 
"S0041-90602011000100003-col","EL PADRE GABRIEL GIRALDO, S. J. Y LA REVISTA VNIVERSITAS JURÍDICA","Londoño-Hidalgo, Julio Mauricio","Vniversitas; (122); 19-22","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100003&lang=pt" 
"S0041-90602011000100001-col","","Navas-Herrera, María Fernanda, Wilches-Durán, Rafael E.","Vniversitas; (122); 11-13","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100001&lang=pt" 
"S0041-90602011000100008-col","EL CONTROL CONSTITUCIONAL EN COLOMBIA: SOBRE EL INHIBICIONISMO DE LA CORTE CONSTITUCIONAL EN LOS 100 AÑOS DEL CONTROL DE LA ACCIÓN PÚBLICA","Gómez-Pinto, Luis Ricardo","Vniversitas; (122); 169-211","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100008&lang=pt" 
