"S1984-02922012000100013-scl","Como Perseu se defendeu de Medusa?","Freitas, Rose Lumertz de, Viola, Carolina Gubert","Fractal : Revista de Psicologia; 24(1); 193-202","Fractal : Revista de Psicologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922012000100013&lang=pt" 
"S0103-65132012000200010-scl","Etapas da implementação da educação corporativa e seus impactos em empresas brasileiras: um estudo multicaso","Vieira, Fábio Henrique Antunes, Francisco, Antonio Carlos de","Production; 22(2); 296-308","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200010&lang=pt" 
"S0103-65132012000200004-scl","Análise comparativa e avaliação de prioridades de competição em três cadeias de suprimentos do setor petroquímico","Silva, Brian, Finardi, Cristiano, Forneck, Marcelo, Sellitto, Miguel Afonso","Production; 22(2); 225-236","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200004&lang=pt" 
"S0103-65132012000200011-scl","Processo sustentável de produção de carvão vegetal quanto aos aspectos: ambiental, econômico, social e cultural","Santos, Sueli de Fátima de Oliveira Miranda, Hatakeyama, Kazuo","Production; 22(2); 309-321","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200011&lang=pt" 
"S0103-65132012000200003-scl","Atributos críticos de satisfação em serviços de arquitetura: visão do cliente × visão do arquiteto","Almada, Isabela Winter, Tontini, Gérson","Production; 22(2); 213-224","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200003&lang=pt" 
"S0103-65132012000200006-scl","Levantamento do desempenho logístico das PMEs da indústria de bens de capital: uma análise comparativa","Barbosa, Danilo Hisano, Musetti, Marcel Andreotti","Production; 22(2); 249-258","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200006&lang=pt" 
"S0103-65132012000200001-scl","Análise do processo de preparação da produção no desenvolvimento de novos produtos por meio de um estudo de caso em uma empresa do setor siderúrgico","Varandas Junior, Angelo, Miguel, Paulo Augusto Cauchick","Production; 22(2); 185-200","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200001&lang=pt" 
"S0103-65132012000200009-scl","Considerações ergonômicas para aplicação de mídia em ambientes educacionais para crianças do ensino fundamental","Garcez, Joyce Lara Araújo da Fonseca, Maciel, Francimar Rodrigues, Cardoso, Vânia Maria Batalha","Production; 22(2); 284-295","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200009&lang=pt" 
"S0103-65132012000200002-scl","Comportamento socioambiental do consumidor: um estudo com universitários do interior paulista","Tamashiro, Helenita Rodrigues da Silva, Murari, Wandrey Antonio, Oliveira, Sônia Valle Walter Borges de, Acevedo, Claudia Rosa","Production; 22(2); 201-212","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200002&lang=pt" 
"S0103-65132012000200005-scl","Elementos de flexibilidade em contratos de terceirização logística: o caso de uma empresa de telecomunicações","Bandeira, Renata Albergaria de Mello, Mello, Luiz Carlos Brasil de Brito, Maçada, Antonio Carlos Gastaud","Production; 22(2); 237-248","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200005&lang=pt" 
"S0103-65132012000200007-scl","Método para classificação de tipos de erros humanos: estudo de caso em acidentes em canteiros de obras","Saurin, Tarcisio Abreu, Grando, Mara Lucia, Costella, Marcelo Fabiano","Production; 22(2); 259-269","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200007&lang=pt" 
"S0103-65132012000200008-scl","Análise comparativa entre métodos de carregamento de cargas e análise postural de auxiliares de enfermagem","Batiz, Eduardo Concepción, Vergara, Lizandra Garcia Lupi, Licea, Olga Elena Anzardo","Production; 22(2); 270-283","Production","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200008&lang=pt" 
"S0103-65132012000200012-scl","Contabilidade e custos ambientais: um levantamento da produção científica no período de 1996 a 2007","Grzebieluckas, Cleci, Campos, Lucila Maria de Souza, Selig, Paulo Mauricio","Production; 22(2); 322-332","Production","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132012000200012&lang=pt" 
"S0103-84782012000400015-scl","Feo-hifomicose sistêmica em cão","Uchôa, Iana Carolina Pordeus, Santos, José Rômulo Soares, Souza, Almir Pereira de, Dantas, Antônio Flávio Medeiros, Borges, Olívia Maria Moreira, Medeiros, Larissa Coutinho de","Ciência Rural; 42(4); 670-674","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400015&lang=pt" 
"S0103-84782012000400024-scl","Chemical composition and fermentation characteristics of elephant grass silage with biodiesel industry co-products","Cleef, Eric Haydt Castello Branco van, Silva Filho, José Cleto da, Neiva Júnior, Arnaldo Prata, Patiño Pardo, René Maurício, Rêgo, Aníbal Coutinho do, Gonçalves, Josemir de Souza","Ciência Rural; 42(4); 718-723","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400024&lang=pt" 
"S0103-84782012000400021-scl","Liberação de peróxido de hidrogênio por fagócitos de glândulas mamárias bovinas hígidas e infectadas","Brasil, Fernanda Alves, Azedo, Milton Ricardo, Kitamura, Sandra Satiko, Blagitz, Maiara Garcia, Souza, Fernando Nogueira de, Libera, Alice Maria Melville Paiva Della","Ciência Rural; 42(4); 701-704","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400021&lang=pt" 
"S0103-84782012000400014-scl","Lepidopterans and their parasitoids on okra plants in Riberão Preto (SP, Brazil)","Lara, Rogéria Inês Rosa, Spera, Bruno Rafael, Versuti, Danielle Roberta, Fernandes, Daniell Rodrigo Rodrigues, Santos-Cividanes, Terezinha Monteiro, Perioto, Nelson Wanderley","Ciência Rural; 42(4); 667-669","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400014&lang=pt" 
"S0103-84782012000400009-scl","Aspectos da germinação de sementes de assa-peixe (Vernonia polyanthes Less.)","Fonseca, Patrícia Gomes, Nunes, Ubirajara Russi, Nunes, Silvia Cristina Paslauski","Ciência Rural; 42(4); 633-637","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400009&lang=pt" 
"S0103-84782012000400016-scl","Hemophagocytic histiocytic sarcoma in feline","Teixeira, Luciele Varaschini, Martins, Danieli Brolo, França, Raqueli Teresinha, Amaral, Anne Santos do, Mazzanti, Cínthia Melazzo, Lopes, Sonia Terezinha dos Anjos","Ciência Rural; 42(4); 675-678","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400016&lang=pt" 
"S0103-84782012000400020-scl","Campylobacter fetus subespécie fetus: abortamento e natimortalidade em ovinos","Gressler, Letícia Trevisan, Kirinus, Jackeline Karsten, Machado, Gustavo, Libardoni, Felipe, Vargas, Agueda Castagna de","Ciência Rural; 42(4); 697-700","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400020&lang=pt" 
"S0103-84782012000400004-scl","Estimativa do vigor de sementes de milho através da avaliação do sistema radicular de plântulas","Conceição, Patrícia Marluci da, Sediyama, Camilla Atsumi Zanuncio, Vieira, Rogério Faria, Galvão, João Carlos Cardoso, Corrêa, Maria Lita Padinha, Conceição, Priscila Soraia da","Ciência Rural; 42(4); 600-606","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400004&lang=pt" 
"S0103-84782012000400013-scl","Desempenho de um motor de trator agrícola em bancada dinamométrica com biodiesel de óleo de frango e misturas binárias com óleo diesel","Fiorese, Diego Augusto, Dallmeyer, Arno Udo, Romano, Leonardo Nabaes, Schlosser, José Fernando, Machado, Paulo Romeu Moreira","Ciência Rural; 42(4); 660-666","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400013&lang=pt" 
"S0103-84782012000400023-scl","Estimação dos componentes de variância para as características de produção e de qualidade de ovos em matrizes de codorna de corte","Teixeira, Bruno Bastos, Teixeira, Rafael Bastos, Silva, Luciano Pinheiro da, Torres, Robledo de Almeida, Caetano, Giovani da Costa, Euclydes, Ricardo Frederico","Ciência Rural; 42(4); 713-717","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400023&lang=pt" 
"S0103-84782012000400022-scl","Nutritional value of forage species from the Central Highlands Region of Mexico at different stages of maturity","Rayas Amor, Adolfo Armando, Estrada Flores, Julieta Gertrudis, Mould, Fergus Lawrence, Castelán Ortega, Octavio Alonso","Ciência Rural; 42(4); 705-712","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400022&lang=pt" 
"S0103-84782012000400005-scl","Armazenamento de sementes tratadas com cloreto de mepiquat e desenvolvimento de plântulas de algodoeiro","Oliveira, Eliege Aparecida de Paiva, Zucareli, Claudemir, Prando, André Mateus, Marur, Celso Jamil, Barros, Alberto Sérgio do Rego, Nagashima, Getúlio Takashi, Fonseca, Inês Cristina de Batista","Ciência Rural; 42(4); 607-613","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000400005&lang=pt" 
"S1518-76322012000100001-scl","Apresentação","Rauen, Fábio José, Furlanetto, Maria Marta","Linguagem em (Dis)curso; 12(1); 13-14","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000100001&lang=pt" 
"S1518-76322012000100008-scl","Apresentação","Araújo, Júlio, Bezerra, Benedito Gomes","Linguagem em (Dis)curso; 12(1); 181-185","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000100008&lang=pt" 
"S0025-76802012000200001-arg","Alberto Agrest (1923-2012)","Finkielman, Samuel","Medicina (Buenos Aires); 72(2); 97-97","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200001&lang=pt" 
"S0025-76802012000200002-arg","Función del diafragma durante la colocación de cargas sobre el abdomen en sujetos normales","Monteiro, Sergio G., Pessolano, Fernando A., Suárez, Adrián A., De Vito, Eduardo L.","Medicina (Buenos Aires); 72(2); 98-102","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200002&lang=pt" 
"S0025-76802012000200003-arg","Tratamiento sistémico del penfigoide cicatrizal ocular","Juri, María Cecilia, Fernández Romero, Diego S., Devoto, Martín H., Georgiett, Daniel, Zárate, Jorge O., Malbrán, Alejandro","Medicina (Buenos Aires); 72(2); 103-108","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200003&lang=pt" 
"S0025-76802012000200004-arg","Endocarditis infecciosa activa: 152 casos","Kazelian, Lucía R., Vidal, Luis A., Neme, Roberto, Gagliardi, Juan A.","Medicina (Buenos Aires); 72(2); 109-114","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200004&lang=pt" 
"S0025-76802012000200005-arg","Administración oral de preparado parenteral de vitamina K en anticoagulación excesiva por warfarina","Lozada, Yoleima, Falcone, Marinela, Granero, Ricardo","Medicina (Buenos Aires); 72(2); 115-118","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200005&lang=pt" 
"S0025-76802012000200006-arg","Angioedema hereditario: Guía de tratamiento","Malbrán, Alejandro, Fernández Romero, Diego S., Menéndez, Alejandra","Medicina (Buenos Aires); 72(2); 119-123","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200006&lang=pt" 
"S0025-76802012000200007-arg","Neuromielitis óptica con alta expresión de acuaporina-4 y anticuerpos anti-acuaporina-4 positivos en suero","Báez, Alejandra, Báez, Mariana, Kuchkaryan, Valeria, Schoijedman, Adrián, Lozano, Carlos, Casas Parera, Ignacio","Medicina (Buenos Aires); 72(2); 124-127","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200007&lang=pt" 
"S0025-76802012000200008-arg","Tromboembolismo pulmonar masivo de alto riesgo asociado a foramen oval permeable","Miranda, Antonio, Franco, Sergio, Uribe, William, Duque, Mauricio, Femenía, Francisco, Baranchuk, Adrián","Medicina (Buenos Aires); 72(2); 128-130","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200008&lang=pt" 
"S0025-76802012000200009-arg","Imágenes de resonancia magnética en la enfermedad de Wilson","Larriera, Alejandro, Ocampo, Paloma C., Poveda, Ana L., Melero, Marcelo J.","Medicina (Buenos Aires); 72(2); 131-131","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200009&lang=pt" 
"S0025-76802012000200010-arg","Cutis verticis gyrata","Hurtado, Paula M., Pachajoa, Harry","Medicina (Buenos Aires); 72(2); 132-132","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200010&lang=pt" 
"S0025-76802012000200011-arg","Caveat lector","","Medicina (Buenos Aires); 72(2); 133-134","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200011&lang=pt" 
"S0025-76802012000200012-arg","Hiperglucemia en el síndrome coronario agudo: informe científico multidisciplinario","Blanco, Patricia, Benzadón, Mariano, Cohen Arazi, Hernán, Duronto, Ernesto, Higa, Claudio, González, Miguel A., Mele, Eduardo","Medicina (Buenos Aires); 72(2); 135-142","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200012&lang=pt" 
"S0025-76802012000200013-arg","Vitamina D y cáncer: acción antineoplásica de la 1α, 25(OH)2 -vitamina D3","González Pardo, Verónica, Boland, Ricardo, Russo de Boland, Ana","Medicina (Buenos Aires); 72(2); 143-149","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200013&lang=pt" 
"S0025-76802012000200014-arg","Hipertensión y edema pulmonar de altura: Rol de la disfunción endotelial y de la programación fetal","Schwab, Marcos, Allemann, Yves, Emrush, Rexhaj, Rimoldi, Stefano F., Sartori, Claudio, Scherrer, Urs","Medicina (Buenos Aires); 72(2); 150-157","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200014&lang=pt" 
"S0025-76802012000200015-arg","Glucocorticoides: paradigma de medicina traslacional. De lo molecular al uso clínico","Serra, Héctor A., Roganovich, Juan Manuel, Rizzo, Leonardo F. L.","Medicina (Buenos Aires); 72(2); 158-170","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200015&lang=pt" 
"S0025-76802012000200016-arg","El litio y su relación con la acuaporina-2 y el canal de sodio ENaC","Galizia, Luciano, Marino, Gabriela I., Kotsias, Basilio A.","Medicina (Buenos Aires); 72(2); 171-175","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200016&lang=pt" 
"S0025-76802012000200017-arg","Un clérigo con hidropesia, 1666","Barcat, Juan Antonio","Medicina (Buenos Aires); 72(2); 176-176","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200017&lang=pt" 
"S0025-76802012000200018-arg","El precio del progreso: Administradores en la Universidad","Dosne Pasqualini, Christiane","Medicina (Buenos Aires); 72(2); 177-178","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200018&lang=pt" 
"S0025-76802012000200019-arg","Predecir el futuro: El fin de los libros en papel","Barcat, Juan Antonio","Medicina (Buenos Aires); 72(2); 179-181","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200019&lang=pt" 
"S0025-76802012000200020-arg","Los falsos positivos en medicina","Agrest, Alberto","Medicina (Buenos Aires); 72(2); 182-183","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200020&lang=pt" 
"S0025-76802012000200021-arg","Ha muerto Agrest","Semeniuk, Guillermo B.","Medicina (Buenos Aires); 72(2); 184-184","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200021&lang=pt" 
"S0025-76802012000200022-arg","¡Es el paciente, estúpido!","Alonso, Héctor","Medicina (Buenos Aires); 72(2); 184-185","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200022&lang=pt" 
"S0025-76802012000200023-arg","Síndrome clínico judicial","Agrest, Alberto","Medicina (Buenos Aires); 72(2); 185-187","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200023&lang=pt" 
"S0025-76802012000200024-arg","Recuerdos de Eugenia Sacerdote de Lustig (1910-2011)","Dosne Pasqualini, Christiane","Medicina (Buenos Aires); 72(2); 187-187","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200024&lang=pt" 
"S0025-76802012000200025-arg","Nutrición: Fundamentos Energéticos y Metabólicos","Ganduglia, Mercedes","Medicina (Buenos Aires); 72(2); 188-188","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200025&lang=pt" 
"S0025-76802012000200026-arg","La Filosofía de House: Todos Mienten","Hevia, Jorge","Medicina (Buenos Aires); 72(2); 189-189","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000200026&lang=pt" 
"S1413-81232012000400002-scl","O papel da avaliação para a tomada de decisão na gestão de serviços de saúde","Tanaka, Oswaldo Yoshimi, Tamaki, Edson Mamoru","Ciência &amp; Saúde Coletiva; 17(4); 821-828","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400002&lang=pt" 
"S1984-02922012000100005-scl","Considerações sobre a civilização ocidental contemporânea em Nietzsche e Freud","Santos, Leonardo Carvalho, Sampaio, Wilson Maranhão","Fractal : Revista de Psicologia; 24(1); 59-80","Fractal : Revista de Psicologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922012000100005&lang=pt" 
"S1984-02922012000100012-scl","Entendeu ou quer que eu desenhe?: transições familiares através da visão sistêmica","Pinheiro, Igor Reszka, Crepaldi, Maria Aparecida, Cruz, Roberto Moraes","Fractal : Revista de Psicologia; 24(1); 175-192","Fractal : Revista de Psicologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922012000100012&lang=pt" 
"S1516-14392012000200016-scl","Analysis by design of experiments of distortion potentials in drawn and induction hardened wire","Rocha, Alexandre da Silva, Nunes, Rafael Menezes, Hirsch, Thomas","Materials Research; 15(2); 266-276","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200016&lang=pt" 
"S1516-14392012000200004-scl","Flexural behavior of Sisal/Castor oil-Based Polyurethane and Sisal/Phenolic Composites","Milanese, Andressa Cecília, Cioffi, Maria Odila Hilário, Voorwald, Herman Jacobus Cornelis","Materials Research; 15(2); 191-197","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200004&lang=pt" 
"S1516-14392012000200007-scl","Optical (DRUV-VIS) and magnetic (EPR) behavior of synthetic melanins","Santos, Júlio César Pereira dos, Marino, Cláudia Eliana Bruno, Mangrich, Antonio Salvio, Rezende, Edivaltrys Inayve Pissinati de","Materials Research; 15(2); 209-212","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200007&lang=pt" 
"S1516-14392012000200011-scl","Mg2FeH6-based nanocomposites with high capacity of hydrogen storage processed by reactive milling","Asselli, Alexandre Augusto Cesario, Jorge Junior, Alberto Moreira, Ishikawa, Tomaz Toshimi, Botta Filho, Walter José","Materials Research; 15(2); 229-235","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200011&lang=pt" 
