"S1517-86922000000500005-scl","Aptidão física, saúde e qualidade de vida relacionada à saúde em adultos","Araújo, Denise Sardinha Mendes Soares de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 6(5); 194-203","Revista Brasileira de Medicina do Esporte","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922000000500005&lang=pt" 
"S1516-35982000000500017-scl","Níveis de suplementação com lactose na dieta de leitões desmamados","Bertol, Teresinha Marisa, Santos Filho, Jonas Irineu dos, Ludke, Jorge Vítor","Revista Brasileira de Zootecnia; 29(5); 1387-1393","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500017&lang=pt" 
"S1516-35982000000500022-scl","Efeito do extrato de urucum na pigmentação da gema dos ovos","Silva, José Humberto Vilar da, Albino, Luiz Fernando Teixeira, Godói, Mauro José de Souza","Revista Brasileira de Zootecnia; 29(5); 1435-1439","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500022&lang=pt" 
"S1516-35982000000500021-scl","Efeito do isolamento térmico de telhado sobre o desempenho de frangos de corte alojados em diferentes densidades","Oliveira, Jean Eduardo de, Sakomura, Nilva Kazue, Figueiredo, Adriana Nogueira, Lucas Júnior, Jorge de, Santos, Tânia Mara Baptista dos","Revista Brasileira de Zootecnia; 29(5); 1427-1434","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500021&lang=pt" 
"S1516-35982000000500033-scl","Desenvolvimento de um sistema computacional para dimensionamento e evolução de rebanhos bovinos","Lopes, Marcos Aurélio, Vieira, Paulo de Figueiredo, Castro Neto, Pedro, Malheiros, Euclides Braga","Revista Brasileira de Zootecnia; 29(5); 1511-1519","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500033&lang=pt" 
"S1516-35982000000500032-scl","Custo leite para windows: software de controle de custos para a pecuária leiteira","Lopes, Marcos Aurélio, Castro, Frederico do Valle Ferreira de, Carvalho, Francisval de Melo, Zambalde, André Luiz, Lopes, Delmara de Cássia Fernandes","Revista Brasileira de Zootecnia; 29(5); 1504-1510","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500032&lang=pt" 
"S1516-35982000000500031-scl","Substituição da silagem de milho pela silagem do bagaço de laranja na alimentação de vacas leiteiras: Consumo, produção e qualidade do leite","Ítavo, Luís Carlos Vinhas, Santos, Geraldo Tadeu dos, Jobim, Clóves Cabreira, Voltolini, Tadeu Vinhas, Ferreira, Camila Celeste Brandão","Revista Brasileira de Zootecnia; 29(5); 1498-1503","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500031&lang=pt" 
"S1516-35982000000500038-scl","Efeitos de níveis crescentes de fibra em detergente neutro na dieta sobre a fermentação ruminal em bubalinos e bovinos","Souza, Nedilse Helena de, Franzolin, Raul, Rodrigues, Paulo Henrique Mazza, Scoton, Rodrigo de Almeida","Revista Brasileira de Zootecnia; 29(5); 1553-1564","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500038&lang=pt" 
"S1516-35982000000500004-scl","Oferta de forragem de capim-elefante anão &#039;Mott&#039; e a dinâmica da pastagem","Almeida, Edison Xavier de, Maraschin, Gerzy Ernesto, Harthmann, Oscar Emilio Luatke, Ribeiro Filho, Henrique Mendonça Nunes, Setelich, Elena Apesteguia","Revista Brasileira de Zootecnia; 29(5); 1281-1287","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500004&lang=pt" 
"S1516-35982000000500007-scl","Extração da lignina e emprego da mesma em curvas de calibração para a mensuração da lignina em produtos vegetais","Fukushima, Romualdo Shigueo, Garippo, Geraldo, Habitante, Ana Mônica Quinta Barbosa, Lacerda, Roseli Sengling","Revista Brasileira de Zootecnia; 29(5); 1302-1311","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500007&lang=pt" 
"S1516-35982000000500011-scl","Curva de lactação na raça Guzerá","Cobuci, Jaime Araujo, Euclydes, Ricardo Frederico, Verneque, Rui da Silva, Teodoro, Roberto Luiz, Lopes, Paulo de Sávio, Silva, Martinho de Almeida e","Revista Brasileira de Zootecnia; 29(5); 1332-1339","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500011&lang=pt" 
"S1516-35982000000500013-scl","Avaliação de um esquema de seleção para bovinos zebus de dupla aptidão","Lôbo, Raimundo Nonato Braga, Penna, Vânia Maldini, Madalena, Fernando Enrique","Revista Brasileira de Zootecnia; 29(5); 1349-1360","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500013&lang=pt" 
"S1516-35982000000500015-scl","Características de carcaça de bovinos de corte inteiros ou castrados de diferentes composições aciais Charolês x Nelore","Restle, João, Vaz, Fabiano Nunes, Feijó, Gelson Luis Dias, Brondani, Ivan Luiz, Alves Filho, Dari Celestino, Bernardes, Regis Augusto Carvalho, Faturi, Cristian, Pacheco, Paulo Santana","Revista Brasileira de Zootecnia; 29(5); 1371-1379","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500015&lang=pt" 
"S1516-35982000000500016-scl","Associação do polimorfismo do gene do hormônio de crescimento com a caraterística peso em bovinos da raça Nelore","Unanian, Maria Marina, Barreto, Cristine Chaves, Freitas, Alfredo Ribeiro de, Cordeiro, Célia Maria Torres, Josahkian, Luiz Antonio","Revista Brasileira de Zootecnia; 29(5); 1380-1386","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500016&lang=pt" 
"S1516-35982000000500019-scl","Influência da fitase na utilização de nutrientes em dietas compostas por milho e farelo de soja para suínos em crescimento","Lüdke, Maria do Carmo Mohaupt Marques, López, Jorge, Brum, Paulo Antônio Rabenschlag de, Lüdke, Jorge Vitor","Revista Brasileira de Zootecnia; 29(5); 1402-1413","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500019&lang=pt" 
"S1516-35982000000500020-scl","Efeito da suplementação enzimática em rações com farelo de soja e soja integral extrusada sobre a digestibilidade de nutrientes, o fluxo de nutrientes na digesta ileal e o desempenho de frangos","Garcia, Elis Regina de Moraes, Murakami, Alice Eiko, Branco, Antonio Ferriani, Furlan, Antonio Claudio, Moreira, Ivan","Revista Brasileira de Zootecnia; 29(5); 1414-1426","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500020&lang=pt" 
"S1516-35982000000500025-scl","Efeitos de rações com níveis crescentes de cana-de-açúcar em substituição à silagem de milho sobre a população de protozoários ciliados no rúmen de ovinos","Franzolin, Maria Helena Tieghi, Lucci, Carlos de Sousa, Franzolin, Raul","Revista Brasileira de Zootecnia; 29(5); 1452-1457","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500025&lang=pt" 
"S1516-35982000000500026-scl","Níveis de concentrado na dieta de novilhos f1 Limousin x Nelore: consumo, conversão alimentar e ganho de peso","Gesualdi Júnior, Antonio, Paulino, Mário Fonseca, Valadares Filho, Sebastião de Campos, Coelho da Silva, José Fernando, Veloso, Cristina Matos, Cecon, Paulo Roberto","Revista Brasileira de Zootecnia; 29(5); 1458-1466","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500026&lang=pt" 
"S1516-35982000000500027-scl","Níveis de concentrado na dieta de novilhos F1 Limousin x Nelore: características de carcaça","Gesualdi Júnior, Antonio, Paulino, Mário Fonseca, Valadares Filho, Sebastião de Campos, Coelho da Silva, José Fernando, Veloso, Cristina Matos, Cecon, Paulo Roberto","Revista Brasileira de Zootecnia; 29(5); 1467-1473","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500027&lang=pt" 
"S1516-35982000000500028-scl","Aditivos na conservação do bagaço de laranja in natura na forma de silagem","Ítavo, Luís Carlos Vinhas, Santos, Geraldo Tadeu dos, Jobim, Clóves Cabreira, Voltolini, Tadeu Vinhas, Bortolassi, João Ricardo, Ferreira, Camila Celeste Brandão","Revista Brasileira de Zootecnia; 29(5); 1474-1484","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500028&lang=pt" 
"S1516-35982000000500029-scl","Composição e digestibilidade aparente da silagem de bagaço de laranja","Ítavo, Luís Carlos Vinhas, Santos, Geraldo Tadeu dos, Jobim, Clóves Cabreira, Voltolini, Tadeu Vinhas, Faria, Karla Peron, Ferreira, Camila Celeste Brandão","Revista Brasileira de Zootecnia; 29(5); 1485-1490","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500029&lang=pt" 
"S1516-35982000000500030-scl","Avaliação da silagem de bagaço de laranja com diferentes aditivos por intermédio dos parâmetros de fermentação ruminal de ovinos e contribuição energética dos ácidos graxos voláteis","Ítavo, Luís Carlos Vinhas, Santos, Geraldo Tadeu dos, Jobim, Clóves Cabreira, Voltolini, Tadeu Vinhas, Ferreira, Camila Celeste Brandão","Revista Brasileira de Zootecnia; 29(5); 1491-1497","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500030&lang=pt" 
"S1516-35982000000500034-scl","Qualidade de carcaças de cordeiros Corriedale, Bergamácia x Corriedale e Hampshire Down x Corriedale, terminados em pastagem e confinamento","Macedo, Francisco de Assis Fonseca de, Siqueira, Edson Ramos de, Martins, Elias Nunes, Macedo, Rosa Maria Gomes de","Revista Brasileira de Zootecnia; 29(5); 1520-1527","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500034&lang=pt" 
"S1516-35982000000500035-scl","Avaliação da mandioca e seus resíduos industriais em substituição ao milho no desempenho de novilhas confinadas","Marques, Jair de Araújo, Prado, Ivanor Nunes do, Zeoula, Lúcia Maria, Alcalde, Claudete Regina, Nascimento, Willian Gonçalves do","Revista Brasileira de Zootecnia; 29(5); 1528-1536","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500035&lang=pt" 
"S1516-35982000000500036-scl","Nível de proteína bruta para bezerros de corte desmamados aos 66 dias de idade","Pascoal, Leonir Luiz, Eifert, Eduardo da Costa, Restle, João","Revista Brasileira de Zootecnia; 29(5); 1537-1544","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500036&lang=pt" 
"S1516-35982000000500037-scl","Níveis de triticale em substituição ao milho no desempenho zootécnico e digestibilidade aparente de novilhas Nelore confinadas","Prado, Ivanor Nunes do, Nascimento, Willian Gonçalves do, Zeoula, Lúcia Maria, Alcalde, Claudete Regina, Medroni, Sandro, Vinocur, Karen","Revista Brasileira de Zootecnia; 29(5); 1545-1552","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500037&lang=pt" 
"S1516-35982000000500039-scl","Efeitos de níveis crescentes de fibra em detergente neutro na dieta sobre a digestão ruminal em bubalinos e bovinos","Souza, Nedilse Helena de, Franzolin, Raul, Rodrigues, Paulo Henrique Mazza, Del Claro, Gustavo Ribeiro","Revista Brasileira de Zootecnia; 29(5); 1565-1577","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500039&lang=pt" 
"S1516-35982000000500040-scl","Estudo da curva de crescimento de animais da raça Guzerá e seus cruzamentos alimentados a pasto, com e sem suplementação: 2. Avaliação dos parâmetros da curva de crescimento","Tedeschi, Luís Orlindo, Boin, Celso, Nardon, Romeu Fernandes, Leme, Paulo Roberto","Revista Brasileira de Zootecnia; 29(5); 1578-1587","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500040&lang=pt" 
"S1516-35982000000500008-scl","Estabelecimento de pastagem de capim-tanzânia usando milheto como cultura acompanhante","Maia, Marcos Carvalho, Pinto, José Cardoso, Andrade, Ivo Francisco de","Revista Brasileira de Zootecnia; 29(5); 1312-1319","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500008&lang=pt" 
"S1516-35982000000500009-scl","Parâmetros genéticos para caracteres de sêmen de aves White Leghorn.: 1. Herdabilidades e correlações","Bongalhardo, Denise Calisto, Dionello, Nelson José Laurino, Ledur, Mônica Corrêa","Revista Brasileira de Zootecnia; 29(5); 1320-1326","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500009&lang=pt" 
"S1516-35982000000500018-scl","Sistemas de alimentação e suplementação de farinha de casca de ostras sobre o desempenho e a qualidade da casca dos ovos de poedeiras comerciais","Faria, Douglas Emygdio de, Junqueira, Otto Mack, Sakomura, Nilva Kazue, Santana, Áureo Evangelista","Revista Brasileira de Zootecnia; 29(5); 1394-1401","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500018&lang=pt" 
"S0074-02762000000500007-scl","Detection of poxvirus in cattle associated with human cases in the State of Rio de Janeiro: preliminary report","Schatzmayr, Hermann Gonçalves, Lemos, Elba Regina Sampaio de, Mazur, Carlos, Schubach, Armando, Majerowicz, Selma, Rozental, Tatiana, Schubach, Tânia Maria Pacheco, Bustamante, Maria Cristina, Barth, Ortrud Monika","Memórias do Instituto Oswaldo Cruz; 95(5); 625-627","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500007&lang=pt" 
"S0074-02762000000500018-scl","Factors that can interfere with virus concentration from wastewater when using zeta plus 60S filter membranes","Queiroz, APS, Santos, FM, Hársi, CM, Candeias, JMG, Monezi, TA, Mehnert, DU","Memórias do Instituto Oswaldo Cruz; 95(5); 713-716","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500018&lang=pt" 
"S0074-02762000000500017-scl","Coinfection by Strongyloides stercoralis in blood donors infected with human T-cell leukemia/lymphoma virus type 1 in São Paulo city, Brazil","Chieffi, Pedro P, Chiattone, Carlos S, Feltrim, Elder N, Alves, Rita CS, Paschoalotti, Maria A","Memórias do Instituto Oswaldo Cruz; 95(5); 711-712","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500017&lang=pt" 
"S0074-02762000000500013-scl","Posterior spiracles of fourth instar larvae of four species of phlebotomine sand flies (Diptera: Psychodidae) under scanning electron microscopy","Pessoa, Felipe Arley Costa, Queiroz, Raul Guerra de, Ward, Richard Douglas","Memórias do Instituto Oswaldo Cruz; 95(5); 689-691","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500013&lang=pt" 
"S0074-02762000000500016-scl","alpha-glycerophosphate dehydrogenase activity in flight muscles of triatomine bugs Panstrongylus megistus and Triatoma sordida","Soares, Rodrigo Pedro Pinto, Santoro, Marcelo Matos","Memórias do Instituto Oswaldo Cruz; 95(5); 707-709","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500016&lang=pt" 
"S0074-02762000000500015-scl","Chitinolytic activity in viable spores of encephalitozoon species","Schottelius, J, Hünger, F, Schüler, Th, Gonçalves da Costa, SC","Memórias do Instituto Oswaldo Cruz; 95(5); 701-705","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500015&lang=pt" 
"S0074-02762000000500021-scl","Multiple isolates from Aids patients: aspects of an analysis by a genotypic marker and antimicrobial susceptibilities variations","Saad, Maria Helena Féres, Telles, Maria Alice, Porfirio, Fátima, Ferrazoli, Lucilaine, Fonseca, Leila de Souza, Johnson Jr, Warren, Riley, Lee W","Memórias do Instituto Oswaldo Cruz; 95(5); 729-732","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500021&lang=pt" 
"S0074-02762000000500024-scl","An ocellar &quot;pupil&quot; that does not change with light intensity, but with the insect age in Triatoma infestans","Insausti, Teresita C, Lazzari, Claudio R","Memórias do Instituto Oswaldo Cruz; 95(5); 743-746","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500024&lang=pt" 
"S0074-02762000000500012-scl","Distinction of males of the Lutzomyia intermedia (Lutz &amp; Neiva, 1912) species complex by ratios between dimensions and by an artificial neural network (Diptera: Psychodidae, Phlebotominae)","Marcondes, Carlos Brisola, Borges, Paulo SS","Memórias do Instituto Oswaldo Cruz; 95(5); 685-688","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500012&lang=pt" 
"S0074-02762000000500025-scl","Life-history traits of Fossaria cubensis (Gastropoda: Lymnaeidae) under experimental exposure to Fasciola hepatica (Trematoda: Digenea)","Gutiérrez, Alfredo, Perera, Gloria, Yong, Mary, Sánchez, Jorge, Lin, Wong","Memórias do Instituto Oswaldo Cruz; 95(5); 747-752","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500025&lang=pt" 
"S0074-02762000000500001-scl","Retention of Leishmania (Leishmania) Mexicana in naturally infected rodents from the State of Campeche, Mexico","Van Wynsberghe, Nicole R, Canto-Lara, Silvia B, Damián-Centeno, Alma G, Itzá-Ortiz, Mateo F, Andrade-Narváez, Fernando J","Memórias do Instituto Oswaldo Cruz; 95(5); 595-600","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500001&lang=pt" 
"S0074-02762000000500002-scl","Selection of Trypanosoma cruzi clonal genotypes (clonet 20 and 39) isolated from Bolivian triatomines following subculture in liquid medium","Bosseno, Marie-France, Yacsik, Nina, Vargas, Fernando, Brenière, Simone Frédérique","Memórias do Instituto Oswaldo Cruz; 95(5); 601-607","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500002&lang=pt" 
"S0074-02762000000500005-scl","Species and serovars of the genus Listeria lsolated from different sources in Brazil from 1971 to 1997","Hofer, Ernesto, Ribeiro, Rosmery, Feitosa, Deise Paranhos","Memórias do Instituto Oswaldo Cruz; 95(5); 615-620","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500005&lang=pt" 
"S0074-02762000000500009-scl","Lutzomyia sand flies (Diptera: Psychodidae) from middle and lower Putumayo department, Colombia, with new records to the country","Barreto, Mauricio, Burbano, María Elena, Barreto, Pablo","Memórias do Instituto Oswaldo Cruz; 95(5); 633-639","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500009&lang=pt" 
"S0074-02762000000500011-scl","The subgenus Dendromyia theobald: a review with redescriptions of four species (Diptera: Culicidae)","Motta, Monique Albuquerque, Lourenço-de-Oliveira, Ricardo","Memórias do Instituto Oswaldo Cruz; 95(5); 649-683","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500011&lang=pt" 
"S0074-02762000000500014-scl","Proteolytic processing of the Cyt1Ab1 toxin produced by Bacillus thuringiensis subsp. medellin","Escobar, Elizabeth, Segura, Cesar, Vanegas, Magnolia, Patarroyo, Manuel E, Orduz, Sergio","Memórias do Instituto Oswaldo Cruz; 95(5); 693-700","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500014&lang=pt" 
"S0074-02762000000500020-scl","Mutations in Plasmodium falciparum dihydrofolate reductase and dihydropteroate synthase of isolates from the Amazon Region of Brazil","Vasconcelos, KF, Plowe, CV, Fontes, CJ, Kyle, D, Wirth, DF, Pereira da Silva, LH, Zalis, MG","Memórias do Instituto Oswaldo Cruz; 95(5); 721-728","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500020&lang=pt" 
"S0074-02762000000500010-scl","Biochemical characterization of a trypanosomatid isolated from the plant Amaranthus retroflexus","Marín, Clotilde, Fernández-Ramos, Carolina, Entrala, Emilio, Quesada, José M, Sánchez-Moreno, Manuel","Memórias do Instituto Oswaldo Cruz; 95(5); 641-647","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500010&lang=pt" 
"S0074-02762000000500003-scl","Rabies in tamarins (Callithrix jacchus) in the State of Ceará, Brazil, a distinct viral variant?","Batista-Morais, Nélio, Neilson-Rolim, Benedito, Matos-Chaves, Humberto Hugo, Brito-Neto, João de, Maria-da-Silva, Lúcia","Memórias do Instituto Oswaldo Cruz; 95(5); 609-610","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500003&lang=pt" 
"S0074-02762000000500023-scl","Rearing of Lymnaea columella (Say, 1817), intermediate host of Fasciola hepatica (Linnaeus, 1758)","Souza, Cecília Pereira de, Magalhães, Kelly Grace","Memórias do Instituto Oswaldo Cruz; 95(5); 739-741","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500023&lang=pt" 
"S0074-02762000000500022-scl","Visceral Leishmaniosis caused by Leishmania (L.) mexicana in a Mexican patient with human immunodeficiency virus infection","Ramos-Santos, Carmen, Hernandez-Montes, Omar, Sanchez-Tejeda, Gustavo, Monroy-Ostria, Amalia","Memórias do Instituto Oswaldo Cruz; 95(5); 733-738","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500022&lang=pt" 
