"S0101-31222006000100018-scl","Idade e tempo de armazenamento de frutos e qualidade fisiológica de sementes de abóbora híbrida","Costa, Caroline Jácome, Carmona, Ricardo, Nascimento, Warley Marcos","Revista Brasileira de Sementes; 28(1); 127-132","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100018&lang=pt" 
"S0101-31222006000100011-scl","Desempenho de sementes de algodão após o processamento e armazenamento","Silva, Josias Conceição da, Albuquerque, Maria Cristina, Mendonça, Elisabeth Aparecida Furtado de, Kim, Michely Eliane","Revista Brasileira de Sementes; 28(1); 79-85","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100011&lang=pt" 
"S0101-31222006000100012-scl","Aspectos morfológicos de plântulas e mudas de trema","Amorim, Isaac Lucena de, Ferreira, Robério Anastácio, Davide, Antonio Claudio, Chaves, Maria Madalena Ferreira","Revista Brasileira de Sementes; 28(1); 86-91","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100012&lang=pt" 
"S0101-31222006000100014-scl","Sensibilidade dos microssatélites para determinar a pureza varietal em sementes de milho","Ramos, Nilza Patrícia, Brunelli, Katia Regiane, Camargo, Luis Eduardo Aranha, Marcos Filho, Julio","Revista Brasileira de Sementes; 28(1); 99-105","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100014&lang=pt" 
"S0101-31222006000100015-scl","Avaliação do vigor de sementes de trigo pelo teste de envelhecimento acelerado","Lima, Tricia Costa, Medina, Priscila Frantin, Fanan, Sheila","Revista Brasileira de Sementes; 28(1); 106-113","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100015&lang=pt" 
"S0101-31222006000100016-scl","Qualidade física e fisiológica de sementes de Eremanthus erythropappus (DC.) Mac. Leish","Tonetti, Olivia Alvina Oliveira, Davide, Antonio Claudio, Silva, Edvaldo Aparecido Amaral da","Revista Brasileira de Sementes; 28(1); 114-121","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100016&lang=pt" 
"S0101-31222006000100019-scl","Crescimento e maturação dos frutos e sementes de urucum","Mendes, Angela Maria da Silva, Figueiredo, Antenor Francisco de, Silva, José Ferreira da","Revista Brasileira de Sementes; 28(1); 133-141","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100019&lang=pt" 
"S0101-31222006000100022-scl","Teste de condutividade elétrica para avaliação do vigor de sementes de cebola","Dias, Denise Cunha Fernandes dos Santos, Bhering, Maria Carmen, Tokuhisa, Dai, Hilst, Paulo Cesar","Revista Brasileira de Sementes; 28(1); 154-162","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100022&lang=pt" 
"S0101-31222006000100023-scl","Influência da temperatura e da água sobre a germinação de sementes de Paricá (Schizolobium amazonicum Huber ex Ducke Leguminosae-Caesalpinioideae)","Ramos, Michele Braule Pinto, Varela, Vania Palmeira, Melo, Maria de Fátima Figueiredo","Revista Brasileira de Sementes; 28(1); 163-168","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100023&lang=pt" 
"S0101-31222006000100024-scl","Genetic purity certificate in seeds of hybrid maize using molecular markers","Salgado, Kalinka Carla Padovani de Carvalho, Vieira, das Graças Guimarães Carvalho, Von Pinho, Édila Vilela de Resende, Guimarães, Cláudia Teixeira, Von Pinho, Renzo Garcia, Souza, Lourenço Viana de","Revista Brasileira de Sementes; 28(1); 169-175","Revista Brasileira de Sementes","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100024&lang=pt" 
"S0101-31222006000100025-scl","Desenvolvimento e validação de um sistema especialista para identificar fungos na análise sanitária de sementes","Alves, Marcelo de Carvalho, Pozza, Edson Ampélio, Machado, José da Cruz, Carvalho, Maria das Graças Guimarães","Revista Brasileira de Sementes; 28(1); 176-186","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100025&lang=pt" 
"S0101-31222006000100027-scl","Produção e qualidade fisiológica de sementes de coentro em função de doses de nitrogênio","Oliveira, Ademar Pereira de, Alves, Edna Ursulino, Bruno, Riselane de Lucena Alcântara, Sader, Rubens, Alves, Adriana Ursulino","Revista Brasileira de Sementes; 28(1); 193-198","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100027&lang=pt" 
"S0101-31222006000100020-scl","Deficiência hídrica induzida por diferentes agentes osmóticos na germinação e vigor de sementes de feijão","Machado Neto, Nelson Barbosa, Custódio, Ceci Castilho, Costa, Paulo Roberto, Doná, Fernando Lucas","Revista Brasileira de Sementes; 28(1); 142-148","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100020&lang=pt" 
"S0034-89102006000200019-spa","Manter ou suspender a revacinação BCG em adolescentes","Camargos, Paulo A M, Barreto, Maurício L, Alvim, Cristina, Bedran, Renata","Revista de Saúde Pública; 40(2); 318-320","Revista de Saúde Pública","Inglês, Português","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102006000200019&lang=pt" 
"S0004-27492006000200003-scl","MALKS®: especificações e desenvolvimento","Victor, Gustavo, Sousa, Sidney Julio de Faria e, Alves, Milton Ruiz, Nosé, Walton","Arquivos Brasileiros de Oftalmologia; 69(2); 151-155","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200003&lang=pt" 
"S0004-27492006000200004-scl","Análise comparativa da cirurgia do buraco macular associada à remoção da membrana limitante interna com e sem coloração pela indocianina verde","Brasil, Oswaldo Moura, Brasil, Oswaldo Ferreira Moura","Arquivos Brasileiros de Oftalmologia; 69(2); 157-160","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200004&lang=pt" 
"S0004-27492006000200013-scl","Avaliação das alterações fundoscópicas na miopia degenerativa","Brasil, Oswaldo Ferreira Moura, Brasil, Maria Vitoria Oliveira Moura, Japiassú, Ricardo Miguel, Biancardi, Ana Luiza, Souza, Débora Duarte de, Oliveira, Renato Corrêa de Souza, Moraes Jr., Haroldo Vieira de","Arquivos Brasileiros de Oftalmologia; 69(2); 203-206","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200013&lang=pt" 
"S0004-27492006000200014-scl","Utilização de recursos ópticos e equipamentos por escolares com deficiência visual","Montilha, Rita de Cássia Ietto, Temporini, Edméa Rita, Nobre, Maria Inês Rubo de Souza, Gasparetto, Maria Elisabete Rodrigues Freire, Kara-José, Newton","Arquivos Brasileiros de Oftalmologia; 69(2); 207-211","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200014&lang=pt" 
"S0004-27492006000200015-scl","Qualidade do serviço oftalmológico prestado aos pacientes ambulatoriais do Sistema Único de Saúde - SUS","Hercos, Benigno Vicente Santos, Berezovsky, Adriana","Arquivos Brasileiros de Oftalmologia; 69(2); 213-219","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200015&lang=pt" 
"S0004-27492006000200016-scl","Desenvolvimento de equipamento de auxílio à visão subnormal","Bonatti, Fernanda Alves da Silva","Arquivos Brasileiros de Oftalmologia; 69(2); 221-226","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200016&lang=pt" 
"S0004-27492006000200018-scl","Alterações oculares nos pacientes portadores de lúpus eritematoso sistêmico em acompanhamento ambulatorial","Klejnberg, Tatiana, Moraes Junior, Haroldo Vieira de","Arquivos Brasileiros de Oftalmologia; 69(2); 233-237","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200018&lang=pt" 
"S0004-27492006000200019-scl","Quantitative comparison of different-shaped wavefront sensors and preliminary results for defocus aberrations on a mechanical eye","Carvalho, Luis Alberto, Chamon, Wallace, Schor, Paulo, Castro, Jarbas Caiado de","Arquivos Brasileiros de Oftalmologia; 69(2); 239-247","Arquivos Brasileiros de Oftalmologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200019&lang=pt" 
"S0004-27492006000200022-scl","Retinopatia em paciente portador de hepatite C tratado com interferon peguilado e ribavirina: relato de caso","Ávila, Marcos Pereira de, Freitas, André Moraes, Isaac, David Leonardo Cruvinel, Bastos, André Luis de Moura, Pena, Rafael Valadares","Arquivos Brasileiros de Oftalmologia; 69(2); 255-259","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200022&lang=pt" 
"S0004-27492006000200026-scl","Associação do sistema de histocompatibilidade humano com doenças oftalmológicas","Alves, Crésio, Meyer, Isadora, Toralles, Maria Betânia Pereira, Marback, Roberto Lorens","Arquivos Brasileiros de Oftalmologia; 69(2); 273-278","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200026&lang=pt" 
"S0100-19652006000100012-scl","Como definir e identificar obras raras? Critérios adotados pela Biblioteca Central da Universidade de Caxias do Sul","Rodrigues, Márcia Carvalho","Ciência da Informação; 35(1); 115-121","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100012&lang=pt" 
"S0100-19652006000100007-scl","Percepção da qualidade da informação","Oleto, Ronaldo Ronan","Ciência da Informação; 35(1); 57-62","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100007&lang=pt" 
"S0100-19652006000100013-scl","Online Computer Library Center: perceptions of libraries and information resource","Cunha, Murilo Bastos da","Ciência da Informação; 35(1); 122-123","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100013&lang=pt" 
"S0100-19652006000100003-scl","Redes neurais e sua aplicação em sistemas de recuperação de informação","Ferneda, Edberto","Ciência da Informação; 35(1); 25-30","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100003&lang=pt" 
"S0100-19652006000100008-scl","Modelagem de um indicador bibliométrico para análise da dispersão de conhecimentos","Rummler, Guido","Ciência da Informação; 35(1); 63-71","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100008&lang=pt" 
"S0100-19652006000100010-scl","A inclusão social e digital de pessoas com limitação visual e o uso das tecnologias de informação e de comunicação na produção de páginas para a Internet","Estabel, Lizandra Brasil, Moro, Eliane Lourdes da Silva, Santarosa, Lucila Maria Costi","Ciência da Informação; 35(1); 94-101","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100010&lang=pt" 
"S0100-19652006000100001-scl","Processo de inclusão digital em rede empresarial do segmento de suprimentos industriais: utilização de tecnologias de informação e comunicação","Andrade, Sonia Cruz-Riascos de","Ciência da Informação; 35(1); 7-15","Ciência da Informação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652006000100001&lang=pt" 
"S1413-73722006000100001-scl","APRESENTAÇÃO","","Psicologia em Estudo; 11(1); 1-1","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100001&lang=pt" 
"S1413-73722006000100003-scl","A imagem da infância nas teses da faculdade de medicina do Rio de Janeiro - (1832-1930)&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Espírito Santo, Adriana Amaral do, Jacó-Vilela, Ana Maria, Ferreri, Marcelo de Almeida","Psicologia em Estudo; 11(1); 19-28","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100003&lang=pt" 
"S1413-73722006000100010-scl","Estudo comparativo das habilidades sociais de dependentes e não dependentes de álcool","Aliane, Poliana Patrício, Lourenço, Lélio Moura, Ronzani, Telmo Mota","Psicologia em Estudo; 11(1); 83-88","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100010&lang=pt" 
"S1413-73722006000100008-scl","Reflexões sobre a construção da parentalidade e o uso de estratégias educativas em famílias de baixo nível socioeconômico&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Bem, Laura Alonso de, Wagner, Adriana","Psicologia em Estudo; 11(1); 63-71","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100008&lang=pt" 
"S1413-73722006000100017-scl","Processos que levam à compreensão de textos","Andrade, Maria Waleska Camboim Lopes de, Dias, Maria da Graça Bompastor Borges","Psicologia em Estudo; 11(1); 147-154","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100017&lang=pt" 
"S1413-73722006000100021-scl","Uma visão crítica das políticas de descriminalização e de patologização do usuário de drogas","Nascimento, Ari Bassi","Psicologia em Estudo; 11(1); 185-190","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100021&lang=pt" 
"S1413-73722006000100025-scl","Análise do comportamento e experimentação: possibilidades de avanços no conhecimento sobre fenômenos psicológicos&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Viecili, Juliane, Kubo, Olga Mitsue","Psicologia em Estudo; 11(1); 219-221","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100025&lang=pt" 
"S1413-73722006000100026-scl","Psicologia e educação na Amazônia&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Toassa, Gisele","Psicologia em Estudo; 11(1); 223-224","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100026&lang=pt" 
"S1413-73722006000100005-scl","Conceito mente e corpo através da História","Castro, Maria da Graça de, Andrade, Tânia M. Ramos, Muller, Marisa C.","Psicologia em Estudo; 11(1); 39-43","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100005&lang=pt" 
"S1413-73722006000100002-scl","Construcción de tradiciones historiográficas en psicología y psicoanálisis","Klappenbach, Hugo","Psicologia em Estudo; 11(1); 3-17","Psicologia em Estudo","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100002&lang=pt" 
"S1413-73722006000100004-scl","História da saúde mental infantil: a criança brasileira da Colônia à República Velha","Ribeiro, Paulo Rennes Marçal","Psicologia em Estudo; 11(1); 29-38","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100004&lang=pt" 
"S1413-73722006000100007-scl","Ritual de casamento e planejamento do primeiro filho","Lopes, Rita de Cássia Sobreira, Menezes, Clarissa, Santos, Gisele Pinheiro dos, Piccinini, César Augusto","Psicologia em Estudo; 11(1); 55-61","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100007&lang=pt" 
"S1413-73722006000100009-scl","Habilidades sociais parentais e o relacionamento entre pais e filho&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Cia, Fabiana, Pereira, Camila de Sousa, Del Prette, Zilda Aparecida Pereira, Del Prette, Almir","Psicologia em Estudo; 11(1); 73-81","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100009&lang=pt" 
"S1413-73722006000100011-scl","Agressividade na adolescência: experiência e expressão da raiva&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Guimarães, Nicole Medeiros, Pasian, Sonia Regina","Psicologia em Estudo; 11(1); 89-97","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100011&lang=pt" 
"S1413-73722006000100012-scl","Padrões de parceria social e brincadeira em ambientes de creches&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Lordelo, Eulina da Rocha, Carvalho, Ana Maria Almeida","Psicologia em Estudo; 11(1); 99-108","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100012&lang=pt" 
"S1413-73722006000100013-scl","Brincar em unidades de atendimento pediátrico: aplicações e perspectivas&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Carvalho, Alysson Massote, Begnis, Juliana Giosa","Psicologia em Estudo; 11(1); 109-117","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100013&lang=pt" 
"S1413-73722006000100014-scl","Pensamento e linguagem: percurso piagetiano de investigação","Montoya, Adrián Oscar Dongo","Psicologia em Estudo; 11(1); 119-127","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100014&lang=pt" 
"S1413-73722006000100015-scl","Abordagem sociocultural: algumas vertentes e autores","Ribas, Adriana Ferreira Paes, Moura, Maria Lucia Seidl de","Psicologia em Estudo; 11(1); 129-138","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100015&lang=pt" 
"S1413-73722006000100016-scl","Dificuldades de aprendizagem na escrita e características emocionais de crianças","Bartholomeu, Daniel, Sisto, Fermino Fernandes, Marin Rueda, Fabián Javier","Psicologia em Estudo; 11(1); 139-146","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100016&lang=pt" 
"S1413-73722006000100018-scl","Religiosidade, enfrentamento e bem-estar subjetivo em pessoas vivendo com HIV/aids&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Faria, Juliana Bernardes de, Seidl, Eliane Maria Fleury","Psicologia em Estudo; 11(1); 155-164","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100018&lang=pt" 
"S1413-73722006000100019-scl","Configurações do ativismo anti-aids na contemporaneidade","Farias, Maio Spellman Quirino de, Dimenstein, Magda","Psicologia em Estudo; 11(1); 165-174","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100019&lang=pt" 
"S1413-73722006000100020-scl","Trabalhando com saúde: trabalho e transtornos mentais graves&lt;A NAME=&quot;n1&quot;&gt;&lt;/A&gt;","Zambroni-de-Souza, Paulo César","Psicologia em Estudo; 11(1); 175-183","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100020&lang=pt" 
"S1413-73722006000100022-scl","Música, comportamento social e relações interpessoais","Ilari, Beatriz","Psicologia em Estudo; 11(1); 191-198","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100022&lang=pt" 
"S1413-73722006000100024-scl","Estereótipos, mentiras e videotape: estudos experimentais sobre a acurácia na identificação da mentira","Pereira, Marcos Emanoel, Brasileiro, Roberta, Silva, Joice Ferreira da, Silva, Paula Bacellar e, Brachi, Daniela, Albuquerque, Flora","Psicologia em Estudo; 11(1); 209-218","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100024&lang=pt" 
"S1413-73722006000100023-scl","Valores humanos como explicadores de atitudes ambientais e intenção de comportamento pró-ambiental","Coelho, Jorge Artur Peçanha de Miranda, Gouveia, Valdiney Veloso, Milfont, Taciano Lemos","Psicologia em Estudo; 11(1); 199-207","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100023&lang=pt" 
"S1413-73722006000100006-scl","Algumas considerações sobre o uso do diagnóstico classificatório nas abordagens comportamental, cognitiva e sistêmica","Lopes, Ederaldo José, Lopes, Renata Ferrarez Fernandes, Lobato, Gledson Régis","Psicologia em Estudo; 11(1); 45-54","Psicologia em Estudo","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722006000100006&lang=pt" 
"S0004-27492006000200001-scl","Congresso Mundial de Oftalmologia, Panamericano e Brasileiro de Prevenção da Cegueira - Brasil: &quot;missão cumprida!&quot;","Muccioli, Cristina, Campos, Mauro, Goldchmit, Mauro, Dantas, Paulo E. C., Bechara, Samir J., Costa, Vital Paulino","Arquivos Brasileiros de Oftalmologia; 69(2); 143-143","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200001&lang=pt" 
"S0004-27492006000200011-scl","Análogos das prostaglandinas diminuem a sensibilidade do teste provocativo da ibopamina no glaucoma","Magacho, Leopoldo, Costa, Marcelus Layguel, Lima, Francisco Eduardo, Magacho, Bernardo, Ávila, Marcos Pereira de","Arquivos Brasileiros de Oftalmologia; 69(2); 193-196","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200011&lang=pt" 
"S0004-27492006000200010-scl","Retalho miocutâneo bipediculado para correção do ectrópio cicatricial","Lucci, Lucia Miriam Dumont, Baldin, Antonio Carlos, Fonseca Jr., Nilson Lopes da, Rehder, José Ricardo Carvalho Lima","Arquivos Brasileiros de Oftalmologia; 69(2); 187-192","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200010&lang=pt" 
"S0004-27492006000200009-scl","Ambliopia por estrabismo: estudo retrospectivo de pacientes em hospital universitário","Costa, Deborah Salerno, Klein, Rita de Cássia Andrade, Leite, Cristiane de Almeida, Ginguerra, Maria Antonieta da Anunciação, Polati, Mariza","Arquivos Brasileiros de Oftalmologia; 69(2); 181-185","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200009&lang=pt" 
"S0004-27492006000200008-scl","Alterações oculares em pacientes com tuberculose","Almeida, Simone Ribeiro Araújo de, Finamor, Luciana Peixoto, Muccioli, Cristina","Arquivos Brasileiros de Oftalmologia; 69(2); 177-179","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200008&lang=pt" 
