"S1414-81452015000100024-scl","Acontecimentos que antecederam a federalização da Escola Paulista de Enfermagem","Cardili, Carolina Vieira Cagnacci, Sanna, Maria Cristina","Escola Anna Nery; 19(1); 24-32","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100024&lang=pt" 
"S1517-97022015000100185-scl","Notas psicanalíticas: os discursos contemporâneos acerca da avaliação educacional no Brasil","Passone, Eric Ferdinando Kanai","Educação e Pesquisa; 41(1); 185-201","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100185&lang=pt" 
"S1517-97022015000100119-scl","Prevenção ao consumo abusivo de drogas na escola: desafios e possibilidades para a atuação do educador","Moreira, André, Vóvio, Claudia Lemos, Micheli, Denise De","Educação e Pesquisa; 41(1); 119-135","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100119&lang=pt" 
"S1517-97022015000100217-scl","Pensar arriscado: a relação entre filosofia e educação","Hermann, Nadja","Educação e Pesquisa; 41(1); 217-228","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100217&lang=pt" 
"S1517-97022015000100033-scl","A eficácia sociopedagógica da pena de privação da liberdade","Silva, Roberto da","Educação e Pesquisa; 41(1); 33-48","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100033&lang=pt" 
"S1517-97022015000100203-scl","Conhecimento, arte e formação na República de Platão","Oliveira, Damião Bezerra, Abreu, Waldir Ferreira de","Educação e Pesquisa; 41(1); 203-215","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100203&lang=pt" 
"S1517-97022015000100017-scl","Jean-Jacques Rousseau entre uma poética da superfície e a ideia de infância","Dozol, Marlene de Souza","Educação e Pesquisa; 41(1); 17-31","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100017&lang=pt" 
"S1517-97022015000100079-scl","Reforma agrária, trabalho agrícola e educação rural: desvelando conexões históricas da educação do campo","Ribeiro, Marlene","Educação e Pesquisa; 41(1); 79-100","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100079&lang=pt" 
"S1517-97022015000100063-scl","Campo e grupo: aproximação conceitual entre Pierre Bourdieu e a teoria moscoviciana das representações sociais","Lima, Rita de Cássia Pereira, Campos, Pedro Humberto Faria","Educação e Pesquisa; 41(1); 63-77","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100063&lang=pt" 
"S1517-97022015000100263-scl","Em busca da liberdade nas universidades: para que serve a pesquisa em educação?","Nóvoa, António","Educação e Pesquisa; 41(1); 263-272","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100263&lang=pt" 
"S1517-97022015000100049-scl","Trabalho e práxis e sua relação com as pedagogias de Célestin Freinet e de Paulo Freire","Boleiz Júnior, Flávio","Educação e Pesquisa; 41(1); 49-62","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100049&lang=pt" 
"S2175-62362015000100017-scl","A Formação na Maturidade como Apropriação da Própria História de Vida","Fooken, Insa","Educação &amp; Realidade; 40(1); 17-32","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100017&lang=pt" 
"S2175-62362015000100009-scl","Apresentação - Educação e Envelhecimento","Doll, Johannes, Ramos, Anne Carolina, Buaes, Caroline Stumpf","Educação &amp; Realidade; 40(1); 9-15","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100009&lang=pt" 
"S2175-62362015000100005-scl","Editorial","","Educação &amp; Realidade; 40(1); 5-6","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100005&lang=pt" 
"S2175-62362015000100081-scl","Metodologias e Estratégias Pedagógicas utilizadas por Educadores de uma Universidade Aberta à Terceira Idade","Cachioni, Meire, Ordonez, Tiago Nascimento, Batistoni, Samila Sathler Tavares, Lima-Silva, Thaís Bento","Educação &amp; Realidade; 40(1); 81-103","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100081&lang=pt" 
"S2175-62362015000100299-scl","As Lições Ainda Insuspeitas de Michel Foucault acerca da Formação Humana","Freitas, Alexandre Simão de","Educação &amp; Realidade; 40(1); 299-315","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100299&lang=pt" 
"S0103-84782015010400001-scl","Estudo mostra potencial da proteína de milho na produção de embalagens","Papalia, Indira, Londero, Patrícia","Ciência Rural; 45(3); 1-1","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015010400001&lang=pt" 
"S0103-84782015010400002-scl","Estudo descreve o padrão de desenvolvimento embrionário em éguas receptoras acíclicas tratadas com progesterona","Silva, Elisa Sant’Anna Monteiro da","Ciência Rural; 45(3); 2-2","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015010400002&lang=pt" 
"S1415-43662015000300231-scl","Armazenamento do crambe em diferentes embalagens e ambientes: Parte II - Qualidades química","Donadon, Juliana R., Bessa, Jaqueline F. V., Resende, Osvaldo, Castro, Carlos F. de S., Alves, Rosa M. V., Silveira, Eduardo V.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 231-237","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300231&lang=pt" 
"S1415-43662015000300238-scl","Cinética de secagem de folhas de timbó (Serjania marginata Casar)","Martins, Elton A. S., Lage, Eduardo Z., Goneli, André L. D., Hartmann Filho, Cesar P., Lopes, Jéssica G.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 238-244","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300238&lang=pt" 
"S1415-43662015000300266-scl","Diferentes formas de aplicação da semente de Moringa oleifera no tratamento de água","Arantes, Camila C., Paterniani, José E. S., Rodrigues, Danielle S., Hatori, Patrícia S., Pires, Marta S. G.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 266-272","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300266&lang=pt" 
"S1415-43662015000300293-scl","Rentabilidade na semeadura cruzada da cultura da soja","Silva, Paulo R. A., Tavares, Leandro A. F., Sousa, Saulo F. G. de, Correia, Tiago P. da S., Riquetti, Neilor B.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 293-297","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300293&lang=pt" 
"S1415-43662015000300211-scl","Crescimento de combinações copa - porta-enxerto de citros sob estresse hídrico em casa de vegetação","Soares, Lauriane A. dos A., Brito, Marcos E. B., Fernandes, Pedro D., Lima, Geovani S. de, Soares Filho, Walter dos S., Oliveira Filho, Eliamara S. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 211-217","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300211&lang=pt" 
"S1415-43662015000300218-scl","Análise da hidratação de grãos de alpiste","Lisbôa, Jemima F., Silva, José N., Cavalcanti, Mônica T., Silva, Emanuelle M. C. A., Gonçalves, Mônica C.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 218-223","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300218&lang=pt" 
"S1415-43662015000300273-scl","Mapeamento de cianobactérias por meio da fluorescência da ficocianina e de análise geoestatística","Utsumi, Alex G., Galo, Maria de L. B. T., Tachibana, Vilma M.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 273-279","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300273&lang=pt" 
"S1415-43662015000300224-scl","Armazenamento do crambe em diferentes embalagens e ambientes: Parte I - Qualidade fisiológica","Bessa, Jaqueline F. V., Donadon, Juliana R., Resende, Osvaldo, Alves, Rosa M. V., Sales, Juliana de F., Costa, Lílian M.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 224-230","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300224&lang=pt" 
"S1415-43662015000300280-scl","Qualidade física do solo sob diferentes sistemas de manejo e aplicação de dejeto líquido suíno","Oliveira, Dener M. S., Lima, Renato P. de, Verburg, Ernst E. Jan","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 280-285","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300280&lang=pt" 
"S1415-43662015000300286-scl","Determinação das propriedades geométricas, físicas e mecânicas do sistema fruto-pedúnculo-ramo do cafeeiro","Coelho, Andre L. de F., Santos, Fábio L., Pinto, Francisco A. C., Queiroz, Daniel M. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 286-292","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300286&lang=pt" 
"S1415-43662015000300204-scl","Interação entre salinidade e bioestimulante no crescimento inicial de pinhão-manso","Oliveira, Francisco de A. de, Guedes, Rodolfo A. A., Gomes, Lucas P., Bezerra, Francisco M. S., Lima, Luan A., Oliveira, Mychelle K. T. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(3); 204-210","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000300204&lang=pt" 
"S1413-24782015000100167-scl","Quarenta anos retratando a deficiência enquadres e enfoques da literatura infantojuvenil brasileira","BARROS, ALESSANDRA SANTANA SOARES E","Revista Brasileira de Educação; 20(60); 167-193","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100167&lang=pt" 
"S1413-24782015000100195-scl","Formas e manifestações da transdisciplinaridade na produção científico-académica em Portugal","CRUZ, ELISABETE, COSTA, FERNANDO ALBUQUERQUE","Revista Brasileira de Educação; 20(60); 195-213","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100195&lang=pt" 
"S1413-24782015000100077-scl","Temos de fazer um cavalo de troia: elementos para compreender a internacionalização da investigação e do ensino superior","ARAÚJO, EMÍLIA RODRIGUES, SILVA, SÍLVIA","Revista Brasileira de Educação; 20(60); 77-98","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100077&lang=pt" 
"S1413-24782015000100011-scl","Privatização da educação experiências dos Estados Unidos e outros países","KLEES, STEVEN J., EDWARDS JR., D. BRENT","Revista Brasileira de Educação; 20(60); 11-30","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100011&lang=pt" 
"S1413-24782015000100215-scl","O letramento e o brincar em processos de socialização na educação infantil brincadeiras diferentes","NEVES, VANESSA FERRAZ ALMEIDA, CASTANHEIRA, MARIA LÚCIA, GOUVÊA, MARIA CRISTINA SOARES","Revista Brasileira de Educação; 20(60); 215-244","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100215&lang=pt" 
"S1413-24782015000100051-scl","A POLÍTICA PÚBLICA DE EXPANSÃO PARA A EDUCAÇÃO SUPERIOR ENTRE 1995 E 2010: UMA ABORDAGEM NEOINSTITUCIONALISTA HISTÓRICA","CARVALHO, CRISTINA HELENA ALMEIDA DE","Revista Brasileira de Educação; 20(60); 51-76","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100051&lang=pt" 
"S1413-24782015000100121-scl","Ensino médio: unitário ou multiforme?","NOSELLA, PAOLO","Revista Brasileira de Educação; 20(60); 121-142","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000100121&lang=pt" 
"S1807-86212015000100117-scl","Liming and fertilisation in Pinus taeda plantations with severe nutrient deficiency in savanna soils","Batista, Araína Hulmann, Motta, Antônio Carlos Vargas, Reissmann, Carlos Bruno, Schneider, Thays, Martins, Iara Lang, Hashimoto, Maurício","Acta Scientiarum. Agronomy; 37(1); 117-125","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100117&lang=pt" 
"S1807-86212015000100075-scl","Effects on soil chemical attributes and cotton yield from ammonium sulfate and cover crops","Ferrari, Samuel, Júnior, Enes Furlani, Godoy, Leandro José Grava de, Ferrari, João Vitor, Souza, Wilson José Oliveira de, Alves, Elza","Acta Scientiarum. Agronomy; 37(1); 75-83","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100075&lang=pt" 
"S1807-86212015000100029-scl","Biological control of phytophagous arthropods in the physic nut tree Jatropha curcas L. in Brazil","Fernandes, Flávio Lemes, Fernandes, Maria Elisa de Sena, Lopes, Elisângela Novais, Venzon, Madelaine, Diniz, Juno Ferreira da Silva, Dias, Luís Antônio dos Santos","Acta Scientiarum. Agronomy; 37(1); 29-36","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100029&lang=pt" 
"S1807-86212015000100021-scl","The influence of nonlinear trends on the power of the trend-free pre-whitening approach","Blain, Gabriel Constantino","Acta Scientiarum. Agronomy; 37(1); 21-28","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100021&lang=pt" 
"S1807-86212015000100037-scl","Combining ability for common bacterial blight resistance in snap and dry bean (Phaseolus vulgaris L.)","Trindade, Roberto dos Santos, Rodrigues, Rosana, Júnior, Antonio Teixeira do Amaral, Gonçalves, Leandro Simões Azeredo, Viana, José Marcelo Soriano, Sudré, Claudia Pombo","Acta Scientiarum. Agronomy; 37(1); 37-43","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100037&lang=pt" 
"S1807-86212015000100001-scl","Reference evapotranspiration models using different time scales in the Jaboticabal region of São Paulo, Brazil","Caporusso, Natália Buzinaro, Rolim, Glauco de Souza","Acta Scientiarum. Agronomy; 37(1); 1-9","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100001&lang=pt" 
"S1807-86212015000100011-scl","Thermodynamic properties of water desorption of forage turnip seeds","Sousa, Kelly Aparecida de, Resende, Osvaldo, Goneli, André Luis Duarte, Smaniotto, Thaís Adriana de Souza, Oliveira, Daniel Emanuel Cabral de","Acta Scientiarum. Agronomy; 37(1); 11-19","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100011&lang=pt" 
"S1807-86212015000100061-scl","Aluminum toxicity in roots of legume seedlings assessed by topological analysis","Scheffer-Basso, Simone Meredith, Prior, Bruna Carla","Acta Scientiarum. Agronomy; 37(1); 61-68","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100061&lang=pt" 
"S0301-70362015000100011-mex","Política tecnológica en México: La industria de los plásticos","Ramírez, Bernardo","Problemas del desarrollo; 46(180); 181-183","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100011&lang=pt" 
"S0301-70362015000100012-mex","La globalización del subdesarrollo en el mundo del trabajo","Negrete, Armando","Problemas del desarrollo; 46(180); 184-186","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100012&lang=pt" 
"S0301-70362015000100009-mex","Crisis financiera en México y el mundo 1971-1997: Antología O. Sarahí Ángeles Cornejo","Chapoy, Alma","Problemas del desarrollo; 46(180); 175-177","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100009&lang=pt" 
"S0301-70362015000100008-mex","Argentina y su desarrollo posterior a la crisis financiera","Doyran, Mine Aysen","Problemas del desarrollo; 46(180); 151-174","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100008&lang=pt" 
"S0301-70362015000100007-mex","Relación entre la desigualdad de la renta y el crecimiento económico en Brasil: 1995-2012","Andrade Araujo, Jair, Cabral, Janaina","Problemas del desarrollo; 46(180); 129-150","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100007&lang=pt" 
"S0301-70362015000100006-mex","La Reforma Energética: a 20 años del TLCAN","Vargas, Rosío","Problemas del desarrollo; 46(180); 103-127","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100006&lang=pt" 
"S0301-70362015000100005-mex","Las reformas en México y el TLCAN","Cabrera, Sergio","Problemas del desarrollo; 46(180); 77-101","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100005&lang=pt" 
"S0301-70362015000100004-mex","Concentración empresarial y cambio estructural: alimentos, bebidas y tabaco en México","Vázquez, Raúl","Problemas del desarrollo; 46(180); 51-76","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100004&lang=pt" 
"S0301-70362015000100003-mex","Reestructuración productiva e integración: TLCAN 20 años después","Ruiz, Clemente","Problemas del desarrollo; 46(180); 27-50","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100003&lang=pt" 
"S0301-70362015000100002-mex","La &quot;Gran Transformación&quot; del Milagro Mexicano. A 20 años del TLCAN: de la adopción a la adaptación","Cordera, Rolando","Problemas del desarrollo; 46(180); 11-25","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100002&lang=pt" 
"S0301-70362015000100001-mex","Editorial","Girón, Alicia","Problemas del desarrollo; 46(180); 3-9","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100001&lang=pt" 
