"S0100-879X2016001000607-scl","Impact of acute undernutrition on growth, ileal morphology and nutrient transport in a murine model","Sampaio, I.C., Medeiros, P.H.Q.S., Rodrigues, F.A.P., Cavalcante, P.A., Ribeiro, S.A., Oliveira, J.S., Prata, M.M.G., Costa, D.V.S., Fonseca, S.G.C., Guedes, M.M., Soares, A.M., Brito, G.A.C., Havt, A., Moore, S.R., Lima, A.A.M.","Brazilian Journal of Medical and Biological Research; 49(10); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001000607&lang=pt" 
"S0104-07072016000200324-scl","WOMAN-WARRIOR, WOMAN-MAN: RECOGNITION OF THE WORK AND ITS MEANINGS IN THE PERCEPTION OF FEMALE RECYCLING WORKERS","Coelho, Alexa Pupiara Flores, Beck, Carmem Lúcia Colomé, Fernandes, Marcelo Nunes da Silva, Machado, Katiusci Lehnhard, Camponogara, Silviamar","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200324&lang=pt" 
"S0073-47212016000100211-scl","Quantifying zooplankton species: use of richness estimators","Castilho, Maria Carolina de A., Wisniewski, Maria José dos S., Wisniewski, Célio, Silva, Érika dos S.","Iheringia. Série Zoologia; 106(); -","Iheringia. Série Zoologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212016000100211&lang=pt" 
"S0104-07072016000200503-scl","ELEMENTS AND STRATEGIES FOR ETHICAL DECISION-MAKING IN NURSING","Nora, Carlise Rigon Dalla, Deodato, Sérgio, Vieira, Margarida Maria da Silva, Zoboli, Elma Lourdes Campos Pavone","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200503&lang=pt" 
"S0104-07072016000200321-scl","MANAGEMENT TECHNOLOGY FOR HOSPITAL INPATIENT CARE UNITS","Lorenzetti, Jorge, Gelbcke, Francine Lima, Vandresen, Lara","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200321&lang=pt" 
"S0104-07072016000200328-scl","CONCEPTUAL FRAMEWORK FOR THE STUDY OF MORAL DISTRESS IN NURSES","Ramos, Flávia Regina Souza, Barlem, Edison Luis Devos, Brito, Maria José Menezes, Vargas, Mara Ambrosina, Schneider, Dulcineia Ghizoni, Brehmer, Laura Cavalcanti de Farias","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200328&lang=pt" 
"S0104-07072016000200322-scl","THE EXPERIENCE OF PARENTS OF CHILDREN WITH CANCER IN TREATMENT FAILURE CONDITIONS","Alves, Karine de Melo Cezar, Comassetto, Isabel, Almeida, Thayse Gomes de, Trezza, Maria Cristina Soares Figueiredo, Silva, Jovânia Marques de Oliveira e, Magalhães, Ana Paula Nogueira de","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200322&lang=pt" 
"S0104-07072016000200323-scl","COMPETENCY BUILDING FOR HEALTH PROMOTION AND CHANGE IN THE CARE MODEL","Netto, Luciana, Silva, Kênia Lara, Rua, Marília dos Santos","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200323&lang=pt" 
"S0104-07072016000200325-scl","HANDING DOWN AND ADAPTION: THE CONSTRUCTION OF THE MATERIAL WORLD OF HEALTH CARE TECHNOLOGY IN SPAIN (1855-1955)","Arredondo-González, Claudia Patricia, Cuesta-Benjumea, Carmen De la, Ávila-Olivares, José Antonio","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200325&lang=pt" 
"S0104-07072016000200319-scl","INDEX OF PERFORATION OF PROCEDURE/SURGICAL GLOVES USED BY WORKERS IN THE PURGING OF A MATERIAL AND STERILIZATION CENTER","Trindade, Júnnia Pires de Amorim, Serra, Joyce Rutyelle da, Tipple, Anaclara Ferreira Veiga","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200319&lang=pt" 
"S0104-07072016000200327-scl","THE RIGHT TO DIE AND POWER OVER LIFE: KNOWLEDGE TO GOVERN THE BODIES","Cordeiro, Franciele Roberta, Kruse, Maria Henriqueta Luce","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200327&lang=pt" 
"S1414-81452016000300202-scl","Repercussões da proatividade no gerenciamento do cuidado: Percepções de enfermeiros","Ferreira, Gímerson Erick, Dall&#039;Agnol, Clarice Maria, Porto, Adrize Rutz","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300202&lang=pt" 
"S1414-81452016000300206-scl","Necessidades de cuidado de jovem vivenciando situação crônica por agravos concomitantes","Souza, Ítala Paris de, Bellato, Roseney, Araújo, Laura Filomena Santos de","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300206&lang=pt" 
"S1414-81452016000300207-scl","O apoio da rede social no cuidado domiciliar","Gomes, Ingrid Meireles, Lacerda, Maria Ribeiro, Rodrigues, Jéssica Alline Pereira, Camargo, Tatiana Braga de, Zatoni, Débora Cristina Paes, Nascimento, Verônica Silva","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300207&lang=pt" 
"S1414-81452016000300204-scl","Percepção dos trabalhadores da saúde sobre o cuidado às crises na Rede de Atenção Psicossocial","Zeferino, Maria Terezinha, Cartana, Maria do Horto Fontoura, Fialho, Marcelo Brandt, Huber, Manoela Ziegler, Bertoncello, Katia Cilene Godinho","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300204&lang=pt" 
"S1414-81452016000300209-scl","Capacidade de execução das atividades instrumentais de vida diária em idosos: Etnoenfermagem","Santos, George Luiz Alves, Santana, Rosimere Ferreira, Broca, Priscilla Valladares","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300209&lang=pt" 
"S1414-81452016000300208-scl","O trabalho da enfermagem em emergencia pediatrica na perspectiva dos acompanhantes","Neves, Fernanda Guimarães, Moraes, Juliana Rezende Montenegro Medeiros de, Morais, Rita de Cássia Melão, Souza, Tania Vignuda de, Ciuffo, Lia Leão, Oliveira, Isabel Cristina dos Santos","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300208&lang=pt" 
"S1414-81452016000300214-scl","Vivências de familiares cuidadores de pessoas idosas hospitalizadas e a experiência de intercorporeidade","Reis, Camila Calhau Andrade, Sena, Edite Lago da Silva, Menezes, Tânia Maria de Oliva","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300214&lang=pt" 
"S1414-81452016000300213-scl","Trabalho no consultório na rua: uso do software IRAMUTEQ no apoio à pesquisa qualitativa","Kami, Maria Terumi Maruyama, Larocca, Liliana Müller, Chaves, Maria Marta Nolasco, Lowen, Ingrid Margareth Voth, Souza, Viviam Mara Pereira de, Goto, Dora Yoko Nozaki","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300213&lang=pt" 
"S1414-81452016000300212-scl","Educação para cultura da segurança do paciente: Implicações para a formação profissional","Wegner, Wiliam, Silva, Silvana Cruz da, Kantorski, Karen Jeanne Cantarelli, Predebon, Caroline Maier, Sanches, Márcia Otero, Pedro, Eva Neri Rubim","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300212&lang=pt" 
"S1414-81452016000300901-scl","ERRATA","","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300901&lang=pt" 
"S0102-311X2016000609001-spa","Errata: Estudos publicados em periódicos indexados sobre decisões judiciais para acesso a medicamentos no Brasil: uma revisão sistemática","","Cadernos de Saúde Pública; 32(6); -","Cadernos de Saúde Pública","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2016000609001&lang=pt" 
"S0104-07072016000200201-scl","THE POST GRADUATE PROGRAM IN NURSING OF THE FEDERAL UNIVERSITY OF SANTA CATARINA: 40 YEARS CONTRIBUTING TO THE EXCELLENCE IN EDUCATION","Backes, Vânia Marli Schubert, Brüggemann, Odaléa Maria","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200201&lang=pt" 
"S0102-311X2016000609001-scl","Errata: Estudos publicados em periódicos indexados sobre decisões judiciais para acesso a medicamentos no Brasil: uma revisão sistemática","","Cadernos de Saúde Pública; 32(6); -","Cadernos de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016000609001&lang=pt" 
"S0073-47212016000100209-scl","Efectos del disturbio antrópico sobre las poblaciones de Leprolochus birabeni (Araneae, Zodariidae) en el Chaco Seco del noroeste de Argentina","Torres, Víctor M., González-Reyes, Andrea X., Rodriguez-Artigas, Sandra M., Corronca, José A.","Iheringia. Série Zoologia; 106(); -","Iheringia. Série Zoologia","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212016000100209&lang=pt" 
"S0073-47212016000100210-scl","Consistency in fruit preferences across the geographical range of the frugivorous bats  Artibeus ,  Carollia and  Sturnira (Chiroptera)","Parolin, Lays C., Bianconi, Gledson V., Mikich, Sandra B.","Iheringia. Série Zoologia; 106(); -","Iheringia. Série Zoologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212016000100210&lang=pt" 
"S0073-47212016000100212-scl","Habitat heterogeneity on feeding habit of two sympatric and congeneric characidae fishes in two tropical reservoirs","Lopes, Vanessa G., Nessimian, Jorge L., Da-Silva, Elidiomar R., Gomes, José Henrique C., Dias, Ana Carolina I. M., Souza, Leonardo C., Branco, Christina W.C.","Iheringia. Série Zoologia; 106(); -","Iheringia. Série Zoologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212016000100212&lang=pt" 
"S0104-07072016000200504-scl","CHILD GROWTH: CONCEPT ANALYSIS","Monteiro, Flávia Paula Magalhães, Araujo, Thelma Leite de, Cavalcante, Tahissa Frota, Leandro, Telma Alteniza, Sampaio Filho, Silvestre Péricles Cavalcante","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200504&lang=pt" 
"S0375-15892016000200008-sza","Assessment of heavy metal contamination in raw milk for human consumption","Younus, M., Abbas, T., Zafar, M., Raza, S., Khan, A., Saleem, A.H., Idrees, M.A., Nisa, Q.U., Akhtar, R., Saleem, G.","South African Journal of Animal Science; 46(2); 166-169","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000200008&lang=pt" 
"S0034-89102016000100602-scl","Emerging arboviruses and public health challenges in Brazil","Lima-Camara, Tamara Nunes","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100602&lang=pt" 
"S0034-89102016000100221-scl","Cross-Cultural adaptation of the General Functioning Scale of the Family","Pires, Thiago, Assis, Simone Gonçalves de, Avanci, Joviana Quintes, Pesce, Renata Pires","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100221&lang=pt" 
"S0034-89102016000100220-scl","The impact of migration on women’s mental health in the postpartum period","Almeida, Lígia Moreira, Costa-Santos, Cristina, Caldas, José Peixoto, Dias, Sónia, Ayres-de-Campos, Diogo","Revista de Saúde Pública; 50(); -","Revista de Saúde Pública","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102016000100220&lang=pt" 
"S0100-06832016000100528-scl","Solubility of Heavy Metals/Metalloid on Multi-Metal Contaminated Soil Samples from a Gold Ore Processing Area: Effects of Humic Substances","Boechat, Cácio Luiz, Pistóia, Vítor Caçula, Ludtke, Ana Cristina, Gianello, Clesio, Camargo, Flávio Anastácio de Oliveira","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100528&lang=pt" 
"S1405-888X2016000100005-mex","Biosorption of Cd, Cr, Mn, and Pb from aqueous solutions by Bacillus sp strains isolated from industrial waste activate sludge","García, Rocío, Campos, Juan, Cruz, Julio Alfonso, Calderón, Ma. Elena, Raynal, Ma. Elena, Buitrón, Germán","TIP. Revista especializada en ciencias químico-biológicas; 19(1); 5-14","TIP. Revista especializada en ciencias químico-biológicas","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-888X2016000100005&lang=pt" 
"S0036-46652016005000407-scl","CHYLOTHORAX IN PARACOCCIDIOIDOMYCOSIS","FERNANDES, Flávia Fonseca, ALVES, Victor Oliveira, SÁNCHEZ, Tarquino Erastides Gavilanes, PAULA, Wagner Diniz de, SANTANA, Alfredo Nicodemos Cruz","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000407&lang=pt" 
"S0036-46652016005000503-scl","ASSOCIATION OF EPSTEIN-BARR VIRUS (EBV) BUT NOT HUMAN PAPILLOMAVIRUS (HPV) WITH GINGIVITIS AND/OR PERIODONTITIS IN TRANSPLANTED INDIVIDUALS","BAEZ, Camila Freze, SAVASSI-RIBAS, Flavia, ROCHA, Wilker Menezes da, ALMEIDA, Stéphanie G. S., GONÇALVES, Marianna T. V., GUIMARÃES, Maria Angelica A. M., CAVALCANTI, Silvia Maria B., VARELLA, Rafael B.","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000503&lang=pt" 
"S0036-46652016005000237-scl","SAND FLY SPECIES COMPOSITION (DIPTERA: PSYCHODIDAE: PHLEBOTOMINAE) IN THE MUNICIPALITY OF CANTAGALO , AN AREA WITH SPORADIC CASES OF HUMAN CUTANEOUS LEISHMANIASIS IN RIO DE JANEIRO STATE, BRAZIL","PERES-DIAS, Quezia Nunes, OLIVEIRA, Claudete Diniz, SOUZA, Marcos Barbosa de, MEIRA, Antônio de Medeiros, VILLANOVA, Ciro Benigno","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000237&lang=pt" 
"S0036-46652016005000406-scl","Bartonella henselae AS A PUTATIVE CAUSE OF CONGENITAL CHOLESTASIS","VELHO, Paulo Eduardo Neves Ferreira, BELLOMO-BRANDÃO, Maria Ângela, DRUMMOND, Marina Rovani, MAGALHÃES, Renata Ferreira, HESSEL, Gabriel, BARJAS-CASTRO, Maria de Lourdes, ESCANHOELA, Cecília Amélia Fazzio, NEGRO, Gilda Maria Barbaro DEL, OKAY, Thelma Suely","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000406&lang=pt" 
"S0100-879X2016000800603-scl","Enhancement of anti-OVA IgG2c production in vivo by enalapril","Almeida, L.C., Muraro, L.S., Albuquerque, D.A.","Brazilian Journal of Medical and Biological Research; 49(8); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000800603&lang=pt" 
"S1984-46702016000300601-scl","Invading the natural marine substrates: a case study with invertebrates in South Brazil","Bumbeer, Janaína, Rocha, Rosana Moreira da","Zoologia (Curitiba); 33(3); -","Zoologia (Curitiba)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702016000300601&lang=pt" 
"S0100-879X2016000700702-scl","Predictors of early treatment discontinuation and severe anemia in a Brazilian cohort of hepatitis C patients treated with first-generation protease inhibitors","Miotto, N., Mendes, L.C., Zanaga, L.P., Goncales, E.S.L., Lazarini, M.S.K., Pedro, M.N., Goncales Jr., F.L., Stucchi, R.S.B., Vigani, A.G.","Brazilian Journal of Medical and Biological Research; 49(7); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000700702&lang=pt" 
"S1679-62252016000200209-scl","Diet-morphology relationship in the stream-dwelling characid Deuterodon stigmaturus (Gomes, 1947) (Characiformes: Characidae) is partially conditioned by ontogenetic development","Dala-Corte, Renato Bolson, Silva, Eliane Regina da, Fialho, Clarice Bernhardt","Neotropical Ichthyology; 14(2); -","Neotropical Ichthyology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252016000200209&lang=pt" 
