"S1676-06032008000300002-scl","Cirripedia Balanomorpha del estuario del Río Paripe (Isla de Itamaracá, Pernambuco, Brasil)","Farrapeira, Cristiane Maria Rocha","Biota Neotropica; 8(3); 31-39","Biota Neotropica","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300002&lang=pt" 
"S1516-93322008000300029-scl","","Yagui, Carlota Oliveira Rangel","Revista Brasileira de Ciências Farmacêuticas; 44(3); 533-533","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300029&lang=pt" 
"S1516-93322008000300028-scl","","Tirapegui, Julio","Revista Brasileira de Ciências Farmacêuticas; 44(3); 532-532","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300028&lang=pt" 
"S1516-93322008000300027-scl","","Landgraf, Mariza","Revista Brasileira de Ciências Farmacêuticas; 44(3); 532-532","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300027&lang=pt" 
"S1516-93322008000300026-scl","","Aizenstein, Moacyr","Revista Brasileira de Ciências Farmacêuticas; 44(3); 531-532","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300026&lang=pt" 
"S1516-93322008000300025-scl","","Yagui, Carlota Oliveira Rangel","Revista Brasileira de Ciências Farmacêuticas; 44(3); 531-531","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300025&lang=pt" 
"S1516-93322008000300001-scl","Editorial","Abdalla, Dulcineia Saes Parra, Galdino, Suely Lins, Fernandes, Ana Cristina, Pitta, Ivan da Rocha","Revista Brasileira de Ciências Farmacêuticas; 44(3); I-V","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300001&lang=pt" 
"S1516-93322008000300006-scl","História da radiofarmácia e as implicações da Emenda Constitucional N. 49","Santos-Oliveira, Ralph, Carneiro-Leão, Ana Maria dos Anjos","Revista Brasileira de Ciências Farmacêuticas; 44(3); 377-382","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300006&lang=pt" 
"S1516-93322008000300005-scl","Impressão molecular: uma estratégia promissora na elaboração de matrizes para a liberação controlada de fármacos","Figueiredo, Eduardo Costa, Dias, Ana Cristi Basile, Arruda, Marco Aurélio Zezzi","Revista Brasileira de Ciências Farmacêuticas; 44(3); 361-375","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300005&lang=pt" 
"S1516-93322008000300004-scl","Ciclização intramolecular: uma estratégia promissora no desenvolvimento de pró-fármacos","Santos, Cledir","Revista Brasileira de Ciências Farmacêuticas; 44(3); 349-360","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300004&lang=pt" 
"S1516-93322008000300007-scl","Development and in vitro evaluation of tablets based on the antichagasic benznidazole","Soares Sobrinho, José Lamartine, Lima, Luciana Neiva Antunes, Perrelli, Diego Cavalcanti, Silva, Jeckson Luiz da, Medeiros, Flávia Patrícia Morais de, Soares, Mônica Felts de La Roca, Rolim Neto, Pedro José","Revista Brasileira de Ciências Farmacêuticas; 44(3); 383-389","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300007&lang=pt" 
"S1516-93322008000300008-scl","Analysis of the essential oils from Calendula officinalis growing in Brazil using three different extraction procedures","Gazim, Zilda Cristina, Rezende, Claudia Moraes, Fraga, Sandra Regina, Dias Filho, Benedito Prado, Nakamura, Celso Vataru, Cortez, Diógenes Aparicio Garcia","Revista Brasileira de Ciências Farmacêuticas; 44(3); 391-395","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300008&lang=pt" 
"S1516-93322008000300011-scl","Exposição repetida à cafeína aumenta a atividade locomotora induzida pelo femproporex em ratos adolescentes e adultos","Paro, Ana Helena, Aizenstein, Moacyr Luiz, DeLucia, Roberto, Planeta, Cleópatra Silva","Revista Brasileira de Ciências Farmacêuticas; 44(3); 417-424","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300011&lang=pt" 
"S1516-93322008000300021-scl","Considerações sobre os medicamentos dispensados pelo SUS no município de Garruchos - RS","Petry, Raquel Denise, Pletsch, Marilei Uecker, Ferrazza, Mariane","Revista Brasileira de Ciências Farmacêuticas; 44(3); 503-508","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300021&lang=pt" 
"S1516-93322008000300019-scl","Avaliação dos efeitos depressores centrais do extrato etanólico das folhas de Synadenium umbellatum Pax. e de suas frações em camundongos albinos","Oliveira, Rodrigo Borges de, Nascimento, Marcus Vinícius Mariano, Valadares, Marize Campos, Paula, José Realino de, Costa, Elson Alves, Cunha, Luiz Carlos da","Revista Brasileira de Ciências Farmacêuticas; 44(3); 485-491","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300019&lang=pt" 
"S0101-20612008000300003-scl","Soja transgênica BRS 243 RR: determinação de macronutrientes e das isoflavonas daidzeína e genisteína por Cromatografia Líquida de Alta Eficiência (CLAE)","Alezandro, Marcela Roquim, Almeida, Sandra Aparecida de, Maia, Patrícia Penido, Carvalho, Helenice Aparecida de, Azevedo, Luciana, Vieira, Elisabeth Pizzamiglio","Food Science and Technology (Campinas); 28(3); 520-526","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300003&lang=pt" 
"S0101-20612008000300004-scl","Inclusão do farelo grosso de trigo na dieta e seu efeito sobre as propriedades físicas e sensoriais da carne caprina","Dias, Argélia Maria Araújo, Maciel, Maria Inês Sucupira, Batista, Ângela Maria Vieira, Carvalho, Francisco Fernando Ramos de, Guim, Adriana, Silva, Gilvan","Food Science and Technology (Campinas); 28(3); 527-533","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300004&lang=pt" 
"S0101-20612008000300006-scl","Palmito de pupunha (Bactris gasipaes Kunth.) composição mineral e cinética de enzimas oxidativas","Galdino, Nathália Ottoboni, Clemente, Edmar","Food Science and Technology (Campinas); 28(3); 540-544","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300006&lang=pt" 
"S0101-20612008000300007-scl","Qualidade do suco de maracujá-amarelo em diferentes épocas de colheita","Vianna-Silva, Thais, Resende, Eder Dutra de, Viana, Alexandre Pio, Pereira, Silvia Menezes de Faria, Carlos, Lanamar de Almeida, Vitorazi, Letícia","Food Science and Technology (Campinas); 28(3); 545-550","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300007&lang=pt" 
"S0101-20612008000300008-scl","Avaliação do potencial antioxidante e extração subcrítica do óleo de linhaça","Galvão, Elisângela Lopes, Silva, Débora Cristina Fernandes da, Silva, Jamile Oliveira da, Moreira, Ana Vládia Bandeira, Sousa, Elisa Maria Bittencourt Dutra de","Food Science and Technology (Campinas); 28(3); 551-557","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300008&lang=pt" 
"S0101-20612008000300009-scl","Características físico-químicas e nutricionais de pimentão produzido em campo e hidroponia","Rinaldi, Maria Madalena, Sandri, Delvio, Ribeiro, Michelle de Oliveira, Amaral, Adriana Garcia do","Food Science and Technology (Campinas); 28(3); 558-563","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300009&lang=pt" 
"S0101-20612008000300011-scl","Qualidade da manga e polpa da manga Ubá","Benevides, Selene Daiha, Ramos, Afonso Mota, Stringheta, Paulo César, Castro, Vanessa Cristina","Food Science and Technology (Campinas); 28(3); 571-578","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300011&lang=pt" 
"S0101-20612008000300012-scl","Avaliação qualitativa do hábito de leitura e entendimento: recepção das informações de produtos alimentícios","Marins, Bianca Ramos, Jacob, Silvana do Couto, Peres, Frederico","Food Science and Technology (Campinas); 28(3); 579-585","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300012&lang=pt" 
"S0101-20612008000300015-scl","Extração enzimática das proteínas da farinha de arroz","Vieira, Claudia Regina, Lopes Jr., Carlos de Oliveira, Ramos, Camila Salles, Capobiango, Michely, Silvestre, Marialice Pinto Coelho","Food Science and Technology (Campinas); 28(3); 599-606","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300015&lang=pt" 
"S0101-20612008000300016-scl","Carboidratos das fibras de cotilédones e proteínas de produtos derivados de soja (Glycine max (L.) Merril)","Seibel, Neusa Fátima, Beléia, Adelaide Del Pino","Food Science and Technology (Campinas); 28(3); 607-613","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300016&lang=pt" 
"S0101-20612008000300017-scl","Alterações físico-químicas em morangos (Fragaria anassa Duch.) irradiados e armazenados","Françoso, Iara Luiza Tassim, Couto, Meylene Aparecida Luzia, Canniatti-Brazaca, Solange Guidolin, Arthur, Valter","Food Science and Technology (Campinas); 28(3); 614-619","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300017&lang=pt" 
"S0101-20612008000300019-scl","Pellets de trigo e soja produzidos por extrusão","Wang, Sin Huei, Nascimento, Talita Pimenta do, Batista, Gláucia da Silva, Meneses, Samantha Piler de, Ascheri, José Luis Ramírez","Food Science and Technology (Campinas); 28(3); 629-634","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300019&lang=pt" 
"S0101-20612008000300020-scl","Teores de cátions dos vinhos da Serra Gaúcha","Rizzon, Luiz Antenor, Salvador, Magda Beatris Gatto, Miele, Alberto","Food Science and Technology (Campinas); 28(3); 635-641","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300020&lang=pt" 
"S0101-20612008000300021-scl","Imobilização de enzimas de milho maltado em gel","Silva, Rosa Luísa de Farias Oliveira Bezerra e, Souza, Roberto Rodrigues de, Santana, José Carlos Curvelo, Tambourgi, Elias Basile","Food Science and Technology (Campinas); 28(3); 642-648","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300021&lang=pt" 
"S0101-20612008000300022-scl","Diferenças entre bananas de cultivares Prata e Nanicão ao longo do amadurecimento: características físico-químicas e compostos voláteis","Nascimento Junior, Baraquizio Braga do, Ozorio, Leonardo Peçanha, Rezende, Claudia Moraes, Soares, Antônio Gomes, Fonseca, Marcos José de Oliveira","Food Science and Technology (Campinas); 28(3); 649-658","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300022&lang=pt" 
"S0101-20612008000300025-scl","Avaliação quantitativa de monoepoxiácidos, monocetoácidos e monohidroxiácidos em óleos e gorduras provenientes de fritura descontínua de batatas","Machado, Eliana Rodrigues, Marmesat, Susana, Dobarganes, María del Carmen, Abrantes, Shirley","Food Science and Technology (Campinas); 28(3); 675-682","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300025&lang=pt" 
"S0101-20612008000300026-scl","Desenvolvimento de bebida mista à base de água de coco e suco de acerola","Lima, Andréa da Silva, Maia, Geraldo Arraes, Souza, Paulo Henrique Machado de, Silva, Fernanda Vanessa Gomes da, Figueiredo, Evânia Altina Teixeira de","Food Science and Technology (Campinas); 28(3); 683-690","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300026&lang=pt" 
"S0101-20612008000300027-scl","Efecto del pH y de la adición de fosfatos de sodio sobre las propiedades de gelificación y emulsión de surimi de trucha arco-iris (Oncorhynchus mykiss)","Díaz-Vela, Juan, Pérez-Chabela, María de Lourdes, Totosaus, Alfonso","Food Science and Technology (Campinas); 28(3); 691-695","Food Science and Technology (Campinas)","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300027&lang=pt" 
"S0101-20612008000300029-scl","Physico-chemical characterization and bioactive compounds of blackberry fruits (Rubus sp.) grown in Brazil","Hassimotto, Neuza Mariko Aymoto, Mota, Renata Vieira da, Cordenunsi, Beatriz Rosana, Lajolo, Franco Maria","Food Science and Technology (Campinas); 28(3); 702-708","Food Science and Technology (Campinas)","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300029&lang=pt" 
"S0101-20612008000300030-scl","Lactobacillus plantarum AJ2 isolated from naturally fermented sausage and its effects on the technological properties of Milano-type salami","Sawitzki, Maristela Cortez, Fiorentini, Ângela Maria, Cunha Junior, Anildo, Bertol, Teresinha Marisa, Sant&#039;Anna, Ernani Sebastião","Food Science and Technology (Campinas); 28(3); 709-717","Food Science and Technology (Campinas)","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300030&lang=pt" 
"S0101-20612008000300035-scl","Aproveitamento de vísceras não comestíveis de aves para elaboração de farinha de carne","Costa, Denise Pinheiro Soncini, Romanelli, Pedro Fernando, Trabuco, Elizeu","Food Science and Technology (Campinas); 28(3); 746-752","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300035&lang=pt" 
"S0101-20612008000300036-scl","Isolamento de coliformes, estafilococos e enterococos de leite cru provenientes de tanques de refrigeração por expansão comunitários: identificação, ação lipolítica e proteolítica","Tebaldi, Victor Maximiliano Reis, Oliveira, Thales Leandro Coutinho de, Boari, Cleube Andrade, Piccoli, Roberta Hilsdorf","Food Science and Technology (Campinas); 28(3); 753-760","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300036&lang=pt" 
"S1516-93322008000300003-scl","Inovação, persistência e criatividade superando barreiras no desenvolvimento de alimentos probióticos","Komatsu, Tiemy Rosana, Buriti, Flávia Carolina Alonso, Saad, Susana Marta Isay","Revista Brasileira de Ciências Farmacêuticas; 44(3); 329-347","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300003&lang=pt" 
"S1516-93322008000300009-scl","Presença de excipientes com potencial para indução de reações adversas em medicamentos comercializados no Brasil","Silva, Antonio Vinicios Alves da, Fonseca, Said Gonçalves da Cruz, Arrais, Paulo Sérgio Dourado, Francelino, Eudiana Vale","Revista Brasileira de Ciências Farmacêuticas; 44(3); 397-405","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300009&lang=pt" 
"S1516-93322008000300010-scl","Organophosphate and carbamate poisonings in the northwest of Paraná state, Brazil from 1994 to 2005: clinical and epidemiological aspects","Ferreira, Alexandre, Maroco, Elisangela, Yonamine, Mauricio, Oliveira, Magda Lúcia Félix de","Revista Brasileira de Ciências Farmacêuticas; 44(3); 407-415","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300010&lang=pt" 
"S1516-93322008000300012-scl","Teores de chumbo e cádmio em chás comercializados na região metropolitana de Belo Horizonte","Vulcano, Irma Regina Carrara, Silveira, Josianne Nicácio, Alvarez-Leite, Edna Maria","Revista Brasileira de Ciências Farmacêuticas; 44(3); 425-431","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300012&lang=pt" 
"S1516-93322008000300015-scl","Effect of pharmaceutical care intervention on blood pressure of elderly outpatients with hypertension","Lyra Júnior, Divaldo Pereira de, Marcellini, Paulo Sergio, Pelá, Irene Rosemir","Revista Brasileira de Ciências Farmacêuticas; 44(3); 451-457","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300015&lang=pt" 
"S1516-93322008000300016-scl","Influência do hábito de fumar na excreção urinária do ácido trans, trans-mucônico","Menezes, Maico de, Balbão, Marina Salviato, Siqueira, Maria Elisa Pereira Bastos de, Martins, Isarita","Revista Brasileira de Ciências Farmacêuticas; 44(3); 459-464","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300016&lang=pt" 
"S1516-93322008000300017-scl","A dispensação de medicamentos: uma reflexão sobre o processo para prevenção, identificação e resolução de problemas relacionados à farmacoterapia","Galato, Dayani, Alano, Graziela Modolon, Trauthman, Silvana Cristina, Vieira, Ana Cristina","Revista Brasileira de Ciências Farmacêuticas; 44(3); 465-475","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300017&lang=pt" 
"S1516-93322008000300018-scl","Design and release characteristics of sustained release tablet containing metformin HCl","Basak, Subal Chandra, Kumar, Kesevan Senthil, Ramalingam, Murugesan","Revista Brasileira de Ciências Farmacêuticas; 44(3); 477-483","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300018&lang=pt" 
"S1516-93322008000300022-scl","Reproductive performance and embriotoxicity of rats exposed to carbamazepine","Gerenutti, Marli, Oliveira, Carolina Clavijos de, Miranda, Aliana Conceição Ribeiro de, Rosa, Raquel Mendonça, Del Fiol, Fernando de Sá","Revista Brasileira de Ciências Farmacêuticas; 44(3); 509-514","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300022&lang=pt" 
"S1516-93322008000300023-scl","Morphoanatomic aspects and phytochemical screening of Plinia edulis (Vell.) Sobral (Myrtaceae)","Ishikawa, Tati, Kato, Edna Tomiko Myiake, Yoshida, Massayoshi, Kaneko, Telma Mary","Revista Brasileira de Ciências Farmacêuticas; 44(3); 515-520","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300023&lang=pt" 
"S1516-93322008000300024-scl","Effect of crude extracts of leaves of Smallanthus sonchifolius (yacon) on glycemia in diabetic rats","Baroni, Silmara, Suzuki-Kemmelmeier, Fumie, Caparroz-Assef, Silvana Martins, Cuman, Roberto Kenji Nakamura, Bersani-Amado, Ciomar Aparecida","Revista Brasileira de Ciências Farmacêuticas; 44(3); 521-530","Revista Brasileira de Ciências Farmacêuticas","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300024&lang=pt" 
"S1516-93322008000300020-scl","Capacidade da matriz extracelular da medula óssea de induzir proliferação de células mielóides in vitro no modelo de desnutrição protéica em camundongos","Vituri, Cidônia de Lourdes, Alvarez-Silva, Márcio, Trentin, Andréa Gonçalves, Borelli, Primavera","Revista Brasileira de Ciências Farmacêuticas; 44(3); 493-501","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300020&lang=pt" 
"S0101-20612008000300014-scl","Caracterização reológica de sorvetes","Oliveira, Katherine Helena, Souza, José Antonio Ribeiro de, Monteiro, Alcilene Rodrigues","Food Science and Technology (Campinas); 28(3); 592-598","Food Science and Technology (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612008000300014&lang=pt" 
"S0103-166X2008000300014-scl","Pressão alta e stress: o que fazer agora?","Domingos, Neide Aparecida Micelli","Estudos de Psicologia (Campinas); 25(3); 461-462","Estudos de Psicologia (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2008000300014&lang=pt" 
"S0103-166X2008000300001-scl","Experiencia en la mnemotecnia y aprendizaje incidental con imágenes normales y raras","Campos, Alfredo, Gómez-Juncal, Rocío, Pérez-Fabello, María José","Estudos de Psicologia (Campinas); 25(3); 321-331","Estudos de Psicologia (Campinas)","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2008000300001&lang=pt" 
"S0103-166X2008000300008-scl","Compreensão de texto e desempenho acadêmico em estudantes de psicologia","Silva, Elza Maria Tavares, Witter, Geraldina Porto","Estudos de Psicologia (Campinas); 25(3); 395-403","Estudos de Psicologia (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2008000300008&lang=pt" 
"S0103-166X2008000300013-scl","Análise microgenética do funcionamento cognitivo de crianças por meio do jogo Matix","Cavalcante, Christiany Maria Bassetti, Ortega, Antonio Carlos","Estudos de Psicologia (Campinas); 25(3); 449-459","Estudos de Psicologia (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2008000300013&lang=pt" 
"S0103-166X2008000300012-scl","Reflexões sobre o magnetismo animal: contribuições para revisão da história da psicologia","Neubern, Maurício da Silva","Estudos de Psicologia (Campinas); 25(3); 439-448","Estudos de Psicologia (Campinas)","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2008000300012&lang=pt" 
