"S0719-26812015000300010-chl","LOS TEXTOS ESCOLARES EN CONFLICTO CON LA SUBALTERNIDAD: LA GUERRA DEL PACÍFICO EN LAS AULAS","Chaupis Torres, José","Diálogo andino; (48); 99-108","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300010&lang=pt" 
"S2227-18992015000300004-cub","Acerca de la aplicación de MapReduce + Hadoop en el tratamiento de Big Data","Hernández Dominguez, Antonio, Hernández Yeja, Adrian","Revista Cubana de Ciencias Informáticas; 9(3); 49-62","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300004&lang=pt" 
"S2227-18992015000300007-cub","El desarrollo de la habilidad: implementar algoritmos. Teoría para su operacionalización","de la Caridad Saez Villavicencio, Anisley, Ciudad Ricardo, Febe Ángel, Puentes Puentes, Ursula, Menéndez Pérez, Jorge Sergio","Revista Cubana de Ciencias Informáticas; 9(3); 99-112","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300007&lang=pt" 
"S2227-18992015000300001-cub","Definición de una estrategia de transición de la arquitectura empresarial en un entorno industrial-biotecnológico","Llerena Ferrer, Raimundo","Revista Cubana de Ciencias Informáticas; 9(3); 1-17","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300001&lang=pt" 
"S2227-18992015000300006-cub","Instrumento para determinar los niveles de efectividad de una capacitación en el contexto Universidad-Industria (Software)","Estrada Molina, Odiel, Pérez Pino, María Teresa, Blanco Hernández, Sahara María","Revista Cubana de Ciencias Informáticas; 9(3); 75-98","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300006&lang=pt" 
"S2227-18992015000300005-cub","Preparación de los docentes desde la informática y la pedagogía para el uso de moodle","Blanco Hernández, Sahara María, Ciudad Ricardo, Febe Ángel, Puentes Puentes, Úrsula","Revista Cubana de Ciencias Informáticas; 9(3); 63-74","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300005&lang=pt" 
"S1980-50982015000300765-scl","REGISTRO DA OCORRÊNCIA DE Hypsipylaferrealis e Hypsipyla grandella (LEPIDOPTERA: PYRALIDAE) EM FRUTOS DE ANDIROBEIRAS (Carapaguianensis, MELIACEAE) EM MACAPÁ - AP, BRASIL","Jesus-Barros, Cristiane Ramos de, Lira-Guedes, Ana Cláudia, Guedes, Marcelino Carneiro, Guabiraba-Ribeiro, Gabrielly, Barbosa, Elilson de Jesus","Ciência Florestal; 25(3); 765-769","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300765&lang=pt" 
"S2227-18992015000300002-cub","Marco de trabajo para la gestión centralizada de trazas de seguridad usando herramientas de código abierto","Porven Rubier, Joelsy, Montesino Perurena, Raydel","Revista Cubana de Ciencias Informáticas; 9(3); 18-32","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300002&lang=pt" 
"S2227-18992015000300003-cub","Sistema experto para la elección del tipo de recuperación en canteras de materiales de construcción","Rosario Ferrer, Yiezenia, Jiménez Roché, Katiusca, Argüelles Castillo, Daylín, Montes de Oca Risco, Alexis","Revista Cubana de Ciencias Informáticas; 9(3); 33-48","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300003&lang=pt" 
"S1980-50982015000300667-scl","ESTAQUIA DE ÁRVORES ADULTAS DE Paulownia fortunei var. mikado A PARTIR DE BROTAÇÕES EPICÓRMICAS DE DECEPA","Stuepp, Carlos André, Wendling, Ivar, Koehler, Henrique Soares, Zuffellato-Ribas, Katia Christina","Ciência Florestal; 25(3); 667-677","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300667&lang=pt" 
"S1980-50982015000300721-scl","PAINEL AGLOMERADO DE RESÍDUOS AGROINDUSTRIAIS","Cravo, Julio Cesar Machado, Sartori, Diogo de Lucca, Fiorelli, Juliano, Balieiro, Julio Cesar de Carvalho, Savastano Junior, Holmer","Ciência Florestal; 25(3); 721-730","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300721&lang=pt" 
"S1980-50982015000300617-scl","ATRIBUTOS QUÍMICOS E FÍSICOS DO SOLO, ESTOQUES DE CARBONO E NITROGÊNIO E FRAÇÕES HÚMICAS EM DIFERENTES FORMAÇÕES VEGETAIS","Giácomo, Romulo Guimarães, Pereira, Marcos Gervasio, Guareschi, Roni Fernandes, Machado, Deivid Lopes","Ciência Florestal; 25(3); 617-631","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300617&lang=pt" 
"S1980-50982015000300679-scl","AVALIAÇÃO DE PLANTIOS DE PARICÁ (Schizolobium parahyba var. amazonicum (Huber ex Ducke) Barneby DE DIFERENTES IDADES E SISTEMAS DE CULTIVO NO MUNICÍPIO DE AURORA DO PARÁ - PA (BRASIL)","Cordeiro, Iracema Maria Castro Coimbra, Barros, Paulo Luiz Contente de, Lameira, Osmar Alves, Gazel Filho, Aderaldo Batista","Ciência Florestal; 25(3); 679-687","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300679&lang=pt" 
"S1980-50982015000300743-scl","CLONAGEM DE Cnidoscolus quercifolius POR ALPORQUIA","Campos, Gustavo Nóbrega Ferreira, Arriel, Eder Ferreira, Noberto, Maria Nilvânia Silva, Farias Junior, José Aminthas, Silva, Veronica Vicente Monteiro, Freire, Antônio Lucineudo Oliveira","Ciência Florestal; 25(3); 743-749","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300743&lang=pt" 
"S1980-50982015000300781-scl","ANÁLISE DE AGRUPAMENTOS EM REMANESCENTE DE FLORESTA ESTACIONAL DECIDUAL","Almeida, Clarice Maboni de, Araujo, Maristela Machado, Longhi, Solon Jonas, Rovedder, Ana Paula, Sccoti, Marta Silvana Volpato, d&#039;Avila, Márcia, Aimi, Suelen Carpenedo, Tonetto, Thaíse da Silva","Ciência Florestal; 25(3); 781-789","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300781&lang=pt" 
"S1980-50982015000300571-scl","SOBREVIVÊNCIA, CRESCIMENTO E PRODUTIVIDADE DE PLANTAS DE ERVA-MATE PRODUZIDAS POR MINIESTACAS JUVENIS E POR SEMENTES","Santin, Delmar, Wendling, Ivar, Benedetti, Eliziane Luiza, Morandi, Divercindo, Domingos, Danilo Martin","Ciência Florestal; 25(3); 571-579","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300571&lang=pt" 
"S1980-50982015000300563-scl","UMEDECIMENTO DO SUBSTRATO E TEMPERATURA NA GERMINAÇÃO DE SEMENTES DE Parkia platycephala BENTH.","Gonçalves, Edilma Pereira, França, Pablo Radamés Cabral de, Viana, Jeandson Silva, Alves, Edna Ursulino, Guedes, Roberta Sales, Lima, Cosmo Rufino de","Ciência Florestal; 25(3); 563-569","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000300563&lang=pt" 
"S0121-45002015000300004-col","Intercorrências em hemodiálise e avaliação da saúde de pacientes renais crônicos","Coitinho, Daiana, Rieth Benetti, Eliane Raquel, Ubessi, Liamara Denise, Barbosa, Dulce Aparecida, Kirchner, Rosane Maria, de Azevedo Guido, Laura, Fernandes Stumm, Eniva Miladi","Avances en Enfermería; 33(3); 362-371","Avances en Enfermería","Português","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300004&lang=pt" 
"S0121-45002015000300009-col","El acto de cuidado de enfermería como fundamentación del quehacer profesional e investigativo","Delgado Bravo, Adriana Isabel, Naranjo Toro, Miguel Edmundo","Avances en Enfermería; 33(3); 412-419","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300009&lang=pt" 
"S0121-45002015000300005-col","Uso de terapias integrativas e complementares por pacientes em quimioterapia","Felipette Lima, Julyane, Ceolin, Silvana, Knob Pinto, Bruna, Vestena Zilmmer, Juliana Graciela, Manfrin Muniz, Rosani, Schwartz, Eda","Avances en Enfermería; 33(3); 372-380","Avances en Enfermería","Português","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300005&lang=pt" 
"S0121-45002015000300010-col","Enfermería UN: a un lustro del centenario","González Consuegra, Renata Virginia","Avances en Enfermería; 33(3); 420-433","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300010&lang=pt" 
"S0121-45002015000300002-col","Educación en salud y seguridad para los comités paritarios de seguridad y salud en el trabajo","Mahecha Angulo, Myriam, Vásquez Mendoza, Evelyn María, Leonilde Galindo, Magda","Avances en Enfermería; 33(3); 343-351","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300002&lang=pt" 
"S0121-45002015000300006-col","Experiencia de estar hospitalizado en una unidad de cuidado intensivo coronario de Barranquilla","Santiago de Castro, Ernestina, Vargas Rosero, Elizabeth","Avances en Enfermería; 33(3); 381-390","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300006&lang=pt" 
"S1646-107X2015000300010-prt","Escala de Crenças Irracionais aplicadas a atletas: Proposta de interpretação através do Modelo de Créditos Parciais","Peixoto, Evandro Morais, Nakano, Tatiana Cássia, Palma, Bartira Pereira","Motricidade; 11(3); 92-105","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300010&lang=pt" 
"S1646-107X2015000300008-prt","Pacientes com a Doença de Parkinson são capazes de melhorar seu desempenho em tarefas virtuais do Xbox Kinect®: “uma série de casos”","Mendes, Felipe Augusto dos Santos, Arduini, Lilian, Botelho, Aparecida, Cruz, Mariana Busche da, Santos-Couto-Paz, Clarissa Cardoso, Pompeu, Sandra Maria Alvarenga Anti, Piemonte, Maria Elisa Pimentel, Pompeu, José Eduardo","Motricidade; 11(3); 68-80","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300008&lang=pt" 
"S1646-107X2015000300005-prt","O papel de mediação das necessidades psicológicas na associação entre o suporte de autonomia e o bem-estar psicológico em praticantes de fitness","Moutão, João, Alves, Susana Mendes, Monteiro, Diogo, Cid, Luís","Motricidade; 11(3); 29-40","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300005&lang=pt" 
"S1646-107X2015000300016-prt","Comportamento Sedentário em Idosos: Uma Revisão Sistemática","Santos, Rafaela Gomes dos, Medeiros, Jéssica Cristina, Schmitt, Beatriz Dittrich, Meneguci, Joilson, Santos, Douglas Assis Teles, Damião, Renata, Tribess, Sheilla, Júnior, Jair Sindra Virtuoso","Motricidade; 11(3); 171-186","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300016&lang=pt" 
"S1646-107X2015000300003-prt","Análise do tempo de reação a partir do desempenho motor de adolescentes praticantes do nado Crawl","Smidt, Guilherme Ribas, Soares, Ellen dos Santos, Piovesan, Ana Carla, Alpes, Ana Cristina, Silva, Marta Rodrigues da, Corazza, Sara Teresinha","Motricidade; 11(3); 11-19","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300003&lang=pt" 
"S1646-107X2015000300009-prt","Retenção da capacidade funcional em mulheres idosas após a cessação de um programa de treino multicomponente: estudo longitudinal de 3 anos","Leitão, Luis Filipe, Brito, João, Leitão, Ana, Pereira, Ana, Conceição, Ana, Silva, António, Louro, Hugo","Motricidade; 11(3); 81-91","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300009&lang=pt" 
"S1646-107X2015000300013-prt","A abordagem mediática sobre o desporto paralímpico: perspetivas de atletas portugueses","Marques, Renato Francisco Rodrigues, Marivoet, Salomé, Almeida, Marco Antonio Bettine de, Gutierrez, Gustavo Luis, Menezes, Rafael Pombo, Nunomura, Myrian","Motricidade; 11(3); 123-147","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300013&lang=pt" 
"S1646-107X2015000300012-prt","Associação e poder discriminatório da atividade física para a prevenção da sarcopenia em mulheres pós-menopáusicas","Pitanga, Cristiano Penas Seara, Pitanga, Francisco José Gondim, Gabriel, Ronaldo Eugênio Calçada Dias, Moreira, Maria Helena Rodrigues","Motricidade; 11(3); 114-122","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300012&lang=pt" 
"S1646-107X2015000300014-prt","Resistance exercise performed with repetitions until failure affects nocturnal blood pressure decreases in hypertensive women","Correia, Marilia de Almeida, Lima, Aluísio Henrique Rodrigues Andrade, Cardoso-Junior, Crivaldo Gomes, Rodrigues-da-Silva, Anderson José Melo, Oliveira, Jacilene Guedes, Cavalcante, Bruno Remígio, Souza, Bruna Cadengue Coelho, Macedo-Junior, Edson Magno, Sobral-Filho, Dário Celestino, Ritti-Dias, Raphael Mendes","Motricidade; 11(3); 148-157","Motricidade","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300014&lang=pt" 
"S1646-107X2015000300007-prt","Propriedades psicométricas da versão brasileira do Physical Education Teaching Processes Questionnaire","Fernandes, Marcos Gimenes, Nunes, Sandra Adriana Neves, Silva, Gidafle Gama, Fernandes, Helder Miguel","Motricidade; 11(3); 59-67","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300007&lang=pt" 
"S0123-12942015000300002-col","Semilleros de investigación: desarrollos y desafíos para la formación en pregrado","Saavedra-Cantor, Carlos Julio, Muñoz-Sánchez, Alba Idaly, Antolínez-Figueroa, Carolina, Rubiano-Mesa, Yurian Lida, Puerto-Guerrero, Ana Helena","Educación y Educadores; 18(3); 391-407","Educación y Educadores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942015000300002&lang=pt" 
"S0123-12942015000300005-col","Rol parental educativo: aproximación a las percepciones que poseen los futuros profesores","Cárcamo-Vásquez, Héctor, Rodríguez-Garcés, Carlos","Educación y Educadores; 18(3); 456-470","Educación y Educadores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942015000300005&lang=pt" 
"S0123-12942015000300004-col","Relación entre gobierno corporativo y posicionamiento organizacional: instituciones de educación superior en América Latina","Méndez-Beltrán, Jairo Andrés, Rivera-Rodríguez, Hugo Alberto","Educación y Educadores; 18(3); 435-455","Educación y Educadores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942015000300004&lang=pt" 
"S0123-12942015000300006-col","Análisis del fracaso escolar desde la perspectiva del alumnado y su relación con el estilo de aprendizaje","Antelm Lanzat, Ana M., Gil-López, Alfonso J., Cacheiro-González, María Luz","Educación y Educadores; 18(3); 471-489","Educación y Educadores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942015000300006&lang=pt" 
"S0121-45002015000300007-col","Instrumento para la valoración de síntomas coronarios en la mujer","Castañeda Valencia, Cándida Rosa","Avances en Enfermería; 33(3); 391-400","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300007&lang=pt" 
"S0121-45002015000300008-col","O crescimento e desenvolvimento frente à prematuridade e baixo peso ao nascer","Oliveira Pessoa, Tiara Aida, de Godoy Martins, Christine Baccarat, Aguiar Lima, Fernanda Cristina, Munhoz Gaíva, Maria Aparecida","Avances en Enfermería; 33(3); 401-411","Avances en Enfermería","Português","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300008&lang=pt" 
"S0121-45002015000300003-col","Custos com antimicrobianos no tratamento de pacientes com infecção","de Oliveira, Adriana Cristina, Oliveira de Paula, Adriana, Farnetano Rocha, Rodrigo","Avances en Enfermería; 33(3); 352-361","Avances en Enfermería","Português","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300003&lang=pt" 
"S0718-090X2015000200008-chl","Mano invisible, cláusulas lockeanas y justicia privada: Emergencia y justificación del Estado en Anarquía, Estado y Utopía","SCHWEMBER AUGIER, FELIPE","Revista de ciencia política (Santiago); 35(2); 409-426","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200008&lang=pt" 
"S0718-090X2015000200004-chl","Cuando el opio se rebela: La Confraternidad Cristiana de Iglesias (Evangélicas) en su crítica a la dictadura militar y su proyecto de sociedad (1981-1989)","MANSILLA, MIGUEL ÁNGEL, SEPÚLVEDA, JUAN, ORELLANA, LUIS","Revista de ciencia política (Santiago); 35(2); 327-345","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200004&lang=pt" 
"S0718-090X2015000200007-chl","La rectificación de la república moderna: Rousseau en los escritos políticos del joven Fichte","DAMIANI, ALBERTO MARIO","Revista de ciencia política (Santiago); 35(2); 393-408","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200007&lang=pt" 
"S0718-090X2015000200006-chl","The Impact of Political Alternation on Corruption in Mexico","SOTO ZAZUETA, IRVIN MIKHAIL, CORTEZ, WILLY W","Revista de ciencia política (Santiago); 35(2); 371-392","Revista de ciencia política (Santiago)","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200006&lang=pt" 
"S0121-45002015000300011-col","Galería de Directoras y Decanas de la Escuela/Facultad de Enfermería de la Universidad Nacional de Colombia 1937-2015","González Consuegra, Renata Virginia","Avances en Enfermería; 33(3); 434-460","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300011&lang=pt" 
"S0718-090X2015000200009-chl","Scott Mainwaring and Aníbal S. Pérez-Liñán. (2013). Democracies and Dictatorships in Latin America: Emergence, Survival, and Fall","LÓPEZ, MATÍAS","Revista de ciencia política (Santiago); 35(2); 427-431","Revista de ciencia política (Santiago)","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200009&lang=pt" 
"S0121-45002015000300012-col","El laboratorio de simulación de la Facultad de Enfermería: un espacio para el desarrollo académico","Sáenz Montoya, Ximena","Avances en Enfermería; 33(3); 461-462","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300012&lang=pt" 
"S0121-45002015000300001-col","95 años recorridos hacia el centenario","González Consuegra, Renata Virginia","Avances en Enfermería; 33(3); 343-351","Avances en Enfermería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002015000300001&lang=pt" 
"S1646-107X2015000300001-prt","A qualidade da investigação em ciências do desporto e áreas afins: alguns conselhos úteis para a submissão bem-sucedida dos manuscritos","Barbosa, Tiago M.","Motricidade; 11(3); 01-02","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300001&lang=pt" 
"S0718-090X2015000200012-chl","","OPORTUS PRELLER, MAURICIO","Revista de ciencia política (Santiago); 35(2); 445-452","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200012&lang=pt" 
"S0718-090X2015000200010-chl","","LANGE, MALGORZATA","Revista de ciencia política (Santiago); 35(2); 433-437","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200010&lang=pt" 
"S0718-090X2015000200011-chl","Ricardo Camargo (2014). Repensar lo político. Hacia una nueva política radical","BASAURE, MAURO","Revista de ciencia política (Santiago); 35(2); 439-444","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200011&lang=pt" 
"S0102-311X2015000901805-scl","Roda viva","Travassos, Claudia","Cadernos de Saúde Pública; 31(9); 1805-1806","Cadernos de Saúde Pública","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015000901805&lang=pt" 
"S0102-311X2015001001854-spa","Os autores respondem","Freitas, Paulo Fontoura, Moreira, Bianca Carvalho, Manoel, Andre Luciano, Botura, Ana Clara de Albuquerque","Cadernos de Saúde Pública; 31(9); 1854-1855","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001001854&lang=pt" 
"S1646-107X2015000300002-prt","Influência da modificação do teste de sentar e alcançar sobre o indicador de flexibilidade em diferentes faixas etárias","Bezerra, Ewertton de Souza, Martins, Sandro Lemos, Leite, Thalita Batista, Paladino, Kayo Douglas Vieira, Rossato, Mateus, Simão, Roberto","Motricidade; 11(3); 03-10","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300002&lang=pt" 
"S1646-107X2015000300004-prt","Efeito agudo do alongamento estático sobre a força muscular dinâmica no exercício supino reto realizado em dois diferentes ângulos articulares","César, Eurico Peixoto, Paula, César Augusto P, Paulino, Denise, Teixeira, Luciana Miranda Lima, Gomes, Paulo Sérgio Chagas","Motricidade; 11(3); 20-28","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300004&lang=pt" 
