"S0717-73482006000100010-chl","PANORAMA","Cruz M, Edgardo","Revista chilena de enfermedades respiratorias; 22(1); 68-73","Revista chilena de enfermedades respiratorias","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482006000100010&lang=pt" 
"S0717-92272006000100009-chl","Arturo Vivado Orsini (1894 -1949) y sus aportes a la psiquiatría chilena","Escobar M, Enrique","Revista chilena de neuro-psiquiatría; 44(1); 54-56","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100009&lang=pt" 
"S0717-92272006000100005-chl","Modelos neurocognitivos en la esquizofrenia: Rol del córtex prefrontal","Orellana V, Gricel, Slachevsky Ch, Andrea, Silva, Jaime R","Revista chilena de neuro-psiquiatría; 44(1); 39-47","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100005&lang=pt" 
"S1134-80462006000200003-esp","El dolor neuropático como causa de ansiedad, depresión y trastornos del sueño en condiciones de práctica médica habitual: resultados del estudio naturalístico DONEGA","Gálvez, R., Marsal, C., Vidal, J., Real, Mª A. del, Ruiz, M., Rejas, J.","Revista de la Sociedad Española del Dolor; 13(2); 81-95","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200003&lang=pt" 
"S1134-80462006000200002-esp","Cronobiología en anestesia epidural Obstétrica: Efecto de la noche sobre el índice de complicaciones","Martínez-Jiménez, F., Guasch, E., Blas, M. de, Gilsanz, F.","Revista de la Sociedad Española del Dolor; 13(2); 73-80","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200002&lang=pt" 
"S1134-80462006000200008-esp","Disfunción Temporomandibular","Hoz Aizpurua, José Luís de la","Revista de la Sociedad Española del Dolor; 13(2); 124-124","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200008&lang=pt" 
"S1134-80462006000200006-esp","Manejo de buprenorfina transdérmica en pacientes que no han usado previamente opioides","Rull, M., Puig, R.","Revista de la Sociedad Española del Dolor; 13(2); 108-113","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200006&lang=pt" 
"S1134-80462006000200007-esp","Opiodes como coadyuvantes de la analgesia epidural en pediatría","Vidal, M. A., Aragón, M. C., Torres, L. M.","Revista de la Sociedad Española del Dolor; 13(2); 114-123","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200007&lang=pt" 
"S1134-80462006000200001-esp","Una Nueva Definición de &quot;Dolor&quot;: Un Imperativo de Nuestros Días","Ibarra, Eduardo","Revista de la Sociedad Española del Dolor; 13(2); 65-72","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200001&lang=pt" 
"S1134-80462006000200005-esp","Síndrome de abstinencia en un neonato secundario al empleo de fentanilo transdérmico durante la gestación","Hidalgo, J. J., Freixenet, N., Lara, R., Ligorif, C.","Revista de la Sociedad Española del Dolor; 13(2); 103-107","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200005&lang=pt" 
"S1134-80462006000200004-esp","Tratamiento del Síndrome de Dolor Miofascial con Toxina Botulínica tipo A","Castro, M., Cánovas, L., García-Rojo, B., Morillas, P., Martínez-Salgado, J., Gómez-Pombo, A., Castro-Méndez, A.","Revista de la Sociedad Española del Dolor; 13(2); 96-102","Revista de la Sociedad Española del Dolor","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462006000200004&lang=pt" 
"S0104-07072006000100002-scl","Enfermagem: da cultura da subalternidade à cultura da solidariedade","Bellato, Roseney, Pereira, Wilza Rocha","Texto &amp; Contexto - Enfermagem; 15(1); 17-25","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100002&lang=pt" 
"S0104-07072006000100004-scl","A construção do feminino e do masculino no processo de cuidar crianças em pré-escolas","Gomes, Vera Lúcia de Oliveira","Texto &amp; Contexto - Enfermagem; 15(1); 35-42","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100004&lang=pt" 
"S0104-07072006000100005-scl","Significado atribuído ao sangue pelos doadores e receptores","Benetti, Salete Regina Daronco, Lenardt, Maria Helena","Texto &amp; Contexto - Enfermagem; 15(1); 43-50","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100005&lang=pt" 
"S0104-07072006000100006-scl","O uso da expressão &quot;mal-de-sete-dias&quot; por mães de crianças que morreram de tétano neonatal em Minas Gerais (1997-2002)","Vieira, Lúcio José, Oliveira, Maria Helena Pessini de, Lefèvre, Fernando","Texto &amp; Contexto - Enfermagem; 15(1); 51-59","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100006&lang=pt" 
"S0104-07072006000100007-scl","A passagem pelos espelhos: a construção da identidade profissional da enfermeira","Oliveira, Beatriz Guitton Renaud Baptista de","Texto &amp; Contexto - Enfermagem; 15(1); 60-67","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100007&lang=pt" 
"S0104-07072006000100008-scl","Crenças populares referentes à saúde: apropriação de saberes sócio-culturais","Siqueira, Karina Machado, Barbosa, Maria Alves, Brasil, Virginia Visconde, Oliveira, Lizete Malagoni Cavalcante, Andraus, Lourdes Maria Silva","Texto &amp; Contexto - Enfermagem; 15(1); 68-73","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100008&lang=pt" 
"S0104-07072006000100009-scl","El cuidado de sí de la embarazada diabética como una via para asegurar un hijo sano","Guerra de Castillo, Carmen Amarilis, Vásquez, Marta Lucía","Texto &amp; Contexto - Enfermagem; 15(1); 74-81","Texto &amp; Contexto - Enfermagem","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100009&lang=pt" 
"S0104-07072006000100010-scl","A abordagem fotoetnográfica na avaliação de serviços de saúde e de enfermagem","Melleiro, Marta Maria, Gualda, Dulce Maria Rosa","Texto &amp; Contexto - Enfermagem; 15(1); 82-88","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100010&lang=pt" 
"S0104-07072006000100011-scl","Determinantes sócio-culturais e históricos das práticas populares de prevenção e cura de doenças de um grupo cultural","Kreutz, Irene, Gaiva, Maria Aparecida Munhoz, Azevedo, Rosemeiry Capriata de Souza","Texto &amp; Contexto - Enfermagem; 15(1); 89-97","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100011&lang=pt" 
"S0104-07072006000100012-scl","Significados de avós sobre a prática do aleitamento materno no cotidiano familiar: a cultura do querer-poder amamentar","Teixeira, Marizete Argolo, Nitschke, Rosane Gonçalves, De Gasperi, Patricia, Siedler, Mônica Joesting","Texto &amp; Contexto - Enfermagem; 15(1); 98-106","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100012&lang=pt" 
"S0104-07072006000100013-scl","Mulheres e profissionais de saúde: o imaginário cultural na humanização ao parto e nascimento","Griboski, Rejane Antonello, Guilhem, Dirce","Texto &amp; Contexto - Enfermagem; 15(1); 107-114","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100013&lang=pt" 
"S0104-07072006000100014-scl","Fitoterapia popular: a busca instrumental enquanto prática terapêuta","Tomazzoni, Marisa Ines, Negrelle, Raquel Rejane Bonato, Centa, Maria de Lourdes","Texto &amp; Contexto - Enfermagem; 15(1); 115-121","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100014&lang=pt" 
"S0104-07072006000100015-scl","O parto: encontro com o sagrado","Nogueira, Adriana Tanese","Texto &amp; Contexto - Enfermagem; 15(1); 122-130","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100015&lang=pt" 
"S0104-07072006000100016-scl","Reflecting on intercultural dialogue in nursing","Gilbert, Julie","Texto &amp; Contexto - Enfermagem; 15(1); 131-136","Texto &amp; Contexto - Enfermagem","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100016&lang=pt" 
"S0104-07072006000100017-scl","A morte cerebral como o presente para a vida: explorando práticas culturais contemporâneas","Vargas, Mara Ambrosina, Ramos, Flávia Regina Souza","Texto &amp; Contexto - Enfermagem; 15(1); 137-145","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100017&lang=pt" 
"S0104-07072006000100020-scl","Antropología de los cuidados en el ámbito académico de la enfermería en Espanã","González Gil, Teresa, Martínez Gimeno, Lara, Luengo González, Raquel","Texto &amp; Contexto - Enfermagem; 15(1); 155-161","Texto &amp; Contexto - Enfermagem","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100020&lang=pt" 
"S0104-07072006000100018-scl","Amamentação e o seio feminino: uma análise sob a ótica da sexualidade e dos direitos reprodutivos","Monteiro, Juliana Cristina dos Santos, Gomes, Flávia Azevedo, Nakano, Ana Márcia Spanó","Texto &amp; Contexto - Enfermagem; 15(1); 146-150","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100018&lang=pt" 
"S0104-07072006000100003-scl","A cultura como obstáculo: percepções da enfermagem no cuidado às famílias em alojamento conjunto","Monticelli, Marisa, Elsen, Ingrid","Texto &amp; Contexto - Enfermagem; 15(1); 26-34","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100003&lang=pt" 
"S0103-507X2006000100001-scl","Sepse, um problema do tamanho do Brasil","Silva, Eliézer","Revista Brasileira de Terapia Intensiva; 18(1); 5-6","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100001&lang=pt" 
"S0103-507X2006000100017-scl","Perfuração de mucosa esofágica por sonda entérica: relato de caso","Santos, Cynthia Clabunde dos, Omura, Felipe, Guimarães, Hélio Penna, Falcão, Luiz Fernando dos Reis, Lopes, Renato Delascio, Saes, Letícia Sandre Vendrame","Revista Brasileira de Terapia Intensiva; 18(1); 104-108","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100017&lang=pt" 
"S0103-507X2006000100002-scl","Insuficiência adrenal relativa e uso de corticosteróides na sepse: estamos mais próximos de um consenso?","Salluh, Jorge Ibrain Figueira, Fuks, Anna Gabriela","Revista Brasileira de Terapia Intensiva; 18(1); 7-8","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100002&lang=pt" 
"S0103-507X2006000100003-scl","Sepse Brasil: estudo epidemiológico da sepse em Unidades de Terapia Intensiva brasileiras","Sales Júnior, João Andrade L., David, Cid Marcos, Hatum, Rodrigo, Souza, Paulo César S. P., Japiassú, André, Pinheiro, Cleovaldo T. S., Friedman, Gilberto, Silva, Odin Barbosa da, Dias, Mariza D’Agostino, Koterba, Edwin, Dias, Fernando Suparregui, Piras, Cláudio, Luiz, Ronir Raggio","Revista Brasileira de Terapia Intensiva; 18(1); 9-17","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100003&lang=pt" 
"S0103-507X2006000100004-scl","Gravidade dos pacientes admitidos à Unidade de Terapia Intensiva de um hospital universitário brasileiro","Feijó, Carlos Augusto Ramos, Leite Júnior, Francisco Olon, Martins, Ana Cecília Santos, Furtado Júnior, Alberto Hil, Cruz, Luiz Lacerda Souza, Meneses, Francisco Albano de","Revista Brasileira de Terapia Intensiva; 18(1); 18-21","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100004&lang=pt" 
"S0103-507X2006000100005-scl","Metabolic acid-base status in critically ill patients: is standard base excess correlated with serum lactate level?","Noritomi, Danilo Teixeira, Sanga, Ricardo Reis, Amaral, André Carlos Kajdaksi-Balla, Park, Marcelo","Revista Brasileira de Terapia Intensiva; 18(1); 22-26","Revista Brasileira de Terapia Intensiva","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100005&lang=pt" 
"S0103-507X2006000100007-scl","Utilização do aparelho de oscilação oral de alta freqüência com ventilador mecânico","Fitipaldi, Rachel Maria da Silva Bezerra, Azeredo, Carlos Alberto Caetano","Revista Brasileira de Terapia Intensiva; 18(1); 34-37","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100007&lang=pt" 
"S0103-507X2006000100015-scl","Iatrogenia em Medicina Intensiva","Canineu, Rafael, Guimarães, Hélio Penna, Lopes, Renato Delascio, Vendrame, Letícia Sandre, Fonseca Júnior, Max Artur da, Lopes, Antonio Carlos","Revista Brasileira de Terapia Intensiva; 18(1); 95-98","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100015&lang=pt" 
"S0103-507X2006000100010-scl","Características da população com sepse em unidade de terapia intensiva de hospital terciário e privado da cidade do Recife","Koury, Joana Corrêa de A., Lacerda, Heloísa Ramos, Barros Neto, Alberto José de","Revista Brasileira de Terapia Intensiva; 18(1); 52-58","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100010&lang=pt" 
"S0103-507X2006000100011-scl","The severity assessment of critically ill preeclamptic women: a case-control study","Souza, João Paulo, Duarte, Geraldo, Basile-Filho, Aníbal","Revista Brasileira de Terapia Intensiva; 18(1); 59-62","Revista Brasileira de Terapia Intensiva","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100011&lang=pt" 
"S0103-507X2006000100013-scl","Consenso brasileiro de monitorização e suporte hemodinâmico - parte III: métodos alternativos de monitorização do débito cardíaco e da volemia","Schettino, Guilherme, Ederlon, Rezende, Mendes, Ciro Leite, Réa-Neto, Álvaro, David, Cid Marcos, Lobo, Suzana Margareth Ajeje, Barros, Alberto, Silva, Eliézer, Friedman, Gilberto, Amaral, José Luiz Gomes do, Park, Marcelo, Monachini, Maristela, Oliveira, Mirella Cristine de, Assunção, Murillo Santucci César, Akamine, Nelson, Mello, Patrícia Veiga C, Pereira, Renata Andréa Pietro, Costa Filho, Rubens, Araújo, Sebastião, Pinto, Sérgio Félix, Ferreira, Sérgio, Mitushima, Simone Mattoso, Agareno, Sydney, Brilhante, Yuzeth Nóbrega de Assis","Revista Brasileira de Terapia Intensiva; 18(1); 78-85","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100013&lang=pt" 
"S0103-507X2006000100016-scl","Síndrome de envenenamento por 2000 picadas de abelhas africanizadas. Relato de caso","Azevedo, Rita Vianna de, Paiva, Roberto Bueno de, Ades, Felipe, David, Cid Marcos","Revista Brasileira de Terapia Intensiva; 18(1); 99-103","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100016&lang=pt" 
"S0103-507X2006000100006-scl","Ocorrência de bactérias multiresistentes em um centro de Terapia Intensiva de Hospital brasileiro de emergências","Andrade, Denise de, Leopoldo, Vanessa Cristina, Haas, Vanderlei José","Revista Brasileira de Terapia Intensiva; 18(1); 27-33","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100006&lang=pt" 
"S0103-507X2006000100008-scl","Pneumonia associada à ventilação mecânica em Unidade de Terapia Intensiva cirúrgica","Carrilho, Claudia Maria Dantas de Maio, Grion, Cíntia Magalhães Carvalho, Carvalho, Lais Magalhães, Grion, Adriana dos Santos, Matsuo, Tiemi","Revista Brasileira de Terapia Intensiva; 18(1); 38-44","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100008&lang=pt" 
"S0103-507X2006000100012-scl","Parte II: monitorização hemodinâmica básica e cateter de artéria pulmonar","Dias, Fernando Suparregui, Rezende, Ederlon, Mendes, Ciro Leite, Réa-Neto, Álvaro, David, Cid Marcos, Schettino, Guilherme, Lobo, Suzana Margareth Ajeje, Barros, Alberto, Silva, Eliézer, Friedman, Gilberto, Amaral, José Luiz Gomes do, Park, Marcelo, Monachini, Maristela, Oliveira, Mirella Cristine de, Assunção, Murillo Santucci César, Akamine, Nelson, Mello, Patrícia Veiga C, Pereira, Renata Andréa Pietro, Costa Filho, Rubens, Araújo, Sebastião, Félix Pinto, Sérgio, Ferreira, Sérgio, Mitushima, Simone Mattoso, Agareno, Sydney, Brilhante, Yuzeth Nóbrega de Assis","Revista Brasileira de Terapia Intensiva; 18(1); 63-77","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100012&lang=pt" 
"S0103-507X2006000100014-scl","Adrenal insufficiency in sepsis","Polito, Andrea, Aboab, Jérôme, Annane, Djillali","Revista Brasileira de Terapia Intensiva; 18(1); 86-94","Revista Brasileira de Terapia Intensiva","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100014&lang=pt" 
"S0120-53072006000100001-col","Consideraciones acerca de la diabetes mellitus tipo 2","DÍEZ MEJÍA, BERTHA LIGIA","Investigación y Educación en Enfermería; 24(1); 13-14","Investigación y Educación en Enfermería","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072006000100001&lang=pt" 
"S0121-81232006000100008-col","Síndrome antifosfolípido secundario a lupus eritematoso sistémico en un hombre","Vallejo, Franco J, García R, Lucy, Medina, Luis Fernando, Díaz, Claudia Juliana","Revista Colombiana de Reumatología; 13(1); 91-95","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100008&lang=pt" 
"S0121-81232006000100006-col","Fallas en la remoción de cuerpos apoptóticos, una fuente de autoantígenos","Yassin, Lina María, García, Luis Fernando, Rojas, Mauricio, Vásquez, Gloria","Revista Colombiana de Reumatología; 13(1); 76-84","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100006&lang=pt" 
"S0121-81232006000100007-col","Probable Artritis Reumatoide en un paciente con Enfermedad de Células Falciformes","Arana, Beatriz, Gudiño, Pablo Andrés, Cruz, Eduardo Antonio","Revista Colombiana de Reumatología; 13(1); 86-90","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100007&lang=pt" 
"S0121-81232006000100004-col","Análisis crítico de las clasificaciones de las vasculitis","Iglesias Gamarra, Antonio, Cantillo Turbay, Jorge de Jesús, Restrepo Suárez, José Félix","Revista Colombiana de Reumatología; 13(1); 48-64","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100004&lang=pt" 
"S0121-81232006000100005-col","Inmunización en pacientes con enfermedades reumáticas","Guarnizo Zuccardi, Pilar, Eraso Garnica, Ruth María, Ramírez Gómez, Luis Alberto","Revista Colombiana de Reumatología; 13(1); 65-75","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100005&lang=pt" 
"S0121-81232006000100002-col","Efectividad de una Intervención Educativa en Pacientes con Artritis Reumatoide. Hospital Universidad del Norte. Barranquilla. Abril-Mayo de 2005","Escorcia, María Esther, Osorio, Habid de Jesús, Pérez, Carlos Andrés, Thulcán, Mónica del Carmen, Caballero Uribe, Carlo V., Borda Pérez, Mariela","Revista Colombiana de Reumatología; 13(1); 11-19","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100002&lang=pt" 
"S0121-81232006000100003-col","Prehistoria, historia y arte de la Reumatología Inicios de las palabras reuma, artritis reumatoide, artritis juvenil, gota y espondilitis anquilosante","Iglesias-Gamarra, Antonio, Quintana, Gerardo, Restrepo Suárez, José Félix","Revista Colombiana de Reumatología; 13(1); 21-47","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100003&lang=pt" 
"S0121-81232006000100001-col","Educación al paciente con artritis reumatoide: un nuevo reto a conquistar","Galarza Maldonado, Claudio","Revista Colombiana de Reumatología; 13(1); 7-8","Revista Colombiana de Reumatología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232006000100001&lang=pt" 
"S0002-192X2006000100006-ven","Comportamiento del cultivo de espárrago verde a diferentes densidades iniciado mediante el sistema tradicional de arañas","Castagnino, Ana M, Sastre Vásquez, Patricia, Menest, Atoine","Agronomía Tropical; 56(1); 111-127","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100006&lang=pt" 
"S0002-192X2006000100007-ven","Estudios citogenéticos de estructuras embriogénicas y plántulas regeneradas de onoto¹","Michelangeli de Clavijo, Claret C, Medina M, Ada M, Artioli G, Paola I, Mata, Jonás","Agronomía Tropical; 56(1); 129-137","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100007&lang=pt" 
"S0002-192X2006000100004-ven","Embriogénesis somática en cultivares de cacao Venezolanos¹","Velásquez Salazar, Rosalía, Sandrea, Yanet, Betancourt, Carmen, Mata, Jonás, García, Félix","Agronomía Tropical; 56(1); 61-74","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100004&lang=pt" 
"S0002-192X2006000100005-ven","Prácticas conservacionistas y rotación con quinchoncho alternativas sustentables para los agroecosistemas de sabanas de Guárico, Venezuela¹","López, Marisol, Bolívar, Ángela, Salas, Manuel, De Gouveia, María","Agronomía Tropical; 56(1); 75-109","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100005&lang=pt" 
"S0002-192X2006000100002-ven","Área foliar, componentes del área foliar y rendimiento de seis genotipos de caraota¹","Warnock, Rosemary, Valenzuela, Jagger, Trujillo, América, Madriz, Petra, Gutiérrez, Margaret","Agronomía Tropical; 56(1); 21-42","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100002&lang=pt" 
