"S1137-66272009000300011-esp","Neuritis óptica inflamatoria","Ayuso, T., Aliseda, D., Ajuria, I., Zandío, B., Mayor, S., Navarro, M.C.","Anales del Sistema Sanitario de Navarra; 32(2); 249-263","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300011&lang=pt" 
"S1415-54192009000400016-scl","Variáveis relevantes no tratamento da má oclusão de Classe II","Janson, Guilherme, Barros, Sérgio Estelita Cavalcante, Simão, Tassiana Mesquita, Freitas, Marcos Roberto de","Revista Dental Press de Ortodontia e Ortopedia Facial; 14(4); 149-157","Revista Dental Press de Ortodontia e Ortopedia Facial","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192009000400016&lang=pt" 
"S0102-86502009000400001-scl","Homenagem ao Professor Saul Goldenberg","Plapler, Hélio","Acta Cirurgica Brasileira; 24(4); 250-250","Acta Cirurgica Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400001&lang=pt" 
"S0102-86502009000400010-scl","Correlation between the immunohistochemical expressions of MMP-1, MMP-7 and VEGF and prognostic factors in colorectal adenocarcinoma","Gomes, Edmundo Guilherme de Almeida, Jucá, Mário Jorge, Menezes, Hunaldo Lima de, Nunes, Benício Luiz Bulhões Barros Paula, Costa, Henrique, Lima, Flávio de Oliveira, Matos, Delcio","Acta Cirurgica Brasileira; 24(4); 303-310","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400010&lang=pt" 
"S0102-86502009000400003-scl","Animal model of chronic abdominal hernia in rabbit","Silva, Walter da, Fagundes, Djalma José, Seidel, Amélia Cristina, Taha, Murched Omar","Acta Cirurgica Brasileira; 24(4); 256-261","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400003&lang=pt" 
"S0102-86502009000400002-scl","Regression of gestational diabetes induced cardiomegaly in offspring of diabetic rat","Menezes, Honório Sampaio, Zettler, Cláudio Galeano, Calone, Alice, Corrêa, Jackson Borges, Bartuscheck, Carla, Costa, Cristine Sortica da, Cirino, Sílvia Letícia Merceo Bacchi, Zielinsky, Paulo","Acta Cirurgica Brasileira; 24(4); 251-255","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400002&lang=pt" 
"S0102-86502009000400005-scl","Tissue quantification of neutral and acid mucins in the mucosa of the colon with and without fecal stream in rats","Nonose, Ronaldo, Spadari, Ana Paula Pimentel, Priolli, Denise Gonçalves, Máximo, Felipe Rodrigues, Pereira, José Aires, Martinez, Carlos Augusto Real","Acta Cirurgica Brasileira; 24(4); 267-275","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400005&lang=pt" 
"S0102-86502009000400006-scl","Effects of platelet-rich plasma gel on skin healing in surgical wound in horses","DeRossi, Rafael, Coelho, Anna Carolina Anciliero de Oliveira, Mello, Gisele Silveira de, Frazílio, Fabrício Oliveira, Leal, Cássia Rejane Brito, Facco, Gilberto Gonçalves, Brum, Karine Bonucielli","Acta Cirurgica Brasileira; 24(4); 276-281","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400006&lang=pt" 
"S0102-86502009000400007-scl","Tracheal suture in rats with hypothyroidism: wound healing study","Zimmermann, Elise, Ribas-Filho, Jurandir Marcondes, Malafaia, Osvaldo, Ribas, Carmen Austrália Paredes Marcondes, Nassif, Paulo Afonso Nunes, Stieven Filho, Edmar, Przysiezny, Paulo Eduardo","Acta Cirurgica Brasileira; 24(4); 282-289","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400007&lang=pt" 
"S0102-86502009000400008-scl","Systemic evaluation on ischemia and reperfusion injury of splanchnic organs in rats","Cerqueira, Nereide Freire, Hussni, Carlos Alberto, Yoshida, Winston Bonetti, Padovani, Carlos Roberto","Acta Cirurgica Brasileira; 24(4); 290-295","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400008&lang=pt" 
"S0102-86502009000400009-scl","Hemodynamic effects of ropivacaine and levobupivacaine intravenous injection in swines","Udelsmann, Artur, Silva, William Adalberto, Moraes, Ana Cristina de, Dreyer, Elisabeth","Acta Cirurgica Brasileira; 24(4); 296-302","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400009&lang=pt" 
"S0102-86502009000400013-scl","Rat pinealectomy: a modified direct visual approach","Maganhin, Carla Cristina, Simões, Ricardo Santos, Fuchs, Luiz Fernando Portugal, Oliveira-Filho, Ricardo Martins, Simões, Manuel de Jesus, Evêncio Neto, Joaquim, Baracat, Edmund Chada, Soares Júnior, José Maria","Acta Cirurgica Brasileira; 24(4); 321-324","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400013&lang=pt" 
"S0102-86502009000400014-scl","The rabbit as an animal model for experimental surgery","Calasans-Maia, Mônica Diuana, Monteiro, Maria Lucia, Áscoli, Fábio Oliveira, Granjeiro, José Mauro","Acta Cirurgica Brasileira; 24(4); 325-328","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400014&lang=pt" 
"S0212-16112009000400006-esp","Suplementación con selenio en el paciente crítico: aspectos farmacológicos y evidencia actual","Manzanares, W., Hardy, G.","Nutrición Hospitalaria; 24(4); 429-436","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400006&lang=pt" 
"S0212-16112009000400012-esp","Efectos del consumo de aceites termo-oxidados sobre la peroxidación lipídica en animales de laboratorio","Abilés, J., Ramón, A. N., Moratalla, G., Pérez-Abud, R., Morón Jiménez, J., Ayala, A.","Nutrición Hospitalaria; 24(4); 473-478","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400012&lang=pt" 
"S0212-16112009000400008-esp","Estimación de la ingesta de fitoestrógenos en población femenina","Hernández-Elizondo, J., Mariscal-Arcas, M., Rivas, A., Feriche, B., Velasco, J., Olea-Serrano, F.","Nutrición Hospitalaria; 24(4); 445-451","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400008&lang=pt" 
"S0212-16112009000400013-esp","Perioperative nutritional management of patients undergoing laparotomy","Toulson Davisson Correia, M. I., Costa Fonseca, P., Machado Cruz, G. A.","Nutrición Hospitalaria; 24(4); 479-484","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400013&lang=pt" 
"S0212-16112009000400020-esp","Omega-3 ácidos grasos, el cerebro y la retina","Culebras, Jesús M.","Nutrición Hospitalaria; 24(4); 514-514","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400020&lang=pt" 
"S0212-16112009000400019-esp","Publicaciones científicas: ¿aspectos éticos o fraude?","Pérez Pons, J. C., Cholvi Llovell, M., Vilanova Boltó, M.","Nutrición Hospitalaria; 24(4); 512-513","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400019&lang=pt" 
"S0212-16112009000400005-esp","Conjugated linoleic acid (CLA): effect modulation of body composition and lipid profile","Baddini Feitoza, A., Fernandes Pereira, A., Ferreira da Costa, N., Gonçalves Ribeiro, B.","Nutrición Hospitalaria; 24(4); 422-428","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400005&lang=pt" 
"S0212-16112009000400011-esp","Recomendaciones sobre la evaluación del riesgo de desnutrición en los pacientes hospitalizados","Ulibarri, J. I., Burgos, R., Lobo, G., Martínez, M. A., Planas, M., Pérez de la Cruz, A., Villalobos, J. L.","Nutrición Hospitalaria; 24(4); 467-472","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400011&lang=pt" 
"S0212-16112009000400004-esp","Obesidad, resistencia a la insulina y aumento de los niveles de adipoquinas: importancia de la dieta y el ejercicio físico","Rodríguez-Rodríguez, E., Perea, J. M., López-Sobaler, A. M., Ortega, R. M.","Nutrición Hospitalaria; 24(4); 415-421","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400004&lang=pt" 
"S0212-16112009000400010-esp","Alimentos fortificados con ácido fólico comercializados en España: tipo de productos, cantidad de ácido fólico que proporcionan y población a la que van dirigidos","Samaniego Vaesken, M. L., Alonso-Aperte, E., Varela-Moreiras, G.","Nutrición Hospitalaria; 24(4); 459-466","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400010&lang=pt" 
"S0212-16112009000400017-esp","Desarrollo de un programa de educación nutricional y valoración del cambio de hábitos alimentarios saludables en una población de estudiantes de Enseñanza Secundaria Obligatoria","Martínez, M.ª I., Hernández, M. D., Ojeda, M., Mena, R., Alegre, A., Alfonso, J. L.","Nutrición Hospitalaria; 24(4); 504-510","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400017&lang=pt" 
"S0036-46652009000400009-scl","Intestinal parasites inside public restrooms and buses from the city of Uberlândia, Minas Gerais, Brazil","Borges, Clarissa A., Costa-Cruz, Julia M., Paula, Fabiana M. de","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 223-225","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400009&lang=pt" 
"S0036-46652009000400008-scl","Ascaris lumbricoides: alteration of the erythrocyte superficial charge using the Partition Method in aqueous two-phase system","Ponce de León, Patricia, Lebensohn, Natalia, Foresto, Patricia, Valverde, Juana","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 219-221","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400008&lang=pt" 
"S0036-46652009000400007-scl","Common beach sand contamination due to enteroparasites on the southern coast of Pernambuco State, Brazil","Silva, Pompéia Freire da, Cavalcanti, Isabela Melo Diniz, Irmão, João Inácio, Rocha, Francisca Janaina Soares","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 217-218","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400007&lang=pt" 
"S0036-46652009000400010-scl","Molecular epidemiology of adenovirus conjunctivitis in Rio de Janeiro, Brazil, between 2004 and 2007","Maranhão, Adriana G., Soares, Caroline C., Albuquerque, Maria Carolina M., Santos, Norma","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 227-229","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400010&lang=pt" 
"S0036-46652009000400012-scl","Spontaneous resolution of zoonotic sporotrichosis during pregnancy","Almeida Jr., Hiram Larangeira de, Lettnin, Cristiane Borges Evaldt, Barbosa, Juliana Lima, Dias, Márcia Cristiane Feltrin","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 237-238","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400012&lang=pt" 
"S0212-16112009000400001-esp","Reflexiones en torno a los conflictos éticos de la literatura científica: la publicación repetitiva, duplicada o redundante","Culebras, J. M., García de Lorenzo, A., Sanz-Valero, J.","Nutrición Hospitalaria; 24(4); 375-377","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400001&lang=pt" 
"S0036-46652009000400002-scl","A serological study of cysticercosis in patients with HIV","Parija, Subhash Chandra, Gireesh, A.R.","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 185-189","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400002&lang=pt" 
"S0036-46652009000400003-scl","High prevalence and association of HIV-1 non-B subtype with specific sexual transmission risk among antiretroviral naïve patients in Porto Alegre, RS, Brazil","Dias, Cláudia Fontoura, Nunes, Cynara Carvalho, Freitas, Isabela Osório, Lamego, Isabel Saraiva, Oliveira, Ilda Maria Rodrigues de, Gilli, Sabrina, Rodrigues, Rosângela, Brigido, Luis Fernando","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 191-196","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400003&lang=pt" 
"S0036-46652009000400004-scl","HTLV- I infection is not associated with a higher risk of death in peruvian HIV-infected patients","Collins, Jaime A., Hernández, Adrián V., Hidalgo, José A., Salazar, Raúl","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 197-201","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400004&lang=pt" 
"S0036-46652009000400005-scl","Extended-spectrum beta-lactamases among Enterobacteriaceae isolated in a public hospital in Brazil","Dropa, Milena, Balsalobre, Livia C., Lincopan, Nilton, Mamizuka, Elsa M., Murakami, Thays, Cassettari, Valéria C., Franco, Fábio, Guida, Stella M., Balabakis, Angelica J., Passadore, Lilian F., Santos, Silvia R., Matté, Glavur R., Matté, Maria H.","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 203-209","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400005&lang=pt" 
"S0036-46652009000400011-scl","Two cases of visceral leishmaniasis in Colombia resistant to meglumine antimonial treatment","Vélez, Iván Darío, Colmenares, Lina María, Muñoz, Carlos Aguirre","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 231-236","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400011&lang=pt" 
"S0036-46652009000400006-scl","Risk factors for and mortality of extended-spectrum-β-lactamase-producing Klebsiella pneumoniae and Escherichia coli nosocomial bloodstream infections","Superti, Silvana Vargas, Augusti, Gustavo, Zavascki, Alexandre Prehn","Revista do Instituto de Medicina Tropical de São Paulo; 51(4); 211-216","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652009000400006&lang=pt" 
"S0212-16112009000400003-esp","Comparativa de las Ingestas Dietéticas de Referencia (IDR) de los diferentes países de la Unión Europea, de Estados Unidos (EEUU) y de la Organización Mundial de la Salud (OMS)","Cuervo, M., Corbalán, M., Baladía, E., Cabrerizo, L., Formiguera, X., Iglesias, C., Lorenzo, H., Polanco, I., Quiles, J., Romero de Ávila, M. D., Russolillo, G., Villarino, A., Alfredo Martínez, J.","Nutrición Hospitalaria; 24(4); 384-414","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400003&lang=pt" 
"S0102-86502009000400012-scl","Device for craniocervical isolation in rabbits","Ivo, Cláudio Santana, Ivo, Marcelo Braga, Salles, Paulo Guilherme de Oliveira, Rosário, Ricardo Costa Val do, Nunes, Tarcizo Afonso","Acta Cirurgica Brasileira; 24(4); 316-320","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400012&lang=pt" 
"S0102-86502009000400004-scl","Topic liver hypothermia and ischemic preconditioning: a new model of ischemia and reperfusion in rats","Grezzana Filho, Tomaz de Jesus Maria, Mendonça, Tais Burmann de, Gabiatti, Gémerson, Kruel, Cleber Dario Pinto, Corso, Carlos Otávio","Acta Cirurgica Brasileira; 24(4); 262-266","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400004&lang=pt" 
