"S0430-50272015000100005-prt","Mobilidades, comércio e consumo da feira de Leiria: conflitos de uma centralidade temporária","Bernardino, Virgílio Manuel Pereira, Rocha, Márcio Mendes","Finisterra - Revista Portuguesa de Geografia; (99); 101-117","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000100005&lang=pt" 
"S0101-73302015000200343-scl","Para a construção da nação: debates brasileiros sobre educação do corpo na década de 1930","Góis Junior, Edivaldo, Melo, Victor Andrade de, Soares, Antônio Jorge Gonçalves","Educação &amp; Sociedade; 36(131); 343-360","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200343&lang=pt" 
"S0101-73302015000200407-scl","Gestão Estratégica de Sistemas de Educação a Distância no Brasil e em Portugal: a propósito da flexibilidade educacional","Mill, Daniel","Educação &amp; Sociedade; 36(131); 407-426","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200407&lang=pt" 
"S0101-73302015000200445-scl","Qualidade do ensino, balanço de uma década de pesquisas","Brandão, Zaia, Carvalho, Cynthia Paes de","Educação &amp; Sociedade; 36(131); 445-458","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200445&lang=pt" 
"S0366-69132015000200160-scl","Sintering of alumina ceramics reinforced with a bioactive glass of 3CaO.P&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;5&lt;/sub&gt;-SiO&lt;sub&gt;2&lt;/sub&gt;-MgO system","Huang, A. W., Santos, C., Magnago, R. O., Silva, R. F. F., Strecker, K., Daguano, J. K. M. F.","Cerâmica; 61(358); 160-167","Cerâmica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200160&lang=pt" 
"S0366-69132015000200168-scl","Ataque de matrizes cimentícias por sulfato de sódio:adições minerais como agentes mitigadores","Hoppe Filho, J., Souza, D. J., Medeiros, M. H. F., Pereira, E., Portella, K. F.","Cerâmica; 61(358); 168-177","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200168&lang=pt" 
"S0101-73302015000200427-scl","A infância como solidão: mutações da experiência educacional contemporânea","Aquino, Julio Roberto Groppa","Educação &amp; Sociedade; 36(131); 427-444","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200427&lang=pt" 
"S0366-69132015000200151-scl","Estimativa da degradação de fachadas com revestimento cerâmico: estudo de caso de edifícios de Brasília","Bauer, E., Castro, E. K., Silva, M. N. B.","Cerâmica; 61(358); 151-159","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200151&lang=pt" 
"S0366-69132015000200190-scl","Desenvolvimento de modelo conceitual de telha ecológica a partir de resíduos de PET e gesso da construção","Teske, S., Gonçalves, P. F. A., Nagalli, A.","Cerâmica; 61(358); 190-198","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200190&lang=pt" 
"S0101-41612015000200253-scl","A qualidade do ranking das escolas de ensino médio baseado no ENEM é questionável","Andrade, Eduardo, Soida, Ivan","Estudos Econômicos (São Paulo); 45(2); 253-286","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200253&lang=pt" 
"S0101-41612015000200287-scl","Existe realmente convergência de renda entre países?","Freitas, Maria Viviana de, Almeida, Eduardo","Estudos Econômicos (São Paulo); 45(2); 287-316","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200287&lang=pt" 
"S0101-41612015000200317-scl","O problema das elasticidades nos modelos de crescimento com restrição externa: Contribuições ao debate","Missio, Fabricio Jose, Jayme Jr., Frederico G., Conceição, Octavio A. C.","Estudos Econômicos (São Paulo); 45(2); 317-346","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200317&lang=pt" 
"S0101-41612015000200347-scl","A dinâmica do enriquecimento paulista no século XIX: das origens à diversificação do capital da família Lacerda Franco","Silva, Gustavo Pereira da","Estudos Econômicos (São Paulo); 45(2); 347-376","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200347&lang=pt" 
"S0101-41612015000200377-scl","O desenvolvimento econômico: uma proposta de abordagem teórica evolucionária e institucionalista","Lopes, Herton Castiglioni","Estudos Econômicos (São Paulo); 45(2); 377-400","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200377&lang=pt" 
"S0101-41612015000200401-scl","O papel das redes na mobilidade laboral de curta e longa distância: evidências para o Brasil formal","Lameira, Verônica de Castro, Gonçalves, Eduardo, Freguglia, Ricardo da Silva","Estudos Econômicos (São Paulo); 45(2); 401-435","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200401&lang=pt" 
"S0101-73302015000200299-scl","Diretrizes curriculares nacionais para a formação inicial e continuada dos profissionais do magistério da educação básica: concepções e desafios","Dourado, Luiz Fernandes","Educação &amp; Sociedade; 36(131); 299-324","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200299&lang=pt" 
"S0101-73302015000200361-scl","Expansão da educação superior no Brasil: limites e possibilidades","Barros, Aparecida da Silva Xavier","Educação &amp; Sociedade; 36(131); 361-390","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200361&lang=pt" 
"S0101-73302015000200461-scl","Educação em direitos humanos: o currículo entre o relativismo e o universalismo","Silva, Ana Tereza Reis da","Educação &amp; Sociedade; 36(131); 461-478","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200461&lang=pt" 
"S0101-73302015000200493-scl","Qualidade de vida no trabalho e adoecimento no cotidiano de docentes do Ensino Superior","Pizzio, Alex, Klein, Karla","Educação &amp; Sociedade; 36(131); 493-513","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200493&lang=pt" 
"S0101-73302015000200517-scl","A narrativa da montagem do funk carioca no cotidiano escolar","Teixeira Júnior, José Carlos","Educação &amp; Sociedade; 36(131); 517-532","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200517&lang=pt" 
"S0101-73302015000200535-scl","Inteligência como dispositivo de poder","Saavedra, Luísa","Educação &amp; Sociedade; 36(131); 535-552","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200535&lang=pt" 
"S0366-69132015000200178-scl","Revisão bibliográfica: reutilização de resíduos da construção e demolição na indústria da construção civil","Brasileiro, L. L., Matos, J. M. E.","Cerâmica; 61(358); 178-189","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200178&lang=pt" 
"S0366-69132015000200224-scl","Síntese, caracterização e propriedade fotoluminescente de tungstato de bário puro e dopado com hólmio","Sousa, R. B., Nascimento, V. A., Matos, J. M. E., Lima, C. L., Santos, C. M., Santos, M. R. M. C.","Cerâmica; 61(358); 224-235","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200224&lang=pt" 
"S0366-69132015000200259-scl","Síntese de zeólita do tipo faujasita: comparação entre caulim beneficiado e caulim flint","Rocha Junior, C. A. F., Angélica, R. S., Neves, R. F.","Cerâmica; 61(358); 259-268","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200259&lang=pt" 
"S0717-95022015000200002-chl","Some Indicators of Fatness and Motor Fitness in Slovenian and Serbian Children","Jurak, Gregor, Milanovic, Ivana, Radisavljevic Janic, Snezana, Soric, Maroje, Kovac, Marjeta","International Journal of Morphology; 33(2); 420-427","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200002&lang=pt" 
"S0717-95022015000200007-chl","Effects of 14 Weeks Resistance Training on Muscle Tissue in Wistar Rats","Castoldi, Robson Chacon, Teixeira, Giovana Rampazzo, Malheiro, Olga Cristina de Mello, Camargo, Regina Celi Trindade, Belangero, William Dias, Camargo Filho, José Carlos Silva","International Journal of Morphology; 33(2); 446-451","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200007&lang=pt" 
"S0717-95022015000200054-chl","Mandibular Condyle Repair after Partial Condylectomy in Patients with Active Condylar Hyperplasia","Olate, Sergio, Cantín, Mario, Palmieri, Celso, Alister, Juan Pablo, Muñoz, Mariela, de Moraes, Márcio","International Journal of Morphology; 33(2); 759-763","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200054&lang=pt" 
"S0717-95022015000200023-chl","Study of Morphology of Mandibular Canal Through Computed Tomography","Lins, Carla Cabral dos Santos Accioly, Beltrão, Raphaelle Lima de Almeida, Gomes, Wilber Fellipe de Lima, Ribeiro, Márcia Maria","International Journal of Morphology; 33(2); 553-557","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200023&lang=pt" 
"S0717-95022015000200056-chl","Regenerative Capacity and Histomorphometric Changes in Rat Sciatic Nerve Following Experimental Neurotmesis","Lós, Deniele Bezerra, Novaes, Karyne Albino, de Miranda, Filipe Barbosa Cunha, Lira, Kamilla Dinah Santos de, Andrade, Rodrigo Fragoso de, Moraes, Sílvia Regina Arruda de","International Journal of Morphology; 33(2); 777-781","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200056&lang=pt" 
"S0717-95022015000200026-chl","Descripción Anatómica de Cinco Órganos Internos del Delfín Nariz de Botella (Tursiops truncatus), a Través de la Técnica de Plastinación","Contreras Villanueva, María Dolores, Moreno Colín, Roberto, Sánchez Fabila, Gabriela","International Journal of Morphology; 33(2); 571-579","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200026&lang=pt" 
"S0717-95022015000200057-chl","Generation of 3D Tooth Models Based on Three-dimensional Scanning to Study the Morphology of Permanent Teeth","Cantín, Mario, Muñoz, M, Olate, Sergio","International Journal of Morphology; 33(2); 782-787","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200057&lang=pt" 
"S0717-95022015000200031-chl","Expression of Human Chorionic Gonadotropin (ßhCG) in Pre-eclamptic Placenta","Ekinci, C, Tahaoglu, A. E, Balsak, D, Deveci, E, Yavuz, D, Togrul, C, Karaman, E","International Journal of Morphology; 33(2); 607-610","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200031&lang=pt" 
"S0717-95022015000200029-chl","Análisis de un Sistema de Implante para Osteosintesis de Huesos Largos, Mediante Simulación Computacional","Sirolli, A, Sanzi, H, Elvira, G","International Journal of Morphology; 33(2); 594-599","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200029&lang=pt" 
"S0717-95022015000200018-chl","Expression of VEGF and CD68 in the Placenta of Gestational Diabetic Mothers (Immunohistochemistry and Ultrastructural Study)","Yavuz, D, Balsak, D, Ekinci, C, Tahaoglu, A. E, Togrul, C, Görük, N, Aktas, A, Karaman, E","International Journal of Morphology; 33(2); 522-526","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200018&lang=pt" 
"S0717-95022015000200019-chl","Relación entre Puntaje de Prueba de Selección Universitaria y Nota Enseñanza Media, y el Rendimiento Académico de la Asignatura de Morfología en Alumnos de Primer Año de Odontología de la Universidad de Los Andes","Grob, M, Becerra, D, Rodriguez, A, Cristiane, J, Ramirez, V, Sabag, N","International Journal of Morphology; 33(2); 527-531","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200019&lang=pt" 
"S0717-95022015000200012-chl","Morfometría de Premolares Mandibulares en Radiografías Panorámicas Digitales; Análisis de Curvaturas Radiculares","Fuentes, Ramón, Arias, Alain, Navarro, Pablo, Ottone, Nicolás, Bucchi, Cristina","International Journal of Morphology; 33(2); 476-482","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200012&lang=pt" 
"S0717-95022015000200011-chl","Morphology and Location of Surface Landmarks of Foramen Ovale in Kenyans","Kanyata, Daniel, Odula, Paul, Nyamai, Lily A, Nduati, Paul K","International Journal of Morphology; 33(2); 471-475","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200011&lang=pt" 
"S0717-95022015000200014-chl","Changes in Morphology of Alveolar Buccal Walls Following Atraumatic Internal Root Fragmentation","Engelke, Wilfried, Beltrán, Víctor, Decco, Oscar, Valdivia-Gandur, Iván, Navarro, Pablo, Fuentes, Ramón","International Journal of Morphology; 33(2); 491-496","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200014&lang=pt" 
"S0717-95022015000200046-chl","The h-index in Academic Morphology","Cantín, Mario, Muñoz, M, Roa, Ignacio","International Journal of Morphology; 33(2); 706-711","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200046&lang=pt" 
"S0717-95022015000200009-chl","Histological Study of the Oesophagus and Stomach in Grey-Backed Shrike (Lanius tephronotus)","Zhu, Lei","International Journal of Morphology; 33(2); 459-464","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200009&lang=pt" 
"S0717-95022015000200001-chl","Estudio Morfométrico de la Posición Cráneo-Cervical en Pacientes con Clases Esqueletales II y III","Cárdenas, Jairo Mariel, Flores Flores, Juan Carlos, Gutiérrez Cantú, Francisco Javier, Cárdenas, Gylmar Mariel, Sánchez Meraz, Wulfrano, Guerrero Barrera, Alma Lilian","International Journal of Morphology; 33(2); 415-419","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200001&lang=pt" 
"S0717-95022015000200003-chl","Gross and Morphometrical Studies on Mandible of Blackbuck (Antelope cervicapra)","Choudhary, Om Prakash, Singh, Ishwer, Bharti, Sanjay Kumar, Mohd, Khan Idrees, Sathapathy, Srinivas, Mrigesh, Meena","International Journal of Morphology; 33(2); 428-432","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200003&lang=pt" 
"S0717-95022015000200005-chl","Variaciones Musculares del Cuello: Fascículo Accesorio del Músculo Elevador de la Escápula","Tiznado, G, Bucarey, S, Hipp, J, Olave, E","International Journal of Morphology; 33(2); 436-439","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200005&lang=pt" 
"S0717-95022015000200004-chl","Segmento II del Hígado ¿Segmento Lateral Izquierdo o Segmento Posterior Lateral Izquierdo?","Carvallo, Eugenia, Carvallo, Pamela, Coello, Rafael, Vásquez, B","International Journal of Morphology; 33(2); 433-435","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200004&lang=pt" 
"S0717-95022015000200058-chl","Estudio Morfológico de la Retina de Salmones (Salmo salar)","Pellón, Mario, Rojas, Mariana, Yaikin, Pabla, del Sol, Mariano","International Journal of Morphology; 33(2); 788-793","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200058&lang=pt" 
"S0717-95022015000200050-chl","Comparación de Dos Métodos Radiológicos para Evaluación de Densidad Ósea en Mujeres Posmenopáusica","Camargo, Angela Jordão, Arita, Emiko Saito, de Fernández, Magda Carolina Cortéz, Watanabe, Plauto Christopher Aranha","International Journal of Morphology; 33(2); 732-736","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200050&lang=pt" 
"S0100-29452015000200480-scl","THE LYCHEE TREE PROPAGATION BY LAYERING","LINS, LEILA CRISTINA ROSA, SALOMÃO, LUIZ CARLOS CHAMHUM, CECON, PAULO ROBERTO, SIQUEIRA, DALMO LOPES DE","Revista Brasileira de Fruticultura; 37(2); 480-487","Revista Brasileira de Fruticultura","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200480&lang=pt" 
"S0717-95022015000200021-chl","Dental Morphological Markers as a Proxy for Ethnicity in Robinson Crusoe Islanders","Villanueva, Pía, Quevedo, Mónica, de Barbieri, Zulema, Piñeiro, Soledad, Herrero, Carolina, Fernández, María Angélica, Palomino, Hernán","International Journal of Morphology; 33(2); 538-543","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200021&lang=pt" 
"S0100-29452015000200396-scl","COMPORTAMENTO ESPACIAL DAS VARIÁVEIS PRODUÇÃO, VOLUME DE COPA E DIÂMETRO DE CAULE DA VARIEDADE MAXI GALA COM A UTILIZAÇÃO DA TÉCNICA DE COKRIGAGEM SOBRE POMAR COMERCIAL EM VACARIA-RS","BUENO, MÁRCIO EDUARDO BOEIRA, ABREU, JARDEL TALAMINI DE, MEYER, GERALDINE DE ANDRADE, RUFATO, LEO, BIFFI, LEONARDO JOSOÉ","Revista Brasileira de Fruticultura; 37(2); 396-403","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200396&lang=pt" 
"S0100-29452015000200534-scl","ESTAQUIA LENHOSA DE PORTA-ENXERTOS DE VIDEIRA PROMISSORES PARA REGIÕES COM HISTÓRICO DE MORTE DE PLANTAS","BETTONI, JEAN CARLOS, GARDIN, JOÃO PETERSON PEREIRA, FELDBERG, NELSON PIRES, COSTA, MURILO DALLA, SCHUMACHER, RAFAEL","Revista Brasileira de Fruticultura; 37(2); 534-539","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200534&lang=pt" 
"S0100-29452015000200367-scl","SIMULAÇÃO DA DERIVA DE CLOMAZONE E GLYPHOSATE EM MUDAS DE LARANJEIRA ‘HAMLIN’","FORESTI, EDUARDO REVOREDO, NEPOMUCENO, MARILUCE PASCOINA, ALVES, PEDRO LUIS DA COSTA AGUIAR","Revista Brasileira de Fruticultura; 37(2); 367-376","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200367&lang=pt" 
"S0100-29452015000200289-scl","UNIDADES DE FRIO PARA MACIEIRAS NA REGIÃO DE VACARIA – RS, BRASIL","CARDOSO, LOANA SILVEIRA, BERGAMASCHI, HOMERO, BOSCO, LEOSANE CRISTINA, PAULA, VIVIANE AIRES DE, NACHTIGAL, GILMAR RIBEIRO","Revista Brasileira de Fruticultura; 37(2); 289-295","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200289&lang=pt" 
"S0100-29452015000200524-scl","‘URSBRS HADA’: TANGOREIRO DE MATURAÇÃO TARDIA E DUPLO PROPÓSITO","GONZATTO, MATEUS PEREIRA, SCHWARZ, SERGIO FRANCISCO, OLIVEIRA, ROBERTO PEDROSO DE, BENDER, RENAR JOÃO, SOUZA, PAULO VITOR DUTRA DE","Revista Brasileira de Fruticultura; 37(2); 524-527","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200524&lang=pt" 
"S0717-95022015000200059-chl","Sergey Fedoroff: A Pioneer of the Neuronal Regeneration. Tribute from the Pan American Association of Anatomy","Losardo, Ricardo Jorge, Cruz Gutiérrez, Rolando, Prates, José Carlos, Moscovici, Mauricio, Rodríguez Torres, Alberto, Arteaga Martínez, Manuel","International Journal of Morphology; 33(2); 794-800","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200059&lang=pt" 
"S0717-95022015000200027-chl","Características Antropométricas y Fisiológicas de Adultos Mayores de la Comuna de Arica-Chile","Díaz, Jorge, Espinoza-Navarro, Omar, Pino, Anita","International Journal of Morphology; 33(2); 580-585","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200027&lang=pt" 
"S0100-29452015000200404-scl","COMPORTAMENTO DE GENÓTIPOS DE ABACAXIZEIRO RESISTENTES À FUSARIOSE EM COMPARAÇÃO A CULTIVARES COMERCIAIS SUSCETÍVEIS","CAETANO, LUIZ CARLOS SANTOS, VENTURA, JOSÉ AIRES, BALBINO, JOSÉ MAURO DE SOUSA","Revista Brasileira de Fruticultura; 37(2); 404-409","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200404&lang=pt" 
"S0100-29452015000200528-scl","AMIDO DE MILHO E HIPOCLORITO DE SÓDIO NO ENRAIZAMENTO IN VITRO DO ABACAXIZEIRO VITÓRIA E SEU EFEITO NA ACLIMATIZAÇÃO","PEREIRA, MONIQUE RODRIGUES, CARVALHO, VIRGINIA SILVA, LUCAS, ELIZABETH DE FÁTIMA, GRAVINA, GERALDO DE AMARAL","Revista Brasileira de Fruticultura; 37(2); 528-533","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000200528&lang=pt" 
"S0034-83092015000100077-scl","REFLEXÕES SOBRE A IMAGEM COMO GESTO: APONTAMENTOS A PARTIR DO MANUSCRITO PARIS, BNF, LATIN 9449","Aubert, Eduardo Henrik","Revista de História (São Paulo); (172); 77-111","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100077&lang=pt" 
"S1809-48642015000200151-scl","Auditory Neuropathy/Dyssynchrony: A Retrospective Analysis of 15 Cases","Unal, Murat, Vayisoglu, Yusuf","International Archives of Otorhinolaryngology; 19(2); 151-155","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200151&lang=pt" 
"S0034-83092015000100279-scl","A CARTA MUNDUS NOVUS DE VESPUCCI E A LENDA DO HOMEM NATURAL DE ROUSSEAU","Lindo, Luiz Antônio","Revista de História (São Paulo); (172); 279-297","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100279&lang=pt" 
"S1809-48642015000200100-scl","Comparing Voice Self-Assessment with Auditory Perceptual Analysis in Patients with Multiple Sclerosis","Bauer, Vladimir, Aleric, Zorica, Jancic, Ervin","International Archives of Otorhinolaryngology; 19(2); 100-105","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200100&lang=pt" 
