"S0718-84712015000100019-chl","Georgios Kanarakis (Editor): El aporte diacrònico del griego a otras lenguas","Castillo Didier, Miguel","Byzantion nea hellás; (34); 359-361","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100019&lang=pt" 
"S1810-634X2015000400006-per","Análisis estructural RMN 1D y 2D del 1 - fenil - 3 - metil - 2 - pirazolín - 5 - ona - 4 - etoxicarbonil: Cálculo de constante de fuerza y longitud de enlace del par u-o en el complejo de uranilo","Zamorano, Sergio, Camus, Juan, Pizarro, Esteban","Revista de la Sociedad Química del Perú; 81(4); 339-349","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400006&lang=pt" 
"S1810-634X2015000400001-per","Presentamos un resumen de la Segunda parte del trabajo &quot;La gestión en la investigación científica&quot; del Dr. Antonio Monge. La primera parte se publicó en el Nº 3 - 2015","","Revista de la Sociedad Química del Perú; 81(4); 295-298","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400001&lang=pt" 
"S1810-634X2015000400008-per","Síntesis de membrana de líquidos iónicos polimerizados (Pilm) con el indicador amarillo brillante para detección de pH","Yipmantín Ojeda, Andrea G, Plaza Villanueva, Enrique, García Villegas, Víctor R, Maldonado García, Holger J","Revista de la Sociedad Química del Perú; 81(4); 360-368","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400008&lang=pt" 
"S1810-634X2015000400002-per","Síntesis de nuevos copolímeros en bloque a partir de polietilenglicol y 2-oxazolinas","Rueda, Juan C, Asmad, Miguel, Sedano, Marisol, Zschoche, Stefan, Voit, Brigitte","Revista de la Sociedad Química del Perú; 81(4); 299-310","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400002&lang=pt" 
"S1810-634X2015000400009-per","Síntesis de catalizadores basados en Co-Mn para la combustión de n-hexano","Picasso, Gino, Quijano, José, Sun Kou, Rosario","Revista de la Sociedad Química del Perú; 81(4); 369-380","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400009&lang=pt" 
"S1810-634X2015000400005-per","Películas conductoras de almidón de yuca (Cassava) como material para un acumulador electroquímico de carga (batería)","Arrieta Almario, Álvaro, Jaramillo Muñoz, Andrés, Palencia Luna, Manuel","Revista de la Sociedad Química del Perú; 81(4); 328-338","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400005&lang=pt" 
"S1810-634X2015000400004-per","Evaluación de los compuestos fenólicos y capacidad antioxidante de tres colores de pétalos de mastuerzo (Tropaeolum majus L.)","Arellano Lino, Ketty, Herrera Rodríguez, Jaqueline, Quispe Solano, Miguel, Espinoza Silva, Clara, Veliz Sedano, Nora, Orihuela Vásquez, Wagner","Revista de la Sociedad Química del Perú; 81(4); 319-327","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400004&lang=pt" 
"S1810-634X2015000400007-per","Correlación de la deformación de los planos superconductores de CuO2 con la temperaturacrítica superconductora","González, J.C, Flores, J.W, De Los Santos V, L, Bustamante, A","Revista de la Sociedad Química del Perú; 81(4); 350-359","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400007&lang=pt" 
"S1810-634X2015000400003-per","Composición fitoquímica del aceite de las semillas del fruto del &quot;Aguaymanto&quot;, Physalis peruviana L","Chasquibol Silva, Nancy, Yácono Llanos, Juan Carlos","Revista de la Sociedad Química del Perú; 81(4); 311-318","Revista de la Sociedad Química del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2015000400003&lang=pt" 
"S2358-04292015000500006-scl","The biochemistry of saliva throughout pregnancy","Rio, Rute, Azevedo, Álvaro, Simões-Silva, Liliana, Marinho, Jorge, Silva, Mário Jorge, Sampaio-Maia, Benedita","MedicalExpress; 2(5); -","MedicalExpress","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500006&lang=pt" 
"S2358-04292015000500001-scl","Clinical pharmacology of gentamicin in neonates: regimen, toxicology and pharmacokinetics","Pacifici, Gian Maria","MedicalExpress; 2(5); -","MedicalExpress","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500001&lang=pt" 
"S2358-04292015000500005-scl","The impact of interleukin-13 receptor expressions in cell migration of astrocytomas","Moretti, Isabele Fattori, Silva, Roseli, Oba-Shinjo, Sueli Mieko, Carvalho, Priscila Oliveira de, Cardoso, Lais Cavalca, Castro, Isac de, Marie, Suely Kazue Nagahashi","MedicalExpress; 2(5); -","MedicalExpress","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500005&lang=pt" 
"S2358-04292015000500007-scl","MEDICALEXPRESS has been accepted for inclusion in SciELO and LILACS","Rocha-e-Silva, Mauricio","MedicalExpress; 2(5); -","MedicalExpress","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500007&lang=pt" 
"S2358-04292015000500002-scl","Hyposalivation, acidic saliva, decayed teeth and oral yeast prevalence in children with mucopolysaccharidosis","Ponciano, Sara, Areias, Cristina, Leão-Teles, Elisa, Sampaio-Maia, Benedita","MedicalExpress; 2(5); -","MedicalExpress","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500002&lang=pt" 
"S2358-04292015000500004-scl","Globally chaotic analysis of Heart Rate Variability during acute auditory stimulus by heavy metal music","Nogueira, Marcela Leme, Garner, David M., Osório, Elaine, Abreu, Luiz Carlos de, Valenti, Vitor Engrácia","MedicalExpress; 2(5); -","MedicalExpress","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500004&lang=pt" 
"S2358-04292015000500003-scl","Effects of a transdermal testosterone metered-dose nanoemulsion in peri- and postmenopausal women: a novel protocol for treating low libido","Botelho, Marco Antonio, Queiroz, Dinalva Brito, Carvalho, Celso Felício, Freitas, Allan, Barros, Gisele, Gouvea, Julia, Patrus, Lia, Bannet, Mariane, Rego, Amália Cinthia, Araújo-Filho, Irami, Silva, Ivaldo","MedicalExpress; 2(5); -","MedicalExpress","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292015000500003&lang=pt" 
"S1699-695X2015000300004-esp","Talleres sobre problemas de salud prevalentes con personas integradas en grupos de trabajo en centros de mayores","Flores Copete, María, Reolid Martínez, Ricardo, López García, Mónica, Alcantud Lozano, Pilar, Santos Berroa, Samuel, Santos Berrido, Eunice de los, Ayuso Raya, M.ª Candelaria, Escobar Rabadán, Francisco","Revista Clínica de Medicina de Familia; 8(3); 193-206","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300004&lang=pt" 
"S1699-695X2015000300006-esp","Actualización en el tratamiento del trastorno del déficit de atención con/sin hiperactividad (TDAH) en Atención Primaria","Moreno Fontiveros, M.ª Ángeles, Martínez Vera, M.ª José, Tejada González, Antonio, González Igeño, Visitación, García Resa, Oscar","Revista Clínica de Medicina de Familia; 8(3); 231-239","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300006&lang=pt" 
"S1699-695X2015000300007-esp","Bosque lluvioso","Turabián Fernández, José Luís, Pérez Franco, Benjamín","Revista Clínica de Medicina de Familia; 8(3); 240-241","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300007&lang=pt" 
"S1699-695X2015000300014-esp","Arritmias en la distrofia miotónica de Steinert","Gargantilla Madera, Pedro, Arroyo Pardo, Noelia, Pintor Holguín, Emilio","Revista Clínica de Medicina de Familia; 8(3); 265-265","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300014&lang=pt" 
"S0718-33052015000400007-chl","Análisis del método ordinal de decisión multicriterio del Veto","Fernández Bou, Ángel Santiago, Soares de Mello, João Carlos","Ingeniare. Revista chilena de ingeniería; 23(4); 556-568","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400007&lang=pt" 
"S0718-33052015000400010-chl","Analysis of large distribution networks with distributed energy resources","Martínez-Velasco, Juan A, Guerra, Gerardo","Ingeniare. Revista chilena de ingeniería; 23(4); 594-608","Ingeniare. Revista chilena de ingeniería","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400010&lang=pt" 
"S0718-33052015000400014-chl","Tensiones en uniones soldadas a tope con perfiles abiertos bajo torsión","Hernández Herrera, Hernán, Cabello Eras, Juan José, Goytisolo Espinosa, Rafael, Balbis Morejón, Milen","Ingeniare. Revista chilena de ingeniería; 23(4); 638-646","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400014&lang=pt" 
"S0718-33052015000400009-chl","Eficiencia en las instituciones educativas públicas de la ciudad de Santa Marta (Colombia) mediante &quot;Análisis Envolvente de Datos","Escorcia Caballero, Rolando, Visbal Cadavid, Delimiro, Agudelo Toloza, José Mario","Ingeniare. Revista chilena de ingeniería; 23(4); 579-593","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400009&lang=pt" 
"S0718-33052015000400012-chl","Synthesis of TiO2 thin films by the SILAR method and study of the influence of annealing on its structural, morphological and optical properties","Jiménez-García, F. N, Segura-Giraldo, B, Restrepo-Parra, E, López-López, G.A","Ingeniare. Revista chilena de ingeniería; 23(4); 622-629","Ingeniare. Revista chilena de ingeniería","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400012&lang=pt" 
"S0718-33052015000400008-chl","Análise dos tempos entre chegadas de lotes em uma indústria alimentícia","Piratelli, Claudio Luis, Achcar, Jorge Alberto, Sandrim, Renata Regina","Ingeniare. Revista chilena de ingeniería; 23(4); 569-578","Ingeniare. Revista chilena de ingeniería","Português","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400008&lang=pt" 
"S0718-33052015000400011-chl","Evaluación de la contribución de los bonos de carbono a la competitividad de las centrales solares de concentración en Chile","Rivas, Ricardo T, Cardemil, José M","Ingeniare. Revista chilena de ingeniería; 23(4); 609-621","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400011&lang=pt" 
"S0718-33052015000400005-chl","Aplicación web basada en programación por restricciones para ingeniería de asignación de espectro","Guerrero, Fabio G, Francisco Díaz, Juan, Delgado, Carlos Andrés","Ingeniare. Revista chilena de ingeniería; 23(4); 526-539","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400005&lang=pt" 
"S0718-33052015000400013-chl","Pruebas de estanqueidad en envases de tereftalato de polietileno basado en máquina de soporte vectorial","Niño Sierra, Luis Francisco, Amaya Hurtado, Darío, Avilés, Oscar Fernando","Ingeniare. Revista chilena de ingeniería; 23(4); 630-637","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400013&lang=pt" 
"S0718-33052015000400003-chl","Visualización exploratoria e interactiva de modelos de reglas de asociación","Castillo-Rojas, Wilson, Peralta, Alexis, Vargas, Camilo","Ingeniare. Revista chilena de ingeniería; 23(4); 505-513","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400003&lang=pt" 
"S0718-33052015000400006-chl","Alineación entre toma de decisiones y gestión del conocimiento: El caso de las empresas relacionadas con el negocio del turismo","Batista-Matamoros, Carlos Rafael, Velázquez-Zaldívar, Reynaldo, Díaz-Contreras, Carlos Alberto, Ronda-Pupo, Guillermo Armando","Ingeniare. Revista chilena de ingeniería; 23(4); 540-555","Ingeniare. Revista chilena de ingeniería","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052015000400006&lang=pt" 
"S0102-311X2015001002199-scl","Prevalência e fatores associados à infecção pelo Mycobacterium tuberculosis entre agentes comunitários de saúde no Brasil, usando-se a prova tuberculínica","Rogerio, Wesley Pereira, Prado, Thiago Nascimento do, Souza, Fernanda Mattos de, Pinheiro, Jair dos Santos, Rodrigues, Patrícia Marques, Sant’anna, Amanda Pissinate do Nascimento, Jesus, Kássia Gomes de, Cerutti Junior, Crispim, Lima, Rita de Cássia Duarte, Maciel, Ethel Leonor Noia","Cadernos de Saúde Pública; 31(10); 2199-2210","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002199&lang=pt" 
"S0102-311X2015001002073-scl","Maternal obesity and offspring body composition by indirect methods: a systematic review and meta-analysis","Castillo-Laura, Helen, Santos, Iná S., Quadros, Lenice C. M., Matijasevich, Alicia","Cadernos de Saúde Pública; 31(10); 2073-2092","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002073&lang=pt" 
"S1728-59172015000400007-per","Ensayos clínicos en enfermedades infecciosas desatendidas en contexto de la globalización: enfoque ético y de derechos humanos","Sanabria-Rojas, Hernán A","Acta Médica Peruana; 32(4); 235-240","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400007&lang=pt" 
"S0213-91112015000500017-spa","Accesibilidad a los datos de investigación en salud pública: eficiencia y reproducibilidad versus confidencialidad","Martínez-Beneito, Miguel A., Zurriaga, Óscar","Gaceta Sanitaria; 29(5); 394-394","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500017&lang=pt" 
"S0213-91112015000500019-spa","Emulando a Plutarco, &quot;la doctora no solo ha de ser una buena profesional, sino que también ha de parecerlo","Laxe, Sara, Sainz, María, Castaño-Monsalve, Beatriz","Gaceta Sanitaria; 29(5); 396-396","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500019&lang=pt" 
"S0213-91112015000500018-spa","Pacientes frecuentadores/as en servicios de urgencias hospitalarios","Aguilar Mulet, Juan Mariano, Fernández Alonso, Cesáreo, Fuentes Ferrer, Manuel Enrique, González Armengol, Juan Jorge","Gaceta Sanitaria; 29(5); 394-396","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500018&lang=pt" 
"S1728-59172015000400004-per","Incidencia, supervivencia y factores de riesgo del recién nacido con extremo bajo peso en un hospital","Ticona-Rendon, Manuel, Huanco-Apaza, Diana, Ticona-Huanco, Diana","Acta Médica Peruana; 32(4); 211-220","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400004&lang=pt" 
"S0213-91112015000500002-spa","El tratado de libre comercio entre los Estados Unidos y la Unión Europea y sus posibles impactos en la sanidad española","Navarro, Vicenç","Gaceta Sanitaria; 29(5); 326-327","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500002&lang=pt" 
"S0213-91112015000500020-spa","","Gotsens, Mercè","Gaceta Sanitaria; 29(5); 397-397","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500020&lang=pt" 
"S1728-59172015000400006-per","Proteína C reactiva y su relación con la adiposidad abdominal y otros factores de riesgo cardiovascular en escolares","Fernández-Giusti, Alicia Jesús, Amemiya-Hoshi, Isabel, Acosta-Evangelista, Zully Luz, Solis-Acosta, Hilda, Cambillo-Moyano, Enma, Gutarra-Vela, María, Guillermo-Sánchez, Beatriz","Acta Médica Peruana; 32(4); 229-234","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400006&lang=pt" 
"S0213-91112015000500006-spa","Twenty years trends and socio-demographic characteristics of HIV prevalence in women giving birth in Catalonia (Spain)","Carnicer-Pont, Dolors, Montoliu, Alexandra, Marín, José Luis, Almeda, Jesús, González, Victoria, Muñoz, Rafael, Martínez, Carmen, Jané, Mireia, Casabona, Jordi","Gaceta Sanitaria; 29(5); 347-352","Gaceta Sanitaria","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500006&lang=pt" 
"S0213-91112015000500009-spa","Consumo de tabaco y alcohol según la jornada laboral en España","García-Díaz, Vanesa, Fernández-Feito, Ana, Arias, Lucía, Lana, Alberto","Gaceta Sanitaria; 29(5); 364-369","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500009&lang=pt" 
"S0213-91112015000500003-spa","Victimización sexual autorreportada en adolescentes españoles comunitarios y en colectivos de riesgo","Pereda, Noemí, Abad, Judit, Guilera, Georgina, Arch, Mila","Gaceta Sanitaria; 29(5); 328-334","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500003&lang=pt" 
"S1728-59172015000400003-per","Impacto de la cintura hipertensiva en el riesgo coronario y cumplimiento de la meta colesterol LDL en adultos de Trujillo","Linares-Reyes, Edgardo, Álvarez-Vargas, Mayita Lizbeth, Castillo-Minaya, Karen Yanet, Escobar-Pairazamán, Patricia Isabel, Huamán-Saavedra, Juan Jorge","Acta Médica Peruana; 32(4); 202-210","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400003&lang=pt" 
"S0213-91112015000500001-spa","El reto de la cronicidad en España: mejor transformar que racionar","Bengoa Rentería, Rafael","Gaceta Sanitaria; 29(5); 323-325","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500001&lang=pt" 
"S1728-59172015000400008-per","Gestión de riesgos en los laboratorios clínicos","Figueroa-Montes, Luis Edgardo","Acta Médica Peruana; 32(4); 241-250","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400008&lang=pt" 
"S1728-59172015000400002-per","Efecto del consumo de Physalis peruviana L. (aguaymanto) sobre el perfil lipídico de pacientes con hipercolesterolemia","Reyes-Beltrán, María Esther Daisy, Guanilo-Reyes, Chris Katherine, Ibáñez-Cárdenas, Miguel Wilfredo, García-Collao, Carlos Edilberto, Idrogo-Alfaro, José Job, Huamán-Saavedra, Juan Jorge","Acta Médica Peruana; 32(4); 195-201","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400002&lang=pt" 
"S1699-695X2015000300005-esp","III Premios de investigación en Atención Primaria","","Revista Clínica de Medicina de Familia; 8(3); 207-230","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300005&lang=pt" 
"S1728-59172015000400009-per","Daniel A. Carrión en la Historia","Malpartida-Tello, Bertilo","Acta Médica Peruana; 32(4); 251-257","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400009&lang=pt" 
"S0213-91112015000500016-spa","Protege, y defiende tu salud también en el trabajo","Ollé-Espluga, Laia, Vergara-Duarte, Montse, Benach, Joan","Gaceta Sanitaria; 29(5); 393-393","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500016&lang=pt" 
"S1728-59172015000400001-per","La honestidad en la investigación científica","Pino-Lozano, Pablo Joel","Acta Médica Peruana; 32(4); 193-194","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400001&lang=pt" 
"S1728-59172015000400005-per","Medicación potencialmente inadecuada como factor de riesgo para el delírium en adultos mayores, en un servicio de emergencia","Amado-Tineo, José Percy, Vásquez-Alva, Rolando, Kraenau-Espinal, Erwin, Oscanoa-Espinoza, Teodoro Julio","Acta Médica Peruana; 32(4); 221-228","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400005&lang=pt" 
"S1728-59172015000400010-per","Remembranza del doctor Gustavo Ernesto Delgado Matallana","Yupari-Capcha, Maruja Elizabeth","Acta Médica Peruana; 32(4); 258-259","Acta Médica Peruana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172015000400010&lang=pt" 
"S0213-91112015000500021-spa","","García Mochón, Leticia","Gaceta Sanitaria; 29(5); 398-399","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500021&lang=pt" 
"S1130-63432015000500006-esp","Vedolizumab en Enfermedad de Crohn: informe de evaluación GENESIS-SEFH","González Chávez, Jenifer, Asensi Díez, Rocío, Tamayo Bermejo, Rocío, Alegre del Rey, Emilio Jesús, Martínez López de Castro, Noemí","Farmacia Hospitalaria; 39(5); 297-308","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500006&lang=pt" 
"S1130-63432015000500008-esp","Cambio de natalizumab a fingolimod: ¿reducción del período de lavado?","Sánchez-Gundín, Julia, Flor García, Amparo, Martí Gil, Caridad, Gómez Romero, Lourdes","Farmacia Hospitalaria; 39(5); 314-315","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500008&lang=pt" 
"S1130-63432015000500007-esp","Análisis causal e impacto de un error sistemático detectado en el consumo de trastuzumab","Bujaldón Querejeta, Nuria, Camacho Romera, Dolores, Pomares Pastor, José Antonio, Sánchez Garnes, María, Martínez Ramírez, Mauricio, González Delgado, Mercedes","Farmacia Hospitalaria; 39(5); 309-313","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500007&lang=pt" 
"S1130-63432015000500004-esp","Uso de medicamentos fuera de ficha la técnica en oncohematología: resultado de una encuesta nacional","González-Haba Peña, Eva, Agustín Ferrández, María José, Mangues Bafalluy, Irene, López, Nicolás Alfredo, Fraga Fuentes, María Dolores, Marín Gil, Roberto, Martínez Bautista, María José, Clopés Estela, Ana","Farmacia Hospitalaria; 39(5); 275-287","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500004&lang=pt" 
