"S1405-91932015000100001-mex","Las características jurídicas del neoliberalismo","Cárdenas Gracia, Jaime","Cuestiones constitucionales; (32); 3-44","Cuestiones constitucionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-91932015000100001&lang=pt" 
"S1413-41522015000200165-scl","Avaliação Ambiental Estratégica orientada pela transdisciplinaridade","Silva, Antonio Waldimir Leopoldino da, Selig, Paulo Maurício","Engenharia Sanitaria e Ambiental; 20(2); 165-174","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200165&lang=pt" 
"S1413-41522015000200175-scl","Tamanho de bolhas de ar formadas por difusores não porosos na água","Lima Neto, Iran Eduardo","Engenharia Sanitaria e Ambiental; 20(2); 175-180","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200175&lang=pt" 
"S1413-41522015000200181-scl","Disposição continental de sedimentos de dragagem em solos tropicais: avaliação do risco ecológico de metais baseada em bioensaios com organismos aquáticos e edáficos","Cesar, Ricardo, Colonese, Juan, Bidone, Edison, Castilhos, Zuleica, Egler, Silvia, Polivanov, Helena","Engenharia Sanitaria e Ambiental; 20(2); 181-189","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200181&lang=pt" 
"S1413-41522015000200191-scl","Influência de dados censurados no cálculo da concentração média das variáveis de qualidade da água demanda química de oxigênio e fosfato","Contar, Thaisa de Souza, Destro, Cesar Augusto Medeiros, Lima, Gilson Alberto Rosa","Engenharia Sanitaria e Ambiental; 20(2); 191-198","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200191&lang=pt" 
"S1413-41522015000200199-scl","Cobrança pelo uso da água no Estado do Rio de Janeiro, Brasil (2004-2013): histórico e desafios atuais","Acselrad, Moema Versiani, Azevedo, José Paulo Soares de, Formiga-Johnsson, Rosa Maria","Engenharia Sanitaria e Ambiental; 20(2); 199-208","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200199&lang=pt" 
"S1413-41522015000200209-scl","Avaliação da produção de biogás de dejetos de suínos utilizando a metodologia de superfície de resposta","Cancelier, Adriano, Soto, Ubiridiana Patrícia Dal&#039;, Costelli, Murilo Cesar, Lopes, Toni Jefferson, Silva, Adriano da","Engenharia Sanitaria e Ambiental; 20(2); 209-217","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200209&lang=pt" 
"S1413-41522015000200219-scl","Análise da influência da tarifação em seis indicadores operacionais e de qualidade dos serviços de abastecimento de água no Brasil","Fonseca, Alberto, Gabriel, Cibele Fernandes","Engenharia Sanitaria e Ambiental; 20(2); 219-224","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200219&lang=pt" 
"S1413-41522015000200225-scl","Gestão ambiental e estratégia empresarial em pequenas e médias empresas: um estudo comparativo de casos","Martins, Paulo Sérgio, Escrivão Filho, Edmundo, Nagano, Marcelo Seido","Engenharia Sanitaria e Ambiental; 20(2); 225-234","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200225&lang=pt" 
"S1413-41522015000200235-scl","Utilização de coalescedor com leito de resinas de trocas catiônicas para pré-tratamento de óleo emulsionado em efluentes líquidos","Motta, Albérico Ricardo Passos, Borges, Cristiano Piacsek, Kiperstok, Asher, Esquerre, Karla Patricia","Engenharia Sanitaria e Ambiental; 20(2); 235-242","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200235&lang=pt" 
"S1413-41522015000200251-scl","Avaliação do potencial de compostos naturais (argila, turfa e carvão) na remoção de chumbo e toxicidade de um efluente industrial","Tomasella, Richard Clayton, Oliveira, Edson Gomes de, Angelis, Dejanira de Franceschi de, Garcia, Marcelo Loureiro","Engenharia Sanitaria e Ambiental; 20(2); 251-258","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200251&lang=pt" 
"S1413-41522015000200259-scl","Precipitação química de estruvita: Recuperação de nutrientes em reator cônico de leito fluidizado utilizando magnésia industrial de baixo custo","Castro, Samuel Rodrigues, Crutchik, Dafne, Garrido, Juan Manuel, Lange, Liséte Celina","Engenharia Sanitaria e Ambiental; 20(2); 259-268","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200259&lang=pt" 
"S1413-41522015000200269-scl","Reator em bateladas sequenciais de grânulos aeróbios: estudo da formação dos grânulos e do efeito da duração do ciclo na remoção de carbono, nitrogênio e fósforo de esgoto doméstico","Wagner, Jamile, Costa, Rejane Helena Ribeiro da","Engenharia Sanitaria e Ambiental; 20(2); 269-278","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200269&lang=pt" 
"S1413-41522015000200279-scl","Desinfecção de efluente anaeróbio com o uso de ozônio/cloro","Silva, Gustavo Henrique Ribeiro da, Daniel, Luiz Antonio","Engenharia Sanitaria e Ambiental; 20(2); 279-288","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200279&lang=pt" 
"S1413-41522015000200289-scl","Influência do meio suporte na inativação de endósporos de Bacillus atrophaeus em resíduos de serviços de saúde por micro-ondas","Oliveira, Elisa Augusta de, Pisani Júnior, Reinaldo","Engenharia Sanitaria e Ambiental; 20(2); 289-296","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200289&lang=pt" 
"S1413-41522015000200297-scl","Desaguamento do lodo de estações de tratamento de água por leito de drenagem/secagem","Silveira, Cristiane, Kuroda, Emília Kiyomi, Abe, Camila Hiromi, Yoshiaki, Leonardo, Hirooka, Elisa Yoko","Engenharia Sanitaria e Ambiental; 20(2); 297-306","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200297&lang=pt" 
"S1413-41522015000200307-scl","Desenvolvimento e validação de método para quantificação simultânea de ofloxacina, norfloxacina e ciprofloxacina em urina humana","Zanchetta, Priscilla Garozi, Pena, Angelina, Gonçalves, Ricardo Franci","Engenharia Sanitaria e Ambiental; 20(2); 307-314","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200307&lang=pt" 
"S1413-41522015000200323-scl","Cultivo de mudas de eucalipto irrigadas com esgoto doméstico tratado","Silva, Robson José, Gavazza, Savia, Florencio, Lourdinha, Nascimento, Clístenes Williams Araujo, Kato, Mario Takayuki","Engenharia Sanitaria e Ambiental; 20(2); 323-330","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200323&lang=pt" 
"S0185-26202015000100077-mex","María del Carmen Vázquez Mantecón, El bisonte de América. Historia, polémica, leyenda,México, Universidad Nacional Autónoma de México, 2013, 223 pp., ilustraciones y mapas","Rojas Hernández, Laura","Estudios de historia moderna y contemporánea de México; (49); 77-80","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100077&lang=pt" 
"S1887-85712015000200007-esp","Cumplimiento de la quimioprofilaxis antipalúdica en ASPFOR XXXIII","Arcos Sánchez, C., Salinas Vela, F.T.","Sanidad Militar; 71(2); 103-108","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200007&lang=pt" 
"S2254-28842015000200010-esp","Garantizar el éxito del trasplante renal","Andreu Périz, Dolores, Hidalgo Blanco, Miguel Ángel, Moreno Arroyo, Carmen","Enfermería Nefrológica; 18(2); 138-141","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200010&lang=pt" 
"S1887-85712015000200001-esp","Unidad de aislamiento hospitalario de alto nivel: necesidad y características","Fe Marqués, Antonio, Membrillo de Novales, Francisco Javier","Sanidad Militar; 71(2); 74-76","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200001&lang=pt" 
"S1887-85712015000200008-esp","La Sanidad Militar Operacional, en el contexto multinacional","Chereguini Pavón, E., Blasco Ferrándiz, R.","Sanidad Militar; 71(2); 109-116","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200008&lang=pt" 
"S1887-85712015000200010-esp","Condiciones legales y administrativas para la secuenciación del genoma humano en el ámbito militar","Bobo-Ruiz, J.","Sanidad Militar; 71(2); 119-124","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200010&lang=pt" 
"S1887-85712015000200012-esp","Especialidad enfermería: comunicación ganadora. Cirujanos y sangradores en la expedición de Argel de 1775","Gracia Velilla, M.R., Tuells Hernández, J.V., Duro Torrijos, J.L.","Sanidad Militar; 71(2); 132-133","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200012&lang=pt" 
"S1887-85712015000200011-esp","El desconocido autogiro ambulancia de 1933, una innovación española predecesora en una década a la primera utilización del helicóptero sanitario","González Canomanuel, M.A.","Sanidad Militar; 71(2); 125-131","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200011&lang=pt" 
"S1887-85712015000200003-esp","Estudio y caracterización óptica de un Carcinoma Basocelular mediante simulación láser numérica","Campoy Fernández, J., Alcarria Garrido, R., González-Marcos, A.P., Vidal-Asensi, S.","Sanidad Militar; 71(2); 84-90","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200003&lang=pt" 
"S1887-85712015000200005-esp","Ortopedia de control del daño infantil en zona de combate","Tamburri Bariain, R., Navarro Suay, R., Porter, M., Bodega Quiroga, I., Sáenz Casco, L.","Sanidad Militar; 71(2); 95-97","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200005&lang=pt" 
"S0185-26202015000100086-mex","Gisela Moncada González, La libertad comercial: el sistema de abasto de alimentos en la ciudadde México, 1810-1835,México, Instituto Mora, 2013, 231 pp. (Historia económica)","Moreno Gutiérrez, Rodrigo","Estudios de historia moderna y contemporánea de México; (49); 86-90","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100086&lang=pt" 
"S2254-28842015000200001-esp","40 años de Enfermería Nefrológica: comprometidos con el arte de cuidar","Rollán de la Sota, M.ª Jesús","Enfermería Nefrológica; 18(2); 79-79","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200001&lang=pt" 
"S1887-85712015000200009-esp","Cuerpo extraño intraabdominal","Molero Silvero, E., Bartolomé Cela, E., Pérez Alé, M., García de la Llana, M.A.","Sanidad Militar; 71(2); 117-118","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200009&lang=pt" 
"S1887-85712015000200004-esp","Traumatismo de alta velocidad por arma de fuego en zona de conflicto","Navarro Suay, R., Tamburri Bariain, R., Sáenz Casco, L., Bodega Quiroga, I., D&#039;Agostino, L., Pozza, M.","Sanidad Militar; 71(2); 91-94","Sanidad Militar","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712015000200004&lang=pt" 
"S0185-26202015000100001-mex","1 y 2 de noviembre en la ciudad de México, 1750-1900","Vázquez Mantecón, María del Carmen","Estudios de historia moderna y contemporánea de México; (49); 1-18","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100001&lang=pt" 
"S0185-26202015000100054-mex","Gilberto Bosques y el consulado de México en Marsella (1940-1942). La burocracia en tiempos de guerra","Gleizer, Daniela","Estudios de historia moderna y contemporánea de México; (49); 54-76","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100054&lang=pt" 
"S0185-26202015000100080-mex","Las independencias hispanoamericanas (Un objeto de historia),Véronique Hébrard y Geneviève Verdo, eds., Madrid: Casa de Velázquez, 2013, 372 pp.","Breña, Roberto","Estudios de historia moderna y contemporánea de México; (49); 80-83","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100080&lang=pt" 
"S0185-26202015000100092-mex","Mauricio Tenorio-Trillo, I Speak of the City. Mexico City at the Turn of the Twentieth Century,Chicago, The University of Chicago Press, 2012, 504 pp.","Sánchez Michel, Valeria","Estudios de historia moderna y contemporánea de México; (49); 92-95","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100092&lang=pt" 
"S0185-26202015000100083-mex","Clément Thibaud, Gabriel Entin, Alejandro Gómez y Federica Morelli (dir.), L&#039;Atlantique révolutionnaire. Une perspective ibéro-américaine, Rennes, Les Perséides Éditions, 2013, 525 pp.","Almarza, Ángel Rafael","Estudios de historia moderna y contemporánea de México; (49); 83-85","Estudios de historia moderna y contemporánea de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-26202015000100083&lang=pt" 
"S1135-57272015000300001-spa","Dos planes mundiales para no morir de éxito a causa de una infección","Pérez Andrés, Cristina","Revista Española de Salud Pública; 89(3); 233-236","Revista Española de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272015000300001&lang=pt" 
"S2014-98322015000400002-esp","Elección de destino para la formación médica especializada (MIR)","Ortolá, Paula, Oltra, Macarena, López-Roig, Sofía, Colom, María F.","FEM: Revista de la Fundación Educación Médica; 18(3); 165-166","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400002&lang=pt" 
"S2014-98322015000400007-esp","Desafíos en la aplicación de las competencias en los años preclínicos de medicina","Herrera, Patricia, Cea, Alicia, Cortés, M. Teresa, Aburto, Mónica B., Farfán, Aurora, Petra, Ileana","FEM: Revista de la Fundación Educación Médica; 18(3); 189-196","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400007&lang=pt" 
"S1132-12962015000100009-esp","Análisis sociológico de los factores de riesgo sexual en la población universitaria: un estudio comparativo","Navalón Mira, Alba, Ruiz Callado, Raúl","Index de Enfermería; 24(1-2); 40-43","Index de Enfermería","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-12962015000100009&lang=pt" 
"S2014-98322015000400011-esp","El baremo académico en el acceso a la formación médica especializada en España","Dávila-Quintana, C. Delia, López-Valcárcel, Beatriz G., Barber, Patricia, Ortún, Vicente","FEM: Revista de la Fundación Educación Médica; 18(3); 219-224","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400011&lang=pt" 
"S2014-98322015000400009-esp","Calidad del informe de alta hospitalaria realizado por médicos internos residentes de especialidades quirúrgicas","Fernández-Valencia, Jenaro A., Conesa, Artur, Ríos, Moisés, Catalán, Marta, Morales, Xavier, Riba, Josep","FEM: Revista de la Fundación Educación Médica; 18(3); 205-210","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400009&lang=pt" 
"S1135-57272015000300007-esp","Desigualdades en mortalidad total y por causa de muerte según el nivel de estudios en Navarra: hallazgos de un estudio longitudinal 2001-2008","Miqueléiz, Estrella, Lostao, Lourdes, Reques, Laura, Santos, Juan M., Calle, María E., Regidor, Enrique","Revista Española de Salud Pública; 89(3); 295-306","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300007&lang=pt" 
"S1135-57272015000300010-esp","Validación de la escala eHealth Literacy (eHEALS) en población universitaria española","Paramio Pérez, Gema, Almagro, Bartolomé Jesús, Hernando Gómez, Ángel, Aguaded Gómez, José Ignacio","Revista Española de Salud Pública; 89(3); 329-338","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300010&lang=pt" 
"S2014-98322015000400004-esp","Reflexiones sobre una rotación educativa en simulación médica","Mukunda, Shilpa, Shustak, Rachel J., Szyld, Demian, Moral, Ignacio del, Maestre, José M.","FEM: Revista de la Fundación Educación Médica; 18(3); 169-171","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400004&lang=pt" 
"S1135-57272015000300001-esp","Dos planes mundiales para no morir de éxito a causa de una infección","Pérez Andrés, Cristina","Revista Española de Salud Pública; 89(3); 233-236","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300001&lang=pt" 
"S2014-98322015000400005-esp","Acreditación de unidades docentes multiprofesionales para la formación de especialistas en ciencias de la salud","Vicent-García, M. Dolores","FEM: Revista de la Fundación Educación Médica; 18(3); 173-177","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400005&lang=pt" 
"S2014-98322015000400010-esp","Reflexiones sobre la competencia comunicativa en los pregrados de las áreas de salud de universidades colombianas","Salazar-Blanco, Olga F., Echeverri-Restrepo, Cruzana, Díaz-Hernández, Diana P.","FEM: Revista de la Fundación Educación Médica; 18(3); 211-217","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400010&lang=pt" 
