"S0103-73072009010300001-scl","A educação pelas imagens e suas geografias","","Pro-Posições; 20(3); -","Pro-Posições","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072009010300001&lang=pt" 
"S1806-83242009000400009-scl","An in vitro comparison of nickel and chromium release from brackets","Haddad, Ana Cristina Soares Santos, Tortamano, Andre, Souza, Alexandre Luís de, Oliveira, Pedro Vitoriano de","Brazilian Oral Research; 23(4); 399-406","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400009&lang=pt" 
"S1806-83242009000400010-scl","Comparison of the shear bond strengths of conventional mesh bases and sandblasted orthodontic bracket bases","Lugato, Isabel Cristina Prado Torres, Pignatta, Lilian Maria Brisque, Arantes, Flávia de Moraes, Santos, Eduardo César Almada","Brazilian Oral Research; 23(4); 407-414","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400010&lang=pt" 
"S1806-83242009000400011-scl","Electromyographic evaluation of the upper lip according to the breathing mode: a longitudinal study","Ambrosio, Aldrieli Regina, Trevilatto, Paula Cristina, Martins, Lídia Parsekian, Santos-Pinto, Ary dos, Shimizu, Roberto Hideo","Brazilian Oral Research; 23(4); 415-423","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400011&lang=pt" 
"S1806-83242009000400014-scl","Microhardness of glass ionomer cements indicated for the ART technique according to surface protection treatment and storage time","Shintome, Luciana Keiko, Nagayassu, Marcos Paulo, Di Nicoló, Rebeca, Myaki, Silvio Issáo","Brazilian Oral Research; 23(4); 439-445","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400014&lang=pt" 
"S1806-83242009000400015-scl","Therapeutic effect of two fluoride varnishes on white spot lesions: a randomized clinical trial","Ferreira, Jainara Maria Soares, Aragão, Ana Karla Ramalho, Rosa, Adriana Dias Batista, Sampaio, Fábio Correia, Menezes, Valdenice Aparecida de","Brazilian Oral Research; 23(4); 446-451","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400015&lang=pt" 
"S1806-83242009000400017-scl","Low caloric value of ethanol itself increases alveolar bone loss in ligature-induced periodontitis in male rats","Souza, Daniela Martins de, Rocha, Rosilene Fernandes da","Brazilian Oral Research; 23(4); 460-466","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400017&lang=pt" 
"S1806-83242009000400019-scl","Effect of different light-curing devices and aging procedures on composite knoop microhardness","Voltarelli, Fernanda Regina, Santos-Daroz, Claudia Batitucci dos, Alves, Marcelo Corrêa, Peris, Alessandra Rezende, March, Giselle Maria","Brazilian Oral Research; 23(4); 473-479","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400019&lang=pt" 
"S1806-83242009000400006-scl","Effect of sodium bicarbonate on Candida albicans adherence to thermally activated acrylic resin","Sousa, Fernando Augusto Cervantes Garcia de, Paradella, Thaís Cachuté, Koga-Ito, Cristiane Yumi, Jorge, Antonio Olavo Cardoso","Brazilian Oral Research; 23(4); 381-385","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400006&lang=pt" 
"S1806-83242009000400016-scl","Influence of IL-1 gene polymorphism on the periodontal microbiota of HIV-infected Brazilian individuals","Gonçalves, Lucio de Souza, Ferreira, Sônia Maria Soares, Souza, Celso Oliveira, Colombo, Ana Paula Vieira","Brazilian Oral Research; 23(4); 452-459","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400016&lang=pt" 
"S1806-83242009000400013-scl","Effect of breast- and bottle-feeding duration on the age of pacifier use persistence","Telles, Fernanda Barros de Arruda, Ferreira, Rívea Inês, Magalhães, Luiza do Nascimento Cezar, Scavone-Junior, Helio","Brazilian Oral Research; 23(4); 432-438","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400013&lang=pt" 
"S1806-83242009000400002-scl","Differences in responses to the Oral Health Impact Profile (OHIP14) used as a questionnaire or in an interview","Sousa, Paula Cristina Brolezi de, Mendes, Fausto Medeiros, Imparato, José Carlos Pettorossi, Ardenghi, Thiago Machado","Brazilian Oral Research; 23(4); 358-364","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400002&lang=pt" 
"S0004-282X2009000600003-scl","Clinical description of hemodialysis headache in end-stage renal disease patients","Jesus, Alan Chester Feitosa de, Oliveira, Hélio Araújo, Paixão, Marcelo Oliveira Ribeiro, Fraga, Thalyta Porto, Barreto, Felipe José N., Valença, Marcelo Moraes","Arquivos de Neuro-Psiquiatria; 67(4); 978-981","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600003&lang=pt" 
"S0004-282X2009000600002-scl","A double-blind randomized controlled trial of low doses of propranolol, nortriptyline, and the combination of propranolol and nortriptyline for the preventive treatment of migraine","Domingues, Renan B., Silva, André L. Pirajá da, Domingues, Simone A., Aquino, Camila Catherine H., Kuster, Gustavo W.","Arquivos de Neuro-Psiquiatria; 67(4); 973-977","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600002&lang=pt" 
"S0004-282X2009000600004-scl","Comorbid anxiety and depression disorders in patients with chronic pain","Castro, Martha, Kraychete, Durval, Daltro, Carla, Lopes, Josiane, Menezes, Rafael, Oliveira, Irismar","Arquivos de Neuro-Psiquiatria; 67(4); 982-985","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600004&lang=pt" 
"S0004-282X2009000600007-scl","Does sudden unexpected death in children with epilepsy occur more frequently in those with high seizure frequency?","Terra, Vera C., Scorza, Fulvio A., Sakamoto, Américo C., Pinto, Kylvia G.F.D., Fernandes, Regina M.F., Arida, Ricardo M., Cavalheiro, Esper A., Machado, Hélio R.","Arquivos de Neuro-Psiquiatria; 67(4); 1001-1002","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600007&lang=pt" 
"S0004-282X2009000600038-scl","Dementia and mild cognitive impairment in Parkinson&#039;s disease","Tedrus, Gloria Maria Almeida Souza, Fonseca, Lineu Corrêa, Letro, Grace Helena, Bossoni, Alexandre Souza, Adriana Bastos, Samara","Arquivos de Neuro-Psiquiatria; 67(4); 1164-1165","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600038&lang=pt" 
"S0004-282X2009000600032-scl","Epilepsy research 150 years after Darwin&#039;s theory of evolution","Scorza, Fulvio A., Terra, Vera C., Scorza, Carla A., Arida, Ricardo M., Cavalheiro, Esper A.","Arquivos de Neuro-Psiquiatria; 67(4); 1114-1116","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600032&lang=pt" 
"S0004-282X2009000600017-scl","Further diffusion tensor imaging contribution in horizontal gaze palsy and progressive scoliosis","Otaduy, Maria Conceptión García, Leite, Claudia da Costa, Nagae, Lídia Mayumi, Pinho, Marco da Cunha, Bueno, Clarissa, Reed, Umbertina Conti, Kok, Fernando","Arquivos de Neuro-Psiquiatria; 67(4); 1054-1056","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600017&lang=pt" 
"S0004-282X2009000600016-scl","Effects of the use of MIG3 bioceramics fabrics use - long infrared emitter - in pain, intolerance to cold and periodic limb movements in post-polio syndrome","Silva, Tatiana Mesquita e, Moreira, Gustavo Antonio, Quadros, Abrahão Augusto Juviniano, Pradella-Hallinan, Márcia, Tufik, Sergio, Oliveira, Acary Souza Bulle","Arquivos de Neuro-Psiquiatria; 67(4); 1049-1053","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600016&lang=pt" 
"S0004-282X2009000600031-scl","Surgical treatment of ventral foramen magnum meningiomas","Silva, Danilo Otávio de Araújo, Costa, Leonardo Ferraz, Kitamura, Matheus Augusto Pinto, Câmara Júnior, Divaldo de Arruda, Silva, Joacil Carlos da, Azevedo Filho, Hildo Rocha Cirne de","Arquivos de Neuro-Psiquiatria; 67(4); 1111-1113","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600031&lang=pt" 
"S0004-282X2009000600029-scl","Subarachnoid hemorrhage in isolated cortical vein thrombosis: are presentation of an unusual condition","Bittencourt, Leonardo Kayat, Palma-Filho, Fernando, Domingues, Romeu Côrtes, Gasparetto, Emerson Leandro","Arquivos de Neuro-Psiquiatria; 67(4); 1106-1108","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600029&lang=pt" 
"S0004-282X2009000600020-scl","Ethidium bromide-induced demyelination in the sciatic nerve of diabetic rats","Bondan, Eduardo Fernandes, Custódio, Paulo Ruggiero, Lallo, Maria Anete, Bentubo, Henri Donnarumma Levy, Graça, Dominguita Luhers","Arquivos de Neuro-Psiquiatria; 67(4); 1066-1070","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600020&lang=pt" 
"S0004-282X2009000600028-scl","Hellp syndrome, reversible posterior leukoencephalopathy syndrome and eclampsia","Grzesiuk, Anderson Kuntz, Melo, Renato, Carvalho, Ademar Rodrigues","Arquivos de Neuro-Psiquiatria; 67(4); 1103-1105","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600028&lang=pt" 
"S0004-282X2009000600025-scl","Alicata disease: neuroinfestation by Angiostrongylus cantonensis in Recife, Pernambuco, Brazil","Lima, Ana Rosa Melo Correa, Mesquita, Solange Dornelas, Santos, Silvana Sobreira, Aquino, Eduardo Raniere Pessoa de, Rosa, Luana da Rocha Samico, Duarte, Fábio Souza, Teixeira, Alessandra Oliveira, Costa, Zenize Rocha da Silva, Ferreira, Maria Lúcia Brito","Arquivos de Neuro-Psiquiatria; 67(4); 1093-1096","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600025&lang=pt" 
"S0004-282X2009000600024-scl","Preemptive analgesic effect of lidocaine in a chronic neuropathic pain model","Batista, Leonardo M., Batista, Igor M., Almeida, João P., Carvalho, Carlos H., Castro-Costa, Samuel B. de, Castro-Costa, Carlos M. de","Arquivos de Neuro-Psiquiatria; 67(4); 1088-1092","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600024&lang=pt" 
"S0004-282X2009000600026-scl","Endolymphatic sac tumor and von Hippel-Lindau disease in a single family","Safatle, Patrícia Pires Netto, Farage, Luciano, Sampaio, André, Ferreira, Frederico Abreu Soares, Safatle, Heloisa Pires Netto, Oliveira, Carlos Augusto, Ferrari, Iris","Arquivos de Neuro-Psiquiatria; 67(4); 1097-1099","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600026&lang=pt" 
"S0004-282X2009000600030-scl","Spontaneous carotid dissection with hypoglossal nerve palsy as residual deficit: the importance of magnetic resonance evaluation","Bezerra, Marcio Luiz Escorio, Pedroso, José Luiz, Pieri, Alexandre","Arquivos de Neuro-Psiquiatria; 67(4); 1109-1110","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600030&lang=pt" 
"S0004-282X2009000600044-scl","Latin-american summer school on epilepsy: a call for brazilian neurologists","Scorza, Fulvio A., Yacubian, Elza M., Cavalheiro, Esper A.","Arquivos de Neuro-Psiquiatria; 67(4); 1178-1179","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600044&lang=pt" 
"S0004-282X2009000600033-scl","Neuropareidolia: diagnostic clues apropos of visual illusions","Maranhão-Filho, Péricles, Vincent, Maurice B.","Arquivos de Neuro-Psiquiatria; 67(4); 1117-1123","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600033&lang=pt" 
"S0004-282X2009000600034-scl","Spinocerebellar ataxias: microsatellite and allele frequency in unaffected and affected individuals","Freund, Aline Andrade, Scola, Rosana Hermínia, Teive, Hélio A.G., Arndt, Raquel Cristina, Costa-Ribeiro, Magda Clara Vieira da, Alle, Lupe Furtado, Werneck, Lineu Cesar","Arquivos de Neuro-Psiquiatria; 67(4); 1124-1132","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600034&lang=pt" 
"S0004-282X2009000600037-scl","The motor evoked potential in aids and HAM/TSP State of the evidence","Leon-Sarmiento, Fidias E., Elfakhani, Mohamed, Boutros, Nash N.","Arquivos de Neuro-Psiquiatria; 67(4); 1157-1163","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600037&lang=pt" 
"S0004-282X2009000600039-scl","","Schestatsky, Pedro, Nascimento, Osvaldo J.M.","Arquivos de Neuro-Psiquiatria; 67(4); 1166-1167","Arquivos de Neuro-Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600039&lang=pt" 
"S0004-282X2009000600041-scl","What do general neurologists need to know about neuropathic pain?","Schestatsky, P, Nascimento, OJM","Arquivos de Neuro-Psiquiatria; 67(4); 1175-1176","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600041&lang=pt" 
"S0004-282X2009000600040-scl","Psychiatric manifestations in multiple sclerosis patients and multiple sclerosis in psychiatric patient","Fragoso, Yára Dadalti, Brooks, Joseph Bruno Bidin","Arquivos de Neuro-Psiquiatria; 67(4); 1167-1168","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600040&lang=pt" 
"S0004-282X2009000600043-scl","Primary hemangioma of the skull","Reis, B L, Carvalho, G T C, Sousa, A A, Freitas, W B, Santiago, R A C","Arquivos de Neuro-Psiquiatria; 67(4); 1177-1177","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600043&lang=pt" 
"S1415-790X2009000400019-scl","Errata","","Revista Brasileira de Epidemiologia; 12(4); 714-714","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400019&lang=pt" 
"S1415-790X2009000400001-scl","Risk factors associated with death in patients who initiate treatment for tuberculosis after two different follow-up periods","Albuquerque, Maria de Fátima Pessoa Militão de, Batista, Joanna d&#039;Arc Lyra, Ximenes, Ricardo Arraes de Alencar, Carvalho, Marília Sá, Diniz, George Tadeu Nunes, Rodrigues, Laura Cunha","Revista Brasileira de Epidemiologia; 12(4); 513-522","Revista Brasileira de Epidemiologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400001&lang=pt" 
"S0482-50042009000600001-scl","Função sexual comprometida em pacientes com doença reumática independente da atividade da doença, tratamento e função gonadal","Østensen, Monika","Revista Brasileira de Reumatologia; 49(6); 639-642","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600001&lang=pt" 
"S0482-50042009000600006-scl","Função sexual e saúde reprodutiva em mulheres adolescentes com lúpus eritematoso sistêmico juvenil","Silva, Clovis Artur Almeida da, Febrônio, Marília Vieira, Bonfá, Eloísa, Pereira, Rosa Maria Rodrigues, Pereira, Elsa Aida Gay de, Takiuiti, Albertina Duarte","Revista Brasileira de Reumatologia; 49(6); 690-702","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600006&lang=pt" 
"S0482-50042009000600004-scl","Ausência de anticorpos antilipoproteína lipase na doença de Behçet","Carvalho, Jozélio Freire de, Viana, Vilma Santos Trindade, Bueno, Cleonice, Gonçalves, Célio Roberto, Bonfá, Eloísa","Revista Brasileira de Reumatologia; 49(6); 670-676","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600004&lang=pt" 
"S0482-50042009000600012-scl","Síndrome de Hughes-Stovin","Cruz, Vitor Alves, Muniz, Yadine A., Torres, Pedro Paulo Teixeira e Silva, Teixeira, Kim-Ir-Sem Santos, Rego, Jozelia, Silva, Nilzio Antônio da","Revista Brasileira de Reumatologia; 49(6); 747-752","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600012&lang=pt" 
"S0482-50042009000600011-scl","Artrite da gota tofácea crônica mimetizando artrite reumatoide","Sarmento, Juliana F., Cavalcante, Vinícius de A., Sarmento, Maria Tarcinara R., Braz, Alessandra de S., Freire, Eutilia A. M.","Revista Brasileira de Reumatologia; 49(6); 741-746","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600011&lang=pt" 
"S0212-16112009000600022-esp","Complicaciones de la nutrición enteral a través de gastrostomía: a propósito de un caso","Carrasco, M., Arrieta, F., Alpañes, M., Paniagua, A., Botella-Carretero, J. I., Balsa, J. A., Zamarron, I., Vázqueza, C.","Nutrición Hospitalaria; 24(6); 756-757","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000600022&lang=pt" 
"S0212-16112009000600016-esp","Modificaciones dietéticas, en jóvenes musulmanes que practican el ayuno del Ramadán","Guerrero Morilla, R., Ramírez Rodrigo, J., Sánchez Caravaca, A., Villaverde Gutiérrez, C., Ruiz Villaverde, G., Pérez Moreno, B. A.","Nutrición Hospitalaria; 24(6); 738-743","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000600016&lang=pt" 
"S0212-16112009000600010-esp","Social and behavioural aspects and their consequences in obese teenagers: importance of family&#039;s history","Jung, C., Fischer, N., Fritzenwanger, M., Thude, H., Barz, D., Figulla, Hans-Reiner","Nutrición Hospitalaria; 24(6); 693-700","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000600010&lang=pt" 
"S0212-16112009000600014-esp","Validez de la escala MNA como factor de riesgo nutricional en pacientes geriátricos institucionalizados con deterioro cognitivo moderado y severo","Tarazona Santabalbina, F. J., Belenguer Varea, A., Doménech Pascual, J. R., Gac Espínola, H., Cuesta Peredo, D., Medina Domínguez, L., Salvador Pérez, M.ª I., Avellana Zaragoza, J. A.","Nutrición Hospitalaria; 24(6); 724-731","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000600014&lang=pt" 
"S0212-16112009000600011-esp","Comparison of the ActiGraph acceloremeter and Bouchard diary to estimate energy expenditure in Spanish adolescents","Martínez-Gómez, D., Puertollano, M.ª A., Wärnberg, J., Calabro, M. A., Welk, G. J., Sjöström, M., Veiga, O. L., Marcos, A.","Nutrición Hospitalaria; 24(6); 701-710","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000600011&lang=pt" 
"S0212-16112009000600012-esp","Artificial Nutritional Support Registries: systematic review","Castelló-Botía, I., Wanden-Berghe, C., Sanz-Valero, J.","Nutrición Hospitalaria; 24(6); 711-716","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000600012&lang=pt" 
"S0080-62342009000500005-scl","Construção e validação de instrumento para Avaliação de Estresse em Estudantes de Enfermagem (AEEE)","Costa, Ana Lucia Siqueira, Polak, Catarina","Revista da Escola de Enfermagem da USP; 43(spe); 1017-1026","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500005&lang=pt" 
"S0080-62342009000500006-scl","Galveston Orientation Amnesia Test (GOAT)","Fürbringer e Silva, Silvia Cristina, Sousa, Regina Márcia Cardoso de","Revista da Escola de Enfermagem da USP; 43(spe); 1027-1033","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500006&lang=pt" 
"S0080-62342009000500008-scl","Desenvolvimento e validação de uma versão reduzida do instrumento para avaliação da Qualidade de Vida no Trabalho de enfermeiros em hospitais","Kimura, Miako, Carandina, Dirley Maria","Revista da Escola de Enfermagem da USP; 43(spe); 1044-1054","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500008&lang=pt" 
"S0716-10182009000700001-chl","Análisis retrospectivo del rendimiento de Amplicor-PCR® para la detección de Mycobacterium tuberculosis en muestras respiratorias y no respiratorias con baciloscopia negativa: A retrospective analysis","Selman B, Carolina, Poggi M, Helena, Román, Juan C, García C, Patricia, Lagos L, Marcela","Revista chilena de infectología; 26(6); 495-498","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700001&lang=pt" 
"S0716-10182009000700002-chl","Bombas de expulsión multidrogas en Acinetobacter baumannii y resistencia a antimicrobianos","Opazo C, Andrés, Mella M, Sergio, Domínguez Y, Mariana, Bello T, Helia, González R, Gerardo","Revista chilena de infectología; 26(6); 499-503","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700002&lang=pt" 
"S0716-10182009000700003-chl","Bocavirus humano: Estudios en la literatura médica y en Chile","Moreno M, Claudia, Solís O, Yanahara, O`Ryan G, Miguel","Revista chilena de infectología; 26(6); 504-510","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700003&lang=pt" 
"S0716-10182009000700004-chl","Susceptibilidad antimicrobiana de Campylobacter jejuni aislado de coprocultivos en Santiago de Chile","García C, Patricia, Valenzuela S, Natalia, Rodríguez L, M. Victoria, León C, Eugenia, Fernández J, Heríberto","Revista chilena de infectología; 26(6); 511-514","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700004&lang=pt" 
"S0716-10182009000700005-chl","Efecto antifúngico de quitosán de alto peso molecular en cepas de Candida sp aisladas de muestras clínicas","Tapia P, Cecilia, Soto M, Diego, Vergara G, Leonardo, Alburquerque O, Claudio, Maccioni R, Andrea, Matamata C, Ana M, Hermosilla D, Germán, Bucarey V, Sergio","Revista chilena de infectología; 26(6); 515-519","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700005&lang=pt" 
