"S1130-01082008000100008-esp","Metástasis adrenal de carcinoma pulmonar","Rodríguez-Hermosa, J. I., Roig, J., Ortuño, P., Quiles, A. M., Recasens, M., Codina-Cazador, A.","Revista Española de Enfermedades Digestivas; 100(1); 45-46","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100008&lang=pt" 
"S0100-736X2008000100012-scl","Conidiobolomicose em ovinos no Estado de Mato Grosso","Boabaid, Fabiana M., Ferreira, Eduardo V., Arruda, Laura P. de, Gasparetto, Naiani D., Souza, Roberto L. de, Silva, Maria C. da, Dutra, Valéria, Nakazato, Luciano, Colodel, Edson M.","Pesquisa Veterinária Brasileira; 28(1); 77-81","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100012&lang=pt" 
"S0100-736X2008000100013-scl","Detection and phylogenetic analysis of porcine enteric calicivirus, genetically related to the Cowden strain of sapovirus genogroup III, in Brazilian swine herds","Barry, Aline F., Alfieri, Alice F., Alfieri, Amauri A.","Pesquisa Veterinária Brasileira; 28(1); 82-86","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100013&lang=pt" 
"S1130-01082008000100011-esp","Esofagitis eosinofílica por sensibilización a proteínas de leche de cabra y oveja","Armisén, M., Vidal, C., López-Rosés, L., Rodríguez, V., Bartolomé, B.","Revista Española de Enfermedades Digestivas; 100(1); 53-56","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100011&lang=pt" 
"S1130-01082008000100002-esp","Consulta de alta resolución de digestivo en Andalucía: ¿qué es y cómo debe funcionar?","Herrerías Gutiérrez, J. M., Argüelles Arias, F., Martín Herrera, L., Montero Domínguez, J. M., Dios Vega, J. de, Martín-Vivaldi Martínez, R., Domínguez Macías, A., Maldonado Eloy-García, J., Sánchez Cantos, A. M., Romero Gómez, M., Márquez Galán, J. L.","Revista Española de Enfermedades Digestivas; 100(1); 5-10","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100002&lang=pt" 
"S0102-311X2008000100001-spa","Princípios e prática da promoção da saúde no Brasil","Carvalho, Antonio Ivo de","Cadernos de Saúde Pública; 24(1); 4-5","Cadernos de Saúde Pública","Inglês, Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100001&lang=pt" 
"S0102-311X2008000100023-spa","Avaliação da cobertura assistencial das equipes de saúde da família às pessoas que faleceram por doenças cerebrovasculares em Maringá, Paraná, Brasil","Baptista, Eliane Katsume Kikumoto, Marcon, Sonia Silva, Souza, Regina Kazue Tanno de","Cadernos de Saúde Pública; 24(1); 225-229","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100023&lang=pt" 
"S0102-311X2008000100018-spa","Mortalidade infantil evitável e fatores associados em Porto Alegre, Rio Grande do Sul, Brasil, 2000-2003","Jobim, Rita, Aerts, Denise","Cadernos de Saúde Pública; 24(1); 179-187","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100018&lang=pt" 
"S0102-311X2008000100017-spa","Fatores associados à qualidade da dieta de adultos residentes na Região Metropolitana de São Paulo, Brasil, 2002","Morimoto, Juliana Masami, Latorre, Maria do Rosário Dias de Oliveira, César, Chester Luiz Galvão, Carandina, Luana, Barros, Marilisa Berti de Azevedo, Goldbaum, Moises, Fisberg, Regina Mara","Cadernos de Saúde Pública; 24(1); 169-178","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100017&lang=pt" 
"S0102-311X2008000100016-spa","Uma análise das operadoras de planos próprios de saúde dos hospitais filantrópicos no Brasil","Ugá, Maria Alicia D., Lima, Sheyla Maria Lemos, Portela, Margareth Crisóstomo, Vasconcellos, Miguel Murat, Barbosa, Pedro Ribeiro, Gerschman, Silvia","Cadernos de Saúde Pública; 24(1); 157-168","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100016&lang=pt" 
"S0102-311X2008000100015-spa","Utilização de serviços odontológicos por crianças de 0 a 5 anos de idade no Município de Canela, Rio Grande do Sul, Brasil","Kramer, Paulo Floriani, Ardenghi, Thiago Machado, Ferreira, Simone, Fischer, Laura de Almeida, Cardoso, Luciana, Feldens, Carlos Alberto","Cadernos de Saúde Pública; 24(1); 150-156","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100015&lang=pt" 
"S0102-311X2008000100014-spa","Defeitos congênitos no Município do Rio de Janeiro, Brasil: uma avaliação através do SINASC (2000-2004)","Guerra, Fernando Antônio Ramos, Llerena Jr, Juan Clinton, Gama, Silvana Granado Nogueira da, Cunha, Cynthia Braga da, Theme Filha, Mariza Miranda","Cadernos de Saúde Pública; 24(1); 140-149","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100014&lang=pt" 
"S0102-311X2008000100013-spa","Percepção de risco e excesso de velocidade","Thielen, Iara Picchioni, Hartmann, Ricardo Carlos, Soares, Diogo Picchioni","Cadernos de Saúde Pública; 24(1); 131-139","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100013&lang=pt" 
"S0102-311X2008000100011-spa","Epidemiologia das pregas cutâneas triciptal e subescapular elevadas em adolescentes","Duquia, Rodrigo Pereira, Dumith, Samuel de Carvalho, Reichert, Felipe Fossati, Madruga, Samanta Winck, Duro, Luciano Nunes, Menezes, Ana Maria Baptista, Araújo, Cora Luiza","Cadernos de Saúde Pública; 24(1); 113-121","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100011&lang=pt" 
"S0102-311X2008000100010-spa","Adaptação transcultural da Escala de Independência em Atividades da Vida Diária (Escala de Katz)","Lino, Valéria Teresa Saraiva, Pereira, Silvia Regina Mendes, Camacho, Luiz Antônio Bastos, Ribeiro Filho, Sergio Telles, Buksman, Salo","Cadernos de Saúde Pública; 24(1); 103-112","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100010&lang=pt" 
"S0102-311X2008000100009-spa","Perfil epidemiológico da coqueluche no Rio Grande do Sul, Brasil: estudo da correlação entre incidência e cobertura vacinal","Trevizan, Sarina, Coutinho, Simone Elizabeth Duarte","Cadernos de Saúde Pública; 24(1); 93-102","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100009&lang=pt" 
"S0102-311X2008000100008-spa","Características associadas ao uso de serviços odontológicos entre idosos dentados e edentados no Sudeste do Brasil: Projeto SB Brasil","Martins, Andréa Maria Eleutério de Barros Lima, Barreto, Sandhi Maria, Pordeus, Isabela Almeida","Cadernos de Saúde Pública; 24(1); 81-92","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100008&lang=pt" 
"S0102-311X2008000100005-spa","Atividade física em adultos e idosos residentes em áreas de abrangência de unidades básicas de saúde de municípios das regiões Sul e Nordeste do Brasil","Siqueira, Fernando V., Facchini, Luiz Augusto, Piccini, Roberto X., Tomasi, Elaine, Thumé, Elaine, Silveira, Denise S., Hallal, Pedro C.","Cadernos de Saúde Pública; 24(1); 39-54","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100005&lang=pt" 
"S0102-311X2008000100002-scl","¿Políticas de salud y salud politizada? Un análisis de las políticas de salud sexual y reproductiva en Perú desde la perspectiva de la ética médica, calidad de atención y derechos humanos","Miranda, J. Jaime, Yamin, Alicia Ely","Cadernos de Saúde Pública; 24(1); 7-15","Cadernos de Saúde Pública","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100002&lang=pt" 
"S0102-311X2008000100003-scl","Amostragem por saturação em pesquisas qualitativas em saúde: contribuições teóricas","Fontanella, Bruno José Barcellos, Ricas, Janete, Turato, Egberto Ribeiro","Cadernos de Saúde Pública; 24(1); 17-27","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100003&lang=pt" 
"S0102-311X2008000100004-scl","Análise de indicadores de avaliação do atendimento a crianças e adolescentes em situação de violência","Ferreira, Ana Lúcia, Souza, Edinilsa Ramos de","Cadernos de Saúde Pública; 24(1); 28-38","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100004&lang=pt" 
"S0102-311X2008000100005-scl","Atividade física em adultos e idosos residentes em áreas de abrangência de unidades básicas de saúde de municípios das regiões Sul e Nordeste do Brasil","Siqueira, Fernando V., Facchini, Luiz Augusto, Piccini, Roberto X., Tomasi, Elaine, Thumé, Elaine, Silveira, Denise S., Hallal, Pedro C.","Cadernos de Saúde Pública; 24(1); 39-54","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100005&lang=pt" 
"S0102-311X2008000100006-scl","Doenças respiratórias agudas: um estudo das desigualdades em saúde","Chiesa, Anna M., Westphal, Marcia F., Akerman, Marco","Cadernos de Saúde Pública; 24(1); 55-69","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100006&lang=pt" 
"S0102-311X2008000100008-scl","Características associadas ao uso de serviços odontológicos entre idosos dentados e edentados no Sudeste do Brasil: Projeto SB Brasil","Martins, Andréa Maria Eleutério de Barros Lima, Barreto, Sandhi Maria, Pordeus, Isabela Almeida","Cadernos de Saúde Pública; 24(1); 81-92","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100008&lang=pt" 
"S0102-311X2008000100009-scl","Perfil epidemiológico da coqueluche no Rio Grande do Sul, Brasil: estudo da correlação entre incidência e cobertura vacinal","Trevizan, Sarina, Coutinho, Simone Elizabeth Duarte","Cadernos de Saúde Pública; 24(1); 93-102","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100009&lang=pt" 
"S0102-311X2008000100010-scl","Adaptação transcultural da Escala de Independência em Atividades da Vida Diária (Escala de Katz)","Lino, Valéria Teresa Saraiva, Pereira, Silvia Regina Mendes, Camacho, Luiz Antônio Bastos, Ribeiro Filho, Sergio Telles, Buksman, Salo","Cadernos de Saúde Pública; 24(1); 103-112","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100010&lang=pt" 
"S0102-311X2008000100011-scl","Epidemiologia das pregas cutâneas triciptal e subescapular elevadas em adolescentes","Duquia, Rodrigo Pereira, Dumith, Samuel de Carvalho, Reichert, Felipe Fossati, Madruga, Samanta Winck, Duro, Luciano Nunes, Menezes, Ana Maria Baptista, Araújo, Cora Luiza","Cadernos de Saúde Pública; 24(1); 113-121","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100011&lang=pt" 
"S0102-311X2008000100013-scl","Percepção de risco e excesso de velocidade","Thielen, Iara Picchioni, Hartmann, Ricardo Carlos, Soares, Diogo Picchioni","Cadernos de Saúde Pública; 24(1); 131-139","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100013&lang=pt" 
"S0102-311X2008000100014-scl","Defeitos congênitos no Município do Rio de Janeiro, Brasil: uma avaliação através do SINASC (2000-2004)","Guerra, Fernando Antônio Ramos, Llerena Jr, Juan Clinton, Gama, Silvana Granado Nogueira da, Cunha, Cynthia Braga da, Theme Filha, Mariza Miranda","Cadernos de Saúde Pública; 24(1); 140-149","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100014&lang=pt" 
"S0102-311X2008000100015-scl","Utilização de serviços odontológicos por crianças de 0 a 5 anos de idade no Município de Canela, Rio Grande do Sul, Brasil","Kramer, Paulo Floriani, Ardenghi, Thiago Machado, Ferreira, Simone, Fischer, Laura de Almeida, Cardoso, Luciana, Feldens, Carlos Alberto","Cadernos de Saúde Pública; 24(1); 150-156","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100015&lang=pt" 
"S0102-311X2008000100016-scl","Uma análise das operadoras de planos próprios de saúde dos hospitais filantrópicos no Brasil","Ugá, Maria Alicia D., Lima, Sheyla Maria Lemos, Portela, Margareth Crisóstomo, Vasconcellos, Miguel Murat, Barbosa, Pedro Ribeiro, Gerschman, Silvia","Cadernos de Saúde Pública; 24(1); 157-168","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100016&lang=pt" 
"S0102-311X2008000100017-scl","Fatores associados à qualidade da dieta de adultos residentes na Região Metropolitana de São Paulo, Brasil, 2002","Morimoto, Juliana Masami, Latorre, Maria do Rosário Dias de Oliveira, César, Chester Luiz Galvão, Carandina, Luana, Barros, Marilisa Berti de Azevedo, Goldbaum, Moises, Fisberg, Regina Mara","Cadernos de Saúde Pública; 24(1); 169-178","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100017&lang=pt" 
"S0102-311X2008000100018-scl","Mortalidade infantil evitável e fatores associados em Porto Alegre, Rio Grande do Sul, Brasil, 2000-2003","Jobim, Rita, Aerts, Denise","Cadernos de Saúde Pública; 24(1); 179-187","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100018&lang=pt" 
"S0102-311X2008000100019-scl","A dinâmica do cuidado em saúde mental: signos, significados e práticas de profissionais em um Centro de Assistência Psicossocial em Salvador, Bahia, Brasil","Nunes, Mônica, Torrenté, Maurice de, Ottoni, Vitória, Moraes Neto, Valfrido, Santana, Mônica","Cadernos de Saúde Pública; 24(1); 188-196","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100019&lang=pt" 
"S0102-311X2008000100020-scl","A política pública de saúde brasileira: representação e memória social de profissionais","Oliveira, Denize Cristina de, Sá, Celso Pereira de, Gomes, Antonio Marcos Tosoli, Ramos, Raquel de Souza, Pereira, Noraisa Alves, Santos, Weena Costa Rocha dos","Cadernos de Saúde Pública; 24(1); 197-206","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100020&lang=pt" 
"S0102-311X2008000100021-scl","Acesso a e utilização de serviços odontológicos no Estado do Rio de Janeiro, Brasil, em 1998: um estudo exploratório a partir da Pesquisa Nacional por Amostra de Domicílios","Manhães, Antonio Luís Dias, Costa, Antonio José Leal","Cadernos de Saúde Pública; 24(1); 207-218","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100021&lang=pt" 
"S0102-311X2008000100002-spa","¿Políticas de salud y salud politizada? Un análisis de las políticas de salud sexual y reproductiva en Perú desde la perspectiva de la ética médica, calidad de atención y derechos humanos","Miranda, J. Jaime, Yamin, Alicia Ely","Cadernos de Saúde Pública; 24(1); 7-15","Cadernos de Saúde Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100002&lang=pt" 
"S0102-311X2008000100003-spa","Amostragem por saturação em pesquisas qualitativas em saúde: contribuições teóricas","Fontanella, Bruno José Barcellos, Ricas, Janete, Turato, Egberto Ribeiro","Cadernos de Saúde Pública; 24(1); 17-27","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100003&lang=pt" 
"S0102-311X2008000100004-spa","Análise de indicadores de avaliação do atendimento a crianças e adolescentes em situação de violência","Ferreira, Ana Lúcia, Souza, Edinilsa Ramos de","Cadernos de Saúde Pública; 24(1); 28-38","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100004&lang=pt" 
"S0102-311X2008000100006-spa","Doenças respiratórias agudas: um estudo das desigualdades em saúde","Chiesa, Anna M., Westphal, Marcia F., Akerman, Marco","Cadernos de Saúde Pública; 24(1); 55-69","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100006&lang=pt" 
"S0102-311X2008000100019-spa","A dinâmica do cuidado em saúde mental: signos, significados e práticas de profissionais em um Centro de Assistência Psicossocial em Salvador, Bahia, Brasil","Nunes, Mônica, Torrenté, Maurice de, Ottoni, Vitória, Moraes Neto, Valfrido, Santana, Mônica","Cadernos de Saúde Pública; 24(1); 188-196","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100019&lang=pt" 
"S0102-311X2008000100020-spa","A política pública de saúde brasileira: representação e memória social de profissionais","Oliveira, Denize Cristina de, Sá, Celso Pereira de, Gomes, Antonio Marcos Tosoli, Ramos, Raquel de Souza, Pereira, Noraisa Alves, Santos, Weena Costa Rocha dos","Cadernos de Saúde Pública; 24(1); 197-206","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100020&lang=pt" 
"S0102-311X2008000100021-spa","Acesso a e utilização de serviços odontológicos no Estado do Rio de Janeiro, Brasil, em 1998: um estudo exploratório a partir da Pesquisa Nacional por Amostra de Domicílios","Manhães, Antonio Luís Dias, Costa, Antonio José Leal","Cadernos de Saúde Pública; 24(1); 207-218","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100021&lang=pt" 
"S1516-35982008000100014-scl","Substituição total do milho por sorgo e óleo de abatedouro avícola em dietas para frangos de corte","Rocha, Vitória Régia Ramos de Albuquerque, Dutra Júnior, Wilson Moreira, Rabello, Carlos Bôa-Viagem, Ramalho, Ricardo Pimentel, Ludke, Maria do Carmo Mohaupt Marques, Silva, Elisabete Cristina da","Revista Brasileira de Zootecnia; 37(1); 95-102","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100014&lang=pt" 
"S1516-35982008000100015-scl","Níveis de proteína bruta em dietas comerciais para suínos em crescimento e terminação","Trindade Neto, Messias Alves da, Moreira, José Aparecido, Berto, Dirlei Antonio, Miguel, Willian Correa, Schammass, Eliana Aparecida","Revista Brasileira de Zootecnia; 37(1); 103-108","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100015&lang=pt" 
"S1516-35982008000100016-scl","Níveis de energia metabolizável em rações pré-iniciais para frangos de corte","Xavier, Suzany Aparecida Gomes, Stringhini, José Henrique, Brito, Alexandre Barbosa de, Andrade, Maria Auxiliadora, Leandro, Nadja Susana Mogyca, Café, Marcos Barcellos","Revista Brasileira de Zootecnia; 37(1); 109-115","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100016&lang=pt" 
"S1516-35982008000100020-scl","Consumo de nutrientes e desempenho de cordeiros em confinamento alimentados com dietas com polpa cítrica úmida prensada em substituição à silagem de milho","Pereira, Mykel Stefanni, Ribeiro, Edson Luis de Azambuja, Mizubuti, Ivone Yurika, Rocha, Marco Antonio da, Kuraoka, Juliana Tiemi, Nakaghi, Eduardo Yukio Okada","Revista Brasileira de Zootecnia; 37(1); 134-139","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100020&lang=pt" 
"S1516-35982008000100024-scl","Composição físico-química de carcaças de bezerros holandeses alimentados após o desaleitamento com silagem de grãos úmidos ou grãos secos de milho ou sorgo","Almeida Júnior, Gercílio Alves de, Costa, Ciniro, Carvalho, Sebastião Marcos Ribeiro de, Persichetti Júnior, Pedro, Panichi, Amanda","Revista Brasileira de Zootecnia; 37(1); 164-170","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100024&lang=pt" 
"S1516-35982008000100025-scl","Tendências na comercialização de bezerros relacionadas às características genéticas no Rio Grande do Sul","Christofari, Luciana Fagundes, Barcellos, Júlio Otávio Jardim, Costa, Eduardo Castro da, Oaigen, Ricardo Pedroso, Braccini Neto, José, Grecellé, Roberto Andrade","Revista Brasileira de Zootecnia; 37(1); 171-176","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100025&lang=pt" 
"S0042-96862008000100012-spa","Estimating the costs of achieving the WHO-UNICEF Global Immunization Vision and Strategy, 2006-2015","Wolfson, Lara J, Gasse, François, Lee-Martin, Shook-Pui, Lydon, Patrick, Magan, Ahmed, Tibouti, Abdelmajid, Johns, Benjamin, Hutubessy, Raymond, Salama, Peter, Okwo-Bele, Jean-Marie","Bulletin of the World Health Organization; 86(1); 27-39","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000100012&lang=pt" 
"S1516-35982008000100008-scl","Influência da espermatogênese e dos níveis de testosterona no aspecto reprodutivo de codornas","Amoroso, Lizandra, Artoni, Silvana Martinez Baraldi, Moraes, Vera Maria Barbosa de, Perecin, Dilermano, Franzo, Vanessa Sobue, Amoroso, Patrícia","Revista Brasileira de Zootecnia; 37(1); 61-66","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100008&lang=pt" 
"S1516-35982008000100019-scl","Características físico-mecânicas de couros caprinos e ovinos no Cariri Paraibano","Oliveira, Robson José Freitas, Costa, Roberto Germano, Sousa, Wandrick Hauss de, Medeiros, Ariosvaldo Nunes de, Furlanetto, Egidio Luiz, Aquino, Delma do Socorro P. B.","Revista Brasileira de Zootecnia; 37(1); 129-133","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000100019&lang=pt" 
