"S1806-11172016000300419-scl","A Teoria de Duffin-Kemmer-Petiau","Cardoso, T.R., Pimentel, B.M.","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300419&lang=pt" 
"S1678-86212016000300053-scl","Trincheira de infiltração como técnica compensatória no manejo das águas pluviais urbanas","Melo, Tássia dos Anjos Tenório de, Coutinho, Artur Paiva, Santos, João Batista Fialho dos, Cabral, Jaime Joaquim da Silva Pereira, Antonino, Antônio Celso Dantas, Lassabatere, Laurent","Ambiente Construído; 16(3); 53-72","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300053&lang=pt" 
"S1678-86212016000300137-scl","Avaliação da adição de cinzas do bagaço de cana-de-açúcar em argamassas mistas","Castro, Tainara Rigotti de, Martins, Carlos Humberto","Ambiente Construído; 16(3); 137-151","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300137&lang=pt" 
"S1678-86212016000300167-scl","Os &quot;pequenos&quot; conjuntos Cecap derivados de Guarulhos e Jundiaí: uma análise comparativa","Augusto, Wilton Flávio Camoleze, Guadanhim, Sidnei Junior","Ambiente Construído; 16(3); 167-195","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300167&lang=pt" 
"S1678-86212016000300039-scl","Preferências da população de diferentes estratos sociais no manejo das águas pluviais urbanas","Tassi, Rutinéia, Piccilli, Daniel Gustavo Allasia, Brancher, Santiago Chaves, Roman, Carlos Augusto","Ambiente Construído; 16(3); 39-52","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300039&lang=pt" 
"S1678-86212016000300153-scl","Avaliação da reologia, da RAA e das propriedades de argamassas no estado fresco utilizando cinza de eucalipto como substituição parcial ao cimento Portland","França, Débhora Flávia Soto, Rey, Rafaela Oliveira, Ferreira, Luciano Renato Conceição, Ribeiro, Daniel Veras","Ambiente Construído; 16(3); 153-166","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300153&lang=pt" 
"S1678-86212016000300005-scl","Editorial","Kowaltowski, Doris Catharine Cornelie Knatz, Hirota, Ercília Hitomi, Savastano Junior, Holmer, Souza, Léa Cristina Lucas de","Ambiente Construído; 16(3); 5-6","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300005&lang=pt" 
"S1678-86212016000300197-scl","Quais as principais características organizacionais das empresas dos diferentes segmentos da construção civil?","Maia, Alessandra Tourinho, Iarozinski Neto, Alfredo","Ambiente Construído; 16(3); 197-215","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300197&lang=pt" 
"S1980-993X2016000300535-scl","Using game theory to assess multi-company strategies in watershed management","Thompson, Luke Ogilvie, Leoneti, Alexandre Bevilacqua, Bañares-Alcántara, René, Pires, Eduardo Cleto","Revista Ambiente &amp; Água; 11(3); 535-547","Revista Ambiente &amp; Água","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000300535&lang=pt" 
"S1980-993X2016000300519-scl","Behavioral changes in female Swiss mice exposed to tannery effluents","Almeida, Sabrina Ferreira de, Rabelo, Letícia Martins, Souza, Joyce Moreira de, Ferreira, Raíssa de Oliveira, Guimarães, Abraão Tiago Batista, Pereira, Caio César Oliveira, Rodrigues, Aline Sueli de Lima, Malafaia, Guilherme","Revista Ambiente &amp; Água; 11(3); 519-534","Revista Ambiente &amp; Água","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000300519&lang=pt" 
"S1980-993X2016000300586-scl","Crise hídrica em publicações científicas: olhares da bioética ambiental","Fischer, Marta Luciane, Cunha, Thiago Rocha da, Rosaneli, Caroline Filla, Molinari, Renata Bicudo, Sganzerla, Anor","Revista Ambiente &amp; Água; 11(3); 586-600","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000300586&lang=pt" 
"S1980-993X2016000300650-scl","Estrutura da vegetação herbácea em paisagens ciliares no sul de Santa Catarina, Brasil","Guislon, Aline Votri, Ceron, Karoline, Elias, Guilherme Alves, Santos, Robson, Citadini-Zanette, Vanilde","Revista Ambiente &amp; Água; 11(3); 650-664","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000300650&lang=pt" 
"S1678-86212016000300089-scl","Impactos da alteração no albedo das superfícies no microclima e nos níveis de conforto térmico de pedestres em cânions urbanos","Krüger, Eduardo Leite, Gonzalez, Dominique Elena Giordano","Ambiente Construído; 16(3); 89-106","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300089&lang=pt" 
"S1678-86212016000300073-scl","Impacto da geometria do cânion urbano na intensidade de ilha de calor noturna: análise através de um modelo simplificado adaptado a um SIG","Nakata-Osaki, Camila Mayumi, Souza, Léa Cristina Lucas de, Rodrigues, Daniel Souto","Ambiente Construído; 16(3); 73-87","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300073&lang=pt" 
"S1980-65742016000300174-scl","Effects of water ingestion throughout exercise and recovery on cardiac autonomic modulation during and after exercise","Moreno, Isadora Lessa, Vanderlei, Luiz Carlos Marques, Vanderlei, Franciele Marques, Pastre, Carlos Marcelo, Abreu, Luiz Carlos de, Ferreira, Celso","Motriz: Revista de Educação Física; 22(3); 174-182","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000300174&lang=pt" 
"S1980-65742016000300205-scl","Postural balance in Alzheimer&#039;s disease patients undergoing sensory pitfalls","Berton, Brunna, Cê, Andressa, Sanches, Vinícius Santos, Medola, Fausto Orsi, Tarnhovi, Evandro Gonzales, Christofoletti, Gustavo","Motriz: Revista de Educação Física; 22(3); 205-210","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000300205&lang=pt" 
"S1980-65742016000300211-scl","Oxygen uptake in water polo, comparison and agreement in cycle ergometer and eggbeater kick: A pilot study","Engelmann, Ligia Ignêz, Liedtke, Giane Veiga, Castro, Flávio de Souza","Motriz: Revista de Educação Física; 22(3); 211-216","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000300211&lang=pt" 
"S1980-65742016000300217-scl","Resistance exercise improves metabolic parameters and changes adipocyte-derived leptin: a comparison between genders in untrained adults","Mota, Gustavo Ribeiro da, Orsatti, Fábio Lera, Delbin, Maria Andréia, Zanesco, Angelina","Motriz: Revista de Educação Física; 22(3); 217-222","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000300217&lang=pt" 
"S1980-65742016000300133-scl","Validity analysis of one-repetition maximum strength test for determining the hamstrings-to-quadriceps ratio","Sabino, George Schayer, Felício, Diogo Carvalho, Guimarães, Cristiano Queiroz, Abreu, Bento João da Graça Azevedo, Vieira, Wouber Hérickson de Brito","Motriz: Revista de Educação Física; 22(3); 133-137","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000300133&lang=pt" 
"S1980-65742016000300160-scl","Comparison of different ways of expressing creatine kinase concentration of soccer players during a competitive season","Coelho, Daniel Barbosa, Cabido, Christian Emmanuel Torres, Ciminelli, Victor Augusto Lemos, Coelho, Leonardo Gomes Martins, Becker, Lenice Kapes, Oliveira, Emerson Cruz de, Pereira, Emerson Rodrigues, Marins, João Carlos Bouzas, Garcia, Emerson Silami","Motriz: Revista de Educação Física; 22(3); 160-165","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000300160&lang=pt" 
"S0102-77862016000700298-scl","Climatologia no Entorno da Central Nuclear de Angra dos Reis, RJ","Figueiredo, João Batista Araujo, Chan, Chou Sin, Dereczynski, Claudine Pereira, Lyra, André de Arruda, Silva Filho, Pedro Paulo de Lima e, Almeida, Patrícia Moço Princisval","Revista Brasileira de Meteorologia; 31(3); 298-310","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700298&lang=pt" 
"S0102-77862016000700311-scl","Black Carbon em Material Particulado nas Residências de Idosos na Região Metropolitana de São Paulo, Brasil","Segalin, Bruna, Gonçalves, Fabio L.T., Fornaro, Adalgiza","Revista Brasileira de Meteorologia; 31(3); 311-318","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700311&lang=pt" 
"S0102-77862016000700366-scl","Comportamento das Águas Superficiais nos Oceanos Pacifico e Atlântico Durante o Período de 1982 a 2014","Ferreira, Flaviano Fernandes, Silva, Vicente de Paulo Rodrigues da, Silva, Lindenberg Lucena da, Silva, Emerson Mariano, Alves, José Maria Brabo, Bandeira, Maria Marle, Becker, Carmen Terezinha","Revista Brasileira de Meteorologia; 31(3); 366-373","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700366&lang=pt" 
"S0102-77862016000700262-scl","Projeções de Vazão Afluente à Lagoa Mangueira com Base em Cenários de Mudanças Climáticas","Tejadas, Bruno Espinosa, Bravo, Juan Martin, Sanagiotto, Daniela Guzzon, Tassi, Rutinéia, Marques, David Manuel Lelinho da Motta","Revista Brasileira de Meteorologia; 31(3); 262-272","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700262&lang=pt" 
"S0102-77862016000700273-scl","Análise de um Vórtice Ciclônico e Mesoescala Associado a ZCAS em Janeiro de 2009","Quadro, Mário Francisco Leal de, Dias, Maria Assunção Faus da Silva, Herdies, Dirceu Luis","Revista Brasileira de Meteorologia; 31(3); 273-287","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700273&lang=pt" 
"S0102-77862016000700251-scl","Células de Circulação Meridional Durante os Eventos Extremos de Gelo Marinho Antártico","Carpenedo, Camila Bertoletti, Ambrizzi, Tércio","Revista Brasileira de Meteorologia; 31(3); 251-261","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700251&lang=pt" 
"S0102-77862016000700288-scl","Future Projections of Fire Occurrence in Brazil Using EC-Earth Climate Model","Silva, Patrícia, Bastos, Ana, DaCamara, Carlos C., Libonati, Renata","Revista Brasileira de Meteorologia; 31(3); 288-297","Revista Brasileira de Meteorologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700288&lang=pt" 
"S0102-77862016000700319-scl","Diagnóstico Meteorológico dos Desastres Naturais Ocorridos nos Últimos 20 Anos na Cidade de Duque de Caxias","Barcellos, Priscila da Cunha Luz, Silva, Fabricio Polifke da, Vissirini, Fernanda Santa Bárbara, Magalhães, Camila de Assis, Terra, Juliana Marques, Dutra, Marcos Rezende Ferreira, Amaral, Igor Cunha França do","Revista Brasileira de Meteorologia; 31(3); 319-329","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700319&lang=pt" 
"S0102-77862016000700330-scl","Evidências de Mudanças Climáticas na Região de Transição Amazônia-Cerrado no Estado do Maranhão","Silva, Fabrício Brito, Santos, Jessflan Rafael Nascimento, Feitosa, Francisco Emerson Carpegiane Silva, Silva, Itallo Dirceu Costa, Araújo, Mayara Lucyanne Santos de, Guterres, Camila Everton, Santos, Juliana Sales dos, Ribeiro, Camila Viegas, Bezerra, Denilson da Silva, Neres, Raimundo Luna","Revista Brasileira de Meteorologia; 31(3); 330-336","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700330&lang=pt" 
"S0102-77862016000700337-scl","Projeções de Mudanças Climáticas sobre o Nordeste Brasileiro dos Modelos do CMIP5 e do CORDEX","Guimarães, Sullyandro Oliveira, Costa, Alexandre Araújo, Vasconcelos Júnior, Francisco das Chagas, Silva, Emerson Mariano da, Sales, Domingo Cassain, Araújo Júnior, Luiz Martins de, Souza, Samuel Galvão de","Revista Brasileira de Meteorologia; 31(3); 337-365","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000700337&lang=pt" 
"S0103-51502016000300597-scl","Nocturnal oxyhemoglobin desaturation during sleep in congestive heart failure patients","Urbano, Jéssica Julioti, Uchiyama, Lilian Nanami, Silva, Anderson Soares, Peixoto, Roger André Oliveira, Nacif, Sergio Roberto, Oliveira, Luis Vicente Franco","Fisioterapia em Movimento; 29(3); 597-606","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300597&lang=pt" 
"S2446-47402016000300223-scl","Effects of aging on interjoint coordination during arm reaching","Silva, Marcus Vinicius da, Bagesteiro, Leia Bernardi","Research on Biomedical Engineering; 32(3); 223-233","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300223&lang=pt" 
"S2446-47402016000300293-scl","Analysis of serum cortisol levels by Fourier Transform Infrared Spectroscopy for diagnosis of stress in athletes","Lemes, Lia Campos, Caetano Júnior, Paulo Cesar, Strixino, Juliana Ferreira, Aguiar, Josafá, Raniero, Leandro","Research on Biomedical Engineering; 32(3); 293-300","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300293&lang=pt" 
"S2446-47402016000300274-scl","Developing a dynamic virtual stimulation protocol to induce linear egomotion during orthostatic posture control test","Da-Silva, Paulo José Guimarães, Cagy, Maurício, Infantosi, Antonio Fernando Catelli","Research on Biomedical Engineering; 32(3); 274-282","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300274&lang=pt" 
"S2446-47402016000300301-scl","Volumetric T1 and T2 magnetic resonance brain toolkit for relaxometry mapping simulation","Senra Filho, Antonio Carlos da Silva","Research on Biomedical Engineering; 32(3); 301-305","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300301&lang=pt" 
"S2446-47402016000300234-scl","Comparative study of periodicity estimation methods using ultrasonic signals","Kauati, Adriana, Pereira, Wagner Coelho de Albuquerque, Campos, Marcello Luiz Rodrigues","Research on Biomedical Engineering; 32(3); 234-242","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300234&lang=pt" 
"S2446-47402016000300283-scl","Breast tumor classification in ultrasound images using support vector machines and neural networks","Nascimento, Carmina Dessana Lima, Silva, Sérgio Deodoro de Souza, Silva, Thales Araújo da, Pereira, Wagner Coelho de Albuquerque, Costa, Marly Guimarães Fernandes, Costa Filho, Cicero Ferreira Fernandes","Research on Biomedical Engineering; 32(3); 283-292","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300283&lang=pt" 
"S0103-51502016000300487-scl","Influence of classic massage on cardiac autonomic modulation","Paschoal, Mário Augusto","Fisioterapia em Movimento; 29(3); 487-496","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300487&lang=pt" 
"S0103-51502016000300569-scl","Carpal tunnel syndrome: mobilization and segmental stabilization","Moraes, David Fedrigo, Gasparini, Andréa Licre Pessina, Grecco, Marco Aurélio Sertório, Almeida, Nathalia Helen Neves, Mainardi, Tamiris Cassin, Fernandes, Luciane Fernanda Rodrigues Martinho","Fisioterapia em Movimento; 29(3); 569-579","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300569&lang=pt" 
"S0103-51502016000300581-scl","Motor development of preterm and term infants in the fundamental movement phase: a cross-sectional study","Silva, Joyce Karla Machado da, Sargi, Aline Mariane, Andrade, Isabel Cristina de Oliveira, Araújo, Camila Costa de, Antonio, Tiago Del","Fisioterapia em Movimento; 29(3); 581-588","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300581&lang=pt" 
"S0103-51502016000300561-scl","Ipsilesional upper limb performance in stroke individuals: relationship among outcomes of different tests used to assess hand function","Cunha, Bianca Pinto, Freitas, Sandra Maria Sbeghen Ferreira de, Menezes, Viviana Van Den Berg de, Freitas, Paulo Barbosa de","Fisioterapia em Movimento; 29(3); 561-568","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300561&lang=pt" 
"S0103-51502016000300527-scl","Correlation between temporomandibular disorder and quality of sleep in women","Tosato, Juliana de Paiva, Politti, Fabiano, Garcia, Marilia Barbosa Santos, Gonzalez, Tabajara de Oliveira, Biasotto-Gonzalez, Daniela Aparecida","Fisioterapia em Movimento; 29(3); 527-532","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300527&lang=pt" 
"S2446-47402016000300263-scl","Taxonomic indexes for differentiating malignancy of lung nodules on CT images","Silva, Giovanni Lucca França da, Carvalho Filho, Antonio Oseas de, Silva, Aristófanes Corrêa, Paiva, Anselmo Cardoso de, Gattass, Marcelo","Research on Biomedical Engineering; 32(3); 263-272","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300263&lang=pt" 
"S0103-51502016000300553-scl","Clinical profile of newborns undergoing physical therapy in a neonatal intensive care unit","Biazus, Graziela Ferreira, Kupke, Cidia Cristina","Fisioterapia em Movimento; 29(3); 553-560","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300553&lang=pt" 
"S0103-51502016000300437-scl","Editorial","Zamunér, Antonio Roberto","Fisioterapia em Movimento; 29(3); 437-437","Fisioterapia em Movimento","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300437&lang=pt" 
"S2446-47402016000300253-scl","Influences of the signal border extension in the discrete wavelet transform in EEG spike detection","Pacola, Edras Reily, Quandt, Veronica Isabela, Liberalesso, Paulo Breno Noronha, Pichorim, Sergio Francisco, Gamba, Humberto Remigio, Sovierzoski, Miguel Antonio","Research on Biomedical Engineering; 32(3); 253-262","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300253&lang=pt" 
"S0103-51502016000300507-scl","Effect of a physical therapy protocol on the health related quality of life of patients with temporomandibular disorder","Viana, Maíra de Oliveira, Olegario, Natália Bitar da Cunha, Viana, Mariana de Oliveira, Silva, Guilherme Pinheiro Ferreira da, Santos, Jair Licio Ferreira, Carvalho, Sarah Tarcisia Rebelo Ferreira de","Fisioterapia em Movimento; 29(3); 507-514","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300507&lang=pt" 
"S0103-51502016000300623-scl","Functional development of preterm infants: an integrative literature review","Lemos, Rayla Amaral, Veríssimo, Maria de La Ó Ramallo","Fisioterapia em Movimento; 29(3); 623-633","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300623&lang=pt" 
"S0103-51502016000300461-scl","Correlation between movement of the feet and motor function of children with chronic encephalopathy","Souza, Táubuta Gomes, Pinto Junior, Elzo Pereira, Oliveira, Maria Nice Dutra de, Fonsêca, Mirna Marques da","Fisioterapia em Movimento; 29(3); 461-467","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300461&lang=pt" 
"S0103-51502016000300477-scl","Relationship between health behaviors and self-reported diseases by public employees","Setto, Janaina Maria, Bonolo, Palmira de Fátima, Franceschini, Sylvia do Carmo Castro","Fisioterapia em Movimento; 29(3); 477-485","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300477&lang=pt" 
"S0103-51502016000300543-scl","Tai-chi-chuan and yoga onpostexercise hypotension: comparison to aerobic and resistance exercise","Alves, João Douglas, Gomes, Jorge Luiz de Brito, Oliveira, Caio Victor Coutinho de, Alves, José Victor de Miranda Henriques, Nogueira, Fabiana Ranielle de Siqueira, Brito, Aline de Freitas","Fisioterapia em Movimento; 29(3); 543-552","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300543&lang=pt" 
"S0103-51502016000300439-scl","Multifactorial assessment of the risk of falls in low bone density older women","Garcia, Patrícia Azevedo, Dias, João Marcos Domingues, Reis, Rosane Liliane dos, Dias, Rosângela Corrêa","Fisioterapia em Movimento; 29(3); 439-448","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300439&lang=pt" 
"S0103-51502016000300497-scl","Effects of hippotherapy on posture in individuals with Down Syndrome","Espindula, Ana Paula, Ribeiro, Mariane Fernandes, Souza, Luciane Aparecida Pascucci Sande de, Ferreira, Alex Abadio, Ferraz, Mara Lúcia da Fonseca, Teixeira, Vicente de Paula Antunes","Fisioterapia em Movimento; 29(3); 497-506","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300497&lang=pt" 
