"S0102-09352009000300034-scl","Aspectos radiográficos de condrodistrofia felina","Feliciano, M.A.R., Leite, C.A.L., Vicente, W.R.R., Silveira, T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 755-757","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300034&lang=pt" 
"S0004-282X2009000300024-scl","Electrophysiological study in synaptic congenital myasthenic syndrome: end-plate acetylcholinesterase deficiency","Lorenzoni, Paulo José, Scola, Rosana Herminia, Gervini, Bianca Lamas, Kay, Cláudia Suemi Kamoi, Werneck, Lineu César","Arquivos de Neuro-Psiquiatria; 67(2b); 502-504","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300024&lang=pt" 
"S0004-282X2009000300023-scl","Auditory processing disorders in twins with perisylvian polymicrogyria","Boscariol, Mirela, Garcia, Vera Lúcia, Guimarães, Catarina A., Hage, Simone R.V., Montenegro, Maria Augusta, Cendes, Fernando, Guerreiro, Marilisa M.","Arquivos de Neuro-Psiquiatria; 67(2b); 499-501","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300023&lang=pt" 
"S0004-282X2009000300022-scl","Cerebellopontine angle lipomas: magnetic resonance imaging findings in two cases","Borges, Rafael S., Brito, Cecília Castelo Branco, Carvalho, Gustavo A., Domingues, Romeu C., Gasparetto, Emerson L.","Arquivos de Neuro-Psiquiatria; 67(2b); 496-498","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300022&lang=pt" 
"S0004-282X2009000300032-scl","Spinal cord arteriovenous malformation: a pediatric presentation","Lorenzoni, Paulo José, Scola, Rosana Herminia, Kay, Cláudia Suemi Kamoi, Queiroz, Eustáquio de, Cardoso, Juliana, Leite Neto, Moacir Pereira, Grisotto, Karen Pansardi, Grande, César Vinícius, Bruck, Isac, Werneck, Lineu César","Arquivos de Neuro-Psiquiatria; 67(2b); 527-529","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300032&lang=pt" 
"S0004-282X2009000300033-scl","Intradural extramedullary hemangioblastoma","Barbosa-Silva, Everton, Carvalho, Gervásio Teles C., Frota, Marcelo de Oliveira, Sousa, Atos Alves de, Souza, Carlos Batista Alves de","Arquivos de Neuro-Psiquiatria; 67(2b); 530-533","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300033&lang=pt" 
"S0004-282X2009000300039-scl","Degenerative lumbar stenosis: update","Joaquim, Andrei F., Sansur, Charles A., Hamilton, David K., Shaffrey, Christopher I.","Arquivos de Neuro-Psiquiatria; 67(2b); 553-558","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300039&lang=pt" 
"S0004-282X2009000300041-scl","Malformations of cortical development","Guerreiro, Marilisa M.","Arquivos de Neuro-Psiquiatria; 67(2b); 570-574","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300041&lang=pt" 
"S1519-566X2009000300004-scl","Parasitóides (Hymenoptera: Braconidae) de moscas-das-frutas (Diptera: Tephritidae) no Estado de São Paulo: plantas associadas e parasitismo","Marinho, Cláudia F, Souza-Filho, Miguel F de, Raga, Adalton, Zucchi, Roberto A","Neotropical Entomology; 38(3); 321-326","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300004&lang=pt" 
"S1519-566X2009000300002-scl","Desenvolvimento e reprodução de Sipha flava (Forbes) (Hemiptera: Aphididae) em diferentes temperaturas","Oliveira, Simone A de, Souza, Brígida, Auad, Alexander M, Silva, Daniela M da, Souza, Lívia S, Carvalho, Caio A","Neotropical Entomology; 38(3); 311-316","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300002&lang=pt" 
"S1519-566X2009000300003-scl","Diversidade de vespas sociais (Hymenoptera: Vespidae) em áreas de cerrado na Bahia","Santos, Gilberto M de M, Cruz, Jucelho D da, Marques, Oton M, Gobbi, Nivar","Neotropical Entomology; 38(3); 317-320","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300003&lang=pt" 
"S1519-566X2009000300014-scl","A new species of Aquanirmus Clay &amp; Meinertzhagen (Phthiraptera: Philopteridae) parasitic on the Great Grebe, Podiceps major (Aves: Podicipedidae), in Argentina and Chile","Cicchino, Armando C, González-Acuña, Daniel A","Neotropical Entomology; 38(3); 384-388","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300014&lang=pt" 
"S1519-566X2009000300008-scl","An aquatic microhymenopterous egg-parasitoid of Argia insipida Hagen in Selys (Odonata: Coenagrionidae) and biological observations in the Central Amazon, Brazil","Querino, Ranyse B, Hamada, Neusa","Neotropical Entomology; 38(3); 346-351","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300008&lang=pt" 
"S1519-566X2009000300009-scl","Filamentous fungi associated with mosquito larvae (Diptera: Culicidae) in municipalities of the Brazilian Amazon","Pereira, Eleny da S, Sarquis, Maria I de M, Ferreira-Keppler, Ruth Leila, Hamada, Neusa, Alencar, Yamile B","Neotropical Entomology; 38(3); 352-359","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300009&lang=pt" 
"S1519-566X2009000300011-scl","A new species of Aphis L (Hemiptera: Aphididae) from South Patagonia","Delfino, Miguel A, Monelos, Lucas H, Peri, Pablo L, Buffa, Liliana M","Neotropical Entomology; 38(3); 366-369","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300011&lang=pt" 
"S1519-566X2009000300013-scl","Genetic variability of native populations of Wasmannia Forel (Hymenoptera: Formicidae) and their biogeographical implications","Souza, Ana L B, Tavares, Mara G, Serrão, José E, Delabie, Jacques H C","Neotropical Entomology; 38(3); 376-383","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300013&lang=pt" 
"S1519-566X2009000300015-scl","Desempenho de tricogramatídeos como potenciais agentes de controle de Pseudoplusia includens Walker (Lepidoptera: Noctuidae)","Bueno, Regiane C O F, Parra, José R P, Bueno, Adeney de F, Haddad, Marinéia L","Neotropical Entomology; 38(3); 389-394","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300015&lang=pt" 
"S1519-566X2009000300023-scl","Apate terebrans (Pallas) (Coleoptera: Bostrychidae) atacando árvores de nim no Brasil","Souza, Rodolfo M de, Anjos, Norivaldo dos, Mourão, Sheila A","Neotropical Entomology; 38(3); 437-439","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300023&lang=pt" 
"S1519-566X2009000300022-scl","Saprophytic fungus collection by africanized bees in Brazil","Modro, Anna F H, Silva, Izabel C, Message, Dejair, Luz, Cynthia F P","Neotropical Entomology; 38(3); 434-436","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300022&lang=pt" 
"S1519-566X2009000300021-scl","First record of species of Cerambycidae (Coleoptera) in cardeiro (Scleronema micranthum) (Bombacaceae) in the Central Amazon","Abreu, Raimunda, Ronchi-Teles, Beatriz, Monné, Miguel, Vianez, Basílio","Neotropical Entomology; 38(3); 432-433","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300021&lang=pt" 
"S1519-566X2009000300020-scl","First record of the coffee berry borer, Hypothenemus hampei (Ferrari) (Coleoptera: Scolytidae), in Pará nut, Bertholletia excelsa (Lecythidaceae)","Gumier-Costa, Fabiano","Neotropical Entomology; 38(3); 430-431","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300020&lang=pt" 
"S1519-566X2009000300012-scl","A new species of Eretris Thieme (Lepidoptera: Nymphalidae, Satyrinae) from the Elbow of the Andes region in Bolivia","Pyrcz, Tomasz W, Gareca, Yuvinka","Neotropical Entomology; 38(3); 370-375","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300012&lang=pt" 
"S1519-566X2009000300005-scl","Evaluation of economically important traits from sixteen parental strains of the silkworm Bombyx mori L (Lepidoptera: Bombycidae)","Zanatta, Daniela B, Bravo, Juliana P, Barbosa, Joice F, Munhoz, Roxelle E F, Fernandez, Maria A","Neotropical Entomology; 38(3); 327-331","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300005&lang=pt" 
"S0102-09352009000300006-scl","Ocorrência de leishmaniose tegumentar em cães de área endêmica no Estado do Paraná","Pittner, E., Voltarelli, E., Perles, T.F., Arraes, S.M.A.A., Silveira, T.G.V., Lonardoni, M.V.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 561-565","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300006&lang=pt" 
"S0102-09352009000300001-scl","Cisto ovariano em vacas de leite: incidência, resposta à aplicação de GnRH e desempenho reprodutivo","Santos, R.M., Démetrio, D.G.B., Vasconcelos, J.L.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 527-532","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300001&lang=pt" 
"S0102-09352009000300002-scl","Proteinograma sérico de bovinos da raça Curraleir","Juliano, R.S., Fioravanti, M.C.S., Fagliari, J.J., Silva, P.C., Silva, L.A.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 533-538","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300002&lang=pt" 
"S0102-09352009000300003-scl","Comportamento de componentes bioquímicos do sangue em equinos submetidos à ozonioterapia","Haddad, M.A., Souza, M.V., Hincapie, J.J., Ribeiro Junior, J.I., Ribeiro Filho, J.D., Benjamin, L.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 539-546","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300003&lang=pt" 
"S0102-09352009000300004-scl","Taxa de filtração glomerular pelo EDTA marcado com 51cromo e com 113míndio em equinos","Maliska, C., Pinho, W.R., Lima, J.E.T., D´Almeida, J., Pellegrini, P.M., Schimit, T.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 547-552","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300004&lang=pt" 
"S0102-09352009000300005-scl","Alterações histológicas da pars esophagea de suínos e sua relação com Helicobacter spp.","Yamasaki, L., Boselli-Grotti, C.C., Alfieri, A.A., Silva, E.O., Oliveira, R.L., Camargo, P.L., Bracarense, A.P.F.R.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 553-560","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300005&lang=pt" 
"S0102-09352009000300009-scl","Suscetibilidade à azitromicina de agentes bacterianos isolados de processos infecciosos em diferentes sítios de animais de companhia","Pereira, I.A., Soares, L.C., Coelho, S.M.O., Balbino, F.A., Pribul, B.R., Souza, M.M.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 577-584","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300009&lang=pt" 
"S0102-09352009000300011-scl","Eletrocardiografia pré-operatória em 474 cães","Carvalho, C.F., Tudury, E.A., Neves, I.V., Fernandes, T.H.T., Gonçalves, L.P., Salvador, R.R.C.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 590-597","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300011&lang=pt" 
"S0102-09352009000300012-scl","Hipersensibilidade alimentar em cães","Salzo, P.S., Larsson, C.E.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 598-605","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300012&lang=pt" 
"S0102-09352009000300013-scl","Hernioplastia experimental em coelhos por meio de cartilagem auricular bovina conservada em glutaraldeído","Silva, L.A.F., Franco, L.G., Menezes, L.B., Moura, V.M.B.D., Bernardes, K.M., Souza, M.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 606-612","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300013&lang=pt" 
"S0102-09352009000300014-scl","Eficácia do mentol como anestésico para juvenis de tilápia-do-nilo (Oreochromis niloticus)","Simões, L.N., Gomes, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 613-620","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300014&lang=pt" 
"S0102-09352009000300015-scl","Biomarcadores histológicos: toxicidade crônica pelo Roundup em piauçu (Leporinus macrocephalus)","Albinati, A.C.L., Moreira, E.L.T., Albinati, R.C.B., Carvalho, J.V., Lira, A.D. de, Santos, G.B., Vidal, L.V.O.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 621-627","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300015&lang=pt" 
"S0102-09352009000300016-scl","Valores hematológicos de bugios pretos (Alouatta caraya) de vida livre da região do Alto Rio Paraná, sul do Brasil","Flaiban, K.K.M.C., Spohr, K.A.H., Malanski, L.S., Svoboda, W.K., Shiozawa, M.M., Hilst, C.L.S., Aguiar, L.M., Ludwig, G., Passos, F.C., Navarro, I.T., Lisbôa, J.A.N., Balarin, M.R.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 628-634","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300016&lang=pt" 
"S0102-09352009000300017-scl","Dinâmicas de trânsito e degradação da fibra em detergente neutro em bovinos alimentados com forragem tropical de baixa qualidade e compostos nitrogenados","Lazzarini, I., Detmann, E., Sampaio, C.B., Paulino, M.F., Valadares Filho, S.C., Souza, M.A., Oliveira, F.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 635-647","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300017&lang=pt" 
"S0102-09352009000300018-scl","Carcass quality of feedlot finished steers fed yeast, monensin, and the association of both additives","Gomes, R.C., Leme, P.R., Silva, S.L., Antunes, M.T., Guedes, C.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 648-654","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300018&lang=pt" 
"S0102-09352009000300019-scl","Resposta em parâmetros sanguíneos e urinários de vacas leiteiras ao aumento no balanço cátion-aniônico da dieta","Correa, L.B., Zanetti, M.A., Del Claro, G.R., Paiva, F.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 655-661","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300019&lang=pt" 
"S0102-09352009000300023-scl","Efeito dos genótipos para alphaS1-caseína sobre as frações proteicas e lipídicas do leite de cabra","Silva, M.M.C., Torres, R.A., Rodrigues, M.T., Soares, M.A.M., Magalhães, A.C.M., Silva, S.P., Silveira, T.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 682-690","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300023&lang=pt" 
"S0102-09352009000300024-scl","A model on biological flow of phosphorus in growing pigs","Lopes, J.B., Moreira, J.A., Kebreab, E., Vitti, D.M.S.S., Abdalla, A.L., Crompton, L.A., France, J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 691-697","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300024&lang=pt" 
"S0102-09352009000300025-scl","Efeito do consumo de óleo de linhaça e de vitamina E no desempenho e nas características de carcaças de frangos de corte","Almeida, A.P.S., Pinto, M.F., Poloni, L.B., Ponsano, E.H.G., Garcia Neto, M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 698-705","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300025&lang=pt" 
"S0102-09352009000300026-scl","Avaliação da Brachiaria brizantha cv. marandu em sistemas silvipastoris","Moreira, G.R., Saliba, E.O.S., Maurício, R.M., Sousa, L.F., Figueiredo, M.P., Gonçalves, L.C., Rodriguez, N.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 706-713","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300026&lang=pt" 
"S0102-09352009000300028-scl","Sexagem histológica e desempenho de Oreochromis niloticus testando diâmetros de ração de acordo com o aparato bucal","Nakaghi, L.S.O., Paes, M.C.F., Makino, L.C., Dias- Koberstein, T.C.R., Malheiros, E.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 721-727","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300028&lang=pt" 
"S0102-09352009000300029-scl","Diversidade genética de estoques de reprodutores de Colossoma macropomum","Lopes, T.S., Streit Jr., D.P., Ribeiro, R.P., Povh, J.A., Lopera-Barrero, N.M., Vargas, L., Pinto Filho, C., Queiroz, J.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 728-735","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300029&lang=pt" 
"S0102-09352009000300030-scl","Composição química e perfil de ácidos graxos do leite e muçarela de búfalas alimentadas com diferentes fontes de lipídeos","Oliveira, R.L., Ladeira, M.M., Barbosa, M.A.A.F., Matsushita, M., Santos, G.T., Bagaldo, A.R., Oliveira, R.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 736-744","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300030&lang=pt" 
"S0102-09352009000300027-scl","Crescimento e sobrevivência de larvas de peixe vermelho (Carassius auratus) alimentadas com microdietas comerciais","Rema, P., Martins, J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 714-720","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300027&lang=pt" 
"S0004-282X2009000300001-scl","Percutaneous vertebroplasty: a comparison between the procedure using the traditional and the new side-opening cannula for osteoporotic vertebral fracture","Figueiredo, Nicandro, Barra, Filipe, Moraes, Laryssa, Rotta, Roger, Casulari, Luiz Augusto","Arquivos de Neuro-Psiquiatria; 67(2b); 377-381","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300001&lang=pt" 
"S0004-282X2009000300002-scl","Risk factors of heterotopic ossification in traumatic spinal cord injury","Coelho, Cláudia Virgínia C., Beraldo, Paulo Sergio S.","Arquivos de Neuro-Psiquiatria; 67(2b); 382-387","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300002&lang=pt" 
"S0103-21002009000300002-scl","Modelo de cuidado transicional à mãe da criança com cardiopatia congênita","Rocha, Daniele Laís Brandalize, Zagonel, Ivete Palmira Sanson","Acta Paulista de Enfermagem; 22(3); 243-249","Acta Paulista de Enfermagem","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300002&lang=pt" 
"S0103-21002009000300003-scl","Percepções de mães de prematuros acerca da vivência em um programa educativo","Ferecini, Geovana Magalhães, Fonseca, Luciana Mara Monti, Leite, Adriana Moraes, Daré, Mariana Firmino, Assis, Carolina Souza, Scochi, Carmen Gracinda Silvan","Acta Paulista de Enfermagem; 22(3); 250-256","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300003&lang=pt" 
"S0103-21002009000300004-scl","Incidência de úlcera por pressão e ações de enfermagem","Anselmi, Maria Luiza, Peduzzi, Marina, França Junior, Ivan","Acta Paulista de Enfermagem; 22(3); 257-264","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300004&lang=pt" 
