"S0004-282X2015001201047-scl","The clival canal","Campos, Deivis de, Jotz, Geraldo Pereira, Goulart, Guilherme Reghelin, Malysz, Tais","Arquivos de Neuro-Psiquiatria; 73(12); 1047-1047","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201047&lang=pt" 
"S0101-41612015000400859-scl","Foreign portfolio capital flows and stock returns: a study of Brazilian listed firms","Loncan, Tiago Rodrigues, Caldeira, João Frois","Estudos Econômicos (São Paulo); 45(4); 859-895","Estudos Econômicos (São Paulo)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400859&lang=pt" 
"S1677-54492015000400311-scl","Avaliação da saturação tecidual de oxigênio durante o sintoma claudicante em pacientes com doença arterial periférica","Silva Junior, João Antônio da, Souza, Débora Úrsula Fernandes, Ferreira, Daniela Rodrigues, Valeriano, Mariane Cassia Paixão, Santos, Raquel Ferreira, Britto, Raquel Rodrigues, Pereira, Danielle Aparecida Gomes","Jornal Vascular Brasileiro; 14(4); 311-318","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400311&lang=pt" 
"S0080-62342015000600978-scl","Development and validation of an instrument for evaluating the ludicity of games in health education","Pires, Maria Raquel Gomes Maia, Göttems, Leila Bernarda Donato, Silva, Laianna Victoria Santiago, Carvalho, Paloma Aparecida, Melo, Gislane Ferreira de, Fonseca, Rosa Maria Godoy Serpa da","Revista da Escola de Enfermagem da USP; 49(6); 978-987","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600978&lang=pt" 
"S1807-55092015000400631-scl","Aptidão física de escolares do sudoeste da Amazônia Ocidental em diferentes estágios de maturação sexual","GODOI FILHO, José Roberto de Maio, FARIAS, Edson dos Santos","Revista Brasileira de Educação Física e Esporte; 29(4); 631-639","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400631&lang=pt" 
"S0080-62342015000600914-scl","Predictors of red blood cell transfusion after cardiac surgery: a prospective cohort study","Lopes, Camila Takao, Brunori, Evelise Helena Fadini Reis, Cavalcante, Agueda Maria Ruiz Zimmer, Moorhead, Sue Ann, Lopes, Juliana de Lima, Barros, Alba Lucia Bottura Leite de","Revista da Escola de Enfermagem da USP; 49(6); 914-922","Revista da Escola de Enfermagem da USP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600914&lang=pt" 
"S0004-282X2015001201019-scl","Surgical technique of retrograde ventricle-sinus shunt is an option for the treatment of hydrocephalus in infants after surgical repair of myelomeningocele","Oliveira, Matheus Fernandes de, Teixeira, Manoel Jacobsen, Norremose, Karen Andrade, Matushita, Hamilton, Oliveira, Marcelo de Lima, Shu, Edson Bor Seng, Pinto, Fernando Campos Gomes","Arquivos de Neuro-Psiquiatria; 73(12); 1019-1025","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201019&lang=pt" 
"S1807-55092015000400559-scl","Entre fachadas, bastidores e estigmas: uma análise sociológica do futebol feminino a partir da teoria da ação social de Erving Goffman","SALVINI, Leila, SOUZA, Juliano de, MARCHI JÚNIOR, Wanderley","Revista Brasileira de Educação Física e Esporte; 29(4); 559-569","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400559&lang=pt" 
"S0004-282X2015001200983-scl","Diagnosis of limb-girdle muscular dystrophies in the molecular biology era: do clinical findings still matter?","Werneck, Lineu Cesar","Arquivos de Neuro-Psiquiatria; 73(12); 983-984","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001200983&lang=pt" 
"S0037-86822015000600716-scl","Spatial and spatiotemporal occurrence of human visceral leishmaniasis in Adamantina, State of São Paulo, Brazil","Cardim, Marisa Furtado Mozini, Vieira, Carolina Portugal, Chiaravalloti-Neto, Francisco","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 716-723","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600716&lang=pt" 
"S0004-282X2015001201005-scl","Critical analysis of diagnostic criteria (ICHD-3 beta) about migraine in childhood and adolescence","Lima, Márcia Maria Ferreira, Bazan, Rodrigo, Martin, Luis Cuadrado, Martins, Antônio Sérgio, Luvizutto, Gustavo José, Betting, Luiz Eduardo Gomes Garcia, Zanini, Marco Antônio","Arquivos de Neuro-Psiquiatria; 73(12); 1005-1008","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201005&lang=pt" 
"S0004-282X2015001201026-scl","Clinical and genetic basis of familial amyotrophic lateral sclerosis","Souza, Paulo Victor Sgobbi de, Pinto, Wladimir Bocca Vieira de Rezende, Chieia, Marco Antônio Troccoli, Oliveira, Acary Souza Bulle","Arquivos de Neuro-Psiquiatria; 73(12); 1026-1037","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201026&lang=pt" 
"S0080-62342015000601004-scl","Readmission from orthopedic surgical site infections: an integrative review","Torres, Lilian Machado, Turrini, Ruth Natália Teresa, Merighi, Miriam Aparecida Barbosa, Cruz, Arménio Guardado","Revista da Escola de Enfermagem da USP; 49(6); 1004-1011","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000601004&lang=pt" 
"S1677-54492015000400341-scl","Embolização vesical superseletiva para tratamento de hematúria maciça por cistite actínica","Góes Junior, Adenauer Marinho de Oliveira, Jeha, Salim Abdon Haber, Queiroz, Marcus Vinicius Baptista","Jornal Vascular Brasileiro; 14(4); 341-345","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400341&lang=pt" 
"S0037-86822015000600739-scl","Risk-benefit assessment of Bacillus Calmette-Guérin vaccination, anti-phenolic glycolipid I serology, and Mitsuda test response: 10-year follow-up of household contacts of leprosy patients","Araujo, Sergio, Rezende, Marina Monteiro Figueiredo, Sousa, Diogo Carrijo Rodrigues de, Rosa, Maraísa Resende, Santos, Danielle Cristina dos, Goulart, Luiz Ricardo, Goulart, Isabela Maria Bernardes","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 739-745","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600739&lang=pt" 
"S1807-55092015000400663-scl","A formação de atletas de basquetebol: quantificação do tempo de prática e do número de jogos","REIS, Cleiton Pereira, COSTA, Varley Teoldo da, NOCE, Franco, FERREIRA, Márcia Cristina Custódia, MORAES, Luiz Carlos Couto de Albuquerque","Revista Brasileira de Educação Física e Esporte; 29(4); 663-673","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400663&lang=pt" 
"S0080-62342015000600937-scl","Health-Related Quality of Life in patients with hepatitis C in double and triple therapy","Fagundes, Raíssa Neves, Ferreira, Lincoln Eduardo Villela Vieira de Castro, Pace, Fábio Heleno de Lima","Revista da Escola de Enfermagem da USP; 49(6); 937-943","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600937&lang=pt" 
"S0080-62342015000600923-scl","Urinary incontinence nursing diagnoses in patients with stroke","Leandro, Telma Alteniza, Araujo, Thelma Leite de, Cavalcante, Tahissa Frota, Lopes, Marcos Venícios de Oliveira, Oliveira, Tyane Mayara Ferreira de, Lopes, Ana Cecília Menezes","Revista da Escola de Enfermagem da USP; 49(6); 923-930","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600923&lang=pt" 
"S1807-55092015000400641-scl","Validação para a população brasileira da Escala de Dominância Télica (TDS) no contexto esportivo","BALBIM, Guilherme Moraes, VIEIRA, Lenamar Fiorese","Revista Brasileira de Educação Física e Esporte; 29(4); 641-651","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400641&lang=pt" 
"S0037-86822015000600780-scl","First report of schistosomiasis on Serrambi beach, Ipojuca, State of Pernambuco","Barbosa, Verônica Santos, Guimarães, Ricardo José de Paula Souza e, Loyo, Rodrigo Moraes, Marcelino, Silas, Barbosa, Constança Simões","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 780-782","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600780&lang=pt" 
"S0004-282X2015001201009-scl","Headache-related disability among medical students in Amazon: a cross-sectional study","Almeida, Carlos Mauricio Oliveira de, Lima, Paulo Antônio Machado da Silva, Stabenow, Rebecca, Mota, Rhea Sylvia de Souza, Boechat, Antônio Luiz, Takatani, Massanobu","Arquivos de Neuro-Psiquiatria; 73(12); 1009-1013","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201009&lang=pt" 
"S0037-86822015000600746-scl","Chemical composition and antifungal activity of essential oil from Eucalyptus smithii against dermatophytes","Baptista, Edilene Bolutari, Zimmermann-Franco, Danielle Cristina, Lataliza, Alexandre Augusto Barros, Raposo, Nádia Rezende Barbosa","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 746-752","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600746&lang=pt" 
"S1807-55092015000400601-scl","A energia e a experiência esportiva","NAZARETH, Eduardo Fernandes","Revista Brasileira de Educação Física e Esporte; 29(4); 601-620","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400601&lang=pt" 
"S1677-54492015000400279-scl","O tratamento atual da hiperhidrose","Wolosker, Nelson, Fukuda, Juliana Maria","Jornal Vascular Brasileiro; 14(4); 279-281","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400279&lang=pt" 
"S0101-41612015000400753-scl","A industrialização brasileira antes de 1930: uma contribuição sobre a evolução da indústria de máquinas e equipamentos no estado de São Paulo, 1900-1920","Marson, Michel Deliberali","Estudos Econômicos (São Paulo); 45(4); 753-785","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400753&lang=pt" 
"S0037-86822015000600776-scl","Molecular detection of Trypanosoma sp. and Blastocrithidia sp. (Trypanosomatidae) in phlebotomine sand flies (Psychodidae) in the Federal District of Brazil","Ferreira, Tauana de Sousa, Minuzzi-Souza, Thaís Tâmara Castro, Andrade, Andrey José de, Coelho, Thais Oliveira, Rocha, Douglas de Almeida, Obara, Marcos Takashi, Hecht, Mariana, Nitz, Nadjar, Gurgel-Gonçalves, Rodrigo","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 776-779","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600776&lang=pt" 
"S0101-41612015000400927-scl","Marx em tempos de MEGA: os planos e o plano de O Capital","Deus, Leonardo Gomes de","Estudos Econômicos (São Paulo); 45(4); 927-954","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400927&lang=pt" 
"S1677-54492015000400364-scl","Trauma inguinal penetrante com formação de fístula arteriovenosa e pseudoaneurisma: relato de caso","Oliveira, Frederico Michelino de, Macedo, Ary Augusto Reis de, Rodrigues, Adolfo Palhares Matheus, Mourad, Jamil Jorge Abou, Macedo, Ary Augusto de Castro, Costa, Lia Ormieres, Bin, Paulo Eduardo Lucisano","Jornal Vascular Brasileiro; 14(4); 364-367","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400364&lang=pt" 
"S1677-54492015000400282-scl","Evaluation of great saphenous vein occlusion rate and clinical outcome in patients undergoing laser thermal ablation with a 1470-nm bare fiber laser with low linear endovenous energy density","Araujo, Walter Junior Boim, Timi, Jorge Rufino Ribas, Nejm Júnior, Carlos Seme, Caron, Filipe Carlos","Jornal Vascular Brasileiro; 14(4); 282-289","Jornal Vascular Brasileiro","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400282&lang=pt" 
"S0037-86822015000600759-scl","Are lipid disorders involved in the predominance of human T-lymphotropic virus-1 infections in women?","Carvalho, Luciana Debortoli de, Gadelha, Sandra Rocha, Marin, Lauro Juliano, Brito-Melo, Gustavo Eustaquio Alvim, Martins, Camila Pacheco Silveira, Fonseca, Flavio Guimarães da, Barbosa-Stancioli, Edel Figueiredo","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 759-761","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600759&lang=pt" 
"S0080-62342015000600951-scl","Meanings attributed by family members in pediatrics regarding their interactions with nursing professionals","Gomes, Giovana Calcagno, Xavier, Daiani Modernel, Pintanel, Aline Campelo, Farias, Dóris Helena Ribeiro, Lunardi, Valéria Lerch, Aquino, Deise Ribeiro","Revista da Escola de Enfermagem da USP; 49(6); 951-957","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600951&lang=pt" 
"S1807-55092015000400583-scl","Análise da estrutura e organização esportiva da natação no Estado de São Paulo","MEIRA, Tatiana de Barros, BASTOS, Flávia da Cunha, BÖHME, Maria Tereza Silveira","Revista Brasileira de Educação Física e Esporte; 29(4); 583-600","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400583&lang=pt" 
"S0080-62342015000600971-scl","Technological competencies in cardiovascular nursing education","Kobayashi, Rika Miyahara, Leite, Maria Madalena Januário","Revista da Escola de Enfermagem da USP; 49(6); 971-977","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600971&lang=pt" 
"S0080-62342015000601023-scl","Depression and suicide risk among nursing professionals: an integrative review","Silva, Darlan dos Santos Damásio, Tavares, Natália Vieira da Silva, Alexandre, Alícia Regina Gomes, Freitas, Daniel Antunes, Brêda, Mércia Zeviani, Albuquerque, Maria Cícera dos Santos de, Melo Neto, Valfrido Leão de","Revista da Escola de Enfermagem da USP; 49(6); 1023-1031","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000601023&lang=pt" 
"S1807-55092015000400621-scl","Teste de conhecimento tático processual 3x3 com os pés: alternativa para a orientação esportiva","CASTRO, Henrique de Oliveira, MORALES, Juan Carlos Perez, ABURACHID, Layla Maria Campos, GRECO, Pablo Juan","Revista Brasileira de Educação Física e Esporte; 29(4); 621-629","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400621&lang=pt" 
"S0101-41612015000400897-scl","Robustez de regressões de crescimento frente à incerteza sobre a especificação do modelo: quão robustos são os regressores para o caso brasileiro?","Penna, Christiano, Linhares, Fabricio","Estudos Econômicos (São Paulo); 45(4); 897-925","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400897&lang=pt" 
"S1807-55092015000400551-scl","Análise das estatísticas relacionadas ao jogo que discriminam as equipes vencedoras das perdedoras no basquetebol profissional brasileiro","ALMAS, Saulo Peters","Revista Brasileira de Educação Física e Esporte; 29(4); 551-558","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400551&lang=pt" 
"S0004-282X2015001200998-scl","Facial diplegia: etiology, clinical manifestations, and diagnostic evaluation","Varol, Sefer, Ozdemir, Hasan Huseyin, Akil, Esref, Arslan, Demet, Aluclu, M. Ufuk, Demir, Caner F., Yucel, Yavuz","Arquivos de Neuro-Psiquiatria; 73(12); 998-1001","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001200998&lang=pt" 
"S1677-54492015000400356-scl","Tratamento endovascular de sangramento tardio pós tonsilectomia","Kleinsorge, Gustavo Henrique Dumont, Sousa, André Mourão de, Botelho, Lucas Ferreira, Mourão, Marina Barros, Melo, Roberio Rodrigo Hora, Lago, Rodrigo Di Vita do","Jornal Vascular Brasileiro; 14(4); 356-359","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400356&lang=pt" 
"S0037-86822015000600650-scl","Venomous and poisonous arthropods: identification, clinical manifestations of envenomation, and treatments used in human injuries","Haddad Junior, Vidal, Amorim, Paulo Cezar Haddad de, Haddad Junior, William Teixeira, Cardoso, João Luiz Costa","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 650-657","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600650&lang=pt" 
"S0037-86822015000600674-scl","Epidemiological study of hepatitis B and C in a municipality with rural characteristics: Cássia dos Coqueiros, State of São Paulo, Brazil","Melo, Laura Valdiane Luz, Silva, Marcondes Alves Barbosa da, Perdoná, Gleici da Silva Castro, Nascimento, Margarida Maria Passeri, Secaf, Marie, Monteiro, Rosane Aparecida, Martinelli, Ana de Lourdes Candolo, Passos, Afonso Dinis Costa","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 674-681","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600674&lang=pt" 
"S0101-41612015000400821-scl","Searching for long-range dependence in real effective exchange rate: towards parity?","Marques, André M., Pesavento, Fábio","Estudos Econômicos (São Paulo); 45(4); 821-857","Estudos Econômicos (São Paulo)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400821&lang=pt" 
"S0080-62342015000600958-scl","Nursing workload in specialized Semi-intensive Therapy unit: workforce size criteria","Trettene, Armando dos Santos, Luiz, Aline Godoi, Razera, Ana Paula Ribeiro, Maximiano, Thaís de Oliveira, Cintra, Flavia Maria Ravagnani Neves, Monteiro, Laressa Manfio","Revista da Escola de Enfermagem da USP; 49(6); 958-963","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600958&lang=pt" 
"S0080-62342015000601032-scl","Clinical reasoning in undergraduate nursing education: a scoping review","Menezes, Sáskia Sampaio Cipriano de, Corrêa, Consuelo Garcia, Silva, Rita de Cássia Gengo e, Cruz, Diná de Almeida Monteiro Lopes da","Revista da Escola de Enfermagem da USP; 49(6); 1032-1039","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000601032&lang=pt" 
"S0037-86822015000600639-scl","Bites and stings from venomous animals: a neglected Brazilian tropical disease","Cupo, Palmira","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 639-641","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600639&lang=pt" 
"S1807-55092015000400535-scl","Comparação do equilíbrio dinâmico entre praticantes de Brazilian Jiu-Jitsu com diferentes níveis de experiência","BRASIL, Bruno, CHIVIACOWSKY, Suzete, DEL VECCHIO, Fabrício Boscolo, ALBERTON, Cristine Lima","Revista Brasileira de Educação Física e Esporte; 29(4); 535-541","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400535&lang=pt" 
"S0004-282X2015001200985-scl","Why this is not multiple sclerosis: a case based approach","Nicolau, Zaira Fernanda Martinho, Oliveira, Enedina Maria Lobato de, Bichuetti, Denis Bernardi","Arquivos de Neuro-Psiquiatria; 73(12); 985-992","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001200985&lang=pt" 
"S0037-86822015000600753-scl","Emergent and re-emergent parasites in HIV-infected children: immunological and socio-environmental conditions that are involved in the transmission of Giardia spp. and Cryptosporidium spp.","Fregonesi, Brisa Maria, Suzuki, Meire Nikaido, Machado, Carolina Sampaio, Tonani, Karina Aparecida de Abreu, Fernandes, Ana Paula Morais, Monroe, Aline Aparecida, Cervi, Maria Célia, Segura-Muñoz, Susana","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 753-758","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600753&lang=pt" 
"S0037-86822015000600762-scl","Performance of direct immunofluorescence assay for the detection of human metapneumovirus under clinical laboratory settings","Wolf, Jonas Michel, Gregianini, Tatiana Schäffer, Seadi, Claudete Maria Farina, Tumioto, Gabriela Luchiari, Dambrós, Bibiana Paula, Lehmann, Fernanda Kieling Moreira, Carli, Silvia De, Ikuta, Nilo, Lunge, Vagner Ricardo","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 762-764","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600762&lang=pt" 
"S0037-86822015000600773-scl","Risk factors for Toxoplasma gondii infection among pregnant women from the State of Tocantins, Northern Brazil","Rocha, Élvio Machado da, Lopes, Carlos Wilson Gomes, Ramos, Rafael Antonio Nascimento, Alves, Leucio Câmara","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 773-775","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600773&lang=pt" 
"S0004-282X2015001201041-scl","Furious Frederich: Nietzsche’s neurosyphilis diagnosis and new hypotheses","André, Charles, Rios, André Rangel","Arquivos de Neuro-Psiquiatria; 73(12); 1041-1043","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201041&lang=pt" 
