"S0042-96862007000700012-spa","Unfulfilled potential: using diethylcarbamazine-fortified salt to eliminate lymphatic filariasis","Lammie, Patrick, Milner, Trevor, Houston, Robin","Bulletin of the World Health Organization; 85(7); 545-549","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700012&lang=pt" 
"S0100-204X2007000700002-scl","Organic acids in the rhizosphere and phytoavailability of sewage sludge-borne trace elements","Pires, Adriana Marlene Moreno, Marchi, Giuliano, Mattiazzo, Maria Emília, Guilherme, Luiz Roberto Guimarães","Pesquisa Agropecuária Brasileira; 42(7); 917-924","Pesquisa Agropecuária Brasileira","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700002&lang=pt" 
"S0100-204X2007000700003-scl","Radiação, fotossíntese, rendimento e qualidade de frutos em macieiras &#039;Royal Gala&#039; cobertas com telas antigranizo","Amarante, Cassandro Vidal Talamini do, Steffens, Cristiano André, Mota, Clenilso Sehnen, Santos, Henrique Pessoa dos","Pesquisa Agropecuária Brasileira; 42(7); 925-931","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700003&lang=pt" 
"S0100-204X2007000700004-scl","Eficiência da solarização e biofumigação do solo no controle da murcha-bacteriana do tomateiro no campo","Baptista, Mírian Josefina, Reis Junior, Fábio Bueno dos, Xavier, Gustavo Ribeiro, Alcântara, Camilla de, Oliveira, Antonio Régis de, Souza, Ronessa Bartolomeu, Lopes, Carlos Alberto","Pesquisa Agropecuária Brasileira; 42(7); 933-938","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700004&lang=pt" 
"S0100-204X2007000700006-scl","Sistemas de explotação de seringueira utilizados em clones asiáticos Prang Besar no Oeste paulista","Silva, Juliano Quarteroli, Souza, Mario Ivo Tavares de, Gonçalves, Paulo de Souza, Pinotti, Raquel Nakazato","Pesquisa Agropecuária Brasileira; 42(7); 949-955","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700006&lang=pt" 
"S0100-204X2007000700007-scl","Calagem e adubação potássica na produção do cupuaçuzeiro em sistemas agroflorestais da Amazônia Ocidental","Ayres, Marta Iria da Costa, Alfaia, Sonia Sena","Pesquisa Agropecuária Brasileira; 42(7); 957-963","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700007&lang=pt" 
"S0100-204X2007000700008-scl","Distribuição do sistema radicular de porta-enxertos de umezeiro enxertados com o pessegueiro &#039;Aurora-1&#039;","Mayer, Newton Alex, Pereira, Fernando Mendes, Barbosa, José Carlos, Koba, Valter Yoshio","Pesquisa Agropecuária Brasileira; 42(7); 965-973","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700008&lang=pt" 
"S0100-204X2007000700009-scl","Identificação de híbridos de citros resistentes à mancha-marrom-de-alternária por meio de fAFLP e testes de patogenicidade","Chagas, Edvan Alves, Cazetta, Jairo Osvaldo, Lemos, Eliana Gertrudes Macedo, Pasqual, Moacir, Goes, Antonio de, Ramos, Jose Darlan, Pio, Rafael, Barbosa, Wilson, Mendonça, Vander, Ambrosio, Luis Alberto","Pesquisa Agropecuária Brasileira; 42(7); 975-983","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700009&lang=pt" 
"S0100-204X2007000700011-scl","Desenvolvimento ponderal e diversidade fenotípica entre cruzamentos de ovinos Dorper com raças locais","Carneiro, Paulo Luiz Souza, Malhado, Carlos Henrique Mendes, Souza Júnior, Antonio Alcione Oliveira de, Silva, Antonio Gonçalves Serafim da, Santos, Fabiana Nery dos, Santos, Pollianna Ferro, Paiva, Samuel Rezende","Pesquisa Agropecuária Brasileira; 42(7); 991-998","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700011&lang=pt" 
"S0100-204X2007000700012-scl","Fluxo gênico em soja geneticamente modificada e método para sua detecção","Pereira, Welison Andrade, Giúdice, Marcos Paiva Del, Carneiro, José Eustáquio de Souza, Dias, Denise Cunha Fernandes dos Santos, Borém, Aluízio","Pesquisa Agropecuária Brasileira; 42(7); 999-1006","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700012&lang=pt" 
"S0100-204X2007000700013-scl","Potencial de híbridos entre clones-elite de eucalipto por meio de marcadores microssatélites","Aguiar, Marcelo Sfeir de, Ferreira, Daniel Furtado, Aguiar, Aurélio Mendes, Bison, Odair, Rezende, Gabriel Dehon Sampaio Peçanha, Grattapaglia, Dario","Pesquisa Agropecuária Brasileira; 42(7); 1007-1012","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700013&lang=pt" 
"S0100-204X2007000700014-scl","Cultivo sucessivo de plantas de tomate oriundas de sementes e propagação vegetativa em sistema hidropônico","Fernandes, Adriano Alves, Martinez, Herminia Emilia Prieto, Silva, Derly José Henriques da, Barbosa, José Geraldo, Pedrosa, Adriene Woods","Pesquisa Agropecuária Brasileira; 42(7); 1013-1019","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700014&lang=pt" 
"S0100-204X2007000700017-scl","Desempenho produtivo de alevinos de tilápia-do-nilo alimentados com levedura e derivados","Hisano, Hamilton, Narváez-Solarte, William Vicente, Barros, Margarida Maria, Pezzato, Luiz Edivaldo","Pesquisa Agropecuária Brasileira; 42(7); 1035-1042","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700017&lang=pt" 
"S0100-204X2007000700005-scl","Sistemas conservacionistas de manejo do solo para amendoim cultivado em sucessão à cana crua","Bolonhezi, Denizart, Mutton, Miguel Ângelo, Martins, Antonio Lúcio Mello","Pesquisa Agropecuária Brasileira; 42(7); 939-947","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700005&lang=pt" 
"S0100-204X2007000700018-scl","Compostagem e vermicompostagem de resíduos domiciliares com esterco bovino para a produção de insumo orgânico","Loureiro, Diego Campana, Aquino, Adriana Maria de, Zonta, Everaldo, Lima, Eduardo","Pesquisa Agropecuária Brasileira; 42(7); 1043-1048","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700018&lang=pt" 
"S0042-96862007000700007-spa","Applying science to the diseases of poverty","","Bulletin of the World Health Organization; 85(7); 509-510","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700007&lang=pt" 
"S0042-96862007000700006-spa","Recent news from WHO","","Bulletin of the World Health Organization; 85(7); 508-508","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700006&lang=pt" 
"S0042-96862007000700016-spa","Effectiveness of global health partnerships: will the past repeat itself?","Lorenz, Nicolaus","Bulletin of the World Health Organization; 85(7); 567-568","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700016&lang=pt" 
"S0012-73532007000200009-col","MÉTODO DE LLENADO DE HUECOS EN MALLAS TRIANGULARES EMPLEANDO FUNCIONES DE BASE RADIAL","BRANCH, JOHN WILLIAM, PRIETO, FLAVIO, BOULANGER, PIERRE","DYNA; 74(152); 97-111","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200009&lang=pt" 
"S0012-73532007000200008-col","MODELAMIENTO DE LA PROPAGACIÓN DE LOS FRENTES DE CONTAMINACIÓN GENERADOS POR EL TRANSPORTE DE COMBUSTIBLES POR POLIDUCTO","CONCHA DEMOYA, ALEXANDER, QUIROGA CRUZ, HUGO, BENJUMEA HERNÁNDEZ, PEDRO NEL","DYNA; 74(152); 89-96","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200008&lang=pt" 
"S0012-73532007000200005-col","USOS CONFLICTIVOS DEL AGUA: BÚSQUEDA DE SOLUCIONES","Ochoa Rivera, Camilo","DYNA; 74(152); 51-61","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200005&lang=pt" 
"S0012-73532007000200004-col","ESTUDIO DEL PROCESO DE FINANCIACIÓN DE LAS PYMES EN LA INCUBADORA DE EMPRESAS DE BASE TECNOLÓGICA DE ANTIOQUIA","BOTERO BOTERO, SERGIO, LÓPEZ MARTÍNEZ, DIEGO FERNANDO, MARTÍNEZ MORENO, WILLIAM ALBERTO","DYNA; 74(152); 39-50","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200004&lang=pt" 
"S0012-73532007000200007-col","CALIBRACION DEL MODELO LLUVIA-ESCORRENTIA AGREGADO GR4J APLICACIÓN: CUENCA DEL RÍO ABURRÁ","CARVAJAL, LUIS FERNANDO, ROLDÁN, ERNESTO","DYNA; 74(152); 73-87","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200007&lang=pt" 
"S0012-73532007000200006-col","SIMULACIÓN DE UN LAVADO HIDRÁULICO EN TUBERÍAS PARA EL CONTROL DEL CRECIMIENTO DE BIOPELICULA","CARVAJAL, LUIS F., GÓMEZ, ALEJANDRA, OCHOA, SANTIAGO","DYNA; 74(152); 63-72","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200006&lang=pt" 
"S0012-73532007000200001-col","DE LOS GRUPOS CONSOLIDADOS DE INVESTIGACIÓN A LOS SISTEMAS DINÁMICOS DE INNOVACIÓN: EL DESAFÍO ACTUAL DEL DESARROLLO CIENTÍFICO Y TECNOLÓGICO COLOMBIANO","ROBLEDO, JORGE","DYNA; 74(152); 1-7","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200001&lang=pt" 
"S0012-73532007000200003-col","SELECCIÓN DE INDICADORES TÉCNICOS PARA LA NEGOCIACIÓN EN EL MERCADO CAMBIARIO COLOMBIANO II: COMBINACIONES Y FILTROS (VHF Y ADX)","ZULUAGA, MAURICIO, VELÁSQUEZ, JUAN D.","DYNA; 74(152); 21-37","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200003&lang=pt" 
"S0012-73532007000200002-col","SELECCIÓN DE INDICADORES TÉCNICOS PARA LA NEGOCIACIÓN EN EL MERCADO CAMBIARIO COLOMBIANO I: COMPORTAMIENTOS INDIVIDUALES","ZULUAGA, MAURICIO, VELÁSQUEZ, JUAN D.","DYNA; 74(152); 9-20","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200002&lang=pt" 
"S0012-73532007000200023-col","COMPORTAMIENTO DE HORMIGONES ELABORADOS CON DIFERENTES ÁRIDOS DE LOS ALREDEDORES DE MEDELLÍN","TOBÓN, JORGE IVAN, ÁNGEL, ERIKA, GÓMEZ, VANESSA","DYNA; 74(152); 251-262","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200023&lang=pt" 
"S0012-73532007000200022-col","AHORRO DE AGUA Y MATERIA PRIMA EN LOS PROCESOS DE PELAMBRE Y CURTIDO DEL CUERO MEDIANTE PRECIPITACIÓN Y RECIRCULACIÓN DE AGUAS","AGUDELO A., SANDRA, GUTIÉRREZ M., PAULA","DYNA; 74(152); 241-250","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200022&lang=pt" 
"S0012-73532007000200021-col","MODELACIÓN INELÁSTICA DE PÓRTICOS DE CONCRETO CON MAMPOSTERÍA NO REFORZADA","CARRILLO, JULIÁN, GONZÁLEZ, GIOVANNI","DYNA; 74(152); 229-239","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200021&lang=pt" 
"S0012-73532007000200020-col","INFLUENCIA DE LA MAMPOSTERÍA NO REFORZADA EN EL COMPORTAMIENTO INELÁSTICO DE PÓRTICOS DE CONCRETO","CARRILLO, JULIÁN, GONZÁLEZ, GIOVANNI","DYNA; 74(152); 217-227","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200020&lang=pt" 
"S0012-73532007000200025-col","ADICIÓN DE NANOPARTÍCULAS AL CEMENTO PORTLAND","TOBÓN, JORGE IVÁN, RESTREPO BAENA, OSCAR JAIME, PAYÁ BERNABEU, JORGE JUAN","DYNA; 74(152); 277-291","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200025&lang=pt" 
"S0012-73532007000200024-col","EFECTOS DE ALGUNAS ADICIONES MINERALES COLOMBIANAS EN LA FABRICACIÓN DEL CLÍNKER PARA CEMENTO PÓRTLAND I","RESTREPO BAENA, OLGA ISABEL, TOBÓN, JORGE IVÁN, RESTREPO BAENA, OSCAR JAIME","DYNA; 74(152); 263-273","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200024&lang=pt" 
"S0012-73532007000200018-col","MEDIDA DE LA BASICIDAD Y POTENCIAL DE OXÍGENO DEL SISTEMA ACERO 1020- SAL 80%V2O5-20%Na2SO4- GAS 1%SO2-99%O2 A 700ºC","VÁSQUEZ, CUSTODIO, PEÑA, DARÍO","DYNA; 74(152); 197-205","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200018&lang=pt" 
"S0012-73532007000200019-col","INCIDENCIA DEL DIÁMETRO DE EXTRACCIÓN DE NÚCLEOS DE CONCRETO EN EL ANÁLISIS DE LAS DERIVAS DE ESTRUCTURAS APORTICADAS","CARRILLO, JULIÁN, GONZÁLEZ, GIOVANNI, JIMÉNEZ, MAURICIO","DYNA; 74(152); 207-216","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200019&lang=pt" 
"S0012-73532007000200012-col","APLICACIÓN DE TÉCNICAS GEOESTADISTICAS EN LA HIDROGEOLOGÍA DEL BAJO CAUCA ANTIOQUEÑO","MEJÍA RIVERA, OSCAR, BETANCUR VARGAS, TERESITA, LONDOÑO CIRO, LIBARDO","DYNA; 74(152); 137-149","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200012&lang=pt" 
"S0012-73532007000200013-col","DISOLUCIÓN DE COBRE EN CIANURACIÓN CONVENCIONAL PROVENIENTE DE FERRITA CÚPRICA","ROJAS R., NÉSTOR R., BUSTAMANTE R., M. OSWALDO","DYNA; 74(152); 151-157","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200013&lang=pt" 
"S0012-73532007000200010-col","EFECTO DE LA ALTITUD EN EL ANÁLISIS TERMOECONÓMICO DE UN SISTEMA DE COGENERACIÓN","AGUDELO SANTAMARÍA, ANDRÉS, AGUDELO SANTAMARÍA, JOHN, SÁNCHEZ LÓPEZ, CARLOS","DYNA; 74(152); 113-124","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200010&lang=pt" 
"S0012-73532007000200011-col","ESTUDIO DEL MECANISMO DE FALLA DE TERRAPLENES DEBIDO A LA INFILTRACIÓN DE AGUAS LLUVIAS MEDIANTE EL MONITOREO DE PRESIONES DE POROS Y CONTENIDOS DE AGUA","GARCÍA, EDWIN, UCHIMURA, TARO","DYNA; 74(152); 125-135","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200011&lang=pt" 
"S0012-73532007000200016-col","RECUBRIMIENTOS DE (Ti,Al)N SOBRE ACERO AISI 4140 POR SPUTTERING REACTIVO","GARCIA, DANNA, PIRATOBA, ULISES, MARIÑO, ALVARO","DYNA; 74(152); 181-185","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200016&lang=pt" 
"S0012-73532007000200017-col","PARTICIONADO DE ELEMENTOS EN DOS CARBONES DEL SUR-OCCIDENTE COLOMBIANO","ROJAS, ANDRÉS F., BARRAZA, JUAN M.","DYNA; 74(152); 187-196","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200017&lang=pt" 
"S0012-73532007000200014-col","EVALUACIÓN DE LA INFLUENCIA DEL TAMAÑO DE PARTÍCULA Y EL TIEMPO DE TRATAMIENTO TÉRMICO SOBRE LAS CARACTERÍSTICAS FÍSICO-MECÁNICAS DE UN COMPUESTO DE ALÚMINA SINTERIZADA INFILTRADA CON UN VIDRIO DE LANTANO","CASTRILLÓN, MARIANA, GARCÍA, CLAUDIA, PAUCAR, CARLOS","DYNA; 74(152); 159-165","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200014&lang=pt" 
"S0012-73532007000200015-col","SIMULACIÓN NUMÉRICA DEL CONTACTO DESLIZANTE PARA EL SISTEMA 2117-T4 / X19CRNI17.2 EN COMPRESIÓN UNIAXIAL","MARTÍNEZ T., HADER VLADIMIR, CRUZ R, LUIS JAVIER","DYNA; 74(152); 167-180","DYNA","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532007000200015&lang=pt" 
"S0042-96862007000700002-spa","Childhood pneumonia: preventing the world’s biggest killer of children","Greenwood, Brian M, Weber, Martin W, Mulholland, Kim","Bulletin of the World Health Organization; 85(7); 502-503","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700002&lang=pt" 
"S0042-96862007000700003-spa","How should ethics be incorporated into public health policy and practice?","Coleman, Carl H, Bouësseau, Marie-Charlotte, Reis, Andreas, Capron, Alexander M","Bulletin of the World Health Organization; 85(7); 504-504","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700003&lang=pt" 
"S0042-96862007000700004-spa","Changing men’s behaviour can improve women’s health","Keeton, Claire","Bulletin of the World Health Organization; 85(7); 505-506","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700004&lang=pt" 
"S0042-96862007000700005-spa","The quest to be free of malaria","Meleigy, May","Bulletin of the World Health Organization; 85(7); 507-508","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700005&lang=pt" 
"S0066-782X2007001300001-scl","Controle do tempo de protrombina em sangue capilar e venoso em pacientes com anticoagulação oral: correlação e concordância","Leiria, Tiago Luiz Luz, Pellanda, Lúcia Campos, Magalhães, Eros, Lima, Gustavo Glotz de","Arquivos Brasileiros de Cardiologia; 89(1); 1-5","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300001&lang=pt" 
"S0066-782X2007001300007-scl","Avaliação da força muscular respiratória e da função pulmonar em pacientes com insuficiência cardíaca","Forgiarini Junior, Luiz Alberto, Rubleski, Angélica, Douglas, Garcia, Tieppo, Juliana, Vercelino, Rafael, Dal Bosco, Adriane, Monteiro, Mariane Borba, Dias, Alexandre Simões","Arquivos Brasileiros de Cardiologia; 89(1); 36-41","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300007&lang=pt" 
"S0066-782X2007001300012-scl","Pseudo-aneurisma do ventrículo esquerdo","Jacob, José Luiz Balthazar, Buzelli, Graziele, Machado, Nilton Carlos Spinola, Garzon, Pedro G. A., Garzon, Sérgio A. C.","Arquivos Brasileiros de Cardiologia; 89(1); e1-e2","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300012&lang=pt" 
"S0066-782X2007001300010-scl","Betabloqueador tópico pode determinar resultados inconclusivos no ecocardiograma sob estresse com dobutamina em pacientes com glaucoma","Cordovil, Adriana, Matos, Fernando Q., Campos Filho, Orlando, Paranhos Jr., Augusto, Rodrigues, Ana Clara T., Albernaz, Márcia V., Paola, Angelo A. V. de, Carvalho, Antonio Carlos C.","Arquivos Brasileiros de Cardiologia; 89(1); 60-63","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300010&lang=pt" 
"S0066-782X2007001300002-scl","Cardiopatia congênita no recém-nascido: da solicitação do pediatra à avaliação do cardiologista","Rivera, Ivan Romero, Silva, Maria Alayde Mendonça da, Fernandes, José Maria Gonçalves, Thomaz, Ana Claire Pimenteira, Soriano, Cláudio Fernando Rodrigues, Souza, Maria Goretti Barbosa de","Arquivos Brasileiros de Cardiologia; 89(1); 6-10","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300002&lang=pt" 
"S0066-782X2007001300003-scl","Revascularização total do miocárdio sem circulação extracorpórea em pacientes com disfunção ventricular esquerda","Milani, Rodrigo, Paulo, Brofman, Moutinho, José Augusto, Laura, Barboza, Maximiliano, Guimarães, Alexandre, Barbosa, Lidia, Zitynski, Dalton, Précoma, Alexandre, Varela, Ravanelli, Marcel Rogers, Maia, Francisco","Arquivos Brasileiros de Cardiologia; 89(1); 11-15","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300003&lang=pt" 
"S0066-782X2007001300004-scl","Fibrilação atrial no pós-operatório de cirurgia de revascularização do miocárdio: características do perfil clínico associadas a óbitos hospitalares","Oliveira, Dinaldo Cavalcanti de, Ferro, Carlos Romério, Oliveira, João Bosco de, Prates, Guilherme Jose, Torres, Audrey, Egito, Enilton Sergio Tabosa do, Arraes, Magali Santos, Souza, Luis Carlos Bento de, Jatene, Adib Domingos, Piegas, Leopoldo Soares","Arquivos Brasileiros de Cardiologia; 89(1); 16-21","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300004&lang=pt" 
