"S0717-554X2016000100004-chl","La sociología sin método: la raíz hegeliana del pensamiento de Luhmann","Casanova, Mauricio","Cinta de moebio; (55); 47-65","Cinta de moebio","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2016000100004&lang=pt" 
"S1982-21702016000100108-scl","CALIBRAÇÃO GEOMÉTRICA EM ÓRBITA DO SENSOR HRC-CBERS 2B","Rodrigues, Tiago Lima, Machado, Marcela do Valle, Debiasi, Paula, Mitishita, Edson Aparecido, Ferreira, Luiz Danilo Damasceno","Boletim de Ciências Geodésicas; 22(1); 108-131","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100108&lang=pt" 
"S0100-83582016000100183-scl","Conyza spp.: From Ugly Duckling to Agriculture&#039;s Fittest Swan - Brief Review","CONCENÇO, G., CONCENÇO, S.E.","Planta Daninha; 34(1); 183-189","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100183&lang=pt" 
"S0004-28032016000100025-scl","DEPRESSION AND ANXIETY IN PARENTS OF CHILDREN WHO ARE CANDIDATES FOR LIVER TRANSPLANTATION","SAHIN, Yasin, VIRIT, Osman, DEMIR, Bahadir","Arquivos de Gastroenterologia; 53(1); 25-30","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100025&lang=pt" 
"S0100-83582016000100151-scl","Resistence of Radish Biotypes to Iodosulfuron and Alternative Control","CECHIN, J., VARGAS, L., AGOSTINETTO, D., ZIMMER, V., PERTILE, M., GARCIA, J.R.","Planta Daninha; 34(1); 151-160","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100151&lang=pt" 
"S0004-28032016000100010-scl","SURGERY VERSUS ENDOSCOPIC THERAPIES FOR EARLY CANCER AND HIGH-GRADE DYSPLASIA IN THE ESOPHAGUS: a systematic review","BUSTAMANTE, Fabio Alberto Castillo, HOURNEAUX DE MOURA, Eduardo Guimarães, BERNARDO, Wanderley, SALLUM, Rubens Antonio Aissar, IDE, Edson, BABA, Elisa","Arquivos de Gastroenterologia; 53(1); 10-19","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100010&lang=pt" 
"S0100-83582016000100099-scl","Eucalypt Growth Submitted to Management of Urochloa spp.","FERREIRA, G.L., SARAIVA, D.T., QUEIROZ, G.P., SILVA, D.V., PEREIRA, G.A.M., FERREIRA, L.R., OLIVEIRA NETO, S.N., MATTIELLO, E.M.","Planta Daninha; 34(1); 99-107","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100099&lang=pt" 
"S0100-83582016000100025-scl","Soybeans Competitiveness with Morning Glory","PICCININI, F., MARTIN, T.N., MACHADO, S.L.O., KRUSE, N.D., SCHMATZ, R.","Planta Daninha; 34(1); 25-33","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100025&lang=pt" 
"S0004-28032016000100055-scl","H. PYLORI INFECTION, ENDOSCOPIC, HISTOLOGICAL ASPECTS AND CELL PROLIFERATION IN THE GASTRIC MUCOSA OF PATIENTS SUBMITTED TO ROUX-EN-Y GASTRIC BYPASS WITH CONTENTION RING: a cross sectional endoscopic and immunohistochemical study","NOGUEIRA, Thiago De Bortoli, ARTIGIANI NETO, Ricardo, HERANI FILHO, Benedito, WAISBERG, Jaques","Arquivos de Gastroenterologia; 53(1); 55-60","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100055&lang=pt" 
"S0100-83582016000100171-scl","Application Volumes and Sizes of Droplets for the Application of Diquat Herbicide in the Control of Eichhornia crassipes","ALMEIDA, D.P., AGOSTINI, A.R., YAMAUCHI, A.K., DECARO JR., S.T., FERREIRA, M.C.","Planta Daninha; 34(1); 171-179","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100171&lang=pt" 
"S0100-83582016000100091-scl","Weed Community in a Raw Sugarcane Renovation Area Submitted to Different Soil Managements","SOARES, M.B.B., BIANCO, S., FINOTO, E.L., BOLONHEZI, D., ALBUQUERQUE, J.A.A., SILVA, A.A.","Planta Daninha; 34(1); 91-98","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100091&lang=pt" 
"S0100-83582016000100133-scl","Glyphosate Herbicide Use in Urochloa brizantha Management in Intercropping With Herbicide-Resistant Maize","SILVA, D.V., FREITAS, M.A.M., SOUZA, M.F., QUEIROZ, G.P., MELO, C.A.D., SILVA, A.A., FERREIRA, L.R., REIS, M.R.","Planta Daninha; 34(1); 133-141","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100133&lang=pt" 
"S1982-21702016000100175-scl","POSICIONAMENTO POR PONTO PRECISO E POSICIONAMENTO RELATIVO COM GNSS: QUAL É O MÉTODO MAIS ACURADO ATUALMENTE?","Almeida, Marília Sanglard, Dal Poz, William Rodrigo","Boletim de Ciências Geodésicas; 22(1); 175-195","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100175&lang=pt" 
"S0100-83582016000100143-scl","Molecular Basis for Resistance to Fluazifop-P-Butyl in Itchgrass (Rottboellia cochinchinensis) from Costa Rica","CASTILLO-MATAMOROS, R., BRENES-ANGULO, A., HERRERA-MURILLO, F., GÓMEZ ALPÍZAR., L.","Planta Daninha; 34(1); 143-150","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100143&lang=pt" 
"S0717-554X2016000100003-chl","Imaginarios sociales y biopolítica en la escuela: la mujer como cuerpo del delito","Arancibia Martínez, Leticia, Soto García, Pamela, González Vera, Andrea","Cinta de moebio; (55); 29-46","Cinta de moebio","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2016000100003&lang=pt" 
"S1982-21702016000100016-scl","SEPARAÇÃO DE TEMPERATURA E EMISSIVIDADE A PARTIR DE IMAGENS DO INFRAVERMELHO TERMAL: ANÁLISE DE SUAS APLICAÇÕES/RESTRIÇÕES","Grondona, Atilio, Rolim, Silvia Beatriz Alves","Boletim de Ciências Geodésicas; 22(1); 16-34","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100016&lang=pt" 
"S0004-28032016000100049-scl","LACK OF ASSOCIATION BETWEEN HELICOBACTER PYLORI&#039;S VIRULENCE AND INCREASED SERUM C-REACTIVE PROTEIN LEVELS IN FUNCTIONAL DYSPEPTIC PATIENTS","ANDREOLLA, Huander Felipe, BONA, Laura Renata de, SANDER, Guilherme Becker, MAZZOLENI, Luiz Edmundo, TAVARES, Rejane Giacomelli, PROLLA, João Carlos","Arquivos de Gastroenterologia; 53(1); 49-54","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100049&lang=pt" 
"S0100-83582016000100057-scl","The Effect of Different Weed Management Strategies on the Growth and Yield of Direct-Seeded Dry Rice (Oryza sativa)","MUHAMMAD, S., MUHAMMAD, I., SAJID, A., MUHAMMAD, L., MAQSHOOF, A., NADEEM, A.","Planta Daninha; 34(1); 57-64","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100057&lang=pt" 
"S1982-21702016000100073-scl","AVALIAÇÃO DA ACURÁCIA DO CÁLCULO DE VOLUME DE PILHAS DE REJEITO UTILIZANDO VANT, GNSS E LiDAR","Silva, Cristiano Alves da, Duarte, Cynthia Romariz, Souto, Michael Vandesteen Silva, Santos, André Luis Silva Dos, Amaro, Venerando Eustaquio, Bicho, Cristina Prando, Sabadia, José Antonio Beltrão","Boletim de Ciências Geodésicas; 22(1); 73-94","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100073&lang=pt" 
"S1676-06032016000100010-scl","Summary for policymakers of the thematic assessment on pollinators, pollination and food production","","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100010&lang=pt" 
"S0100-83582016000100011-scl","Phytotoxic Activity of Parthenium Against Wheat and Canola Differ With Plant Parts and Bioassays Techniques","KHALIQ, A., ASLAM, F, MATLOOB, A, JAVAID, A, TANVEER, A, HUSSAIN, S., IHSAN, M.Z","Planta Daninha; 34(1); 11-24","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100011&lang=pt" 
"S0004-28032016000100005-scl","GUIDELINE FOR THE MANAGEMENT OF BILE DUCT CANCERS BY THE BRAZILIAN GASTROINTESTINAL TUMOR GROUP","RIECHELMANN, Rachel, COUTINHO, Anelisa K, WESCHENFELDER, Rui F, ANDRADE DE PAULO, Gustavo, FERNANDES, Gustavo dos Santos, GIFONI, Markus, OLIVEIRA, Maria de Lourdes, GANSL, Rene, GIL, Roberto, LUERSEN, Gustavo, LUCAS, Lucio, REISNER, Marcio, VIEIRA, Fernando Meton, MACHADO, Marcel Autran, MURAD, Andre, OSVALDT, Alessandro, BRANDÃO, Miguel, CARVALHO, Elisangela, SOUZA, Tulio, PFIFFER, Tulio, PROLLA, Gabriel","Arquivos de Gastroenterologia; 53(1); 5-9","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100005&lang=pt" 
"S1982-21702016000100001-scl","MONITORING GROUNDWATER STORAGE IN NORTHERN CHILE BASED ON SATELLITE OBSERVATIONS AND DATA SIMULATION","Montecino, Henry C., Staub, Guido, Ferreira, Vagner G., Parra, Luis B.","Boletim de Ciências Geodésicas; 22(1); 1-15","Boletim de Ciências Geodésicas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100001&lang=pt" 
"S1676-06032016000100109-scl","The ShearStress importance on the spatial distribution pattern of the invader Limnoperna fortunei in the Upper Paraná River Basin. - An assessment based on the Spatial Distribution Models","Campos, Mônica de Cássia Souza, Peifer, Daniel, Castro, Paulo de Tarso","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100109&lang=pt" 
"S0004-282X2016000300005-scl","The prevalence of developmental dyscalculia in Brazilian public school system","Bastos, José Alexandre, Cecato, Angela Maria Traldi, Martins, Marielza Regina Ismael, Grecca, Kelly Regina Risso, Pierini, Rafael","Arquivos de Neuro-Psiquiatria; 74(3); 201-206","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016000300005&lang=pt" 
"S0004-282X2016000300013-scl","Guillain-Barré syndrome associated with the Zika virus outbreak in Brazil","Araujo, Lucas Masiêro, Ferreira, Maria Lucia Brito, Nascimento, Osvaldo JM","Arquivos de Neuro-Psiquiatria; 74(3); 253-255","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016000300013&lang=pt" 
"S0004-282X2016000300010-scl","Orbitozygomatic craniotomy in three pieces: tips and tricks","Chaddad Neto, Feres, Doria Netto, Hugo Leonardo, Campos Filho, José Maria, Reghin Neto, Mateus, Silva-Costa, Marcos Devanir, Oliveira, Evandro","Arquivos de Neuro-Psiquiatria; 74(3); 228-234","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016000300010&lang=pt" 
"S0004-282X2016000300003-scl","Dissociative experiences in patients with epilepsy","Özdemir, Osman, Cilingir, Vedat, Özdemir, Pınar Güzel, Milanlioglu, Aysel, Hamamci, Mehmet, Yilmaz, Ekrem","Arquivos de Neuro-Psiquiatria; 74(3); 189-194","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016000300003&lang=pt" 
"S0004-282X2016000300006-scl","Pain, depression and sleep disorders in patients with diabetic and nondiabetic carpal tunnel syndrome: a vicious cycle","Tanik, Nermin, Sarp, Umit, Ucar, Mehmet, Celikbilek, Asuman, Balbaloglu, Ozlem, Ak, Hakan, Atalay, Tugay, Arik, Hasan Onur, Okyay, Mehmet Yavuz, Inan, Levent Ertugrul","Arquivos de Neuro-Psiquiatria; 74(3); 207-211","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016000300006&lang=pt" 
"S1984-29612016000100112-scl","First record of Paratanaisia bragai (Digenea: Eucotylidae) in blue and gold macaw (Ara ararauna)","Silva, Tarcísio Macedo, Pavan, Leonardo Fabrício, Guimarães-Okamoto, Priscylla Tatiana Chalfum, Milbradt, Elisane Lenita, Andreatti Filho, Raphael Lúcio, Silva, Reinaldo José da, Okamoto, Adriano Sakai","Revista Brasileira de Parasitologia Veterinária; 25(1); 112-115","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000100112&lang=pt" 
"S1679-39512016000100047-scl","Independência ou Norte: reflexões sobre a influência do estrangeirismo no campo do conhecimento da administração no Brasil","Juncklaus, Lucas Rocha, Bini, Tiago José, Moretto Neto, Luis","Cadernos EBAPE.BR; 14(1); 47-60","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000100047&lang=pt" 
"S1679-39512016000100116-scl","As contribuições de Robert Cooper para o debate sobre ontologia organizacional","Silva, Everton Rodrigues da, Toledo, Dimitri Augusto da Cunha","Cadernos EBAPE.BR; 14(1); 116-134","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000100116&lang=pt" 
"S1676-06032016000100403-scl","Predator-prey interaction between two threatened species in a Brazilian hotspot","Canale, Gustavo Rodrigues, Bernardo, Christine Steiner São","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100403&lang=pt" 
"S1679-39512016000100228-scl","Análise dos modelos de precificação de ativos sob uma abordagem epistêmica do positivismo/pós-positivismo e do construtivismo","Galvão, Kécia da Silveira, Silva Neto, Odilon Saturnino, Santos, Joséte Florêncio dos, Raboni, Pierre Lucena","Cadernos EBAPE.BR; 14(1); 228-242","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000100228&lang=pt" 
"S1517-97022016000100039-scl","Contribuições metodológicas para a análise dos sentidos em um estudo sobre atividade docente","Silva, Vanessa Cristina da, Davis, Claudia Leme Ferreira","Educação e Pesquisa; 42(1); 39-52","Educação e Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022016000100039&lang=pt" 
"S1806-11172016000100411-scl","Os enunciados da segunda lei da termodinâmica: Uma possível abordagem","Fontana, R.D.B., Santos, I.A. dos","Revista Brasileira de Ensino de Física; 38(1); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000100411&lang=pt" 
"S2307-21132016000100007-cub","Detección de comunidades a partir de redes de coautoría en grafos RDF","Ortiz Muñoz, Ernesto, Hidalgo Delgado, Yusniel","Revista Cubana de Información en Ciencias de la Salud; 27(1); 90-99","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100007&lang=pt" 
"S2307-21132016000100006-cub","Estudios históricos en la Revista Cubana de Información en Ciencias de la Salud y los trabajos de diploma de la Licenciatura en Ciencias de la Información de la Universidad de La Habana","Frías-Guzmán, Maylín, Peralta-González, María Josefa, Rivera, Zoia, Menéndez-Gómez, Maydelis","Revista Cubana de Información en Ciencias de la Salud; 27(1); 75-89","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100006&lang=pt" 
"S2307-21132016000100004-cub","La enfermedad de Alzheimer desde un análisis métrico de la producción científica de Cuba","Sánchez Díaz, Marlery, Vega Valdés, Juan Carlos","Revista Cubana de Información en Ciencias de la Salud; 27(1); 35-55","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100004&lang=pt" 
"S2307-21132016000100005-cub","Papel de la colaboración científica en el impacto de la investigación en salud de Cuba en el contexto de América Latina","Cañedo Andalia, Rubén, Nodarse Rodríguez, Mario, Cruz Font, Jaime, Germán Hechavarría, Iliana, Celorrio Zaragoza, Ivonne, Guerrero Pupo, Julio Cristobal","Revista Cubana de Información en Ciencias de la Salud; 27(1); 56-74","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100005&lang=pt" 
"S1809-48642016000100087-scl","Aglossia: Case Report","Bommarito, Silvana, Zanato, Luciana Escanoela, Vieira, Marilena Manno, Angelieri, Fernanda","International Archives of Otorhinolaryngology; 20(1); 87-92","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100087&lang=pt" 
"S1809-48642016000100043-scl","Prevention of the Evolution of Workers&#039; Hearing Loss from Noise-Induced Hearing Loss in Noisy Environments through a Hearing Conservation Program","Fonseca, Vinicius Ribas, Marques, Jair, Panegalli, Flavio, Gonçalves, Claudia Giglio de Oliveira, Souza, Wesley","International Archives of Otorhinolaryngology; 20(1); 43-47","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100043&lang=pt" 
"S1809-68912016000100045-scl","SUPLEMENTAÇÃO COM FONTES PROTEICAS NA TERMINAÇÃO DE NOVILHAS DE CORTE: ESTUDO BIOECONÔMICO","Barbero, Rondineli Pavezzi, Barbosa, Marco Aurélio Alves de Freitas, Fortaleza, Ana Paula de Souza, Massaro Júnior, Fernando Luiz, Silva, Leandro das Dores Ferreira da, Castro, Letícia Maria de","Ciência Animal Brasileira; 17(1); 45-50","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100045&lang=pt" 
"S1809-48642016000100013-scl","Effectiveness of Chin-tuck Maneuver to Facilitate Swallowing in Neurologic Dysphagia","Saconato, Mariana, Chiari, Brasilia Maria, Lederman, Henrique Manoel, Gonçalves, Maria Inês Rebelo","International Archives of Otorhinolaryngology; 20(1); 13-17","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100013&lang=pt" 
"S1809-68912016000100098-scl","ASPIRAÇÃO FOLICULAR VIDEOLAPAROSCÓPICA COMPARATIVA EM OVELHAS DORPER E SANTA INÊS","Araujo, Endrigo Adonis Braga de, Oliveira, Sidnei Nunes de, Tabet, Alexandre de Faria, Bittencourt, Rodrigo Freitas, Chalhoub, Marcos, Filho, Antonio de Lisboa Ribeiro","Ciência Animal Brasileira; 17(1); 98-104","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100098&lang=pt" 
"S1809-68912016000100036-scl","ECONOMICIDADE E DESEMPENHO PRODUTIVO DE CORDEIROS CONFINADOS SUBMETIDOS A DIETAS COM RESÍDUOS AGROINDUSTRIAIS","Carvalho, Sérgio, Pires, Cleber Cassol, Wommer, Tatiana Pfüller, Lopes, Jusecleia Ferreira, Mônego, Camila Ornelas, Pilecco, Veronica Milanesi","Ciência Animal Brasileira; 17(1); 36-44","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100036&lang=pt" 
"S1809-48642016000100002-scl","Radiofrequency Thermal Ablation versus Bipolar Electrocautery for the Treatment of Inferior Turbinate Hypertrophy: Comparison of Efficacy and Postoperative Morbidity","Uluyol, Sinan, Karakaya, Nermin Erdas, Gur, Mehmet Hafit, Kilicaslan, Saffet, Kantarcioglu, Esin Ozlem, Yagiz, Ozlem, Arslan, Ilker Burak","International Archives of Otorhinolaryngology; 20(1); 2-5","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100002&lang=pt" 
"S2307-21132016000100008-cub","Sobre la naturaleza de la investigación en Bibliotecología y Ciencia de la Información durante el período 1970-2000","Gauchi Risso, Verónica","Revista Cubana de Información en Ciencias de la Salud; 27(1); 100-117","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100008&lang=pt" 
"S2307-21132016000100003-cub","¿La información sobre automedicación disponible en internet reúne criterios de calidad?","Martín Fombellida, Ana Belén, Sáez Lorenzo, María, Iglesias de Sena, Helena, Alonso Sardón, Montserrat, Alonso Arévalo, Julio, Mirón Canelo, José Antonio","Revista Cubana de Información en Ciencias de la Salud; 27(1); 19-34","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100003&lang=pt" 
"S2307-21132016000100002-cub","Generación de conocimientos y tecnologías sanitarias: nanoonions de carbono","García Delgado, Beatriz Moraima, Desdín García, Luis Felipe, Ferreira Gaspar Amaral, Luciene, Ferreira Soares, Thais Talita","Revista Cubana de Información en Ciencias de la Salud; 27(1); 4-18","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100002&lang=pt" 
"S1809-68912016000100060-scl","INFLUÊNCIA SAZONAL SOBRE O PERFIL SEMINAL E CONGELABILIDADE DO SÊMEN DE TOUROS PANTANEIROS","Moreira, Nathalia Hack, Barbosa, Eleonora Araújo, Nascimento, Normandes Vieira, Juliano, Raquel Soares, Abreu, Urbano Gomes Pinto de, Ramos, Alexandre Floriani","Ciência Animal Brasileira; 17(1); 60-69","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100060&lang=pt" 
"S1809-48642016000100069-scl","Cochlear Implantation and Single-sided Deafness: A Systematic Review of the Literature","Cabral Junior, Francisco, Pinna, Mariana Hausen, Alves, Ricardo Dourado, Malerbi, Andrea Felice dos Santos, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 20(1); 69-75","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100069&lang=pt" 
