"S1405-22532009000100008-mex","Luis Aboites y Luis Jáuregui, Penuria sin fin. Historia de los impuestos en México siglos XVIII -XX","Quintanar Zárate, Iliana Marcela","América Latina en la historia económica; (31); 206-212","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100008&lang=pt" 
"S0120-338X2009000100003-col","EL CHISTE COMO RELATO GRACIOSO EN LA PRÉDICA DE UNA CONGREGACIÓN CRISTIANA Y LAS ACTITUDES LINGÜÍSTICAS FRENTE A ESTE","Parra Rico, Diana del Pilar","Forma y Función; 22(1); 45-65","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100003&lang=pt" 
"S0120-338X2009000100015-col","Lyndy Arriaga Díaz, Latín Básico: Morfología, ejercicios, antología (4.ª ed.): Bogotá: Universidad Pedagógica Nacional, 2006. 134 páginas","OVALLE, DIANA CAROLINA","Forma y Función; 22(1); 255-256","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100015&lang=pt" 
"S0120-338X2009000100014-col","Mataliwa Kulijaman, Marie Fleury &amp; Eliane Camargo, Kaptëlo. L’origine du ciel de case et du roseau á flèches chez les Wayana (Guyanes): París: Ediciones del Comité de Trabajos Históricos y Científicos, cths, 2007. 111 páginas. Edición bilingüe francés-wayana","MONTES RODRÍGUEZ, MARÍA EMILIA","Forma y Función; 22(1); 251-253","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100014&lang=pt" 
"S0120-338X2009000100010-col","HACIA UNA CONCEPTUALIZACIÓN DEL LEGADO DEL TRADUCTOR","Guzmán, María Constanza, Guzmán, Ana Marcela","Forma y Función; 22(1); 203-224","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100010&lang=pt" 
"S0120-338X2009000100012-col","Sergei Filippovich Goncharenko: La lingüística que se abisma en la poesía, o la poesía que se despliega desde el significante","FLÓREZ ARCILA, RUBÉN DARÍO","Forma y Función; 22(1); 239-244","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100012&lang=pt" 
"S0123-417X2009000100007-col","Transformaciones alrededor del discurso, prácticas educativas, actitudes y relaciones sociales de las madres comunitarias del icbf. &quot;Pueblo Viejo&quot; (Magdalena) y el programa &quot;Nichos Pedagógicos&quot;","Borjas, Mónica, Jaramillo, Leonor, Osorio, Margarita","Psicología desde el Caribe; (23); 113-131","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100007&lang=pt" 
"S0123-417X2009000100006-col","Salud mental: un abordaje desde la perspectiva actual de la psicología de la salud","Mebarak, Moisés, De Castro, Alberto, Salamanca, María del Pilar, Quintero, María Fernanda","Psicología desde el Caribe; (23); 83-112","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100006&lang=pt" 
"S0123-417X2009000100010-col","La ética del cuidado. Hacia la construcción de nuevas ciudadanías","Cortés Ramírez, Dennys Andrea, Parra Alfonso, Gladys","Psicología desde el Caribe; (23); 183-213","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100010&lang=pt" 
"S0123-417X2009000100009-col","Adolescentes en riesgo psicosocial y resiliencia","Cardozo, Griselda, Alderete, Ana María","Psicología desde el Caribe; (23); 148-182","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100009&lang=pt" 
"S0123-417X2009000100008-col","Los recuerdos del maltrato entre compañeros en la vida escolar","Reátiga, María Eugenia","Psicología desde el Caribe; (23); 132-147","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100008&lang=pt" 
"S0123-417X2009000100005-col","Memoria de trabajo y rendimiento académico en estudiantes de primer semestre de una universidad de la ciudad de barranquilla","Zapata, Luis Felipe, De Los Reyes, Carlos, Lewis, Soraya, Barceló, Ernesto","Psicología desde el Caribe; (23); 66-82","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100005&lang=pt" 
"S0123-417X2009000100004-col","Evolución y creatividad","Torres Laborde, José Luis, Rosillo Ricardo, Lourdes","Psicología desde el Caribe; (23); 46-65","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100004&lang=pt" 
"S0123-417X2009000100001-col","","De los Reyes Aragón, Carlos José","Psicología desde el Caribe; (23); VII-IX","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100001&lang=pt" 
"S0123-417X2009000100003-col","Competencias laborales del psicólogo javeriano en diferentes áreas aplicativas: clínica, educativa, social y organizacional","Uribe Rodríguez, Ana Fernanda, Aristizabal Motta, Andrea, Barona Henao, Alexandra, López Lesmes, Claudia Natalia","Psicología desde el Caribe; (23); 21-45","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100003&lang=pt" 
"S0123-417X2009000100002-col","La simulación de disfunción neurocognitiva en el campo de la neuropsicología forense. Aproximaciones teóricas","Puerta Lopera, Isabel Cristina, Betancur Arias, Juan Diego, Herrera Pino, Jorge Alfredo","Psicología desde el Caribe; (23); 1-20","Psicología desde el Caribe","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-417X2009000100002&lang=pt" 
"S1405-22532009000100011-mex","Carla Maria Carvalho de Almeida e Mônica Ribeiro de Oliveira (organizadoras), Nomes e números: alternativas metodológicas para a história econômica e social","Oliveira, Felipe Rodrigues de","América Latina en la historia económica; (31); 223-226","América Latina en la historia económica","Português","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100011&lang=pt" 
"S1405-22532009000100010-mex","Enriqueta Quiroz, Entre el lujo y la subsistencia. Mercado, abastecimiento y precios de la carne en la ciudad de México, 1750-1812","Silva Riquer, Jorge","América Latina en la historia económica; (31); 216-223","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100010&lang=pt" 
"S1405-22532009000100009-mex","Jorge Gelman y Daniel Santilli, De Rivadavia a Rosas. Desigualdad y crecimiento económico","Schmit, Roberto","América Latina en la historia económica; (31); 212-215","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100009&lang=pt" 
"S0123-59232009000200001-col","PRESENTACIÓN","","Estudios Gerenciales; 25(111); 9-11","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200001&lang=pt" 
"S0123-59232009000200008-col","MÁS QUE TÁCTICAS PARA SOBREVIVIR","ARBOLEDA ARANGO, ANA MARÍA, RODRÍGUEZ, CLAUDIA VIVIANA, VALENCIA, JUAN PABLO","Estudios Gerenciales; 25(111); 147-161","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200008&lang=pt" 
"S0123-59232009000200003-col","EFECTOS DE LA COMUNICACIÓN INTEGRADA DE MARKETING A TRAVÉS DE LA CONSISTENCIA ESTRATÉGICA: UNA PROPUESTA TEÓRICA Y METODOLÓGICA","NAVARRO BAILÓN, MARÍA ÁNGELES, PIÑERO, MARÍA SICILIA, DELGADO BALLESTER, ELENA","Estudios Gerenciales; 25(111); 35-57","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200003&lang=pt" 
"S0123-59232009000200002-col","RANKING FINANCIERO: HERRAMIENTA FINANCIERA PARA MEDIR LA PRODUCTIVIDAD DE LAS EMPRESAS DE COMERCIALIZACIÓN DE ENERGÍA ELÉCTRICA","DÍAZ GIL, NELSON DARÍO","Estudios Gerenciales; 25(111); 13-34","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200002&lang=pt" 
"S0123-59232009000200005-col","PERCEPCIÓN DEL CRECIMIENTO Y LA DIVERSIFICACIÓN EN EMPRENDIMIENTOS BOGOTANOS: PARA REFLEXIONAR","SEPÚLVEDA CALDERÓN, MARÍA DEL PILAR, VACA VACA, PATRICIA, FRACICA NARANJO, GERMÁN","Estudios Gerenciales; 25(111); 77-105","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200005&lang=pt" 
"S0123-59232009000200004-col","","VÉLEZ-PAREJA, IGNACIO","Estudios Gerenciales; 25(111); 59-75","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200004&lang=pt" 
"S0123-59232009000200007-col","DIRECCIONAMIENTO ESTRATÉGICO APOYADO EN LAS TIC","AGUILERA CASTRO, ADRIANA, RIASCOS ERAZO, SANDRA CRISTINA","Estudios Gerenciales; 25(111); 127-143","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200007&lang=pt" 
"S0123-59232009000200006-col","DECISIONES DE INVERSIÓN A TRAVÉS DE OPCIONES REALES","CALLE FERNÁNDEZ, ANA MARÍA, TAMAYO BUSTAMANTE, VÍCTOR MANUEL","Estudios Gerenciales; 25(111); 107-126","Estudios Gerenciales","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232009000200006&lang=pt" 
"S0102-67202009000200014-scl","Hemangioma hepático gigante roto","Amaral, Paulo Cezar Galvão do, Santana, Rodolfo Carvalho, Menezes-Junior, Eric Ettinger de, Fahel, Edvaldo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 130-132","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200014&lang=pt" 
"S0325-29572009000200001-arg","Electroforesis capilar: Nuevos aportes y su importancia nanotecnológica","Castagnino, Juan Miguel","Acta bioquímica clínica latinoamericana; 43(2); 175-176","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200001&lang=pt" 
"S0325-29572009000200002-arg","Marcadores bioquímicos del remodelamiento óseo: Utilidad clínica","Reynaga Montecinos, Belen, Zeni, Susana Noemí","Acta bioquímica clínica latinoamericana; 43(2); 177-193","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200002&lang=pt" 
"S0325-29572009000200003-arg","Desarrollo de Cryptococcus neoformans en medios de cultivo empleados para diagnóstico bacteriológico","Bava, Amadeo Javier, Zuliani, María Victoria","Acta bioquímica clínica latinoamericana; 43(2); 195-199","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200003&lang=pt" 
"S0325-29572009000200004-arg","Contenido de arsénico en el agua de consumo en Leales y Graneros (Provincia de Tucumán - Argentina)","Guber, Rosa Silvina, Tefaha, Liliana, Arias, Nilda, Sandoval, Noemí, Toledo, Roxana, Fernández, Marta, Bellomio, Cayetano, Martínez, Mateo, Soria de González, Analía","Acta bioquímica clínica latinoamericana; 43(2); 201-207","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200004&lang=pt" 
"S0325-29572009000200005-arg","Neurosífilis, evaluación de pruebas inmunológicas para su diagnóstico","Morello, Graciela del Carmen, Heredia, Martha Beatriz, Cáceres, Margarita Inés","Acta bioquímica clínica latinoamericana; 43(2); 209-212","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200005&lang=pt" 
"S0325-29572009000200006-arg","Protozoos intestinales en un asentamiento precario: manifestaciones clínicas y ambiente","Gamboa, María Inés, Navone, Graciela Teresa, Kozubsky, Leonora, Costas, María Elena, Cardozo, Marta, Magistrello, Paula","Acta bioquímica clínica latinoamericana; 43(2); 213-218","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200006&lang=pt" 
"S0325-29572009000200007-arg","Comparación de mieles producidas por la abeja yateí (Tetragonisca fiebrigi) en Argentina y Paraguay","Vit, Patricia, Gutiérrez, María Gabriela, Rodríguez-Malaver, Antonio Jesús, Aguilera, Greana, Fernández-Díaz, Cecilia, Tricio, Aída Ester","Acta bioquímica clínica latinoamericana; 43(2); 219-226","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200007&lang=pt" 
"S0325-29572009000200008-arg","Brucelosis en el zorro gris pampeano (Pseudalopex gymnocercus) en la provincia de La Pampa (Argentina)","Fuchs, Lumila, Baldone, Valeria, Fort, Marcelo, Rojas, María del Carmen, Samartino, Luis, Giménez, Hugo","Acta bioquímica clínica latinoamericana; 43(2); 227-231","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200008&lang=pt" 
"S0325-29572009000200009-arg","Riesgo sanitario por pesticidas organoclorados en aguas de una laguna pampeana argentina","Peluso, Fabio, Grosman, Fabián, González Castelain, José","Acta bioquímica clínica latinoamericana; 43(2); 233-240","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200009&lang=pt" 
"S0325-29572009000200010-arg","Guías de prácticas de laboratorio clínico: Biomarcadores de síndromes coronarios agudos y falla cardíaca","Christenson, Robert","Acta bioquímica clínica latinoamericana; 43(2); 241-261","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200010&lang=pt" 
"S0325-29572009000200011-arg","Dermatofitos transmitidos por animales","Viguié-Vallanet, C., Paugam, A.","Acta bioquímica clínica latinoamericana; 43(2); 263-270","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200011&lang=pt" 
"S0325-29572009000200012-arg","La importancia de la trazabilidad metrológica en la validez de la medición de creatinina como índice de función renal","","Acta bioquímica clínica latinoamericana; 43(2); 271-277","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200012&lang=pt" 
"S0325-29572009000200013-arg","Comentarios bibliográficos","","Acta bioquímica clínica latinoamericana; 43(2); 279-280","Acta bioquímica clínica latinoamericana","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572009000200013&lang=pt" 
"S0864-21762009000100003-cub","Resultados refractivos en pacientes operados por LASIK versus LASEK con mitomicina C","Cabrera Martínez, Abel, Cabrera Martínez, José A., Tirado Martínez, Oslay Mijail","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100003&lang=pt" 
"S0864-21762009000100004-cub","Biomicroscopia ultrasónica en pacientes operados de catarata traumática","Ramos Pereira, Yanay, García González, Ivette, Vega Quiroga, Belkis, Pérez Candelaria, Eneida de la C., Capote Cabrera, Armando","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100004&lang=pt" 
"S0864-21762009000100005-cub","Tonometría Goldmann versus tonometría de Pascal en pacientes poscirugía refractiva con LASIK","González Silverio, Ileana, Miqueli Rodríguez, Maritza, Piloto Díaz, Ibrain, Ambross Gómez, Itahimy, Domínguez Randulfe, Marerneda, Fernández Argones, Liamet","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100005&lang=pt" 
"S0864-21762009000100007-cub","Motivación y satisfacción de los pacientes miopes sometidos a cirugía LASIK","Díaz Martínez, Tania Aimeé, Torres Ortega, Rosario, Zerquera Rodríguez, Tania, Escalona Tamayo, Manuela","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100007&lang=pt" 
"S0864-21762009000100008-cub","Resultados topográficos en pacientes portadores de lentes de contacto","Díaz Martínez, Tania Aymeé, Torres Ortega, Rosario, Hernández Cobas, Coralia, Marcoleta Goyanes, Rosa María","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100008&lang=pt" 
"S0864-21762009000100009-cub","Resultados visuales en pacientes astigmatos puros corregidos con LASIK","Cabrera Martínez, José Alberto, Cabrera Martínez, Abel","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100009&lang=pt" 
"S0864-21762009000100012-cub","Síndrome de Rubinstein-Taybi","Pons Castro, Lucy, Méndez Sánchez, Teresita de J., Naranjo, Rosa María, Mejía Cruz, Nachelly I., Arias Díaz, Alejandro","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100012&lang=pt" 
"S0864-21762009000100013-cub","Síndrome de Noonan: Presentación de dos casos","Pons Castro, Lucy, Méndez Sánchez, Teresita de J., Naranjo, Rosa Maria, Arias Díaz, Alejandro, Soto García, Mavys, Silveira Simón, Mirta","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100013&lang=pt" 
"S0864-21762009000100001-cub","La oftalmología como protagonista de la medicina social","Martínez Ribalta, Jorge","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100001&lang=pt" 
"S0864-21762009000100006-cub","Microscopia confocal en operados de queratoplastia perforante","Gómez Castillo, Zulema, López Hernández, Silvia, Castillo Pérez, Alexeide de la C., Rodríguez de Paz, Urbano, Pérez Parra, Zaadia, Escalona Leiva, Elizabeth","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100006&lang=pt" 
"S0864-21762009000100010-cub","Síndrome de dispersión pigmentaria y glaucoma pigmentario","Fernández Argones, Liamet, Miqueli Rodríguez, Maritza, Piloto Díaz, Ibrain, Domínguez Randulfe, Marerneda, Cabañas Piñeiro, Janet","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100010&lang=pt" 
"S0864-21762009000100011-cub","Relación de la radiación ultravioleta y el pterigión primario","Aragonés Cruz, Belmary, Alemañy Martorell, Jaime","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100011&lang=pt" 
"S0864-21762009000100002-cub","Estudio del entotelio corneal en la corrección de alta miopía con lente intraocular fáquica Artisan","Ruiz Rodríguez, Yanele, Capote Cabrera, Armando, Pérez Candelaria, Eneida, Hernández Silva, Juan Raúl, Curbelo Cunill, Luis, Fernández Vázquez, Gilberto","Revista Cubana de Oftalmología; 22(1); -","Revista Cubana de Oftalmología","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762009000100002&lang=pt" 
"S0325-00752009000300001-arg","Pesquisa neonatal obligatoria: Reflexiones","Rossato, Norma","Archivos argentinos de pediatría; 107(3); 193-194","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300001&lang=pt" 
"S0325-00752009000300002-arg","Auspiciosos cambios se vislumbran en la relación de los médicos y las sociedades científicas con la industria","Ceriani Cernadas, José M.","Archivos argentinos de pediatría; 107(3); 195-197","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300002&lang=pt" 
"S0325-00752009000300003-arg","Objetivos de Desarrollo del Milenio e inseguridad alimentaria: ¿hacia dónde nos conduce su valoración?","Durán, Pablo","Archivos argentinos de pediatría; 107(3); 197-198","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300003&lang=pt" 
"S0325-00752009000300004-arg","Todavía falta mucho por comprender y mejorar en las residencias médicas","Eymann, Alfredo, Busaniche, Julio","Archivos argentinos de pediatría; 107(3); 198-199","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300004&lang=pt" 
"S0325-00752009000300005-arg","Malformaciones congénitas","Barreiro, Cristina Z.","Archivos argentinos de pediatría; 107(3); 199-200","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300005&lang=pt" 
"S0325-00752009000300006-arg","Mortalidad infantil por malformaciones congénitas en Argentina: análisis del quinquenio 2002-2006","Bronberg, Rubén, Alfaro, Emma, Chaves, Estela, Dipierri, José","Archivos argentinos de pediatría; 107(3); 203-211","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300006&lang=pt" 
"S0325-00752009000300007-arg","Tratamiento antirretroviral de gran actividad en niños VIH positivos: Evolución de la enfermedad relacionada con parámetros clínicos, inmunológicos y virológicos al comienzo del tratamiento","Rodríguez de Schiavi, M. Susana, Scrigni, Adriana, García Arrigoni, Patricia, Bologna, Rosa, Barboni, Graciela, Redondo, Julia, Nastri, Mariana, Mecikovsky, Débora, Cantisano, Claudio, Moreno, Rina, Siciliani, Darío, Lencina, Mónica, Luedicke, Nora, Rezzónico, Gabriela, Torolla, José L., López Papucci, Santiago, Luis, Miguel, Libonati, Carmen, Gamba, Luis, Barbarysky, Jeanette, Pérez Hernández, Ema, Zlatkes, Rafael","Archivos argentinos de pediatría; 107(3); 212-220","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300007&lang=pt" 
