"S0102-85292016000200567-scl","Explaining Co-operation and Conflict in Southern Africa: State-building, Foreign Policy and Regional Order","Silva, Igor Castellano da","Contexto Internacional; 38(2); 567-591","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000200567&lang=pt" 
"S1405-33222016000200313-mex","Braquiópodos discínidos (Lingulida, Discinoidea) de la Formación Ixtaltepec, Carbonífero del área de Santiago Ixtaltepec, Oaxaca","Torres-Martínez, Miguel Angel, Sour-Tovar, Francisco","Boletín de la Sociedad Geológica Mexicana; 68(2); 313-321","Boletín de la Sociedad Geológica Mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200313&lang=pt" 
"S1405-33222016000200339-mex","Estimación de parámetros de transporte y mecanismos que gobiernan su respuesta frente a la contaminación: caso de estudio de un acuífero poroso clástico","Gomez, María Laura","Boletín de la Sociedad Geológica Mexicana; 68(2); 339-356","Boletín de la Sociedad Geológica Mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200339&lang=pt" 
"S1405-33222016000200357-mex","Geochronology of Mexican mineral deposits. IV: the Cinco Minas epithermal deposit, Jalisco","Camprubí, Antoni, Iriondo, Alexander, López-Martínez, Margarita, Ramos-Rosique, Aldo","Boletín de la Sociedad Geológica Mexicana; 68(2); 357-364","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200357&lang=pt" 
"S1405-33222016000200365-mex","Geochronology of Mexican mineral deposits. V: the Peñón Blanco epithermal deposit Durango","Camprubí, Antoni, Albinson, Tawn, Iriondo, Alexander","Boletín de la Sociedad Geológica Mexicana; 68(2); 365-370","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200365&lang=pt" 
"S1405-33222016000200373-mex","Addendum to The Dolichopodidae (Diptera) of Mexican amber","Bickel, Daniel J., Solórzano Kraemer, Mónica M.","Boletín de la Sociedad Geológica Mexicana; 68(2); 373-373","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200373&lang=pt" 
"S1405-33222016000200215-mex","Early 19thCentury Geologic Studies of the Zimapán Region, Central Mexico","Suter, Max","Boletín de la Sociedad Geológica Mexicana; 68(2); 215-230","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200215&lang=pt" 
"S1405-33222016000200371-mex","Addendum to Calisiopsis azteca n. sp., the first Aradidae from mid Miocene Mexican Amber (Hemiptera: Heteroptera)","Heiss, Ernst","Boletín de la Sociedad Geológica Mexicana; 68(2); 371-371","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200371&lang=pt" 
"S1405-33222016000200305-mex","Salinites grossicostatum (Imlay, 1939) and S. finicostatum sp. nov. from the latest Tithonian (Late Jurassic) of northeastern Mexico","Zell, Patrick, Stinnesbeck, Wolfgang","Boletín de la Sociedad Geológica Mexicana; 68(2); 305-311","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200305&lang=pt" 
"S1405-33222016000200323-mex","Provenance of opaque minerals in coastal sands, western Gulf of Mexico, Mexico","Kasper-Zubillaga, Juan José, Linares López, Carlos, Espino de la Fuente Muñoz, Carmen Adela","Boletín de la Sociedad Geológica Mexicana; 68(2); 323-338","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200323&lang=pt" 
"S1405-33222016000200231-mex","Eogeryon elegius n. gen. and n. sp. (Decapoda: Eubrachyura: Portunoidea), one of the oldest modern crabs from late Cenomanian of the Iberian Peninsula","Ossó, Àlex","Boletín de la Sociedad Geológica Mexicana; 68(2); 231-246","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200231&lang=pt" 
"S1405-33222016000200187-mex","Contribución al alcance estratigráfico de la Formación Agueguexquite (Mioceno), Veracruz, México","Pineda-Salgado, Gabriela, Schaaf, Peter, Aguilar-Piña, Marcelo, Solís-Pichardo, Gabriela, Vega, Francisco J.","Boletín de la Sociedad Geológica Mexicana; 68(2); 187-197","Boletín de la Sociedad Geológica Mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200187&lang=pt" 
"S2225-62532016000800014-sza","Optimizing seat selection for LHDs in the underground mining environment","Ji, X., Eger, T.R., Dickey, J.P.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 785-792","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800014&lang=pt" 
"S2225-62532016000800010-sza","Fracture banding in caving mines","Cumming-Potvin, D., Wesseloo, J., Jacobsz, S.W., Kearsley, E.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 753-761","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800010&lang=pt" 
"S2225-62532016000800015-sza","The prediction of penetration rate for percussive drills from indirect tests using artificial neural networks","Kahraman, S.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 793-800","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800015&lang=pt" 
"S2225-62532016000800012-sza","The globalization of the South African mining industry","Robinson, I.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 769-775","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800012&lang=pt" 
"S2225-62532016000800001-sza","Diamonds still Sparkling Conference 2016","Marsden, H.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); iv-iv","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800001&lang=pt" 
"S2225-62532016000800005-sza","The CCUT block cave design for Cullinan Diamond Mine","Tukker, H., Holder, A., Swarts, B., van Strijp, T., Grobler, E.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 715-722","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800005&lang=pt" 
"S2225-62532016000800008-sza","Microdiamond analysis - a method for estimating the size frequency distribution of the macrodiamonds","Danoczi, J., Creighton, S.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 737-743","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800008&lang=pt" 
"S1405-33222016000200199-mex","Acoplamiento sismogénico en la zona de subducción de Michoacán-Colima-Jalisco, México","Martínez-López, M. Rosario, Mendoza, Carlos","Boletín de la Sociedad Geológica Mexicana; 68(2); 199-214","Boletín de la Sociedad Geológica Mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200199&lang=pt" 
"S1405-33222016000200283-mex","A new Miocene Formation from The Peotillos-Tolentino Graben fill, Western Sierra Madre Oriental at San Luis Potosí, Mexico: Part 2, Depositional environments and regional significance","Ferrusquía-Villafranca, Ismael, Ruiz-González, José E., Torres-Hernández, José Ramón, Martínez-Hernández, Enrique, Gama-Castro, Jorge","Boletín de la Sociedad Geológica Mexicana; 68(2); 283-304","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200283&lang=pt" 
"S1405-33222016000200247-mex","A new Miocene Formation from The Peotillos-Tolentino Graben fill, Western Sierra Madre Oriental at San Luis Potosí, Mexico: Part 1, Geology","Ferrusquía-Villafranca, Ismael, Ruiz-González, José E., Torres-Hernández, José Ramón, Martínez-Hernández, Enrique, Gama-Castro, Jorge","Boletín de la Sociedad Geológica Mexicana; 68(2); 247-282","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200247&lang=pt" 
"S1405-33222016000200173-mex","Interferometría de ruido sísmico para la caracterización de la estructura de velocidad 3D de un talud en la 3ª Sección del Bosque de Chapultepec, Ciudad de México.","Cárdenas-Soto, Martín, Ramos-Saldaña, Horacio, Vidal-García, Martín Carlos","Boletín de la Sociedad Geológica Mexicana; 68(2); 173-186","Boletín de la Sociedad Geológica Mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200173&lang=pt" 
"S0034-71672016000400757-scl","Assistência ao paciente com síndrome coronariana aguda segundo indicadores de qualidade","Maier, Gláucia de Souza Omori, Martins, Eleine Aparecida Penha","Revista Brasileira de Enfermagem; 69(4); 757-764","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400757&lang=pt" 
"S0034-71672016000400718-scl","Criança dependente de tecnologia e a demanda de cuidado medicamentoso","Okido, Aline Cristiane Cavicchioli, Cunha, Suelen Teles da, Neves, Eliane Tatsch, Dupas, Giselle, Lima, Regina Aparecida Garcia de","Revista Brasileira de Enfermagem; 69(4); 718-724","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400718&lang=pt" 
"S0034-71672016000400641-scl","Custos de coberturas para a prevenção de úlcera por pressão sacral","Inoue, Kelly Cristina, Matsuda, Laura Misue","Revista Brasileira de Enfermagem; 69(4); 641-645","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400641&lang=pt" 
"S0034-71672016000400751-scl","Qualidade de vida profissional de atendentes de central de telecomunicações","Parise, Janaina Amoriele, Soler, Zaida Aurora Geraldes Sperli Geraldes","Revista Brasileira de Enfermagem; 69(4); 751-756","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400751&lang=pt" 
"S0034-71672016000400733-scl","Conceitos e práticas de ensino e exercício da liderança em Enfermagem","Neves, Vanessa Ribeiro, Sanna, Maria Cristina","Revista Brasileira de Enfermagem; 69(4); 733-740","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400733&lang=pt" 
"S0034-71672016000400725-scl","Prevenção e monitorização do delirium no idoso: uma intervenção educativa","Faustino, Tássia Nery, Pedreira, Larissa Chaves, Freitas, Yasmin Seixas de, Silva, Rosana Maria de Oliveira, Amaral, Juliana Bezerra do","Revista Brasileira de Enfermagem; 69(4); 725-732","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400725&lang=pt" 
"S0034-71672016000400785-scl","Diagnósticos de enfermagem em pacientes com acidente vascular cerebral: revisão integrativa","Lima, Ana Carolina Maria Araújo Chagas Costa, Silva, Aurilene Lima da, Guerra, Débora Rodrigues, Barbosa, Islene Victor, Bezerra, Karine de Castro, Oriá, Mônica Oliveira Batista","Revista Brasileira de Enfermagem; 69(4); 785-792","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400785&lang=pt" 
"S0034-71672016000400669-scl","Análise dos atendimentos obstétricos realizados pelo Serviço de Atendimento Móvel de Urgência","Michilin, Nathallia Serodio, Jensen, Rodrigo, Jamas, Milena Temer, Pavelqueires, Shirlene, Parada, Cristina Maria Garcia de Lima","Revista Brasileira de Enfermagem; 69(4); 669-675","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400669&lang=pt" 
"S0034-71672016000400793-scl","Ações públicas para o controle do câncer de mama no Brasil: revisão integrativa","Ohl, Isabella Cristina Barduchi, Ohl, Rosali Isabel Barduchi, Chavaglia, Suzel Regina Ribeiro, Goldman, Rosely Erlach","Revista Brasileira de Enfermagem; 69(4); 793-803","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400793&lang=pt" 
"S0034-71672016000400654-scl","Diálogo: rede que entrelaça a relação pedagógica no ensino prático- reflexivo","Lima, Margarete Maria de, Reibnitz, Kenya Schmidt, Kloh, Daiana, Vendruscolo, Carine, Corrêa, Aline Bússolo","Revista Brasileira de Enfermagem; 69(4); 654-661","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400654&lang=pt" 
"S0034-71672016000400765-scl","O processo de comunicação na Telenfermagem: revisão integrativa","Barbosa, Ingrid de Almeida, Silva, Karen Cristina da Conceição Dias da, Silva, Vladimir Araújo da, Silva, Maria Júlia Paes da","Revista Brasileira de Enfermagem; 69(4); 765-772","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400765&lang=pt" 
"S0034-71672016000400646-scl","Os cuidados de enfermagem na percepção da criança hospitalizada","Santos, Priscila Mattos dos, Silva, Liliane Faria da, Depianti, Jéssica Renata Bastos, Cursino, Emília Gallindo, Ribeiro, Circéa Amália","Revista Brasileira de Enfermagem; 69(4); 646-653","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400646&lang=pt" 
"S0034-71672016000400676-scl","Saberes gerenciais do enfermeiro no contexto hospitalar","Soares, Mirelle Inácio, Camelo, Silvia Helena Henriques, Resck, Zélia Marilda Rodrigues, Terra, Fábio de Souza","Revista Brasileira de Enfermagem; 69(4); 676-683","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400676&lang=pt" 
"S0034-71672016000400705-scl","Validação para a língua portuguesa da Debriefing Experience Scale","Almeida, Rodrigo Guimarães dos Santos, Mazzo, Alessandra, Martins, José Carlos Amado, Coutinho, Verónica Rita Dias, Jorge, Beatriz Maria, Mendes, Isabel Amélia Costa","Revista Brasileira de Enfermagem; 69(4); 705-711","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400705&lang=pt" 
"S0034-71672016000400697-scl","Análise de fatores do instrumento de medida do impacto da doença no cotidiano","Pedrosa, Rafaela Batista dos Santos, Rodrigues, Roberta Cunha Matheus, Padilha, Kátia Melissa, Gallani, Maria Cecília Bueno Jayme, Alexandre, Neusa Maria Costa","Revista Brasileira de Enfermagem; 69(4); 697-704","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400697&lang=pt" 
"S0034-71672016000400633-scl","Práticas em saúde: ótica do idoso negro em uma comunidade de terreiro","Farias, Katia Peres, Crossetti, Maria da Graça Oliveira, Góes, Marta Georgina Oliveira de, Portella, Vera Catarina","Revista Brasileira de Enfermagem; 69(4); 633-640","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400633&lang=pt" 
"S0034-71672016000400619-scl","Descobertas das Ciências Biológicas e as implicações para a prática da Enfermagem","Carnio, Evelin Capellari","Revista Brasileira de Enfermagem; 69(4); 619-620","Revista Brasileira de Enfermagem","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400619&lang=pt" 
"S0034-71672016000400625-scl","Representações sociais dos usuários hospitalizados sobre cidadania: implicações para o cuidado hospitalar","Araújo, Flávia Pacheco de, Sauthier, Marta, Ferreira, Márcia de Assunção","Revista Brasileira de Enfermagem; 69(4); 625-632","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400625&lang=pt" 
"S0034-71672016000400741-scl","Estressores percebidos por pacientes no pós-operatório imediato de cirurgia cardíaca","Dessotte, Carina Aparecida Marosti, Rodrigues, Hélen Francine, Furuya, Rejane Kiyomi, Rossi, Lidia Aparecida, Dantas, Rosana Aparecida Spadoti","Revista Brasileira de Enfermagem; 69(4); 741-750","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400741&lang=pt" 
"S0034-71672016000400773-scl","Impacto de intervenções educativas na redução das complicações diabéticas: revisão sistemática","Menezes, Marcela Machado, Lopes, Camila Takáo, Nogueira, Lilia de Souza","Revista Brasileira de Enfermagem; 69(4); 773-784","Revista Brasileira de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400773&lang=pt" 
"S0034-71672016000400804-scl","The Spiritism as therapy in the health care in the epilepsy","Vancini, Rodrigo Luiz, Lira, Claudio Andre Barbosa de, Vancini-Campanharo, Cássia Regina, Barbosa, Dulce Aparecida, Arida, Ricardo Mario","Revista Brasileira de Enfermagem; 69(4); 804-810","Revista Brasileira de Enfermagem","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672016000400804&lang=pt" 
"S0100-736X2016000800731-scl","Frequency and hematological alterations of different hemoplasma infections with retrovirusis co-infections in domestic cats from Brazil","Firmino, Fernanda P., Aquino, Larissa C., Marçola, Tatiana G., Bittencourt, Marta V., McManus, Concepta M., Paludo, Giane R.","Pesquisa Veterinária Brasileira; 36(8); 731-736","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800731&lang=pt" 
"S0100-736X2016000800694-scl","Laminar lesions in horses with systemic oxidative stress, committed by experimentally induced or naturally occurring gastrointestinal disorders","Laskoski, Luciane M., Locatelli-Dittrich, Rosangela, Sousa, Renato S., Brum, Juliana S., Cristo, Thierry G., Montiani-Ferreira, Fabiano, Beltrame, Olair C., Valadão, Carlos A.A.","Pesquisa Veterinária Brasileira; 36(8); 694-700","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800694&lang=pt" 
"S0100-736X2016000800711-scl","Proteolytic activity of excretory/secretory products of Cochliomyia hominivorax larvae (Diptera: Calliphoridae)","Giglioti, Rodrigo, Guimarães, Semíramis, Oliveira-Sequeira, Teresa C.G., David, Erica B., Brito, Luciana G., Huacca, Maribel E.F., Chagas, Ana C.S., Oliveira, Márcia C.S.","Pesquisa Veterinária Brasileira; 36(8); 711-718","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800711&lang=pt" 
"S0100-736X2016000800753-scl","Development of the central nervous system in guinea pig (Cavia porcellus, Rodentia, Caviidae)","Silva, Fernanda Menezes de Oliveira e, Alcantara, Dayane, Carvalho, Rafael Cardoso, Favaron, Phelipe Oliveira, Santos, Amilton Cesar dos, Viana, Diego Carvalho, Miglino, Maria Angelica","Pesquisa Veterinária Brasileira; 36(8); 753-760","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800753&lang=pt" 
