"S1415-52732017000100091-scl","Evaluation of a mobile application for estimation of food intake","MESCOLOTO, Samantha Bittencourt, CAIVANO, Simone, DOMENE, Semíramis Martins Álvares","Revista de Nutrição; 30(1); 91-98","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100091&lang=pt" 
"S2358-04292017000100005-scl","Effects of the supplementation with alpha-lipoic acid on muscular antioxidant biomarkers of trained mice","Portari, Guilherme Vannucchi, Moraes, Ruan Carlos Macêdo de, Deminice, Rafael, Orsatti, Fábio Lera, Merino, Susana","MedicalExpress; 4(1); -","MedicalExpress","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292017000100005&lang=pt" 
"S0100-39842017000100019-scl","Modified approach to the characterization of adrenal nodules using a standard abdominal magnetic resonance imaging protocol","Matos, António P., Semelka, Richard C., Herédia, Vasco, AlObaidiy, Mamdoh, Gomes, Filipe Veloso, Ramalho, Miguel","Radiologia Brasileira; 50(1); 19-25","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100019&lang=pt" 
"S0100-39842017000100002-scl","The powerful &quot;lens&quot; of magnetic resonance imaging in the diagnosis of hepatic nodules in patients with cirrhosis: diagnosis of hepatocellular carcinoma without the need of histopathological confirmation - fact!","Melo-Leite, Andrea Farias de","Radiologia Brasileira; 50(1); VII-VIII","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100002&lang=pt" 
"S0100-39842017000100060-scl","Ectopic ovary with torsion: uncommon diagnosis made by ultrasound","Castro, Adham do Amaral e, Morandini, Fernando, Calixto, Caroline Paludo, Barros, Wagner Haese, Nakatani, Edson Tetsuya, Castro, Allan do Amaral e","Radiologia Brasileira; 50(1); 60-61","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100060&lang=pt" 
"S0100-39842017000100068-scl","Hepatoblastoma with solid and multicystic aspect mimicking a mesenchymal hamartoma: imaging and anatomopathologic findings","Staziaki, Pedro Vinícius, Teixeira, Bernardo Corrêa de Almeida, Pedrazzani, Bruno Mauricio, Gugelmin, Elizabeth Schneider, Zapparolli, Mauricio","Radiologia Brasileira; 50(1); 68-68","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100068&lang=pt" 
"S2358-04292017000100002-scl","Blood lactate and oxygen consumption in soccer players: comparison between different positions on the field","Santos-Silva, Paulo Roberto, Pedrinelli, André, Greve, Júlia Maria D&#039;Andrea","MedicalExpress; 4(1); -","MedicalExpress","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292017000100002&lang=pt" 
"S0100-39842017000100066-scl","Plasmacytoma of the trachea: a surprising diagnosis","Duarte, Márcio Luís, Brito, Mariana Carneiro Barbosa de, Traple, Fabricius André Lyrio, Prado, José Luiz Masson de Almeida, Scoppetta, Luiz Carlos Donoso","Radiologia Brasileira; 50(1); 66-67","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100066&lang=pt" 
"S0100-39842017000100013-scl","Using computed tomography enterography to evaluate patients with Crohn&#039;s disease: what impact does examiner experience have on the reproducibility of the method?","Burlin, Stênio, Favaro, Larissa Rossini, Bretas, Elisa Almeida Sathler, Taniguchi, Lincoln Seiji, Loch, Ana Paula, Argollo, Marjorie Costa, Ambrogini Junior, Orlando, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 50(1); 13-18","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100013&lang=pt" 
"S0100-39842017000100026-scl","Radiologist agreement on the quantification of bronchiectasis by high-resolution computed tomography","Brito, Milene Carneiro Barbosa de, Ota, Maurício Kenji, Leitão Filho, Fernando Sergio Studart, Meirelles, Gustavo de Souza Portes","Radiologia Brasileira; 50(1); 26-31","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100026&lang=pt" 
"S0100-39842017000100064-scl","Multiple primary malignancies: synchronous urothelial carcinoma of the bladder and adenocarcinoma of the colon","Queiroz, Rodolfo Mendes, Roque, Daniel, Febronio, Eduardo Miguel","Radiologia Brasileira; 50(1); 64-64","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100064&lang=pt" 
"S0100-39842017000100007-scl","Reproducibility and interobserver agreement of the R.E.N.A.L. nephrometry score: focus on imaging features","Vilaseca, Richard Mast, Westphalen, Antonio Carlos, Reis, Henrique Ferreira, Zogbi, Orlando Salomão, Silva, Gyl Eanes, Reis, Rodolfo Borges dos, Muglia, Valdair Francisco","Radiologia Brasileira; 50(1); 7-12","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100007&lang=pt" 
"S0100-39842017000100062-scl","Exophytic hepatocellular carcinoma, simulating a mesenchymal tumor, in a non-cirrhotic liver","Siqueira, Glaucio Rodrigo Silva de, Guimarães, Marcos Duarte, Franco, Luiz Felipe Sias, Coutinho, Rafaela Batista e Silva, Marchiori, Edson","Radiologia Brasileira; 50(1); 62-62","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100062&lang=pt" 
"S0100-39842017000100003-scl","Tuberous sclerosis complex: imaging the pieces of the puzzle","Penha, Diana","Radiologia Brasileira; 50(1); IX-X","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100003&lang=pt" 
"S0100-39842017000100004-scl","Evaluation of the indications for performing magnetic resonance imaging of the female pelvis at a referral center for cancer, according to the American College of Radiology criteria","Boaventura, Camila Silva, Rodrigues, Daniel Padilha, Silva, Olimpio Antonio Cornehl, Beltrani, Fabrício Henrique, Melo, Rayssa Araruna Bezerra de, Bitencourt, Almir Galvão Vieira, Mendes, Gustavo Gomes, Chojniak, Rubens","Radiologia Brasileira; 50(1); 1-6","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100004&lang=pt" 
"S0100-39842017000100065-scl","Dural fistula with bilateral arterial supply, mimicking a brainstem tumor","Liaffa, Bárbara, Noro, Fábio, Bahia, Paulo Roberto Valle, Motta, Flávia Pinto Dezonne, Marchiori, Edson","Radiologia Brasileira; 50(1); 65-65","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100065&lang=pt" 
"S2358-04292017000100006-scl","One wire tubeless ureteral reimplant: preliminary experience and step-by-step technique","Tobias-Machado, Marcos, Hidaka, Alexandre Kyoshi, Sato, Leticia Lumy Kanawa, Almeida-Carrera, Roberto Javier, Faria, Eliney Ferreira, Zampolli, Hamilton","MedicalExpress; 4(1); -","MedicalExpress","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292017000100006&lang=pt" 
"S0100-39842017000100055-scl","Pitfalls and artifacts in the interpretation of oncologic PET/CT of the chest","Meirelles, Gustavo de Souza Portes, Capobianco, Julia, Oliveira, Marco Antônio Condé de","Radiologia Brasileira; 50(1); 55-59","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100055&lang=pt" 
"S0100-39842017000100038-scl","Magnetic resonance imaging of the cirrhotic liver: diagnosis of hepatocellular carcinoma and evaluation of response to treatment - Part 1","Ramalho, Miguel, Matos, António P., AlObaidy, Mamdoh, Velloni, Fernanda, Altun, Ersan, Semelka, Richard C.","Radiologia Brasileira; 50(1); 38-47","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100038&lang=pt" 
"S0102-09352017000100111-scl","Leiomiossarcoma gástrico associado a hérnia de hiato em cão da raça Shar-pei: relato de caso","Prado, L.O.C., Franco, G.G., Legatti, E., Ranzani, J.J.T., Quitzan, J.G., Siqueira, E.G.M., Souza, J.A.L., Minto, B.W., Brandão, C.V.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 111-116","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100111&lang=pt" 
"S0102-09352017000100165-scl","Glicerina bruta associada à ureia na terminação de bovinos: consumo, desempenho e características da carne","D&#039;Aurea, A.P., Ezequiel, J.M.B., D&#039;Aurea, E.M.O., Santos, V.C., Fávaro, V.R., Homem Júnior, A.C., Almeida, M.T.C., Perez, H.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 165-172","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100165&lang=pt" 
"S0102-09352017000100089-scl","Reinforcement of the pelvic diaphragm using a purse-string suture in dogs: description of technique","Moraes, P.C., Facin, A.C., Rosa-Ballaben, N.M., Zanetti, N.M., Dias, L.G.G.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 89-94","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100089&lang=pt" 
"S0102-09352017000100039-scl","Acompanhamento eletrocardiográfico no desenvolvimento de ratos Wistar","Pezolato, V.A., Mascarin, A.L., Ferreira, R.B., Dias, R., Silva, C.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 39-48","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100039&lang=pt" 
"S0066-782X2017000200116-scl","Resveratrol Treatment Normalizes the Endothelial Function and Blood Pressure in Ovariectomized Rats","Fabricio, Victor, Oishi, Jorge Camargo, Biffe, Bruna Gabriele, Ruffoni, Leandro Dias Gonçalves, Silva, Karina Ana da, Nonaka, Keico Okino, Rodrigues, Gerson Jhonatan","Arquivos Brasileiros de Cardiologia; 108(2); 116-121","Arquivos Brasileiros de Cardiologia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2017000200116&lang=pt" 
"S0104-42302017000200109-scl","Targeting personalized medicine in a non-Hodgkin lymphoma patient with 18F-FDG and 18F-choline PET/CT","Ribeiro, Thalles H., S. Filho, Raul, Castro, Ana Carolina G., Paulino Jr, Eduardo, Mamede, Marcelo","Revista da Associação Médica Brasileira; 63(2); 109-111","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200109&lang=pt" 
"S0102-09352017000100123-scl","Produção e caracterização de protease fibrinolítica de Streptomyces parvulus DPUA 1573","Batista, J.M.S., Clementino, E.L., Nascimento, T.P., Lima, G.M.S., Porto, T.S., Porto, A.L.F., Porto, C.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 123-129","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100123&lang=pt" 
"S0102-09352017000100225-scl","Massa de forragem, composição morfológica e valor nutritivo de capim-braquiária submetido a níveis de sombreamento e fertilização","Lopes, C.M., Paciullo, D.S.C., Araújo, S.A.C., Gomide, C.A.M., Morenz, M.J.F., Villela, S.D.J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 225-233","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100225&lang=pt" 
"S0102-09352017000100130-scl","Evaluation of intranasal oxygen supplementation in mules anesthetized with the combination of ketamine, butorphanol, and guaifenesin","Módolo, T.J.C., Munerato, M.S., Bueno, G.M., Pereira, G.T., Marques, J.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 130-138","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100130&lang=pt" 
"S0066-782X2017000200173-scl","Case 1/2017 - 26-Year-old Male with Rapidly Progressive Heart Failure","Marques, Laís Costa, Paula, Rogério Silva de, Camilo, Ivna Lobo, Aiello, Vera Demarchi","Arquivos Brasileiros de Cardiologia; 108(2); 173-183","Arquivos Brasileiros de Cardiologia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2017000200173&lang=pt" 
"S0102-09352017000100198-scl","Dietas pós-eclosão suplementadas com fontes de gordura e acrescidas de taurina e glicina sobre a morfometria intestinal e o desempenho de frangos de corte de um a 21 dias","Fernandes, J.I.M., Rorig, A., Gottardo, E.T., Schmidt, J.M., Burin Júnior, A.M., Fülber, L.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 198-204","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100198&lang=pt" 
"S0066-782X2017000200184-scl","Rare Association of two Genetic Causes of Sudden Death in a Young Survivor","Brito, Dulce, Magalhães, Andreia, Cortez-Dias, Nuno, Miltenberger-Miltenyi, Gabriel","Arquivos Brasileiros de Cardiologia; 108(2); 184-186","Arquivos Brasileiros de Cardiologia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2017000200184&lang=pt" 
"S0104-42302017000200118-scl","A prospective randomized trial comparing patent blue and methylene blue for the detection of the sentinel lymph node in breast cancer patients","Paulinelli, Régis Resende, Freitas-Junior, Ruffo, Rahal, Rosemar Macedo de Souza, Oliveira, Luis Fernando de Pádua, Vilela, Maria Helena Tavares, Moreira, Marise Amaral Rebouças, Alves, Katyane Larissa, Peleja, Marina Berquó, Resende, Tatiane Coelho Capel de","Revista da Associação Médica Brasileira; 63(2); 118-123","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200118&lang=pt" 
"S0066-782X2017000200187-scl","Dysphagia Caused by Right-Sided Aortic Arch and Lusorian Artery","Gil, Julio, Marmelo, Bruno, Moreira, Davide, Santos, Luís Ferreira dos, Cabral, José Costa","Arquivos Brasileiros de Cardiologia; 108(2); 187-188","Arquivos Brasileiros de Cardiologia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2017000200187&lang=pt" 
"S0104-42302017000200093-scl","Radiotherapy and the SUS: A collapse foretold","Weltman, Eduardo, Marta, Gustavo Nader","Revista da Associação Médica Brasileira; 63(2); 93-94","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200093&lang=pt" 
"S0102-09352017000100010-scl","Congenital multiple arthrogryposis in bovine","Vrisman, D.P., Bonato, D.V., Taira, A.R., Thomaz, E.R., Peres, J.A., Malta, C.A.S., Cintra, C.A., Cunha, M.S., Coutinho, L.N., Crivellenti, L.Z., Magalhães, G.M., Teixiera, P.P.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 10-14","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100010&lang=pt" 
"S0102-09352017000100264-scl","Aspectos parasitológicos da traíra (Hoplias malabaricus ) proveniente da cidade de São Bento, MA","Rodrigues, L.C., Santos, A.C.G., Ferreira, E.M., Teófilo, T.S., Pereira, D.M., Costa, F.N.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 264-268","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100264&lang=pt" 
"S0104-42302017000200173-scl","Osteoporosis and autophagy: What is the relationship?","Florencio-Silva, Rinaldo, Sasso, Gisela Rodrigues da Silva, Simões, Manuel de Jesus, Simões, Ricardo Santos, Baracat, Maria Cândida Pinheiro, Sasso-Cerri, Estela, Cerri, Paulo Sérgio","Revista da Associação Médica Brasileira; 63(2); 173-179","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200173&lang=pt" 
"S0104-42302017000200134-scl","Qualitative and quantitative ultrasound assessment of gastric content","Bisinotto, Flora Margarida Barra, Pansani, Patrícia Luísa, Silveira, Luciano Alves Matias da, Naves, Aline de Araújo, Peixoto, Ana Cristina Abdu, Lima, Hellen Moreira de, Martins, Laura Bisinotto","Revista da Associação Médica Brasileira; 63(2); 134-141","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200134&lang=pt" 
"S0104-42302017000200156-scl","Hypomagnesemia and its relation with chronic low-grade inflammation in obesity","Oliveira, Ana Raquel Soares de, Cruz, Kyria Jayanne Clímaco, Severo, Juliana Soares, Morais, Jennifer Beatriz Silva, Freitas, Taynáh Emannuelle Coelho de, Araújo, Rogério Santiago, Marreiro, Dilina do Nascimento","Revista da Associação Médica Brasileira; 63(2); 156-163","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200156&lang=pt" 
"S0104-42302017000200180-scl","Induced pluripotent stem cells reprogramming: Epigenetics and applications in the regenerative medicine","Gomes, Kátia Maria Sampaio, Costa, Ismael Cabral, Santos, Jeniffer Farias dos, Dourado, Paulo Magno Martins, Forni, Maria Fernanda, Ferreira, Julio Cesar Batista","Revista da Associação Médica Brasileira; 63(2); 180-189","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200180&lang=pt" 
"S0104-42302017000200148-scl","Regulation of muscle plasticity and trophism by fatty acids: A short review","Abreu, Phablo, Leal-Cardoso, José Henrique, Ceccatto, Vânia Marilande, Hirabara, Sandro Massao","Revista da Associação Médica Brasileira; 63(2); 148-155","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200148&lang=pt" 
"S0104-42302017000200164-scl","Systematic review of the synergist muscle ablation model for compensatory hypertrophy","Terena, Stella Maris Lins, Fernandes, Kristianne Porta Santos, Bussadori, Sandra Kalill, Deana, Alessandro Melo, Mesquita-Ferrari, Raquel Agnelli","Revista da Associação Médica Brasileira; 63(2); 164-172","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200164&lang=pt" 
"S0066-782X2017000200100-scl","I Luso-Brazilian Positioning on Central Arterial Pressure","Brandão, Andréa A., Amodeo, Celso, Alcântara, Cristina, Barbosa, Eduardo, Nobre, Fernando, Pinto, Fernando, Vilela-Martin, José Fernando, Bastos, José Mesquita, Yugar-Toledo, Juan Carlos, Mota-Gomes, Marco Antônio, Neves, Mario Fritsch Toros, Malachias, Marcus Vinícius Bolívar, Rodrigues, Manuel de Carvalho, Passarelli Junior, Oswaldo, Jardim, Paulo César B. Veiga, Cunha, Pedro Guimarães, Póvoa, Rui, Fonseca, Teresa, Dias, Vitor Paixão, Barroso, Weimar Sebba, Oigman, Wille","Arquivos Brasileiros de Cardiologia; 108(2); 100-108","Arquivos Brasileiros de Cardiologia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2017000200100&lang=pt" 
"S0104-42302017000200100-scl","Therapeutic use of the rebound effect of modern drugs: &quot;New homeopathic medicines&quot;","Teixeira, Marcus Zulian","Revista da Associação Médica Brasileira; 63(2); 100-108","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200100&lang=pt" 
"S0100-39842017000100063-scl","Spondylometaphyseal dysplasia: an uncommon disease","Duarte, Márcio Luís, Duarte, Élcio Roberto, Solorzano, Daniela Brasil, Solorzano, Edgar Brasil, Ferreira, Jael Brasil de Alcântara","Radiologia Brasileira; 50(1); 63-63","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100063&lang=pt" 
"S2358-04292017000100001-scl","Genetic Polymorphisms and Generalized Anxiety Disorder: a systematic review","Alves, Verônica de Medeiros, Moura, Edilson Leite de, Correia, Larissa Tenório Andrade, Nardi, Antonio E.","MedicalExpress; 4(1); -","MedicalExpress","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292017000100001&lang=pt" 
"S0100-39842017000100048-scl","Imaging of tuberous sclerosis complex: a pictorial review","von Ranke, Felipe Mussi, Faria, Igor Murad, Zanetti, Gláucia, Hochhegger, Bruno, Souza Jr., Arthur Soares, Marchiori, Edson","Radiologia Brasileira; 50(1); 48-54","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100048&lang=pt" 
"S0100-39842017000100001-scl","Indications for magnetic resonance imaging of the female pelvis at a referral center for cancer","Cardia, Patrícia Prando","Radiologia Brasileira; 50(1); V-VI","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100001&lang=pt" 
"S0100-39842017000100032-scl","Mapping the different methods adopted for diagnostic imaging instruction at medical schools in Brazil","Chojniak, Rubens, Carneiro, Dominique Piacenti, Moterani, Gustavo Simonetto Peres, Duarte, Ivone da Silva, Bitencourt, Almir Galvão Vieira, Muglia, Valdair Francisco, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 50(1); 32-37","Radiologia Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842017000100032&lang=pt" 
"S0034-737X2017000100025-scl","External fixation to correct tarsal-metatarsal fracture in rock pigeon (Columba livia)","Rui, Leandro Almeida, Viana, Diego Carvalho, Dora, Adriano Barile, Fratini, Paula","Revista Ceres; 64(1); 25-30","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100025&lang=pt" 
"S0034-737X2017000100068-scl","Crescimento, produtividade e qualidade de fibra de algodão colorido influenciados pela população de plantas","Alves, Gibran da Silva, Tartaglia, Francilene de Lima, Rosa, Jhonatas Cortes, Ferreira, Matheus Martins, Carvalho, Jackeline Silva de, Alves, Wagner Walker de Albuquerque","Revista Ceres; 64(1); 68-76","Revista Ceres","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100068&lang=pt" 
