"S1516-05722014000100015-scl","Effects of Euphorbia milii latex on mitogen-induced lymphocyte proliferation","Delgado, I.F., Paumgartten, F.J.R.","Revista Brasileira de Plantas Medicinais; 16(1); 107-111","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100015&lang=pt" 
"S0100-29452014000100018-scl","Desempenho de cultivares de mirtileiros dos grupos rabbiteye e highbush em função da cobertura de solo","Pasa, Mateus da Silveira, Fachinello, José Carlos, Schmitz, Juliano Dutra, Fischer, Doralice Lobato de Oliveria, Rosa Júnior, Horacy Fagundes da","Revista Brasileira de Fruticultura; 36(1); 161-169","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100018&lang=pt" 
"S0100-29452014000100015-scl","Cultivo do mirtilo: atualizações e desempenho inicial de variedades de baixa exigência em frio no Estado de Säo Paulo","Cantuarias-Avilés, Tatiana, Silva, Simone Rodrigues da, Medina, Ricardo Bordignon, Moraes, Ana Flavia Garcia, Alberti, Mariana Freire","Revista Brasileira de Fruticultura; 36(1); 139-147","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100015&lang=pt" 
"S0100-29452014000100016-scl","Mangostanzeiro: botânica, propagação, cultivo e utilização","Carvalho, José Edmar Urano de","Revista Brasileira de Fruticultura; 36(1); 148-155","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100016&lang=pt" 
"S0100-29452014000100011-scl","O sapotizeiro no Brasil","Silva Junior, Josué Francisco da, Bezerra, Joäo Emmanoel Fernandes, Lederman, Ildo Eliezer, Moura, Roberto José Mello de","Revista Brasileira de Fruticultura; 36(1); 86-99","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100011&lang=pt" 
"S0100-29452014000100032-scl","Crescimento inicial de pitaia em função de combinações de doses de fósforo-zinco","Corrêa, Márcio Cleber de Medeiros, Almeida, Edmilson Igor Bernardo, Marques, Virna Braga, Silva, Júlio César do Vale, Aquino, Boanerges Freire de","Revista Brasileira de Fruticultura; 36(1); 261-270","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100032&lang=pt" 
"S0100-29452014000100031-scl","Germinação de sementes de romäzeiras (Punica granatum L.) de acordo com a concentração de giberelina","Takata, William, Silva, Ewerton Gasparetto da, Corsato, Jaqueline Malagutti, Ferreira, Gisela","Revista Brasileira de Fruticultura; 36(1); 254-260","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100031&lang=pt" 
"S1516-05722014000100020-scl","Plantas e constituintes químicos empregados em Odontologia: revisão de estudos etnofarmacológicos e de avaliação da atividade antimicrobiana in vitro em patógenos orais","Vieira, D.R.P., Amaral, F.M.M., Maciel, M.C.G., Nascimento, Flávia F.R.F., Libério, A.S.","Revista Brasileira de Plantas Medicinais; 16(1); 135-167","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100020&lang=pt" 
"S0100-29452014000100012-scl","Produção de amoreira-preta no Brasil","Antunes, Luís Eduardo Corrêa, Pereira, Ivan dos Santos, Picolotto, Luciano, Vignolo, Gerson Kleinick, Gonçalves, Michel Aldrighi","Revista Brasileira de Fruticultura; 36(1); 100-111","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100012&lang=pt" 
"S0101-32892014000100123-scl","O sentido do esporte para atletas de basquete em cadeiras de rodas: processo de integração social e promoção de saúde","Costa, Luciane Cristina Arantes da, Vissoci, Joao Ricardo Nickenig, Modesto, Larissa Menezes, Vieira, Lenamar Fiorese","Revista Brasileira de Ciências do Esporte; 36(1); 123-140","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100123&lang=pt" 
"S0101-32892014000100045-scl","Efeitos do treinamento intervalado na resposta hipotensiva de militares com diferentes padrões de condicionamento físico","Sá, Matheus Cavalcante de, Lira, Eudimaci Barboza de, Duarte, Antônio Fernando Araújo","Revista Brasileira de Ciências do Esporte; 36(1); 45-58","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100045&lang=pt" 
"S0101-32892014000100241-scl","Páginas de uma agenda: o agendamento midiático para a Copa de 2014","Bezerra, Hudson Pablo de Oliveira, Souza, Bertulino José de","Revista Brasileira de Ciências do Esporte; 36(1); 241-255","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100241&lang=pt" 
"S0101-32892014000100087-scl","Determinação do limiar anaeróbio por dois ajustes matemáticos em teste específico para canoagem Slalom","Messias, Leonardo Henrique Dalcheco, Vieira, Nathalia Arnosti, Ferrari, Homero Gustavo, Terezani, Denis Roberto, Cesar, Marcelo de Castro, Manchado-Gobatto, Fúlvia de Barros","Revista Brasileira de Ciências do Esporte; 36(1); 87-101","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100087&lang=pt" 
"S0101-32892014000100013-scl","Fatores de risco para doenças crônicas não transmissíveis em estudantes de Educação Física ingressantes e formandos","Rombaldi, Airton José, Silva, Marcelo Cozzensa da, Dumith, Samuel Carvalho, Viana, Virgílio Ramires, Hallal, Pedro Curi","Revista Brasileira de Ciências do Esporte; 36(1); 13-27","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100013&lang=pt" 
"S0718-58392014000100008-chl","Effect of vacuum storage on shelf life of a grain protector based on Peumus boldus Molina foliage powder and lime against Sitophilus zeamais Motschulsk","Rivera, Paulina, Silva, Gonzalo, Figueroa, Inés, Tapia, Maritza, Rodríguez, J. Concepción","Chilean journal of agricultural research; 74(1); 49-54","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100008&lang=pt" 
"S0718-58392014000100007-chl","Repellency, toxicity, and oviposition inhibition of vegetable extracts against greenhouse whitefly Trialeurodes vaporariorum (Westwood) (Hemiptera: Aleyrodidae)","Mendoza-Garcia, Edgar Eduardo, Ortega-Arenas, Laura Delia, Pérez-Pacheco, Rafael, Rodríguez-Hernández, Cesáreo","Chilean journal of agricultural research; 74(1); 41-48","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100007&lang=pt" 
"S0718-58392014000100004-chl","Effect of seeding rate on grain quality of winter wheat","Zecevic, Veselinka, Boskovic, Jelena, Knezevic, Desimir, Micanovic, Danica","Chilean journal of agricultural research; 74(1); 23-28","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100004&lang=pt" 
"S0718-58392014000100005-chl","Growth and yield of grafted cucumbers in soil infested with root-knot nematodes","Goreta Ban, Smiljana, Žanić, Katja, Dumičić, Gvozden, Raspudić, Emilija, Vuletin Selak, Gabriela, Ban, Dean","Chilean journal of agricultural research; 74(1); 29-34","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100005&lang=pt" 
"S0718-58392014000100002-chl","Estimating combining ability in popcorn lines using multivariate analysis","Azeredo Gonçalves, Leandro Simôes, Freitas Júnior, Silverio de Paiva, do Amaral Júnior, Antônio Teixeira, Scapim, Carlos Alberto, Rodrigues, Rosana, Marinho, Caillet Dornelles, Pagliosa, Eduardo Stefani","Chilean journal of agricultural research; 74(1); 10-15","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100002&lang=pt" 
"S0718-58392014000100003-chl","Combined selection and multivariate analysis in early generations of intraspecific progenies of peanuts","Nunes da Luz, Lucas, Cavalcanti dos Santos, Roseane, Melo Filho, Péricles de Albuquerque, Azeredo Gonçalves, Leandro Simôes","Chilean journal of agricultural research; 74(1); 16-22","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100003&lang=pt" 
"S0718-58392014000100001-chl","Use of AMMI and other stability statistics in the simultaneous selection of rice genotypes for yield and stability under direct-seeded conditions","Bose, Lotan Kumar, Jambhulkar, Nitiprasad Namdeorao, Pande, Kanailal, Singh, Onkar Nath","Chilean journal of agricultural research; 74(1); 3-9","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100001&lang=pt" 
"S0718-58392014000100019-chl","Susceptibility of Spodoptera frugiperda and Helicoverpa gelotopoeon (Lepidoptera: Noctuidae) to the entomopathogenic nematode Steinernema diaprepesi (Rhabditida: Steinernematidae) under laboratory conditions","Caccia, Milena G, Del Valle, Eleodoro, Doucet, Marcelo E, Lax, Paola","Chilean journal of agricultural research; 74(1); 123-126","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100019&lang=pt" 
"S0718-58392014000100018-chl","Environmental conditions and drenched-applied paclobutrazol effects on lantana specific leaf area and N, P, K, and Mg content","Matsoukis, Aristidis, Gasparatos, Dionisios, Chronopoulou-Sereli, Aikaterini","Chilean journal of agricultural research; 74(1); 117-122","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100018&lang=pt" 
"S0718-58392014000100016-chl","Effects of different irrigation methods and plant densities on silage quality parameters of PR 31Y43 hybrid corn cultivar (Zea mays L. var. indentata [Sturtev.] L.H. Bailey)","Karasahin, Muhammet","Chilean journal of agricultural research; 74(1); 105-110","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100016&lang=pt" 
"S0718-58392014000100011-chl","Indications that some nutritional elements can improve gladiolus corm and cormel qualities in Mexico","González-Pérez, Enrique, Ayala-Garay, Óscar Javier, Yánez-Morales, María de Jesús","Chilean journal of agricultural research; 74(1); 67-72","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100011&lang=pt" 
"S0718-58392014000100010-chl","Effect of slaughter weight on the carcass value of young crossbred (&#039;Polish Holstein Friesian&#039; x &#039;Limousin&#039;) steers and bulls","Nogalski, Zenon, Wielgosz-Groth, Zofia, Purwin, Cezary, Sobczuk-Szul, Monika, Mochol, Magdalena, Pogorzelska-Przybytek, Paulina, Winarski, Rafat","Chilean journal of agricultural research; 74(1); 59-66","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100010&lang=pt" 
"S0718-58392014000100013-chl","Potassium nutrition in the first and second ratoon sugarcane grown in an Oxisol by a conservationist system","Alves Flores, Rilner, de Mello Prado, Renato, Pancelli, Márcio Alexandre, Almeida, Hilário Júnior, Moda, Leandro Rosatto, Montes Nogueira Borges, Bernardo Melo, Pereira de Souza Junior, Jonas","Chilean journal of agricultural research; 74(1); 83-88","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100013&lang=pt" 
"S0718-58392014000100012-chl","Soil fertility status and nutrients provided to spring barley (Hordeum distichon L.) by pig slurry","Gómez-Garrido, Melisa, Martínez-Martínez, Silvia, Faz Cano, Ángel, Büyükkilif-Yanardag, Asuman, Arocena, Joselito M","Chilean journal of agricultural research; 74(1); 73-82","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100012&lang=pt" 
"S0717-92272014000100008-chl","¿Cuándo es necesario realizar confirmación histológica en un paciente con sospecha de metástasis encefálica?","Caballero G, Joel, Cruz G, Orlando","Revista chilena de neuro-psiquiatría; 52(1); 55-56","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100008&lang=pt" 
"S0717-92272014000100001-chl","Presente y futuro de nuestra Revista","Fuentes G, Patricio","Revista chilena de neuro-psiquiatría; 52(1); 7-8","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100001&lang=pt" 
"S0717-92272014000100002-chl","Autopsias psicológicas de treinta suicidios en la IV Región de Chile","Gómez Ch, Alejandro, Opazo P, Raquel, Levi A, Rosa, Gómez Ch, María Soledad, Ibáñez H, Carolina, Núñez M, Carlos","Revista chilena de neuro-psiquiatría; 52(1); 9-19","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100002&lang=pt" 
"S0717-92272014000100003-chl","Relación entre el funcionamiento de un hogar/residencia protegida para personas con trastorno mental severo, el apoyo social del cuidador y las habilidades de la vida diaria de los residentes","Tapia C, Carolina, Grandón F, Pamela, Bustos N, Claudio","Revista chilena de neuro-psiquiatría; 52(1); 20-28","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100003&lang=pt" 
"S0717-92272014000100004-chl","La alteración en el patrón de sueño se asocia a la persistencia de síntomas depresivos en pacientes hipotiroideos después del tratamiento con LT4","Bonet, José, Manzanos, Inés","Revista chilena de neuro-psiquiatría; 52(1); 29-36","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100004&lang=pt" 
"S0717-92272014000100005-chl","Meningoencefalitis aséptica como manifestación de un síndrome de rash con eosinofilia y síntomas sistémicos asociados a drogas por lamotrigina","Reyes S, Pablo, Silva P, Paulina","Revista chilena de neuro-psiquiatría; 52(1); 37-41","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100005&lang=pt" 
"S0717-92272014000100006-chl","Primera entrevista en terapia de pareja: co-construcción de un encuentro situado","Tapia-Villanueva, Luis, Molina P, María Elisa","Revista chilena de neuro-psiquiatría; 52(1); 42-52","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100006&lang=pt" 
"S0717-92272014000100007-chl","En memoria de Christian Confavreux","Cepeda Z, Sergio","Revista chilena de neuro-psiquiatría; 52(1); 53-54","Revista chilena de neuro-psiquiatría","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272014000100007&lang=pt" 
"S0718-58392014000100006-chl","Quantitative inheritance of resistance to Septoria tritici blotch in durum wheat in Tunisia","Berraies, Samia, Ammar, Karim, Salah Gharbi, Mohamed, Yahyaoui, Amor, Rezgui, Salah","Chilean journal of agricultural research; 74(1); 35-40","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100006&lang=pt" 
"S0718-58392014000100017-chl","Effect of different concentrations of diluted seawater on yield and quality of lettuce","Turhan, Ahmet, Kuscu, Hayrettin, Ozmen, Nese, Sitki Serbeci, Mehmet, Osman Demir, Ali","Chilean journal of agricultural research; 74(1); 111-116","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100017&lang=pt" 
"S0718-58392014000100015-chl","Kinetics of soil enzyme activities under different ecosystems: An index of soil quality","Kujur, Monty, Kumar Patel, Amiya","Chilean journal of agricultural research; 74(1); 96-104","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100015&lang=pt" 
"S0718-58392014000100014-chl","Effect of salt stress on antioxidant enzymes and lipid peroxidation in leaves in two contrasting corn, &#039;Lluteno&#039; and &#039;Jubilee&#039;","Carrasco-Ríos, Libertad, Pinto, Manuel","Chilean journal of agricultural research; 74(1); 89-95","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100014&lang=pt" 
"S0101-32892014000100205-scl","Primeiro curso de Educação Física na Bahia - trajetórias e personagens","Pires, Roberto Gondim, Rocha Junior, Coriolano Pereira da, Marta, Felipe Eduardo Ferreira","Revista Brasileira de Ciências do Esporte; 36(1); 205-223","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100205&lang=pt" 
"S0101-32892014000100059-scl","Efeito da aprendizagem no desempenho de repetidos testes de Wingate","Cavazzotto, Timothy Gustavo, Braz, Allison Gustavo, Ferreira, Sandra Aires, Queiroga, Marcos Roberto","Revista Brasileira de Ciências do Esporte; 36(1); 59-69","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100059&lang=pt" 
"S0101-32892014000100189-scl","A epistemologia nos cursos de Educação Física: experiências e desafios (o contexto da Unochapeco)...","Rezer, Ricardo","Revista Brasileira de Ciências do Esporte; 36(1); 189-204","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100189&lang=pt" 
"S0101-32892014000100257-scl","Violência e bullying: manifestações e consequências nas aulas de Educação Física escolar","Weimer, Weyboll Rocha, Moreira, Evando Carlos","Revista Brasileira de Ciências do Esporte; 36(1); 257-274","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100257&lang=pt" 
"S0101-32892014000100155-scl","A juventude entre o desejo e a realidade na formação acadêmica em Educação Física: das nuvens à docência...","Cruz Junior, Gilson, Caparroz, Francisco Eduardo","Revista Brasileira de Ciências do Esporte; 36(1); 155-170","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100155&lang=pt" 
"S0101-32892014000100141-scl","Influência das restrições na lealdade dos espectadores de futebol: Sport Lisboa e Benfica","Cardoso, Jorge Miguel Rodrigues de Pina, Correia, Abel Hermínio Lourenço, Biscaia, Rui Daniel Gaspar Neto","Revista Brasileira de Ciências do Esporte; 36(1); 141-154","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100141&lang=pt" 
"S0101-32892014000100171-scl","A opinião dos estudantes sobre as exigências da produção na pós-graduação","Mendes, Valdelaine da Rosa, Iora, Jacob Alfredo","Revista Brasileira de Ciências do Esporte; 36(1); 171-187","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100171&lang=pt" 
"S0718-58392014000100009-chl","Live changes in muscle glycogen concentration of steers due to feeding and fasting as determined through serial biopsies of the Longissimus dorsi muscle","Apaoblaza, Ariel, Gallo, Carmen","Chilean journal of agricultural research; 74(1); 55-58","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000100009&lang=pt" 
"S1405-31952014000200005-mex","Producción hidropónica de jitomate (Solatium lycopersicum L.) con y sin recirculación de la solución nutritiva","Sánchez-Del Castillo, Felipe, Moreno-Pérez, Esaú del C., Pineda-Pineda, Joel, Osuna, José M., Rodríguez-Pérez, Juan E., Osuna-Encino, Tomás","Agrociencia; 48(2); 185-197","Agrociencia","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200005&lang=pt" 
"S1405-31952014000200004-mex","Embryogenic induction of torch ginger (Etlingera elatior) callus","Días, Gabrielen de M. Gomes, Rodrigues, Filipe Almendagna, Soares, J. Dória Rodrigues, Pasqual, Moacir, Carvalho, A. Cristina Portugal- Pinto de","Agrociencia; 48(2); 173-184","Agrociencia","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200004&lang=pt" 
"S1405-31952014000200007-mex","Prediction of surviving larvae of mexican fruit fly after heating in a block system","Caro-Corrales, Lorena, Caro-Corrales, José, López-Valenzuela, José, Valdez-Ortiz, Ángel, Reyes-Moreno, Cuauhtémoc, Hernández-Ortiz, Emilio","Agrociencia; 48(2); 211-233","Agrociencia","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200007&lang=pt" 
"S1405-31952014000200006-mex","Betacyanin and antioxidant system in tolerance to salt stress in Alternanthera philoxeroides","Ribeiro, Márcia Vaz, Deuner, Sidnei, Benitez, Letícia Carvalho, Einhardt, Andersom Milech, Peters, José A., Braga, Eugenia J. Bolacel","Agrociencia; 48(2); 199-210","Agrociencia","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200006&lang=pt" 
"S1405-31952014000200001-mex","Evaluación del desempeño climático de un invernadero baticenital del centro de México mediante dinámica de fluidos computacional (CFD)","Flores-Velázquez, Jorge, López-Cruz, I. Lorenzo, Mejía-Sáenz, Enrique, Montero-Camacho, J. Ignacio","Agrociencia; 48(2); 131-146","Agrociencia","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200001&lang=pt" 
"S1405-31952014000200003-mex","Genotipos de maíz (Zea mays L.) con diferente contenido de aceite y su relación con la calidad y textura de la tortilla","Vázquez-Carrillo, María G., Santiago-Ramos, David, Salinas-Moreno, Yolanda, López-Cruz, Julio, Ybarra-Moncada, Ma Carmen, Ortega-Corona, Alejandro","Agrociencia; 48(2); 159-172","Agrociencia","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200003&lang=pt" 
"S1405-31952014000200002-mex","Análisis regional de frecuencia de crecientes en la región hidrológica no. 10 (Sinaloa), México. 1: índices de estacionalidad y regiones de influencia","Campos-Aranda, Daniel F.","Agrociencia; 48(2); 147-158","Agrociencia","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200002&lang=pt" 
"S1405-31952014000200008-mex","Ecuaciones dinámicas de índice de sitio para Tectona grandis en Campeche, México","Tamarit-Urias, Juan C., De los Santos-Posadas, Héctor M., Aldrete, Arnulfo, Valdez-Lazalde, José R., Ramírez-Maldonado, Hugo, Guerra-De la Cruz, Vidal","Agrociencia; 48(2); 225-238","Agrociencia","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952014000200008&lang=pt" 
"S0034-75152014000100018-cub","Medicamentos nuevos del grupo empresarial Labiofam: Nutrisol jarabe y Propolina tintura","","Revista Cubana de Farmacia; 48(1); 163-164","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100018&lang=pt" 
