"S0066-782X2004001600011-scl","Cardiologia baseada em evidência","Victor, Edgar Guimarães, Marco, André de","Arquivos Brasileiros de Cardiologia; 83(4); 355-356","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600011&lang=pt" 
"S0100-41582004000500002-scl","Efeito do tratamento hidrotérmico e químico de frutos de banana &#039;Prata&#039; no controle da antracnose em pós-colheita","Sponholz, Claudia, Batista, Ulisses G., Zambolim, Laércio, Salomão, Luiz C. C., Cardoso, Antônio A.","Fitopatologia Brasileira; 29(5); 480-485","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500002&lang=pt" 
"S0100-41582004000500004-scl","Soybean pod blight and root rot caused by lineages of the Fusarium graminearum and the production of mycotoxins","Martinelli, José A., Bocchese, Carla A.C., Xie, Weiping, O&#039;Donnell, Kerry, Kistler, Harold C.","Fitopatologia Brasileira; 29(5); 492-498","Fitopatologia Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500004&lang=pt" 
"S0100-41582004000500006-scl","Padrão molecular e de virulência de isolados de Pyricularia grisea do Estado do Rio Grande do Sul","Maciel, João L. N., Rodrigues, Paula C. S., Avozani, Oneides A., Moraes, Marcelo G.","Fitopatologia Brasileira; 29(5); 504-510","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500006&lang=pt" 
"S0100-41582004000500007-scl","Resistance spectra of wheat cultivars and virulence diversity of Magnaporthe grisea isolates in Brazil","Urashima, Alfredo S., Lavorent, Norberto A., Goulart, Augusto C. P., Mehta, Yeshwant R.","Fitopatologia Brasileira; 29(5); 511-518","Fitopatologia Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500007&lang=pt" 
"S0100-41582004000500008-scl","Estabilidade da resistência de Capsicum spp. ao oídio em telado e casa de vegetação","Paz Lima, Milton L., Lopes, Carlos A., Café Filho, Adalberto C.","Fitopatologia Brasileira; 29(5); 519-525","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500008&lang=pt" 
"S0100-41582004000500009-scl","Efeito da severidade de oídio e crestamento foliar de cercospora na produtividade da cultura da soja","Godoy, Cláudia V., Canteri, Marcelo G.","Fitopatologia Brasileira; 29(5); 526-530","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500009&lang=pt" 
"S0036-36342004000500001-mex","Factores que intervienen en la génesis de una epidemia por dengue","Mota, Javier","Salud Pública de México; 46(5); 373-373","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500001&lang=pt" 
"S0036-36342004000500002-mex","Detection of antibodies to West Nile and Saint Louis encephalitis viruses in horses","Marlenee, Nicole L, Loroño-Pino, María A, Beaty, Barry J, Blitvich, Bradley J, Fernández Salas, Ildefonso, Contreras Cordero, Juan F, González Rojas, José I","Salud Pública de México; 46(5); 373-375","Salud Pública de México","Inglês","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500002&lang=pt" 
"S0036-36342004000500003-mex","El derecho a la atención de la salud: ingrediente de la ciudadanía integral","Gómez Dantés, Octavio","Salud Pública de México; 46(5); 376-377","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500003&lang=pt" 
"S0036-36342004000500004-mex","Influencia de los sucesos vitales y el apoyo social en una intervención psicoeducativa para mujeres con depresión","Lara, Ma Asunción, Navarro, Claudia, Navarrete, Laura","Salud Pública de México; 46(5); 378-387","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500004&lang=pt" 
"S0036-36342004000500005-mex","Políticas nacionales de salud y decisiones locales en México: el caso del Hospital Mixto de Cuetzalan, Puebla","Duarte-Gómez, María Beatriz, Brachet-Márquez, Viviane, Campos-Navarro, Roberto, Nigenda, Gustavo","Salud Pública de México; 46(5); 388-398","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500005&lang=pt" 
"S0036-36342004000500006-mex","La equidad y la imparcialidad en la reforma del sistema mexicano de salud","Gómez-Dantés, Octavio, Gómez-Jáuregui, Jesica, Inclán, Cristina","Salud Pública de México; 46(5); 399-416","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500006&lang=pt" 
"S0036-36342004000500007-mex","La depresión con inicio temprano: prevalencia, curso natural y latencia para buscar tratamiento","Benjet, Corina, Borges, Guilherme, Medina-Mora, Ma Elena, Fleiz-Bautista, Clara, Zambrano-Ruiz, Joaquín","Salud Pública de México; 46(5); 417-424","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500007&lang=pt" 
"S0036-36342004000500008-mex","Efecto de algunos agentes físicos y químicos sobre el metacéstodo de Taenia solium presente en carne adobada y chorizo","Rivera-Guerrero, Ma Isabel, Sánchez-Rueda, Leticia, Rodríguez-Bataz, Elvia, Martínez-Villalobos, Ada Nelly, Martínez-Maya, José Juan","Salud Pública de México; 46(5); 425-429","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500008&lang=pt" 
"S0036-36342004000500009-mex","Evaluación de una metodología de tamizaje en la enfermedad de Chagas en San Luis, Argentina","Arrieta, Raquel, Daquino, Beatriz, Rosso, Nora, Ferreras, María Gladys, Juárez, Nicanor","Salud Pública de México; 46(5); 430-437","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500009&lang=pt" 
"S0036-36342004000500010-mex","Enfermedad por meningococo, Neisseria meningitidis: perspectiva epidemiológica, clínica y preventiva","Almeida-González, Lourdes, Franco-Paredes, Carlos, Pérez, Luis Fernando, Santos-Preciado, José Ignacio","Salud Pública de México; 46(5); 438-450","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500010&lang=pt" 
"S0036-36342004000500011-mex","El papel de la epidemiología en la investigación de los trastornos mentales","Borges, Guilherme, Medina-Mora, María Elena, López-Moreno, Sergio","Salud Pública de México; 46(5); 451-463","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500011&lang=pt" 
"S0036-36342004000500012-mex","Estadística de egresos hospitalarios del sector público del Sistema Nacional de Salud, 2003","","Salud Pública de México; 46(5); 464-487","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500012&lang=pt" 
"S0036-36342004000500013-mex","La fiebre del Nilo occidental: una enfermedad emergente en México","Ramos, Celso, Falcón Lezama, Jorge Abelardo","Salud Pública de México; 46(5); 488-490","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500013&lang=pt" 
"S0036-36342004000500014-mex","Cuarenta y cinco millones de estadounidenses sin seguro de salud","Gómez Dantés, Octavio","Salud Pública de México; 46(5); 491-491","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500014&lang=pt" 
"S0036-36342004000500015-mex","Grave deterioro de la salud del pueblo chino","Gómez Dantés, Octavio","Salud Pública de México; 46(5); 492-492","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500015&lang=pt" 
"S0036-36342004000500016-mex","Atlas de la infraestructura cultural de México","Santillana Macedo, Manuel Alberto","Salud Pública de México; 46(5); 493-494","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000500016&lang=pt" 
