"S0104-42302011000600018-scl","Risk factors for hypertensive disorders of pregnancy in southern Brazil","Dalmáz, Caroline Abrão, Santos, Kátia Gonçalves dos, Botton, Mariana Rodrigues, Roisenberg, Israel","Revista da Associação Médica Brasileira; 57(6); 692-696","Revista da Associação Médica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600018&lang=pt" 
"S0104-06182011000300005-scl","A população ocupada e a renda no Brasil: encontros e desencontros","Kubrusly, Lucia Silva","Economia e Sociedade; 20(3); 567-600","Economia e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182011000300005&lang=pt" 
"S0104-06182011000300006-scl","Os processos de desenvolvimento e desmatamento da Amazônia","Prates, Rodolfo Coelho, Bacha, Carlos José Caetano","Economia e Sociedade; 20(3); 601-636","Economia e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182011000300006&lang=pt" 
"S0104-06182011000300008-scl","Decifrando hieróglifos: o capital mercantil no centro da América do Sul (1718-1750)","Oliveira, Tiago Kramer de","Economia e Sociedade; 20(3); 661-690","Economia e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182011000300008&lang=pt" 
"S1677-54492011000400004-scl","Is age group a predictive factor for satisfaction among patients undergoing sympathectomy to treat hyperhidrosis?","Campos, José Ribas Milanez de, Wolosker, Nelson, Munia, Marco Antonio Soares, Yazbek, Guilherme, Kauffman, Paulo, Puech-Leão, Pedro, Jatene, Fábio Biscegli","Jornal Vascular Brasileiro; 10(4); 284-288","Jornal Vascular Brasileiro","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492011000400004&lang=pt" 
"S1677-54492011000400012-scl","Isquemia grave de membros inferiores por arterite por HIV","Pitta, Guilherme Benjamin Brandão, Silva, Cezar Ronaldo Alves, Medeiros, Josué Dantas de, Pitta, Marina Regueira, Lima, Isabela Mariz de, Chioquetta, Rafaela, Gomes, Mayra Macena","Jornal Vascular Brasileiro; 10(4); 319-324","Jornal Vascular Brasileiro","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492011000400012&lang=pt" 
"S1677-54492011000400013-scl","Síndrome do aprisionamento da artéria poplítea: relato de caso","Bettega, Marcelo, Szeliga, Ariane, Hagemann, Rafael Pereira, Santos Filho, Antônio Lacerda, Mesquita Júnior, Nelson","Jornal Vascular Brasileiro; 10(4); 325-329","Jornal Vascular Brasileiro","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492011000400013&lang=pt" 
"S0102-37722011000400001-scl","Perfil de adolescentes talentosos e estratégias para o seu desenvolvimento","Chagas, Jane Farias, Fleith, Denise de Souza","Psicologia: Teoria e Pesquisa; 27(4); 385-392","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400001&lang=pt" 
"S0102-37722011000400002-scl","Rendimento académico: influência do autoconceito e do ambiente de sala de aula","Paiva, Maria Olímpia Almeida de, Lourenço, Abílio Afonso","Psicologia: Teoria e Pesquisa; 27(4); 393-402","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400002&lang=pt" 
"S0102-37722011000400003-scl","Síndrome de Burnout em professores: prevalência e fatores associados","Carlotto, Mary Sandra","Psicologia: Teoria e Pesquisa; 27(4); 403-410","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400003&lang=pt" 
"S0102-37722011000400006-scl","Práticas educativas parentais em mulheres vítimas e não vítimas de violência conjugal","Sani, Ana Isabel, Cunha, Dália Maria Moreira da","Psicologia: Teoria e Pesquisa; 27(4); 429-437","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400006&lang=pt" 
"S0102-37722011000400007-scl","Fala materna dirigida à criança em cenários comunicativos específicos: um estudo longitudinal","Pessôa, Luciana Fontes, Moura, Maria Lucia Seidl de","Psicologia: Teoria e Pesquisa; 27(4); 439-447","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400007&lang=pt" 
"S0102-37722011000400008-scl","Relação conjugal no contexto de reprodução assistida: o tratamento e a gravidez","Silva, Isabela Machado, Lopes, Rita de Cássia Sobreira","Psicologia: Teoria e Pesquisa; 27(4); 449-457","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400008&lang=pt" 
"S0102-37722011000400010-scl","A revelação de abuso sexual: as medidas adotadas pela rede de apoio","Habigzang, Luísa Fernanda, Ramos, Michele da Silva, Koller, Sílvia Helena","Psicologia: Teoria e Pesquisa; 27(4); 467-473","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400010&lang=pt" 
"S0102-37722011000400012-scl","Revisão da literatura sobre a eficácia da intervenção psicológica no tratamento do lúpus eritematoso sistêmico","Cal, Sílvia Fernanda Lima de Moura","Psicologia: Teoria e Pesquisa; 27(4); 485-490","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400012&lang=pt" 
"S0102-37722011000400013-scl","Estratégias de coping de pacientes oncológicos em tratamento radioterápico","Paula Júnior, Wanderley de, Zanini, Daniela Sacramento","Psicologia: Teoria e Pesquisa; 27(4); 491-497","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400013&lang=pt" 
"S0102-37722011000400014-scl","Adesão ao tratamento por cuidadores de crianças e adolescentes soropositivos para o HIV","Salles, Caroline Mota Branco, Ferreira, Eleonora Arnaud Pereira, Seidl, Eliane Maria Fleury","Psicologia: Teoria e Pesquisa; 27(4); 499-506","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400014&lang=pt" 
"S0102-37722011000400017-scl","Critérios de construção e relato da análise prototípica para representações sociais","Wachelke, João, Wolter, Rafael","Psicologia: Teoria e Pesquisa; 27(4); 521-526","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400017&lang=pt" 
"S0102-37722011000400019-scl","A crise na Psicologia: análise da contribuição histórica e epistemológica de L. S. Vigotski","Lordelo, Lia da Rocha","Psicologia: Teoria e Pesquisa; 27(4); 537-544","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400019&lang=pt" 
"S0104-42302011000600002-scl","Determinantes precoces das doenças cardiovasculares no curso da vida: uma mudança de paradigma para a prevenção","Pellanda, Lucia Campos","Revista da Associação Médica Brasileira; 57(6); 608-609","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600002&lang=pt" 
"S0104-42302011000600003-scl","Clínica: a arte de equilibrar a doença e o sujeito","Bedrikow, Rubens, Campos, Gastão Wagner de Sousa","Revista da Associação Médica Brasileira; 57(6); 610-613","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600003&lang=pt" 
"S0104-42302011000600006-scl","Doença do refluxo gastroesofágico: tratamento farmacológico","","Revista da Associação Médica Brasileira; 57(6); 617-628","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600006&lang=pt" 
"S0104-42302011000600009-scl","Identificação de fatores de risco de desnutrição em pacientes internados","Aquino, Rita de Cássia de, Philippi, Sonia Tucunduva","Revista da Associação Médica Brasileira; 57(6); 637-643","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600009&lang=pt" 
"S0104-42302011000600012-scl","Risco de sobrepeso e excesso de peso em crianças de pré-escolas privadas e filantrópicas","Nascimento, Viviane Gabriela, Schoeps, Denise de Oliveira, Souza, Sônia Buongermino de, Souza, José Maria Pacheco de, Leone, Claudio","Revista da Associação Médica Brasileira; 57(6); 657-661","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600012&lang=pt" 
"S0104-42302011000600013-scl","Influência da composição corporal sobre a massa óssea em crianças e adolescentes","Carvalho, Wellington Roberto Gomes de, Gonçalves, Ezequiel Moreíra, Ríbeiro, Roberto Regís, Farias, Edson Santos, Carvalho, Sara Silveira Penido de, Guerra-Júnior, Gil","Revista da Associação Médica Brasileira; 57(6); 662-667","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600013&lang=pt" 
"S0104-42302011000600014-scl","Fatores de risco para aloimunização em pacientes com anemia falciforme","Pinto, Patrícía Costa Alves, Braga, Josefina Aparecida Pellegrini, Santos, Amélia Miyashiro Nunes dos","Revista da Associação Médica Brasileira; 57(6); 668-673","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600014&lang=pt" 
"S0104-42302011000600015-scl","Obesidade e fatores de risco cardiovascular em estudantes de Sorocaba, SP","Mazaro, Isabela Annunziato Ramos, Zanolli, Maria de Lurdes, Antonio, Maria Ângela R.G.M, Morcillo, André Moreno, Zambon, Mariana Porto","Revista da Associação Médica Brasileira; 57(6); 674-680","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600015&lang=pt" 
"S0104-42302011000600020-scl","Endométrio na janela de implantação em mulheres com síndrome dos ovários policísticos","Lopes, Ione Maria Ribeiro Soares, Baracat, Maria Cândida Pinheiro, Simões, Manuel de Jesus, Simões, Ricardo Santos, Baracat, Edmund Chada, Soares Jr, José Maria","Revista da Associação Médica Brasileira; 57(6); 702-709","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600020&lang=pt" 
"S0104-42302011000600021-scl","Fornecimento de medicamento investigacional após o fim da pesquisa clínica: revisão da literatura e das diretrizes nacionais e internacionais","Dainesi, Sonia Mansoldo, Goldbaum, Moisés","Revista da Associação Médica Brasileira; 57(6); 710-716","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600021&lang=pt" 
"S0080-62342011000600011-scl","The role of the New Trauma and Injury Severity Score (NTRISS) for survival prediction","Domingues, Cristiane de Alencar, Sousa, Regina Marcia Cardoso de, Nogueira, Lilia de Souza, Poggetti, Renato Sérgio, Fontes, Belchor, Muñoz, Daniele","Revista da Escola de Enfermagem da USP; 45(6); 1353-1358","Revista da Escola de Enfermagem da USP","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600011&lang=pt" 
"S0080-62342011000600002-scl","Significados atribuídos por puérperas às síndromes hipertensivas da gravidez e nascimento prematuro","Souza, Nilba Lima de, Araujo, Ana Cristina Pinheiro Fernandes, Costa, Iris do Céu Clara","Revista da Escola de Enfermagem da USP; 45(6); 1285-1292","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600002&lang=pt" 
"S0080-62342011000600003-scl","Avaliação normativa do pré-natal em uma maternidade filantrópica de São Paulo","Corrêa, Claudia Regina Hostim, Bonadio, Isabel Cristina, Tsunechiro, Maria Alice","Revista da Escola de Enfermagem da USP; 45(6); 1293-1300","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600003&lang=pt" 
"S0080-62342011000600004-scl","Remoções maternas da Casa do Parto de Sapopemba para hospital de referência","Bonadio, Isabel Cristina, Schneck, Camilla Alexsandra, Pires, Luciana Gomes, Osava, Ruth Hitomi, Silva, Flora Maria Barbosa da, Oliveira, Sonia Maria Junqueira Vasconcellos de, Riesco, Maria Luiza Gonzalez","Revista da Escola de Enfermagem da USP; 45(6); 1301-1308","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600004&lang=pt" 
"S0080-62342011000600005-scl","Nível de pressão sonora em Unidade de Terapia Intensiva Neonatal","Peixoto, Priscila Vendramini, Araújo, Marco Antônio Nabuco de, Kakehashi, Tereza Yoshiko, Pinheiro, Eliana Moreira","Revista da Escola de Enfermagem da USP; 45(6); 1309-1314","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600005&lang=pt" 
"S0080-62342011000600007-scl","Processo comunicacional: instrumento das atividades em grupo na estratégia Saúde da Família","Cardoso, Leticia Silveira, Cezar-Vaz, Marta Regina, Bonow, Clarice Alves, Sant&#039;Anna, Cynthia Fontella","Revista da Escola de Enfermagem da USP; 45(6); 1323-1330","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600007&lang=pt" 
"S0080-62342011000600008-scl","Atitudes dos enfermeiros face à família: validação da escala Families&#039; Importance in Nursing Care - Nurses Attitudes","Oliveira, Palmira da Conceição M., Fernandes, Henriqueta Ilda V., Vilar, Ana Isabel S. P., Figueiredo, Maria Henriqueta de J. S., Ferreira, Maria Margarida Silva R. S., Martinho, Maria Júlia C. M., Figueiredo, Maria do Céu A. B., Andrade, Luísa Maria da C., Carvalho, José Carlos M. de, Martins, Maria Manuela Ferreira P. da S.","Revista da Escola de Enfermagem da USP; 45(6); 1331-1337","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600008&lang=pt" 
"S0080-62342011000600009-scl","Mucosite em pacientes portadores de câncer de cabeça e pescoço submetidos à radioquimioterapia","Santos, Renata Cristina Schmidt, Dias, Rodrigo Souza, Giordani, Adelmo José, Segreto, Roberto Araújo, Segreto, Helena Regina Comodo","Revista da Escola de Enfermagem da USP; 45(6); 1338-1344","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600009&lang=pt" 
"S0080-62342011000600010-scl","Amigos e vizinhos: uma rede social ativa para adultos e idosos hipertensos","Faquinello, Paula, Marcon, Sonia Silva","Revista da Escola de Enfermagem da USP; 45(6); 1345-1352","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600010&lang=pt" 
"S0080-62342011000600012-scl","Levantamento epidemiológico dos acidentes motociclísticos atendidos em um Centro de Referência ao Trauma de Sergipe","Vieira, Rita de Cássia Almeida, Hora, Edilene Curvelo, Oliveira, Daniel Vieira de, Vaez, Andréia Centenaro","Revista da Escola de Enfermagem da USP; 45(6); 1359-1363","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600012&lang=pt" 
"S0080-62342011000600013-scl","Qualidade de vida de adultos com lesão medular: um estudo com WHOQOL-bref","França, Inacia Sátiro Xavier de, Coura, Alexsandro Silva, França, Eurípedes Gil de, Basílio, Narjara Neumann Vieira, Souto, Rafaela Queiroga","Revista da Escola de Enfermagem da USP; 45(6); 1364-1371","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600013&lang=pt" 
"S0080-62342011000600014-scl","Úlcera por pressão em pacientes submetidos à cirurgia: incidência e fatores associados","Scarlatti, Kelly Cristina, Michel, Jeanne Liliane Marlene, Gamba, Mônica Antar, Gutiérrez, Maria Gaby Rivero de","Revista da Escola de Enfermagem da USP; 45(6); 1372-1379","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600014&lang=pt" 
"S0080-62342011000600015-scl","O conhecimento do enfermeiro sobre a Sistematização da Assistência de Enfermagem: da teoria à prática","Silva, Elisama Gomes Correia, Oliveira, Viviane Carla de, Neves, Giselda Bezerra Correia, Guimarães, Tânia Maria Rocha","Revista da Escola de Enfermagem da USP; 45(6); 1380-1386","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600015&lang=pt" 
"S0080-62342011000600016-scl","Competências Relacionais de Ajuda nos enfermeiros: validação de um instrumento de medida","Melo, Rosa Cândida Carvalho Pereira de, Silva, Maria Júlia Paes, Parreira, Pedro Miguel Dinis, Ferreira, Manuela Maria Conceição","Revista da Escola de Enfermagem da USP; 45(6); 1387-1395","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600016&lang=pt" 
"S0080-62342011000600017-scl","A integralidade do cuidado e ação comunicativa na prática interprofissional da terapia intensiva","Pirolo, Sueli Moreira, Ferraz, Clarice Aparecida, Gomes, Romeu","Revista da Escola de Enfermagem da USP; 45(6); 1396-1402","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600017&lang=pt" 
"S0080-62342011000600018-scl","Tecnologia na terapia intensiva e suas influências nas ações do enfermeiro","Silva, Rafael Celestino da, Ferreira, Márcia de Assunção","Revista da Escola de Enfermagem da USP; 45(6); 1403-1411","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600018&lang=pt" 
"S0080-62342011000600020-scl","Sistema NAS: Nursing Activities Score em tecnologia móvel","Catalan, Vanessa Menezes, Silveira, Denise Tolfo, Neutzling, Agnes Ludwig, Martinato, Luísa Helena Machado, Borges, Gilberto Cabral de Mello","Revista da Escola de Enfermagem da USP; 45(6); 1419-1426","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600020&lang=pt" 
"S0080-62342011000600021-scl","Representações sociais sobre cuidar e tratar: o olhar de pacientes e profissionais","Borges, Moema da Silva, Queiroz, Lilian Silva, Silva, Hellén Cristina Pereira da","Revista da Escola de Enfermagem da USP; 45(6); 1427-1433","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600021&lang=pt" 
"S0080-62342011000600022-scl","Estresse, coping e estado de saúde entre enfermeiros hospitalares","Guido, Laura de Azevedo, Linch, Graciele Fernanda da Costa, Pitthan, Luiza de Oliveira, Umann, Juliane","Revista da Escola de Enfermagem da USP; 45(6); 1434-1439","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600022&lang=pt" 
"S0080-62342011000600024-scl","Leucemia mieloide aguda versus ocupação profissional: perfil dos trabalhadores atendidos no Hospital de Hematologia de Recife","Carvalho, Queliane Gomes da Silva, Pedrosa, Wanessa de Aguiar, Sebastião, Quitéria Pereira","Revista da Escola de Enfermagem da USP; 45(6); 1446-1451","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600024&lang=pt" 
"S0080-62342011000600025-scl","Satisfação profissional entre enfermeiros que atuam na assistência domiciliar","Paiva, Flávia Feliciana Silva, Rocha, Adelaide de Mattia, Cardoso, Luciana Dalva Ferreira","Revista da Escola de Enfermagem da USP; 45(6); 1452-1458","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600025&lang=pt" 
"S0080-62342011000600027-scl","Dissertações produzidas no Programa de Pós-Graduação e Mestrado em Enfermagem da Universidade Federal do Paraná","Hammerschmidt, Karina Silveira de Almeida, Mantovani, Maria de Fátima, Labronici, Liliana Maria, Lenardt, Maria Helena, Lacerda, Maria Ribeiro","Revista da Escola de Enfermagem da USP; 45(6); 1466-1475","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600027&lang=pt" 
"S0080-62342011000600028-scl","Panorama da educação à distância em enfermagem no Brasil","Rojo, Priscila Tagliaferro, Vieira, Sheila de Souza, Zem-Mascarenhas, Silvia Helena, Sandor, Elisane Regina, Vieira, Carla Roberta Sola de Paula","Revista da Escola de Enfermagem da USP; 45(6); 1476-1480","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600028&lang=pt" 
"S0080-62342011000600029-scl","Descrição de oferta e consumo dos psicofármacos em Centros de Atenção Psicossocial na Região Sul brasileira","Kantorski, Luciane Prado, Jardim, Vanda Maria da Rosa, Porto, Adrize Rutz, Schek, Gabriele, Cortes, Jandro Moraes, Oliveira, Michele Mandagará de","Revista da Escola de Enfermagem da USP; 45(6); 1481-1487","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600029&lang=pt" 
"S0080-62342011000600030-scl","Revisão sistemática e metanálise sobre o valor preditivo da proteína C-reativa em infecção pós-operatória","Nunes, Bruna Kosar, Lacerda, Rúbia Aparecida, Jardim, Jaquelline Maria","Revista da Escola de Enfermagem da USP; 45(6); 1488-1494","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600030&lang=pt" 
"S0080-62342011000600031-scl","Intervenções de enfermagem aos pacientes com acidente vascular encefálico: uma revisão integrativa de literatura","Cavalcante, Tahissa Frota, Moreira, Rafaella Pessoa, Guedes, Nirla Gomes, Araujo, Thelma Leite de, Lopes, Marcos Venícios de Oliveira, Damasceno, Marta Maria Coelho, Lima, Francisca Elisângela Teixeira","Revista da Escola de Enfermagem da USP; 45(6); 1495-1500","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600031&lang=pt" 
"S0080-62342011000600032-scl","Saúde mental na atenção básica: prática da equipe de saúde da família","Correia, Valmir Rycheta, Barros, Sônia, Colvero, Luciana de Almeida","Revista da Escola de Enfermagem da USP; 45(6); 1501-1506","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600032&lang=pt" 
"S0102-37722011000400020-scl","Percalços na história da ciência: B. F. Skinner e a aceitação inicial da Análise Experimental do comportamento entre as décadas de 1930 e 1940","Cruz, Robson Nascimento da","Psicologia: Teoria e Pesquisa; 27(4); 545-554","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400020&lang=pt" 
"S0102-37722011000400011-scl","Vivências de familiares de mulheres com câncer de mama: uma compreensão fenomenológica","Ambrósio, Daniela Cristina Mucinhato, Santos, Manoel Antônio dos","Psicologia: Teoria e Pesquisa; 27(4); 475-484","Psicologia: Teoria e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722011000400011&lang=pt" 
